   akalpabālasthavira- Brh_1,1.148a	akalpa-bAla-sTavira Brh_1,1.148a
   kṣetraṃ sasasyam ullaṅghya Brh_1,19.24c	kzetram sa-sasyam ullaFGya Br=-_1,19.24c
   kṣetrādikaṃ yadā bhuktam Brh_1,10.67a	kzetra-Adikam yadA Buktam Brh_1,10.67a
   kṣetrādyupetaṃ paripakvasasyaṃ Brh_1,18.18a	kzetra-Adi-upetam paripakva-sasyam Br=-_1,18.18a
   kṣetrārāmagṛhādīni Brh_1,1.160a	kzetra-ArAma-gRha-AdIni Br=-_1,1.160a
   kṣetrārāmāś ca lekhitāḥ Brh_1,7.32d	kzetra-ArAmAH ca leKitAH Br=-_1,7.32d
   kṣetrāṃśaṃ vā yad icchati Brh_1,26.28b	kzetra-aMSam vA yat icCati Br=-_1,26.28b
   kṣetrāṃśaṃ vā yadṛcchayā Brh_1,26.103b	kzetra-aMSam vA yadRcCayA Br=-_1,26.103b
   kṣetropakaraṇaṃ setuṃ Brh_1,23.5a	kzetra-upakaraNam setum Brh_1,23.5a
   kṣetropakaraṇena ca Brh_1,13.27b	kzetra-upakaraNena ca Br=-_1,13.27b
   kṣepaḥ pāpena yojanam Brh_1,20.2b	kzepaH pApena yojanam Br=-_1,20.2b
   khādayed vā sārameyaiḥ Brh_1,24.17c	KAdayet vA sArameyEH Br=-_1,24.17c
   khilād varṣāvasantāc ca Brh_1,1.43c	KilAt varzA-vasantAt ca Br=-_1,1.43c
   khyāpito janasaṃsadi Brh_1,1.36b	KyApitaH jana-saMsadi Br=-_1,1.36b
   gacchataḥ svāminaḥ svāṅgair Brh_1,15.18a	gacCataH svAminaH sva-aFgEH Brh_1,15.18a
   gacchan pūrvāt sa hīyate Brh_1,2.7d	gacCan pUrvAt sa hIyate Br=-_1,2.7d
   gacchet paramayā śaktyā Brh_1,8.58c	gacCet paramayA SaktyA Br=-_1,8.58c
   gaṇakaḥ paścimā yas tu Brh_1,1.109c	gaNakaH paScimA yaH tu Br=-_1,1.109c
   gaṇakā vañcakāś caiva Brh_1,22.12c	gaNakAH vaQcakAH ca-eva Br=-_1,22.12c
   gaṇako gaṇayed arthaṃ Brh_1,1.90a	gaNakaH gaNayet arTam Brh_1,1.90a
   gaṇanākuśalair nṛbhiḥ Brh_1,10.55b	gaNanA-kuSalEH nRBiH Br=-_1,10.55b
   gaṇanākuśalau śucī Brh_1,1.81b	gaNanA-kuSalO SuciH Brh_1,1.81b
   gaṇanāvañcakāś caiva Brh_1,27.7c	gaNanA-vaQcakAH ca-eva Br=-_1,27.7c
   gaṇājñātaṃ niyuktakaiḥ Brh_1,1.94b	gaNa-ajQAtam niyuktakEH Br=-_1,1.94b
   gaṇārthe vā ṛṇaṃ kṛtam Brh_1,10.32d	gaNa-arTe vE RNam kRtam Br=-_1,10.32d
   gaṇārthe vā paṇaṃ kṛtam Brh_1,17.25b	gaNa-arTe vA paNam kRtam Br=-_1,17.25b
   gaṇās tv adhikṛto nṛpaḥ Brh_1,1.75b	gaNAH tu aDikRtaH nRpaH Brh_1,1.75b
   gaṇeśāyatanaṃ viduḥ Brh_1,8.26d	gaNeSa-Ayatanam viduH Br=-_1,8.26d
   gaṇaiś ca śreṇy avijñātaṃ Brh_1,1.94a	gaNEH ca SreNi avijQAtam Brh_1,1.94a
   gate deyas tathaiva ca Brh_1,29.12b	gate deyaH taTA-eva ca Br=-_1,29.12b
   gandhamālyaiḥ samabhyarcya Brh_1,26.60c	ganDa-mAlyEH samaByarcya Br=-_1,26.60c
   gandhamālyaiḥ samarcayet Brh_1,8.86d	ganDa-mAlyEH samarcayet Br=-_1,8.86d
   gamane saṃpramāpaṇam Brh_1,24.15d	gamane saMpramApaNam Br=-_1,24.15d
   gayāṃ yāsyati yaḥ kaścit Brh_1,26.89c	gayAm yAsyati yaH kaScid Br=-_1,26.89c
   gartānūpaṃ susekaṃ ca Brh_1,13.30a	garta-AnUpam susekam ca Br=-_1,13.30a
   gartocchiṣṭāmbusecanam Brh_1,19.49b	garta-ucCizwa-ambu-secanam Br=-_1,19.49b
   garhitā śāstravedibhiḥ Brh_1,3.23b	garhitA SAstra-vediBiH Br=-_1,3.23b
   garhyatām eti sā dhruvam Brh_1,25.9d	garhyatAm eti sA Druvam Br=-_1,25.9d
   garhyā daṇḍyāś ca dharmataḥ Brh_1,5.47d	garhyAH daNxyAH ca DarmataH Br=-_1,5.47d
   gale baddhvāvalambayet Brh_1,22.21d	gale badDvA-avalambayet Br=-_1,22.21d
   gale badhvāvalambayet Brh_1,22.8b	gale baDva-avalambayet Brh_1,22.8b
   gavākṣān noparodhayet Brh_1,19.47b	gavAkzAt na-uparoDayet Br=-_1,19.47b
   gavām pracāre gopālāḥ Brh_1,1.165a	gavAm pracAre gopAlAH Brh_1,1.165a
   gavāṃ bhukte tathendhane Brh_1,8.39b	gavAm Bukte taTA-inDane Br=-_1,8.39b
   gavyaṃ ghṛtam upādāya Brh_1,8.73c	gavyam GRtam upAdAya Br=-_1,8.73c
   gātraṃ ca kampate yasya Brh_1,8.71c	gAtram ca kampate yasya Br=-_1,8.71c
   gāyatryādyaiś ca sāmabhiḥ Brh_1,8.82d	gAyatrI-AdyEH ca sAmaBiH Br=-_1,8.82d
   gāyanās tu samāṃśinaḥ Brh_1,13.37d	gAyanAH tu sama-aMSinaH Br=-_1,13.37d
   gārhyo daṇḍyaś ca dharmataḥ Brh_1,25.4d	gArhyaH daNxyaH ca DarmataH Br=-_1,25.4d
   girīśaś ca mahāyaśāḥ Brh_1,8.22f	girISaH ca mahA-yaSAH Brh_1,8.22f
   guḍasya lavaṇasya ca Brh_1,10.19d	guxasya lavaNasya ca Br=-_1,10.19d
   guḍe madhuni caivoktā Brh_1,10.18e	guxe maDuni ca-eva-uktA Brh_1,10.18e
   guṇadharmān ato rājñaḥ Brh_1,1.5a	guNa-DarmAn atas rAjQaH Br=-_1,1.5a
   guṇavāñ śūdrayonijaḥ Brh_1,26.125b	guNavAn SUdra-yoni-jaH Brh_1,26.125b
   guṇavān iti yaḥ proktaḥ Brh_1,1.36a	guNavAn iti yaH proktaH Brh_1,1.36a
   guṇahīnasya pāruṣye Brh_1,20.9c	guNa-hInasya pAruzye Br=-_1,20.9c
   guṇahīnasya pāruṣye Brh_1,20.13c	guNa-hInasya pAruzye Br=-_1,20.13c
   guṇādhikasya dattā vā Brh_1,19.30c	guNa-aDikasya dattA vA Br=-_1,19.30c
   guṇidvaidhe kriyāyuktās Brh_1,5.46c	guNi-dvEDe kriyA-yuktAH Br=-_1,5.46c
   guptāṃ tāṃ vāsayed gṛhe Brh_1,24.18b	guptAm tAm vAsayet gRhe Br=-_1,24.18b
   gurukāryeṣu daṇḍyaḥ syātn Brh_1,1.148e	guru-kAryezu daNxyaH syAtn Brh_1,1.148e
   gurukāryeṣv akopayan Brh_1,1.157d	guru-kAryezu akopayan Br=-_1,1.157d
   guruputre tathaiva ca Brh_1,15.20d	guru-putre taTA-eva ca Br=-_1,15.20d
   guruśiṣyau pitāputrau Brh_1,1.124a	guru-SizyO pitAputrO Br=-_1,1.124a
   gurūn jyotirvido vaidyān Brh_1,1.25c	gurUn jyotiH-vidaH vEdyAn Brh_1,1.25c
   gurūn purohitān pūjyān Brh_1,9.17a	gurUn purohitAn pUjyAn Brh_1,9.17a
   gurvebhyas tūttarottaram Brh_1,1.75d	guru-eByaH tu-uttarottaram Br=-_1,1.75d
   gulmān veṇūṃś ca vividhāñ Brh_1,19.3a	gulmAn veNUn ca viviDAn Brh_1,19.3a
   gūḍhajaḥ putrikāsutaḥ Brh_1,26.73d	gUXa-jaH putrikA-sutaH Br=-_1,26.73d
   gūḍhadhārī sa vijñeyaḥ Brh_1,5.15c	gUXa-DArI sa vijQeyaH Br=-_1,5.15c
   gūḍhaḥ sākṣī sa ucyate Brh_1,5.8d	gUXaH sAkzI saH ucyate Br=-_1,5.8d
   gūḍhe keśo vidhīyate Brh_1,26.40d	gUXe keSaH viDIyate Br=-_1,26.40d
   gṛhakṣetravivādeṣu Brh_1,19.26a	gRha-kzetra-vivAdezu Br=-_1,19.26a
   gṛhakṣetrādikaṃ krītvā Brh_1,6.13a	gRha-kzetra-Adikam krItvA Brh_1,6.13a
   gṛhakṣetrāpaṇādikam Brh_1,7.44b	gRha-kzetra-ApaNa-Adikam Br=-_1,7.44b
   gṛhadvārāśucisthāna- Brh_1,15.17a	gRha-dvAra-aSuci-sTAna Brh_1,15.17a
   gṛham āgatya yā nārī Brh_1,24.16a	gRham Agatya yA nArI Brh_1,24.16a
   gṛhamānīya kārayet Brh_1,10.105b	gRham-AnIya kArayet Br=-_1,10.105b
   gṛhavaryāpaṇādikam Brh_1,19.45b	gRha-varya-ApaNa-Adikam Br=-_1,19.45b
   gṛhavāryāpaṇaṃ dhānyaṃ Brh_1,10.54a	gRha-vAri-ApaNam DAnyam Brh_1,10.54a
   gṛhasaṃrodhanena ca Brh_1,10.87b	gRha-saMroDanena ca Br=-_1,10.87b
   gṛhasaṃrodhanena ca Brh_1,10.87f	gRha-saMroDanena ca Br=-_1,10.87f
   gṛhaṃ dvijātayaḥ sarve Brh_1,26.53c	gRham dvijAtayaH sarve Br=-_1,26.53c
   gṛhītavetanaḥ karma Brh_1,16.5a	gRhIta-vetanaH karma Br=-_1,16.5a
   gṛhītavetanaḥ karma Brh_1,16.6a	gRhIta-vetanaH karma Br=-_1,16.6a
   gṛhītavyaṃ tathaiva tat Brh_1,13.24d	gRhItavyam taTA-eva tat Br=-_1,13.24d
   gṛhītaṃ pālayed yatnāt Brh_1,11.9c	gRhItam pAlayet yatnAt Br=-_1,11.9c
   gṛhītaḥ śaṅkayā yas tu Brh_1,23.25a	gRhItaH SaFkayA yaH tu Br=-_1,23.25a
   gṛhītā vānyadīyā vā Brh_1,26.102c	gRhItAH vA-anyadIyA vA Br=-_1,26.102c
   gṛhīto mitha eva vā Brh_1,11.16b	gRhItaH miTas eva vA Br=-_1,11.16b
   gṛhītvā na punas tyajet Brh_1,18.9d	gRhItvA na punar tyajet Br=-_1,18.9d
   gṛhītvānyaṃ tu varjayet Brh_1,10.52d	gRhItvA-anyam tu varjayet Br=-_1,10.52d
   gṛhītvāpahnute yaś ca Brh_1,11.14a	gRhItvA-apahnute yaH ca Br=-_1,11.14a
   gṛhītvā vāhayet kāle Brh_1,19.53a	gRhItvA vAhayet kAle Brh_1,19.53a
   gṛhī stomaḥ śadaḥ kṣetrād Brh_1,10.14a	gRhI stomaH SadaH kzetrAt Brh_1,10.14a
   gṛhopakaraṇaṃ tathā Brh_1,23.6b	gRha-upakaraNam taTA Brh_1,23.6b
   gṛhopaskaravāhyādi Brh_1,26.40a	gRha-upaskara-vAhya-Adi Br=-_1,26.40a
   gṛhopaskārarakṣaṇe Brh_1,25.6b	gRha-upaskAra-rakzaNe Br=-_1,25.6b
   gṛhṇītāṃśadvayaṃ svakam Brh_1,26.16b	gRhNIta-aMSa-dvayam svakam Br=-_1,26.16b
   gṛhṇīyāt sīravāhakaḥ Brh_1,16.1b	gRhNIyAt sIra-vAhakaH Br=-_1,16.1b
   gṛhnīyus te 'ṃśato 'param Brh_1,13.11d	gRhnIyuH te aMSataH aparam Br=-_1,13.11d
   gṛhyāṅgasparśanocchiṣṭa- Brh_1,15.17c	gRhya-aFga-sparSana-ucCizwa Br=-_1,15.17c
   gocarasya pradātavyaṃ Brh_1,8.81a	gocarasya pradAtavyam Br=-_1,8.81a
   gocaurasya pradātavyaṃ Brh_1,8.31c	gocOrasya pradAtavyam Br=-_1,8.31c
   gotrasādhāraṇaṃ tyaktvā Brh_1,26.65a	gotra-sADAraNam tyaktvA Br=-_1,26.65a
   gopanāpita[nāvika]yoṣitām Brh_1,10.119b	gopanA-pita[nAvika-]-yozitAm Br=-_1,10.119b
   gopavyādhoñchajīvinaḥ Brh_1,19.27b	gopa-vyADa-uQCa-jIvinaH Brh_1,19.27b
   gopyabhogyakriyāyuktam Brh_1,6.14c	gopya-Bogya-kriyA-yuktam Br=-_1,6.14c
   gopyādhir dviguṇād ūrdhvaṃ Brh_1,10.50a	gopya-ADiH dviguNAt UrDvam Brh_1,10.50a
   gopyo bhogyas tathaiva ca Brh_1,10.38d	gopyaH BogyaH taTA-eva ca Br=-_1,10.38d
   gobījakanakāni ca Brh_1,8.33b	go-bIja-kanakAni ca Br=-_1,8.33b
   gobījakāñcanair vaiśyaṃ Brh_1,8.35c	go-bIja-kAQcanEH vESyam Br=-_1,8.35c
   go'bhiśāpe tathātyaye Brh_1,3.9b	go-aBiSApe taTA-atyaye Br=-_1,3.9b
   gobhūmyor ubhayecchayā Brh_1,18.11d	go-BUmyoH uBaya-icSayA Br=-_1,18.11d
   gomayena kṛtāni syur Brh_1,8.56c	gomayena kRtAni syuH Brh_1,8.56c
   gomayena mṛdā vāpi Brh_1,8.88a	gomayena mRdA vA-api Brh_1,8.88a
   gorakṣakān vāṇijakāṃs Brh_1,8.36c	gorakzakAn vANijakAn Br=-_1,8.36c
   govrajāṃś caiva kalpayet Brh_1,1.35d	go-vrajAn ca-eva kalpayet Br=-_1,1.35d
   gohartur nāsikāṃ chindyāt Brh_1,22.22c	gohartuH nAsikAm CindyAt Br=-_1,22.22c
   grahaḥ prakāśaḥ kartavyo Brh_1,27.8a	grahaH prakASaH kartavyaH Br=-_1,27.8a
   grahītā yadi nāśayet Brh_1,11.12b	grahItA yadi nASayet Br=-_1,11.12b
   grahītṛdravyasahitaṃ Brh_1,11.11c	grahItR-dravya-sahitam Brh_1,11.11c
   grāmakṣetragṛhādīnāṃ Brh_1,19.1c	grAma-kzetra-gRha-AdInAm Br=-_1,19.1c
   grāmayor ubhayor yatra Brh_1,19.43a	grAmayoH uBayoH yatra Brh_1,19.43a
   grāmaśreṇigaṇādibhiḥ Brh_1,6.10b	grAma-SreNi-gaNa-AdiBiH Br=-_1,6.10b
   grāmaśreṇigaṇādibhiḥ Brh_1,17.10d	grAma-SreNi-gaNa-AdiBiH Br=-_1,17.10d
   grāmaśreṇigaṇārthaṃ tu Brh_1,17.5a	grAma-SreNi-gaNa-arTam tu Br=-_1,17.5a
   grāmasīmāntavāsinaḥ Brh_1,19.11b	grAma-sImAnta-vAsinaH Br=-_1,19.11b
   grāmas tatra na saṃśayaḥ Brh_1,5.18d	grAmaH tatra na saMSayaH Br=-_1,5.18d
   grāmeṣu nagareṣu ca Brh_1,7.20b	grAmezu nagarezu ca Br=-_1,7.20b
   grāmo deśaś ca yat kuryān Brh_1,6.15a	grAmaH deSaH ca yat kuryAt Brh_1,6.15a
   grāsācchādanasaṃbhṛtāḥ Brh_1,26.44d	grAsa-AcCAdana-saMBRtAH Br=-_1,26.44d
   grāhayen mudrikāṃ tāṃ tu Brh_1,8.77e	grAhayet mudrikAm tAm tu Brh_1,8.77e
   grāhyas tat kathayāmy aham Brh_1,1.174d	grAhyaH tat kaTayAmi aham Br=-_1,1.174d
   grāhyaṃ yad doṣavarjitam Brh_1,8.43b	grAhyam yat doza-varjitam Br=-_1,8.43b
   grāhyaḥ pīḍām avekṣya ca Brh_1,3.25d	grAhyaH pIxAm avekzya ca Br=-_1,3.25d
   grāhyaḥ pīḍām avekṣya vā Brh_1,1.172d	grAhyaH pIxAm avekzya vA Br=-_1,1.172d
   grāhyāgrāhyaviśeṣite Brh_1,3.2b	grAhyA-grAhya-viSezite Br=-_1,3.2b
   grāhyāḥ sāmye guṇānvitāḥ Brh_1,5.46b	grAhyAH sAmye guNa-anvitAH Brh_1,5.46b
   glahaḥ prakāśaḥ kartavyo Brh_1,22.11a	glahaH prakASaH kartavyaH Brh_1,22.11a
   ghaṭitaṃ phālam ucyate Brh_1,8.79b	Gawitam PAlam ucyate Br=-_1,8.79b
   ghātakaś ca na dṛśyate Brh_1,23.21b	GAtakaH ca na dRSyate Br=-_1,23.21b
   ghātakaḥ sa udāhṛtaḥ Brh_1,23.14d	GAtakaH saH udAhRtaH Br=-_1,23.14d
   ghātayann āparādhnuyāt Brh_1,23.17d	GAtayan AparADnuyAt Br=-_1,23.17d
   ghṛta tvaṃ yajñakarmasu Brh_1,8.76d	GRta tvam yajQa-karmasu Br=-_1,8.76d
   ghṛtamadhyagatāṃ tathā Brh_1,8.77f	GRta-maDya-gatAm taTA Brh_1,8.77f
   ghṛtasyāṣṭaguṇā vṛddhis Brh_1,10.24c	GRtasya-azwaguNA vRdDiH Br=-_1,10.24c
   cakravṛddhir ato 'parā Brh_1,10.9b	cakravRdDiH atas aparA Br=-_1,10.9b
   cakravṛddhivyavasthayā Brh_1,10.99d	cakravRdDi-vyavasTayA Br=-_1,10.99d
   cakravṛddhiś ca gṛhyate Brh_1,10.21b	cakravRdDiH ca gRhyate Br=-_1,10.21b
   cakravṛddhiḥ pragṛhyate Brh_1,10.100b	cakravRdDiH pragRhyate Br=-_1,10.100b
   cakravṛdhyā tu pañcamīm Brh_1,10.15d	cakravRDyA tu paQcamIm Br=-_1,10.15d
   caturaṅgulavistṛtam Brh_1,8.80b	catur-aFgula-vistRtam Br=-_1,8.80b
   caturo 'ṃśāṃs tato mukhyaḥ Brh_1,13.39a	caturaH aMSAn tatas muKyaH Brh_1,13.39a
   caturguṇaṃ vāṣṭaguṇaṃ Brh_1,10.6c	caturguNam vA-azwaguNam Br=-_1,10.6c
   caturguṇottamānāṃ tu Brh_1,8.48c	caturguNa-uttamAnAm tu Br=-_1,8.48c
   caturṇām apy anukramāt Brh_1,1.15d	caturNAm api anukramAt Br=-_1,1.15d
   caturthaṃ yamadaivatam Brh_1,8.54d	caturTam yama-dEvatam Br=-_1,8.54d
   caturthaḥ parikīrtitaḥ Brh_1,9.7d	caturTaH parikIrtitaH Br=-_1,9.7d
   caturthaḥ samavāpnuyāt Brh_1,7.62d	caturTaH samavApnuyAt Br=-_1,7.62d
   caturthāṃśāś ca pādinaḥ Brh_1,13.20d	caturTa-aMSAH ca pAdinaH Br=-_1,13.20d
   caturthe saṃpravartitā Brh_1,7.54b	caturTe saMpravartitA Brh_1,7.54b
   caturtho nirṇayas tathā Brh_1,1.17d	caturTaH nirNayaH taTA Br=-_1,1.17d
   caturtho bhāga iṣyate Brh_1,26.23b	caturTaH BAgaH izyate Br=-_1,26.23b
   caturdaśakam evedaṃ Brh_1,1.23c	caturdaSakam eva-idam Br=-_1,1.23c
   caturdhā kalpitaṃ damam Brh_1,29.2b	caturDA kalpitam damam Br=-_1,29.2b
   caturdhā nirṇayaḥ proktaḥ Brh_1,2.36c	caturDA nirNayaH proktaH Brh_1,2.36c
   caturvidhasyāpy adhunā Brh_1,3.27c	caturviDasya-api aDunA Br=-_1,3.27c
   caturvidhaḥ pūrvapakṣaḥ Brh_1,2.36a	caturviDaH pUrva-pakzaH Br=-_1,2.36a
   caturvidhaḥ syād āsedhaḥ Brh_1,1.159c	caturviDaH syAt AseDaH Br=-_1,1.159c
   caturvidhā sabhā proktā Brh_1,1.57c	caturviDA saBA proktA Br=-_1,1.57c
   catuṣṭayīṃ vṛddhim āhuś Brh_1,10.15c	catuzwayIm vRdDim AhuH Br=-_1,10.15c
   catuṣpādanvitaṃ jaye Brh_1,6.28b	catuzpAd-anvitam jaye Br=-_1,6.28b
   catuṣpād dhanadhānyādi Brh_1,7.65a	catuzpAd Dana-DAnya-Adi Br=-_1,7.65a
   catuṣprakāraḥ pratibhūḥ Brh_1,10.73c	catuzprakAraH pratiBUH Brh_1,10.73c
   catuṣprakāro'bhihitaḥ Brh_1,1.18c	catuzprakAraH-aBihitaH Br=-_1,1.18c
   catuṣprakāro 'bhihitaḥ Brh_1,9.1c	catuzprakAraH aBihitaH Br=-_1,9.1c
   catustridvyekabhāgena Brh_1,26.42c	catur-tri-dvi-eka-BAgena Br=-_1,26.42c
   catuḥpañcakam anyathā Brh_1,10.4d	catur-paQcakam anyaTA Br=-_1,10.4d
   catuḥśatābhiyoge ca Brh_1,8.30a	catur-Sata-aBiyoge ca Br=-_1,8.30a
   catuḥśālasyandanikāḥ Brh_1,19.46c	catur-SAla-syandanikAH Br=-_1,19.46c
   catuḥsuvarṇaṃ ṣaṇṇiṣkās Brh_1,10.30c	catur-suvarNam zaNNizkAH Br=-_1,10.30c
   catuḥsuvarṇāḥ ṣaṇṇiṣkās Brh_1,17.14c	catur-suvarNAH zaNNizkAH Br=-_1,17.14c
   catvāras traya eva vā Brh_1,5.1b	catvAraH trayaH eva vA Br=-_1,5.1b
   catvāraḥ pṛthivīpālāḥ Brh_1,1.24a	catvAraH pRTivIpAlAH Brh_1,1.24a
   catvāraḥ śāstravedibhiḥ Brh_1,2.2d	catvAraH SAstra-vediBiH Br=-_1,2.2d
   [catvāraḥ śiṣyo 'ntevāsī Brh_1,15.15c	[catvAraH SizyaH antevAsI Br=-_1,15.15c
   catvāraḥ samudāhṛtāḥ Brh_1,15.15b	catvAraH samudAhRtAH Brh_1,15.15b
   catvāry āha bṛhaspatiḥ Brh_1,1.14d	catvAri Aha bRhaspatiH Br=-_1,1.14d
   candrārkasamakālīnaṃ Brh_1,6.22c	candra-arka-sama-kAlInam Br=-_1,6.22c
   ca puṇyāyāmukasūnave Brh_1,6.21b	ca puNyAyAmuka-sUnave Br=-_1,6.21b
   carantīśvarabuddhayaḥ Brh_1,1.96b	caranti-ISvara-budDayaH Br=-_1,1.96b
   carāṇi sthāvarāṇi ca Brh_1,1.7d	carANi sTAvarANi ca Br=-_1,1.7d
   caritaṃ bādhyate tayā Brh_1,1.21d	caritam bADyate tayA Br=-_1,1.21d
   carukāraṃ saghoṣakam Brh_1,8.75d	carukAram sa-Gozakam Br=-_1,8.75d
   carmakāṣṭhavikārāṇām Brh_1,18.10c	carma-kAzWa-vikArANAm Br=-_1,18.10c
   calā nāmāpratiṣṭhitā Brh_1,1.58b	calAH nAma-apratizWitA Br=-_1,1.58b
   cāṭacorabhayaṃ bādhā Brh_1,17.6a	cAwa-cora-Bayam bADA Br=-_1,17.6a
   cāmuṇḍā gaṇasaṃyutā Brh_1,8.26b	cAmuNxA gaNa-saMyutA Brh_1,8.26b
   cāritram iti kathyate Brh_1,9.6b	cAritram iti kaTyate Br=-_1,9.6b
   cāritreṇa nṛpājñayā Brh_1,1.18b	cAritreNa nRpa-AjQayA Brh_1,1.18b
   cāritreṇa nṛpājñayā Brh_1,9.1b	cAritreNa nRpa-AjQayA Brh_1,9.1b
   cālayan daṇḍam arhati Brh_1,19.43f	cAlayan daNxam arhati Brh_1,19.43f
   citreṇa caritena vā Brh_1,10.42b	citreNa caritena vA Br=-_1,10.42b
   cintitā putrikā bhavet Brh_1,26.76d	cintitA putrikA Bavet Br=-_1,26.76d
   cirakālaproṣito 'pi Brh_1,26.64c	cira-kAla-prozitaH api Brh_1,26.64c
   ciranaṣṭeṣu sākṣiṣu Brh_1,4.21b	cira-nazwezu sAkzizu Br=-_1,4.21b
   cirantanopāṃśukṛte Brh_1,4.21a	cirantana-upAMSu-kRte Br=-_1,4.21a
   cirāvasanne daśamaṃ Brh_1,19.55a	cira-avasanne daSamam Brh_1,19.55a
   cihnahoḍhena vā naraiḥ Brh_1,23.24b	cihna-hoXena vA narEH Br=-_1,23.24b
   cihnaiḥ sīmāṃ viniścitām Brh_1,19.44d	cihnEH sImAm viniScitAm Br=-_1,19.44d
   cīrṇe doṣadvayaṃ bhavet Brh_1,16.17b	cIrNe doza-dvayam Bavet Brh_1,16.17b
   cumbanāliṅganaṃ tathā Brh_1,24.8b	cumbana-AliFganam taTA Brh_1,24.8b
   caityārāmasurālayāḥ Brh_1,19.8d	ca-etya-ArAma-surAlayAH Br=-_1,19.8d
   coditaṃ vidhavādhanam Brh_1,26.85b	coditam viDavADanam Br=-_1,26.85b
   coraṃ coreti vā punaḥ Brh_1,20.10b	coram cora-iti vA punar Br=-_1,20.10b
   cauradaṇḍeṇa ghātayet Brh_1,26.105d	cOra-daNxeNa GAtayet Br=-_1,26.105d
   cauro 'cauraḥ sādhv asādhu Brh_1,1.116a	cOraH acOraH sADu asADu Brh_1,1.116a
   chadmanā kāmayed yas tu Brh_1,24.14a	CadmanA kAmayet yaH tu Br=-_1,24.14a
   chadmanā gṛham ānīya Brh_1,24.4a	CadmanA gRham AnIya Br=-_1,24.4a
   chadmanā yācitaṃ cārtham Brh_1,10.90a	CadmanA yAcitam ca-arTam Brh_1,10.90a
   chalaṃ tatra na kārayet Brh_1,3.40d	Calam tatra na kArayet Br=-_1,3.40d
   chalān nyāyena vā hṛtā] Brh_1,19.29d	CalAt nyAyena vA hRtA] Br=-_1,19.29d
   chinnanāsauṣṭhakarṇānāṃ Brh_1,24.17a	Cinna-nAsA-ozWa-karNAnAm Brh_1,24.17a
   chinnabhoge gṛhe kṣetre Brh_1,7.48a	Cinna-Boge gRhe kzetre Br=-_1,7.48a
   chūdrasyārdhatrayodaśa Brh_1,20.12d	CUdrasya-arDa-trayodaSa Br=-_1,20.12d
   chettavyaṃ tad bhavet tasya Brh_1,21.22e	Cettavyam tat Bavet tasya Brh_1,21.22e
   chedane cottamo daṇḍo Brh_1,21.13c	Cedane ca-uttamaH daNxaH Br=-_1,21.13c
   chedayet prathame grahe Brh_1,22.9b	Cedayet praTame grahe Br=-_1,22.9b
   chrāvitaṃ smāritaṃ ca yat Brh_1,6.45b	CrAvitam smAritam ca yat Br=-_1,6.45b
   jagaty akṣarasaṃhitāḥ Brh_1,1.24d	jagati akzara-saMhitAH Br=-_1,1.24d
   jaghanyāś caiva ye teṣāṃ Brh_1,26.54c	jaGanyAH ca-eva ye tezAm Br=-_1,26.54c
   jaghanyāsanaśāyitvaṃ karma Brh_1,25.10c	jaGanya-Asana-SAyi-tvam karma Br=-_1,25.10c
   jaṅgamaṃ sthāvaram bandhaṃ Brh_1,6.14a	jaFgamam sTAvaram banDam Brh_1,6.14a
   jaṅgamaṃ sthāvaraṃ caiva Brh_1,18.2a	jaFgamam sTAvaram ca-eva Br=-_1,18.2a
   jaṅgamaṃ sthāvaraṃ hema Brh_1,26.97a	jaFgamam sTAvaram hema Br=-_1,26.97a
   jaṅgamaḥ sthāvaraś caiva Brh_1,10.38c	jaFgamaH sTAvaraH ca-eva Br=-_1,10.38c
   jaṅghe gaṇakalekhakau Brh_1,1.84d	jaFGe gaNaka-leKakO Br=-_1,1.84d
   jaḍabāladhanena ca Brh_1,7.29d	jaxa-bAla-Danena ca Br=-_1,7.29d
   jaḍātivṛddhabālaś ca Brh_1,1.173c	jaxa-ativRdDa-bAlaH ca Br=-_1,1.173c
   jadhanyakarmabhājas tu Brh_1,15.15e	jaDanya-karma-BAjaH tu Brh_1,15.15e
   janāparaktir bhavati Brh_1,1.127c	jana-aparaktiH Bavati Br=-_1,1.127c
   janmajyeṣṭho guṇānvitaḥ Brh_1,26.120b	janma-jyezWaH guNa-anvitaH Brh_1,26.120b
   janmanām aparijñāne Brh_1,26.66c	janmanAm aparijQAne Br=-_1,26.66c
   janmavidyāguṇair jyeṣṭho Brh_1,26.21a	janma-vidyA-guNEH jyezWaH Brh_1,26.21a
   jayadānaṃ damaṃ tathā Brh_1,1.89b	jaya-dAnam damam taTA Brh_1,1.89b
   jayadānaṃ samaṃ na syāt Brh_1,3.32c	jaya-dAnam samam na syAt Br=-_1,3.32c
   jayapattrasya cādanāj Brh_1,9.21c	jaya-pattrasya cAdanAt Br=-_1,9.21c
   jayapattreṇa bhāvayet Brh_1,4.3d	jaya-pattreNa BAvayet Br=-_1,4.3d
   jayapatrakam iṣyate Brh_1,6.28d	jaya-patrakam izyate Br=-_1,6.28d
   jayapatrakam eva ca Brh_1,6.8b	jaya-patrakam eva ca Br=-_1,6.8b
   jayapatraṃ tad ucyate Brh_1,6.26f	jaya-patram tat ucyate Brh_1,6.26f
   jayapatro 'khilaṃ likhet Brh_1,6.27d	jaya-patraH aKilam liKet Br=-_1,6.27d
