   {MV S_1}	{MV H _1}
   tasya guṇaphalasambandhārthakatvena budhavārādiyogaśāstravanirṇāyakatvāt /	tasya guNa Pala sambanDa arTaka tvena buDa vAra Adi yoga SAstra vanirNAyaka tvAt /
   anyathā	anyaTA
   pretayonigatānāṃ ca pretatvaṃ nāśitaṃ naraiḥ /	preta yoni gatAnAm ca preta tvam nASitam narEH /
   yaiḥ kṛtā śrāvaṇe māsi hyaṣṭamī rohiṇīyutā //	yEH kRtA SrAvaNe mAsi hi azwamI rohiNI yutA //
   kiṃ punarbudhavāreṇa somenāpi viśeṣataḥ //	kim punar buDa vAreNa somena api viSezataH //
   kiṃ punarnavamīyuktā kulakoyyāstu muktidā /	kim punarnavamI yuktA kula koyyAH tu mukti dA /
   iti pādmāt pūrvejhurarddharātragatāṃ rohiṇīyutāmaṣyaṣṭamīṃ parityajya	iti pAdmAt pUrveJuH ardDa rAtra gatAm rohiNI yutAm azi azwamIm parityajya
   budhavārādiyutā parā kartavyā āpadyeta /	buDavAra Adi yutA parA kartavyA Apadyeta /
   na ceṣṭāpattiḥ /	na cezwApattiH /
   kulakoṭayāstu muktidā kiṃ punarbudhavāreṇetyādinā"yadi kāmayeta varṣukaḥ	kula kowayAH tu mukti dA kim punar buDa vAreNa ityAdinA"yadi kAmayeta varzukaH
   parjanyaḥ syāt"itivat (a0 3 pā0 8 adhi0 6)	parjanyaH syAt"iti vat (a0 3 pA0 8 aDi0 6)
   guṇaphalasambandhārthakatvapratīteḥ /	guNa Pala sambanDa arTaka tva pratIteH /
   etena ācāryacūḍāmaṇyuktaṃ budhāvārādiyogasya nirṇāyakatvaṃ pratyuktam /	etena AcArya cUxAmaNI uktam buDAvAra Adi yogasya nirNAyaka tvam pratyuktam /
   tithitattvakārādayo 'pi budhavārādiyogasyānirṇāyakatvaṃ manyante /	tiTi tattva kAra AdayaH api buDa vAra Adi yogasya anirNAyaka tvam manyante /
   evaṃ ca  	evam ca  
   prājāpatyarkṣasaṃyuktā kṛṣṇā nabhasi cāṣṭamī /	prAjApatya Rkza saMyuktA kRzNA naBasi ca azwamI /
   muhūrtamapi labhyeta  	muhUrtam api laByeta  
   iti viṣṇurahasyavacanamapi guṇaphalasambandhaparaṃ vyākhyeyam /	iti vizNu rahasya vacanam api guNa Pala sambanDa param vyAKyeyam /
   yattu  	yat tu  
   udaye cāṣṭamī kiñcit navamī sakalā yadi /	udaye ca azwamI kiQcid navamI sakalA yadi /
   iti skāndavacane udayagrahaṇaṃ taccandrodayaparaṃ"tārāpatyudaye	iti skAnda vacane udaya grahaNam tad candra udaya paraM"tArA pati udaye
   tathā"itivacanāntaraikavākyatvāt /	taTA a"iti vacana antara eka vAkya tvAt /
   na ca  	na ca  
   divā vā yadi vā rātrau nāsti cedrohiṇī kalā /	divA vA yadi vA rAtrO na asti ced rohiNI kalA /
   rātriyuktāṃ prakurvīta viśeṣeṇendusaṃyutām //	rAtri yuktAm prakurvIta viSezeNa indu saMyutAm //
   itivacanāt paradine rohiṇīyogābhāva eva rātriyuktāṣṭamī grāhye ti vācyam /	iti vacanAt para dine rohiNI yoga aBAvaH eva rAtri yukta azwamI grAhye ti vAcyam /
   tasya taddine svalpasyāpi rohiṇīyogasyābhāve 'pi nyāyaprāptaśuddhā	tasya tad dine su alpasya api rohiNI yogasya aBAve api nyAya prApta SudDA
   ṣṭamīvratakartavyatānuvādakatvāt iti śiṣṭamatamanavadyam /	zwamI vrata kartavyatA anuvAdaka tvAt iti Sizwa matamanavadyam /
   dinadvaye rohiṇīyoge 'yoge vā śuddhādhikā pūrvaiva tadatikrame	dina dvaye rohiNI yoge ayoge vA SudDa aDikA pUrvA eva tad atikrame
   kāraṇābhāvāt /	kAraNa aBAvAt /
   {MV S_49}	{MV H _49}
   viddhādhikāyāṃ tvanyatarasminneva dine niśīthe rohiṇīyoge saiva	vidDa aDikAyAm tu anyatarasmin= eva dine niSITe rohiNI yoge sA eva
   rohiṇīyogaprāśastyāt /	rohiNI yoga prASastyAt /
   pūrvatraiva yoge  	pUrvatra eva yoge  
   saptamīsaṃyutāṣṭamyāṃ niśīthe rohiṇī yadi /	saptamI saMyuta azwamyAm niSITe rohiNI yadi /
   bhavitā sāṣṭamī puṇyā yāvaccandradivākarau //	BavitA sa azwamI puNyAH yAvat candra divAkarO //
   iti vakṣyamāṇasaptamīviddhāniṣedhapratiprasavārthakavahvipurāṇāt /	iti vakzyamANa saptamI vidDA nizeDa pratiprasava arTaka vahvipurANAt /
   dinadvaye niśīthe rohiṇīyoge tūttaraiva /	dina dvaye niSITe rohiNI yoge tu uttarA eva /
   varjanīyā prayatnena saptamīsaṃyutāṣṭamī /	varjanIyA prayatnena saptamI saMyuta azwamI /
   saṛkṣāpi na kartavyā saptamīsaṃyutāṣṭamī //	sa RkzA api na kartavyA saptamI saMyuta azwamI //
   iti brahmavaivartavacanāt /	iti brahmavEvarta vacanAt /
   ata eva viddhādhikāyāṃ dvinadvaye 'pi niśītha matikramya rohiṇīyoge	atas eva vidDa aDikAyAm dvina dvaye api niSITa matikramya rohiNI yoge
   'ṣṭamyāśca dinadvaye niśīthe sattvāsattavayoḥ paraiva /	azwamyAH ca dina dvaye niSITe sattva asattavayoH para eva /
   anyatarasminneva sattve saiva /	anyatarasmin= eva sattve sA eva /
   sarvathā rohiṇīyogarahitāyāmaṣṭamyāṃ niśīthe	sarvaTA rohiNI yoga rahitAyAm azwamyAm niSITe
   dinadvayasattvānyatarasattveṣvayameva nyāyo draṣṭavyaḥ /	dina dvaya sattva anyatara sattvezu ayam eva nyAyaH drazwavyaH /
   na ca  	na ca  
   alābhe rohiṇībhasya kāryāṣṭamyastagāminī /	alABe rohiNI iBasya kArya azwamI asta gAminI /
   tatropavāsaṃ kṛtvaiva tithyante pāraṇaṃ bhavet //	tatra upavAsam kRtvA eva tiTyante pAraNam Bavet //
   iti gauḍadhṛtaviṣṇurahasyavacanāt rohiṇyalābhe sarvathā pūrvaiva grāhyā	iti gOxa DRta vizNu rahasya vacanAt rohiNI alABe sarvaTA pUrvA eva grAhyA
   syāditivācyam /	syAt iti vAcyam /
   vākyasya hemādryādibhiranibandhanānnirmūlatvāt /	vAkyasya hemAdri AdiBiH anibanDanAt nirmUla tvAt /
   samūlatve vā paradine niśīthe rohiṇīyogābhāvaviṣayatvāditi /	sa mUla tve vA para dine niSITe rohiNI yoga aBAva vizaya tvAt iti /
   atra cārddharātrapūjopavāsaśca dvayaṃ pradhānam /	atra ca ardDarAtra pUjA upavAsaH ca dvayam praDAnam /
   arddharātre tu rohiṇyāṃ yadā kṛṣṇāṣṭamī bhavet /	ardDarAtre tu rohiNyAm yadA kRzNa azwamI Bavet /
   tasyāmabhyarcanaṃ śaurerhanti pāpaṃ trijanmajam //	tasyAm aByarcanam SOreH hanti pApam tri janma jam //
   iti bhaviṣyapurāṇāt"sopoṣyā sā mahāphalā"iti pūrvodāhṛtavacanācca /	iti BavizyapurANa at"sA upozyA sA mahA PalA" iti pUrva udAhRta vacanAt ca /
   trikālaṃ pūjayeddevaṃ divārātrau viśeṣataḥ /	tri kAlam pUjayet devam divArAtrO viSezataH /
   ardharātrāvapi tathā puṣpainārnāvidhairapi //	arDarAtrO= api taTA puzpa enArnAviDEH api //
   iti bhaviṣyoktapūjā tvaṅgabhūtā phalasambandhābhāvāt /	iti Bavizya ukta pUjA tu aFga BUtA Pala sambanDa aBAvAt /
   na caivaṃ pūjopavāsayoḥ phalabhedāt samānaphalakatve 'pi vā	na ca evam pUjA upavAsayoH Pala BedAt samAna Palaka tve api vA
   nirapekṣavidhānāt citrodbhidādivadekaikasyāpyanuṣṭhānaprasaṅga iti vācyam	nirapekza viDAnAt citra udBida Adi vat ekEkasya api anuzWAna prasaFgaH iti vAcyam
   sopavāso hareḥ pūjāṃ kṛtvā tatra na sīdati /	sa upavAsaH hareH pUjAm kRtvA tatra na sIdati /
   iti bhaviṣyavacanāt samuccayāvagateḥ"dvādaśarātre havīṃṣi	iti Bavizya vacanAt samuccaya avagateH"dvAdaSa rAtre havIMzi
   nirvapet"itivacanādādhānapavamāneṣṭayoriva /	nirvapet"iti vacanAt ADAna pavamAna izwayoH iva /
   bhāṣyakāramatena ca phalaśruteḥ kāmyatvameva /	BAzya kAra matena ca Pala SruteH kAmya tvam eva /
   prājāpatyarkṣasaṃyuktā kṛṣṇā nabhasi cāṣṭamī /	prAjApatya Rkza saMyuktA kRzNA naBasi ca azwamI /
   varṣe varṣe tu kartavyā tuṣṭayarthaṃ cakrapāṇinaḥ //	varze varze tu kartavyA tuzwayarTam cakrapANinaH //
   {MV S_50}	{MV H _50}
   iti vīpsāśravaṇānnityatvopapatteḥ /	iti vIpsA SravaNAt nitya tva upapatteH /
   na cātra tuṣṭayarthamitiphalaśravaṇāt	na ca atra tuzwayarTam iti Pala SravaNAt 
   phalanimittoddeśyadvayanimittavākyabhedaḥ syāditi vācyam /	Pala nimitta uddeSya dvaya nimitta vAkya BedaH syAt iti vAcyam /
   vijātīyānekoddeśyadvayanimittavākyabhedaḥ syāditi vācyam /	vijAtIya aneka uddeSya dvaya nimitta vAkya BedaH syAt iti vAcyam /
   vijātīyānekoddeśyatvanimittasya tasyādoṣatvāt /	vijAtIya aneka uddeSya tva nimittasya tasya adoza tvAt /
   na ca nityatve 'syākaraṇe prāyaścittaśravaṇaṃ syāditivācyam /	na ca nitya tve asya akaraNe prAyaScitta SravaNam syAt iti vAcyam /
   viśiṣya tadanuktāvapi prāṇāyāmaśataṃ kāryaṃ sarvapāpāpanuttaye /	viSizya tad anuktO= api prANAyAma Satam kAryam sarva pApa apanuttaye /
   ityādeḥ sāmānyataḥ śrutasyātrāpi prāpterityanavadyam /	ityAdeH sAmAnyatas Srutasya atra api prApteH iti anavadyam /
   iti janmaṣṭamīnirṇayaḥ /	iti janmazwamI nirNayaH /
   athāsyāḥ pāraṇanirṇayaḥ /	aTa asyAH pAraNa nirNayaH /
   tatra kevalāṣṭyamyupavāse pāraṇadine cāṣṭamyanuvṛttau tadante kāryam /	tatra kevala azwi ami upavAse pAraNa dine ca azwamI anuvRttO tad ante kAryam /
   viṣṇudharmottare  	vizNuDarmottare  
   jayantī śivarātriśca kārye bhadrājayānvite /	jayantI SivarAtriH ca kArye BadrAjaya anvite /
   kṛtvopavāsaṃ tithyante tathā kuryācca pāraṇam //	kRtvA upavAsam tiTyante taTA kuryAt ca pAraNam //
   iti /	iti /
   atra jayantīśabdo janmāṣṭamīmātravacanaḥ tithimātrānte pāraṇāvidhānāt /	atra jayantI SabdaH janma azwamI mAtra vacanaH tiTi mAtra ante pAraNA viDAnAt /
   rohiṇīsahitāṣṭamyupavāse tu pāraṇadine ubhayānuvṛttāvubhayānte tat kāryam	rohiNI sahita azwamI upavAse tu pAraNa dine uBaya anuvRttO= uBaya ante tat kAryam
   kāryā viddhā tu saptamyā rohiṇīsahitāṣṭamī /	kAryA vidDA tu saptamyA rohiNI sahita azwamI /
   tatrovāsaṃ kuryāttu tithibhānte ca pāraṇam //	tatra uvAsam kuryAt tu tiTi Ba ante ca pAraNam //
   iti padmapurāṇāt /	iti padma purANAt /
   idaṃ cobhayānte pāraṇaṃ mahāniśāto 'rvāgubha yānte	idam ca uBaya ante pAraNam mahA niSAtaH arvAk uBa yAnte
   bhojanaparyāptakālalābhe /	Bojana paryApta kAla lABe /
   na rātrau pāraṇaṃ kuryādṛte vai rohiṇīvratāt /	na rAtrO pAraNam kuryAt Rte vE rohiNI vratAt /
   atra niśyapi tatkuryāt varjayitvā mahāniśām //	atra niSi api tat kuryAt varjayitvA mahA niSAm //
   iti gauḍanibandhodāhṛtabrahmāṇḍapurāṇāt /	iti gOxa nibanDA udAhRta brahmANxa purANAt /
   mahāniśā ca sārddhayāmānantaraṃ yāmamātro rātribhāgaḥ /	mahAniSA ca sArdDayAma anantaram yAma mAtraH rAtri BAgaH /
   mahāniśā tu vijñeyā madhyaṃ madhyamayāmayoḥ /	mahAniSA tu vijQeyA maDyam maDyama yAmayoH /
   iti smṛteḥ rohiṇīvrataṃ cātra taduktāṣṭamīvratameva prakaraṇāt /	iti smRteH rohiNI vratam ca atra tad ukta azwamIvratam eva prakaraNAt /
   evaṃ ca  	evam ca  
   sarveṣvevopavāseṣu divā pāraṇamiṣyate /	sarvezu eva upavAsezu divA pAraNam izyate /
   anyathā puṇyahāniḥ syādṛte dhāraṇapāraṇam //	anyaTA puNya hAniH syAt Rte DAraNa pAraNam //
   anyatithyāgamo rātrau tāmasastaijaso divā /	anya tiTi AgamaH rAtrO tAmasaH tEjasaH divA /
   tāmase pāraṇaṃ kuryāt tāmasīṃ gatimāpnuyāt //	tAmase pAraNam kuryAt tAmasIm gatim ApnuyAt //
   iti garuḍapurāṇādau rātripāraṇaniṣedho janmāṣṭamīpāraṇātiriktaparaḥ /	iti garuxa purANa AdO rAtri pAraNa nizeDaH janma azwamI pAraNa atirikta paraH /
   yadā tu tādṛśe kāle ubhayānto na labhyate tadānyatarānte 'pi tat kāryam /	yadA tu tAdRSe kAle uBayAntaH na laByate tadA anyatara ante api tat kAryam /
   {MV S_51}	{MV H _51}
   bhānte kuryāttithervāpi śastaṃ bhārata! pāraṇam /	BAnte kuryAt tiTeH vA api Sastam BArata! pAraNam /
   iti janmāṣṭamīṃ prakramya vanhipurāṇāt /	iti janma azwamIm prakramya vanhi purANAt /
   yadā tu mahāniśāyāḥ pūrvaṃ pāraṇāparyāptaḥ kālo na labhyate tadā tatrāpi	yadA tu mahA niSAyAH pUrvam pAraNa aparyAptaH kAlaH na laByate tadA tatra api
   kuryāt /	kuryAt /
   tithyarkṣayoryadā cchedo nakṣatrāntamathāpi vā /	tiTya RkzayoH yadA cCedaH nakzatra antam aTa api vA /
   arddharātre 'pi vā kuryāt pāraṇaṃ tvapare 'hani //	ardDarAtre api vA kuryAt pAraNam tu apare ahani //
   iti hemādridhṛtavacanāt /	iti hema adri DRta vacanAt /
   arddhaṃrātre = mahāniśāyām /	ardDaMrAtre  mahA niSAyAm /
   tatraiva bhojananiṣedhāt pratiprasavasyocitatvāt /	tatra eva Bojana nizeDAt pratiprasavasya ucita tvAt /
   nakṣatrāntamiti tithyantasyāpyupalakṣaṇam /	nakzatra antam iti tiTyantasya api upalakzaNam /
   gauḍāstu arddharātrena tat kuryāt iti paṭhitvā yadyardharātre	gOxAH tu ardDarAtrena tat kuryAt iti paWitvA yadi arDarAtre
   ubhayoranyatarasya vāntastadā nārddharātre pāraṇaṃ kintu divaiva /	uBayoH anyatarasya vAntaH tadA na ardDa rAtre pAraNam kintu divA eva /
   varjayitvā mahāniśāmiti paryudāsaikavākyatālābhādityāhuḥ /	varjayitvA mahA niSAm iti paryudAsa eka vAkya ta alABAt iti AhuH /
   yattu  	yat tu  
   tithyante votsavānte vā vratī kurvīṃta pāraṇam /	tiTyante vA utsava ante vA vratI kurvIMta pAraNam /
   iti kālādarśavacanaṃ tadaśaktaviṣayamiti madanaratne /	iti kAla AdarSa vacanam tad aSakta vizayam iti madana ratne /
   hemādristu ubhayānte pāraṇaṃ śaktaviṣayamaśaktasya tu anyatarānte tato	hema adriH tu uBaya ante pAraNam Sakta vizayam aSaktasya tu anyatara ante tatas 
   'pyaśaktasyotsavānta ityāha /	api aSaktasya utsava ante iti Aha /
   iti śrīmatsakalasāmantacakracūḍāmaṇimarīcimañjarīnīrājitacaraṇakamala	iti SrImat sakala sAmanta cakra cUxAmaNi marIci maQjarI nIrAjita caraNa kamala
   śrīmanmahārājādhirājapratāparudratanūjaśrīmanmahārājamadhukarasāhasūnu caturudadhivalayayasundharāhṛdayapuṇḍarīkavikāśadinakara	SrImat mahA rAja aDirAja pratApa rudra tanUja SrImat mahA rAja maDukara sAha sUnu  catur udaDi vala yaya sunDarA hRdaya puNxarIka vikASa dinakara
   śra	Sra
   śrīmanmahārājādhirājavīrasiṃhadevodyojita śrīhaṃsapaṇḍitātmaja śrīparaśurāmamiśrasunu sakalavidyāpārāvārapārīṇadhurīṇajagaddāridrayamahāgajapārīndravidvañcanajīvātu śrīmanmitramiśrakṛte	SrImat mahA rAja aDirAja vIra siMha deva udyojita  SrI haMsa paNxita Atmaja  SrI paraSurAma miSra sunu sakala vidyA pArAvAra pArINa DurINa jagat dAridr
   vīramitrodayanibandhe samayaprakāśe janmāṣṭamīnirṇayaḥ /	vIra mitra udaya nibanDe samaya prakASe janma azwamI nirNayaH /
   atha navamī nirṇīyate /	aTa navamI nirNIyate /
   sā tu aṣṭamīsaṃyutā grāhyā /	sA tu azwamI saMyutA grAhyA /
   vasurandhrayoritiyugmavākyāt /	vasu ranDrayoH iti yugma vAkyAt /
   padmapurāṇe 'pi  	padmapurANe api  
   aṣṭamī navamīviddhā navamyā cāṣṭamī yutā /	azwamI navam IvidDA navamyA ca azwamI yutAH /
   arddhanārīśvaraprāyā umāmāheśvarī tithiḥ //	ardDanArISvara prAyA umA mAheSvarI tiTiH //
   iti /	iti /
   bhaviṣyapurāṇe 'pi dvādaśīkalpe  	BavizyapurANe api dvAdaSI kalpe  
   navamyā saha kāryā syādaṣṭamī navamī tathā /	navamyA saha kAryA syAt azwamI navamI taTA /
   tathā = aṣṭamyā sahetyarthaḥ /	taTA  azwamyA saha iti arTaH /
   niṣedhamukhenāpi navamyā aṣṭamīviddhatvaṃskandapurāṇādāvabhihitam  	nizeDa muKena api navamyAH azwamI vidDa tvaMskanda purANa AdO= aBihitam  
   {MV S_52}	{MV H _52}
   na kāryā navamī tāta! daśamyā tu kadācana /	na kAryA navamI tAta! daSamyA tu kadAcana /
   iti skandapurāṇam	iti skandapurANam
   navamyekādaśī caiva diśā viddhā yadā bhavet /	navamI ekAdaSI ca eva diSA vidDA yadA Bavet /
   tadā varjyā viśeṣeṇa gaṅgāmbhaḥ surayā yathā //	tadA varjyAH viSezeNa gaFgA amBaH surayA yaTA //
   iti padmapurāṇaṃ ca /	iti padmapurANam ca /
   dik daśamī /	diS daSamI /
   navamyā aṣṭamīvedhavidhirdaśamīvedhaniṣedhaśca dvayaṃ brahmavaivartte	navamyAH azwamI veDa viDiH daSam I veDa nizeDaH ca dvayam brahmavEvartte
   darśitam /	darSitam /
   aṣṭamyā navamī viddhā kartavyā phalakāṅkṣibhiḥ /	azwamyA navamI vidDA kartavyA Pala kAFkziBiH /
   na kuryānnavamīṃ tāta! daśamyā tu kadācana //	na kuryAt navamIm tAta! daSamyA tu kadAcana //
   iti /	iti /
   nanu kṛṣṇanavamyā aṣṭamīviddhatve 'pi śuklapakṣanavamyā	nanu kRzNa navamyAH azwamI vidDa tve api Sukla pakza navamyA
   daśamīviddhatvamastu /	daSamIvidDa tvam astu /
   śuklapakṣe tithirgrāhyā yasyāmabhyudito raviḥ /	Sukla pakze tiTiH grAhyA yasyAm aByuditaH raviH /
   iti vacanabalāditi cet, na /	iti vacana balAt iti cet, na /
   pūrvokteṣu vacaneṣu dadhamīvedhasya sākṣānniṣiddhatvāt /	pUrva uktezu vacanezu daDamIveDasya sAkzAt nizidDa tvAt /
   nanu pūrvoṃktaniṣedhasya kṛṣṇaśuklapakṣobhayasādhāraṇatvena sāmānyarūpasya	nanu pUrva uMkta nizeDasya kRzNa Sukla pakza uBaya sADAraNa tvena sAmAnya rUpasya
   kṛṣṇapakṣe saṅkoco 'stviti cet, maivam /	kRzNa pakze saFkocaH astu iti cet, mA evam /
   bhavadukto 'pi"śuklapakṣe tithirgrāhyā"ityayaṃ saṅkocaheturapi sāmānyarūpa	Bavat uktaH api "Sukla pakze tiTiH grAhyA" iti ayam saFkoca hetuH api sAmAnya rUpa
   eva tasmāt pakṣayorubhayorapi pūrvaviddhaiva navamīti siddham /	eva tasmAt pakzayoH uBayoH api pUrva vidDA eva navamI iti sidDam /
   caitraśuklapakṣe navamī rāmanavamī sā ca madhyāhnavyāpinī grāhyā /	cEtra Sukla pakze navamI rAmanavamI sA ca maDyAhna vyApinI grAhyA /
   meṣe pūṣaṇi samprāpte lagne karkaṭakāhvaye /	meze pUzaNi samprApte lagne karkawaka Ahvaye /
   āvirāsītsa kalayā kosalyāyāṃ paraḥ pumān //	AvirAsIt sa kalayA kosalyAyAm paraH pumAn //
   ityagastyasaṃhitāvacanāt maghyāhnasya janmakālatvāt /	iti agastya saMhitA vacanAt maGya ahnasya janma kAla tvAt /
   jayantīṣu ca janmakālasyaiva pūjārūpakarmakālatvāt /	jayantIzu ca janma kAlasya eva pUjA rUpa karma kAla tvAt /
   janmāṣṭamyādau tathā darśanāt /	janma azwamI AdO taTA darSanAt /
   saiva madhyāhnayoginī yadi punarvasuyutā atīva puṇyatametyuktaṃ  	sA eva maDyAhna yoginI yadi punarvasu yutAH atIva puNyatama iti uktaM  
   tatraiva:	tatra eva:
   caitraśuddhātra navamī punarvasuyutā yadi /	cEtra SudDA atra navamI punarvasu yutAH yadi /
   saiva madhyāhnayogena mahāpuṇyatamā bhavet //	sA eva maDyAhna yogena mahA puNyatamA Bavet //
   iti /	iti /
   sā rāmanavamī yadi dinadvaye 'pi madhyāhnasparśinī dinadvaye 'pi	sA rAma navamI yadi dina dvaye api maDyAhna sparSinI dina dvaye api
   madhyāhnāsparśinī dinadvaye 'pi madhyāhnaikadeśasparśinī vā tadā	maDyAhna asparSinI dina dvaye api maDyAhna eka deSa sparSinI vA tadA
   punarvasuyutā grāhyā /	punarvasu yutA grAhyA /
   punarvasvṛkṣasaṃyogaḥ svalpo 'pi yadi dṛśyate /	punarvasu Rkza saMyogaH su alpaH api yadi dRSyate /
   caitraśuddhanavamyāṃ tu sā puṇyā sarvakāmadā //	cEtra SudDa navamyAm tu sA puNyA sarva kAma dA //
   ityagastyasaṃhitāvacanāt /	iti agastya saMhitA vacanAt /
   yadā tādṛśyā dinadvaye 'pi punarvasuyogastadā yā madhyāhne punarvasuyoginī	yadA tAdRSyAH dina dvaye api punarvasu yogaH tadA yA maDyAhne punarvasu yoginI
   sā grāhyā /	sA grAhyA /
   janmakāle ṛkṣayogasyarohiṇīyogavat praśastatvāt /	janma kAle Rkza yogasya rohiNI yoga vat praSasta tvAt /
   {MV S_53}	{MV H _53}
   yadā dinadvaye 'pi madhyāhne vrattamānā dinadvaye 'pi ca madhyāhne	yadA dina dvaye api maDyAhne vrattamAnAH dina dvaye api ca maDyAhne
   punarvasuyogastadāpyuttaraiva /	punarvasu yogaH tadA api uttarA eva /
   yadā dinadvaye madhyāhne madhyāhnaṃ parihṛtya vā vartamānā	yadA dina dvaye maDyAhne maDyAhnam parihRtya vA vartamAnA
   punarvasuyogaśca madhyāhnaṃ parihṛtyaiva tadāpyuttaraiva /	punarvasu yogaH ca maDyAhnam parihRtya eva tadA api uttarA eva /
   yadā dinadvaye madhyāhnayoginī dinadvaye tadayoginī dinadvaye	yadA dina dvaye maDyAhna yoginI dina dvaye tad ayoginI dina dvaye
   tadekadeśayoginī vā sarvathaiva punarvasuyogābhāvastadāṣyuttaraiva /	tad eka deSa yoginI vA sarvaTA eva punarvasu yoga aBAvaH tadAzi uttarA eva /
   yadā tu uttaradine manyāhne vartamānā pūrvadine ṛkṣayogavatyapi tadāpi	yadA tu uttara dine manyAhne vartamAnA pUrva dine Rkza yogavatI api tadA api
   paraiva /	para eva /
   yadā tu pūrvadine madhyāhne vartamānāpi uttaradine ca	yadA tu pUrva dine maDyAhne vartamAnA api uttara dine ca
   punarvasuyogastadāpyuttaraiva /	punarvasu yogaH tadA api uttarA eva /
   sarvathāṣṭamīviddhāyā niṣiddhatvāditi /	sarvaTA azwamI vidDAyAH nizidDa tvAt iti /
   navamī cāṣṭamīviddhā tyājyā viṣṇuparāyaṇaiḥ /	navamI ca azwamIvidDA tyAjyAH vizNu parAyaNEH /
   upoṣaṇaṃ navamyāṃ tu daśamyāṃ pāraṇaṃ bhavet //	upozaNam navamyAm tu daSamyAm pAraNam Bavet //
   ityagastyasaṃhitāvacanāt /	iti agastya saMhitA vacanAt /
   eteṣāṃ ca pakṣāṇāṃ spaṣṭatvārthamuktānāṃ nātīva paunaruktyaṃ śaṅkanīyam /	etezAm ca pakzANAm spazwa tva arTa m uktAnAm na atIva pOnaruktyam SaFkanIyam /
   atraivaṃ kecit /	atra evam kecid /
   navamī cāṣṭamīviddhā tyājyā viṣṇuparāyaṇaiḥ /	navamI ca azwamIvidDA tyAjyAH vizNu parAyaNEH /
   ityatra viṣṇuparāyaṇānāṃ vaiṣṇavānām aṣṭamīviddhā navamī nopoṣyā	iti atra vizNu parAyaNAnAm vEzNavAnAm azwam IvidDA navamI na upozyA
   daśamīviddhopoṣyā /	daSamI vidDa upozyA /
   avaiṣṇavānāṃ tu aṣṭamīviddhāpyupoṣyeti manyante /	avEzNavAnAm tu azwamI vidDA api upozya iti manyante /
   tadasat /	tat asat /
   viṣṇuparāyaṇaiḥ sadbhiridaṃ sarvaṃ kartavyamityupadeśaparatvenāpi tasya	vizNu parAyaNEH sadBiH idam sarvam kartavyam iti upadeSa paratvena api tasya
