   bhikṣuṇī vinaya	BikzuNI  vinaya
   yatrotsahantīyo śraddhāyo kuladhītāyo upasaṃpādīyanti | anutsahantīyo	yatra utsahantIyaH SradDAyaH kula DIta ayaH upasaMpAdIyanti | anutsahantIyaH 
   nopasaṃpādīyanti | atra ca te kuladhite yāvajjīvam utsāho karaṇīyo |	na upasaMpAdIyanti | atra ca te kula Dite yAvajjIvam utsAhaH karaNIyaH |
   utsahasi tvaṃ kuladhite yāvajjīvam ucchiṣṭapiṇdaṃ bhojanānāṃ bhoktuṃ |	utsahasi tvam kula Dite yAvajjIvam ucCizwa piNdam BojanAnAm Boktum |
   utsahantīya utsāhāmīti vaktavyam | atirekalābhaḥ | pakṣikānimantraṇā	utsahantIyaH utsAhAmi iti vaktavyam | atireka lABaH | pakzikA nimantraNA
   cāturdaśikā pāñcadaśikāyāṃ upoṣadhikā śalākābhaktaṃ |	cAturdaSikA pAQcadaSikAyAm upozaDikA SalAkA Baktam |
   niśraya 3	niSraya 3
   pūtimūtraṃ bhaiṣajyānām alpañ ca sulabhañ ca kalpikañ cānavadyañ ca	pUti mUtram BEzajyAnAm alpan ca sulaBan ca kalpikan ca anavadyan ca
   śramaṇīsārūpyañ ca | tañ ca niśrāya pravrajyopasaṃpad bhikṣuṇībhāvaḥ |	SramaNI sArUpyan ca | taQ ca niSrAya pravrajya upasaMpad BikzuNI BAvaH |
   yatrotsahantīyo śrāddhāyo kuladhītāyo upasaṃpādīyanti | anutsahantīyo	yatra utsahantIyaH SrAdDAyaH kula DIta ayaH upasaMpAdIyanti | anutsahantIyaH 
   nopasaṃpādīyanti | atra ca kuladhīte yāvajjīvam utsāho karaṇīyo | utsahasi	na upasaMpAdIyanti | atra ca kulaDIte yAvajjIvam utsAhaH karaNIyaH | utsahasi
   tvaṃ kuladhīte yāvajjīvaṃ pūtimūtraṃ bhaiṣajyānāṃ pratisevituṃ |	tvam kulaDIte yAvajjIvam pUti mUtram BEzajyAnAm pratisevitum |
   utsahantīya utsāhāmīti vaktavyaṃ | atirekalābhaḥ | sarpistailaṃ	utsahantIyaH utsAhAmi iti vaktavyam | atireka lABaH | sarpiH tElam
   madhuphāṇitaṃ vasānavanītaṃ | ime trayo niśrayā āryavaṃśā | anuśikṣitavyaṃ	maDu PANitam vasA n avanItam | ime trayaH niSrayAH Arya vaMSAH | anuSikzitavyam
   anupravartitavyaṃ |	anupravartitavyam |
   65. karmakārakeṇa karma kartavyaṃ | śṛṇotu me bhante saṃgho | iyaṃ	65. karma kArakeNa karma kartavyam | SRNotu me Bante saMGaH | iyam
   itthannāmā itthannāmāye bhikṣuṇīye upasaṃpādyā itthannāmā ya ca	itTat nAmA itTannAmAye BikzuNIye upasaMpAdyAH itTat nAmA yaH ca
   itthannāmāya ca raho'nuśāstā saṃgho 'nayā itthannāmāya itthan nāmāya	itTat nAmAya ca rahaH anuSAstA saMGaH anayA itTat nAmAya itTat nAmAya
   upādhyāyinīya yāvat tṛtīyakam upasaṃpadaṃ yācito | anujñātā anujñāpakehi |	upADyAyinIya yAvat tRtIyakam upasaMpadam yAcitaH | anujQAtAH anujQApakehi |
   yācitānayā upādhyāyinī | paripūrṇam asyāḥ pātracīvaraṃ | deśitaśikṣā |	yAcita anayA upADyAyinI | paripUrNam asyAH pAtra cIvaram | deSita SikzA |
   paripūrṇāśikṣā sammatā viśuddhā bhikṣuṇīhi pariśuddhā antarāyikehi	paripUrNa ASikzA sammatAH viSudDA BikzuNIhi pariSudDAH antarAyikehi
   dharmehi ātmānaṃ pratijānāti | niśrayeṣu cotsahati yadi saṃghasya	Darma ihi AtmAnam pratijAnAti | niSrayezu ca utsahati yadi saMGasya
   prāptakālaṃ saṃgho itthannāmāṃ itthannāmāya upādhyāyinīya upasaṃpādeyyā |	prApta kAlam saMGaH itTat nAmAm itTat nAmAya upADyAyinIyaH upasaMpAdeyyAH |
   ovayikā eṣā jñaptiḥ |	ovayikA ezA jQaptiH |
   66. śṛṇotu me bhante saṃgho | iyam itthannāmā itthannāmāye bhikṣuṇīye	66. SRNotu me Bante saMGaH | iyam itTat nAmA itTannAmAye BikzuNIye
   upasaṃpādyā | itthannāmāya ca itthannāmāya ca raho'nuśāstā saṃgho 'nayā	upasaMpAdyAH | itTat nAmAya ca itTat nAmAya ca rahaH anuSAstA saMGaH anayA
   itthannāmāya upādhyāyinīya yāvat tṛtīyakam upasaṃpadaṃ yācito | anujñātā	itTat nAmAya upADyAyinIya yAvat tRtIyakam upasaMpadam yAcitaH | anujQAtA
   anujñāpakehi yācitānayā upādhyāyanīyinī | paripūrṇam asyāḥ pātracīvaraṃ |	anujQApakehi yAcita anayA upADyAyanIyinI | paripUrNam asyAH pAtra cIvaram |
   deśitaśikṣā | paripūrṇaśikṣā sammatā | viśuddhā bhikṣuṇīhi | pariśuddhā	deSita SikzA | paripUrNa SikzA sammatA | viSudDA BikzuNI hi | pariSudDA
   antarāyikair dharmair ātmānaṃ pratfiānāti | niśrayeṣu cotsahati | tāṃ	antarAyikEH DarmEH AtmAnam pratfiAnAti | niSrayezu ca utsahati | tAm
   saṃgho itthannāmāṃ itthannāmāye upādhyāyinīye upasaṃpādeti | yeṣām	saMGaH itTat nAmAm itTannAmAye upADyAyinIye upasaMpAdA iti | yezAm
   āyuṣmantānāṃ kṣamati itthannāmām itthannāmāye upādhyāyinīye	AyuzmantAnAm kzamati itTat nAmAm itTannAmAye upADyAyinIye
   upasaṃpādīyamānāṃ saṃghena | so tūṣṇīm asya | yasya na kṣamati so bhāṣatu	upasaMpAdIyamAnAm saMGena | saH tUzNIm asya | yasya na kzamati saH BAzatu
   | iyaṃ prathamā karmavācanā | evam dvitīyā | tṛtīyā karmavācaneti	| iyam praTamA karma vAcanA | evam dvitIyA | tRtIyA karma vAcana iti
   vaktavyaṃ | upasaṃpanneyaṃ bhante saṃgho itthannāmāṃ itthannāmāye	vaktavyam | upasaMpanneyam Bante saMGaH itTat nAmAm itTat nAmAye
   upādhyāyinīya saṃghena | kṣamate taṃ saṃghasya yasmāt tūṣṇīm evam etad	upADyAyinIya saMGena | kzamate tam saMGasya yasmAt tUzNIm evam etat 
   dhārayāmi |	DArayAmi |
   67. atrāntare cchāyā māpayitavyā | nakṣatrāṇi vā gaṇayitavyāni	67. atra antare cCAyA mApayitavyA | nakzatrANi vA gaNayitavyAni
   sā dāni vaktavyā | eṣāsi tvaṃ kuladhīte upasaṃpannā sūpasaṃpannā	sA dAni vaktavyA | ezA asi tvam kulaDIte upasaMpannA sUpa saMpannA
   traivācikena karmaṇā | jñapticaturthena | anāghātapañcamena ubhayataḥ	trEvAcikena karmaNA | jQapti caturTena | anAGAta paQcamena uBayatas 
   saṃghena samagreṇa na vyagreṇa daśabaddhena gaṇena sātirekadaśabaddhena vā	saMGena samagreNa na vyagreNa daSa badDena gaNena sa atireka daSa badDena vA
   tathā dāni karohi yathā | buddhaśobhanā ca bhosi dharmaśobhanā ca	taTA dAni karohi yaTA | budDa SoBanA ca Bosi Darma SoBanA ca
   saṃghaśobhanā ca | buddha guru ca dharma guru ca saṃgha guru ca |	saMGa SoBanA ca | budDa guru ca Darma guru ca saMGa guru ca |
   upādhyāyinī guru ca ācāryā guru ca tathā dāni karohi yathā |	upADyAyinI guru ca AcAryA guru ca taTA dAni karohi yaTA |
   ārāgayitvā na virāgayasi	ArAgayitvA na virAgayasi
   durlabhā kṣaṇasampadā |	durlaBA kzaNa sampadA |
   yasārthāya pravrajyā yasyārthāya upasaṃpadā |	yasArTAya pravrajyA yasya arTAya upasaMpadA |
   tacchīlam anurakṣasva bālāgraṃ camarī yathā | [1]	tat SIlam anurakzasva bAla agram camarI yaTA | [1]
   yan manāpam abhipretaṃ buddhasyādityabandhuno |	yat manApam aBipretam budDasya Aditya banDunaH |
   śrāvikānāñ ca vijñānāṃ nipuṇānām arthadarśināṃ |	SrAvikAnAn ca vijQAnAm nipuNAnAm arTa darSinAm |
   so te artho anuprāpto labdhā te upasaṃpadā || [2]	saH te arTaH anuprAptaH labDA te upasaMpadA || [2]
   aśokaṃ virajaṃ kṣemaṃ dvīpaṃ lenaṃ parāyaṇaṃ |	aSokam virajam kzemam dvIpam lenam parAyaNam |
   taṃ prāpuṇāhi nirvāṇaṃ eṣā te sarvasampadā || [3]	tam prApuNAhi nirvANam ezA te sarva sampadA || [3]
   68. pāriveṇikā | aṣṭau pārājikā dharmāḥ | ekūnaviṃśati saṃghātiśeṣā	68. pAriveNikA | azwO pArAjikAH DarmAH | ekUnaviMSati saMGAti SezA
   dharmāḥ | triṃśan niḥsargikapācattikā dharmāḥ | aṣṭa prātideśikā dharmāḥ |	DarmAH | triMSat niHsargi kapAcattikAH DarmAH | azwa prAtideSikAH DarmAH |
   catuṣaṣṭi śekhiyā dharmāḥ | sapta adhikaraṇaśamathā dharmāḥ | dvau dharmau	catuzazwi SeKiyAH DarmAH | sapta aDikaraNa SamaTAH DarmAH | dvO DarmO
   dharmo 'nudharmaś ca | eṣa te kuladhīte saṃkṣiptena ovādo | vistareṇa te	DarmaH anuDarmaH ca | eza te kulaDIte saMkziptena ovAdaH | vistareNa te
   upādhyāyinīācāryāyo ovadiśyanti |	upADyAyinIAcArya ayaH ovadiSyanti |
   69. śṛṇu tvam itthannāme | ime tena bhagavatā tathāgatenārhatā	69. SRNu tvam itTat nAme | ime tena BagavatA taTAgatena arhatA
   samyaksambuddhena evaṃ pravrajitopasampannāye bhikṣuṇīye catvāraḥ	samyaksambudDena evam pravrajita upasampannAye BikzuNIye catvAraH
   śrāmaṇīkā rakā dharmā ākhyātā |	SrAmaNIkA rakAH DarmAH AKyAtA |
   ākruṣṭāya na pratyākroṣitavyaṃ roṣitāya na pratiroṣitavyaṃ |	AkruzwAya na pratyAkrozitavyam rozitAya na pratirozitavyam |
   bhaṇḍitāya na pratibhaṇḍitavyaṃ tāḍitāya na pratitāḍitavyaṃ || [1]	BaNxitAya na pratiBaNxitavyam tAxitAya na pratitAxitavyam || [1]
   prāsādikāya pravrajyā pariśuddhāyopasaṃpadā |	prAsAdikAya pravrajyA pariSudDAya upasaMpadA |
   ākhyātā satyanāmena sambuddhena prajānatā || [2]	AKyAtA satya nAmena sambudDena prajAnatA || [2]
   sarvapāpasyākaraṇaṃ kuśalasyopasaṃpadā |	sarva pApasya akaraNam kuSalasya upasaMpadA |
   svacittaparyādamanaṃ etad buddhānuśāsanaṃ || [3]	sva citta paryAdamanam etat budDa anuSAsanam || [3]
   70. ekam idaṅ gautami samayaṃ tathāgato vaiśālīyaṃ viharati | mahāvane	70. ekam idaF gOtami samayam taTAgataH vESAlIyam viharati | mahA vane
   kūṭāgāraśālāyān dharmadinnāye dāni bhikṣuṇīye dve antevāsinīyo	kUwAgAra SAlAyAn Darma dinnAye dAni BikzuNIye dve antevAsinIyaH 
   upasaṃpādyāyo | apraśarkeṇa dāni licchavikumāreṇa śrutaṃ | dharmadinnāye	upasaMpAdya ayaH | apraSarkeNa dAni licCa vikumAreNa Srutam | Darma dinnAye
   bhikṣuṇīye dve antevāsinīyo upasaṃpādyāyo | tā pañcāhaṃ pūrve evañ caivañ	BikzuNIye dve antevAsinIyaH upasaMpAdya ayaH | tA paQca aham pUrve evan ca evaQ
   ca khalīkṛto gacchāmy ahan tāyo upasampādyāyo brahmacaryāto yācayāmīti	ca KalIkRtaH gacCAmi ahan tAyaH upasampAdyAyaH brahmacarya atas yAcayAmi iti
   dharmadinnāye śrutaṃ |	Darma dinnAye Srutam |
   71. sā dāni yena bhagavāṃs tenopasaṃkramitvā bhagavantam etad avocat |	71. sA dAni yena BagavAn tena upasaMkramitvA Bagavantam etat avocat |
   mama bhagavan dve antevāsinīyo upasaṃpādyāyo | tāsām ihāgacchantīnāṃ syād	mama Bagavan dve antevAsinIyaH upasaMpAdya ayaH | tAsAm iha AgacCantInAm syAt 
   brahmacaryāntarāyaḥ | labhyā bhagavan tāyo tatrasthitāyo ihasthitena	brahmacarya antarAyaH | laByAH Bagavan tAyaH tatra sTitAyaH iha sTitena
   saṃghena upasaṃpādayituṃ | bhagavān āha | labhyā | gaccha prathamaṃ	saMGena upasaMpAdayitum | BagavAn Aha | laByA | gacCa praTamam
   bhikṣuṇīgaṇenopasaṃpādiya paścād bhikṣuvihāraṃ gatvā	BikzuNI gaNena upasaMpAdiya paScAt Bikzu vihAram gatvA
   dūtopasaṃpadāpratigrāhakān yāca dvau vā trīṇi vā gaṇa na kṣamati | dadātu	dUta upasaMpadA pratigrAhakAn yAca dvO vA trINi vA gaNa na kzamati | dadAtu
   ca te saṃgho dūtopasaṃpadāpratigrāhakān | sādhū ti vaditvā dharmadinnā	ca te saMGaH dUta upasaMpadA pratigrAhakAn | sADU ti vaditvA Darma dinnA
   bhikṣuṇī bhagavato 'ntikāt prakrāntā | yāvat |	BikzuNI BagavataH antikAt prakrAntA | yAvat |
   72. karmakārakeṇa karma kartavyaṃ | śṛṇotu me bhante saṃgho iyan	72. karma kArakeNa karma kartavyam | SRNotu me Bante saMGaH iyan
   dharmadinnā bhikṣuṇī | tasyā itthannāmā ca itthannāmā ca antevāsinīyo	Darma dinnA BikzuNI | tasyAH itTat nAmA ca itTat nAmA ca antevAsinIyaH 
   upasaṃpādyāyo | tāsām ihāgacchantīnāṃ syād brahmacaryāntarāyo | yadi	upasaMpAdya ayaH | tAsAm iha AgacCantInAm syAt brahmacarya antarAyaH | yadi
   saṃghasya prāptakālaṃ dharmadinnā bhikṣuṇī itthannāmāya ca itthannāmāya ca	saMGasya prApta kAlam Darma dinnA BikzuNI itTat nAmAya ca itTat nAmAya ca
   antevāsinīnāṃ tatrasthitānām ihasthitaṃ saṃghaṃ dūtopasaṃpadāpratigrāhakān	antevAsinInAm tatra sTitAnAm ihasTitam saMGam dUta upasaMpadA pratigrAhakAn
   yāceya | yāciṣyati bhante saṃgho dharmadinnā bhikṣuṇī itthannāmāye ca	yAceya | yAcizyati Bante saMGaH Darma dinnA BikzuNI itTat nAmAye ca
   itthannāmāye ca antevāsinīnām upasaṃpādyānāṃ tatrasthitānāṃ ihasthitaṃ	itTat nAmAye ca antevAsinInAm upasaMpAdyAnAm tatra sTitAnAm iha sTitam
   saṃghaṃ dūtopasaṃpadāpratigrāhakān | kṣamate taṃ saṃghasya yasmāt tūṣṇīm	saMGam dUta upasaMpadA pratigrAhakAn | kzamate tam saMGasya yasmAt tUzNIm
   evam etad dhārayāmi |	evam etat DArayAmi |
   73. tāya dāni yācitavyaṃ | vandāmy āryasaṃghaṃ ahan dharmadinnā bhikṣuṇī |	73. tAya dAni yAcitavyam | vandAmi Arya saMGam ahan Darma dinnA BikzuNI |
   tasyā me itthannāmā ca itthannāmā ca antevāsinīyo upasaṃpādyāyo | tāsām	tasyAH me itTat nAmA ca itTat nAmA ca antevAsinIyaH upasaMpAdya ayaH | tAsAm
   ihāgacchantīnāṃ syād brahmacaryāntarāyo | sāhaṃ dharmadinnā bhikṣuṇī	iha AgacCantInAm syAt brahmacarya antarAyaH | sA aham Darma dinnA BikzuNI
   itthannāmāye ca itthannāmāye ca antevāsinīnāṃ upasaṃpādyānān	itTat nAmAye ca itTat nAmAye ca antevAsinInAm upasaMpAdyAnAn
   tatrasthitānām ihasthitaṃ saṃghaṃ dūtopasaṃpādāpratigrāhakān yācāmi |	tatra sTitAnAm ihasTitam saMGam dUta upasaMpAda apratigrAhakAn yAcAmi |
   sādhu bhava me āryo saṃgho itthannāmāye ca itthannāmāye ca antevāsinīnāṃ	sADu Bava me AryaH saMGaH itTat nAmAye ca itTat nAmAye ca antevAsinInAm
   upasaṃpādyānāṃ tatrasthitānām ihasthito saṃgho dūtopasaṃpadāpratigrāhakān	upasaMpAdyAnAm tatra sTitAnAm iha sTitaH saMGaH dUta upasaMpadA pratigrAhakAn
   detu | evaṃ dvitīyam pi tṛtīyam pi yācitavyaṃ |	detu | evam dvitIyam pi tRtIyam pi yAcitavyam |
   74. karma | śṛṇotu me bhante saṃgho | iyan dharmadinnā bhikṣuṇī | tasyā	74. karma | SRNotu me Bante saMGaH | iyan Darma dinnA BikzuNI | tasyAH 
   itthannāmā ca itthannāmā ca antevāsinīyo upasaṃpādyāyo | tāsām	itTat nAmA ca itTat nAmA ca antevAsinIyaH upasaMpAdya ayaH | tAsAm
   ihāgacchantināṃ syād brahmacaryantarāyaḥ | seyan dharmadinnā bhikṣuṇī	iha AgacCantinAm syAt brahmacaryantarAyaH | sA iyan Darma dinnA BikzuNI
   itthannāmāye ca itthannāmāye ca upasaṃpādyānāṃ tatrasthitānām ihasthitaṃ	itTat nAmAye ca itTat nAmAye ca upasaMpAdyAnAm tatra sTitAnAm iha sTitam
   saṃghaṃ dūtopasaṃpadāpratigrāhakā yācayati | yadi saṃghasya prāptakālaṃ	saMGam dUta upasaMpadA pratigrAhakAH yAcayati | yadi saMGasya prApta kAlam
   saṃgho itthannāmaṃ ca itthannāmaṃ ca dūtopasaṃpadāpratigrāhakān sammanyeyā	saMGaH itTat nAmam ca itTat nAmam ca dUta upasaMpadA pratigrAhakAn sammanyeyA
   | ivayikā eṣā prajñaptiḥ |	| ivayikA ezA prajQaptiH |
   75. śṛṇotu me bhante saṃgho | iyaṃ dharmadinnā bhikṣuṇī tasyā itthannāmā	75. SRNotu me Bante saMGaH | iyam Darma dinnA BikzuNI tasyAH itTat nAmA
   ca itthannāmā ca antevāsinī upasaṃpādyā tāsām ihāgacchantīnāṃ syād	ca itTat nAmA ca antevAsinI upasaMpAdyA tAsAm iha AgacCantInAm syAt 
   brahmacaryāntarāyo | seyaṃ dharmadinnā bhikṣuṇī itthannāmāye ca	brahmacarya antarAyaH | sA iyam Darma dinnA BikzuNI itTat nAmAye ca
   itthannāmāye ca antevāsinīnāṃ upasaṃpādyānāṃ tatrasthitānāṃ ihasthitaṃ	itTat nAmAye ca antevAsinInAm upasaMpAdyAnAm tatra sTitAnAm iha sTitam
   saṃghaṃ dūtopasaṃpadāpratigrāhakān yācate | tān saṃgho dharmadinnāye	saMGam dUta upasaMpadA pratigrAhakAn yAcate | tAn saMGaH Darma dinnAye
   bhikṣuṇīye itthannāmaṃ ca itthannāmaṃ ca dūtopasaṃpadāpratigrāhakān	BikzuNIye itTat nAmam ca itTat nAmam ca dUta upasaMpadA pratigrAhakAn
   sammanyati | yeṣām āyuṣmantānāṃ kṣamati dharmadinnāye bhikṣuṇīye	sammanyati | yezAm AyuzmantAnAm kzamati Darma dinnAye BikzuNIye
   itthannāmo ca itthannāmo ca dūtopasaṃpadāpratigrāhakān sammanyiyamānān	itTat nAmaH ca itTat nAmaH ca dUta upasaMpadA pratigrAhakAn sammanyiyamAnAn
   saṃghena | so tūṣṇīm asya | yasya na kṣamati so bhāṣatu | iyaṃ prathamā	saMGena | saH tUzNIm asya | yasya na kzamati saH BAzatu | iyam praTamA
   karmavācanā | evaṃ dvitīya tṛtīyā karmavācanā iti kartavyaṃ |	karma vAcanA | evam dvitIya tRtIyA karma vAcanAH iti kartavyam |
   76. sammatā | bhante saṃgho | dharmadinnāye bhikṣuniye itthannāmāye ca	76. sammatAH | Bante saMGaH | Darma dinnAye Bikzu niye itTat nAmAye ca
   itthannāmāye ca antevāsinīnāṃ tāsām ihāgacchantīnāṃ syād	itTat nAmAye ca antevAsinInAm tAsAm iha AgacCantInAm syAt 
   brahmacaryāntarāya iti kṛtvā tatrasthitānām ihasthitena saṃghena	brahmacarya antarAyaH iti kRtvA tatra sTitAnAm iha sTitena saMGena
   itthannāmo ca itthannāmo ca bhikṣū dūtopasaṃpadāpratigrāhakāḥ kṣamate taṃ	itTat nAmaH ca itTat nAmaH ca BikzU dUta upasaMpadA pratigrAhakAH kzamate tam
   saṃghasya yasmāt tūṣṇīm evam etad dhārayāmi |	saMGasya yasmAt tUzNIm evam etat DArayAmi |
   77. tehi dani sammatehi samānehi dharmadinnāye bhikṣuṇīye upāśrayaṃ	77. tehi dani sammata ihi samAnehi Darma dinnAye BikzuNIye upASrayam
   gantavyaṃ | tāhi dāni dharmadinnāya antevāsinīhi te yācitavyāḥ | vandāmy	gantavyam | tAhi dAni Darma dinnAya antevAsinIhi te yAcitavyAH | vandAmi 
   āryaṃ ihasthitāyo itthannāmā ca itthannāmā ca āryāye dharmadinnāye	Aryam iha sTitAyaH itTat nAmA ca itTat nAmA ca AryAye Darma dinnAye
   upādhyāyinīye upasaṃpādyāyo | viśuddhā bhikṣuṇīhi | itthannāmāya ca	upADyAyinIye upasaMpAdya ayaH | viSudDAH BikzuNIhi | itTat nAmAya ca
   itthannāmāya ca āryāya raho'nuśāstāyo tāsām asmākaṃ tatragacchantīnāṃ syād	itTat nAmAya ca AryAya rahaH anuSAstAyaH tAsAm asmAkam tatra gacCantInAm syAt 
   brahmacaryāntarāyo | tā vayaṃ itthannāmā ca itthannāmā ca āryāya	brahmacarya antarAyaH | tAH vayam itTat nAmA ca itTat nAmA ca AryAya
   dharmadinnāya upādhyāyinīya tatrasthitaṃ saṃgham upasaṃpadaṃ yācāmaḥ |	Darma dinnAya upADyAyinIya tatra sTitam saMGam upasaMpadam yAcAmaH |
   upasaṃpādetu me ārya saṃgho | ullumpatu me āryo saṃgho | anukampatu me	upasaMpAdetu me Arya saMGaH | ullumpatu me AryaH saMGaH | anukampatu me
   āryo saṃgho anukampako anukampām upādāya | evaṃ dvitīyaṃ pi tṛtīyaṃpi	AryaH saMGaH anukampakaH anukampAm upAdAya | evam dvitIyam pi tRtIyaMpi
   yācitavyaṃ |	yAcitavyam |
   78. tato bhikṣuvihāraṅ gantavyaṃ | yaṃ kālaṃ ubhayato saṃgho upaviṣṭo	78. tatas Bikzu vihAraF gantavyam | yam kAlam uBayatas saMGaH upavizwaH 
   bhavati tato dharmadinnāya yācitavyaṃ | vandāmy āryasaṃghaṃ | ahan	Bavati tatas Darma dinnAya yAcitavyam | vandAmi Arya saMGam | ahan
   dharmadinnā bhikṣuṇī | tasyā itthannāmā ca itthannāmā ca antevāsinīyo	Darma dinnA BikzuNI | tasyAH itTat nAmA ca itTat nAmA ca antevAsinIyaH 
   upasaṃpādyāyo | viśuddhā bhikṣuṇīhi | tāsām ihāgacchantīnāṃ syād	upasaMpAdya ayaH | viSudDA BikzuNIhi | tAsAm iha AgacCantInAm syAt 
   brahmacaryāntarāyo | sāhan dharmadinnā bhikṣuṇī itthannāmāya ca	brahmacarya antarAyaH | sA ahan Darma dinnA BikzuNI itTat nAmAya ca
   itthannāmāya ca antevāsinīnām upasaṃpādyānāṃ tatrasthitānām ihasthitaṃ	itTat nAmAya ca antevAsinInAm upasaMpAdyAnAm tatra sTitAnAm iha sTitam
   saṃghaṃ upasaṃpadaṃ yācāmi | upasaṃpādetu tāyo saṃgho mayā itthannāmāya	saMGam upasaMpadam yAcAmi | upasaMpAdetu tAyaH saMGaH mayA itTat nAmAya
   upādhyāyinīya | evaṃ dvitīyam pi tṛtīyaṃ pi yācitavyaṃ |	upADyAyinIya | evam dvitIyam pi tRtIyam pi yAcitavyam |
   79. yaṃ kālaṃ dharmadinnāya yācitaṃ bhavati | tato	79. yam kAlam Darma dinnAya yAcitam Bavati | tatas 
   dūtopasaṃpadāpratigrāhakehi yācitavyaṃ | vandāmy āryasaṃghaṃ | iyan	dUta upasaMpadA pratigrAhaka ihi yAcitavyam | vandAmi Arya saMGam | iyan
   dharmadinnā bhikṣuṇī tasyā itthannāmā ca itthannāmā ca antevāsinyo	Darma dinnA BikzuNI tasyAH itTat nAmA ca itTat nAmA ca antevAsinyaH 
   upasaṃpādyāyo | tāsām ihāgacchantīnāṃ syāt brahmacaryāntarāyo | tāhi	upasaMpAdya ayaH | tAsAm iha AgacCantInAm syAt brahmacarya antarAyaH | tAhi
   itthannāmāya ca itthannāmāya ca dharmadinnāya upādhyāyinīya tatrasthitāhi	itTat nAmAya ca itTat nAmAya ca Darma dinnAya upADyAyinIya tatra sTitAhi
   ihasthitaḥ saṃgha upasaṃpadaṃ yācitaḥ | upasaṃpādetu tāyo āryo saṃgho |	iha sTitaH saMGe upasaMpadam yAcitaH | upasaMpAdetu tAyaH AryaH saMGaH |
   ullumpatu tāyo āryo saṃgho | anukampatu tāyo āryo saṃgho | anukampako	ullumpatu tAyaH AryaH saMGaH | anukampatu tAyaH AryaH saMGaH | anukampakaH 
   anukampām upādāya | evaṃ dvitīyam pi tṛtīyam pi yācitavyaṃ |	anukampAm upAdAya | evam dvitIyam pi tRtIyam pi yAcitavyam |
   80. karmakārakena karma kartavyaṃ | śṛṇotu me bhante saṃgho iyaṃ	80. karma kArakena karma kartavyam | SRNotu me Bante saMGaH iyam
   dharmadinnā bhikṣuṇī | tasyā itthannāmā ca itthannāmā ca antevāsinīyo	Darma dinnA BikzuNI | tasyAH itTat nAmA ca itTat nAmA ca antevAsinIyaH 
   upasaṃpādyāyo itthannāmā ca itthannāmā ca raho'nuśāstāyo | tāsām	upasaMpAdya ayaH itTat nAmA ca itTat nAmA ca rahaH anuSAstAyaH | tAsAm
