   akarot pṛthivīruhān api Ragh_8.70c	akarot pRTivIruhAn api RaG_8.70c
   kva sūryaprabhavo vaṃśaḥ Ragh_1.2a	kva sUrya praBavaH vaMSaH RaG_1.2a
   kṣaṇadāpāyaśaśāṅkadarśanaḥ Ragh_8.74b	kzaNadA pAya SaSAFka darSanaH RaG_8.74b
   kṣaṇam apy avatiṣṭhate śvasan Ragh_8.87c	kzaNam api avatizWate Svasan RaG_8.87c
   kṣaṇamātram ṛṣis tasthau Ragh_1.73c	kzaNa mAtram RziH tasTO RaG_1.73c
   kṣaṇamātrasakhīṃ sujātayoḥ Ragh_8.37a	kzaNa mAtra saKIm sujAtayoH RaG_8.37a
   kṣaṇasoḍhārinigrahaḥ Ragh_12.63d	kzaNa soXa ari nigrahaH Rau _12.63d
   kṣaṇaṃ pratiṣrunmukharāḥ karoti Ragh_13.40d	kzaNam pratizruD muKarAH karoti RaG_13.40d
   kṣaṇaṃ saumyāṃ nināya tām Ragh_12.36b	kzaNam sOmyAm ninAya tAm RaG_12.36b
   kṣatāt kila trāyata ity udagraḥ Ragh_2.53a	kzatAt kila trAyate iti udagraH RaG_2.53a
   kṣatrakopadahanārciṣaṃ tataḥ Ragh_11.69c	kzatra kopa dahana arcizam tatas Rau _11.69c
   kṣatrajātam apakāri vairi me Ragh_11.71a	kzatra jAtam apakAri vEri me RaG_11.71a
   kṣatram udyatam iti nyavedayat Ragh_11.46d	kzatram udyatam iti nyavedayat RaG_11.46d
   kṣatraśoṇitapitṛkriyocitaṃ Ragh_11.61c	kzatra SoNita pitR kriyA ucitam RaG_11.61c
   kṣatrasya śabdo bhuvaneṣu rūḍhaḥ Ragh_2.53b	kzatrasya SabdaH Buvanezu rUXaH RaG_2.53b
   kṣatriyāntakaraṇaikaviṃśater Ragh_11.66c	kzatriya anta karaNa ekaviMSateH RaG_11.66c
   kṣatriyāntakaraṇo 'pi vikramas Ragh_11.75a	kzatriya anta karaNaH api vikramaH RaG_11.75a
   kṣapitā tadviṭapāśritalatā Ragh_8.47d	kzapitA tad viwapa ASrita latA Rau _8.47d
   kṣamyatām iti vadan samaspṛṣat Ragh_11.89b	kzamyatAm iti vadan samaspRzat RaG_11.89b
   kṣayānalaṃ jaladhir ivāntakāspadam Ragh_9.82Bd	kzaya analam jalaDiH iva antaka Aspadam Rau _9.82Bd
   kṣātro dharma ivāśritaḥ Ragh_1.13d	kzAtraH DarmaH iva ASritaH Rau _1.13d
   kṣitāv abhūd ekadhanurdharo 'pi saḥ Ragh_3.31d	kzitO aBUt eka DanurDaraH api saH Rau _3.31d
   kṣitipatimaṇḍalam anyato vitānam Ragh_6.86b	kzitipati maNxalam anyatas vitAnam RaG_6.86b
   kṣitipasamājam agāt svayaṃvarastham Ragh_5.76d	kzitipa samAjam agAt svayaMvara sTam Rau _5.76d
   kṣitir abhūt phalavaty ajanandane Ragh_9.4c	kzitiH aBUt PalavatI ajanandane RaG_9.4c
   kṣitir indumatī ca bhāminī Ragh_8.28a	kzitiH indumatI ca BAminI RaG_8.28a
   kṣīrormaya ivācyutam Ragh_4.27d	kzIra UrmayaH iva acyutam RaG_4.27d
   kṣetraiḥ sasyaṃ vanair gajān Ragh_17.66b	kzetrEH sasyam vanEH gajAn RaG_17.66b
   kṣobhalolakamalāś ca dīrghikāḥ Ragh_19.9b	kzoBa lola kamalAH ca dIrGikAH RaG_19.9b
   kṣobhāt samāviddhataraṅgahastaḥ Ragh_16.78b	kzoBAt samAvidDa taraFga hastaH RaG_16.78b
   kṣaumāntaritamekhale Ragh_10.8b	kzOma antarita meKale RaG_10.8b
   kṣmāṃ lambhayitvā kṣamayopapannaṃ Ragh_18.9c	kzmAm lamBayitvA kzamayA upapannam RaG_18.9c
   khaḍgāṃś cakāra nṛpatir niśitaiḥ kṣurapraiḥ Ragh_9.62b	KaxgAn cakAra nRpatiH niSitEH kzuraprEH RaG_9.62b
   khaṇḍīkṛtā jyeva manobhvasya Ragh_16.51d	KaNxIkRtA jyA iva manoBvasya Rau _16.51d
   khanibhiḥ suṣuve ratnaṃ Ragh_17.66a	KaniBiH suzuve ratnam RaG_17.66a
   kharatiśirasau ca saḥ Ragh_12.47b	Karati SirasO ca saH RaG_12.47b
   kharādibhyas tathāvidham Ragh_12.42b	Kara AdiByaH taTAviDam RaG_12.42b
   kharjūrīskandhanaddhānāṃ Ragh_4.57a	KarjUrI skanDa nadDAnAm RaG_4.57a
   khātamūlam anilo nadīrayaiḥ Ragh_11.76c	KAta mUlam anilaH nadI rayEH RaG_11.76c
   khurābhighātāc ca turaṃgamāṇām Ragh_16.30b	Kura aBiGAtAt ca turaMgamANAm RaG_16.30b
   khedam āpa guruṇā hi medinī Ragh_19.3b	Kedam Apa guruNA hi medinI RaG_19.3b
   khedaṃ sa yāyād api śrutavṛddhayogāt Ragh_18.45b	Kedam sa yAyAt api Sruta vRdDa yogAt RaG_18.45b
   khyātaṃ nabhaḥśabdamayena nāmnā Ragh_18.6c	KyAtam naBaH Sabda mayena nAmnA RaG_18.6c
   khramaśas te punas tasya Ragh_12.47c	KramaSas te punar tasya RaG_12.47c
   gaganam aśvakhuroddhuta reṇubhir Ragh_9.50c	gaganam aSva Kura udDuta reNuBiH RaG_9.50c
   gagane ca vitanvatā Ragh_10.62b	gagane ca vitanvatA RaG_10.62b
   gaṅgāprapātāntavirūḍhaśaṣpaṃ Ragh_2.26c	gaFgA prapAta anta virUXa Sazpam RaG_2.26c
   gaṅgām iva bhagīrathaḥ Ragh_4.32d	gaFgAm iva BagIraTaH Rau _4.32d
   gaṅgā raver ātmajayā sametā Ragh_13.57Dc	gaFgA raveH AtmajayA sametAH RaG_13.57Dc
   gaṅgāśīkariṇo mārge Ragh_4.73c	gaFgA SIkariNaH mArge RaG_4.73c
   gaṅgāsarayvor jalam uṣṇatpataṃ Ragh_14.3c	gaFgA sarayvoH jalam uzNat patam RaG_14.3c
   gaṅgāsroto'ntareṣu saḥ Ragh_4.36d	gaFgA srotaH antarezu saH Rau _4.36d
   gaṅgāṃ niṣādāhṛtanauviśeṣas Ragh_14.52c	gaFgAm nizAda AhRta nOviSezaH RaG_14.52c
   gaṅgāṃ bhagīratheneva Ragh_1.34*a	gaFgAm BagIraTena iva RaG_1.34*a
   gaṅgeva tripuradviṣaḥ Ragh_17.14d	gaFgA iva tripuradvizaH Rau _17.14d
   gaṅgevordhvapravartinī Ragh_10.38d	gaFgA iva UrDva pravartinI Rau _10.38d
   gaṅgormisaṃsakta jaleva bhāti Ragh_6.48d	gaFgA Urmi saMsakta jalA iva BAti RaG_6.48d
   gaccha lakṣmaṇa śīghraṃ tvaṃ Ragh_15.94*a	gacCa lakzmaNa SIGram tvam RaG_15.94*a
   gajadantāsanaṃ śuci Ragh_17.21b	gaja danta Asanam Suci RaG_17.21b
   gajadānasugandhinā Ragh_4.45b	gaja dAna suganDinA RaG_4.45b
   gajavatī javatīrahayā camūḥ Ragh_9.10d	gajavatI javatIra hayA camUH Rau _9.10d
   gajavarṣma kirātebhyaḥ Ragh_4.76c	gaja varzma kirAteByaH RaG_4.76c
   gajānīkāt sa kāliṅgaṃ Ragh_4.41*c	gaja anIkAt sa kAliFgam RaG_4.41*c
   gajālānaparikliṣṭair Ragh_4.69c	gaja AlAna pariklizwEH RaG_4.69c
   gajā vivignāḥ karaśīkareṇa Ragh_7.48d	gajAH vivignAH kara SIkareNa Rau _7.48d
   gajaiś ca ghanasaṃnibhaiḥ Ragh_4.29b	gajEH ca Gana saMniBEH RaG_4.29b
   gaṇḍasthalīḥ proṣitapattralekhāḥ Ragh_6.72d	gaNxa sTalIH prozita pattra leKAH Rau _6.72d
   gatam ābharaṇaprayojanaṃ Ragh_8.66c	gatam ABaraNa prayojanam RaG_8.66c
   gatayo bhinnapathā hi dehinām Ragh_8.85d	gatayaH Binna paTAH hi dehinAm Rau _8.85d
   gatir vijaghne na hi tadrathasya Ragh_5.27d	gatiH vijaGne na hi tad raTasya Rau _5.27d
   gativibhramasāda nīravā Ragh_8.58c	gati viBrama sAda nIravAH RaG_8.58c
   gatis tvaṃ vītarāgāṇām Ragh_10.28c	gatiH tvam vIta rAgANAm RaG_10.28c
   gateyam ātmapratirūpam eva Ragh_7.15c	gateyam Atma pratirUpam eva RaG_7.15c
   gato vadāyāntaram ity ayaṃ me Ragh_5.24c	gataH vadAya antaram iti ayam me RaG_5.24c
   gandhadvipe vanya iva dvirephāḥ Ragh_6.7d	ganDa dvipe vanyaH iva dvirePAH Rau _6.7d
   gandhabhinnānyadantinaḥ Ragh_17.70d	ganDa Binna anya dantinaH Rau _17.70d
   gandhavadrudhiracandanokṣitā Ragh_11.20c	ganDavat ruDira candana ukzitAH Rau _11.20c
   gandhaś ca dhārāhatapalvalānāṃ Ragh_13.27a	ganDaH ca DArA hata palvalAnAm RaG_13.27a
   gandhenāśucinā ceti Ragh_12.30c	ganDena aSucinA ca iti RaG_12.30c
   gandhodagraṃ tadanau vavṛṣuḥ puṣpam āścaryameghāḥ Ragh_16.87d	ganDa udagram tad anO vavRzuH puzpam AScarya meGAH Rau _16.87d
   gamayitvā samdarśanaḥ samāḥ Ragh_8.24b	gamayitvA samdarSanaH samAH RaG_8.24b
   gamiṣyāmy upahāsyatām Ragh_1.3b	gamizyAmi upahAsyatAm RaG_1.3b
   garuḍāpātaviśliṣṭa Ragh_12.76a	garuxa ApAta viSlizwaH RaG_12.76a
   garutmadāśīviśabhīmadarśanaiḥ Ragh_3.57b	garutmad ASI viSa BIma darSanEH RaG_3.57b
   garbhakledau tadākhyayā Ragh_15.32b	garBa kledO tad AKyayA RaG_15.32b
   garbhaveśmasu nivātakukṣiṣu Ragh_19.42b	garBaveSmasu nivAta kukzizu RaG_19.42b
   garbhaśālisadharmāṇas Ragh_17.53c	garBa SAli saDarmANaH RaG_17.53c
   garbhaṃ dadhaty arkamarīcayo 'smād Ragh_13.4a	garBam daDati arka marIcayaH asmAt RaG_13.4a
   galitavayasām ikṣvākūṇā idaṃ hi kulavrtam Ragh_3.70d	galita vayasAm ikzvAkUNA idam hi kula vrtam Rau _3.70d
   gavākṣakālāgurudhūmarājyā Ragh_13.57Bc	gavAkza kAlAguru DUma rAjyAH RaG_13.57Bc
   gāḍhāṅgadair bāhubhir aspu bālāḥ Ragh_16.60c	gAXa aFgadEH bAhuBiH aspu bAlAH Rau _16.60c
   gātraṃ puṣparajaḥ prāpa Ragh_15.20c	gAtram puzparajaH prApe RaG_15.20c
   gāndharvam astraṃ kusumāstrakāntaḥ Ragh_7.61c	gAnDarvam astram kusuma astra kAntaH RaG_7.61c
   gāndharvam astraṃ tad itaḥ pratīccha Ragh_5.57*a	gAnDarvam astram tat itas pratIcCaH RaG_5.57*a
   gāndharvam ādhatsva yataḥ prayoktur Ragh_5.57c	gAnDarvam ADatsva yatas prayoktuH RaG_5.57c
   gāpayām āsa kiṃnarān Ragh_4.78d	gApayAm Asa kiMnarAn Rau _4.78d
   gām agrataḥ prasraviṇīṃ na siṃham Ragh_2.61d	gAm agratas prasraviNIm na siMham Rau _2.61d
   gām āttasārāṃ raghur apy avekṣya Ragh_5.26c	gAm Atta sArAm raGuH api avekzya RaG_5.26c
   gāyantau mātur agrataḥ Ragh_15.34b	gAyantO mAtuH agratas RaG_15.34b
   gārutmataṃ tīragatas tarasvī Ragh_16.77c	gArutmatam tIra gataH tarasvI Rau _16.77c
   gāṃ gatasya tava dhāma vaiṣṇavaṃ Ragh_11.85c	gAm gatasya tava DAma vEzNavam RaG_11.85c
   gāṃ gataṃ puruṣottamam Ragh_10.73d	gAm gatam puruzottamam RaG_10.73d
   gāṃ gatāv iva divaḥ punarvasū Ragh_11.36b	gAm gatO iva divaH punarvasU RaG_11.36b
   gāḥ koṭiśaḥ sparśayatā ghaṭodhnīḥ Ragh_2.49d	gAH kowiSas sparSayatA GawoDnIH Rau _2.49d
   gītānugaṃ vārimṛdaṅgavādyam Ragh_16.64d	gIta anugam vAri mRdaFgavAdyam Rau _16.64d
   guṇatrayavibhāgāya Ragh_10.19*b	guNatraya viBAgAya RaG_10.19*b
   guṇavattāpi paraprayojanā Ragh_8.31d	guNavat tA api para prayojanAH Rau _8.31d
   guṇavatsutaropitaśriyaḥ Ragh_8.11a	guNavat sutaropita SriyaH RaG_8.11a
   guṇaśeṣāṃ upadiṣya gehinīm Ragh_8.73b	guNa SezAm upadizya gehinIm RaG_8.73b
   guṇā guṇānubandhitvāt Ragh_1.22c	guNAH guNa anubanDi tvAt RaG_1.22c
   guṇādhikatayā gurau Ragh_4.9b	guNa aDika tayA gurO RaG_4.9b
   guṇās tasya vipakṣe 'pi Ragh_17.75c	guNAH tasya vipakze api RaG_17.75c
   guṇās tasyānyadurlabhāḥ Ragh_10.54b	guNAH tasya anya durlaBAH RaG_10.54b
   guṇino lebhire 'ntaram Ragh_17.75d	guNinaH leBire antaram Rau _17.75d
   guṇair ārādhayām āsus Ragh_10.86a	guNEH ArADayAm AsuH RaG_10.86a
   guṇair yam āśritya paraspareṇa Ragh_6.46b	guNEH yam ASritya paraspareNa RaG_6.46b
   guṇaiś ca tais tair vinayapradhānaiḥ Ragh_6.79b	guNEH ca tEH tEH vinaya praDAnEH RaG_6.79b
   guṇau prathmamadhyamau Ragh_10.39d	guNO praTma maDyamO Rau _10.39d
   guptadvāro na sūcyate Ragh_17.50d	gupta dvAraH na sUcyate Rau _17.50d
   guptaṃ dadṛśur ātmānaṃ Ragh_10.61a	guptam dadRSuH AtmAnam RaG_10.61a
   guruṇātharvavidā kṛtakriyaḥ Ragh_8.4b	guruNA aTarva vidA kRta kriyaH RaG_8.4b
   guruṇā brahmayoninā Ragh_1.64b	guruNA brahma yoninA RaG_1.64b
   gurutvena jagdguroḥ Ragh_10.65d	guru tvena jagdguroH RaG_10.65d
   gurupradeyādhikanīḥspṛho 'rthī Ragh_5.31c	guru pradeya aDika nIH spRhaH arTI RaG_5.31c
   gurubhir abhiniviṣṭaṃ lokapālānubhāvaiḥ Ragh_2.75d	guruBiH aBinivizwam lokapAla anuBAvEH RaG_2.75d
   gurur nṛpāṇāṃ gurave nivedya Ragh_2.68b	guruH nRpANAm gurave nivedya RaG_2.68b
   gurur vidhibalāpekṣī Ragh_15.85c	guruH viDi bala apekzI Rau _15.85c
   gurusaṃmohaviluptacetanā Ragh_8.38*b	guru saMmoha vilupta cetanA RaG_8.38*b
   gurusaṃmohaviluptacetanā Ragh_8.38*c	guru saMmoha vilupta cetanAH RaG_8.38*c
   guruḥ praharṣaḥ prababhūva nātmani Ragh_3.17d	guruH praharzaH prabaBUva na Atmani RaG_3.17d
   guror apīdaṃ dhanam āhitāgner Ragh_2.44c	guroH api idam Danam AhitAgneH RaG_2.44c
   guror jagmatur āśramam Ragh_1.35d	guroH jagmatuH ASramam Rau _1.35d
   guror niyogād vanitāṃ vanānte Ragh_14.51a	guroH niyogAt vanitAm vanAnte RaG_14.51a
   guror bhavān darśitaśiṣyabhaktiḥ Ragh_2.40b	guroH BavAn darSita Sizya BaktiH RaG_2.40b
   guror yiyakṣoḥ kapilena medhye Ragh_13.3a	guroH yiyakzoH kapilena meDye RaG_13.3a
   guroḥ kṛṣānupratimād bibheṣi Ragh_2.49b	guroH kRza anupratimAt biBezi RaG_2.49b
   guroḥ sa cānantaram antarjñaḥ Ragh_18.15a	guroH sa ca anantaram antarjQaH RaG_18.15a
   guroḥ sadārasya nipīḍya pādau Ragh_2.23a	guroH sa dArasya nipIxya pAdO RaG_2.23a
   gurvartham arthī śrutapāradṛśvā Ragh_5.24a	guru arTam arTI Sruta pAradRSvAH RaG_5.24a
   gurvartham āhartum ahaṃ yatiṣye Ragh_5.17b	guru arTam Ahartum aham yatizye RaG_5.17b
   gurvībhiḥ śamitaparājayavyalīkān Ragh_4.87b	gurvIBiH Samita parAjaya vyalIkAn RaG_4.87b
   gurvīṃ dhuraṃ yo bhuvanasya pitrā Ragh_6.78c	gurvIm Duram yaH Buvanasya pitrA RaG_6.78c
   guhānibaddhapratiśabdadīrgham Ragh_2.28b	guhA nibadDa pratiSabda dIrGam RaG_2.28b
   guhāvisārīṇy ativāhitāni Ragh_13.28c	guhA visArINi ativAhitAni RaG_13.28c
   guhāśayānāṃ siṃhānāṃ Ragh_4.72c	guhA ASayAnAm siMhAnAm RaG_4.72c
   gūḍhamohanagṛhās tadambubhiḥ Ragh_19.9c	gUXa mohana gRhAH tad ambuBiH RaG_19.9c
   gūḍharūpā sarasvatī Ragh_15.46d	gUXa rUpA sarasvatI Rau _15.46d
   gūdhākāreṅgitasya ca Ragh_1.20b	gUDa AkAra iFgitasya ca RaG_1.20b
   gṛṇadhbir upatasthire Ragh_10.64d	gRNaDbiH upatasTire Rau _10.64d
   gṛdhracchāye varūthinī Ragh_12.50d	gRDra= CAye varUTinI Rau _12.50d
   gṛdhrapakṣapavaneritadhvajam Ragh_11.26d	gRDra pakza pavana Irita Dvajam Rau _11.26d
   gṛṣṭir gurutvād vapuṣo narendraḥ Ragh_2.18b	gRzwiH guru tvAt vapuzaH narendraH RaG_2.18b
   gṛhavarjam ayodhyayā Ragh_15.98d	gRha varjam ayoDyayA Rau _15.98d
   gṛhāṇa śastraṃ yadi sarga eṣa te Ragh_3.51c	gRhANa Sastram yadi sargaH eza te RaG_3.51c
   gṛhiṇī sacivaḥ sakhī mithaḥ Ragh_8.67a	gRhiNI sacivaH saKI miTas RaG_8.67a
   gṛhītapratimuktasya Ragh_4.43a	gRhIta pratimuktasya RaG_4.43a
   geye kena vinītau vāṃ Ragh_15.69a	geye kena vinItO vAm RaG_15.69a
   gotraviskhalitam ūcur aṅganāḥ Ragh_19.24d	gotra visKalitam UcuH aFganAH Rau _19.24d
   godāvarīsārasapaṅktayas tvām Ragh_13.33d	godAvarI sArasa paFktayaH tvAm Rau _13.33d
   goptā jihrāya rāghavaḥ Ragh_15.44b	goptA jihrAya rAGavaH RaG_15.44b
   goptre guptatamendriyāḥ Ragh_1.55b	goptre guptatama indriyAH RaG_1.55b
   gautamasya tanayo 'nukūlavāk Ragh_11.49*c	gOtamasya tanayaH anukUla vAc Rau _11.49*c
   gauravād yad api jātu mantriṇāṃ Ragh_19.7a	gOravAt yat api jAtu mantriNAm RaG_19.7a
   gaurīguror gahvaram āviveṣa Ragh_2.26d	gOrI guroH gahvaram Aviveza RaG_2.26d
   grathitamaulir asau vanamālayā Ragh_9.51a	graTita mOliH asO vanamAlayA RaG_9.51a
   grahais tataḥ pañcabhir uccasaṃśrayair Ragh_3.13a	grahEH tatas paQcaBiH ucca saMSrayEH RaG_3.13a
   grāmeṣv ātmaviṣṛṭeṣu Ragh_1.44a	grAmezu Atma vizRwezu RaG_1.44a
   grīṣmaveṣavidhibhiḥ siṣevire Ragh_19.45c	grIzma veza viDiBiH sizevire Rau _19.45c
   graiveyasphuritatviṣaḥ Ragh_4.75b	grEveya sPurita tvizaH RaG_4.75b
   ghaṭāmbusaṃvardhitabālacūtā Ragh_13.34b	Gawa ambu saMvarDita bAla cUtA RaG_13.34b
   ghanaravā naravāhanasaṃpadaḥ Ragh_9.11d	Gana ravAH naravAhana saMpadaH Rau _9.11d
   ghanavyapāyena gabhastimān iva Ragh_3.36b	Gana vyapAyena gaBastimAn iva RaG_3.36b
   ghanavyapāyena gabhastimān iva Ragh_3.37b	Gana vyapAyena gaBastimAn iva RaG_3.37b
   gharmaḥ priyā veṣam ivopadeṣṭum Ragh_16.43d	GarmaH priyA vezam iva upadezwum Rau _16.43d
   ghoṣavṛddhān upasthitān Ragh_1.45b	Goza vRdDAn upasTitAn RaG_1.45b
   ghrāṇakāntamadhugandhakarṣiṇīḥ Ragh_19.11a	GrANa kAnta maDu ganDa karziNIH RaG_19.11a
   ghrātvā havirgandhi rajovimuktaḥ Ragh_13.37c	GrAtvA haviH ganDi rajaH vimuktaH RaG_13.37c
   cakampe tīrṇalauhitye Ragh_4.81a	cakampe tIrNa lOhitye RaG_4.81a
   cakāra kila nāmataḥ Ragh_15.32d	cakAra kila nAmataH Rau _15.32d
   cakāra nāmnā raghum ātmasaṃbhavam Ragh_3.21d	cakAra nAmnA raGum Atma saMBavam Rau _3.21d
   cakāra bāṇair asurāṅganānāṃ Ragh_6.72c	cakAra bANEH asura aFganAnAm RaG_6.72c
   cakāra reveva mahāvirāvā Ragh_16.31c	cakAra revA iva mahA virAvAH Rau _16.31c
   cakāra vitathāṃ bhrātuḥ Ragh_15.95c	cakAra vitaTAm BrAtuH RaG_15.95c
   cakāra sā mattacakoranetrā Ragh_7.25c	cakAra sA matta cakora netrAH RaG_7.25c
   cakranda vignā kurarīva bhūyaḥ Ragh_14.68d	cakranda vignA kurarI iva BUyas Rau _14.68d
   cakralāñchitamūrtibhiḥ Ragh_10.61d	cakra lAQCita mUrtiBiH Rau _10.61d
   cakrire mārganimnagāḥ Ragh_4.31*d	cakrire mArga nimnagAH Rau _4.31*d
   cakruḥ kuśaṃ ratnaviśeṣabhājaṃ Ragh_16.1c	cakruH kuSam ratna viSeza BAjam RaG_16.1c
   cakre kārāpatheśāvarau Ragh_15.90d	cakre kArA paTa ISAvarO Rau _15.90d
   cakre tridivaniḥṣreṇiḥ Ragh_15.100c	cakre tridiva niHzreNiH RaG_15.100c
   cakṣuṣmattā tu śāstreṇa Ragh_4.13c	cakzuzmat tA tu SAstreNa RaG_4.13c
   cakṣus tava pracalitabhramaraṃ ca padmam Ragh_5.68d	cakzuH tava pracalita Bramaram ca padmam Rau _5.68d
   cakshāla velāsv api nārṇavānām Ragh_18.43d	cakshAla velAsu api na arNavAnAm Rau _18.43d
   cacāra sānujaḥ śānto Ragh_12.20c	cacAra sa anujaH SAntaH Rau _12.20c
   caturdigāvarjitasaṃbhṛtāṃ yo Ragh_6.76c	catur diS Avarjita saMBRtAm yaH RaG_6.76c
   caturdigīśaś caturo babhūva Ragh_18.15d	catur digISaH caturaH baBUva Rau _18.15d
   caturdvāramukhī babhau Ragh_15.60b	catur dvAra muKI baBO RaG_15.60b
   caturbhujāṃśaprabhavaḥ sa teṣāṃ Ragh_16.3a	catur Buja aMSa praBavaH sa tezAm RaG_16.3a
   caturvargaphalaṃ jñānaṃ Ragh_10.23a	caturvarga Palam jQAnam RaG_10.23a
   caturvarṇamayo lokas Ragh_10.23c	catur varNa mayaH lokaH Rau _10.23c
   catuḥskandheva sā camūḥ Ragh_4.30d	catuHskanDA iva sA camUH Rau _4.30d
   catuḥstambhapratiṣṭam Ragh_17.9d	catur stamBa pratizwam Rau _17.9d
   candanānāṃ samarpitam Ragh_4.48b	candanAnAm samarpitam RaG_4.48b
   candanenāṅgarāgaṃ ca Ragh_17.24a	candanena aFgarAgam ca RaG_17.24a
   candaneva bhoginaḥ Ragh_10.43d	candanA iva BoginaH Rau _10.43d
   candraṃ pravṛddhormir ivormimālī Ragh_5.61d	candram pravRdDa UrmiH iva Urmi mAlI Rau _5.61d
   candre ca viśadaprabhe Ragh_4.18b	candre ca viSada praBe RaG_4.18b
   candrodaya ivodadheḥ Ragh_12.36d	candra udayaH iva udaDeH Rau _12.36d
   capalāpi svabhāvataḥ Ragh_17.46b	capalA api svaBAvataH RaG_17.46b
   camarān paritaḥ pravartitāśvaḥ Ragh_9.66a	camarAn paritas pravartita aSvaH RaG_9.66a
   caraṇayor nakharāgasamṛddhibhir Ragh_9.13a	caraNayoH naKa rAga samRdDiBiH RaG_9.13a
   caraṇānugraham anyadurlabham Ragh_8.63b	caraNa anugraham anya durlaBam RaG_8.63b
   carataḥ kila duścaraṃ tapas Ragh_8.79a	carataH kila duScaram tapaH RaG_8.79a
   caratāṃ gātraśiñjitaiḥ Ragh_4.56b	caratAm gAtra SiQjitEH RaG_4.56b
   caran mṛgaiḥ sārdham ṛṣir maghonā Ragh_13.39b	caran mRgEH sArDam RziH maGonA RaG_13.39b
   caritārtham ivābhavat Ragh_12.87d	caritArTam iva aBavat Rau _12.87d
   caritārthaiva bhāratī Ragh_10.37d	caritArTA eva BAratI Rau _10.37d
   caritārthais tapasvibhiḥ Ragh_15.27b	carita arTEH tapasviBiH RaG_15.27b
   carituṃ duścaraṃ tapaḥ Ragh_10.26b	caritum duScaram tapaH RaG_10.26b
   caror ardhārdhabhāgābhyāṃ Ragh_10.57c	caroH arDa arDa BAgAByAm RaG_10.57c
   calayan bhṛṅgarucas tavālakān Ragh_8.53b	calayan BRFga rucaH tava alakAn RaG_8.53b
   cātakair abhinanditaḥ Ragh_17.15d	cAtakEH aBinanditaH Rau _17.15d
   cātakair abhinandyate Ragh_17.60d	cAtakEH aBinandyate Rau _17.60d
   cāpa eva bhavato bhaviṣyati Ragh_11.41c	cApaH eva BavataH Bavizyati RaG_11.41c
   cāpalāya pracoditaḥ Ragh_1.9d	cApalAya pracoditaH Rau _1.9d
   cāpāt samam ivodyayuḥ Ragh_12.47d	cApAt samam iva udyayuH Rau _12.47d
   cāpe sītāṃ ca lakṣmaṇe Ragh_12.44d	cApe sItAm ca lakzmaNe Rau _12.44d
   cāradūtikathitaṃ puro gatāḥ Ragh_19.33b	cAra dUti kaTitam puras gatAH RaG_19.33b
   cāru gautamavadhūḥ śilāmayī Ragh_11.34b	cAru gOtama vaDUH SilA mayI RaG_11.34b
   cāru nṛtyavigame ca tanmukhaṃ Ragh_19.15a	cAru nRtya vigame ca tad muKam RaG_19.15a
   cikliśur bhṛśatayā varūthinīm Ragh_11.58c	cikliSuH BRSa tayA varUTinIm RaG_11.58c
   cikṣipur daśāarathātmajāgrataḥ Ragh_11.43*d	cikzipuH daSAa raTa Atmaja agratas RaG_11.43*d
   cikṣepa vārīparighān ivormīn Ragh_5.45*d	cikzepa vArI pariGAn iva UrmIn Rau _5.45*d
   ciccheda kadalīsukham Ragh_12.96d	cicCeda kadalI suKam RaG_12.96d
   citāgnir iva jaṅgamaḥ Ragh_15.16d	citA agniH iva jaFgamaH Rau _15.16d
   cittayonir abhavat punarnavaḥ Ragh_19.46d	citta yoniH aBavat punarnavaH Rau _19.46d
   citrakūṭavanasthaṃ ca Ragh_12.15a	citrakUwa vana sTam ca RaG_12.15a
   citrakūṭasthalīṃ jahau Ragh_12.24d	citrakUwa sTalIm jahO Rau _12.24d
   citradvipāḥ padmavanāvatīrṇāḥ Ragh_16.16a	citra dvipAH padma vana avatIrNAH RaG_16.16a
   citrācandramsor iva Ragh_1.46d	citrA candramsoH iva RaG_1.46d
   citrārpitārambha invāvatasthe Ragh_2.31d	citra arpita AramBaH invAvatasTe Rau _2.31d
   ciram aśrūṇi vimucya rāghavaḥ Ragh_8.25b	ciram aSrUNi vimucya rAGavaH RaG_8.25b
   cirāt sutasparśarasjñatāṃ yayau Ragh_3.26d	cirAt suta sparSa rasjQa tAm yayO RaG_3.26d
   cirāya saṃtarpya samidhir agniṃ Ragh_13.45c	cirAya saMtarpya samiDiH agnim RaG_13.45c
   cirojjhitāny āśramamaṇḍalāni Ragh_13.22d	cira ujJitAni ASrama maNxalAni RaG_13.22d
   cistāritaḥ kuñjarakarṇatālair Ragh_7.39c	ciH tAritaH kuQjara karNa tAlEH RaG_7.39c
   cukopa tasmai sa bhṛśaṃ suraśriyaḥ Ragh_3.56c	cukopa tasmE sa BRSam sura SriyaH RaG_3.56c
   cukṣubhe dviṣatāṃ manaḥ Ragh_4.21d	cukzuBe dvizatAm manaH Rau _4.21d
   cumbane viparivartitādharaṃ Ragh_19.27a	cumbane viparivartita aDaram RaG_19.27a
   cūḍāmaṇibhir udghṛṣṭa Ragh_17.28c	cUxAmaNiBiH udGRzwaH RaG_17.28c
   cūrṇapratinidhīkṛtaḥ Ragh_4.54d	cUrNa pratiniDIkRtaH RaG_4.54d
   cūrṇababhru lulitasragākulaṃ Ragh_19.25a	cUrNa baBru lulita sraj A Akulam RaG_19.25a
