   // śrīḥ //	// SrIH //
   śukasaptatiḥ //	SukasaptatiH //
   sāpi snānaṃ kṛtvā yakṣasamīpamāgatya puṣpagandhādyairabhyarcya	sA-api snAnam kRtvA yakza-samIpam-Agatya puzpa-ganDa-AdyEH-aByarcya
   sarvalokānāṃ śṛṇvatāmuvāca-bho bhagavanyakṣa! nijabhartāramenaṃ ca	sarva-lokAnAm SRNvatAm-uvAca--BaH Bagavan-i-akza! nija-BartAram-enam ca
   grahilaṃ vinā yadyanyapuruṣaḥ spṛśati kadācana māṃ tadā tava jaghābhyāṃ	grahilam vinA yadi-anyapuruzaH spRSati kadAcana mAm tadA tava jaGAByAm
   sakāśānmama niṣkramaṇaṃ mā bhavatvityabhidhāya sarvalokasamakṣameva	sakASAt-mama nizkramaNam mA Bavatu-iti-aBiDAya sarva-loka-samakzam-eva
   jaṅghayormadhye praviśya niṣkrāntā /	jaFGayoH-maDye praviSya nizkrAntAH /
   yakṣo 'pi tadbuddhi manasi ślāghamāna eva sthitaḥ /	yakzaH api tat-budDi manasi SlAGamAnaH eva sTitaH /
   sāpi satīti samastalokaiḥ pūjitā svabhavanaṃ jagāma /	sA-api satI-iti samasta-lokEH pUjitA sva-Bavanam jagAma /
   evaṃ cet śriyādevīvatkartuṃ jānāsi tadā vraja /	evam ced SriyAdevI-vat-kartum jAnAsi tadA vraja /
   iti śrutvā prabhāvatī suptā /	iti SrutvA praBAvatI suptA /
   iti śukasaptatau pañcadaśī katā //	iti Suka-saptatO paQcadaSI katA //
   START Suk 16:	START Suc 16:
   anyadā sā calitā śukaṃ prāha-śukāhaṃ narāntaraṃ gamiṣyāmi /	anyadA sA calitA Sukam prAha-SukA-aham nara-antaram gamizyAmi /
   śukaḥ prāha- satyameva tvayābhāṇi kartavyaṃ yanmano 'nugam /	SukaH prAha satyam-eva tvayA-aBANi kartavyam yat-manaH anugam /
   manastu mugdhikā yadvadaśakyānkhedayatyalam // Suk_16.1 (=110) //	manaH-tu mugDikA yadvat-aSakyAn-Kedayati-alam // Suc-_16.1 (=110) //
   tacdhrutvā prabhāvatyāha-kathametat /	tat-DrutvA praBAvati-Aha--kaTam-etat /
   so 'bravīt-asti vidiśā nāma purī /	saH abravIt--asti vidiSA nAma purI /
   tasyāṃ janavallabho nāma vaṇik /	tasyAm janavallaBaH nAma vaNij /
   tasya bhāryā mugdhikā nāma capalā svairiṇī /	tasya BAryA mugDikA nAma capalA svEriNI /
   yadā ca tayātiśayena vidūṣito 'yaṃ tadā bandhūnāṃ kathayāmāsa yadiyaṃ	yadA ca tayA-atiSayena vidUzitaH ayam tadA banDUnAm kaTayAmAsa yat-iyam
   bahiḥśāyinī /	bahis-SAyinI /
   yadā ca tairevamuktā tadā tayāpyuktam-ayameva bahiḥśāyī sadaiva /	yadA ca tEH-evam-uktA tadA tayA-api-uktam--ayam-eva bahis-SAyI sadA-eva /
   māṃ mudhāpavādayati /	mAm muDA-apavAdayati /
   tatastairmilitvā nirbandhaḥ kṛtaḥ "yaḥ ko 'pi adyaprabhṛti bahiḥśāyī so	tatas-tEH-militvA nirbanDaH kRtaH "yaH kaH api adya-praBRti bahis-SAyI saH-
   'parādho" /	aparADo" /
   evaṃ nirbandhe kṛte 'pi sā suptaṃ patiṃ vihāya bahirgatā /	evam nirbanDe kRte api sA suptam patim vihAya bahis-gatA /
   tasyāṃ ca bahirgatāyāṃ sa patirdvāraṃ datvā suptaḥ /	tasyAm ca bahis-gatAyAm sa patiH-dvAram datvA suptaH /
   yadā cabahiḥ krīḍāṃ kṛtvā samāgatāyāḥ sa patirdvāraṃ nodghāṭayati tadā sā	yadA cabahis krIxAm kRtvA samAgatAyAH sa patiH-dvAram na-udGAwayati tadA sA
   kūpe dṛṣadaṃ kṣiptvā dvāradeśa eva sthitā /	kUpe dRzadam kziptvA dvAra-deSaH eva sTitA /
   patirapi kūpe patitā bhaviṣyatīti jñātvā dvāramudghāṭyabahirnirgataḥ /	patiH-api kUpe patitA Bavizyati-iti jQAtvA dvAram-udGAwya-bahis-nirgataH /
   tadā sā dvāraṃ pidhāya madhye sthitā /	tadA sA dvAram piDAya maDye sTitAH /
   so 'pi ca bahiḥ sthito "hā priye' evaṃ vadanmahatā śabdena goditumārabdhaḥ	saH api ca bahis sTitaH "hA priye-a evam vadat-mahatA Sabdena goditum-ArabDaH
   sāpi vigopakabhayādbahirnirgatya patiṃ madhye nināya /	sA-api vigopaka-BayAt-bahis-nirgatya patim maDye ninAya /
   tatastanmithuna parasparaṃ nirbandhaṃ cakāra /	tatas-tad-miTuna parasparam nirbanDam cakAra /
   yadadyaprabhṛti mayā tvayā visaṃvādo na vidheyaḥ /	yat-adya-praBRti mayA tvayA visaMvAdaH na viDeyaH /
   iti kathāṃ śrutvā prabhāvatī suptā /	iti kaTAm SrutvA praBAvatI suptA /
   iti śukasaptatau ṣoḍaśī kathā //	iti Suka-saptatO zoxaSI kaTA //
   START Suk 17:	START Suc 17:
   anyadā sā hasantī narāntaragamanāya śukaṃ pṛcchati /	anyadA sA hasantI nara-antara-gamanAya Sukam pRcCati /
   śuka āha-yadeva manaso 'bhīṣṭaṃ tadeva kāryam /	SukaH Aha-yat-eva manasaH aBIzwam tat-eva kAryam /
   uktañca- dṛṣṭipūtaṃ nyasetpādaṃ vastrapūtaṃ jalaṃ pibet /	uktaQca dRzwi-pUtam nyaset-pAdam vastra-pUtam jalam pibet /
   satyapūtaṃ vadedvākyaṃ manaḥpūtaṃ samācaret // Suk_17.1 (=111) //	satya-pUtam vadet-vAkyam manaH-pUtam samAcaret // Suc-_17.1 (=111) //
   mano 'nukūlaṃ kurvantu tanvi te duḥkhamāgatam /	manaH anukUlam kurvantu tanvi te duHKam-Agatam /
   soḍhuṃ śaktāstathā vaktuṃ guṇāḍhyo brāhmaṇo yathā // Suk_17.2 (=112) //	soXum SaktAH-taTA vaktum guNAXyaH brAhmaNaH yaTA // Suc-_17.2 (=112) //
   prabhāvatī pṛcchati-kathametat /	praBAvatI pRcCati-kaTam-etat /
   śukaḥ kathayati-asti viśālā purī /	SukaH kaTayati-asti viSAlA purI /
   tatra yāyajūko brāhmaṇaḥ /	tatra yAyajUkaH brAhmaNaH /
   tasya patnī pāhinī nāma surūpā ativallabhā /	tasya patnI pAhinI nAma surUpA ati-vallaBA /
   tatputraḥ pitrā sarvāmapi kramādvidyāṃ grāhitaḥ /	tad-putraH pitrA sarvAm-api kramAt-vidyAm grAhitaH /
   anyadā sa pitarau muktvā deśāntaraṃ gataḥ /	anyadA sa pitarO muktvA deSa-antaram gataH /
   guṇāḍhya iti viśruto babhūva /	guNAXyaH iti viSrutaH baBUva /
   jayantyāṃ ca nagaryāṃ buddhijīvanaṃ vyacintayat /	jayantyAm ca nagaryAm budDi-jIvanam vyacintayat /
   tataḥ ṣaṇḍaṃ yavakāśādibhiḥ pupoṣa /	tatas zaNxam yava-kASa-AdiBiH pupoza /
   so 'pi ṣaṇḍastamanu paribhramati /	saH api zaNxaH-tam-anu pariBramati /
   anyadā sabandhanaṃ ṣaṇḍaṃ vidhāya vaṇijārakaveṣadhārī madanāyā veśyāyāḥ	anyadA sa-banDanam zaNxam viDAya vaNijAraka-veza-DArI madanAyAH veSyAyAH
   kṭuṭinīṃ jagāda-asmadīyā balīvardāḥ savastukā prātareṣyanti /	kwuwinIm jagAda--asmadIyAH balIvardAH sa-vastukA prAtar-ezyanti /
   adyāhaṃ tṛṇānayanārthamāgataḥ /	adya-aham tRNa-Anayana-arTam-AgataH /
   tadyatra asmadīyasya balīvardasya sthānaṃ bhavati tatrāhaṃ svapimi /	tat-yatra asmadIyasya balIvardasya sTAnam Bavati tatra-aham svapimi /
   ityukte sā kuṭṭinī balīvadadhanaiṣiṇī taṃ sthāpayāmāsa /	iti-ukte sA kuwwinI balIvat-aDana-eziNI tam sTApayAmAsa /
   so 'pi taṃ ṣaṇḍaṃ baddhvā vilāsinīpārśve yayau /	saH api tam zaNxam badDvA vilAsinI-pArSve yayO /
   tayā ca snāpito bhojitaśca guṇāḍhyo rajanyāṃ śṛṅgāritaḥ tatsakāśe sthitaḥ	tayA ca snApitaH BojitaH-ca guNAXyaH rajanyAm SRFgAritaH tad-sakASe sTitaH
   so 'pi ca prabhātāyāṃ niśi prathamamevotthāya svarṇaśṛṅkhalā gṛhītvā	saH api ca praBAtAyAm niSi praTamam-eva-utTAya svarNa-SRFKalA gRhItvA
   jagāma /	jagAma /
   gate ca tasminnekā ceṭī utthitā ṣaṇḍamadṛṣṭvā kuṭṭinīṃ pratyāha "āue	gate ca tasmin=-ekA cewI utTitA zaNxam-adRzwvA kuwwinIm pratyAha "Aue
   kimidam' /	kim-idam-a /
   tatastaṃ vilāsinīpārśvādgataṃ jñātvā maunaṃ vidhāya sthitā /	tatas-tam vilAsinI-pArSvAt-gatam jQAtvA mOnam viDAya sTitA /
   uktañca- arthanāśaṃ manastāpaṃ gṛhe duścaritāni ca /	uktaQca arTa-nASam manaH-tApam gRhe duScaritAni ca /
   vañcanaṃ cāpamānaṃ ca matimānna prakāśayet // Suk_17.3 (=113) //	vaQcanam ca-apamAnam ca matimAn-na prakASayet // Suc-_17.3 (=113) //
   anyadā guṇāḍhyo dyūtanirjitaḥ khaṭikāhasto veśyayā dhṛtaḥ /	anyadA guNAXyaH dyUta-nirjitaH KawikA-hastaH veSyayA DRtaH /
   tenopāyaścinnitaḥ-śambalo śambalīti jagāda /	tena-upAyaH-cinnitaH-Sambalo SambalI-iti jagAda /
   tatastayā rājabhayānmuktaḥ /	tatas-tayA rAja-BayAt-muktaH /
   tatastasyāṃ calitāyāṃ pṛṣṭhalagna eva śambalīti vadan gacchati /	tatas-tasyAm calitAyAm pRzWa-lagnaH eva SambalI-iti vadan gacCati /
   tatastayā vijane nītvā hastātprasādya svarṇābharaṇaṃ dattam /	tatas-tayA vijane nItvA hastAt-prasAdya svarNa-ABaraNam dattam /
   soḍhuṃ tyaktuṃ ca yaḥ śakto manasā kṛtamanyathā /	soXum tyaktum ca yaH SaktaH manasA kRtam-anyaTA /
   mano 'nukūlatāṃ kurvanna sa nindyaḥ sadā satām // Suk_17.4 (=114) //	manaH anukUla-tAm kurvan-na sa nindyaH sadA satAm // Suc-_17.4 (=114) //
   iti kathāṃ śrutvā prabhāvatī suptā /	iti kaTAm SrutvA praBAvatI suptA /
   iti śukasaptatau saptadaśī kathā //	iti Suka-saptatO saptadaSI kaTA //
   START Suk 18:	START Suc 18:
   anyadā sā calitā śukenoktā /	anyadA sA calitA Sukena-uktAH /
   gaccha devi na te deṣo gacchantyāḥ paraveśmani /	gacCa devi na te dezaH gacCantyAH para-veSmani /
   yadi kāciccharīre te buddhiḥ sarṣapacauravat // Suk_18.1 (=115) //	yadi kAcid-SarIre te budDiH sarzapa-cOra-vat // Suc-_18.1 (=115) //
   asti śubhasthānaṃ nāma nagaram /	asti SuBasTAnam nAma nagaram /
   tatra daridro nāma vaṇik /	tatra daridraH nAma vaNij /
   tasya gṛhe cauraḥ praviṣṭaḥ /	tasya gRhe cOraH pravizwaH /
   so 'pi ca tatrānyatkimapyalabhamānaḥ sarṣapān gṛhītvā nirgato rājapuruṣaiḥ	saH api ca tatra-anyat-kim-api-alaBamAnaH sarzapAn gRhItvA nirgataH rAja-puruzEH
   prāptaḥ /	prAptaH /
   sarṣapān gale baddhvā bhrāmito rājakulātsa kathaṃ mucyate /	sarzapAn gale badDvA BrAmitaH rAja-kulAt-sa kaTam mucyate /
   uttaram-yo yaḥ pṛcchati tasya tasyāgre vadati-aho sarṣapāṇāṃ madhye na	uttaram-yaH yaH pRcCati tasya tasya-agre vadati-aho sarzapANAm maDye na
   kiñcit /	kiQcid /
   tato rājñā sabhāyāmākārya pṛṣṭaḥ-tava vaco 'bhiprāyaṃ na jāne /	tatas rAjQA saBAyAm-AkArya pRzwaH-tava vacaH aBiprAyam na jAne /
   prāha- balervarṣadine lokaḥ sarṣapānpañcarakṣakān /	prAha baleH-varza-dine lokaH sarzapAn-paQca-rakzakAn /
   haste badhnāti tannūnamapramāṇamataḥ param // Suk_18.2 (=116) //	haste baDnAti tat-nUnam-apramANam-atas param // Suc-_18.2 (=116) //
   yato 'hametāvadbhirapi gale baddhairbaddhaḥ rājāpi tadākarṇya hasaṃstaṃ	yatas aham-etAvadBiH-api gale badDEH-badDaH rAjA-api tat-AkarNya hasan=-tam
   mumoca /	mumoca /
   iti śrutvā prabhāvatī suptā /	iti SrutvA praBAvatI suptA /
   iti śukasaptatau aṣṭādaśī kathā //	iti Suka-saptatO azwAdaSI kaTA //
   START Suk 19:	START Suc 19:
   anyadā prabhāvatī calitā /	anyadA praBAvatI calitA /
   śukaḥ prāha- kuru yadrocate bhīru yadi kartuṃ tvamīśvarā /	SukaH prAha kuru yat-rocate BIru yadi kartum tvam-ISvarAH /
   yathā santikayā bhartā svacchandā ca vimocitā // Suk_19.1 (=117) //	yaTA santikayA BartA svacCandA ca vimocitAH // Suc-_19.1 (=117) //
   asti karahaḍābhidhaṃ puram /	asti karahaxa-aBiDam puram /
   tatra rājā guṇapriyo nāma yathārthaḥ /	tatra rAjA guNapriyaH nAma yaTArTaH /
   tatra ca soḍhoko nāma śreṣṭhiḥ /	tatra ca soXokaH nAma SrezWiH /
   tadbhāryā santikā nāma pativratā /	tad-BAryA santikA nAma pativratA /
   tatraiva cānyo vaṇik /	tatra-eva ca-anyaH vaNij /
   tadbhāryā svacchandā nāma puṃścalī /	tad-BAryA svacCandA nAma puMScalI /
   sā ca soḍhākaṃ nityamicchati paraṃ so 'bhivāñchāṃ na vidhatte /	sA ca soXAkam nityam-icCati param saH aBivAQCAm na viDatte /
   anyadā ca manorathābhidhaṃ yakṣaṃ namaskartuṃ jagāma saḥ /	anyadA ca manoraTa-aBiDam yakzam namaskartum jagAma saH /
   tataḥ svacchandā pṛṣṭhalagnā tatra praviṣṭā /	tatas svacCandA pRzWa-lagnA tatra pravizwA /
   sa ca hāvabhāvādyairanukūlito bhuktaḥ /	sa ca hAva-BAva-AdyEH-anukUlitaH BuktaH /
   yuktamuktañca-	yuktam-uktaQca-
   sanmārge tāvadāste prabhavati puruṣastāvadevendriyāṇāṃ lajjāṃ	sat-mArge tAvat-Aste praBavati puruzaH-tAvat-eva-indriyANAm lajjAm
   tāvadvidhatte vinayamapi samālambate tāvadeva /	tAvat-viDatte vinayam-api samAlambate tAvat-eva /
   bhrūcāpākṛṣṭamuktāḥ śravaṇapathajuṣo nīlapakṣmāṇa ete yāvallīlāvatīnāṃ na	BrU-cApa-AkRzwa-muktAH SravaNa-paTa-juzaH nIla-pakzmANaH ete yAvat-lIlAvatInAm na
   hṛdi dhṛtimuṣo dṛṣṭibāṇāḥ patanti // Suk_19.2 (=118) //	hRdi DRti-muzaH dRzwi-bANAH patanti // Suc-_19.2 (=118) //
   tacca mithunaṃ dṛṣṭvā rājapuruṣaḥ tadbandhanāya yakṣagṛhaṃ veṣṭitam /	tat-ca miTunam dRzwvA rAja-puruzaH tad-banDanAya yakza-gRham vezwitam /
   santikā ca śuddhiṃ jñātvā rātrau mahatā tūryaśabdena yakṣagṛhaṃ gatā /	santikA ca SudDim jQAtvA rAtrO mahatA tUrya-Sabdena yakza-gRham gatAH /
   teṣāmārakṣakāṇāṃ purata uktam-ahamadyadinavratā yakṣaṃ dṛṣṭvā bhojanaṃ	tezAm-ArakzakANAm puratas uktam--aha-madya-dina-vratA yakzam dRzwvA Bojanam
   vijane vidhāsye /	vijane viDAsye /
   māṃ ca kiñciddhanaṃ gṛhītvā madhye praveśayatu /	mAm ca kiQcid-Danam gRhItvA maDye praveSayatu /
   tairapi tathaiva kṛtam /	tEH-api taTA-eva kRtam /
   tatastayā svacchandā svaveṣāṃ kārayitvā bahirniṣkāsitā /	tatas-tayA svacCandA sva-vezAm kArayitvA bahis-nizkAsitAH /
   svayaṃ madhye sthitā /	svayam maDye sTitAH /
   taṃ ca prātarnijakāntāsahitaṃ dṛṣṭvā ārakṣakā vilakṣībabhūvuḥ /	tam ca prAtar-nija-kAntA-sahitam dRzwvA ArakzakAH vilakzIbaBUvuH /
   iti kathāṃ śrutvā prabhāvatī suptā /	iti kaTAm SrutvA praBAvatI suptA /
   iti śukasaptatau ekonaviṃśatitamī kathā //	iti Suka-saptatO ekonaviMSatitamI kaTA //
   START Suk 20:	START Suc 20:
   anyadā prabhāvatī śukaṃ papraccha /	anyadA praBAvatI Sukam papracCa /
   śukaḥ prāha- gaccha devi mano yatra ramate te narāntare /	SukaH prAha gacCa devi manaH yatra ramate te nara-antare /
   kelikāvadyadā vetsi pativañcanamadbhutam // Suk_20.1 (=119) //	kelikA-vat-yadA vetsi pati-vaQcanam-adButam // Suc-_20.1 (=119) //
   asti sābhramatyā nadyāstaṭe śaṅkhapuraṃ nāma sthānam /	asti sa-aBramatyAH nadyAH-tawe SaFKapuram nAma sTAnam /
   tatra ca karṣukaḥ sūrākhyo dhanī /	tatra ca karzukaH sUra-AKyaH DanI /
   tasya kelikā bhāryā paraṃ kuṭilā kulaṭā ca /	tasya kelikA BAryA param kuwilA kulawA ca /
   sānyasminnadītīre siddheśvarapurasthaṃ brāhmaṇaṃ kāmayate /	sA-anyasminnadI-tIre sidDeSvara-pura-sTam brAhmaNam kAmayate /
   tadāsaktā ca rātrau prātiveśikādūtikāsāhāyyānnadīṃ tīrtvā tadantikaṃ	tad-AsaktA ca rAtrO prAtiveSikA-dUtikA-sAhAyyAt-nadIm tIrtvA tad-antikam
   prāpnoti /	prApnoti /
   anyadā bhartrā jñātam /	anyadA BartrA jQAtam /
   sa ca tatra gatastaccaritragaveṣaṇāya /	sa ca tatra gataH-tad-caritra-gavezaNAya /
   yāvatsā nadītīre tatra samāgatā tayā ca tāvaddṛṣṭaḥ /	yAvat-sA nadI-tIre tatra samAgatA tayA ca tAvat-dRzwaH /
   tatastaraṇaghaṭaṃ pānīyabhṛtaṃ vidhāya prātiveśmikāgṛhamadhye bhaṭṭārikāṃ	tatas-taraNa-Gawam pAnIya-BRtam viDAya prAtiveSmikA-gRha-maDye BawwArikAm
   maṇḍayitvā tena payasā snāpayitvā pratyuvāca prathamasaṃketitāṃ	maNxayitvA tena payasA snApayitvA pratyuvAca praTama-saMketitAm
   dūtikāmuddiśya-"svāmini! purā tvayā uktaṃ yadi tvaṃ siddheśvarīṃ na	dUtikAm-uddiSya-"svAmini! purA tvayA uktam yadi tvam sidDeSvarIm na
   snāpayasi tataḥ pañcānāṃ dinānāṃ madhye tvadbhartṛbharaṇaṃ bhaviṣyati tato	snApayasi tatas paQcAnAm dinAnAm maDye tvad-BartR-BaraNam Bavizyati tatas-
   yadi tvadvacanapramāṇaṃ tadā mama patiściraṃ jīvatu /	yadi tvad-vacana-pramANam tadA mama patiH-ciram jIvatu /
   prātiveśmikayoktam evamastviti śrutvā patistuṣṭo bhūtvālakṣita eva jagāma	prAtiveSmikayA-uktam evam-astu-iti SrutvA patiH-tuzwaH BUtvA-alakzitaH eva jagAma
   iti kathāṃ śrutvā prabhāvatī suptā /	iti kaTAm SrutvA praBAvatI suptA /
   iti śukasaptatau viṃśatitamī kathā //	iti Suka-saptatO viMSatitamI kaTA //
   START Suk 21:	START Suc 21:
   anyasmindine prabhāvatyā puṣṭaḥ śukaḥ prāha-	anyasmin-dine praBAvatyA puzwaH SukaH prAha-
   vraja devi na doṣo 'sti vrajatāṃ sarvakarmasu /	vraja devi na dozaH asti vrajatAm sarva-karmasu /
   buddhirasti yadā yeṣāṃ mandodaryāḥ sahāyinī // Suk_21.1 (=118) //	budDiH-asti yadA yezAm mandodaryAH sahAyinI // Suc-_21.1 (=118) //
   prabhāvatyāha-kathametat /	praBAvati-Aha--kaTam-etat /
   śukraḥ-asti pratiṣṭhānaṃ nāma nagaram /	SukraH-asti pratizWAnam nAma nagaram /
   tatra hemaprabho nāma rājā /	tatra hemapraBaH nAma rAjA /
   śrutaśīlo mantrī /	Sruta-SIlaH mantrI /
   śreṣṭhī yaśodharaḥ /	SrezWI yaSoDaraH /
   mohinī bhāryā /	mohinI BAryA /
   tayostanayā mandodarī /	tayoH-tanayA mandodarI /
   sa śrīvatsāya vaṇije kāntipurīsamāgatāya dattā /	sa SrIvatsAya vaNije kAnti-purI-samAgatAya dattA /
   tanmithunamatīva snehalampaṭam /	tat-miTunam-atIva sneha-lampawam /
   sā ca prātiveśmikayā pitṛbhāryayā kuṭṭinyā daṃṣṭrākarālayā yojitamanyaṃ	sA ca prAtiveSmikayA pitR-BAryayA kuwwinyAH daMzwrA-karAlayA yojitam-anyam
   rājaputramupabhuṅke /	rAja-putram-upaBuFke /
   sā'pannasattvā bhūtā garbhasaṃbhavātsaṃjāte dohade rājavallabhaṃ mayūraṃ	sA-apannasattvAH BUtAH garBa-saMBavAt-saMjAte dohade rAja-vallaBam mayUram
   mārayitvā bhakṣitavatī /	mArayitvA BakzitavatI /
   rājā tu tasminmayūre samāgate bhuṅkte iti sthitiḥ /	rAjA tu tasmin-mayUre samAgate BuFkte iti sTitiH /
   tasmindivase tu bhojanavelāyāṃ na labdhaḥ /	tasmin-divase tu Bojana-velAyAm na labDaH /
   ḍiṇḍimaghoṣaṇe kṛte kuṭṭinyā paṭahaḥ spṛṣṭaḥ /	xiNxima-GozaNe kRte kuwwinyA pawahaH spRzwaH /
   tayā ca jñātaṃ yatkayācidāpannasattvayā mayūro dohadādbhakṣitaḥ /	tayA ca jQAtam yat-kayAcid-Apanna-sattvayA mayUraH dohadAt-BakzitaH /
   tataḥ sā garbhavatī pṛṣṭā tayā kuṭṭino gṛhamāgatā sammānitā /	tatas sA garBavatI pRzwA tayA kuwwinaH gRham-AgatA sammAnitA /
   uktañca-	uktaQca-
   mādhuryaṃ pramadājane sulalitaṃ dākṣiṇyamārye jane, śauryaṃ śatruṣu	mADuryam pramadA-jane su-lalitam dAkziNyam-Arye jane, SOryam Satruzu
   mārdavaṃ gurujane dharmiṣṭhatā sādhuṣu /	mArdavam guru-jane DarmizWa-tA sADuzu /
   marmajñeṣvanuvartanaṃ bahuvidhaṃ mānaṃ jane garvite, śāṭhyaṃ pāpajane	marma-jQezu-anuvartanam bahuviDam mAnam jane garvite, SAWyam pApa-jane
   narasya kathitāḥ paryantamaṣṭau guṇāḥ // Suk_21.2 (=119) //	narasya kaTitAH paryantam-azwO guNAH // Suc-_21.2 (=119) //
   tayā ca sarvo 'pi mayūravṛttānto niveditaḥ /	tayA ca sarvaH api mayUra-vRttAntaH niveditaH /
   sā cakuṭṭinī viśvāsaghātikā /	sA cakuwwinI viSvAsa-GAtikAH /
   uktañca-	uktaQca-
   na viśvasedaviśvaste viśvaste 'pi na viśvaset /	na viSvaset-aviSvaste viSvaste api na viSvaset /
   viśvāsād bhayamutpannaṃ mūlādapi nikṛntati // Suk_21.3 (=120) //	viSvAsAt Bayam-utpannam mUlAt-api nikRntati // Suc-_21.3 (=120) //
   dāreṣu gopyaṃ puruṣasya kiñcidgopyaṃ vayasyeṣu suteṣu kiñcit /	dArezu gopyam puruzasya kiQcid-gopyam vayasyezu sutezu kiQcid /
   yuktaṃ na yuktaṃ manasā vicintya vadedvipaścinmahato 'nurodhāt // Suk_21.4	yuktam na yuktam manasA vicintya vadet-vipaScit-mahataH anuroDAt // Suc-_21.4
   kiñca-	kiQca-
   sopacārāṇi vākyāni śatrūṇāmiha lakṣayet /	sa-upacArANi vAkyAni SatrUNAm-iha lakzayet /
   avicāritagītārthāṃ mṛgā yānti parābhavam // Suk_21.5 (=122) //	avicArita-gIta-arTAm mRgAH yAnti parABavam // Suc-_21.5 (=122) //
   kirāte 'pyuktam-	kirAte api-uktam--
   vrajanti te mūḍhadhiyaḥ parābhavaṃ bhavanti māyāviṣu ye na māyinaḥ /	vrajanti te mUXaDiyaH parABavam Bavanti mAyAvizu ye na mAyinaH /
   praviśya hi ghnanti śaṭhāstathāvidhānasaṃvṛtāṅgānniśitāiveṣavaḥ //	praviSya hi Gnanti SaWAH-taTA-viDAna-saMvRta-aFgAn-niSitAi-vezavaH //
   Suk_21.6 (=123) //	Suc-_21.6 (=123) //
   kuṭṭinyā tatsarvaṃ jñātvā mantriṇe niveditam /	kuwwinyA tat-sarvam jQAtvA mantriNe niveditam /
   mantriṇāpi rājñe /	mantriNA-api rAjQe /
   rājā prāha-	rAjA prAha-
   mā hohi suhaggāhi mā pattihi jaṃ ṇa diṭṭhapaccakkhaṃ /	mA hohi suhaggAhi mA patti-hi jam Na diwWapad-cakKam /
   paccakkhammi vi diṭṭhe juttājuttaṃ viutaṇāhi // Suk_21.7 (=124) //	pad-cakKammi vi diwWe juttAjuttam viutaNAhi // Suc-_21.7 (=124) //
   [mā bhava sukhagrāhī mā pratyehi yanna dṛṣṭaṃ pratyakṣam /	[mA Bava suKa-grAhI mA pratyehi yat-na dRzwam pratyakzam /
   pratyakṣe 'pi dṛṣṭe yuktāyuktaṃ vijānīhi] // Suk_21.7* (=124*) //	pratyakze api dRzwe yukta-ayuktam vijAnIhi] // Suc-_21.7* (=124*) //
   tadvaṇijo nagarapradhānasya vadhvā naitanniṣpadyate /	tad-vaNijaH nagara-praDAnasya vaDvA na-etat-nizpadyate /
   yāvadātmanā na dṛṣṭaṃ tāvadasau na viḍambyaḥ /	yAvat-AtmanA na dRzwam tAvat-asO na vixambyaH /
   tacca kuṭṭinyā agre mantriṇā niveditam /	tat-ca kuwwinyAH agre mantriNA niveditam /
   kuṭṭinī ca mantriṇaṃ peṭāyāṃ nikṣipya tadgṛhe nyāsavyājena mumoca /	kuwwinI ca mantriNam pewAyAm nikzipya tad-gRhe nyAsa-vyAjena mumoca /
   svayaṃ ca tatra gatvā tāmabhāṣata- mugdhe! yanmayūrabhakṣaṇaṃ kṛtaṃ	svayam ca tatra gatvA tAm-aBAzata mugDe! yat-mayUra-BakzaNam kRtam
   tattvaṃ me ślāghyā /	tattvam me SlAGyAH /
   uktañca-	uktaQca-
   eṇaḥ kuraṅgo harimastittirirlāva eva ca /	eNaH kuraFgaH harimaH-tittiriH-lAvaH eva ca /
   mayūracarmikūrmāśca śreṣṭhā māṃsagaṇeṣvapi // Suk_21.8 (=125) //	mayUra-carmi-kUrmAH-ca SrezWA mAMsa-gaNezu-api // Suc-_21.8 (=125) //
   punarapi samagro vṛttāntaḥ puṣṭaḥ /	punar-api samagraH vRttAntaH puzwaH /
   kathyamānaśca peṭāhananakṛtasaṃjñena mantriṇā śrutaḥ /	kaTyamAnaH-ca pewA-hanana-kRta-saMjQena mantriNA SrutaH /
   tatkathaṃ sā śreṣṭhivadhūstatpitā śvaśuraśca mucyantām /	tat-kaTam sA SrezWi-vaDUH-tad-pitA SvaSuraH-ca mucyantAm /
   uktañca-	uktaQca-
