   ******************** ADHYAYA 1 ********************	******************** ADHYAYAH 1 ********************
   teṣām ādityavaj jñānaṃ prakāśayati tat param || BhG_5.16 ||	tezAm Aditya vat jQAnam prakASayati tat param || Bhu _5.16 ||
   evaṃ vartamāneṣu sarveṣv ātmasu yeṣām ātmanām uktalakṣaṇena	evam vartamAnezu sarvezu Atmasu yezAm AtmanAm ukta lakzaNena
   ātmayāthātmyopadeśajanitena ātmaviṣayeṇa aharaharabhyāsādheyātiśayena	Atma yATAtmya upadeSa janitena Atma vizayeNa aharahar aByAsa ADeya atiSayena
   niratiśayapavitreṇa jñānena tat jñānāvaraṇam	niratiSaya pavitreNa jQAnena tat jQAna AvaraNam
   anādikālapravṛttānantakarmasaṃcayarūpam ajñānaṃ nāśitam, teṣāṃ tat	anAdi kAla pravRtta ananta karma saMcaya rUpam ajQAnam nASitam, tezAm tat 
   svābhāvikaṃ paraṃ jñānam aparimitam asaṃkucitam ādityavat sarvaṃ	svABAvikam param jQAnam aparimitam asaMkucitam Aditya vat sarvam
   yathāvasthitaṃ prakāśayati / teṣām iti vinaṣṭājñānānāṃ bahutvābhimānād	yaTA avasTitam prakASayati / tezAm iti vinazwa ajQAnAnAm bahutva aBimAnAt 
   ātmasvarūpabahutvam, "na tv evāhaṃ jātu nāsam" ityupakramāvagatam atra	Atma svarUpa bahu tvam, "na tu eva aham jAtu na asam" iti upakrama avagatam atra
   spaṣṭataram uktam / na cedaṃ bahutvam upādhikṛtam; vinaṣṭājñānānām	spazwataram uktam / na ca idam bahu tvam upADikRtam; vinazwa ajQAnAnAm
   upādhigandhābhāvāt / "teṣām ādityavaj jñānam" iti vyatirekanirdeśāj	upADi ganDa aBAvAt / "tezAm Aditya vat jQAnam" iti vyatireka nirdeSa Aj
   jñānasya svarūpānubandhidharmatvam uktam / ādityadṛṣṭāntena ca	jQAnasya svarUpa anubanDi Darma tvam uktam / Aditya dRzwAntena ca
   jñātṛjñānayoḥ prabhāprabhāvator ivāvasthānaṃ ca / tata eva saṃsāradaśāyāṃ	jQAtR jQAnayoH praBA praBAvatoH iva avasTAnam ca / tatas eva saMsAra daSAyAm
   jñānasya karmaṇā saṃkoco mokṣadaśāyāṃ vikāsaś copapannaḥ // BhGR_5.16 //	jQAnasya karmaNA saMkocaH mokza daSAyAm vikAsaH ca upapannaH // BhGR_5.16 //
   tadbuddhayas tadātmanas tanniṣṭhās tatparāyaṇāḥ |	tad budDayaH tad AtmanaH tad nizWAH tad parAyaNAH |
   gacchanty apunarāvṛttiṃ jñānanirdhūtakalmaṣāḥ || BhG_5.17 ||	gacCanti apunarAvRttim jQAna nirDUta kalmazAH || Bhu _5.17 ||
   tadbuddhayaḥ tathāvidhātmadarśanādhyavasāyāḥ, tadātmānaḥ tadviṣayamanasaḥ,	tad budDayaH taTAviDAtma darSana aDyavasAyAH, tad A AtmAnaH tad vizaya manasaH,
   tanniṣṭhāḥ tadabhyāsaniratāḥ, tatparāyaṇāḥ tad eva paramaprayojanam iti	tad nizWAH tad aByAsa niratAH, tad parAyaNAH tat eva parama prayojanam iti
   manvānāḥ, evam abhyasyamānena jñānena nirdhūtaprācīnakalmaṣāḥ tathāvidham	manvAnAH, evam aByasyamAnena jQAnena nirDUta prAcIna kalmazAH taTAviDam
   ātmanam apunarāvṛttiṃ gacchanti / yad avasthād ātmanaḥ punarāvṛttir na	Atmanam apunarAvRttim gacCanti / yat avasTAt AtmanaH punarAvRttiH na
   vidyate, sa ātmā apunarāvṛttiḥ / svena rūpeṇāvasthitam ātmānaṃ	vidyate, saH AtmA apunarAvRttiH / svena rUpeNa avasTitam AtmAnam
   gacchantītyarthaḥ // BhGR_5.17 //	gacCanti iti arTaH // BhGR_5.17 //
   vidyāvinayasaṃpanne brāhmaṇe gavi hastini |	vidyA vinaya saMpanne brAhmaNe gavi hastini |
   śuni caiva śvapāke ca paṇḍitāḥ samadarśinaḥ || BhG_5.18 ||	Suni ca eva SvapAke ca paNxitAH sama darSinaH || Bhu _5.18 ||
   vidyāvinayasaṃpanne, kevalabrāhmaṇe, gohastiśvaśvapacādiṣu	vidyA vinaya saMpanne, kevala brAhmaNe, go hasti Sva Sva paca Adizu
   atyantaviṣamākāratayā pratīyamāneṣu ātmasu paṇḍitāḥ ātmayāthātmyavidaḥ,	atyanta vizama AkAra tayA pratIyamAnezu Atmasu paNxitAH Atma yATAtmya vidaH,
   jñānaikākāratayā sarvatra samadarśinaḥ viṣamākāras tu prakṛteḥ, nātmanaḥ;	jQAna eka AkAra tayA sarvatra sama darSinaH vizama AkAraH tu prakRteH, na AtmanaH;
   ātmā tu sarvatra jñānaikākāratayā sama iti paśyantītyarthaḥ // BhGR_5.18	AtmA tu sarvatra jQAna eka AkAra tayA samaH iti paSyanti iti arTaH // BhGR_5.18
   ihaiva tair jitas svargo yeṣāṃ sāmye sthitaṃ manaḥ |	iha eva tEH jitaH svargaH yezAm sAmye sTitam manaH |
   nirdoṣaṃ hi samaṃ brahma tasmād brahmaṇi te sthitāḥ || BhG_5.19 ||	nirdozam hi samam brahma tasmAt brahmaNi te sTitAH || Bhu _5.19 ||
   ihaiva sādhanānuṣṭhānadaśāyām eva taiḥ sargo jitaḥ saṃsāro jitaḥ; yeṣām	iha eva sADana anuzWAna daSAyAm eva tEH sargaH jitaH saMsAraH jitaH; yezAm
   uktarītyā sarveṣv ātmasu sāmye sthitaṃ manaḥ / nirdoṣaṃ hi samaṃ brahma /	ukta rItyA sarvezu Atmasu sAmye sTitam manaH / nirdozam hi samam brahma /
   prakṛtisaṃsargadoṣaviyuktatayā samam ātmavastu hi bramha / ātmasāmye	prakRti saMsarga doza viyukta tayA samam Atmavastu hi bramha / Atma sAmye
   sthitāś ced brahmaṇi sthitā eva te; brahmaṇi sthitir eva hi sṃsārajayaḥ /	sTitAH ced brahmaNi sTitAH eva te; brahmaNi sTitiH eva hi sMsAra jayaH /
   ātmasu jñānaikākāratayā sāmyam evānusandhānā muktā evetyarthaḥ //	Atmasu jQAna eka AkAra tayA sAmyam eva anusanDAnA muktAH eva iti arTaH //
   BhGR_5.19 //	BhGR_5.19 //
   yena prakāreṇāvathitasya karmayoginaḥ samadarśanarūpo jñanavipāko bhavati,	yena prakAreNa avaTitasya karma yoginaH sama darSana rUpaH jQana vipAkaH Bavati,
   taṃ prakāram upadiśati	tam prakAram upadiSati
   na prahṛṣyet priyaṃ prāpya nodvijet prāpya cāpriyam |	na prahRzyet priyam prApya na udvijet prApya ca apriyam |
   sthirabuddhir asaṃmūḍho brahmavid brahmaṇi sthitaḥ || BhG_5.20 ||	sTira budDiH asaMmUXaH brahma vid brahmaNi sTitaH || Bhu _5.20 ||
   yādṛśadehasthasya yadavasthasya prācīnakarmavāsanayā yat priyaṃ bhavati,	yAdRSa deha sTasya yad avasTasya prAcIna karma vAsanayA yat priyam Bavati,
   yac cāpriyam, tadubhayaṃ prāpya harṣodvegau na kuryāt / katham?	yat ca apriyam, tat uBayam prApya harza udvegO na kuryAt / kaTam?
   sthirabuddhiḥ sthire ātmani buddhir yasya saḥ sthirabuddhiḥ, asaṃmūḍho	sTira budDiH sTire Atmani budDiH yasya saH sTira budDiH, asaMmUXaH 
   asthieṇa śarīreṇa sthiram ātmānam ekīkṛtya mohaḥ saṃmohaḥ; tadrahitaḥ /	asTieNa SarIreNa sTiram AtmAnam ekIkRtya mohaH saMmohaH; tad rahitaH /
   tac ca katham? brahmavid brahmaṇi sthitaḥ / upadeśena brahmavit san tasmin	tat ca kaTam? brahma vid brahmaNi sTitaH / upadeSena brahma vid san tasmin
   brahmaṇy abhyāsayuktaḥ / etad uktaṃ bhavati tattvavidām upadeśena	brahmaNi aByAsa yuktaH / etat uktam Bavati tattva vidAm upadeSena
   ātmayāthātmyavid bhūtvā tatraiva yatamāno dehātmābhimānaṃ parityajya	Atma yATAtmya vid BUtvA tatra eva yatamAnaH deha AtmA aBimAnam parityajya
   sthirarūpātmāvalokanapriyānubhave vyavasthitaḥ asthire prākṛte priyāpriye	sTira rUpa Atma avalokana priya anuBave vyavasTitaH asTire prAkRte priya apriye
   prāpya harṣodevegau na kuryād iti // BhGR_5.20 //	prApya harza udevegO na kuryAt iti // BhGR_5.20 //
   bāhyasparśeṣv asaktātmā vindaty ātmani yaḥ sukham |	bAhya sparSezu asakta AtmA vindati Atmani yaH suKam |
   sa brahmayogayuktātmā sukham akṣayam aśnute || BhG_5.21 ||	sa brahma yoga yukta AtmA suKam akzayam aSnute || Bhu _5.21 ||
   evamuktena prakāreṇa bāhyasparśeṣu ātmavyatiriktaviṣayānubhaveṣu,	evam uktena prakAreNa bAhya sparSezu Atma vyatirikta vizaya anuBavezu,
   asaktātmā asaktamanāḥ antarātmany eva yaḥ sukhaṃ vindati labhate, sa	asakta AtmA asakta manAH antarAtmani eva yaH suKam vindati laBate, sa
   prakṛtyabhyāsaṃ vihāya brahmayogayuktātmā brahmābhyāsayuktamanāḥ	prakRti aByAsam vihAya brahma yoga yukta AtmA brahma aByAsa yukta manAH
   brahmānubhavarūpam akṣayaṃ sukhaṃ prāpnoti // BhGR_5.21 //	brahma anuBava rUpam akzayam suKam prApnoti // BhGR_5.21 //
   prākṛtasya bhogasya sutyajatām āha	prAkRtasya Bogasya sutyajatAm Aha
   ye hi saṃsparśajā bhogā duḥkhayonaya eva te |	ye hi saMsparSa jAH BogAH duHKa yonayaH eva te |
   ādyantavantaḥ kaunteya na teṣu ramate budhaḥ || BhG_5.22 ||	Adi antavantaH kOnteya na tezu ramate buDaH || Bhu _5.22 ||
   viṣayendriyasparśajāḥ ye bhogāḥ duḥkhayonayas te duḥkhodarkāḥ /	vizaya indriya sparSa jAH ye BogAH duHKa yonayaH te duHKa udarkAH /
   ādyantavantaḥ alpakālavartino hi upalabhyante / na teṣu tadyāthātmyavid	Adi antavantaH alpa kAla vartinaH hi upalaByante / na tezu tad yATAtmya vid
   ramate // BhGR_5.22 //	ramate // BhGR_5.22 //
   śaknotīhaiva yaḥ soḍhuṃ prāk śarīravimokṣaṇāt |	Saknoti iha eva yaH soXum prAk SarIravimokzaNAt |
   kāmakrodhodbhavaṃ vegaṃ sa yuktaḥ sa sukhī naraḥ || BhG_5.23 ||	kAma kroDa udBavam vegam sa yuktaH sa suKI naraH || Bhu _5.23 ||
   śarīravimokṣaṇāt prāk ih+eva sādhanānuṣṭhānadaśāyam eva ātmānubhavaprītyā	SarIravimokzaNAt prAk ih+A iva sADana anuzWAna daSA ayam eva Atma anuBava prItyA
   kāmakrodhodbhavaṃ vegaṃ soḍhuṃ niroddhuṃ yaḥ śaknoti, sa yuktaḥ	kAma kroDa udBavam vegam soXum nirodDum yaH Saknoti, sa yuktaH
   ātmānubhavāyārhaḥ / sa eva śarīravimokṣottarakālam ātmānubhavaikasukhas	Atma anuBavAya arhaH / saH eva SarIra vimokza uttara kAlam Atma anuBava eka suKa s
   saṃpatsyate // BhGR_5.23 //	saMpatsyate // BhGR_5.23 //
   yo 'ntassukho 'ntarārāmas tathāntarjyotir eva yaḥ |	yaH antassuKaH antara ArAmaH taTA antar jyotiH eva yaH |
   sa yogī brahma nirvāṇaṃ brahmabhūto 'dhigacchati || BhG_5.24 ||	sa yogI brahma nirvANam brahma BUtaH aDigacCati || Bhu _5.24 ||
   yo bāhyaviṣayānubhavaṃ sarvaṃ vihāya antassukhaḥ ātmānubhavaikasukhaḥ,	yaH bAhya vizaya anuBavam sarvam vihAya antassuKaH Atma anuBava eka suKaH,
   antarārāmaḥ ātmaikodyānaḥ svaguṇair ātmaiva sukhavardhako yasya sa	antara ArAmaH AtmA eka udyAnaH sva guNEH AtmA eva suKa varDakaH yasya sa
   tathoktaḥ, tathāntarjyotiḥ ātmaikajñāno yo vartate, sa brahmabhūto yogī	taTA uktaH, taTA antar jyotiH Atma eka jQAnaH yaH vartate, sa brahma BUtaH yogI
   brahmanirvāṇam ātmānubhavasukhaṃ prāpnoti // BhGR_5.24 //	brahma nirvANam Atma anuBava suKam prApnoti // BhGR_5.24 //
   labhante brahmanirvāṇam ṛṣayaḥ kṣīṇakalmaṣāḥ |	laBante brahma nirvANam RzayaH kzINa kalmazAH |
   chinnadvaidhā yatātmānas sarvabhūtahite ratāḥ || BhG_5.25 ||	Cinna dvEDAH yata AtmAnaH sarva BUta hite ratAH || Bhu _5.25 ||
   cchinnadvaidhāḥ śītoṣṇādidvandvair vimuktāḥ, yatātmānaḥ ātmany eva	cCinna dvEDAH SIta uzNa Adi dvandvEH vimuktAH, yata AtmAnaH Atmani eva
   niyamitamanasaḥ, sarvabhūtahite ratāḥ ātmavat sarveṣāṃ bhūtānāṃ hiteṣv eva	niyamita manasaH, sarva BUta hite ratAH Atma vat sarvezAm BUtAnAm hitezu eva
   niratāḥ, ṛṣayaḥ draṣṭāraḥ ātmāvalokanaparāḥ, ya evambhūtās te	niratAH, RzayaH drazwAraH Atma avalokana parAH, yaH evam BUtAH te
   kṣīṇāśeṣātmaprāptivirodhikalmaṣāḥ brahmanirvāṇaṃ labhante // BhGR_5.25 //	kzINa aSeza Atma prApti viroDi kalmazAH brahma nirvANam laBante // BhGR_5.25 //
   uktalakṣaṇānāṃ brahma atyantasulabham ity āha	ukta lakzaNAnAm brahma atyanta sulaBam iti Aha
   kāmakrodhaviyuktānāṃ yatīnāṃ yatacetasām |	kAma kroDa viyuktAnAm yatInAm yata cetasAm |
   abhito brahmanirvāṇaṃ vartate vijitātmanām || BhG_5.26 ||	aBitas brahma nirvANam vartate vijita AtmanAm || Bhu _5.26 ||
   kāmakrodhviyuktānāṃ yatīnāṃ yatanaśīlānāṃ yatacetasāṃ niyamitamanasāṃ	kAma kroDviyuktAnAm yatInAm yatana SIlAnAm yata cetasAm niyamita manasAm
   vijitātmanāṃ vijitamanasāṃ, brahmanirvāṇam abhito vartate / evaṃbhūtānāṃ	vijita AtmanAm vijita manasAM, brahma nirvANam aBitas vartate / evaMBUtAnAm
   hastasthaṃ brahmanirvāṇam ityarthaḥ // BhGR_5.26 //	hasta sTam brahma nirvANam iti arTaH // BhGR_5.26 //
   uktaṃ karmayogaṃ svalakṣyabhūtayogaśiraskam upasaṃharati	uktam karma yogam sva lakzya BUta yoga Siraskam upasaMharati
   sparśān kṛtvā bahir bāhyāṃś cakṣuś caivāntare bhruvoḥ |	sparSAn kRtvA bahis bAhyAn cakzuH ca eva antare BruvoH |
   prāṇāpānau samau kṛtvā nāsābhyantaracāriṇau || BhG_5.27 ||	prANa apAnO samO kRtvA nAsA aByantara cAriNO || Bhu _5.27 ||
   yatendriyamanobuddhir munir mokṣaparāyaṇaḥ |	yata indriya manaH budDiH muniH mokza parAyaNaH |
   vigatecchābhayakrodho yaḥ sadā mukta eva saḥ || BhG_5.28 ||	vigata icCA Baya kroDaH yaH sadA muktaH eva saH || Bhu _5.28 ||
   bāhyān viṣayasparśān bahiḥ kṛtvā bāhyendriyavyāpāraṃ sarvam upasaṃhṛtya,	bAhyAn vizaya sparSAn bahis kRtvA bAhya indriya vyApAram sarvam upasaMhRtya,
   yogayogyāsane ṛjukāya upaviśya cakṣuṣī bhruvor antare nāsāgre vinyasya	yoga yogya Asane Rju kAyaH upaviSya cakzuzI BruvoH antare nAsA agre vinyasya
   nāsābhyantaracāriṇau prāṇāpānau samau kṛtvā ucchvāsaniśvāsau samagatī	nAsA aByantara cAriNO prANa apAnO samO kRtvA ucCvAsa niSvAsO sama gatI
   kṛtvā ātmāvalokanād anyatra pravṛttyanarhendriyamanobuddhiḥ, tata eva	kRtvA Atma avalokanAt anyatra pravRtti anarha indriya manaH budDiH, tatas eva
   vigatecchābhayakrodhaḥ, mokṣaparāyaṇaḥ mokṣaikaprayojanaḥ, muniḥ	vigata icCA Baya kroDaH, mokza parAyaNaH mokza eka prayojanaH, muniH
   ātmāvalokanaśīlaḥ yaḥ, saḥ sadā mukta eva sādhyadaśāyām iva sādhanadaśāyām	Atma avalokana SIlaH yaH, saH sadA muktaH eva sADya daSAyAm iva sADana daSAyAm
   api mukta evetyarthaḥ // BhGR_5.27 //28//	api muktaH eva iti arTaH // BhGR_5.27 //28//
   uktasya nityanaimittikakarmetikartavyatākasya karmayogasya yogaśiraskasya	uktasya nitya nEmittika karma iti kartavya tAkasya karma yogasya yoga Siraskasya
   suśakatām āha	suSaka tAm Aha
   bhoktāraṃ yajñatapasāṃ sarvalokamaheśvaram |	BoktAram yajQa tapasAm sarva loka maheSvaram |
   suhṛdaṃ sarvabhūtānāṃ jñātvā mām śāntim ṛcchati || BhG_5.29 ||	suhRdam sarva BUtAnAm jQAtvA mAm SAntim RcCati || Bhu _5.29 ||
   yajñatapasāṃ bhoktāraṃ sarvalokamaheśvaraṃ sarvabhūtānāṃ suhṛdaṃ māṃ	yajQa tapasAm BoktAram sarva loka maheSvaram sarva BUtAnAm suhRdam mAm
   jñātvā śāntim ṛcchati, karmayogakaraṇa eva sukham ṛcchati /	jQAtvA SAntim RcCati, karma yoga karaNaH eva suKam RcCati /
   sarvalokamaheśvaraṃ sarveṣāṃ lokeśvarāṇām apīśvaram; "tam īśvarāṇāṃ	sarva loka maheSvaram sarvezAm loka ISvarANAm api ISvaram; "tam ISvarANAm
   paramaṃ maheśvaram" iti hi śrūyate / māṃ sarvalokamaheśvaraṃ sarvasuhṛdaṃ	paramam maheSvaram" iti hi SrUyate / mAm sarva loka maheSvaram sarva suhRdam
   jñātvā madārādhanarūpaḥ karmayoga iti sukhena tatra pravartata ityarthaḥ;	jQAtvA mad ArADana rUpaH karma yogaH iti suKena tatra pravartate iti arTaH;
   suhṛda ārādhanāya hi sarve pravartante // BhGR_5.29 //	suhRdaH ArADanAya hi sarve pravartante // BhGR_5.29 //
   ******************** ADHYAYA 6 ********************	******************** ADHYAYAH 6 ********************
   śrībhagavān uvāca	SrI BagavAn uvAca
   anāśritaḥ karmaphalaṃ kāryaṃ karma karoti yaḥ |	anASritaH karma Palam kAryam karma karoti yaH |
   sa saṃnyasī ca yogī ca na niragnir na cākriyaḥ || BhG_6.1 ||	sa saMnyasI ca yogI ca na niragniH na ca akriyaH || Bhu _6.1 ||
   uktaḥ karmayogaḥ saparikaraḥ, idānīṃ	uktaH karma yogaH sa parikaraH, idAnIm
   jñānayogakarmayogasādhyātmāvalokanarūpayogābhyāsavidhir ucyate / tatra	jQAna yoga karma yoga sADya Atma avalokana rUpa yoga aByAsa viDiH ucyate / tatra
   karmayogasya nirapekṣayogasādhanatvaṃ draḍhayituṃ jñānākāraḥ karmayogo	karma yogasya nirapekza yoga sADana tvam draXayitum jQAna AkAraH karma yogaH 
   yogaśirasko 'nūdyate / karmaphalaṃ svargādikam anāśritaḥ, kāryaṃ	yoga SiraskaH anUdyate / karma Palam svarga Adikam anASritaH, kAryam
   karmānuṣṭhānam eva kāryam,	karma anuzWAnam eva kAryam,
   sarvātmanāsmatsuhṛdbhūtaparamapuruṣārādhanarūpatayā karmaiva mama	sarva AtmanA asmad suhRd BUta parama puruza ArADana rUpa tayA karma eva mama
   prayojanam, na tatsādhyaṃ kiṃcid iti yaḥ karma karoti; sa saṃnyāsī ca	prayojanam, na tat sADyam kiMcid iti yaH karma karoti; sa saMnyAsI ca
   jñānayoganiṣṭhaś ca; yogī ca karmayoganiṣṭhaś ca;	jQAna yoga nizWaH ca; yogI ca karma yoga nizWaH ca;
   ātmāvalokanarūpayogasādhanabhūtobhayaniṣṭha ityarthaḥ / na niragnir na	Atma avalokana rUpa yoga sADana BUta uBaya nizWaH iti arTaH / na niragniH na
   cākriyaḥ na coditayajñādikarmasv apravṛttaḥ, na ca kevalajñānaniṣṭhaḥ /	ca akriyaH na codita yajQa Adi karmasu apravRttaH, na ca kevala jQAna nizWaH /
   tasya hi jñananiṣṭhaiva, karmayoganiṣṭhasya tūbhayam astītyabhiprāyaḥ //	tasya hi jQa nanizWA eva, karma yoga nizWasya tu uBayam asti iti aBiprAyaH //
   BhGR_6.1 //	BhGR_6.1 //
   uktalakṣaṇakarmayoge jñānam apy astīty āha	ukta lakzaNa karma yoge jQAnam api asti iti Aha
   yaṃ saṃnyāsa iti prāhur yogaṃ taṃ viddhi pāṇḍava |	yam saMnyAsaH iti prAhuH yogam tam vidDi pANxava |
   na hy asaṃnyastasaṅkalpo yogī bhavati kaścana || BhG_6.2 ||	na hi asaMnyasta saFkalpaH yogI Bavati kaScana || Bhu _6.2 ||
   yaṃ saṃnyāsa iti jñānayoga iti, ātmayāthātmyajñānam iti prāhuḥ, taṃ	yam saMnyAsaH iti jQAna yogaH iti, Atma yATAtmya jQAnam iti prAhuH, tam
   karmayogam eva viddhi / tad upapādayati na hy asaṃnyastasaṃkalpo yogī	karma yogam eva vidDi / tat upapAdayati na hi asaMnyasta saMkalpaH yogI
   bhavati kaścana / ātmayāthātmyānusandhānena anātmani prakṛtau	Bavati kaScana / Atma yATAtmya anusanDAnena anAtmani prakRtO
   ātmasaṅkalpaḥ saṃnyastaḥ parityakto yena sa saṃnyastasaṅkalpaḥ;	Atma saFkalpaH saMnyastaH parityaktaH yena sa saMnyasta saFkalpaH;
   anevaṃbhūtaḥ asaṃnyastasaṅkalpaḥ / na hy ukteṣu karmayogiṣv anevaṃbhūtaḥ	anevaMBUtaH asaMnyasta saFkalpaH / na hi uktezu karma yogizu anevaMBUtaH
   kaścana karmayogī bhavati; "yasya sarve samārambhāḥ kāmasaṅkalpavarjitāḥ"	kaScana karma yogI Bavati; "yasya sarve samAramBAH kAma saFkalpa varjitAH"
   iti hy uktam // BhGR_6.2 //	iti hi uktam // BhGR_6.2 //
   karmayoga evāpramādena yogaṃ sādhayatīty āha	karma yogaH eva apramAdena yogam sADayati iti Aha
   ārurukṣor muner yogaṃ karma kāraṇam ucyate |	ArurukzoH muneH yogam karma kAraNam ucyate |
   yogārūḍhasya tasyaiva śamaḥ kāraṇam ucyate || BhG_6.3 ||	yoga ArUXasya tasya eva SamaH kAraNam ucyate || Bhu _6.3 ||
   yogam ātmāvalokanaṃ prāptum icchor mumukṣoḥ karmayoga eva kāraṇam ucyate /	yogam Atma avalokanam prAptum icCoH mumukzoH karma yogaH eva kAraNam ucyate /
   tasyaiva yogārūḍhasya pratiṣṭhitayogasyaiva, śamaḥ karmanivṛttiḥ kāraṇam	tasya eva yoga ArUXasya pratizWita yogasya eva, SamaH karma nivRttiH kAraNam
   ucyate / yāvad ātmāvalokanarūpamokṣāvāpti karma kāryam ityarthaḥ //	ucyate / yAvat Atma avalokana rUpa mokza avApti karma kAryam iti arTaH //
   BhGR_6.3 //	BhGR_6.3 //
   kadā pratiṣṭhitayogo bhavatīty atrāha	kadA pratizWita yogaH Bavati iti atra Aha
   yadā hi nendriyārtheṣu na karmasv anuṣajjate |	yadA hi na indriya arTezu na karmasu anuzajjate |
   sarvasaṅkalpasaṃnyāsī yogārūḍhas tadocyate || BhG_6.4 ||	sarva saFkalpa saMnyAsI yoga ArUXaH tadA ucyate || Bhu _6.4 ||
   yadāyaṃ yogī tv ātmaikānubhavasvabhāvatayā indriyārtheṣu	yadA ayam yogI tu Atma eka anuBava svaBAva tayA indriya arTezu
   ātmavyatiriktaprākṛtaviṣayeṣu, tatsaṃbandhiṣu ca karmasu nānuṣajjate na	Atma vyatirikta prAkRta vizayezu, tad saMbanDizu ca karmasu na anuzajjate na
   saṅgam arhati, tadā hi sarvasaṅkalpasamnyāsī yogārūḍha ity ucyate / tasmād	saFgam arhati, tadA hi sarva saFkalpa samnyAsI yoga ArUXaH iti ucyate / tasmAt 
   ārurukṣor viṣayānubhavārhatayā tadananuṣaṅgābhyāsarūpaḥ karmayoga eva	ArurukzoH vizaya anuBava arha tayA tad ananuzaFga aByAsa rUpaH karma yogaH eva
   yoganiṣpattikāraṇam / ato viṣayānanuṣaṅgābhyāsarūpaṃ karmayogam eva	yoga nizpatti kAraNam / atas vizayAn anuzaFga aByAsa rUpam karma yogam eva
   ārurukṣuḥ kuryāt // BhGR_6.4 //	ArurukzuH kuryAt // BhGR_6.4 //
   tad evāha	tat eva Aha
   uddhared ātmanātmānaṃ nātmānam avasādayet |	udDaret AtmanA AtmAnam na AtmAnam avasAdayet |
   ātmaiva hy ātmano bandhur ātmaiva ripur ātmanaḥ || BhG_6.5 ||	AtmA eva hi AtmanaH banDuH AtmA eva ripuH AtmanaH || Bhu _6.5 ||
   ātmanā manasā; viṣayānanuṣaktena ātmānam uddharet / tadviparītena manasā	AtmanA manasA; vizayAn anuzaktena AtmAnam udDaret / tad viparItena manasA
   ātmānaṃ nāvasādayet / ātmaiva mana eva hy ātmano bandhuḥ; tad evātmano	AtmAnam na avasAdayet / AtmA eva manaH eva hi AtmanaH banDuH; tat eva AtmanaH 
   ripuḥ // BhGR_6.5 //	ripuH // BhGR_6.5 //
   bandhur ātmātmanas tasya yenātmaivātmanā jitaḥ |	banDuH Atma AtmanaH tasya yena AtmA eva AtmanA jitaH |
   anātmanas tu śatrutve vartetātmaiva śatruvat || BhG_6.6 ||	anAtmanaH tu Satru tve varteta AtmA eva Satru vat || Bhu _6.6 ||
   yena puruṣeṇa svenaiva svamano viṣayebhyo jitam, tanmanas tasya bandhuḥ /	yena puruzeNa svena eva sva manaH vizayeByaH jitam, tad manaH tasya banDuH /
