   Devīgītā	DevI-gItA
   bhūmaṇḍale kṣetraratnaṃ mahāmāyādhivāsitam // Dg_8.15 = DbhP_7,38.15 //	BU-maNxale kzetra-ratnam mahA-mAyA-aDivAsitam // Dk-_8.15  DBP_7,38.15 //
   nātaḥ parataraṃ sthānaṃ kvacidasti dharātale /	na-atas parataram sTAnam kvacid-asti DarA-tale /
   pratimāsaṃ bhaveddevī yatra sākṣādrajasvalā // Dg_8.16 = DbhP_7,38.16 //	pratimAsam Bavet-devI yatra sAkzAt-rajasvalAH // Dk-_8.16  DBP_7,38.16 //
   tatratyā devatāḥ sarvāḥ parvatātmakatāṃ gatāḥ /	tatratyAH devatAH sarvAH parvata-Atmaka-tAm gatAH /
   parvateṣu vasantyeva mahatyo devatā api // Dg_8.17 = DbhP_7,38.17 //	parvatezu vasanti-eva mahatyaH devatAH api // Dk-_8.17  DBP_7,38.17 //
   tatratyā pṛthivī sarvā devīrūpā smṛtā budhaiḥ /	tatratyA pRTivI sarvA devI-rUpA smRtAH buDEH /
   nātaḥ parataraṃ sthānaṃ kāmākhyāyonimaṇḍalāt // Dg_8.18 = DbhP_7,38.18 //	na-atas parataram sTAnam kAma-AKyA-yoni-maNxalAt // Dk-_8.18  DBP_7,38.18 //
   gāyatryāśca paraṃ sthānam srīmatpuṣkaramīritam /	gAyatryAH-ca param sTAnam srImat-puzkaram-Iritam /
   amareśe caṇḍikā syātprabhāse puṣkarekṣiṇī // Dg_8.19 = DbhP_7,38.19 //	amareSe caNxikA syAt-praBAse puzkarekziNI // Dk-_8.19  DBP_7,38.19 //
   naimiṣe tu mahāsthāne devī sā liṅgadhāriṇī /	nEmize tu mahA-sTAne devI sA liFga-DAriNI /
   puruhūtā puṣkarākṣe aṣāḍhai ca ratistathā // Dg_8.20 = DbhP_7,38.20 //	puruhUtA puzkarAkze azAXE ca ratiH-taTA // Dk-_8.20  DBP_7,38.20 //
   caṇḍamuṇḍīmahāsthāne daṇḍinī parameśvarī /	caNxamuNxI-mahA-sTAne daNxinI parameSvarI /
   bhārabhūtau bhavedbhūtirnākule nakuleśvarī // Dg_8.21 = DbhP_7,38.21 //	BAraBUtO Bavet-BUtiH-na-Akule nakuleSvarI // Dk-_8.21  DBP_7,38.21 //
   candrikā tu hariścandre śrīgirau śāṅkarī smṛtā /	candrikA tu hariScandre SrIgirO SAFkarI smRtA /
   japyeśvare triśūlā syātsūkṣmā cāmrātakeśvare // Dg_8.22 = DbhP_7,38.22 //	japya-ISvare triSUlA syAt-sUkzmA ca-AmrAtakeSvare // Dk-_8.22  DBP_7,38.22 //
   śāṅkarī tu mahākāle śarvāṇī madhyamābhidhe /	SAFkarI tu mahAkAle SarvANI maDyama-aBiDe /
   kedārākhye mahākṣetre devī sā mārgadāyinī // Dg_8.23 = DbhP_7,38.23 //	kedAra-AKye mahA-kzetre devI sA mArga-dAyinI // Dk-_8.23  DBP_7,38.23 //
   bhairavākhye bhairavī sā gayāyāṃ maṅgalā smṛtā /	BErava-AKye BEravI sA gayAyAm maFgalA smRtA /
   sthāṇupriyā kurukṣetre svāyambhuvyapi nākule // Dg_8.24 = DbhP_7,38.24 //	sTANu-priyA kurukzetre svAyamBuvI-api na-Akule // Dk-_8.24  DBP_7,38.24 //
   kanakhale bhavedugrā viśveśā vimaleśvare /	kanaKale Bavet-ugrAH viSveSA vimaleSvare /
   aṭṭahāse mahānandā mahendre tu mahāntakā // Dg_8.25 = DbhP_7,38.25 //	awwahAse mahAnandA mahA-indre tu mahAntakAH // Dk-_8.25  DBP_7,38.25 //
   bhīme bhīmeśvarī proktā sthāne vastrāpathe punaḥ /	BIme BImeSvarI proktA sTAne vastrApaTe punar /
   bhavānī śāṅkarī proktā rudrāṇī tvardhakoṭike // Dg_8.26 = DbhP_7,38.26 //	BavAnI SAFkarI proktA rudrANI tu-arDa-kowike // Dk-_8.26  DBP_7,38.26 //
   avimukte viśālākṣī mahābhāgā mahālaye /	avimukte viSAla-akzI mahABAgAH mahAlaye /
   gokarṇe bhadrakarṇī syādbhadrā syādbhadrakarṇake // Dg_8.27 = DbhP_7,38.27	gokarNe BadrakarNI syAt-BadrA syAt-BadrakarNake // Dk-_8.27  DBP_7,38.27
   utpalākṣī suvarṇākṣe sthāṇvīśā sthāṇusañjñike /	utpala-akzI suvarNAkze sTANu-ISA sTANu-saQjQike /
   kamalālaye tu kamalā pracaṇḍā chagalaṇḍake // Dg_8.28 = DbhP_7,38.28 //	kamala-Alaye tu kamalA pracaNxA Caga-laNxake // Dk-_8.28  DBP_7,38.28 //
   kuraṇḍale trisandhyā syānmākoṭe mukuṭeśvarī /	kuraNxale tri-sanDyA syAt-mAkowe mukuweSvarI /
   maṇḍaleśe śāṇḍakī syātkālī kālañjare punaḥ // Dg_8.29 = DbhP_7,38.29 //	maNxaleSe SANxakI syAt-kAlI kAlaQjare punar // Dk-_8.29  DBP_7,38.29 //
   śaṅkukarṇe dhvaniḥ proktā sthūlā syātsthūlakeśvare /	SaFkukarNe DvaniH proktA sTUlA syAt-sTUlakeSvare /
   jñānināṃ hṛdayāmbhoje hṛllekhā parameśvarī // Dg_8.30 = DbhP_7,38.30 //	jQAninAm hRdaya-amBoje hRlleKA parameSvarI // Dk-_8.30  DBP_7,38.30 //
   proktānīmāni sthānāni devyāḥ priyatamāni ca /	proktAni-imAni sTAnAni devyAH priyatamAni ca /
   tattatkṣetrasya māhātmyaṃ śrutvā pūrvaṃ nagottama // Dg_8.31 =	tad-tad-kzetrasya mAhAtmyam SrutvA pUrvam naga-uttamaH // Dk-_8.31 =
   DbhP_7,38.31 //	DBu-_7,38.31 //
   taduktena vidhānena paścāddevīṃ prapūjayet /	tad-uktena viDAnena paScAt-devIm prapUjayet /
   athavā sarvakṣetrāṇi kāśyāṃ santi nagottama // Dg_8.32 = DbhP_7,38.32 //	aTavA sarva-kzetrANi kASyAm santi naga-uttamaH // Dk-_8.32  DBP_7,38.32 //
   tatra nityaṃ vasennityaṃ devībhaktiparāyaṇaḥ /	tatra nityam vaset-nityam devI-Bakti-parAyaNaH /
   tāni sthānāni sampaśyañjapandevīṃ nirantaram // Dg_8.33 = DbhP_7,38.33 //	tAni sTAnAni sampaSyan-japan-devIm nirantaram // Dk-_8.33  DBP_7,38.33 //
   dhyāyaṃstaccaraṇāmbhojaṃ mukto bhavati bandhanāt /	DyAyan=-tad-caraNa-amBojam muktaH Bavati banDanAt /
   imāni devīnāmāni prātarutthāya yaḥ paṭhet // Dg_8.34 = DbhP_7,38.34 //	imAni devI-nAmAni prAtar-utTAya yaH paWet // Dk-_8.34  DBP_7,38.34 //
   bhasmībhavanti pāpāni tatkṣaṇānnaga satvaram /	BasmIBavanti pApAni tad-kzaNAt-naga sa-tvaram /
   śrāddhakāle paṭhedetānyamalāni dvijāgrataḥ // Dg_8.35 = DbhP_7,38.35 //	SrAdDa-kAle paWet-etAni-amalAni dvijAgratas // Dk-_8.35  DBP_7,38.35 //
   muktāstatpitaraḥ sarve prayānti paramāṃ gatim /	muktAH-tad-pitaraH sarve prayAnti paramAm gatim /
   adhunā kathayiṣyāmi vratāni tava suvrata // Dg_8.36 = DbhP_7,38.36 //	aDunA kaTayizyAmi vratAni tava suvrata // Dk-_8.36  DBP_7,38.36 //
   nārībhiśca naraiścaiva kartavyāni prayatnataḥ /	nArIBiH-ca narEH-ca-eva kartavyAni prayatnataH /
   vratamanantatṛtīyākhyaṃ rasakalyāṇinīvratam // Dg_8.37 = DbhP_7,38.37 //	vratam-ananta-tRtIya-AKyam rasa-kalyANinI-vratam // Dk-_8.37  DBP_7,38.37 //
   ārdrānandakaraṃ nāmnā tṛtīyāyā vratam ca yat /	Ardra-Ananda-karam nAmnA tRtIyAyAH vratam ca yat /
   śukravāravrataṃ caiva tathā kṛṣṇacaturdaśī // Dg_8.38 = DbhP_7,38.38 //	Sukra-vAra-vratam ca-eva taTA kRzNa-caturdaSI // Dk-_8.38  DBP_7,38.38 //
   bhaumavāravrataṃ caiva pradoṣavratameva ca /	BOmavAra-vratam ca-eva pradoza-vratam-eva ca /
   yatra devo mahādevo devīṃ saṃsthāpya viṣṭare // Dg_8.39 = DbhP_7,38.39 //	yatra devaH mahAdevaH devIm saMsTApya vizware // Dk-_8.39  DBP_7,38.39 //
   nṛtyaṃ karoti purataḥ sārdhaṃ devairniśāmukhe /	nRtyam karoti puratas sArDam devEH-niSA-muKe /
   tatropoṣya rajanyādau pradoṣe pūjayecchivām // Dg_8.40 = DbhP_7,38.40 //	tatra-upozya rajanI-AdO pradoze pUjayet-SivAm // Dk-_8.40  DBP_7,38.40 //
   pratipakṣaṃ viśeṣeṇa taddevīprītikārakam /	pratipakzam viSezeNa tad-devI-prIti-kArakam /
   somavāravrataṃ caiva mamātipriyakṛnnaga // Dg_8.41 = DbhP_7,38.41 //	somavAra-vratam ca-eva mama-atipriya-kRt-nagaH // Dk-_8.41  DBP_7,38.41 //
   tatrāpi devīṃ sampūjya rātrau bhojanamācaret /	tatra-api devIm sampUjya rAtrO Bojanam-Acaret /
   navarātradvayaṃ caiva vrataṃ prītikaraṃ // Dg_8.42 = DbhP_7,38.42 //	navarAtra-dvayam ca-eva vratam prIti-karam // Dk-_8.42  DBP_7,38.42 //
   evamanyānyapi vibho nityanaimittikāni ca /	evam-anyAni-api viBo nitya-nEmittikAni ca /
   vratāni kurute yo vai matprītyarthaṃ vimatsaraḥ // Dg_8.43 = DbhP_7,38.43	vratAni kurute yaH vE mad-prIti-arTam vimatsaraH // Dk-_8.43  DBP_7,38.43
   prāpnoti mama sāyujyaṃ sa me bhaktaḥ sa me priyaḥ /	prApnoti mama sAyujyam sa me BaktaH sa me priyaH /
   utsavānapi kurvīt dolotsavasukhānvibho // Dg_8.44 = DbhP_7,38.44 //	utsavAn-api kurvIt dola-utsava-suKAn-viBaH // Dk-_8.44  DBP_7,38.44 //
   śayanotsavaṃ yathā kuryāttathā jāgaraṇotsavam /	Sayana-utsavam yaTA kuryAt-taTA jAgaraNa-utsavam /
   rathotsavaṃ ca me kuryāddamanotsavameva ca // Dg_8.45 = DbhP_7,38.45 //	raTa-utsavam ca me kuryAt-damana-utsavam-eva ca // Dk-_8.45  DBP_7,38.45 //
   pavitrotsavamevāpi śrāvaṇo prītikārakam /	pavitra-utsavam-eva-api SrAvaNaH prIti-kArakam /
   mama bhaktaḥ sadā kuryādevamanyānmahotsavān // Dg_8.46 = DbhP_7,38.46 //	mama BaktaH sadA kuryAt-evam-anyAn-mahA-utsavAn // Dk-_8.46  DBP_7,38.46 //
   madbhaktānbhojayetprītyā tathā caiva suvāsinīḥ /	mad-BaktAn-Bojayet-prItyA taTA ca-eva suvAsinIH /
   kumārīrbaṭukāṃścāpi madbuddhyā tadgatāntaraḥ // Dg_8.47 = DbhP_7,38.47 //	kumArIH-bawukAn=-ca-api mad-budDyA tad-gata-antaraH // Dk-_8.47  DBP_7,38.47 //
   vittaśāṭhyena rahito yajedetānsumādibhiḥ /	vitta-SAWyena rahitaH yajet-etAn-sumAdiBiH /
   ya evaṃ kurute bhaktyā prativarṣamatandritaḥ // Dg_8.48 = DbhP_7,38.48 //	yaH evam kurute BaktyA prativarzam-atandritaH // Dk-_8.48  DBP_7,38.48 //
   sa dhanyaḥ kṛtakṛtyo 'sau matprīteḥ pātramañjasā /	sa DanyaH kRtakRtyaH asO mad-prIteH pAtram-aQjasA /
   sarvamuktaṃ samāsena mama prītipradāyakam // Dg_8.49 = DbhP_7,38.49 //	sarvam-uktam samAsena mama prIti-pradAyakam // Dk-_8.49  DBP_7,38.49 //
   nāśiṣyāya pradātavyaṃ nābaktāya kadācana // Dg_8.50 = DbhP_7,38.50 //	na-aSizyAya pradAtavyam na-AbaktAya kadAcana // Dk-_8.50  DBP_7,38.50 //
   iti devīgītāyāmaṣṭamo 'dhyāya -	iti devI-gItAyAm-azwamaH aDyAya -
   iti śrīdevībhāgavate mahāpurāṇe saptamaskandhe devīgītāyāmaṣṭatriṃśo	iti SrI-devI-BAgavate mahApurANe saptama-skanDe devI-gItAyAm-azwatriMSaH-
   'dhyāyaḥ	aDyAyaH
   navamo 'dhyāyaḥ	navamaH aDyAyaH
   saptamaḥ skandhaḥ	saptamaH skanDaH
   athaikonacatvāriṃśo 'dhyāyaḥ	aTa-ekonacatvAriMSaH aDyAyaH
   himālaya uvāca	himAlayaH uvAca
   devadevi maheśāni karuṇāsāgare 'mbike /	devadevi maheSAni karuNA-sAgare ambike /
   brūhi pūjāvidhiṃ samyagyathāvadadhunā nijam // Dg_9.1 = DbhP_7,39.1 //	brUhi pUjA-viDim samyak-yaTAvat-aDunA nijam // Dk-_9.1  DBP_7,39.1 //
   śrīdevyuvāca	SrI-devI-uvAca
   vakṣye pūjāvidhiṃ rājannambikāyā yathā priyam /	vakzye pUjA-viDim rAjan=-ambikAyAH yaTA priyam /
   atyantaśraddhayā sārdhaṃ śṛṇu parvatapuṅgava // Dg_9.2 = DbhP_7,39.2 //	atyanta-SradDayA sArDam SRNu parvata-puFgavaH // Dk-_9.2  DBP_7,39.2 //
   dvividhā mama pūjā syād vāhyā cābhyantarāpi ca /	dviviDA mama pUjA syAt vAhyA ca-aByantarA-api ca /
   bāhyāpi dvividhā proktā vaidikī tāntrikī tathā // Dg_9.3 = DbhP_7,39.3 //	bAhyA-api dviviDA proktA vEdikI tAntrikI taTA // Dk-_9.3  DBP_7,39.3 //
   vaidikyar cāpi dvividhā mūrtibhedena bhūdhara /	vEdikyar ca-api dviviDAH mUrti-Bedena BUDara /
   vaidikī vaidikaiḥ kāryā vedadīkṣāsamanvitaiḥ // Dg_9.4 = DbhP_7,39.4 //	vEdikI vEdikEH kAryA veda-dIkzA-samanvitEH // Dk-_9.4  DBP_7,39.4 //
   tantroktadīkṣāvadbhistu tāntrikī saṃśritā bhavet /	tantra-ukta-dIkzA-avadBiH-tu tAntrikI saMSritA Bavet /
   itthaṃ pūjārahasyaṃ ca na jñātvā viparītakam // Dg_9.5 = DbhP_7,39.5 //	itTam pUjA-rahasyam ca na jQAtvA viparItakam // Dk-_9.5  DBP_7,39.5 //
   karoti yo naro mūḍhaḥ sa patatyeva sarvathā /	karoti yaH naraH mUXaH sa patati-eva sarvaTA /
   tatra yā vaidikī proktā prathamā tāṃ vadāmyaham // Dg_9.6 = DbhP_7,39.6 //	tatra yA vEdikI proktA praTamA tAm vadAmi-aham // Dk-_9.6  DBP_7,39.6 //
   yanme sākṣātparaṃ rūpaṃ dṛṣṭavānasi bhūdhara /	yat-me sAkzAt-param rUpam dRzwavAn-asi BUDara /
   anantasīrṣanayanamanantacaraṇaṃ mahat // Dg_9.7 = DbhP_7,39.7 //	ananta-sIrza-nayanam-ananta-caraNam mahat // Dk-_9.7  DBP_7,39.7 //
   sarvaśaktisamāyuktaṃ prerakaṃ yatparātparam /	sarva-Sakti-samAyuktam prerakam yat-parAtparam /
   tadeva pūjayennityaṃ nameddhyāyetsmaredapi // Dg_9.8 = DbhP_7,39.8 //	tat-eva pUjayet-nityam namet-DyAyet-smaret-api // Dk-_9.8  DBP_7,39.8 //
   ityetatprathamārcāyāḥ svarūpaṃ kathitaṃ naga /	iti-etat-praTama-arcAyAH svarUpam kaTitam naga /
   śāntaḥ samāhitamanā dambhāhaṅkāravarjitaḥ // Dg_9.9 = DbhP_7,39.9 //	SAntaH samAhita-manAH damBa-ahaFkAra-varjitaH // Dk-_9.9  DBP_7,39.9 //
   tatparo bhava tadyājī tadeva śaraṇaṃ vraja /	tad-paraH Bava tad-yAjI tat-eva SaraNam vraja /
   tadeva cetasā paśya japa dhyāyasva sarvadā // Dg_9.10 = DbhP_7,39.10 //	tat-eva cetasA paSya japa DyAyasva sarvadA // Dk-_9.10  DBP_7,39.10 //
   ananyayā premayuktabhaktyā madbhāvam āśritaḥ /	ananyayA prema-yukta-BaktyA mad-BAvam ASritaH /
   yajñairyaja tapodānairmāmeva paritoṣaya // Dg_9.11 = DbhP_7,39.11 //	yajQEH-yaja tapaH-dAnEH-mAm-eva paritozaya // Dk-_9.11  DBP_7,39.11 //
   itthaṃ mamānugrahato mokṣyase bhavabandhanāt /	itTam mama-anugrahataH mokzyase Bava-banDanAt /
   matparā ye madāsaktacittā bhaktavarā matāḥ // Dg_9.12 = DbhP_7,39.12 //	mad-parAH ye mad-a-Asakta-cittAH Bakta-varAH matAH // Dk-_9.12  DBP_7,39.12 //
   pratijāne bhavādasmāduddharāmyacireṇa tu /	pratijAne BavAt-asmAt-udDarAmi-acireNa tu /
   dhyānena karmayuktena bhaktijñānena vā punaḥ // Dg_9.13 = DbhP_7,39.13 //	DyAnena karma-yuktena Bakti-jQAnena vA punar // Dk-_9.13  DBP_7,39.13 //
   prāpyāhaṃ sarvathā rājanna tu kevalakarmabhiḥ /	prApya-aham sarvaTA rAjan-na tu kevala-karmaBiH /
   dharmātsañjāyate bhaktirbhaktyā sañjāyate param // Dg_9.14 = DbhP_7,39.14	DarmAt-san-jAyate BaktiH-BaktyA san-jAyate param // Dk-_9.14  DBP_7,39.14
   śrutismṛtibhyāmuditaṃ yatsa dharmaḥ prakīrtitaḥ /	Sruti-smRtiByAm-uditam yat-sa DarmaH prakIrtitaH /
   anyaśāstreṇa yaḥ prokto dharmābhāsaḥ sa ucyate // Dg_9.15 = DbhP_7,39.15	anya-SAstreNa yaH proktaH Darma-ABAsaH saH ucyate // Dk-_9.15  DBP_7,39.15
   sarvajñātsarvaśakteśca matto vedaḥ samutthitaḥ /	sarvajQAt-sarva-SakteH-ca mattaH vedaH samutTitaH /
   ajñānasya mamābhāvādapramāṇā na ca śrutiḥ // Dg_9.16 = DbhP_7,39.16 //	ajQAnasya mama-aBAvAt-apramANA na ca SrutiH // Dk-_9.16  DBP_7,39.16 //
   smṛtayaśca śruterarthaṃ gṛhītvaiva ca nirgatāḥ /	smRtayaH-ca SruteH-arTam gRhItvA-eva ca nirgatAH /
   manvādīnāṃ śrutīnāṃ ca tataḥ prāmāṇyamiṣyate // Dg_9.17 = DbhP_7,39.17 //	manu-AdInAm SrutInAm ca tatas prAmANyam-izyate // Dk-_9.17  DBP_7,39.17 //
   kvacitkadācittantrārthakaṭākṣeṇa paroditam /	kvacid-kadAcid-tantra-arTa-kawAkzeNa para-uditam /
   dharmaṃ vadanti soṃśastu naivagrāhyo 'sti vaidikaiḥ // Dg_9.18 =	Darmam vadanti soMSaH-tu na-eva-grAhyaH asti vEdikEH // Dk-_9.18 =
   DbhP_7,39.18 //	DBu-_7,39.18 //
   anyeṣāṃ śāstrakartṛṇāmajñānaprabhavatvataḥ /	anyezAm SAstra-kartRNAm-a-jQAna-praBava-tvataH /
   ajñānadoṣaduṣṭatvāttadukterna pramāṇatā // Dg_9.19 = DbhP_7,39.19 //	ajQAna-doza-duzwa-tvAt-tad-ukteH-na pramANatA // Dk-_9.19  DBP_7,39.19 //
   tasmānmumukṣurdharmārthaṃ sarvathā vedamāśrayet /	tasmAt-mumukzuH-Darma-arTam sarvaTA vedam-ASrayet /
   rājājñā ca yathā loke hanyate na kadācana // Dg_9.20 = DbhP_7,39.20 //	rAjA-AjQA ca yaTA loke hanyate na kadAcana // Dk-_9.20  DBP_7,39.20 //
   sarveśānyā mamājñā sā śrutistyājyā kathaṃ nṛbhiḥ /	sarva-ISA-anyA mama-AjQA sA SrutiH-tyAjyA kaTam nRBiH /
   madājñārakṣaṇārthaṃ tu brahmakṣatriyajātayaḥ // Dg_9.21 = DbhP_7,39.21 //	mad-AjQA-rakzaNa-arTam tu brahma-kzatriya-jAtayaH // Dk-_9.21  DBP_7,39.21 //
   mayā sṛṣṭāstato jñeyaṃ rahasyaṃ me śrutervacaḥ /	mayA sRzwAH-tatas jQeyam rahasyam me SruteH-vacaH /
   yadā yadā hi dharmasya glānirbhavati bhūdhara // Dg_9.22 = DbhP_7,39.22 //	yadA yadA hi Darmasya glAniH-Bavati BUDara // Dk-_9.22  DBP_7,39.22 //
   abhyutthānamadharmasya tadā veṣānbibharmyaham /	aByutTAnam-aDarmasya tadA vezAn-biBarmi-aham /
   devadaityavibhāgaścāpyata evābhavannṛpa // Dg_9.23 = DbhP_7,39.23 //	deva-dEtya-viBAgaH-ca-api-atas eva-aBavat-nRpa // Dk-_9.23  DBP_7,39.23 //
   ye na kurvanti taddharmaṃ tacchikṣārthaṃ mayā sadā /	ye na kurvanti tad-Darmam tat-SikzA-arTam mayA sadA /
   sampāditāstu narakāstrāso yacchravaṇādbhavet // Dg_9.24 = DbhP_7,39.24 //	sampAditAH-tu narakAH-trAsaH yat-SravaNAt-Bavet // Dk-_9.24  DBP_7,39.24 //
   yo vedadharmam ujjhitya dharmamanyaṃ samāśrayet /	yaH veda-Darmam ujJitya Darmam-anyam samASrayet /
   rājā pravāsayeddeśānnijādetānadharmiṇaḥ // Dg_9.25 = DbhP_7,39.25 //	rAjA pravAsayet-deSAn-nija-at-etAn-aDarmiNaH // Dk-_9.25  DBP_7,39.25 //
   brāhmaṇairna ca sambhāṣyāḥ paṅktigrāhyā na ca dvijaiḥ /	brAhmaNEH-na ca samBAzyAH paFkti-grAhyA na ca dvijEH /
   anyāni yāni śāstrāṇi loke 'sminvividhāni ca // Dg_9.26 = DbhP_7,39.26 //	anyAni yAni SAstrANi loke asmin-viviDAni ca // Dk-_9.26  DBP_7,39.26 //
   śrutismṛtiviruddhāni tāmasānyeva sarvaśaḥ /	Sruti-smRti-virudDAni tAmasAni-eva sarvaSas /
   vāmaṃ kāpālakaṃ caiva kaulakaṃ bhairavāgamaḥ // Dg_9.27 = DbhP_7,39.27 //	vAmam kApAlakam ca-eva kOlakam BErava-AgamaH // Dk-_9.27  DBP_7,39.27 //
   śivena mohanārthāya praṇīto nānyahetukaḥ /	Sivena mohana-arTAya praNItaH na-anya-hetukaH /
   dakṣaśāpādbhṛgoḥ śāpāddadhīcasya ca śāpataḥ // Dg_9.28 = DbhP_7,39.28 //	dakza-SApAt-BRgoH SApAt-daDIcasya ca SApataH // Dk-_9.28  DBP_7,39.28 //
   dagdhā ye brāhmaṇavarā vedamārgabahiṣkṛtāḥ /	dagDAH ye brAhmaNa-varAH veda-mArga-bahizkRtAH /
   teṣāmuddharaṇārthāya sopānakramataḥ sadā // Dg_9.29 = DbhP_7,39.29 //	tezAm-udDaraNa-arTAya sa-upAna-kramataH sadA // Dk-_9.29  DBP_7,39.29 //
   śaivāśca vaiṣṇavāśścaiva saurāḥ śāktāstathaiva ca /	SEvAH-ca vEzNavASSca-eva sOrAH SAktAH-taTA-eva ca /
   gāṇapatyā āgamāśca praṇītāḥ śaṅkareṇa tu // Dg_9.30 = DbhP_7,39.30 //	gANapatyAH AgamAH-ca praNItAH SaFkareNa tu // Dk-_9.30  DBP_7,39.30 //
   tatra vedāviruddhāṃśo 'pyukta eva kvacitkvacit /	tatra veda-avirudDa-aMSaH api-uktaH eva kvacid-kvacid /
   vaidikaistadgrahe deṣo na bhavatyeva karhicit // Dg_9.31 = DbhP_7,39.31 //	vEdikEH-tad-grahe dezaH na Bavati-eva karhicit // Dk-_9.31  DBP_7,39.31 //
   sarvathā vedabhinnārthe nādhikārī dvijo bhavet /	sarvaTA veda-Binna-arTe na-aDikArI dvijaH Bavet /
   vedādhikārahīnastu bhavettatrādhikāravān // Dg_9.32 = DbhP_7,39.32 //	veda-aDikAra-hInaH-tu Bavet-tatra-aDikAravAn // Dk-_9.32  DBP_7,39.32 //
   tasmātsarvaprayatnena vaidiko vedamāśrayet /	tasmAt-sarva-prayatnena vEdikaH vedam-ASrayet /
   dharmeṇa sahitaṃ jñānaṃ paraṃ brahma prakāśayet // Dg_9.33 = DbhP_7,39.33	DarmeNa sahitam jQAnam param brahma prakASayet // Dk-_9.33  DBP_7,39.33
   sarvaiṣaṇāḥ parityajya māmeva śaraṇaṃ gatāḥ /	sarva-ezaNAH parityajya mAm-eva SaraNam gatAH /
   sarvabhūtadayāvanto mānāhaṅkāravarjitāḥ // Dg_9.34 = DbhP_7,39.34 //	sarva-BUta-dayAvantaH mAna-ahaFkAra-varjitAH // Dk-_9.34  DBP_7,39.34 //
   maccittā madgataprāṇā matsthānakathane ratāḥ /	mad-cittAH mad-gata-prANAH mad-sTAna-kaTane ratAH /
   saṃnyāsino vanasthāśca gṛhasthā brahmacāriṇaḥ // Dg_9.35 = DbhP_7,39.35 //	saMnyAsinaH vana-sTAH-ca gRhasTAH brahmacAriNaH // Dk-_9.35  DBP_7,39.35 //
   upāsante sadā bhaktyā yogamaiśvarasañjñitam /	upAsante sadA BaktyA yogam-ESvara-saQjQitam /
   teṣāṃ nityāviyuktānāmahamajñānajaṃ tamaḥ // Dg_9.36 = DbhP_7,39.36 //	tezAm nitya-aviyuktAnAm-aham-ajQAna-jam tamaH // Dk-_9.36  DBP_7,39.36 //
   jñānasūryaprakāśena nāśayāmi na saṃśayaḥ /	jQAna-sUrya-prakASena nASayAmi na saMSayaH /
   itthaṃ vaidikapūjāyāḥ prathamāyā nagādhipa // Dg_9.37 = DbhP_7,39.37 //	itTam vEdika-pUjAyAH praTamAyAH naga-aDipa // Dk-_9.37  DBP_7,39.37 //
   svarūpamuktaṃ samkṣepād dvitīyāyā atho bruve /	svarUpam-uktam samkzepAt dvitIyAyAH aTo bruve /
   mūrtau vā sthaṇḍile vāpi tathā sūryendumaṇḍale // Dg_9.38 = DbhP_7,39.38	mUrtO vA sTaNxile vA-api taTA sUrya-indu-maNxale // Dk-_9.38  DBP_7,39.38
   jale 'thavā bāṇaliṅge yantre vāpi mahāpaṭe /	jale aTavA bANa-liFge yantre vA-api mahApawe /
   tathā śrīhṛdayāmbhoje dhyātvā devīṃ parātparām // Dg_9.39 = DbhP_7,39.39	taTA SrI-hRdaya-amBoje DyAtvA devIm parAtparAm // Dk-_9.39  DBP_7,39.39
   saguṇāṃ karuṇāpūrṇāṃ taruṇīmaruṇāruṇām /	sa-guNAm karuNA-pUrNAm taruNIm-aruNa-aruNAm /
   saundaryasārasīmāntāṃ sarvāvayavasundarām // Dg_9.40 = DbhP_7,39.40 //	sOndarya-sAra-sImAntAm sarva-avayava-sundarAm // Dk-_9.40  DBP_7,39.40 //
   śṛṅgārarasasampūrṇāṃ sadā bhaktārtikātarām /	SRFgAra-rasa-sampUrNAm sadA Bakta-Arti-kAtarAm /
   prasādasumukhīmambāṃ candrakhaṇḍaśikhaṇḍinīm // Dg_9.41 = DbhP_7,39.41 //	prasAda-su-muKIm-ambAm candra-KaNxa-SiKaNxinIm // Dk-_9.41  DBP_7,39.41 //
   pāśāṅkuśavarābhītidharāmānandarūpiṇīm /	pASa-aFkuSa-vara-aBIti-DarAmAnanda-rUpiNIm /
   pūjayedupacāraiśca yathāvittānusārataḥ // Dg_9.42 = DbhP_7,39.42 //	pUjayet-upacArEH-ca yaTA-vitta-anusArataH // Dk-_9.42  DBP_7,39.42 //
   yāvadāntarapūjāyāmadhikāro bhavenna hi /	yAvat-Antara-pUjAyAm-aDikAraH Bavet-na hi /
   tāvadbāhyāmimāṃ pūjāṃ śrayejjāte tu tāṃ tyajet // Dg_9.43 = DbhP_7,39.43	tAvat-bAhyAm-imAm pUjAm Srayet-jAte tu tAm tyajet // Dk-_9.43  DBP_7,39.43
   ābhyantarā tu yā pūjā sā tu saṃvillayaḥ smṛtaḥ /	AByantarA tu yA pUjA sA tu saMvid-layaH smRtaH /
   saṃvideva paraṃ rūpamupādhirahitaṃ mama // Dg_9.44 = DbhP_7,39.44 //	saMvid-eva param rUpam-upADi-rahitam mama // Dk-_9.44  DBP_7,39.44 //
   ataḥ saṃvidi madrūpe cetaḥ sthāpyaṃ nirāśrayam /	atas saMvidi mad-rUpe cetaH sTApyam nirASrayam /
