   ṣaṣṭhaḥ paricchedaḥ	zazWaH paricCedaH
        atra gītapraśaṃsārūpaprayoge sati rājñaḥ praveśarūpamanyatkāryyaṃ	atra gIta praSaMsA rUpa prayoge sati rAjQaH praveSa rUpam anyat kAryyam
   sādhitam /	sADitam /
        pravarttake kālāśrayaṇamato bhedakaṃ bodhyam /	pravarttake kAla ASrayaNam atas Bedakam boDyam /
        itthaṃ prastāvanārūpesya udghātakādipañcabhedamuktvā tatraiva prayoge	itTam prastAvanA rUpesya udGAtaka Adi paQca Bedam uktvA tatra eva prayoge
   yathālābhaṃ vīthyaṅgānyapi prayojanīyānītyāha   yojyānyatreti /	yaTAlABam vITi aFgAni api prayojanIyAni iti Aha   yojyAni atra iti /
        vīthyākhyoparūpātmakanāṭakaprabhedasya vakṣyamāṇasyāṅgam /	vITyAKya uparUpa Atmaka nAwaka praBedasya vakzyamANasya aFgam /
        udghātyakāvalagitādīni tayordaśāṅgāni vakṣyante /	udGAtya ka avala gita AdIni tayoH daSa aFgAni vakzyante /
        āmukhaprabhedatayāpi udghātyakāvalagite ukte /	AmuKa praBeda tayA api udGAtyaka avala gite ukte /
        atastad bhinnaikadeśe tadaṅgānyapyatra	atas tat Binna eka deSe tad aFgAni api atra
   yojanīyānītyāha   udghātyakāvalagitayoritarāṇīti /	yojanIyAni iti Aha   udGAtyaka avala gitayoH itarANi iti /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   nakhakuṭṭastu   	naKa kuwwaH tu   
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ḍa) pañcaprabhedā āmukhasyāmī	(vi, xa) paQca praBedAH AmuKasya amI
   praviṣṭapātrasūcitapātrāntarapraveśaghaṭitā uktaḥ /	pravizwa pAtra sUcita pAtra antara praveSa GawitA uktaH /
        apraviṣṭasūcitapātraghaṭito 'pi nakhakuṭṭākhyaḥ ṣaṣṭhaprabheda	apravizwa sUcita pAtra GawitaH api naKakuwwa AKyaH zazWa praBeda
   ityāha  nakhakuṭṭastu iti /	iti Aha  naKa kuwwaH tu iti /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   nepathyoktaṃ śrutaṃ yatra tvākāśavacanaṃ tathā // VisSd_6.39 //	nepaTya uktam Srutam yatra tu AkASa vacanam taTA // VisSd _6.39 //
   samāśrityāpi kartavyamāmukhaṃ nāṭakādiṣu /	samASritya api kartavyam AmuKam nAwaka Adizu /
   eṣāmāmukhabhedānāmekaṃ kañcitprayojayet // VisSd_6.40 //	ezAm AmuKa BedAnAm ekam kaQcid prayojayet // VisSd _6.40 //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ḍha) tallakṣaṇamāha  nepathyeti /	(vi, Xa) tad lakzaNa mAha  nepaTyA iti /
        nepathye veśaracanāsthale uktaṃ pātraṃ ākāśe vacanaṃ yasya tādṛśaṃ vā	nepaTye veSa racanA sTale uktam pAtram AkASe vacanam yasya tAdRSam vA
   pātramāśritya āmukhaṃ karttavyamityarthaḥ /	pAtram ASritya AmuKam karttavyam iti arTaH /
        itthamāmukhasya ṣaḍ bhedāḥ /	itTam AmuKasya zaw BedAH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   tenārthamatha pātraṃ vā samākṣipyavai sūtradhṛka /	tena arTam aTa pAtram vA samAkzipyavE sUtraDRkaH /
   prastāvanānte nirgacchettato vastu prayojayet // VisSd_6.41 //	prastAvana ante nirgacCet tatas vastu prayojayet // VisSd _6.41 //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ṇa) tenārthamiti /	(vi, Na) tena arTam iti /
        sūtradhṛk pātraṃ tadbhinnamarthaṃ vā samākṣipyaiva sūcayitvaiva	sUtra DRk pAtram tat Binnam arTam vA samAkzipya eva sUcayitvA eva
   tādṛśaprastāvanānte nirgacchedityarthaḥ /	tAdRSa prastAvana ante nirgacCet iti arTaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   vastvitivṛttam /	vastu itivRttam /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Locanā:	LocanA:
        (lo, u) śrutaṃ kasyāpi sammukhīnasya mukhāditivṛttaṃ	(lo, u) Srutam kasya api sammuKInasya muKa At iti vRttam
   prakṛtagranthābhidheyam /	prakRta granTa aBiDeyam /
        asva ca prapañcanamarthāt patradvāreṇaiva /	asva ca prapaQcanam arTAt patra dvAreNa eva /
        yadyapi nāsūcitasya pātrasya raṅgabhūmiṣu praveśa iti vacanāt	yadi api na asUcitasya pAtrasya raFga BUmizu praveSaH iti vacanAt 
   sarveṣāmapi pātrāṇāṃ sūcitānāmeva raṅge praveśastathāpi prastāvanānantaraṃ	sarvezAm api pAtrANAm sUcitAnAm eva raFge praveSaH taTA api prastAvana anantaram
   praveśyapātrāṇāmuktaprakāreṇa vicchittibhiḥ sūcanamiti śeṣaḥ /	praveSya pAtrANAm ukta prakAreNa vicCittiBiH sUcanam iti SezaH /
        kvacittu sambhramādiyuktānāṃ pātrāṇāṃ praveśena sūcanaṃ na paṭīkṣepo	kvacid tu samBrama Adi yuktAnAm pAtrANAm praveSena sUcanam na pawI kzepaH 
   'piḥ yathā candrakalāyāṃ praviśyāpaṭīkṣepeṇa saṃbhrāntaḥ śabara ityādi /	apiH yaTA candra kalAyAm praviSya ApawI kzepeNa saMBrAntaH SabaraH ityAdi /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   idaṃ punarvastu budhaurdvividhaṃ parikalpyate /	idam punar vastu buDOH dviviDam parikalpyate /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Locanā:	LocanA:
        (lo, ū) budhairgranthakāraiḥ /	(lo, U) buDEH granTa kArEH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   ādhikārikamekaṃ syātprāsaṅgikamathāparam // VisSd_6.42 //	ADikArikam ekam syAt prAsaFgikam aTa aparam // VisSd _6.42 //
   adhikāraḥ phale svāmyamadhikārī ca tatprabhuḥ /	aDikAraH Pale svAmyam aDikArI ca tat praBuH /
   tasyetivṛttaṃ kavibhirādhikārikamucyate // VisSd_6.43 //	tasya iti vRttam kaviBiH ADikArikam ucyate // VisSd _6.43 //
   phale pradhānaphale /	Pale praDAna Pale /
   yathā bālarāmāyaṇo rāmacaritam /	yaTA bAla rAmAyaNaH rAma caritam /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ta) bālarāmāyaṇe rāmacaritamiti /	(vi, ta) bAla rAmAyaNe rAma caritam iti /
        rāmo 'haṃ rāvaṇādivadhaphale svāmī, tasya caritamādhikārikamityarthaḥ	rAmaH aham rAvaNa Adi vaDa Pale svAmI, tasya caritam ADikArikam iti arTaH
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   asyopakaraṇārthaṃ tu prāsaṅgikamitīṣyate /	asya upakaraNa arTam tu prAsaFgikam iti izyate /
   asyādhikāriketivṛttasya upakaraṇanimittaṃ yaccaritaṃ tatprāsaṅgikam /	asya aDikArika iti vRttasya upakaraNa nimittam yat caritam tat prAsaFgikam /
   yathā sugrīvādicaritam /	yaTA sugrIva Adi caritam /
   patākāsthānakaṃ yojyaṃ suvicāryeha vastuni // VisSd_6.44 //	patAkA sTAnakam yojyam su vicArya iha vastuni // VisSd _6.44 //
   iha nāṭye /	iha nAwye /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, tha) upakaraṇanimittamiti /	(vi, Ta) upakaraNa nimittam iti /
        upakaraṇamupakāraḥ sāhāyyamityarthaḥ /	upakaraNam upakAraH sAhAyyam iti arTaH /
        nāṭakasyāntaraṅgamāha   patākāsthānakamiti /	nAwakasya antaraFga mAha   patAkA sTAnakam iti /
        iha nāṭye iti /	iha nAwye iti /
        āmukhe iti   vṛttasādhāraṇe nāṭye ityarthaḥ /	AmuKe iti   vRtta sADAraNe nAwye iti arTaH /
        tenāsya āmukhe itivṛtte ca sambhava ityagre vyaktībhaviṣyati /	tena asya AmuKe iti vRtte ca samBavaH iti agre vyaktIBavizyati /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   yatrārthe cintite 'nyasmiṃstalliṅgo 'nyaḥ prayujyate /	yatra arTe cintite anyasmin= tad liFgaH anyaH prayujyate /
   āgantukena bhāvena patākāsthānakaṃ tu tat // VisSd_6.45 //	Agantukena BAvena patAkA sTAnakam tu tat // VisSd _6.45 //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, da) takṣmiṅga iti /	(vi, da) takzmiFgaH iti /
        cintitārthasamānacihna ityarthaḥ /	cintita arTa samAna cihnaH iti arTaH /
        Locanā:	LocanA:
        (lo, ṛ) āgantukena prakṛtāditareṇa /	(lo, R) Agantukena prakRta AditareNa /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   tadredānāha  sahasaivārthasaṃpattirguṇāvatyupacārataḥ /	tad redAnAha   sahasA eva arTa saMpattiH guNAvatyupacArataH /
   patākāsthānakamidaṃ prathamaṃ parikīrtitam // VisSd_6.46 //	patAkA sTAnakam idam praTamam parikIrtitam // VisSd _6.46 //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, dha) sahasaiveti /	(vi, Da) sahasA eva iti /
        upacārataḥ kriyāto guṇavatī /	upacArataH kriyAtaH guNavatI /
        arthasaṃpattiruddeśya saṃpattiḥ /	arTa saMpattiH uddeSya saMpattiH /
        sahasaivetyarthaḥ /	sahasA eva iti arTaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   yathā ratnāvalyām  "vāsavadatteyam" iti rājā yadā tatkaṇṭhapāśaṃ mocayati	yaTA ratnAvalyAm   "vAsavadattA iyam" iti rAjA yadA tad kaNWa pASam mocayati
   tadā taduktyā "sāgarikeyam" iti pratyabhijñāya "kathaṃ ? priyā me sāgarikā	tadA tad uktyA "sAgarikA iyam" iti pratyaBijQAya "kaTam ? priyA me sAgarikA
   ? alamalamatimātraṃ sāhasenāmunā te tvaritamayi ! vimuñca tvaṃ	? alamalam atimAtram sAhasena amunA te tvarita mayi ! vimuQca tvam
   latāpāśametam /	latA pASam etam /
   calitamapi niroddhuṃ jīvitaṃ jīviteśe ! kṣaṇamiha mama kaṇṭhe bāhupāśaṃ	calitam api nirodDum jIvitam jIvita ISe ! kzaNam iha mama kaNWe bAhu pASam
   nidhehi" //	niDehi" //
   atra phalarūpārthasaṃpattiḥ pūrvāpekṣayopacārātiśayādguṇavatyutkṛṣṭa /	atra Pala rUpa arTa saMpattiH pUrva apekzayA upacAra atiSayAt guNavatI utkRzwaH /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, na) vāsavadatteyamiti /	(vi, na) vAsavadattA iyam iti /
        vāsavadattā rājapatnī /	vAsavadattA rAja patnI /
        tadveśena sāgarikā āyāsyatīti kṛtasaṅkete rājñi sthite tajjñātvā	tad veSena sAgarikA AyAsyati iti kRta saFkete rAjQi sTite tad jQAtvA
   vāsavadattaiva sāgarikāyā āgamanāt pūrvamāgatya saṅketabhgaṃ kṛtvā rājanāṃ	vAsavadattA eva sAgarikAyAH AgamanAt pUrvam Agatya saFketaBgam kRtvA rAjanAm
   hrepayitvāṃ gatā /	hrepayitvAm gatAH /
        rājā ca tāmanunetuṃ paścād calitaḥ /	rAjA ca tAm anunetum paScAt calitaH /
        tatastadveśā sāgarikā āgatya rājānamanāsādya nirvadāllatāpāśenātmānaṃ	tatas tad veSA sAgarikAH Agatya rAjAnam anAsAdya nirvadAt latA pASena AtmAnam
   baddhvā marttumudyatā /	badDvA marttum udyatA /
        rājā ca vāsavadattāmanunetuṃ calitaḥ /	rAjA ca vAsavadattAm anunetum calitaH /
        pathi tāṃ dṛṣṭvā vāsavadattaivāyaṃ mriyata iti jñātvā pāśaṃ mocayan	paTi tAm dRzwvA vAsavadattA eva ayam mriyate iti jQAtvA pASam mocayan
   sāgarikāyā uktyā sāgarikeyamiti jñātvā	sAgarikAyAH uktyA sAgarikA iyam iti jQAtvA
   guṇavatīmuddeśyaphalasampattimāptavān /	guNavatIm uddeSya Pala sampattim AptavAn /
        atra vāsavadattāmaraṇarūpe 'nyasminnarthe cintite āgantukena	atra vAsavadattA maraNa rUpe anyasmin= arTe cintite Agantukena
   latāpāśena vāsavadattāmaraṇacihnadyaṅkitamriyamāṇasāgarikārūpārthaprayoga	latA pASena vAsavadattA maraNa cihna di aFkita mriyamANa sAgarikA rUpa arTa prayoga
   iti patākasthānasāmānyalakṣaṇaṃ bodhyam /	iti patAka sTAna sAmAnya lakzaNam boDyam /
        Locanā:	LocanA:
        (lo, ṝ) pūrvāpekṣayā pūrvasya vāsavadattājñānasyāpekṣayā /	(lo, L) pUrva apekzayA pUrvasya vAsavadattA ajQAnasya apekzayA /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   vacaḥ sātiśayaṃ śliṣṭaṃ nānābandhasamāśrayam /	vacaH sa atiSayam Slizwam nAnA banDa samASrayam /
   patākāsthānakamidaṃ dvitīyaṃ parikīrttitam // VisSd_6.47 //	patAkA sTAnakam idam dvitIyam parikIrttitam // VisSd _6.47 //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, pa) dvitīyapatākasthānamāha   vacaḥ sātiśayamiti /	(vi, pa) dvitIya patAka sTAnam Aha   vacaH sa atiSayam iti /
        nānābandho bījaprakāśananāyakamaṅgalasūcanādirūpaḥ /	nAnA banDaH bIja prakASana nAyakamaFgala sUcana Adi rUpaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   yathā veṇyām   	yaTA veNI Am   
   "raktaprasādhitabhuvaḥ kṣatavigrahāśca svasthā bhavantu kururājasutāḥ	"rakta prasADita BuvaH kzata vigrahAH ca svasTAH Bavantu kuru rAja sutAH
   sabhṛtyāḥ" /	sa BRtyAH" /
   atra raktādīnāṃ rudhiraśarīrārthahetukaśleṣavaśena	atra rakta AdInAm ruDira SarIra arTa hetuka Sleza vaSena
   bījārthapratipādanānnetṛmaṅgalapratipattau satyāṃ dvitāyaṃ patākāsthānam /	bIja arTa pratipAdanAt netR maFgala pratipattO satyAm dvitA ayam patAkA sTAnam /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, pha) raktaprasādhiteti /	(vi, Pa) rakta prasADitA iti /
        rakteṇa rudhireṇa bhaṇḍitabhūmayaḥ /	rakteNa ruDireNa BaNxita BUmayaH /
        kṣataśarīrāḥ svargasthā bhavantviti śleṣalabhyor'thaḥ /	kzata SarIrAH svarga sTAH Bavantu iti Sleza laByor aTaH /
        tadāha   atra raktādīnāmiti /	tat A aha   atra rakta AdInAm iti /
        atrānuraktādyarthe cintite śabdarūpatalliṅgo 'nyo rudhirādyartha	atra anurakta Adi arTe cintite Sabda rUpa tad liFgaH anyaH ruDira Adi arTa
   āgantukena śabdena prayogāt patākasthānasāmānyalakṣaṇasattvam /	Agantukena Sabdena prayogAt patAka sTAna sAmAnya lakzaNa sattvam /
        idaṃ patākāsthānamāmukhāntargataṃ vakṣyamāṇaṃ ca vṛttāntargataṃ	idam patAkA sTAnam AmuKa antargatam vakzyamANam ca vRtta antargatam
   bodhyam /	boDyam /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   arthopakṣepakaṃ yattu līnaṃ savinayaṃ bhavet /	arTa upakzepakam yat tu lInam sa vinayam Bavet /
   śliṣṭapratyuttaropetaṃ tṛtīyamidamucyate // VisSd_6.48 //	Slizwa pratyuttara upetam tRtIyam idam ucyate // VisSd _6.48 //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ba) tṛtīyamāha   arthopakṣepakamiti /	(vi, ba) tRtIyam Aha   arTa upakzepakam iti /
        arthopakṣepakaṃ prastutavastusūcakaṃ yattu vaca ityarthaḥ /	arTa upakzepakam prastuta vastu sUcakam yat tu vacaH iti arTaH /
        śliṣṭeti vyācaṣṭe /	Slizwa iti vyAcazwe /
        sambandhayogyena iti uktavākyānvayaḥ savinayamityatra vinayo viśeṣaṇa	sambanDa yogyena iti ukta vAkya anvayaH sa vinayam iti atra vinayaH viSezaNa
   nayaḥ niścayaḥ tad vyācaṣṭe  viśeṣeti /	nayaH niScayaH tat vyAcazwe  viSeza iti /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   līnamavyaktārtham, śliṣṭena sambandhayogyenābhiprāyāntaraprayuktena	lInam avyakta arTam, Slizwena sambanDa yogyena aBiprAya antara prayuktena
   pratyuttareṇotapetam, savinayaṃ viśeṣaniścayaprāptyā sahitaṃ saṃpādyate	pratyuttareNa utapetam, sa vinayam viSeza niScaya prAptyA sahitam saMpAdyate
   yattattṛtīyaṃ patākāsthānam /	yat tat tRtIyam patAkA sTAnam /
   yathā veṇyāṃ dvitīye 'ṅke "kañcukī deva ! bhagnaṃ bhagnam /	yaTA veNyAm dvitIye aFke "kaQcukI  deva ! Bagnam Bagnam /
   rājā  kena ? kañcukī  bhīmena /	rAjA a  kena ? kaQcukI  BImena /
   rājā  kasya ? kañcukī  bhavataḥ /	rAjA a  kasya ? kaQcukI   BavataH /
   rājā  āḥ ! kiṃ pralapasi ? kañcukī  (sabhayam) deva ! nanu bravīmi /	rAjA  AH ! kim pralapasi ? kaQcukI  (sa Bayam) deva ! nanu bravImi /
   bhagnaṃ bhīmena bhavataḥ /	Bagnam BImena BavataH /
   rājā dhig vṛddhāpasada ! ko 'yamadya te vyāmohaḥ ? kañcukī deva ! na	rAjA a Dik vRdDa apasadaH ! kaH ayam adya te vyAmohaH ? kaQcukI  deva ! na
   vyāmohaḥ /	vyAmohaH /
   satyameva  	satyam eva  
   "bhagnaṃ bhīmena bhavato marutā rathaketanam /	"Bagnam BImena BavataH marutAH raTa ketanam /
   patitiṃ kiṅgiṇīkvāṇabaddhākrandamiva kṣitau" //	patitim kiFgiNI kvANa badDa Akrandam iva kzitO" //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, bha) bagnamiti    bhagnaṃ bhīmeva marutā bhavato rathaketanam /	(vi, Ba) bagnam iti   Bagnam BImA iva marutA BavataH raTa ketanam /
        patitaṃ kiṅkiṇījālaṃ baddhākrandamiva kṣitau /	patitam kiFkiNI jAlam badDa Akrandam iva kzitO /
        iti kañcukinā vaktavye sambhramāt khaṇḍaśa uktam /	iti kaQcukinA vaktavye samBramAt KaNxaSas uktam /
        duryodhanorubhaṅgarūpārthopakṣepakaṃ bhīmenetyatra bhīmasenarūpeṇa	duryoDana uru BaFga rUpa arTa upakzepakam BImena iti atra BImasena rUpeNa
   svānuṣṭhānayogyena ketanabhaṅgatiriktabhiprāyayuktena duryodhanasya	sva anuzWAna yogyena ketana BaFga tirikta BiprAya yuktena duryoDanasya
   pratyuttareṇepetam /	pratyuttareNa Ipetam /
        atra līnādikaṃ spaṣṭārthamavadheyam /	atra lIna Adikam spazwa arTam avaDeyam /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   atra duryodhanorubhaṅgarūpaprastutasaṃkrāntamarthopakṣepaṇam /	atra duryoDana uru BaFga rUpa prastuta saMkrAntam arTa upakzepaNam /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ma) arthopakṣepakatvaṃ vyācaṣṭe   atreti /	(vi, ma) arTa upakzepaka tvam vyAcazwe   atra iti /
        atra ketubhaṅgarūpe 'nyasmin cintite ūrubhaṅgarūpārthaprayoga	atra ketu BaFga rUpe anyasmin cintite Uru BaFga rUpa arTa prayoga
   āgantukena śliṣṭaśabdenetyataḥ patākāsthānasāmānyalakṣaṇasattvam /	Agantukena Slizwa Sabdena iti atas patAkA sTAna sAmAnya lakzaNa sattvam /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   dvyartho vacanavinyāsaḥ suśliṣṭaḥ kāvyayojitaḥ /	dvi arTaH vacana vinyAsaH su SlizwaH kAvya yojitaH /
   pradhānārthāntarākṣepi patākāsthānakaṃ param // VisSd_6.49 //	praDAna arTa antara akzepi patAkA sTAnakam param // VisSd _6.49 //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ya) caturthamāha   vdyartho vacaneti /	(vi, ya) caturTam Aha   vdyarTaH vacana iti /
        suśliṣṭaḥ arthadvaye śobhanaśliṣṭaḥ /	su SlizwaH arTa dvaye SoBana SlizwaH /
        kāvyaṃ ślokastatra yojatiḥ /	kAvyam SlokaH tatra yojatiH /
        pradhānārthāntarasya mukhyatayā pratipādyārthāntarasya sūcaka	praDAna arTa antarasya muKya tayA pratipAdya arTa antarasya sUcaka
   ityarthaḥ /	iti arTaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   yathā ratnāvalyām   	yaTA ratna AvalyAm   
   "uddāmotkalikāṃ vipāṇḍurarucaṃ prārabdhajṛmbhāṃ kṣaṇā  dāyāsaṃ	"uddAma utkalikAm vipANxura rucam prArabDa jRmBAm kzaNA dAyAsam
