   Siddhārthacaritraṃ Kāvyam	SidDArTa-caritram KAvyam
   varaścakāśe haricandanārdro bālātapātāmra ivodayādriḥ /	varaH-cakASe haricandana-ArdraH bAla-AtapA-tAmraH iva-udaya-adriH /
   dhātucchaṭāvicchuritaḥ karīva sandhyāmahaḥsāndra ivāmṛtāṃśuḥ // 4.33 //	DAtucCawA-vicCuritaH karI-iva sanDyAm-ahar-sAndraH iva-amRtAMSuH // 4.33 //
   ādarśabimbe pratimāśarīramāmuktaratnābharaṇasya yūnaḥ /	AdarSa-bimbe pratimA-SarIram-Amukta-ratna-ABaraNasya yUnaH /
   vaikartanaṃ maṇḍalamāsthitasya puṃsaḥ purāṇasya pupoṣa lakṣmīm // 4.34 //	vEkartanam maNxalam-AsTitasya puMsaH purANasya pupoza lakzmIm // 4.34 //
   alaṃkriyājāyata dehakāntirnaisargikī tasya narendrasūnoḥ /	alaMkriyA-ajAyata deha-kAntiH-nEsargikI tasya narendra-sUnoH /
   eīśvaryacihnāni paraṃ babhūvuranyāni māṇikyavibhūṣaṇāni // 4.35 //	eISvarya-cihnAni param baBUvuH-anyAni mANikya-viBUzaNAni // 4.35 //
   ukṣiptamuktātapavāraṇaśrīruddhūtabālavyajanopacāraḥ /	ukzipta-mukta-Atapa-vAraNa-SrIH-udDUta-bAla-vyajana-upacAraH /
   āruhya vaivāhikamaupavāhyaṃ jagāma sanbandhigṛhaṃ kumāraḥ // 4.36 //	Aruhya vEvAhikam-OpavAhyam jagAma san-banDi-gRham kumAraH // 4.36 //
   tamāgataṃ śākyakulapradīpaṃ kṣoṇīpatiḥ koliyacakravarttī /	tam-Agatam SAkya-kula-pradIpam kzoNIpatiH koliya-cakravarttI /
   svayaṃ padābhyāmabhigamya dūraṃ vaivāhikaṃ maṇḍapamānināya // 4.37 //	svayam padAByAm-aBigamya dUram vEvAhikam maNxapam-AninAya // 4.37 //
   dadarśa dhīraḥ kṣitipālaputrīṃ tatra sthitāṃ tārakarājavaktrām /	dadarSa DIraH kzitipAla-putrIm tatra sTitAm tAraka-rAja-vaktrAm /
   līlāravindena karasthitena payodhikanyāmiva bhāsamānām // 4.38 //	lIlA-aravindena kara-sTitena payoDi-kanyAm-iva BAsamAnAm // 4.38 //
   sotkaṇṭhamālokayataḥ kumārīṃ sudhāṃśuśobhāparibhāvukāṅgīm /	sa-utkaNWam-AlokayataH kumArIm suDAMSu-SoBA-pariBAvuka-aFgIm /
   atītya velāmadhirājasūnorānandasindhuḥ prasasāra dūram // 4.39 //	atItya velAm-aDirAja-sUnoH-Ananda-sinDuH prasasAra dUram // 4.39 //
   yat kāryate tatra pativratābhiḥ kṛtvā tadetat sakalaṃ kumāraḥ /	yat kAryate tatra pativratABiH kRtvA tat-etat sakalam kumAraH /
   tayā samaṃ tāmarasāyatākṣyā jatāma vaitānikavedimadhyam // 4.40 //	tayA samam tAmarasa-Ayata-akzyA jatAma vEtAnika-vedi-maDyam // 4.40 //
   udarciṣastasya hutāśanasya havirbhiruccairjvalataḥ purastāt /	udarcizaH-tasya hutASanasya havirBiH-uccEs-jvalataH purastAt /
   kriyākalāpe kṛtadhīḥ purodhāḥ saṃyojayāmāsa vadhūkumārau // 4.41 //	kriyA-kalApe kRta-DIH puroDAH saMyojayAmAsa vaDU-kumArO // 4.41 //
   āsīt kumāraḥ pulakaprarohairudañcitaiḥ kañcukitāṅgayaṣṭiḥ /	AsIt kumAraH pulaka-prarohEH-udaQcitEH kaQcukita-aFga-yazwiH /
   vaikakṣamālyacyutakesarāstadguptyai babhūvurguṇaratnarāśeḥ // 4.42 //	vEkakza-mAlya-cyuta-kesarAH-tad-guptyE baBUvuH-guNa-ratna-rASeH // 4.42 //
   āvirbhavadbhiḥ śramavārileśairārdrāṅguliḥ koliyakanyakāsīt /	AvirBavadBiH Srama-vAri-leSEH-Ardra-aFguliH koliya-kanyakA-AsIt /
   vivāhadhārājalaśīkarāstadvyājībabhūvurvipulekṣaṇāyāḥ // 4.43 //	vivAha-DArA-jala-SIkarAH-tad-vyAjI-baBUvuH-vipula-IkzaNAyAH // 4.43 //
   ālokalobhādabhivartamānā nivartamānāstrapayā ca śaśvat /	Aloka-loBAt-aBivartamAnAH nivartamAnAH-trapayA ca SaSvat /
   tayorapāṅgaprasarāstadānīṃ ḍolāvihāraśriyamanvabhūvan // 4.44 //	tayoH-apAFga-prasarAH-tadAnIm xolA-vihAra-Sriyam-anvaBUvan // 4.44 //
   abhyastayā saṃvaraṇāmbuśerāvartacakrabhramalīlayeva /	aByastayA saMvaraNa-ambuSerAvarta-cakra-Brama-lIlayA-iva /
   varaḥ samaṃ vāmadṛśā kṛśānoḥ pradakṣiṇāprakramamanvatiṣṭhat // 4.45 //	varaH samam vAma-dRSA kRSAnoH pradakziNa-aprakramam-anvatizWat // 4.45 //
   kanyākumārau kamanīyarūpāvālokya homāgniradṛṣṭapūrvau /	kanyA-kumArO kamanIya-rUpO=-Alokya homa-agniH-adRzwa-pUrvO /
   pradakṣiṇārciḥsphuraṇacchalena ślāghāśiraḥkampamivācacāra // 4.46 //	pradakziNa-arciH-sPuraNa=-Calena SlAGASiraH-kampam-iva-AcacAra // 4.46 //
   guruprayuktā kulapālikā sā lājopahāra visasarja vahnau /	guru-prayuktA kulapAlikA sA lAja-upahAra visasarja vahnO /
   marudvidhūtā latikeva puṣpaṃ cūtadrame syūtanavapravāle // 4.47 //	marut-viDUtA latikA-iva puzpam cUta-drame syUta-nava-pravAle // 4.47 //
   samudgatā dhūmatatiḥ kṛśānoḥ samīpalagnā mukhasārasasya /	samudgatA DUmatatiH kRSAnoH samIpa-lagnA muKa-sArasasya /
   amlānanīlāyatanālabhaṅgīma ṅgīcakārāmbujalocanāyāḥ // 4.48 //	amlAna-nIla-Ayata-nAla-BaFgIma FgIcakAra-ambuja-locanAyAH // 4.48 //
   tasmādudīrṇā navadhūmarājistasyā mukhe tadgrahaṇaprasanne /	tasmAt-udIrNA nava-DUmarAjiH-tasyAH muKe tad-grahaNa-prasanne /
   kṣaṇaṃ samālakṣyata sañcarantī saroruhe ṣaṭpadamālikeva // 4.49 //	kzaNam samAlakzyata saQcarantI saroruhe zawpada-mAlikA-iva // 4.49 //
   vaktrāravindaṃ paritaḥ prakīrṇā vāmabhruvo maṅgaladhūmarājiḥ /	vaktra-aravindam paritas prakIrNAH vAmaBruvaH maFgala-DUma-rAjiH /
   anyāmṛtāṃśubhramataḥ prayātāmadhatta sākṣāt pariveṣalakṣmīm // 4.50 //	anya-amRta-aMSu-BramataH prayAtAm-aDatta sAkzAt pariveza-lakzmIm // 4.50 //
   vaktrāmbujaṃ vāmadṛśaḥ parītā vaivāhikī maṅgaladhūmapaṃktiḥ /	vaktra-ambujam vAma-dRSaH parItA vEvAhikI maFgala-DUmapaMktiH /
   babhāra nīlāṃśukanirmitasya muhūrtavaktrāvaraṇasya śobhām // 4.51 //	baBAra nIla-aMSuka-nirmitasya muhUrta-vaktra-AvaraNasya SoBAm // 4.51 //
   kālāñjanocchvāsavikūṇitākṣaṃ dharmodakakliṣṭakapolapatram /	kAlAQjana-ucCvAsa-vikUNita-akzam Darma-udaka-klizwa-kapola-patram /
   vivarṇakarṇotpalamānanābjaṃ babhūva dhūmagrahaṇānmṛgākṣyāḥ // 4.52 //	vivarNa-karNa-utpalam-Anana-abjam baBUva DUma-grahaNAt-mRga-akzyAH // 4.52 //
   iti krameṇāhitapāṇipīḍastayā sahaiva śvasurau kumāraḥ /	iti krameNa-Ahita-pANi-pIxaH-tayA saha-eva SvasurO kumAraH /
   nanāma tāvapyanumodamānāvāśīrbhiretāvanuvardhayetām // 4.53 //	nanAma tO=-api-anumodamAnO=-ASIrBiH-etO=-anuvarDayetAm // 4.53 //
   anyāṃśca sarvānapi bandhuvargān sambhāvya jāyāsahitaḥ kumāraḥ /	anyAn=-ca sarvAn-api banDu-vargAn samBAvya jAyA-sahitaH kumAraH /
   nirgatya tasmānnijarājadhānīpradakṣiṇāya pravaro jagāma // 4.54 //	nirgatya tasmAt-nija-rAjaDAnI-pradakziNAya pravaraH jagAma // 4.54 //
   tasmin muhūrte kapilāṅganānāṃ kumāranidhyānaparāyaṇānām /	tasmin muhUrte kapila-aFganAnAm kumAra-niDyAna-parAyaNAnAm /
   saudheṣu saudheṣu samudbabhūvuḥ śṛṅgāraceṣṭā madanopadiṣṭāḥ // 4.55 //	sODezu sODezu samudbaBUvuH SRFgAra-cezwAH madana-upadizwAH // 4.55 //
   tathā hi kācit karapallavena kalhāramālāmavalambamānā /	taTA hi kAcid karapallavena kalhAra-mAlAm-avalambamAnAH /
   svayaṃ varītuṃ kila rājadhānīsopānamārgaṃ tvarayā jagāma // 4.56 //	svayam varItum kila rAjaDAnI-sopAna-mArgam tvarayA jagAma // 4.56 //
   netrasya taddarśananiścalasya mā mūdidaṃ rodha itīva matvā /	netrasya tad-darSana-niScalasya mA mUdi-dam roDaH iti-iva matvA /
   apāsya kālāñjanamāyatākṣī vātāyanaṃ satvaramāpa kācit // 4.57 //	apAsya kAlAQjanam-Ayata-akzI vAtAyanam satvaram-Apa kAcid // 4.57 //
   vibhūṣaṇairantarite madaṅge naisargikīṃ kāntimasau na paśyet /	viBUzaNEH-antarite mad-aFge nEsargikIm kAntim-asO na paSyet /
   itīva naipathyamakalpayantī kācit prapede sahasā gavākṣam // 4.58 //	iti-iva nEpaTyam-akalpayantI kAcid prapede sahasA gavAkzam // 4.58 //
   vyākośametad yadi karṇapāśe niveśayeyaṃ surabhi dvirephaḥ /	vyAkoSam-etat yadi karNa-pASe niveSayeyam suraBi dvirePaH /
   māṃ pīḍayedityavadhīrya manye karṇotpalaṃ kāpi jagāma jālam // 4.59 //	mAm pIxayet-iti-avaDIrya manye karNa-utpalam kA-api jagAma jAlam // 4.59 //
   tadānanālokanaharṣajātaḥ stanasya romodgama eva bhuṣā /	tadA-anana-Alokana-harza-jAtaH stanasya roma-udgamaH eva BuzA /
   itīva patrāvalimutsṛjantī vātāyanābhyarṇamavāpa kācit // 4.60 //	iti-iva patra-Avalim-utsRjantI vAtAyana-aByarNam-avApa kAcid // 4.60 //
   pativratāyāḥ paradarśanāya yātrā na yukteti nirundhatīva /	pativratAyAH para-darSanAya yAtrA na yuktA-iti nirunDati-iva /
   nitambabimbād rasanā galantī kasyāścidaghriṃ kalayāñcakāra // 4.61 //	nitamba-bimbAt rasanA galantI kasyAScid-aGrim kalayAQcakAraH // 4.61 //
   ekāvalīṃ kācidanarpayitvā kaṇṭhokaṇṭhaṃ karapaṅkajena /	eka-AvalIm kAcid-anarpayitvA kaNWokaNWam kara-paFkajena /
   samudvahantī tvaramāṇacetāstasyopahārārthamiva pratasthe // 4.62 //	samudvahantI tvaramANa-cetAH-tasya-upahAra-arTam-iva pratasTe // 4.62 //
   tābhistadudvīkṣaṇatatparābhirnirantarāḥ saudhatalapradeśāḥ /	tABiH-tad-udvIkzaNa-tatparABiH-nirantarAH sODa-tala-pradeSAH /
   jagajjigīṣormakaradhvajasya senāniveśapratimā babhūvuḥ // 4.63 //	jagat-jigIzoH-makaraDvajasya senA-niveSa-pratimAH baBUvuH // 4.63 //
   vīthīṣu vīthīṣu vilāsinīnāṃ tasminnipetustaralāḥ kaṭākṣāḥ /	vITIzu vITIzu vilAsinInAm tasmin-nipetuH-taralAH kawAkzAH /
   prāsādajālāntaritāṅgayaṣṭeḥ prasūnaketoriva puṣpabāṇāḥ // 4.64 //	prAsAda-jAla-antarita-aFga-yazweH prasUna-ketoH-iva puzpa-bANAH // 4.64 //
   tamāyatākṣyaḥ spṛhaṇīiyamaṅgādaṅgāntaraṃ gantumaśaknuvānaiḥ /	tam-Ayata-akzyaH spRhaNIiyam-aFgAt-aFga-antaram gantum-aSaknuvAnEH /
   ākarṇapūraprasṛtairapāṅgairālokayāmāsuratṛptibhājaḥ // 4.65 //	AkarNapUra-prasRtEH-apAFgEH-AlokayAmAsura-tRpti-BAjaH // 4.65 //
   tāsāṃ kumāraḥ śatapatramitrairvilocanairvismayanirnimeṣaiḥ /	tAsAm kumAraH Satapatra-mitrEH-vilocanEH-vismaya-nirnimezEH /
   aṅgeṣu sarvatra niṣiktabimbaiḥ sākṣāt sahasrākṣa ivābabhāse // 4.66 //	aFgezu sarvatra nizikta-bimbEH sAkzAt sahasrAkzaH iva-AbaBAse // 4.66 //
   yatraiva yatraiva kumāragātre vyāpāritaṃ locanamaṅganābhiḥ /	yatra-eva yatra-eva kumAra-gAtre vyApAritam locanam-aFganABiH /
   tatraiva tatraiva babhūva kāntiniryāsaniḥsyūtamivānuṣaktam // 4.67 //	tatra-eva tatra-eva baBUva kAnti-niryAsa-niHsyUtam-iva-anuzaktam // 4.67 //
   tāsāṃ kumārākṛtirāturāṇāmaspandavisphāritalocanānām /	tAsAm kumAra-AkRtiH-AturANAm-aspanda-visPArita-locanAnAm /
   vinetukāmeva manobhavārtiṃ pratyekamantarhṛdayaṃ viveśa // 4.68 //	vinetukAm-A-iva manoBava-Artim pratyekam-antar-hRdayam viveSa // 4.68 //
   kācit tadā kaṇṭakitāṅgayaṣṭistadānanāmbhoruhanirviśeṣam /	kAcid tadA kaNwakitA-aFga-yazwiH-tad-Anana-amBoruha-nirviSezam /
   ājighradānandanimīlitākṣī karasthitaṃ vibhramapuṇḍarīkam // 4.69 //	AjiGrada-Ananda-nimIlita-akzI kara-sTitam viBrama-puNxarIkam // 4.69 //
   kācit tadākarṣaṇasiddhamantraṃ kāmopadiṣṭaṃ kila japtukāmā /	kAcid tad-AkarzaNa-sidDa-mantram kAma-upadizwam kila japtu-kAmAH /
   kareṇa mandaṃ bhramayāñcakāra muktākṣamālāmiva hārayaṣṭim // 4.70 //	kareNa mandam BramayAQcakAra mukta-akzamAlAm-iva hAra-yazwim // 4.70 //
   śukāvacañcūpuṭapāṭalena nakhena kācid vilolekha navyam /	Suka-avacaQcU-puwa-pAwalena naKena kAcid viloleKa navyam /
   pāṇisthitaṃ ketakagarbhapatramanaṅgasandeśamivāsya kartum // 4.71 //	pANi-sTitam ketaka-garBa-patram-anaFga-sandeSam-iva-asya kartum // 4.71 //
   ālekhyalīlāphalakaṃ satūlimekaṃ dadhānā karapallavena /	AleKya-lIlA-Palakam sa-tUlim-ekam daDAnA karapallavena /
   ātmānamālikhya varāya tasmai dātuṃ samudyogavatīva tasthau // 4.72 //	AtmAnam-AliKya varAya tasmE dAtum samudyogavatI-iva tasTO // 4.72 //
   cetobhuvaḥ puṣpaśilīmukhānāṃ parāgavarṣaiḥ patatāmajasram /	cetaH-BuvaH puzpa-SilImuKAnAm parAga-varzEH patatAm-ajasram /
   kasyāścidāsīt kaluṣīkṛteva dṛṣṭiḥ samudyadbahulāśrupūrā // 4.73 //	kasyAScid-AsIt kaluzIkRtA-iva dRzwiH samudyat-bahula-aSru-pUrAH // 4.73 //
   udbhinnaromodgamalobhanīyā rarāja kasyāścana gaṇḍapāliḥ /	udBinna-roma-udgama-loBanIyA rarAja kasyAScana gaNxapAliH /
   dhṛtāṅkurā cittagrahapraveśe manobhuvo maṅgalapālikeva // 4.74 //	DRta-aFkurA citta-graha-praveSe manoBuvaH maFgala-pAlikA-iva // 4.74 //
   ākarṇamākṛṣṭaśarāsanasya kāmasya kādambakadambakānām /	AkarNam-AkRzwa-SarAsanasya kAmasya kAdamba-kadambakAnAm /
   pakṣīnileneva vidhūyamānā kāciccakampe skhaladuttarīyā // 4.75 //	pakzI-nilena-iva viDUyamAnA kAcid-cakampe sKalat-uttarIyAH // 4.75 //
   dharmodabinduprakarairudīrṇaiḥ karambitā kācana rājate sma /	Darma-uda-bindu-prakarEH-udIrNEH karambitA kAcana rAjate sma /
   kodaṇḍavallīva dṛḍhāvakṛṣṭā niṣṭhyūtamuktāṅkuritā smarasya // 4.76 //	kodaNxavallI-iva dRXa-avakRzwA nizWyUta-muktA-aFkuritA smarasya // 4.76 //
   manaḥ pratolīṃ viśataḥ prakīrṇairmanobhuvaḥ pādaparāgajālaiḥ /	manaH pratolIm viSataH prakIrNEH-manoBuvaH pAda-pa-rAga-jAlEH /
   kācid dṛśaṃ karburavigraheva vivarṇabhāvaṃ pratipadyate sma // 4.77 //	kAcid dRSam karbura-vigrahA-iva vivarNa-BAvam pratipadyate sma // 4.77 //
   kumāramenaṃ kulaśailadhuryaṃ bharttāramāptuṃ paramābhirūpyam /	kumAram-enam kula-SEla-Duryam BarttAram-Aptum parama-aBirUpyam /
   bimbādhareyaṃ jananāntareṣu kiṃ vākarot puṇyamagaṇyarūpam // 4.78 //	bimba-aDarA-iyam janana-antarezu kim vA-akarot puNyam-agaNya-rUpam // 4.78 //
   sudhānidhānaṃ tuhināṃśubimbaṃ lakṣmīvimānāni ca paṅkajāni /	suDA-niDAnam tuhinAMSu-bimbam lakzmI-vimAnAni ca paFkajAni /
   ātanvatā pūrvamamuṣya vaktranirmāṇayogyeva kṛtā vidhātrā // 4.79 //	AtanvatA pUrvam-amuzya vaktra-nirmANa-yogi-eva kRtA viDAtrA // 4.79 //
   nirmāṇakāle bhuvanatrayasya sambhṛtya sambhṛtya samarpitena /	nirmANa-kAle Buvanatrayasya samBRtya samBRtya samarpitena /
   saundaryasāreṇa sarojajanmā prāyeṇa cakre yuvarājamenam // 4.80 //	sOndarya-sAreNa saroja-janmA prAyeNa cakre yuvarAjam-enam // 4.80 //
   yuvānamenaṃ yugadīrghabāhuṃ draṣṭuṃ trilokaspṛhaṇīyaśobham /	yuvAnam-enam yuga-dIrGa-bAhum drazwum triloka-spRhaNIya-SoBam /
   asmākamakṣṇāmayutaṃ viriñcistrilokavedī na cakāra kasmāt // 4.81 //	asmAkam-akzNAm-ayutam viriQciH-triloka-vedI na cakAra kasmAt // 4.81 //
   amuṣya vaktrāmṛtabhānubimbasambhūtasaundaryasudhopayogāt /	amuzya vaktra-amRta-BAnu-bimba-samBUta-sOndarya-suDA-upayogAt /
   āpadyate dṛṣṭiyugaṃ na keṣāmatraiva janmanyanimeṣabhāvam // 4.82 //	Apadyate dRzwi-yugam na kezAm-atra-eva janmani-animeza-BAvam // 4.82 //
   ityādimāsāṃ giramatyudārāmākarṇayan karṇasukhāyamānām /	iti-Adi-m-AsAm giram-ati-udArAm-AkarNayan karNa-suKAyamAnAm /
   pradakṣiṇīkṛtya purīṃ kumāraḥ prāvikṣadantarbhavanaṃ nṛpasya // 4.83 //	pradakziNIkRtya purIm kumAraH prAvikzat-antar-Bavanam nRpasya // 4.83 //
   praviśya dūrāvanatena mūrdhnā baddhapraṇāmāñjalikuḍmalena /	praviSya dUra-avanatena mUrDnA badDa-praNAma-aQjali-kuxmalena /
   tayā sametaḥ śakavaṃśadīpaḥ priyottaraṅgaṃ pitaraṃ vavande // 4.184 //	tayA sametaH Saka-vaMSa-dIpaH priya-uttaraFgam pitaram vavande // 4.184 //
   utthāpya dūrānatamūḍhabhāryamudañcitābhyāṃ bhujapañjarābhyām /	utTApya dUra-Anata-mUXa-BAryam-udaQcitAByAm Buja-paQjarAByAm /
   romodgamādhyāsitagātrayayaṣṭirurvīpatiḥ sādaramāliliṅga // 4.185 //	roma-udgama-aDyAsi-ta-gA-traya-yazwiH-urvIpatiH sAdaram-Ali-liFgaH // 4.185 //
   anantaraṃ kāñcanapātrāsaṃsthaiḥ karpūradīpaiḥ parivāranāryaḥ /	anantaram kAQcana-pAtra-asaMsTEH karpUra-dIpEH parivAra-nAryaH /
   amuṣya bhadrāsanamāsthitasya nīrājanaṃ maṅgalamanvatiṣṭhan // 4.183 //	amuzya BadrAsanam-AsTitasya nIrAjanam maFgalam-anvatizWan // 4.183 //
   iti vihitavivāhaṃ viśvaviśrāntakīrtti trijagadavanadīkṣābaddhakakṣaṃ	iti vihita-vivAham viSva-viSrAnta-kIrtti trijagat-avana-dIkzA-badDa-kakzam
   kumāram /	kumAram /
   narapatiravalokya prīyamāṇaḥ sa mene nijakulamatituṅgaṃ nihanutārātigarvam	narapatiH-avalokya prIyamANaH sa mene nija-kula-m-ati-tuFgam nihanutAra-atigarvam
   iti buddhaghoṣaviracite padyacūḍāmaṇināmni mahākāvye caturthaḥ sargaḥ //	iti budDa-Goza-viracite padya-cUxAmaNi-nAmni mahAkAvye caturTaH sargaH //
   pañcamaḥ sargaḥ	paQcamaH sargaH
   trayo mahāprāsādāḥ	trayaH mahA-prAsAdAH
   tataḥ kumārasya samagravaibhavo narādhinātho navayauvanaśriyaḥ /	tatas kumArasya samagra-vEBavaH nara-aDinATaH nava-yOvana-SriyaH /
   ṛtūtsavānāmupasevanakṣamānakārayat trīnatulān mahālayān // 5.1 //	Rtu-utsavAnAm-upasevana-kzamAna-kArayat trIn-atulAn mahAlayAn // 5.1 //
   sa teṣu sadmasvadhirājanandano vicitravinyāsaviśeṣaśālibhiḥ /	sa tezu sadmasvaDi-rAja-nandanaH vicitra-vinyAsa-viSeza-SAliBiH /
   vinodyamāno varavārayoṣitāṃ vilāsanṛttairvijahāra hāribhiḥ // 5.2 //	vinodyamAnaH vara-vAra-yozitAm vilAsa-nRttEH-vijahAra hAriBiH // 5.2 //
   babhūva varṣāsamayo 'tha medinī kaṭhoradharmajvaraśāntikarmaṭhaḥ /	baBUva varzA-samayaH aTa medinI kaWora-Darma-jvara-SAnti-karmaWaH /
   aśeṣakāntāraśikhaṇḍimaṇḍalīvilāsalāsyakramadeśikeśvaraḥ // 5.3 //	aSeza-kAntAra-SiKaNxi-maNxalI-vilAsala-Asya-krama-deSikeSvaraH // 5.3 //
   payodharāḥ kecana kācamecakāścakāśire caṇḍasamīraṇeritāḥ /	payoDarAH kecana kAca-mecakAH-cakASire caNxa-samIraNa-IritAH /
   śanaiḥ śanairambarakṛṣṇabhoginā vimucyamānā iva jīrṇakañcukāḥ // 5.4 //	SanEs SanEs-ambara-kRzNa-BoginA vimucyamAnAH iva jIrNa-kaQcukAH // 5.4 //
   tadā samāruhya vihāramaṇḍapaṃ sahaiva vadhvā sarasīruhekṣaṇaḥ /	tadA samAruhya vihAra-maNxapam saha-eva vaDvA sarasIruha-IkzaNaH /
   pradarśayan mīnadṛśaḥ payodharān pracakrame varṇayituṃ tapātyayam // 5.5	pradarSayan mIna-dRSaH payoDarAn pracakrame varNayitum tapAtyayam // 5.5
   itaḥ sarojākṣi! vilokayāmbudānudanvadambhobharapaśyatoharān /	itas saroja-akzi! vilokaya-ambudAn-udanvat-amBaH-Bara-paSyataH-harAn /
   viyattalābhogavilāsadarpaṇapraviṣṭabhūmaṇḍalabimbasannibhān // 5.6 //	viyat-tala-ABoga-vilAsa-darpaNa-pravizwa-BU-maNxala-bimba-sanniBAn // 5.6 //
   ṛtuśriyā dīptataḍitpradīpikāsamārjitairañjanasañcayairiva /	Rtu-SriyA dIpta-taxit-pradIpikA-samArjitEH-aQjana-saQcayEH-iva /
   natabhru! navyaiḥ śakalaiḥ payomucāṃ nabhaḥsthalī pātramiyaṃ vibhāvyate //	nata-Bru! navyEH SakalEH payomucAm naBaH-sTalI pAtram-iyam viBAvyate //
   payodakālena cirapravāsinā samāgatenābhinavaṃ priye! diśām /	payoda-kAlena cira-pravAsinA samAgatena-aBinavam priye! diSAm /
   vimucyamānā iva keśaveṇayo vibhānti kāmaṃ navameghapaṃktayaḥ // 5.8 //	vimucyamAnAH iva keSaveNayaH viBAnti kAmam nava-meGapaMktayaH // 5.8 //
   tapātyayābhyāgamanena śāmyato nidāgharūpasya kṛpīṭajanmanaḥ /	tapAtyaya-aByAgamanena SAmyataH nidAGa-rUpasya kRpIwa-janmanaH /
   vijṛmbhamāṇā iva dhūmavīcayo viśanti meghāvalayo viyattalam // 5.9 //	vijRmBamANAH iva DUma-vIcayaH viSanti meGa-AvalayaH viyat-talam // 5.9 //
   purandarākrāntibhayena ye purā payonidhiṃ prāpuralūnapakṣakāḥ /	purandara-AkrAnti-Bayena ye purA payoniDim prApura-lUna-pakzakAH /
   samutpatantīva ta eva bhūdharāstataḥ samudadyannavavāridacchalāt // 5.10	samutpatanti-iva te eva BUDarAH-tatas samudadyat-navavAri-da=-CalAt // 5.10
   mṛgākṣ i! vidyullatikākarambimbitairnabho 'vakāśo jaladairvirājate /	mRgAkz i! vidyut-latikA-karambimbitEH-naBaH avakASaH jaladEH-virAjate /
   payonidhirvidrumavallivellitairyugakṣaye kardamagolakairiva // 5.11 //	payoniDiH-vidruma-valli-vellitEH-yuga-kzaye kardama-golakEH-iva // 5.11 //
   śikhaṇḍināmadbhutatāṇḍavaśriyāmaraṇyaraṅge madhurapraṇādinām /	SiKaNxinAm-adButa-tANxava-SriyAm-araNI-a-raFge maDura-praNAdinAm /
   vilokya vidyunnayanena vibhramān praśaṃsatīva stanitena toyadaḥ // 5.12 //	vilokya vidyut-nayanena viBramAn praSaMsati-iva stanitena toyadaH // 5.12 //
   kalāpinaḥ kāñcanakāhalopamān phaṇīndralokān parigṛhya cañcubhiḥ /	kalApinaH kAQcana-kAhala-upamAn PaNIndra-lokAn parigRhya caQcuBiH /
   gabhīrakekāmukharīkṛtāmbarā nadanti cakrīkṛtabarhamaṇḍalāḥ // 5.13 //	gaBIra-kekA-muKarIkRta-ambarAH nadanti cakrIkRta-barha-maNxalAH // 5.13 //
   suvarṇakāreṇa tapātyayātmanā payodapālīnikaṣopalāntare /	suvarNakAreNa tapAtyaya-AtmanA payodapAlI-nikaza-upala-antare /
   nighṛṣyamāṇā iva hemarājayastaḍillatā bhānti cakoralocane // 5.14 //	niGRzyamANAH iva hema-rAjayaH-taxit-latA BAnti cakora-locane // 5.14 //
   malīmasaṃ kevalamaṅgamantaraṃ viśuddhamantaḥkaraṇaṃ tu māmakam /	malImasam kevalam-aFgam-antaram viSudDam-antaHkaraNam tu mAmakam /
   iti sphuraccañcaladīdhiticchalād vibhidya taṃ darśayatīva vāridaḥ // 5.15	iti sPurat-caQcala-dIDiti=-CalAt viBidya tam darSayati-iva vAridaH // 5.15
   samudranemīvahanasya bhāriṇaścaturmahāsāgaramadhyavartinaḥ /	samudra-nemI-vahanasya BAriNaH-catur-mahA-sAgara-maDya-vartinaH /
   kūlādrikūṭeṣu taḍidgaṇāvṛtā vibhānti sītā iva meghapaṃktayaḥ // 5.16 //	kUla-adri-kUwezu taxit-gaNa-AvRtAH viBAnti sItA iva meGapaMktayaH // 5.16 //
   vijitya viśvatrayamadbhutaśriyā pradānaśauryeṇa payomucāmunā /	vijitya viSva-trayam-adButa-SriyA pradAna-SOryeNa payaH-muca-amunA /
   samucchritānāṃ taralākṣi! vidyuto jayadhvajānāṃ janayanti saṃśayam // 5.17	samucCritAnAm tarala-akzi! vidyutaH jayaDvajAnAm janayanti saMSayam // 5.17
   sitacchadotsāraṇavetrayaṣṭayo viloladṛṣṭe! vilasanti vidyutaḥ /	sita=-Cada-utsAraNa-vetra-yazwayaH vilola-dRzwe! vilasanti vidyutaH /
   dhanāghanaiḥ proṣitatarjanakriyāvighūrṇyamānāḥ karaśākhikā iva // 5.18 //	DanAGanEH prozita-tarjana-kriyA-viGUrNyamAnAH karaSAKikAH iva // 5.18 //
   śatahradāpāditacārumaurvikaṃ salīlamādāya mahendrakārmukam /	SatahradApAdita-cArum-Orvikam sa-lIlam-AdAya mahA-indra-kArmukam /
   payodakālaḥ śabaraḥ śaravrajairapuṇḍarīkāṃ vidaghāti medinīm // 5.19 //	payoda-kAlaH SabaraH Sara-vrajEH-apuNxarIkAm vidaGAti medinIm // 5.19 //
   bhujaṅgabhugvāntaphaṇāmaṇiśriyaḥ sphuranti bhūmnā puruhūtagopakāḥ /	BujaFga-Buj-vA-anta-PaNA-maNi-SriyaH sPuranti BUmnA puruhUta-gopakAH /
