   Abhidharmasamuccayabhāṣyam	ABiDarma samuccaya BAzyam
   vipakṣapratipakṣāvasthānāvasthitatvam / bhogasaṃpattilakṣaṇaṃ	vipakza pratipakza avasTAna avasTita tvam / Boga saMpatti lakzaNam
   sarvalaukikasamṛddho nāmanātyantikatayā durantatvam /	sarva lOkika samRdDaH nAmanAti antika tayA duranta tvam /
   bhājanasaṃvartavivartalakṣaṇaṃ mahāpṛthivyādināmagnyādibhiḥ punaḥ	BAjana saMvarta vivarta lakzaNam mahA pRTivI AdinAm agni AdiBiH punar 
   punarvināśa[ta] utpādataśca,	punar vinASa[ta] utpAdataH ca,
   agnyambuvāyusaṃvartanībhirdahanakledanaśoṣaṇātmikābhiryathākramam /	agni ambu vAyu saMvartanIBiH dahana kledana SozaNa AtmikABiH yaTAkramam /
   prathamadvitīyatṛtīyadhyānasthānāvasāne lokasaṃniveśe saṃvṛtte tadūrdhvaṃ	praTama dvitIya tRtIya DyAna sTAna avasAne loka saMniveSe saMvRtte tad UrDvam
   yānyavaśiṣyante dvitīyatṛtīyacaturthadhyānasyānāntarāṇi tāni tāsāṃ śīrṣāṇi	yAni avaSizyante dvitIya tRtIya caturTa DyAnasya ana antarANi tAni tAsAm SIrzANi
   veditavyāni / caturthadhyānabhūmikānāṃ tarhi vimānānāṃ kena	veditavyAni / caturTa DyAna BUmikAnAm tarhi vimAnAnAm kena
   saṃvartavivartaḥ / na kena cidbāhyena, taireva tu sarvairjāyamānaiḥ saha	saMvarta vivartaH / na kena cit bAhyena, tEH eva tu sarvEH jAyamAnEH saha
   tāni vimānāni nirvartante cyavamānaiḥ saha (Abhidh s bh 51) tāni	tAni vimAnAni nirvartante cyavamAnEH saha (a aBiD s B 51) tAni
   nirudhyanta iti / sa eva teṣāṃ saṃvartavivarto veditavyaḥ / yaiḥ kalpasya	niruDyante iti / saH eva tezAm saMvarta vivartaH veditavyaH / yEH kalpasya
   niryāṇaṃ bhavatīti parisamāptirbhavatītyarthaḥ / eko 'ntarakalpo 'pakarṣaḥ	niryANam Bavati iti parisamAptiH Bavati iti arTaH / ekaH antara kalpaH apakarzaH
   vivartakāle ekānnaviṃśati[ta]maḥ / aṣṭādaśa utkarṣāpakarṣāḥ / tata	vivartakAle ekAn na viMSati[ta]maH / azwAdaSe utkarza apakarzAH / tata
   ūrdhvameka utkarṣaḥ paścimaḥ / āyukṣayānmaraṇaṃ kālacyutimadhikṛtya	UrDvam ekaH utkarzaH paScimaH / Ayu kzayAt maraNam kAla cyutim aDikRtya
   yāvadākṣepamāyuṣaḥ parisamāptatvāt / puṇyakṣayādakālacyuti[madhikṛtya]	yAvat Akzepam AyuzaH parisamApta tvAt / puNya kzayAt akAla cyuti[m aDikRtya]
   samāpattyāsvādanatayā tadāyurākṣepakakarmabhāvanopadhātāt /	samApatti AsvAdana tayA tad AyurAkzepaka karma BAvanA upaDAtAt /
   karmakṣayātprabandhacyutimadhikṛtya, tasminnāyatane	karma kzayAt prabanDa cyutim aDikRtya, tasmin= Ayatane
   upapadyāparaparyāyavedanīyakarmaṇa upayuktatvādabhāvādvā tatra bhūyo	upapadya apara paryAya vedanIya karmaNaH upayukta tvAt aBAvAt vA tatra BUyo
   'nutpattito veditavyam //	anutpattitaH veditavyam //
   aṣṭākāraṃ vā duḥkhamiti saṃbādhaduḥkhatādi / utpādāṃśikī anityatā abhūtvā	azwa AkAram vA duHKam iti saMbADa duHKa tA Adi / utpAda aMSikI anitya tA aBUtvA
   bhāvaḥ, sa ca duḥkhapakṣyāṇāṃ saṃskārāṇāṃ bādhanātmakaḥ / iti tāmanityatāṃ	BAvaH, sa ca duHKa pakzyANAm saMskArANAm bADana AtmakaH / iti tAm anitya tAm
   pratītya duḥkhaduḥkhatā prajñāyate / vyayāṃśikī bhūtvābhāvaḥ, sa ca	pratItya duHKa duHKa tA prajQAyate / vyayAMSikI BUtvA aBAvaH, sa ca
   sukhapakṣyāṇāṃ saṃskārāṇāmanabhipretaḥ / iti tāṃ pratītya	suKa pakzyANAm saMskArANAm anaBipretaH / iti tAm pratItya
   vipariṇāmaduḥkhatā prajñāyate / sadauṣṭhulyānāṃ saṃskārāṇāṃ	vipariNAma duHKa tA prajQAyate / sa dA ozWulyAnAm saMskArANAm
   prabandhenodayo 'pyanabhipretaḥ, vyayo 'pīti tadubhayāṃśikīmanityatāṃ	prabanDena udayaH api anaBipretaH, vyayaH api iti tat uBaya aMSikIm anitya tAm
   pratītya saṃskāraduḥkhatā prajñāyate / saṃskārānityatāṃ	pratItya saMskAra duHKa tA prajQAyate / saMskAra anitya tAm
   saṃskāravipariṇāmatāṃ ca saṃdhāyoktam   mayā yatkiṃcidveditamidamatra	saMskAra vipariNAma tAm ca saMDAya uktam  mayA yat kiMcid veditam idam atra
   duḥkhasyetyayamaduḥkhāsukhasya sukhasya ca veditasya duḥkha vacane	duHKasya iti ayam aduHKa asuKasya suKasya ca veditasya duHKa vacane
   'bhisaṃdhirveditavyaḥ / duḥkhasya tu veditasya duḥkhatvena	aBisaMDiH veditavyaH / duHKasya tu veditasya duHKa tvena
   prasiddhatvālloke na tatra punarabhisaṃdhirucyata iti / yeṣu cānityeṣu	prasidDa tvAt loke na tatra punar aBisaMDi rucyate iti / yezu ca anityezu
   saṃskāreṣu jātyādikaṃ prajñāyate [teṣām] anityatvāt	saMskArezu jAti Adikam prajQAyate [tezAm] anitya tvAt 
   duḥkhamityabhisaṃdhirveditavyaḥ / anyathā mārgo 'pyanityatvādduḥkhaṃ	duHKam iti aBisaMDiH veditavyaH / anyaTA mArgaH api anitya tvAt duHKam
   syāditi //	syAt iti //
   śūnyatālakṣaṇaṃ nityādilakṣaṇasyātmanaḥ saṃskārebhyo 'rthāntarabhūtasya	SUnyatA lakzaNam nitya Adi lakzaNasya AtmanaH saMskAreByaH arTa antara BUtasya
   teṣvabhāvaḥ / teṣāṃ ca saṃskārāṇāṃ nityakālaṃ tadrahitaprakṛtikalakṣaṇasya	tezu aBAvaH / tezAm ca saMskArANAm nitya kAlam tat rahita prakRtika lakzaNasya
   (Abhidh s bh 52) nairātmyasya bhāvastadubhayaṃ śūnyatetyucyate /	(a aBiD s B 52) nErAtmyasya BAvaH tat uBayam SUnyatA iti ucyate /
   svabhāvaśūnyatā parikalpitaṃ svabhāvamu[pā]dāya, tasya	svaBAva SUnyatA parikalpitam svaBAvam u[pA]dAya, tasya
   svalakṣaṇenaivābhāvāt / tathābhāvaśūnyatā paratantraṃ svabhāvamupādāya,	sva lakzaNena eva aBAvAt / taTA aBAva SUnyatA paratantram svaBAvam upAdAya,
   tasya yena yena prakāreṇa parikalpyate tena tena prakāreṇābhāvāt /	tasya yena yena prakAreNa parikalpyate tena tena prakAreNa aBAvAt /
   prakṛtiśūnyatā pariniṣpannaṃ svabhāvamupādāya tasya śūnyatāprakṛtikatvāt	prakRti SUnyatA parinizpannam svaBAvam upAdAya tasya SUnyatA prakRtika tvAt 
   anātmalakṣaṇaṃ punasteṣāmeva saṃskārāṇāmātmavādibhiḥ	anAtma lakzaNam punar tezAm eva saMskArANAm Atma vAdiBiH
   parikalpitenātmalakṣaṇenānātmalakṣaṇatā //	parikalpitena Atma lakzaNena anAtma lakzaNa tA //
   vināśādilakṣaṇānityatā prasiddhā, kṣaṇikalakṣaṇā tu na prasiddhā	vinASa Adi lakzaNa anitya tA prasidDA, kzaNika lakzaNA tu na prasidDA
   sarvasaṃskārāṇāmataḥ sā prasādhayitavyā / tatra cittacaitasikānāṃ	sarva saMskArANAm atas sA prasADayitavyA / tatra citta cEtasikAnAm
   kṣaṇikatvaṃ loke prasiddhamataḥ tenāprasiddhaṃ rūpasya kṣaṇikatvaṃ	kzaNika tvam loke prasidDam atas tena aprasidDam rUpasya kzaNika tvam
   prasādhyate / kathamiti / cittopāttatāmupādāya, kṣaṇikena hi cittena kāya	prasADyate / kaTam iti / citta upAtta tAm upAdAya, kzaNikena hi cittena kAya
   upātta / kenārthena / cittaikayogakṣematāmupādāya, tathāhi kāyaḥ	upAtta / kena arTena / citta eka yogakzema tAm upAdAya, taTA hi kAyaH
   savijñānaka eva samudāgacchati vijñānāpakrāntyā ca pūtībhavati /	sa vijQAnakaH eva samudAgacCati vijQAna apakrAntyA ca pUtIBavati /
   tasmāccittenaikayogakṣematvāttadivāsya kṣaṇikatvaṃ veditavyam / kiṃ ca	tasmAt cittena eka yogakzema tvAt tat iva asya kzaNika tvam veditavyam / kim ca
   cittāśrayatāmupādāya, cittasya hi [vi]kāreṇa kāyasya vikāro dṛśyate	citta ASraya tAm upAdAya, cittasya hi [vi]kAreNa kAyasya vikAraH dRSyate
   sukhaduḥkharāgadveṣādyavasthāsu / ataḥ pratikṣaṇaṃ vikāriṇaścetaso	suKa duHKa rAga dveza Adi avasTAsu / atas pratikzaNam vikAriNaH cetasaH 
   'nuvidhānāt kāyasya kṣaṇikatvaṃ siddham / cittādhipatyasaṃbhūtatāmupādāya,	anuviDAnAt kAyasya kzaNika tvam sidDam / citta ADipatya saMBUta tAm upAdAya,
   cittasya hi sendriyaḥ kāya āśrayaḥ prasiddhaḥ, yasya ca ya utpatyāśrayo	cittasya hi sa indriyaH kAyaH ASrayaH prasidDaH, yasya ca yaH utpatya ASrayaH 
   nāsau svavināśamantareṇa tasyāśrayībhavandṛṣṭaḥ /	na asO sva vinASam antareNa tasya ASrayI Bavan dRzwaH /
   tadyathāgnyaṃkurādīnāmindhanabījādikaḥ / tasmātpratikṣaṇaṃ	tat yaTA agni aMkura AdInAm inDana bIja AdikaH / tasmAt pratikzaNam
   cittasyāśrayabhāvātpratikṣaṇameva vinaśyatīti siddham /	cittasya ASraya BAvAt pratikzaNam eva vinaSyati iti sidDam /
   cittasyādhipatyasaṃbhūtatāmupādāya, sarvaṃ hyādhyātmikabāhyaṃ rūpaṃ	cittasya ADipatya saMBUta tAm upAdAya, sarvam hi ADyAtmika bAhyam rUpam
   cittasyādhipatyena saṃbhavati / ataḥ kāraṇasya kṣaṇikatvātkāryasya	cittasya ADipatyena saMBavati / atas kAraNasya kzaNika tvAt kAryasya
   kṣaṇikatvaṃ veditavyam, ye hetavo ye pratyayāḥ rūpasyātpādāya te	kzaNika tvam veditavyam, ye hetavaH ye pratyayAH rUpasyAt pAdAya te
   'pyanityāḥ, anityān khalu hetupratyayān pratītyotpannaṃ rūpaṃ kuto nityaṃ	api anityAH, anityAn Kalu hetu pratyayAn pratItya utpannam rUpam kutas nityam
   bhaviṣyatīti sūtrapadānusāreṇa / cittavaśavarttitāṃ copādāya,	Bavizyati iti sUtra pada anusAreNa / citta vaSa varttitAm ca upAdAya,
   prabhāvaviśiṣṭasya ca cittasya (Abhidh s bh 53) rūpaṃ vaśe vartate, tena	praBAva viSizwasya ca cittasya (a aBiD s B 53) rUpam vaSe vartate, tena
   yatheṣṭaṃ pariṇāmāt / ataḥ pratikṣaṇamanyathādhimokṣe	yaTezwam pariNAmAt / atas pratikzaNam anyaTA aDimokze
   satyanyathotpādātkṣaṇikatvasiddhiḥ / api khalu ante	sati anyaTA utpAdAt kzaNika tva sidDiH / api Kalu ante
   vikāropalabdhitāmupādāya, na hi pratikṣaṇaprakṛtivikāritāmantareṇākasmiko	vikAra upalabDi tAm upAdAya, na hi pratikzaNa prakRti vikAritAm antareNa akasmikaH 
   rūpasyānte vikāro yuktaḥ, sa copalabhyate /	rUpasya ante vikAraH yuktaH, sa ca upalaByate /
   tasmātsvāsāṃtānikapratikṣaṇavikārābhivṛddhihetukatvādantyasya	tasmAt svAsa aMtAnika pratikzaNa vikAra aBivRdDi hetuka tvAt antyasya
   rūpavikārasya kṣaṇikaṃ rūpamiti siddham / utpannasya cānapekṣya pratyayaṃ	rUpa vikArasya kzaNikam rUpam iti sidDam / utpannasya ca anapekzya pratyayam
   svarasavināśitāmupādāya, sarvasyotpannasya vināśaḥ pratyayamanapekṣya	svarasa vinASi tAm upAdAya, sarvasya utpannasya vinASaH pratyayam anapekzya
   svarasenaiva bhavati / ataḥ pratyayāntaranirapekṣo 'vaśyaṃbhāvī vināśa	svarasena eva Bavati / atas pratyaya antara nirapekzaH avaSyaMBAvI vinASa
   utpannamātrasyaiva bhāvasya na bhavati paścādbhatīti [na]	utpanna mAtrasya eva BAvasya na Bavati paScAt Bati iti [na]
   kiṃcidviśeṣaṇamasti / tasmātsarveṇa vināśinotpannamātreṇa vinaṣṭamiti	kiMcid viSezaNam asti / tasmAt sarveNa vinASinA utpanna mAtreNa vinazwam iti
   siddhaṃ kṣaṇikatvam //	sidDam kzaNika tvam //
   ekapradeśāśrayibhāvārtha upādāyārthaḥ, bhūtadeśanirapekṣasya pṛthak	eka pradeSa ASrayi BAva arTaH upAdAya arTaH, BUta deSa nirapekzasya pRTak 
   svatantravṛttitāsāmārthyābhāvāt / asti samudāya ekabhautikastadyathā śuṣko	svatantra vRtti tA sAmArTya aBAvAt / asti samudAyaH ekaBOtikaH tat yaTA SuzkaH 
   mṛtpiṇḍaḥ / asti dvibhūtikaḥ sa evārdraḥ / asti tribhūtikaḥ sa evoṣṇaḥ /	mRd piNxaH / asti dvi BUtikaH saH eva ArdraH / asti triBUtikaH saH eva uzNaH /
   asti sarvabhūtikaḥ sa evārdra uṣṇaśca mṛtpiṇḍo gamanāvasthāyāmiti / asti	asti sarva BUtikaH saH eva ArdraH uzNaH ca mRd piNxaH gamana avasTAyAm iti / asti
   samudāya ekopādāyarūpikastadyathā prabhā / dvyupādāyarūpikastadyathā	samudAyaH eka upAdAya rUpikaH tat yaTA praBA / dvi upAdAya rUpikaH tat yaTA
   śabdagandho vāyuḥ / tryupādāyarūpikastadyathā dhūmaḥ, tasya	SabdaganDaH vAyuH / tri upAdAya rUpikaH tat yaTA DUmaH, tasya
   rūpagandhaspraṣṭavyaviśeṣaprabhāvitatvāt / spraṣṭavyaviśeṣaḥ punaratra	rUpa ganDa sprazwavya viSeza praBAvita tvAt / sprazwavya viSezaH punar atra
   laghutvaṃ veditavyam / caturupādāyarūpikastadyathā guḍapiṇḍaḥ /	laGu tvam veditavyam / catur upAdAya rUpikaH tat yaTA guxa piNxaH /
   pañcopādāyarūpikastadyathā sa eva saśabdaḥ / itya[nya]trāpi	paQca upAdAya rUpikaH tat yaTA saH eva sa SabdaH / iti a[nya]trApi
   yadyatropalabhyate bhūtaṃ bhautikaṃ vā tatra tadastīti veditavyaṃ nānyatra	yadi atra upalaByate BUtam BOtikam vA tatra tat asti iti veditavyam na anyatra
   niḥśarīraḥ paramāṇuriti niḥsvabhāvo vyavasthānamātramityarthaḥ,	niHSarIraH paramANuH iti niHsvaBAvaH vyavasTAna mAtram iti arTaH,
   apakarṣamaryādābhāvāt / buddhyā paryantabhedatastu paramāṇuvyavasthānaṃ	apakarza maryAda aBAvAt / budDyA paryanta BedataH tu paramANu vyavasTAnam
   buddhyā yāvānavayapāpakarṣaparyantaḥ śakyate prabhettuṃ tāvatā	budDyA yAvAn avaya pApa karza paryantaH Sakyate praBettum tAvatA
   paramāṇuvyavasthānaṃ kriyate / kiṃ punaḥ kāraṇaṃ yadevaṃ niḥśarīro 'pi	paramANu vyavasTAnam kriyate / kim punar kAraNam yat evam niHSarIraH api
   paramāṇurvyavasthāpyate / piṇḍasaṃjñāvibhā[va]natāmupādāya, avayavaśo hi	paramANuH vyavasTApyate / piNxa saMjQA viBA[va]natAm upAdAya, avayavaSas hi
   buddhyā bhidyamāne rūpe sarvametadekaṃ rūpamiti piṇḍasaṃjñā vigacchati,	budDyA BidyamAne rUpe sarvam etat ekam rUpam iti piNxa saMjQA vigacCati,
   yataḥ pudgalanairātmyapraveśasyānukūlyaṃ bhavatīti / (Abhidh s bh 54)	yatas pudgala nErAtmya praveSasya AnukUlyam Bavati iti / (a aBiD s B 54)
   rūpadravyāpariniṣpattipraveśatāṃ copādāya, evaṃ hi buddhyā bhidyamānaṃ	rUpa dravya aparinizpatti praveSa tAm ca upAdAya, evam hi budDyA BidyamAnam
   rūpaṃ na kiṃcidbhavatīti matvā rūpadravyasyāpariniṣpattiṃ praviśati, yato	rUpam na kiMcid Bavati iti matvA rUpa dravyasya aparinizpattim praviSati, yatas 
   vijñaptimātrāvatāreṇa dharmanairātmyapraveśasyānukūlyaṃ bhavatīti //	vijQapti mAtra avatAreNa Darma nErAtmya praveSasya AnukUlyam Bavati iti //
   vipuladuḥkhamasaṃlikhitaṃ kāmāvacaramanupacitakuśalamūlānām,	vipula duHKam asaMliKitam kAma avacaram anupacita kuSala mUlAnAm ,
   sarvaduḥkhatāgatiyoniprabhāvitatvāt	sarva duHKa tAgati yoni praBAvita tvAt
   kāmadhātoranupacittakuśalamūlatvenānāvṛtaṃ sarvagatigamanatvācca	kAmaDAtoH anupacitta kuSala mUla tvena anAvRtam sarva gati gamana tvAt ca
   yathākramaṃ tadvipulamasaṃlikhitaṃ ca veditavyam saṃlikhitaṃ	yaTAkramam tad vipulam asaMliKitam ca veditavyam saMliKitam
   tadevotpannamokṣabhāgīyānām, avaśyaṃ parinirvāṇaniyamāt /	tat eva utpanna mokza BAgIyAnAm, avaSyam parinirvANa niyamAt /
   saṃlikhitāsaṃlikhitaṃ tadeva kāmāvacaraṃ duḥkhaṃ	saMliKitA saMliKitam tat eva kAma avacaram duHKam
   laukikavairāgyāvaropitakuśalamūlānām,	lOkika vErAgya avaropita kuSala mUlAnAm ,
   duḥkhaduḥkhatādisamatikramaniyamitatvādanātyantikatvācca yathākramam /	duHKa duHKa tA Adi samatikrama niyamita tvAt anAti antika tvAt ca yaTAkramam /
   evaṃ madhyāsaṃlikhitādīni yathāyogaṃ yojayitavyāni /	evam maDyA saMliKita AdIni yaTAyogam yojayitavyAni /
   mahāsaṃlekhapratyupasthānamanekasattvasaṃtānikaduḥkhāpanayanapratyupasthānāt	mahA saMleKa pratyupasTAnam aneka sattva saMtAnika duHKa apanayana pratyupasTAnAt 
   kuśalādicittasya	kuSala Adi cittasya
   maraṇamityātmasnehasaṃprayuktāccyuticittāpavargāvasthāmadhikṛtya	maraNam iti Atma sneha saMprayuktAt cyuti citta apavarga avasTAm aDikRtya
   veditavyam / manomaya upapādukatvena, cittamātrahetukatvāt / gandharvo	veditavyam / manaH mayaH upapAduka tvena, citta mAtra hetuka tvAt / ganDarvaH 
   gandhenārvaṇāt gandhānusāreṇo papattideśa[ga]manādityarthaḥ / paraṃ	ganDena arvaNAt ganDa anusAreNaH papatti deSa[ ga]manAt iti arTaH / param
   saptāhaṃ tiṣṭhatyantareṇa ca cyavate yadyupapattipratyayān labhate / atha	sapta aham tizWati antareNa ca cyavate yadi upapatti pratyayAn laBate / aTa
   na labhate saptāhātpareṇa cyutvā punarantarābhava eva nivartate / evaṃ	na laBate sapta ahAt pareNa cyutvA punar antarA aBavaH eva nivartate / evam
   yāva[t] saptakṛtvaḥ tataḥ pareṇa ekadā ca vyāvartate yadi tadavasthā	yAva[t] sapta kRtvas tatas pareNa ekadA ca vyAvartate yadi tad avasTA
   syādyatropapattipratya[ya] / balavanta āmukhībhūtā bhavanti	syAt yatra upapatti pratya[ya] / balavantaH AmuKIBUtAH Bavanti
   caturthadhyānalābhino 'rhattvābhimānino	caturTa DyAna lABinaH arhat tva aBimAninaH 
   bhikṣostadbhūmikāntarābhavābhinirvṛttau mokṣāpavādi	BikzoH tad BUmikA antara aBava aBinirvRttO mokza apavAdi
   kamithyādṛṣṭipratilambhānnārakāntarābhavābhinirvṛttivat / tatrasthaśca	kamiTyA dRzwi pratilamBAt nAraka antara aBava aBinirvRtti vat / tatrasTaH ca
   karmopacinoti, pūrvāvedhavaśena kuśalādicetanāsamudācārāt / sabhāgāṃśca	karma upacinoti, pUrva AveDa vaSena kuSala Adi cetanA samudAcArAt / saBAgAn= ca
   sattvānpaśyati yaiḥ saha pūrva tatkuśalamakuśalaṃ vā caritaṃ bhavati taiḥ	sattvAn paSyati yEH saha pUrva tat kuSalam akuSalam vA caritam Bavati tEH
   saha vartamānamātmānaṃ svapna iva saṃjānīte / yatra cāsāvupapanno	saha vartamAnam AtmAnam svapne iva saMjAnIte / yatra ca asO= upapannaH 
   tatpūrvakālabhavākṛtirnirvartate / tata ūrdhvamindriyābhinirvṛttiryathā	tad pUrva kAla Bava AkRtiH nirvartate / tatas UrDvam indriya aBinirvRttiH yaTA
   pratītyasamutpāda iti nāmarūpādyānupūrvyā / yathoktam  	pratItyasamutpAdaH iti nAma rUpa Adi AnupUrvyA / yaToktam  
   (Abhidh s bh 55)	(a aBiD s B 55)
   kalalaṃ prathamaṃ bhavati kalalājjāyate 'rbudam /	kalalam praTamam Bavati kalalAt jAyate arbudam /
   arbudājjāyate peśī peśīto jāyate dhanam //	arbudAt jAyate peSI peSItaH jAyate Danam //
   ghanātpraśākhā jāyante keśalomanakhādayaḥ /	GanAt praSAKAH jAyante keSa loma naKa AdayaH /
   indriyāṇi ca rūpīṇi vyañjanādyanupūrvaśaḥ //	indriyANi ca rUpINi vyaQjana Adi anupUrvaSas //
   samudayasatyaṃ yato duḥkhaṃ samudeti / tatpunaḥ katamat / kleśāḥ	samudaya satyam yatas duHKam samudeti / tat punar katamat / kleSAH
   kleśādhipateyaṃ ca karma iti sāsravamityarthaḥ / yadyevaṃ kimartha	kleSa ADipatA iyam ca karma iti sa Asravam iti arTaH / yadi evam kim arTa
   bhagavatā tṛṣṇaiva samudayanirdeśe nirdiṣṭā / sarvatragatvena prādhānyāt /	BagavatA tRzNA eva samudaya nirdeSe nirdizwA / sarvatraga tvena prADAnyAt /
   tṛṣṇā vastusarvatragā prāptāprāptasarvātmabhāvaviṣayavastuvyāpanāt /	tRzNA vastu sarvatragA prApta aprApta sarva Atma BAva vizaya vastu vyApanAt /
   prāpte ātmabhāve tṛṣṇā, aprāpte paunarbhavikī / prāpteṣu viṣayeṣu	prApte Atma BAve tRzNA, aprApte pOnarBavikI / prAptezu vizayezu
   [nandīrāgasahagatā / aprāpteṣu viṣayeṣu] tatratatrābhinandinī veditavyā /	[nandI rAga sahagatA / aprAptezu vizayezu] tatra tatra aBinandinI veditavyA /
   avasthāsarvatragā duḥkhaduḥkhatāditryavastheṣu saṃskāreṣvanuga[ta]tvāt /	avasTA sarvatra gAH duHKa duHKa tA ditryavasTezu saMskArezu anuga[ta]tvAt /
   tatra duḥkhaduḥkhatāvastheṣu prāpteṣu viyogatṛṣṇā, aprāpteṣvasaṃyogatṛṣṇā	tatra duHKa duHKa tA avasTezu prAptezu viyoga tRzNA, aprAptezu asaMyoga tRzNA
   / vipariṇāmaduḥkhatāvastheṣu aviyogatṛṣṇā saṃyogatṛṣṇā ca,	/ vipariNAma duHKa tA avasTezu aviyoga tRzNA saMyoga tRzNA ca,
   prāptāprāptabhedāt / saṃskāraduḥkhatāvastheṣu saṃmohatṛṣṇā,	prApta aprApta BedAt / saMskAra duHKa tA avasTezu saMmoha tRzNA,
   kleśadauṣṭhulyaprabhāvitatvādaduḥkhāsukhavedanāprabhāvitatvācca /	kleSa dOzWulya praBAvita tvAt aduHKa asuKa vedanA praBAvita tvAt ca /
   ālayavijñānaṃ viśeṣeṇa saṃskāraduḥkhatāvasthaṃ tatra cātmasaṃmohasukhena	AlayavijQAnam viSezeNa saMskAra duHKa tA avasTam tatra ca Atma saMmoha suKena
   tṛṣṇā pravṛttā veditavyā / adhvasarvatragā triṣvapyadhvasvanugatatvāt /	tRzNA pravRttA veditavyA / aDva sarvatra gA trizu api aDvasu anugata tvAt /
   atīte tāvadadhvanyapekṣākāreṇānugatā, anāgate abhinandanākāreṇa,	atIte tAvat aDvani apekzA AkAreNa anugatA, anAgate aBinandana AkAreNa,
   pratyutpanne adhyavasānākāreṇa / dhātusarvatrikā	pratyutpanne aDyavasAna AkAreNa / DAtusarva trikA
   traidhātukaspharaṇātkāmarūpārūpyatṛṣṇābhiḥ / eṣaṇāsarvatrikā tayā	trEDAtuka sParaNAt kAmarUpA rUpya tRzNABiH / ezaNA sarva trikA tayA
   kāmabhavamithyābrahmacaryaiṣaṇāt / kāmaiṣaṇayā	kAma Bava miTyA brahmacarya ezaNAt / kAma ezaNayA
   kāmadhātoraparimucyamānastatraiva duḥkhaṃ nirvartayati / tathā	kAmaDAtoH aparimucyamAnaH tatra eva duHKam nirvartayati / taTA
   bhavaiṣaṇayā rūpārūpyadhātvoḥ dukhaṃ nirvartayati /	Bava ezaNayA rUpArUpya DAtvoH duKam nirvartayati /
   mithyābrahmacaryaiṣaṇayā saṃsārādaparimucyamānastatra saṃsaratīti /	miTyA brahmacarya ezaNayA saMsArAt aparimucyamAnaH tatra saMsarati iti /
   prakārasarvatrikā śāśvatocchedaprakārānugatatvādbhavavibhava tṛṣṇābhyām //	prakAra sarva trikA SASvata ucCeda prakAra anugata tvAt Bava viBava tRzNAByAm //
   dṛṣṭeḥ prañcākāro bhedaḥ   satkāyadṛṣṭirantagrāhadṛṣṭimithyādṛṣṭiḥ	dRzweH praQcAkAraH BedaH  sat kAya dRzwiH anta grAha dRzwi miTyA dRzwiH
   dṛṣṭiparāmarśaḥ śīlavrataparāmarśa iti //	dRzwi parAmarSaH SIla vrata parAmarSaH iti //
   (Abhidh s bh 56)	(a aBiD s B 56)
   apraśāntalakṣaṇatā kleśānāṃ sāmānyalakṣaṇaṃ veditavyam / sā punaḥ ṣaḍākārā	apraSAnta lakzaNa tA kleSAnAm sAmAnya lakzaNam veditavyam / sA punar zaz AkArA
