   abhidharmadīpaḥ	aBiDarma dIpaH
   aduḥkhāsukhavedanīyaṃ ca |" tatra	aduHKa asuKa vedanIyam ca |" tatra
   sukhavedyaṃ śubhaṃ karma dhyānādarvākturīyakāt /	suKa vedyam SuBam karma DyAnAt arvAk turIyakAt /
   upekṣāvedyamanyatra duḥkhavedyantu pāpakam // Abhidh d_176 //	upekzA vedyam anyatra duHKa vedyantu pApakam // ABiD t _176 //
   tatra śubhaṃ karma yāvattṛtīye dhyāne sukhavedyamityucyate | etāvatī khalu	tatra SuBam karma yAvat tRtIye DyAne suKa vedyam iti ucyate | etAvatI Kalu
   bhūmiḥ sukhāyā vedanāyāḥ | tadeva	BUmiH suKAyAH vedanAyAH | tat eva
   caturthadhyānātprabhṛtyupekṣāvedanīyamityucyate | akuśalaṃ tu karma	caturTa DyAnAt praBRti upekzA vedanIyam iti ucyate | akuSalam tu karma
   duḥkhavedanīyamityucyate |	duHKa vedanIyam iti ucyate |
   kiṃ punarvedanaiva vipākaḥ ? netyāha | prādhāniko 'yaṃ rnirdeśaḥ |	kim punar vedanA eva vipAkaH ? na iti Aha | prADAnikaH ayam rnirdeSaH |
   sacatuskandhasambhāraṃ hi sukhamabhipretam | dārṣṭāntikānāṃ tu sukhaiva	sa catu skanDa samBAram hi suKam aBipretam | dArzwa antikAnAm tu suKa eva
   vedanā vipākaḥ cetanaiva ca karma | ābhidhārmikānāṃ tu pañcaskandho	vedanA vipAkaH cetanA eva ca karma | ABiDArmikAnAm tu paQca skanDaH 
   vipākahetuḥ pañcaskandhāśca vipāka iti |	vipAka hetuH paQca skanDAH ca vipAkaH iti |
   kathaṃ punaravedanāsvabhāvaṃ karma sukhavedanīyamityucyate ? sukhāyā	kaTam punar avedanA svaBAvam karma suKa vedanIyam iti ucyate ? suKAyAH 
   vedanāyā hitaṃ sukhavedanīyam | sukhāsyā vedanīyo vipāka iti vā |	vedanAyAH hitam suKa vedanIyam | suKa AsyA vedanIyaH vipAkaH iti vA |
   kiṃ punaraduḥkhāsukhā vedanā caturthadhyānādadho na vidyate ? na khalu na	kim punar aduHKa asuKA vedanA caturTa DyAnAt aDas na vidyate ? na Kalu na
   vidyate | kiṃ tarhi?	vidyate | kim tarhi?
   adho 'pi madhyamaṃ karma dhyānenāntyepi nirvṛteḥ /	aDas api maDyamam karma DyAnena antyepi nirvRteH /
   yugapattrivipākeṣṭerdhyānāntaravipākataḥ // Abhidh d_177 //	yugapad tri vipAka izweH DyAna antara vipAkataH // ABiD t _177 //
   (Jaini_140)	(JEni_140)
   aduḥkhāsukhavedanīyaṃ khalu karma caturthadhyānādadho 'pyasti tṛtīye	aduHKa asuKa vedanIyam Kalu karma caturTa DyAnAt aDas api asti tRtIye
   dvitīye prathame ca dhyāne | parinirvṛte upekṣāyāṃ ca sthitaḥ parinirvāti	dvitIye praTame ca DyAne | parinirvRte upekzAyAm ca sTitaH parinirvAti
   | kiñca, 'yugapat trivipākeṣṭeḥ |'; uktaṃ hi  "syāt trayāṇāṃ	| kiQca, ayugapad tri vipAka izweH | a; uktam hi "syAt trayANAm
   karmaṇāmapūrvācaramo vipāko vipacyeta | syātsukhavedanīyasya rūpaṃ,	karmaNAm apUrvAcaramaH vipAkaH vipacyeta | syAt suKa vedanIyasya rUpaM,
   duḥkhavedanīyasya cittacaitasikā dharmāḥ, aduḥkhāsukhavedanīyasya	duHKa vedanIyasya citta cEtasikAH DarmAH, aduHKa asuKa vedanIyasya
   cittaviprayuktāḥ" iti | ato 'pyastyadhastādaduḥkhāsukhavedanīyaṃ karma |	citta viprayuktAH" iti | atas api asti aDastAt aduHKa asuKa vedanIyam karma |
   kiñca, 'dhyānāntaravipākataḥ |'; nahi dhyānāntare upekṣāmantareṇa vipāko	kiQca, aDyAna antara vipAkataH | a; na hi DyAna antare upekzAm antareNa vipAkaH 
   'nyā vedanā vipacyate | tatra sukhaduḥkhayorabhāvāt ||	anyA vedanA vipacyate | tatra suKa duHKayoH aBAvAt ||
   punaścaturvidhaṃ karma dṛṣṭavedyādibhedataḥ /	punar caturviDam karma dRzwa vedya Adi BedataH /
   (Jaini_141)	(JEni_141)
   tadetatkarma samāsato dvividhaṃ, niyatavedanīyamaniyatavedanīyaṃ ca |	tat etat karma samAsatas dviviDaM, niyata vedanIyam aniyata vedanIyam ca |
   tatra niyatavedanīyaṃ trividham |	tatra niyata vedanIyam triviDam |
   dṛṣṭadharmavedanīyamupapadyavedanīyamaparaparyāyavedanīyaṃ ca  ityetat	dRzwa Darma vedanIyam upapadya vedanIyam apara paryAya vedanIyam ca iti etat 
   trividhaṃ karma niyatavedanīyam | caturthamaniyatavedanīyam |	triviDam karma niyata vedanIyam | caturTam aniyata vedanIyam |
   tatra dṛṣṭadharmavedanīyaṃ yatraiva janmani kṛtaṃ tatraiva vipacyate |	tatra dRzwa Darma vedanIyam yatra eva janmani kRtam tatra eva vipacyate |
   upapadyavedanīyaṃ yad dvitīye janmani | aparaparyāyavedanīyaṃ tasmātpareṇa	upapadya vedanIyam yat dvitIye janmani | apara paryAya vedanIyam tasmAt pareNa
   ataḥ punaścaturvidhātkarmaṇaḥ katamena janmākṣipyate?	atas punar caturviDAt karmaNaH katamena janma Akzipyate?
   janmanastribhirākṣepo dṛṣṭadharmāhvayādṛte // Abhidh d_178 //	janmanaH triBiH AkzepaH dRzwa Darma AhvayAt Rte // ABiD t _178 //
   na khalu dṛṣṭadharmavedanīyena karmaṇā nikāyasabhāga ākṣipyate ||	na Kalu dRzwa Darma vedanIyena karmaNA nikAya sa BAgaH Akzipyate ||
   atha kasmindhātau kasyāṃ vāṃ gatau katividhaṃ karmākṣipyate ?	aTa kasmin DAtO kasyAm vAm gatO kativiDam karma Akzipyate ?
   caturṇāmapi cākṣepaḥ sarvatra narakādṛte /	caturNAm api ca AkzepaH sarvatra narakAt Rte /
   na tatreṣṭaphalābhāvācchubhaṃ yasmādvipacyate // Abhidh d_179 //	na tatra izwa Pala aBAvAt SuBam yasmAt vipacyate // ABiD t _179 //
   sarveṣu khalu triṣu dhātuṣu sarvāsu ca pañcasu gatiṣu caturṇāmapi	sarvezu Kalu trizu DAtuzu sarvAsu ca paQcasu gatizu caturNAm api
   karmaṇāmākṣepaḥ kuśalānāmakuśalānāṃ ca | narakānvarjayitvā | narakeṣu hi	karmaNAm AkzepaH kuSalAnAm akuSalAnAm ca | narakAn varjayitvA | narakezu hi
   dṛṣṭadharmavedanīyaṃ kuśalaṃ nākṣipyate | tatreṣṭavipākābhāvādanyat	dRzwa Darma vedanIyam kuSalam na Akzipyate | tatra izwa vipAkA BAvAt anyat 
   trividhamākṣipyate | kiñca,	triviDam Akzipyate | kiQca,
   (Jaini_142)	(JEni_142)
   notpadyavedyakṛttatra yadviraktaḥ pṛthagjanaḥ /	na utpadya vedya kRt tatra yat viraktaH pRTagjanaH /
   sthiro nāparakṛccāryaścalo 'pi bhavamūlayoḥ // Abhidh d_180 //	sTiraH na apara kRt cAryaH calaH api Bava mUlayoH // ABiD t _180 //
   yataḥ khalu bhūmerviraktaḥ pṛthagjanaḥ sa ca sthiro bhavatyaparihāṇadharmā	yatas Kalu BUmeH viraktaH pRTagjanaH sa ca sTiraH Bavati aparihANa DarmA
   sa tatropapadyavedyaṃ karma nākṣipati | trividhamanyatkaroti |	sa tatra upapadya vedyam karma na Akzipati | triviDam anyat karoti |
   āryapudgalastu vītarāgo na ca parihāṇadharmā	Arya pudgalaH tu vIta rAgaH na ca parihANa DarmA
   tatropapadyavedyamaparaparyāyavedanīyaṃ ca karma na karoti | na hyasau	tatra upapadya vedyam apara paryAya vedanIyam ca karma na karoti | na hi asO
   bhavyaḥ punaradharimaṃ bhūmimāyātum | aniyataṃ tu kuryād	BavyaH punar aDarimam BUmim AyAtum | aniyatam tu kuryAt 
   dṛṣṭadharmavedanīyaṃ yatropapannaḥ kāmadhātau bhavāgre ca |	dRzwa Darma vedanIyam yatra upapannaH kAmaDAtO Bava agre ca |
   parihāṇadharmāpi tvāryaḥ kāmadhātau vītarāgaḥ, bhavāgrādvā,	parihANa DarmA api tu AryaH kAmaDAtO vIta rAgaH, Bava agrAt vA,
   tayorupapadyāparaparyāyavedanīyaṃ karmābhavyaḥ kartum | kiṃ kāraṇam ?	tayoH upapadya apara paryAya vedanIyam karma aBavyaH kartum | kim kAraNam ?
   phalāddhyasau parihīṇo bhavati | na cāsti phalaparihīṇasya kālakriyeti |	PalAt hi asO parihINaH Bavati | na ca asti Pala parihINasya kAla kriyA iti |
   atha kimantarābhavikaḥ karmākṣipati nākṣipati ? ākṣipatītyāha |	aTa kim antarABavikaH karma Akzipati na Akzipati ? Akzipati iti Aha |
   (Jaini_143) tatra kāmāvacaro 'ntarābhavaḥ dvāviṃśatividhaṃ karmākṣipati |	(JEni_143) tatra kAma avacaraH antarABavaH dvAviMSativiDam karma Akzipati |
   pañca garbhāvasthāḥ kalalārbudaghanapeśīpraśākhāvasthāḥ | pañca	paQca garBa avasTAH kalala arbuda Gana peSI praSAKA avasTAH | paQca
   jātāvasthāḥ | bālyakaumārayuvamadhyamasthavirāvasthāḥ | tā etā	jAta avasTAH | bAlya kOmAra yuva maDyama sTavirAva sTAH | tAH etA
   niyatāniyatabhedena viṃśatirākṣipyante, ekanikāyatvāt | ata	niyata aniyata Bedena viMSatiH Akzipyante, eka nikAya tvAt | ata
   evāntarābhavavedanīyaṃ karma noktam | upapadyavedanīyenaiva tasyākṣepāt ||	eva antarA aBava vedanIyam karma na uktam | upapadya vedanIyena eva tasya AkzepAt ||
   kīdṛśaṃ punaḥ karma niyataṃ bhavatyaniyataṃ vā ?	kIdRSam punar karma niyatam Bavati aniyatam vA ?
   yadārtraraudracittena karmābhīkṣṇaṃ niṣevyate /	yadA Artra rOdra cittena karma aBIkzNam nizevyate /
   satkṣetre kriyate yacca phalaṃ tasya niyamyate // Abhidh d_181 //	sat kzetre kriyate yat ca Palam tasya niyamyate // ABiD t _181 //
   yadi karma raudreṇa tīvrakleśānugatena cittena kṛtaṃ bhavati, yacca	yadi karma rOdreNa tIvra kleSa anugatena cittena kRtam Bavati, yat ca
   ghanaśraddhāsalilābhyukṣitena kriyate, yacca mṛdvapyabhīkṣṇaṃ niṣevyate,	Gana SradDA salila aByukzitena kriyate, yat ca mRdu api aBIkzNam nizevyate,
   yacca kiñcidguṇavati kṣetre kriyate śubhamaśubhaṃ vā phalaṃ tasya karmaṇo	yat ca kiQcid guNavati kzetre kriyate SuBam aSuBam vA Palam tasya karmaNaH 
   niyamyate ||	niyamyate ||
   atha dṛṣṭadharmavedanīyaṃ karma kīdṛśamityucyate 	aTa dRzwa Darma vedanIyam karma kIdRSam iti ucyate 
   kṣetrāśayaviśeṣācca phalaṃ sadyo vipacyate /	kzetra ASaya viSezAt ca Palam sadyas vipacyate /
   nirodhavyutthitādau ca sadyaḥ kālaphalakriyā // Abhidh d_182 //	niroDa vyutTita AdO ca sadyas kAlaPala kriyA // ABiD t _182 //
   tatra kṣetraviśeṣādyathā da(?) kṣajātakādiṣu | āśayaviśeṣādyathā	tatra kzetra viSezAt yaTA da(?) kzajAtaka Adizu | ASaya viSezAt yaTA
   bakalāta(?) syokṣanirmocanādiṣu |	baka lAta(?) syokza nirmocana Adizu |
   (Jaini_144)	(JEni_144)
   kīdṛśe punastat kṣetre viśiṣṭaṃ bhavati yatra dṛṣṭe dharme vipāko	kIdRSe punar tat kzetre viSizwam Bavati yatra dRzwe Darme vipAkaH 
   vipacyate ? buddhapramukhastāvadbhikṣusaṃgho | 'nirodhavyutthitādau ca	vipacyate ? budDa pramuKaH tAvat Bikzu saMGaH | aniroDa vyutTita AdO ca
   sadyaḥ kālaphalakriyā |'; pañcasu ca pudgaleṣu kṛtaṃ nirodhasamāpattya	sadyas kAla Pala kriyA |a; paQcasu ca pudgalezu kRtam niroDa samApattya
   raṇāmaitrīdarśanamārgādarhatphalādvyutthiteṣu kārāpakārā	raNA mEtrI darSana mArgAt arhat PalAt vyutTitezu kAra apakArA
   dṛṣṭadharmavedanīyaphalā bhavanti | nirodhasamāpatteḥ khalu vyutthitaḥ	dRzwa Darma vedanIya PalAH Bavanti | niroDa samApatteH Kalu vyutTitaH
   parāṃ śāntiṃ labhate | nirvāṇasadṛśadharmānubhavanāt |	parAm SAntim laBate | nirvANa sadRSa Darma anuBavanAt |
   araṇāvyutthitasyāpyapramāṇasattvahitādhyāśayapravṛttā santatirvartate |	araNa avyutTitasya api apramANa sattva hita aDyASaya pravRttA santatiH vartate |
   evaṃ maitrīvyutthitasya | strautaāpannasyāpi nirmalajñānalābhāt | arhato	evam mEtrI vyutTitasya | strOtaApannasya api nirmala jQAna lABAt | arhataH 
   'pi sarvakleśaprahāṇānnirmalā vartante ||	api sarva kleSa prahANAn nirmalAH vartante ||
   niyatavipākasya ca karmaṇaḥ śubhāśubhasya yā	niyata vipAkasya ca karmaNaH SuBa aSuBasya yA
   bhūmistadatyantavairāgyāttatkarma dṛṣṭe dharme vipacyata ityataḥ	BUmiH tad atyanta vErAgyAt tat karma dRzwe Darme vipacyate iti atas 
   tadbhūmyapunarutpatteḥ	tad BUmi apunarutpatteH
   dṛṣṭadharmavedanīyaṃ saṃgṛhītaṃ bhavati | kīdṛśaṃ punaretatkarma ?	dRzwa Darma vedanIyam saMgRhItam Bavati | kIdRSam punar etat karma ?
   vipākaniyataṃ ca yat /	vipAka niyatam ca yat /
   taccaitatkarma vipākaniyataṃ draṣṭavyam |	tat ca etat karma vipAka niyatam drazwavyam |
   tacca dṛṣṭaphalaṃ vidyāt	tat ca dRzwa Palam vidyAt 
   dṛṣṭe dharme khalu tasya vipāko vipacyate | kataratpunaretat ?	dRzwe Darme Kalu tasya vipAkaH vipacyate | katarat punar etat ?
   karmādaḥ paripūrakam // Abhidh d_183 //	karma AdaH paripUrakam // ABiD t _183 //
   nākṣepakamiti ||	na Akzepakam iti ||
   vipākaḥ khalu vedanāpradhāna ityata idaṃ vicāryate |	vipAkaH Kalu vedanA praDAnaH iti atas idam vicAryate |
   syātkarmaṇaścaitasikyeva vedanā vipāko na kāyikī ? syātkāyikyeva na	syAt karmaNaH cEtasikI A iva vedanA vipAkaH na kAyikI ? syAt kAyikI A iva na
   caitasikī syādityāha 	cEtasikI syAt iti Aha 
   (Jaini_145)	(JEni_145)
   kuśalasyāvicārasya caitasikyeva vedanā /	kuSalasya avicArasya cEtasikI A iva vedanA /
   vipākaḥ kāyikī tviṣṭā duḥkhavedyasya karmaṇaḥ // Abhidh d_184 //	vipAkaH kAyikI tu izwAH duHKa vedyasya karmaNaH // ABiD t _184 //
   kuśalaṃ khalvavicāraṃ karma dhyānāntarātprabhṛti yāvadbhavāgram |	kuSalam Kalu avicAram karma DyAna antarAt praBRti yAvat Bava agram |
   tasyāvicārasya kuśalasya karmaṇaścaitasikyeva vedanā vipākaḥ | kasmānna	tasya avicArasya kuSalasya karmaNaH cEtasikyA iva vedanA vipAkaH | kasmAt na
   kāyikī ? tasyāḥ avaśyaṃ savitarkavicāratvāt | kāyikyeva tvaśubhasya	kAyikI ? tasyAH avaSyam sa vitarka vicAra tvAt | kAyikI eva tu aSuBasya
   duḥkhavedanāyasya kāyikyeva vedanā vipākaḥ | kasmānna caitasikī ?	duHKa vedanAyasya kAyikI eva vedanA vipAkaH | kasmAt na cEtasikI ?
   caitasikaṃ hi daurmanasyaṃ na vipākaḥ |	cEtasikam hi dOrmanasyam na vipAkaH |
   yattarhi karmavaśātsattvānāṃ cittakṣepaḥ tatsaṃprayuktā vedanā kathaṃ na	yat tarhi karma vaSAt sattvAnAm citta kzepaH tad saMprayuktA vedanA kaTam na
   vipākaḥ ? na hi tatra cittaṃ karmaṇo vipākaḥ | kiṃ tarhi ? yo mahābhūtātāṃ	vipAkaH ? na hi tatra cittam karmaNaH vipAkaH | kim tarhi ? yaH mahABUtAtAm
   prakopaḥ sa vipākaḥ | tatastajjātaṃ cittaṃ vipākaśabdenopacaryate ||	prakopaH sa vipAkaH | tatas tad jAtam cittam vipAka Sabdena upacaryate ||
   punaścaturvidhaṃ karmoktam  "asti karma kṛṣṇaṃ kṛṣṇavipākam | asti śuklaṃ	punar caturviDam karma uktam "asti karma kRzNam kRzNa vipAkam | asti Suklam
   śuklavipākam | asti karma kṛṣṇaśuklaṃ kṛṣṇaśuklavipākam |	Sukla vipAkam | asti karma kRzNa Suklam kRzNa Sukla vipAkam |
   astyakṛṣṇamaśuklamavipākaṃ karma karmakṣayāya saṃvartate'; iti | tatra	asti akRzNam aSu klam avipAkam karma karma kzayAya saMvartate a; iti | tatra
   (Jaini_146)	(JEni_146)
   sapākamaśubhaṃ kṛṣṇaṃ sapākaṃ rūpajaṃ sitam /	sa pAkam aSuBam kRzNam sa pAkam rUpa jam sitam /
   śubhāśubhaṃ dvidhā kāme nirmalaṃ tatprahāṇakṛt // Abhidh d_185 //	SuBa aSuBam dviDA kAme nirmalam tad prahANa kRt // ABiD t _185 //
   aśubhaṃ khalu karma ekāntena kṛṣṇaṃ kliṣṭatvāt | kṛṣṇavipākaṃ	aSuBam Kalu karma ekAntena kRzNam klizwa tvAt | kRzNa vipAkam
   cāmanojñavipākatvāt | rūpāptantu śubhamekāntena śuklam,	cAmanojQa vipAka tvAt | rUpAptantu SuBam ekAntena Suklam,
   akuśalenāvyavakīrṇatvāt | śuklavipākaṃ ca manojñavipākatvāt |	akuSalena avyavakIrNa tvAt | Sukla vipAkam ca manojQa vipAka tvAt |
   ārūpyāptaṃ kasmānnocyate ? yatra hi dvividho 'sti vipākaḥ 	ArUpya Aptam kasmAt na ucyate ? yatra hi dviviDaH asti vipAkaH 
   antarābhavikaścopapattibhavikaśca; trividhasya ca	antarABavikaH ca upapatti BavikaH ca; triviDasya ca
   kāyavāṅmanaskarmaṇastatraivoktamiti |	kAya vAc manaskarmaNaH tatra eva uktam iti |
   "kāmāptaṃ śuklaṃ kuṣṇaśuklamakuśalavyavakīrṇatvāt, kṛṣṇaśuklavipākaṃ	"kAma Aptam Suklam kuzNa Suklam akuSala vyavakIrNa tva at, kRzNa Sukla vipAkam
   vyavakīrṇavipākatvāt |" santānata etadvyavasthāpitaṃ na svabhāvato na	vyavakIrNa vipAka tvAt |" santAnataH etat vyavasTApitam na svaBAvataH na
   hyevaṃjātīyakamevaṃ karmāsti vipāko vā yatkṛṣṇaṃ ca syācchuklaṃ ca,	hi evaMjAtIyakam evam karma asti vipAkaH vA yat kRzNam ca syAt Suklam ca,
   anyonyavirodhāt | nanu caivamakuśalasyāpi karmaṇaḥ	anyonya viroDAt | nanu ca evam akuSalasya api karmaNaH
   kuśalavyavakīrṇatvātkṛṣṇaśuklatvaṃ prāpnoti ? nāvaśyamakuśalaṃ kuśalena	kuSala vyavakIrNa tvAt kRzNa Sukla tvam prApnoti ? na avaSyam akuSalam kuSalena
   vyavakīryate | kāmadhātau tvasya balavatvātkuśalantu vyavakīryate	vyavakIryate | kAmaDAtO tu asya balava tvAt kuSalantu vyavakIryate
   durbalatvāditi |	durbala tvAt iti |
   anāsravaṃ karmaiṣāṃ trayāṇāṃ karmaṇāṃ kṣayāya prahāṇāya saṃvartate |	anAsravam karma ezAm trayANAm karmaNAm kzayAya prahANAya saMvartate |
   taddhyakṛṣṇamakliṣṭatvādaśuklaṃ vipākaśuklatābhāvāt | ābhiprāyiko 'pyeṣa	tat hi akRzNam aklizwa tvAt aSuklam vipAka Sukla tA BAvAt | ABiprAyikaH api eza
   śuklaśabdaḥ | uktaṃ tu bhagavatā mahatyāṃ śūnyatāyāmaśaikṣadharmānārabhya 	Sukla SabdaH | uktam tu BagavatA mahatyAm SUnyatA AyAm aSEkza DarmAn AraBya 
   (Jaini_147) "ime te ānanda, dharmā ekāntaśuklā ekāntānavadyāḥ" iti |	(JEni_147) "ime te Ananda, DarmAH ekAnta SuklAH ekAnta anavadyAH" iti |
   śāstre ca  "śukladharmāḥ katame ? kuśalā dharmā anivṛtāvyākṛtāśca |" iti |	SAstre ca "Sukla DarmAH katame ? kuSalAH DarmAH anivRta avyAkRtAH ca |" iti |
   avipākaṃ dhātvapatitatvāt pravṛttivirodhācca |	avipAkam DAtu apatita tvAt pravRtti viroDAt ca |
   kiṃ punaḥ sarvamanāsravaṃ karma sarvasyāsya trividhasya karmaṇaḥ kṣayāya	kim punar sarvam anAsravam karma sarvasya asya triviDasya karmaNaH kzayAya
   saṃvartate ? netyucyate | kiṃ tarhi ?	saMvartate ? na iti ucyate | kim tarhi ?
   casasro dṛkpathā dṛṣṭau cetanābhāvanāpathāt /	casasraH dRS paTA dRzwO cetanA BAvanA paTAt /
   ānantaryapathāḥ kāme karmaitatkṛṣṇanāśakṛt // Abhidh d_186 //	Anantarya paTAH kAme karma etat kRzNa nASa kRt // ABiD t _186 //
   navame cetanā yā tu sā kṛṣṇākṛṣṇayāghātinī /	navame cetanA yA tu sA kRzNA kRzNayA GAtinI /
   antānantaryamārgasthā dhyāne dhyāne sitasya tu // Abhidh d_187 //	anta Anantarya mArga sTAH DyAne DyAne sitasya tu // ABiD t _187 //
   tatra darśanamārge tāvaccatasṛṣu dharmajñānakṣāntiṣu kāmavairāgye	tatra darSana mArge tAvat catasRzu Darma jQAna kzAntizu kAma vErAgye
   cāṣṭāsvānantaryamārgeṣu yā cetanā dvādaśaprakārā sā kṛṣṇasya karmaṇaḥ	ca azwA su Anantarya mArgezu yA cetanA dvAdaSa prakArA sA kRzNasya karmaNaH
   prahāṇakārī | kāmavairāgyānantaryamārgeṇāvaseyā cetanā sā	prahANa kArI | kAma vErAgya Anantarya mArgeNa avaseyA cetanA sA
   kṛṣṇaśuklakarmakṣayakārī | dhyāne dhyāne tvānantaryamārge paścime yā	kRzNa Sukla karma kzaya kArI | DyAne DyAne tu Anantarya mArge paScime yA
   cetanā caturvidhā sā śuklakarmāpahantrī |	cetanA caturviDA sA Sukla karma apahantrI |
   kiṃ punaḥ kāraṇamantyenaivānantaryamārgeṇa kuśalasya karmaṇaḥ prahāṇaṃ	kim punar kAraNam antyena eva Anantarya mArgeNa kuSalasya karmaNaH prahANam
   nānyena ? na hi tasya svabhāvaprahāṇaṃ prahīṇasyāpi saṃmukhībhāvāt | kiṃ	na anyena ? na hi tasya svaBAva prahANam prahINasya api saMmuKIBAvAt | kim
   tarhi ? tadālambanakleśaprahāṇāt | ato yāvadeko 'pi tadālambanaḥ	tarhi ? tad Alambana kleSa prahANAt | atas yAvat ekaH api tad AlambanaH
   kleśaprakāro (Jaini_148) 'sti tāvadasya prahāṇaṃ nopalabhyate |	kleSa prakAraH (JEni_148) asti tAvat asya prahANam na upalaByate |
   taccaitadasat | prahīṇaṃ hi tat, na tu vihīnam | ataḥ samudācaratīti |	tat ca etat asat | prahINam hi tat, na tu vihInam | atas samudAcarati iti |
   gatametat ||	gatam etat ||
   sūtra uktam  "trīṇi duścaritāni | kāyaduścaritaṃ vāṅmanoduścaritam | evaṃ	sUtre uktam "trINi duScaritAni | kAya duScaritam vAc manaH duScaritam | evam
   sucaritāni" iti | teṣāṃ kaḥ svabhāvaḥ ? tatra tāvat 	su caritAni" iti | tezAm kaH svaBAvaH ? tatra tAvat  
   kāyādyakuśalaṃ karma sarvaṃ duścaritaṃ matam /	kAya Adi akuSalam karma sarvam duScaritam matam /
   sarvamiti sasāmantakamaulapṛṣṭhamityarthaḥ |	sarvam iti sa sAmantaka mOla pRzWam iti arTaH |
   abhidhyādīnyapi trīṇi manoduścaritatrayam // Abhidh d_188 //	aBiDyAdIni api trINi manaH duScarita trayam // ABiD t _188 //
   sarvamevākuśalaṃ kāyakarma kāyaduścaritam | evaṃ vāṅmanoduścaritam |	sarvam eva akuSalam kAya karma kAya duScaritam | evam vAc manaH duScaritam |
   akarmasvabhāvānyapi tvabhidhyādīni manoduścaritasvabhāvāni |	akarma svaBAvAni api tu aBiDi AdIni manaH duScarita svaBAvAni |
   "abhidhyādaya eva karmasvabhāvāni" iti sthitibhāgīyāḥ | tacca na,	"aBiDi AdayaH eva karma svaBAva ani" iti sTiti BAgIyAH | tat ca na,
   karmakleśaikatvadoṣāt | sthitibhāgīyā nāma śākyāḥ sva(śva?)	karma kleSa ekatva dozAt | sTiti BAgIyAH nAma SAkyAH sva(Sva?)
   lāṃgūlikadvitīyanāmānaḥ | te khalvabhidhyādīni manaskarmasvabhāvānīcchanti	lAMgUlika dvitIya nAmAnaH | te Kalu aBiDi AdIni manaskarma svaBAvAni icCanti
   | teṣāṃ (Jaini_149) karmakleśaikatvasaṅkaraḥ prāpnoti | kośakāraḥ  "ko	| tezAm (JEni_149) karma kleSa eka tva saFkaraH prApnoti | koSakAraH "kaH 
   'tra doṣaḥ" ? yadi kaścitkleśaḥ karmāpi syādvāyasaḥ sārasaḥ syāt |	atra dozaH" ? yadi kaScid kleSaH karma api syAt vAyasaH sArasaH syAt |
   karmakleśānāṃ	karma kleSAnAm
   cātyantasvabhāvaprabhāvakriyāphalabhedabhinnānāmekatvaparikalpaiḥ	ca atyanta svaBAva praBAva kriyA Pala Beda BinnAnAm eka tva parikalpEH
   sāṃkhyīyādidarśanamabhyupagataṃ syāt |	sAMKyIya Adi darSanam aByupagatam syAt |
   'api'; śabdātpunaratra sūtroktāstrayo vaṅkāstrayo doṣāstrayaḥ kaṣāyā	aapi a; SabdAt punar atra sUtra uktAH trayaH vaFkAH trayaH dozAH trayaH kazAyA
