   Śaṃkara: Upadeśasāhasrī	ŚaMkara: Upa-deSa-sAhasrI
   guṇānvitāyānugatāya sarvadā pradeyam etat satataṃ mumukṣave //	guNa-anvitAya-anugatAya sarvadA pradeyam etat satatam mumukzave //
   SamUpad_I,16.72 //	SamUpat-_I,16.72 //
   parasya dehe na yathābhimānitā parasya tadvat paramārtham īkṣya ca /	parasya dehe na yaTA-aBimAnitA parasya tadvat parama-arTam Ikzya ca /
   idaṃ hi vijñānam atīva nirmalaṃ saṃprāpya mukto 'tha bhavec ca sarvataḥ //	idam hi vijQAnam atIva nirmalam saMprApya muktaH aTa Bavet ca sarvatas //
   SamUpad_I,16.73 //	SamUpat-_I,16.73 //
   na hīha lābho 'bhyadhiko 'sti kaścana svarūpalābhāt sa ita hi nānyataḥ /	na hi-iha lABaH aByaDikaH asti kaScana svarUpa-lABAt saH ita hi na-anyatas /
   na deyam aindrād api rājyato 'dhikaṃ svarūpalābhaṃ tv aparīkṣya yatnataḥ	na deyam EndrAt api rAjyataH aDikam sva-rUpa-lABam tu aparIkzya yatnatas-
   // SamUpad_I,16.74 //	// SamUpat-_I,16.74 //
   iti pārthivaprakaraṇam // SamUpad_I,16 //	iti pArTiva-prakaraNam // SamUpat-_I,16 //
   ātmā jñeyaḥ paro hy ātmā yasmād anyan na vidyate /	AtmA jQeyaH paraH hi AtmA yasmAt anyat na vidyate /
   sarvajñaḥ sarvadṛk śuddhas tasmai jñeyātmane namaḥ // SamUpad_I,17.1 //	sarvajQaH sarva-dRS SudDaH tasmE jQeya-Atmane namaH // SamUpat-_I,17.1 //
   padavākyapramāṇajñair dīpabhūtaiḥ prakāśitam /	pada-vAkya-pramANa-jQEH dIpa-BUtEH prakASitam /
   brahma vedarahasyaṃ yais tān nityaṃ praṇato 'smy aham // SamUpad_I,17.2 //	brahma veda-rahasyam yEH tAn nityam praNataH asmi aham // SamUpat-_I,17.2 //
   yadvāksūryāṃśusaṃpātapraṇaṣṭadhvāntakalmaṣaḥ /	yat-vAc-sUrya-aMSu-saMpAta-praNazwa-DvAnta-kalmazaH /
   praṇamya tān gurūn vakṣye brahmavidyāviniścayam // SamUpad_I,17.3 //	praNamya tAn gurUn vakzye brahma-vidyA-viniScayam // SamUpat-_I,17.3 //
   ātmalābhāt paro nānyo lābhaḥ kaścana vidyate /	Atma-lABAt paraH na-anyaH lABaH kaScana vidyate /
   yadarthā vedavādāś ca smārtāś cāpi tu yāḥ kriyāḥ // SamUpad_I,4 //	yad-arTAH veda-vAdAH ca smArtAH ca-api tu yAH kriyAH // SamUpat-_I,4 //
   ātmārtho 'pi hi yo lābhaḥ sukhāyeṣṭo viparyayaḥ /	Atma-arTaH api hi yaH lABaH suKAya-izwaH viparyayaH /
   ātmalābhaḥ paraḥ prokto nityatvād brahmavedibhiḥ // SamUpad_I,17.5 //	Atma-lABaH paraH proktaH nitya-tvAt brahma-vediBiH // SamUpat-_I,17.5 //
   svayaṃ labdhasvabhāvatvāl lābhas tasya na cānyataḥ /	svayam labDa-svaBAva-tvAt lABaH tasya na ca-anyatas /
   anyāpekṣas tu yo lābhaḥ so 'nyadṛṣṭisamudbhavaḥ // SamUpad_I,17.6 //	anya-apekzaH tu yaH lABaH saH anya-dRzwi-samudBavaH // SamUpat-_I,17.6 //
   anyadṛṣṭis tv avidyā syāt tannāśo mokṣa ucyate /	anya-dRzwiH tu avidyA syAt tad-nASaH mokzaH ucyate /
   jñānenaiva tu so 'pi syād virodhitvān na karmaṇā // SamUpad_I,17.7 //	jQAnena-eva tu saH api syAt viroDi-tvAt na karmaNA // SamUpat-_I,17.7 //
   karmakāryas tv anityaḥ syād avidyākāmakāraṇaḥ /	karma-kAryaH tu anityaH syAt avidyA-kAma-kAraNaH /
   pramāṇaṃ veda evātra jñānasyādhigame smṛtaḥ // SamUpad_I,17.8 //	pramANam vedaH eva-atra jQAnasya-aDigame smRtaH // SamUpat-_I,17.8 //
   jñānaikārthaparatvāt taṃ vākyam ekaṃ tato viduḥ /	jQAna-eka-arTa-paratvAt tam vAkyam ekam tatas viduH /
   ekatvaṃ hy ātmano jñeyaṃ vākyārthapratipattitaḥ // SamUpad_I,17.9 //	eka-tvam hi AtmanaH jQeyam vAkya-arTa-pratipattitaH // SamUpat-_I,17.9 //
   vācyabhedāt tu tadbhedaḥ kalpyo vācyo 'pi tacchruteḥ /	vAcya-BedAt tu tad-BedaH kalpyaH vAcyaH api tat-SruteH /
   trayaṃ tv etat tataḥ proktaṃ rūpaṃ nāma ca karma ca // SamUpad_I,17.10 //	trayam tu etat tatas proktam rUpam nAma ca karma ca // SamUpat-_I,17.10 //
   asad etat trayaṃ tasmād anyonyena hi kalpitam /	asat etat trayam tasmAt anyonyena hi kalpitam /
   kṛto varṇo yathā śabdāc chruto 'nyatra dhiyā bahiḥ // SamUpad_I,17.11 //	kRtaH varNaH yaTA SabdAt SrutaH anyatra DiyA bahis // SamUpat-_I,17.11 //
   dṛṣṭaṃ cāpi yathā rūpaṃ buddheḥ śabdāya kalpate /	dRzwam ca-api yaTA rUpam budDeH SabdAya kalpate /
   evam etaj jagat sarvaṃ bhrāntibuddhivikalpitam // SamUpad_I,17.12 //	evam etat jagat sarvam BrAnti-budDi-vikalpitam // SamUpat-_I,17.12 //
   asad etat tato yuktaṃ saccinmātraṃ na kalpitam /	asat etat tatas yuktam sat-cit-mAtram na kalpitam /
   vedaś cāpi sa evādyo vedyaś cānyas tu kalpitaḥ // SamUpad_I,17.13 //	vedaH ca-api saH eva-AdyaH vedyaH ca-anyaH tu kalpitaH // SamUpat-_I,17.13 //
   yena vetti sa vedaḥ syāt svapne sarvaṃ tu māyayā /	yena vetti sa vedaH syAt svapne sarvam tu mAyayA /
   yena paśyati tac cakṣuḥ śṛṇoti śrotram ucyate // SamUpad_I,17.14 //	yena paSyati tat cakzuH SRNoti Srotram ucyate // SamUpat-_I,17.14 //
   yena svapnagato vakti sā vāg ghrāṇaṃ tathaiva ca /	yena svapna-gataH vakti sA vAc GrANam taTA-eva ca /
   rasanasparśane caiva manaś cānyat tathendriyam // SamUpad_I,17.15 //	rasana-sparSane ca-eva manaH ca-anyat taTA-indriyam // SamUpat-_I,17.15 //
   kalpyopādhibhir evaitad bhinnaṃ jñānam anekadhā /	kalpya-upADiBiH eva-etat Binnam jQAnam anekaDA /
   ādhibhedād yathā bhedo maṇer ekasya jāyate // SamUpad_I,17.16 //	ADi-BedAt yaTA BedaH maNeH ekasya jAyate // SamUpat-_I,17.16 //
   jāgrataś ca tathā bhedo jñānasyāsya vikalpitaḥ /	jAgrataH ca taTA BedaH jQAnasya-asya vikalpitaH /
   buddhisthaṃ vyākaroty arthaṃ bhrāntyā tṛṣṇodbhavakriyaḥ // SamUpad_I,17.17	budDi-sTam vyAkaroti arTam BrAntyA tRzNA-udBava-kriyaH // SamUpat-_I,17.17
   svapne yadvat prabodhe ca bahiś cāntas tathaiva ca /	svapne yadvat praboDe ca bahis ca-antar taTA-eva ca /
   ālekhyādhyayane yadvat tad anyonyadhiyodbhavam // SamUpad_I,17.18 //	AleKya-aDyayane yadvat tat anyonya-DiyA-udBavam // SamUpat-_I,17.18 //
   yadāyaṃ kalpayed bhedaṃ tatkāmaḥ san yathākratuḥ /	yadA-ayam kalpayet Bedam tad-kAmaH san yaTAkratuH /
   yatkāmas tatkratur bhūtvā kṛtaṃ yat tat prapadyate // SamUpad_I,17.19 //	yad-kAmaH tad-kratuH BUtvA kRtam yat tat prapadyate // SamUpat-_I,17.19 //
   avidyāprabhavaṃ sarvam asat tasmād idaṃ jagat /	avidyA-praBavam sarvam asat tasmAt idam jagat /
   tadvatā dṛśyate yasmāt suṣupte na ca gṛhyate // SamUpad_I,17.20 //	tadvatA dRSyate yasmAt suzupte na ca gRhyate // SamUpat-_I,17.20 //
   vidyāvidye śrutiprokte ekatvānyadhiyau hi naḥ /	vidyA-avidye Sruti-prokte eka-tva-ani-aDiyO hi naH /
   tasmāt sarvaprayatnena śāstre vidyā vidhīyate // SamUpad_I,17.21 //	tasmAt sarva-prayatnena SAstre vidyA viDIyate // SamUpat-_I,17.21 //
   citte hy ādarśavad yasmāc chuddhe vidyā prakāśate /	citte hi AdarSa-vat yasmAt SudDe vidyA prakASate /
   yamair nityaiś ca yajñaiś ca tapobhis tasya śodhanam // SamUpad_I,17.22 //	yamEH nityEH ca yajQEH ca tapoBiH tasya SoDanam // SamUpat-_I,17.22 //
   śārīrāditapaḥ kuryāt tadviśuddhyartham uttamam /	SArIra-Adi-tapaH kuryAt tad-viSudDi-arTam uttamam /
   manaādisamādhānaṃ tattaddehaviśoṣaṇam // SamUpad_I,17.23 //	manaA-Adi-samADAnam tad-tad-deha-viSozaNam // SamUpat-_I,17.23 //
   dṛṣṭaṃ jāgaritaṃ vidyāt smṛtaṃ svapnaṃ tad eva tu /	dRzwam jAgaritam vidyAt smRtam svapnam tat eva tu /
   suṣuptaṃ tadabhavaṃ ca svam ātmānaṃ paraṃ padam // SamUpad_I,17.24 //	suzuptam tat-aBavam ca svam AtmAnam param padam // SamUpat-_I,17.24 //
   suṣuptākhyaṃ tamo 'jñānaṃ bījaṃ svapnaprabodhayoḥ /	suzupta-AKyam tamaH ajQAnam bIjam svapna-praboDayoH /
   svātmabodhapradagdhaṃ syād bījaṃ dagdhaṃ yathābhavam // SamUpad_I,17.25 //	sva-Atma-boDa-pradagDam syAt bIjam dagDam yaTA-aBavam // SamUpat-_I,17.25 //
   tad evaikaṃ tridhā jñeyaṃ māyābījaṃ punaḥ kramāt /	tat eva-ekam triDA jQeyam mAyA-bIjam punar kramAt /
   māyāvy ātmāvikāro 'pi bahudhaiko jalārkavat // SamUpad_I,17.26 //	mAyAvi Atma-avikAraH api bahuDA-ekaH jala-arka-vat // SamUpat-_I,17.26 //
   bījaṃ caikaṃ yathā bhinnaṃ prāṇasvapnādibhis tathā /	bIjam ca-ekam yaTA Binnam prANa-svapna-AdiBiH taTA /
   svapnajāgraccharīreṣu tadvac cātmā jalenduvat // SamUpad_I,17.27 //	svapna-jAgrat-SarIrezu tadvat ca-AtmA jala-indu-vat // SamUpat-_I,17.27 //
   māyāhastinam āruhya māyāvy eko yathā vrajet /	mAyA-hastinam Aruhya mAyAvi ekaH yaTA vrajet /
   āgacchaṃs tadvad evātmā prāṇasvapnādigo 'calaḥ // SamUpad_I,17.28 //	AgacCan tadvat eva-AtmA prANa-svapna-Adi-gaH acalaH // SamUpat-_I,17.28 //
   na hastī na tadārūḍho māyāvy anyo yathā sthitaḥ /	na hastI na tad-ArUXaH mAyAvi anyaH yaTA sTitaH /
   na prāṇādi na taddraṣṭā tathā jño 'nyaḥ sadā dṛśiḥ // SamUpad_I,17.29 //	na prANa-Adi na tat-drazwA taTA jQaH anyaH sadA dRSiH // SamUpat-_I,17.29 //
   abaddhacakṣuṣo nāsti māyā māyāvino 'pi vā /	abadDa-cakzuzaH na-asti mAyA mAyAvinaH api vA /
   baddhākṣasyaiva sā māyāmāyāvy eva tato bhavet // SamUpad_I,17.30 //	badDa-akzasya-eva sA mAyA-mAyAvi eva tatas Bavet // SamUpat-_I,17.30 //
   sākṣād eva sa vijñeyaḥ sākṣād ātmeti ca śruteḥ /	sAkzAt eva sa vijQeyaH sAkzAt AtmA-iti ca SruteH /
   bhidyate hṛdayagranthir na ced ityāditaḥ śruteḥ // SamUpad_I,17.31 //	Bidyate hRdaya-granTiH na ced iti-Aditas SruteH // SamUpat-_I,17.31 //
   aśabdāditvato nāsya grahaṇaṃ cendriyair bhavet /	aSabda-Adi-tvataH na-asya grahaNam ca-indriyEH Bavet /
   sukhādibhyas tathānyatvād buddhyā vāpi kathaṃ bhavet // SamUpad_I,17.32 //	suKa-AdiByaH taTA-anya-tvAt budDyA vA-api kaTam Bavet // SamUpat-_I,17.32 //
   adṛśyo 'pi yathā rāhuś candre bimbaṃ yathāmbhasi /	adRSyaH api yaTA rAhuH candre bimbam yaTA-amBasi /
   sarvago 'pi tathaivātmā buddhāv eva sa gṛhyate // SamUpad_I,17.33 //	sarvagaH api taTA-eva-AtmA budDO eva sa gRhyate // SamUpat-_I,17.33 //
   bhānor bimbaṃ yathā cauṣṇyaṃ jale dṛṣṭaṃ na cāmbhasaḥ /	BAnoH bimbam yaTA ca-OzNyam jale dRzwam na ca-amBasaH /
   buddhau bodho na taddharmas tathaiva syād vidharmataḥ // SamUpad_I,17.34	budDO boDaH na tad-DarmaH taTA-eva syAt viDarmataH // SamUpat-_I,17.34
   cakṣuryuktā dhiyo vṛttir yā tāṃ paśyann aluptadṛk /	cakzuH-yuktA DiyaH vRttiH yA tAm paSyan alupta-dRS /
   dṛṣṭer draṣṭā bhaved ātmā śruteḥ śrotā tathā śruteḥ // SamUpad_I,17.35 //	dRzweH drazwA Bavet AtmA SruteH SrotA taTA SruteH // SamUpat-_I,17.35 //
   kevalāṃ manaso vṛttiṃ paśyan mantā mater ajaḥ /	kevalAm manasaH vRttim paSyan mantA mateH ajaH /
   vijñātāluptaśaktitvāt tathā śāstraṃ na hīty ataḥ // SamUpad_I,17.36 //	vijQAta-Alupta-Sakti-tvAt taTA SAstram na hi-iti atas // SamUpat-_I,17.36 //
   dhyāyatīty avikāritvaṃ tathā lelāyatīty api /	DyAyati-iti avikAri-tvam taTA lelAyati-iti api /
   atra steneti śuddhatvaṃ tathānanvāgataṃ śruteḥ // SamUpad_I,17.37 //	atra stena-iti SudDa-tvam taTA-ananvAgatam SruteH // SamUpat-_I,17.37 //
   śaktyalopāt suṣupte jñas tathā bodhe 'vikārataḥ /	Sakti-alopAt suzupte jQaH taTA boDe avikArataH /
   jñeyasyaiva viśeṣas tu yatra veti śruter mataḥ // SamUpad_I,17.38 //	jQeyasya-eva viSezaH tu yatra vA-iti SruteH mataH // SamUpat-_I,17.38 //
   vyavadhānād dhi pārokṣyaṃ lokadṛṣṭer anātmanaḥ /	vyavaDAnAt Di pArokzyam loka-dRzweH anAtmanaH /
   dṛṣṭer ātmasvarūpatvāt pratyakṣaṃ brahma tat smṛtam // SamUpad_I,17.39 //	dRzweH Atma-svarUpa-tvAt pratyakzam brahma tat smRtam // SamUpat-_I,17.39 //
   na hi dīpāntarāpekṣā yadvad dīpaprakāśane /	na hi dIpa-antara-apekzA yadvat dIpa-prakASane /
   bodhasyātmasvarūpatvān na bodho 'nyas tatheṣyate // SamUpad_I,17.40 //	boDasi-a-Atma-svarUpa-tvAt na boDaH anyaH taTA-izyate // SamUpat-_I,17.40 //
   viṣayatvaṃ vikāritvaṃ nānātvaṃ vā na hīṣyate /	vizaya-tvam vikAri-tvam nAnAtvam vA na hi-izyate /
   na heyo nāpy upādeya ātmā nānyena vā tataḥ // SamUpad_I,17.41 //	na heyaH na-api upAdeyaH AtmA na-anyena vA tatas // SamUpat-_I,17.41 //
   sabāhyābhyantaro 'jīrṇo janmamṛtyujarātigaḥ /	sa-bAhya-aByantaraH ajIrNaH janma-mRtyu-jarA-atigaH /
   aham ātmeti yo vetti kuto nv eva bibheti saḥ // SamUpad_I,17.42 //	aham AtmA-iti yaH vetti kutas nu eva biBeti saH // SamUpat-_I,17.42 //
   prāg evaitadvidheḥ karma varṇitvāder apohanāt /	prAk eva-etat-viDeH karma varNi-tva-AdeH apohanAt /
   tad asthūlādiśāstrebhyas tat tvam eveti niścayāt // SamUpad_I,17.43 //	tat asTUla-Adi-SAstreByaH tat tvam eva-iti niScayAt // SamUpat-_I,17.43 //
   pūrvadehaparityāge jātyādīnāṃ prahāṇataḥ /	pUrva-deha-parityAge jAti-AdInAm prahANataH /
   dehasyaiva tu jātyādis tasyāpy evaṃ hy anātmatā // SamUpad_I,17.44 //	dehasya-eva tu jAti-AdiH tasya-api evam hi anAtma-tA // SamUpat-_I,17.44 //
   mamāhaṃ cety ato 'vidyā śarīrādiṣv anātmasu /	mama-aham ca-iti atas avidyA SarIra-Adizu anAtmasu /
   ātmajñānena heyā syād asurāṇām iti śruteḥ // SamUpad_I,17.45 //	Atma-jQAnena heyA syAt asurANAm iti SruteH // SamUpat-_I,17.45 //
   daśāhāśaucakāryāṇāṃ pārivrājye nivartanam /	daSa-aha-aSOca-kAryANAm pArivrAjye nivartanam /
   yathā jñānasya saṃprāptau tadvaj jātyādikarmaṇām // SamUpad_I,17.46 //	yaTA jQAnasya saMprAptO tadvat jAti-Adi-karmaNAm // SamUpat-_I,17.46 //
   yatkāmas tatkratur bhūtvā kṛtaṃ tv ajñaḥ prapadyate /	yad-kAmaH tad-kratuH BUtvA kRtam tu ajQaH prapadyate /
   yadā svātmadṛśaḥ kāmāḥ pramucyante 'mṛtas tadā // SamUpad_I,17.47 //	yadA sva-Atma-dRSaH kAmAH pramucyante amRtaH tadA // SamUpat-_I,17.47 //
   ātmarūpavidheḥ kāryaṃ kriyādibhyo nivartanam /	Atma-rUpa-viDeH kAryam kriyA-AdiByaH nivartanam /
   na sādhyaṃ sādhanaṃ vātmā nityatṛptaḥ śruter mataḥ // SamUpad_I,17.48 //	na sADyam sADanam vA-AtmA nitya-tRptaH SruteH mataH // SamUpat-_I,17.48 //
   utpādyāpyavikāryāṇi saṃskāryaṃ ca kriyāphalam /	utpAdya-api-avikAryANi saMskAryam ca kriyA-Palam /
   nāto 'nyat karmaṇaḥ kāryaṃ tyajet tasmāt sasādhanam // SamUpad_I,17.49 //	na-atas anyat karmaNaH kAryam tyajet tasmAt sa-sADanam // SamUpat-_I,17.49 //
   tāpāntatvād anityatvād ātmārthatvāc ca yā bahiḥ /	tApa-anta-tvAt anitya-tvAt Atma-arTa-tvAt ca yA bahis /
   saṃhṛtyātmani tāṃ prītiṃ satyārthī gurum āśrayet // SamUpad_I,17.50 //	saMhRtya-Atmani tAm prItim satya-arTI gurum ASrayet // SamUpat-_I,17.50 //
   śāntaṃ prājñaṃ tathā muktaṃ niṣkriyaṃ brahmaṇi sthitam /	SAntam prAjQam taTA muktam nizkriyam brahmaNi sTitam /
   śruter ācāryavān veda tad viddhīti smṛtes tathā // SamUpad_I,17.51 //	SruteH AcAryavAn veda tat vidDi-iti smRteH taTA // SamUpat-_I,17.51 //
   sa gurus tārayed yuktaṃ śiṣyaṃ śiṣyaguṇānvitam /	sa guruH tArayet yuktam Sizyam Sizya-guNa-anvitam /
   brahmavidyāplavenāśu svāntadhvāntamahodadhim // SamUpad_I,17.52 //	brahma-vidyA-plavena-ASu sva-anta-DvAnta-mahA-udaDim // SamUpat-_I,17.52 //
   dṛṣṭiḥ spṛṣṭiḥ śrutir ghrātir matir vijñātir eva ca /	dRzwiH spRzwiH SrutiH GrAtiH matiH vijQAtiH eva ca /
   śaktayo 'nyāś ca bhidyante cidrūpatve 'py upādhibhiḥ // SamUpad_I,17.53 //	SaktayaH anyAH ca Bidyante cit-rUpa-tve api upADiBiH // SamUpat-_I,17.53 //
   apāyodbhūtihīnābhir nityaṃ dīpyan ravir yathā /	apAya-udBUti-hInABiH nityam dIpyan raviH yaTA /
   sarvagaḥ sarvadṛk śuddhaḥ sarvaṃ jānāti sarvadā // SamUpad_I,17.54 //	sarvagaH sarva-dRS SudDaH sarvam jAnAti sarvadA // SamUpat-_I,17.54 //
   anyadṛṣṭiḥ śarīrasthas tāvanmātro hy avidyayā /	anya-dRzwiH SarIra-sTaH tAvanmAtraH hi avidyayA /
   jalendvādyupamābhis tu taddharmā ca vibhāvyate // SamUpad_I,17.55 //	jala-indu-Adi-upamABiH tu tat-DarmA ca viBAvyate // SamUpat-_I,17.55 //
   dṛṣṭvā bāhyaṃ nimīlyātha smṛtvā tat pravihāya ca /	dRzwvA bAhyam nimIlya-aTa smRtvA tat pravihAya ca /
   athonmīlyātmano dṛṣṭiṃ brahma prāpnoty anadhvagaḥ // SamUpad_I,17.56 //	aTa-unmIlya-AtmanaH dRzwim brahma prApnoti anaDvagaH // SamUpat-_I,17.56 //
   prāṇādy evaṃ trikaṃ hitvā tīrṇo 'jñānamahodadhim /	prANa-Adi evam trikam hitvA tIrNaH ajQAna-mahA-udaDim /
   svātmastho nirguṇaḥ śuddho buddho muktaḥ svato hi saḥ // SamUpad_I,17.57	sva-Atma-sTaH nirguNaH SudDaH budDaH muktaH svatas hi saH // SamUpat-_I,17.57
   ajo 'haṃ cāmaro 'mṛtyur ajaro 'bhaya eva ca /	ajaH aham ca-amaraH amRtyuH ajaraH aBayaH eva ca /
   sarvajñaḥ sarvadṛk śuddha iti buddho na jāyate // SamUpad_I,17.58 //	sarvajQaH sarva-dRS SudDaH iti budDaH na jAyate // SamUpat-_I,17.58 //
   pūrvoktaṃ yat tamobījaṃ tan nāstīti viniścayaḥ /	pUrva-uktam yat tamaH-bIjam tat na-asti-iti viniScayaH /
   tadabhāve kuto janma brahmaikatvaṃ vijānataḥ // SamUpad_I,17.59 //	tad-aBAve kutas janma brahma-eka-tvam vijAnataH // SamUpat-_I,17.59 //
   kṣīrāt sarpir yathoddhṛtya kṣiptaṃ tasmin na pūrvavat /	kzIrAt sarpiH yaTA-udDRtya kziptam tasmin na pUrvavat /
   buddhyāder jñas tathāsatyān na dehī pūrvavad bhavet // SamUpad_I,17.60 //	budDi-AdeH jQaH taTA-asatyAt na dehI pUrvavat Bavet // SamUpat-_I,17.60 //
   satyaṃ jñānam anantaṃ ca rasādeḥ pañcakāt param /	satyam jQAnam anantam ca rasa-AdeH paQcakAt param /
   syām adṛśyādiśāstroktam ahaṃ brahmeti nirbhayaḥ // SamUpad_I,17.61 //	syAm adRSya-Adi-SAstra-uktam aham brahma-iti nirBayaH // SamUpat-_I,17.61 //
   yasmād bhītāḥ pravartante vāṅmanaḥpāvakādayaḥ /	yasmAt BItAH pravartante vAc-manaH-pAvaka-AdayaH /
   tadātmānandatattvajño na bibheti kutaścana // SamUpad_I,17.62 //	tad-A-Atma-Ananda-tattva-jQaH na biBeti kutaScana // SamUpat-_I,17.62 //
   nāmādibhyaḥ pare bhūmni svārājye cet sthito 'dvaye /	nAma-AdiByaH pare BUmni svArAjye ced sTitaH advaye /
   praṇamet kaṃ tadātmajño na kāryaṃ karmaṇā tadā // SamUpad_I,17.63 //	praNamet kam tadAtma-jQaH na kAryam karmaNA tadA // SamUpat-_I,17.63 //
   virāḍ vaiśvānaro bāhyaḥ smarann antaḥ prajāpatiḥ /	virAj vESvAnaraH bAhyaH smaran antar prajApatiH /
   pravilīne tu sarvasmin prājño 'vyākṛtam ucyate // SamUpad_I,17.64 //	pravilIne tu sarvasmin prAjQaH avyAkRtam ucyate // SamUpat-_I,17.64 //
   vācārambhaṇamātratvāt suṣuptāditrikaṃ tv asat /	vAcA-AramBaNa-mAtra-tvAt suzupta-Adi-trikam tu asat /
   satyo jñaś cāham ity evaṃ satyasandho vimucyate // SamUpad_I,17.65 //	satyaH jQaH ca-aham iti evam satya-sanDaH vimucyate // SamUpat-_I,17.65 //
   bhārūpatvād yathā bhānor nāhorātre tathaiva tu /	BA-rUpa-tvAt yaTA BAnoH na-ahorAtre taTA-eva tu /
   jñānājñāne na me syātāṃ cidrūpatvāviśeṣataḥ // SamUpad_I,17.66 //	jQAna-ajQAne na me syAtAm cit-rUpa-tva-aviSezataH // SamUpat-_I,17.66 //
   śāstrasyānatiśaṅkyatvād brahmaiva syām ahaṃ sadā /	SAstrasya-anati-SaFkya-tvAt brahmA-eva syAm aham sadA /
   brahmaṇo me na heyaṃ syād grāhyaṃ veti ca saṃsmaret // SamUpad_I,17.67 //	brahmaNaH me na heyam syAt grAhyam vA-iti ca saMsmaret // SamUpat-_I,17.67 //
   aham eva ca bhūteṣu sarveṣv eko nabho yathā /	aham eva ca BUtezu sarvezu ekaH naBaH yaTA /
   mayi sarvāṇi bhūtāni paśyann evaṃ na jāyate // SamUpad_I,17.68 //	mayi sarvANi BUtAni paSyan evam na jAyate // SamUpat-_I,17.68 //
   na bāhyaṃ madhyato vāntar vidyate 'nyat svataḥ kvacit /	na bAhyam maDyatas vA-antar vidyate anyat svatas kvacid /
   abāhyāntaḥśruteḥ kiṃcit tasmāc chuddhaḥ svayaṃprabhaḥ // SamUpad_I,17.69	abAhya-antar-SruteH kiMcid tasmAt SudDaH svayaMpraBaH // SamUpat-_I,17.69
   netinetyādiśāstrebhyaḥ prapañcopaśamo 'dvayaḥ /	netinA-ityAdi-SAstreByaH prapaQca-upaSamaH advayaH /
   avijñātādiśāstrāc ca naiva jñeyo hy ato 'nyathā // SamUpad_I,17.70 //	avijQAta-Adi-SAstrAt ca na-eva jQeyaH hi atas anyaTA // SamUpat-_I,17.70 //
   sarvasyātmāham eveti brahma ced viditaṃ param /	sarvasya-AtmA-aham eva-iti brahma ced viditam param /
   sa ātmā sarvabhūtānām ātmā hy eṣām iti śruteḥ // SamUpad_I,17.71 //	saH AtmA sarva-BUtAnAm AtmA hi ezAm iti SruteH // SamUpat-_I,17.71 //
   jīvaś cet param ātmānaṃ svātmānaṃ devam añjasā /	jIvaH ced param AtmAnam sva-AtmAnam devam aQjasA /
   devopāsyaḥ sa devānāṃ paśutvāc ca nivartate // SamUpad_I,17.72 //	deva-upAsyaH sa devAnAm paSu-tvAt ca nivartate // SamUpat-_I,17.72 //
   aham eva sadātmajñaḥ śūnyas tv anyair yathāmbaram /	aham eva sadA-Atma-jQaH SUnyaH tu anyEH yaTA-ambaram /
   ity evaṃ satyasaṃdhatvād asaddhātā na badhyate // SamUpad_I,17.73 //	iti evam satya-saMDa-tvAt asat-DAtA na baDyate // SamUpat-_I,17.73 //
   kṛpaṇās te 'nyathaivāto vidur brahma paraṃ hi ye /	kRpaNAH te anyaTA-eva-atas viduH brahma param hi ye /
   svarāḍ yo 'nanyadṛk svasthas tasya devā asan vaśe // SamUpad_I,17.74 //	svarAj yaH ananyadRS svasTaH tasya devAH asan vaSe // SamUpat-_I,17.74 //
   hitvā jātyādisaṃbandhaṃ vāco 'nyāḥ saha karmabhiḥ /	hitvA jAti-Adi-saMbanDam vAcaH anyAH saha karmaBiH /
   om ity evaṃ svam ātmānaṃ sarvaṃ śuddhaṃ prapadyatha // SamUpad_I,17.75 //	om iti evam svam AtmAnam sarvam SudDam prapadi-aTa // SamUpat-_I,17.75 //
   setuṃ sarvavyavasthānām ahorātrādivarjitam /	setum sarva-vyavasTAnAm ahorAtra-Adi-varjitam /
   tiryag ūrdhvam adhaḥ sarvaṃ sakṛjjyotir anāmayam // SamUpad_I,17.76 //	tiryak UrDvam aDas sarvam sakRt-jyotiH anAmayam // SamUpat-_I,17.76 //
   dharmādharmavinirmuktaṃ bhūtabhavyāt kṛtākṛtāt /	Darma-aDarma-vinirmuktam BUta-BavyAt kRta-akRtAt /
   svam ātmānaṃ paraṃ vidyād vimuktaṃ sarvabandhanaiḥ // SamUpad_I,17.77 //	svam AtmAnam param vidyAt vimuktam sarva-banDanEH // SamUpat-_I,17.77 //
   akurvan sarvakṛc chuddhas tiṣṭhann atyeti dhāvataḥ /	akurvan sarva-kRt SudDaH tizWan atyeti DAvataH /
   māyayā sarvaśaktitvād ajaḥ san bahudhā mataḥ // SamUpad_I,17.78 //	mAyayA sarva-Sakti-tvAt ajaH san bahuDA mataH // SamUpat-_I,17.78 //
   rājavat sākṣimātratvāt saṃnidhyād bhrāmako yathā /	rAja-vat sAkzi-mAtra-tvAt saMniDyAt BrAmakaH yaTA /
   bhrāmayañ jagad ātmāhaṃ niṣkriyo 'kārako 'dvayaḥ // SamUpad_I,17.79 //	BrAmayan jagat AtmA-aham nizkriyaH akArakaH advayaH // SamUpat-_I,17.79 //
