   akatra prativāsinaḥ (?) K_892b	akatra prativAsinaH (?) K_892b
   tatsaṃsaktais tu kartavya K_739c	tad-saMsaktEH tu kartavya K_739c
   tat sākṣyaṃ tatra varjayet K_398b	tat sAkzyam tatra varjayet K_398b
   tat sādhyaṃ sādhanaṃ yena K_213c	tat sADyam sADanam yena K_213c
   tat sādhyaṃ sādhyate 'khilam K_213d	tat sADyam sADyate aKilam K_213d
   tat sāhasam udāhṛtam K_795b	tat sAhasam udAhRtam K_795b
   tatsidhyarthaṃ tu yal lekhyaṃ K_254c	tat-siDi-arTam tu yat leKyam K_254c
   tat sutaṃ rikthabhāginam K_855b	tat sutam rikTa-BAginam K_855b
   tatsuto nātra saṃśayaḥ K_566d	tad-sutaH na-atra saMSayaH K_566d
   tatsuto nātra saṃśayaḥ K_654d	tad-sutaH na-atra saMSayaH K_654d
   tatsuto bhuktidoṣāṃs tu K_323c	tad-sutaH Bukti-dozAn tu K_323c
   tatsevāhitakāriṇaḥ K_361b	tad-sevA-hita-kAriNaH K_361b
   tatstrīṇām upabhoktā tu K_567c	tad-strINAm upaBoktA tu K_567c
   tatstrīdravyasamāśritaiḥ K_575d	tad-strI-dravya-samASritEH K_575d
   tatsvahastakṛtair anyaiḥ K_286c	tad-sva-hasta-kRtEH anyEH K_286c
   tatsvahastādibhis teṣāṃ K_285c	tad-sva-hasta-AdiBiH tezAm K_285c
   tatsvahastaiḥ prasādhayet K_370d	tad-sva-hastEH prasADayet K_370d
   tathā kārukuśīlavān K_423b	taTA kAru-kuSIlavAn K_423b
   tathā kāryaprasādhanāt K_645b	taTA kArya-prasADanAt K_645b
   tathāgnyudakadāyakāḥ K_827b	taTA-agni-udaka-dAyakAH K_827b
   tathā cāparipālanam K_623b	taTA ca-aparipAlanam K_623b
   tathājāvikavatsānāṃ K_667c	taTA-aja-Avika-vatsAnAm K_667c
   tathā tat syāt pramāṇaṃ tu K_272c	taTA tat syAt pramANam tu K_272c
   tathā tathā damaḥ kāryo K_793c	taTA taTA damaH kAryaH K_793c
   tathā tathā vidhātavyaṃ K_852c	taTA taTA viDAtavyam K_852c
   tathā tuṣṭikaraṃ deyaṃ K_787c	taTA tuzwi-karam deyam K_787c
   tathā dīrghapravāsinām K_549b	taTA dIrGa-pravAsinAm K_549b
   tathā durganivāsiṣu K_040b	taTA durga-nivAsizu K_040b
   tathā doṣāḥ prayoktavyā K_276c	taTA dozAH prayoktavyA K_276c
   tathā dhāraṇikasya vā K_273d	taTA DAraNikasya vA K_273d
   tathā pañca śatāni ca K_461b	taTA paQca SatAni ca K_461b
   tathā bhāvāntareṇa vā K_464b	taTA BAva-antareNa vA K_464b
   tathā mārganirodhakāḥ K_820b	taTA mArga-niroDakAH K_820b
   tathā mārgānudeśakaḥ K_832b	taTA mArga-anudeSakaH K_832b
   tathā yojyāni bandhubhiḥ K_883d	taTA yojyAni banDuBiH K_883d
   tathā lekhyasya bimbāni K_308c	taTA leKyasya bimbAni K_308c
   tathā vāpi guṇasya vā K_440b	taTA vA-api guNasya vA K_440b
   tathāsatyapravartanāt K_650d	taTA-asatya-pravartanAt K_650d
   tathaiva krayavikraye K_150d	taTA-eva kraya-vikraye K_150d
   tathaiva ca viḍambanam K_963b	taTA-eva ca vixambanam K_963b
   tathaiva daṇḍapāruṣye K_786c	taTA-eva daNxa-pAruzye K_786c
   tathaiva bhojyavaibhājya- K_676a	taTA-eva Bojya-vEBAjya K_676a
   tathaivāṣṭaguṇā matā K_512b	taTA-eva-azwaguNA matA K_512b
   tathaivecchāpravartakaḥ K_116d	taTA-eva-icCA-pravartakaH K_116d
   tathonmattena pīḍitaiḥ K_271b	taTA-unmattena pIxitEH K_271b
   tathonmādaḥ prajāyate K_458d	taTA-unmAdaH prajAyate K_458d
   tad akarmaviyuto 'sau K_967c	tat akarma-viyutaH asO K_967c
   tadadhīnakuṭumbinyaḥ K_098a	tad-aDIna-kuwumbinyaH K_098a
   tad adhyagnikṛtaṃ sadbhiḥ K_895c	tat aDyagni-kRtam sadBiH K_895c
   tad anuktaṃ vidur budhāḥ K_399d	tat anuktam viduH buDAH K_399d
   tad anyat kārayel lekhyaṃ K_312c	tat anyat kArayet leKyam K_312c
   tad anyārtham itīritam K_181d	tat anya-arTam iti-Iritam K_181d
   tad anvayasyāgatasya K_891c	tat anvayasya-Agatasya K_891c
   tad api trividhaṃ smṛtam K_769b	tat api triviDam smRtam K_769b
   tad apy ayuktaṃ vijñeyam K_401c	tat api ayuktam vijQeyam K_401c
   tadabhāve ca yoṣitaḥ K_562b	tad-aBAve ca yozitaH K_562b
   tadabhāve tu cihnasya K_391c	tad-aBAve tu cihnasya K_391c
   tadabhāve tu taddhanāt K_558b	tad-aBAve tu tad-DanAt K_558b
   tadabhāve tu duhitā K_926c	tad-aBAve tu duhitA K_926c
   tadabhāve tu mūlyaṃ syād K_816c	tad-aBAve tu mUlyam syAt K_816c
   tadabhāve niyukto vā K_360c	tad-aBAve niyuktaH vA K_360c
   tadabhāve pitā mātā K_927c	tad-aBAve pitA mAtA K_927c
   tadardhaṃ yoṣito dadyur K_487c	tad-arDam yozitaH dadyuH K_487c
   tadardhārdhasya tandulāḥ K_420b	tad-arDa-arDasya tandulAH K_420b
   tadardhārdhasya nāśe tu K_420c	tad-arDa-arDasya nASe tu K_420c
   tadardhārdhasya nāśe tu K_421a	tad-arDa-arDasya nASe tu K_421a
   tadaṣṭabhāgahīnaṃ tu K_764c	tad-azwa-BAga-hInam tu K_764c
   tadaṣṭabhāgāpacayād K_767a	tad-azwa-BAga-apacayAt K_767a
   tadā kāryaṃ nivartayet K_078d	tadA kAryam nivartayet K_078d
   tadā tatra na saṃnidhiḥ K_169b	tadA tatra na saMniDiH K_169b
   tadā tatra niyuñjīta K_063c	tadA tatra niyuQjIta K_063c
   tadā tadvākyaśodhanam K_409b	tadA tad-vAkya-SoDanam K_409b
   tadā tenaiva bādhyate K_041d	tadA tena-eva bADyate K_041d
   tadā daṇḍaṃ prakalpeta K_958c	tadA daNxam prakalpeta K_958c
   tadā divyaṃ niyojayet K_417d	tadA divyam niyojayet K_417d
   tad ādiṣṭaṃ vinirdiśet K_520f	tat Adizwam vinirdiSet K_520f
   tadārūḍhāṃs tu nirdiśet K_283d	tad-ArUXAn tu nirdiSet K_283d
   tadā siddhim avāpnuyāt K_522d	tadA sidDim avApnuyAt K_522d
   tadāsedhaṃ prayuñjīta K_104c	tad-AseDam prayuQjIta K_104c
   tad ihāvyāpakaṃ smṛtam K_182d	tat iha-avyApakam smRtam K_182d
   tad utkocākhyam ucyate K_651b	tat utkoca-AKyam ucyate K_651b
   tadūnaṃ karma kāmataḥ K_719b	tat-Unam karma kAmataH K_719b
   tad ūnaṃ cottaraṃ smṛtam K_178d	tat Unam ca-uttaram smRtam K_178d
   tadūrdhvaṃ sthāpayec śilpī K_603c	tad-UrDvam sTApayet SilpI K_603c
   tad ṛṇaṃ dhanine deyaṃ K_847a	tat RNam Danine deyam K_847a
   tad eva yady anujñāpya K_913a	tat eva yadi anujQApya K_913a
   tad om iti likhet sarvaṃ K_129c	tat om iti liKet sarvam K_129c
   tadgataṃ labhate vyayam K_763d	tad-gatam laBate vyayam K_763d
   tadgrāhyam ubhayor api K_193d	tat-grAhyam uBayoH api K_193d
   tad grāhyaṃ vyāvahārikam K_393b	tat grAhyam vyAvahArikam K_393b
   tad grāhyaṃ sākṣiṇo vākyam K_346c	tat grAhyam sAkziNaH vAkyam K_346c
   tad dṛśyamānaṃ vibhajen K_848c	tat dRSyamAnam viBajet K_848c
   tad dravyam ṛṇikenaiva K_515c	tat dravyam RNikena-eva K_515c
   tad dravyaṃ sodayaṃ dāpyo K_594c	tat dravyam sa-udayam dApyaH K_594c
   tad dhanasyāpahārakaḥ K_332d	tat Danasya-apahArakaH K_332d
   tad dhanaṃ jñātṛbhiḥ svakam K_614b	tat Danam jQAtRBiH svakam K_614b
   tad dhanaṃ putraputrair vā K_558c	tat Danam putra-putrEH vA K_558c
   taddhanaṃ vṛddhim āpnuyāt K_502d	tat-Danam vRdDim ApnuyAt K_502d
   taddhanaṃ vṛddhim āpnuyāt K_503d	tat-Danam vRdDim ApnuyAt K_503d
   taddhanaṃ vṛddhim āpnuyāt K_507d	tat-Danam vRdDim ApnuyAt K_507d
   tad dhvajāhṛtam ucyate K_878f	tat Dvaja-AhRtam ucyate K_878f
   tadbandhusuhṛdo bhṛtyā K_361c	tad-banDu-suhRdaH BRtyA K_361c
   tad brūta sarvaṃ satyena K_343c	tat brUta sarvam satyena K_343c
   tadbhartā tatkṛtaṃ kāryaṃ K_470c	tad-BartA tat-kRtam kAryam K_470c
   tad bhavet sthitipatrakam K_254d	tat Bavet sTiti-patrakam K_254d
   tad yatnena vicārayet K_294b	tat yatnena vicArayet K_294b
   tadyuktapratilekhyena K_307a	tad-yukta-pratileKyena K_307a
   tadrājñaḥ śrāvitaṃ yadi K_238b	tad-rAjQaH SrAvitam yadi K_238b
   tadrāṣṭraṃ na vināśayet K_021b	tat-rAzwram na vinASayet K_021b
   tadvan nagaradeśayoḥ K_735d	tadvat nagara-deSayoH K_735d
   tad vaṃśyasyāgatasyāṃśaḥ K_889c	tat vaMSyasya-Agatasya-aMSaH K_889c
   tadvināśapradarśakaḥ K_833b	tad-vinASa-pradarSakaH K_833b
   tadviśiṣṭena vā sadā K_307b	tad-viSizwena vA sadA K_307b
   tadvṛttijīvino ye ca K_361a	tad-vRtti-jIvinaH ye ca K_361a
   tad vyastapadam ucyate K_183d	tat vyasta-padam ucyate K_183d
   tanmūlatvāt tu te maulā K_743c	tad-mUla-tvAt tu te mOlA K_743c
   tanmūlyaṃ vātha rājani K_102d	tad-mUlyam vA-aTa rAjani K_102d
   tanmūlyaṃ vātha rājani K_490d	tad-mUlyam vA-aTa rAjani K_490d
   tanmokṣaṇārthaṃ yad dattaṃ K_635c	tad-mokzaNa-arTam yat dattam K_635c
   tapasvināṃ tu kāryāṇi K_083a	tapasvinAm tu kAryANi K_083a
   tapaḥsvādhyāyajanmataḥ K_801b	tapaH-svADyAya-janmataH K_801b
   taptamāṣakadivye ca K_460c	tapta-mAzaka-divye ca K_460c
   tam adattvā diśaṃ vrajet K_502b	tam adattvA diSam vrajet K_502b
   tam arthaṃ daṇḍam eva ca K_456d	tam arTam daNxam eva ca K_456d
   tam aśuddhaṃ vinirdiśet K_455d	tam aSudDam vinirdiSet K_455d
   tam aṣṭabhāgahīnaṃ K_451c	tam azwa-BAga-hInam K_451c
   tayā prāptaṃ dhanaṃ yat tu K_867c	tayA prAptam Danam yat tu K_867c
   tayor ante sadasyāstu K_121c	tayoH ante sadasyAH-tu K_121c
   tayor api vinā kvacit K_389b	tayoH api vinA kvacid K_389b
   tayor jayaparājayau K_091d	tayoH jaya-parAjayO K_091d
   tayoḥ pūrvakṛtaṃ grāhyaṃ K_517c	tayoH pUrva-kRtam grAhyam K_517c
   tarkaṃ caiva manīṣiṇaḥ K_242d	tarkam ca-eva manIziNaH K_242d
   tavāham iti cātmānaṃ K_730a	tava-aham iti ca-AtmAnam K_730a
   tasmāc cittaṃ praboddhavyaṃ K_005a	tasmAt cittam prabodDavyam K_005a
   tasmāc chāstrānusāreṇa K_045a	tasmAt SAstra-anusAreNa K_045a
   tasmāc śiṣyo nivartate K_713d	tasmAt SizyaH nivartate K_713d
   tasmāt tat saṃpravarteta K_050a	tasmAt tat saMpravarteta K_050a
   tasmāt tad vinirvartate K_560d	tasmAt tat vinirvartate K_560d
   tasmāt na labhate kālam K_134c	tasmAt na laBate kAlam K_134c
   tasmād arthāt sa hīyate K_206f	tasmAt arTAt sa hIyate K_206f
   tasmād arthāt sa hīyeta K_589c	tasmAt arTAt sa hIyeta K_589c
   tasmād evaṃvidhaṃ pautrair K_556c	tasmAt evaMviDam pOtrEH K_556c
   tasmād bahvāgamaḥ kāryo K_066c	tasmAt bahu-AgamaH kAryaH K_066c
   tasmād yatnena kartavyā K_007a	tasmAt yatnena kartavyA K_007a
   tasmād yathoktavidhinā K_439a	tasmAt yaTA-ukta-viDinA K_439a
   tasmād rājā nivarteta K_934c	tasmAt rAjA nivarteta K_934c
   tasmāl lekhyasya duṣṭasya K_288c	tasmAt leKyasya duzwasya K_288c
   tasmin karmaṇi tuṣṭena K_876c	tasmin karmaNi tuzwena K_876c
   tasmin kāle yadā bhavet K_161b	tasmin kAle yadA Bavet K_161b
   tasminn api pasiddhe 'rthe K_648c	tasmin api pasidDe arTe K_648c
   tasminn arthe prabhus tu saḥ K_470b	tasmin arTe praBuH tu saH K_470b
   tasmin naṣṭe vāpi K_607c	tasmin nazwe vA-api K_607c
   tasmin naṣṭe hṛte vāpi K_600c	tasmin nazwe hRte vA-api K_600c
   tasminn evāhnyavīkṣitam K_698d	tasmin eva-ahni-avIkzitam K_698d
   tasmin prete na vācyo 'sau K_326c	tasmin prete na vAcyaH asO K_326c
   tasmin bhogaḥ prayoktavyaḥ K_733a	tasmin BogaH prayoktavyaH K_733a
   tasmin sthāne na cānyathā K_940b	tasmin sTAne na ca-anyaTA K_940b
   tasmiṃś ced dāpyamānānāṃ K_818a	tasmin ced dApyamAnAnAm K_818a
   tasmai dadyāt tu pārthivaḥ K_262d	tasmE dadyAt tu pArTivaH K_262d
   tasya kuryān nṛpo daṇḍaṃ K_100c	tasya kuryAt nRpaH daNxam K_100c
   tasya daṇḍas tu māṣakaḥ K_757d	tasya daNxaH tu mAzakaH K_757d
   tasya deyo na saṃśayaḥ K_145d	tasya deyaH na saMSayaH K_145d
   tasya doṣam adarśayan K_673d	tasya dozam adarSayan K_673d
   tasya doṣāḥ pravaktavyā K_301c	tasya dozAH pravaktavyA K_301c
   tasya doṣo na vidyate K_653d	tasya dozaH na vidyate K_653d
   tasya pakṣo na sidhyati K_139d	tasya pakzaH na siDyati K_139d
   tasya putrāḥ prajāyante K_018c	tasya putrAH prajAyante K_018c
   tasya bhāvaṃ vibhāvayet K_385b	tasya BAvam viBAvayet K_385b
   tasya bhūyo 'pi dāpayet K_441d	tasya BUyas api dApayet K_441d
   tasya vā tatsamarpyaṃ syāt K_120c	tasya vA tat-samarpyam syAt K_120c
   tasya svāmī nivartayet K_465b	tasya svAmI nivartayet K_465b
   tasyānurūpaṃ mūlyaṃ vā K_792c	tasya-anurUpam mUlyam vA K_792c
   tasyābhāve purandhrihṛt K_576d	tasya-aBAve puranDri-hRt K_576d
   tasyārthivādo dātavyo K_123c	tasya-arTi-vAdaH dAtavyaH K_123c
   tasyās tu sādhanaṃ lekhyaṃ K_225c	tasyAH tu sADanam leKyam K_225c
   tasyāṃ paunarbhavo jāto K_860c	tasyAm pOnarBavaH jAtaH K_860c
   tasyāṃśo daśamo deyaḥ K_631c	tasya-aMSaH daSamaH deyaH K_631c
   tasyāḥ putro na rikthabhāk K_864b	tasyAH putraH na rikTa-BAj K_864b
   tasyeha bhāginau tau tu K_859c	tasya-iha BAginO tO tu K_859c
   tasyaikasya na sarvasya K_457a	tasya-ekasya na sarvasya K_457a
   tasyaiva svāmino bhavet K_609b	tasya-eva svAminaH Bavet K_609b
   tasyaivācaraṇaṃ pūrvaṃ K_669c	tasya-eva-AcaraNam pUrvam K_669c
   tasyoddhāraṃ vidur budhāḥ K_209b	tasya-udDAram viduH buDAH K_209b
   tasyoddhāro na vidyate K_209d	tasya-udDAraH na vidyate K_209d
   taṃ tato 'kāritāṃ vṛddhim K_504c	tam tatas akAritAm vRdDim K_504c
   taṃ dharmaṃ na vicālayet K_040d	tam Darmam na vicAlayet K_040d
   taṃ pratīkṣya yathānyāyam K_164c	tam pratIkzya yaTAnyAyam K_164c
   taṃ vidyād ātatāyinam K_804f	tam vidyAt AtatAyinam K_804f
   tā jñātiprabhukāḥ smṛtāḥ K_097d	tAH jQAti-praBukAH smRtAH K_097d
   tāḍanaṃ daṇḍam arhati K_970d	tAxanam daNxam arhati K_970d
   tāḍanaṃ nārthato damaḥ K_783d	tAxanam na-arTataH damaH K_783d
   tāḍanaṃ vandhanaṃ caiva K_963a	tAxanam vanDanam ca-eva K_963a
   tāḍanaṃ vā bṛhaspatiḥ K_664d	tAxanam vA bRhaspatiH K_664d
   tābhyāṃ sā dvividhā smṛtā K_472d	tAByAm sA dviviDA smRtA K_472d
   tālajño labhate hy ardhaṃ K_636c	tAla-jQaH laBate hi arDam K_636c
   tālvasthiparipīḍanam K_458b	tAlu-asTi-paripIxanam K_458b
   tāvat sā bandhane sthāpyā K_489c	tAvat sA banDane sTApyA K_489c
   tāvad dāpyaḥ sabhāṭakam K_663d	tAvat dApyaH sa-BAwakam K_663d
   tāvan naivādhamarṇikaḥ K_563d	tAvat na-eva-aDamarNikaH K_563d
   tāś catasras tu dhānakaḥ K_494d	tAH catasraH tu DAnakaH K_494d
   tāsām āhvānam iṣyate K_098d	tAsAm AhvAnam izyate K_098d
   tāsāṃ bhartṛkriyāsu tat K_568d	tAsAm BartR-kriyAsu tat K_568d
   tāṃ kriyāṃ dveṣṭi yo mohāt K_198c	tAm kriyAm dvezwi yaH mohAt K_198c
   tāṃ jahyāt sāravarjitām K_222d	tAm jahyAt sAra-varjitAm K_222d
   tāṃ jahyād dūrataḥ kriyām K_222f	tAm jahyAt dUratas kriyAm K_222f
   tāṃ nirīkṣya vinirṇayet K_049b	tAm nirIkzya vinirNayet K_049b
   tiryagūrdhvanirīkṣaṇam K_386d	tiryak-UrDva-nirIkzaNam K_386d
   tiryagyonau ca jāyate K_643d	tiryagyonO ca jAyate K_643d
   tiṣṭhati dviguṇā vṛddhiḥ K_510c	tizWati dviguNA vRdDiH K_510c
   tiṣṭhatsv api hi sākṣiṣu K_292d	tizWatsu api hi sAkzizu K_292d
   tiṣṭhaṃś caikaḥ sa eva tu K_370b	tizWan ca-ekaH saH eva tu K_370b
   tiṣṭhed bhartṛkule yā tu K_916c	tizWet BartR-kule yA tu K_916c
   tiṣṭheyuś ca nṛpājñayā K_111b	tizWeyuH ca nRpa-AjQayA K_111b
   tīritaḥ so 'nuśiṣṭas tu K_495c	tIritaH saH anuSizwaH tu K_495c
   tīvram āhur manīṣiṇaḥ K_769f	tIvram AhuH manIziNaH K_769f
   tīvrā sā prathitā tu vāk K_772d	tIvrA sA praTitA tu vAc K_772d
   tulākośe ca taṇḍule K_460b	tulA-koSe ca taNxule K_460b
   tulādīni niyojayet K_412b	tulA-AdIni niyojayet K_412b
   tulādīni niyojyāni K_413c	tulA-AdIni niyojyAni K_413c
   tulāmānapratimāna- K_812a	tulA-mAna-pratimAna K_812a
   tṛtīyaḥ pañcamo vāpi K_890a	tRtIyaH paQcamaH vA-api K_890a
   tṛtīyaḥ śapathaḥ proktaḥ K_234c	tRtIyaH SapaTaH proktaH K_234c
   tṛptās tu dvijapūjanāt K_006d	tRptAH tu dvija-pUjanAt K_006d
   te dvādaśa suvarṇās tu K_494e	te dvAdaSa suvarNAH tu K_494e
   tena cet kṣatraviprāṇāṃ K_485c	tena ced kzatra-viprANAm K_485c
   tena duṣṭaṃ bhavel lekhyaṃ K_280c	tena duzwam Bavet leKyam K_280c
   tena dharmeṇa te sadā K_668b	tena DarmeNa te sadA K_668b
   tena dharmeṇa pārthivaḥ K_041b	tena DarmeNa pArTivaH K_041b
   tena bhaktaṃ pradāpayet K_112d	tena Baktam pradApayet K_112d
   tena bhūyo 'pi śakratvaṃ K_007c	tena BUyas api Sakra-tvam K_007c
   tena lekhyena tat siddhir K_300c	tena leKyena tat sidDiH K_300c
   tenāpy aṃśena hīyeta K_710a	tena-api aMSena hIyeta K_710a
   te 'pi tatra pramodante K_006c	te api tatra pramodante K_006c
   te 'pi tadbhāginas tasmād K_075c	te api tad-BAginaH tasmAt K_075c
   tebhyaḥ sākṣisamanvitam K_255d	teByaH sAkzi-samanvitam K_255d
   tebhyo dadyāt tu yad vasu K_497d	teByaH dadyAt tu yat vasu K_497d
   te vṛddhāḥ parikīrtitāḥ K_744d	te vRdDAH parikIrtitAH K_744d
   teṣām abhāve sāmanta- K_737a	tezAm aBAve sAmanta K_737a
   teṣām eko 'nyathāvādī K_359c	tezAm ekaH anyaTAvAdI K_359c
   teṣāṃ cet prasṛtānāṃ yo K_635a	tezAm ced prasRtAnAm yaH K_635a
   teṣāṃ tu tatparā vṛttiḥ K_570c	tezAm tu tad-parA vRttiH K_570c
   teṣāṃ daṇḍas tu tāḍanam K_962d	tezAm daNxaH tu tAxanam K_962d
   teṣāṃ vādaḥ svavargeṣu K_350e	tezAm vAdaH sva-vargezu K_350e
   teṣāṃ sarvasvam ādāya K_820c	tezAm sarva-svam AdAya K_820c
   teṣāṃ sākṣyam asaṃśayam K_347d	tezAm sAkzyam asaMSayam K_347d
   teṣāṃ svasamayair dharma- K_047c	tezAm sva-samayEH Darma K_047c
   te syur dāpyā ṛṇaṃ tathā K_403d	te syuH dApyAH RNam taTA K_403d
   tair ṛṇaṃ sādhayet kramāt K_234d	tEH RNam sADayet kramAt K_234d
   tair dattam upajīvanam K_905d	tEH dattam upajIvanam K_905d
   tailānāṃ caiva sarveṣāṃ K_511a	tElAnAm ca-eva sarvezAm K_511a
   toyasyāgamane tathā K_110b	toyasya-Agamane taTA K_110b
   tau ubhau coradaṇḍena K_828c	tO uBO cora-daNxena K_828c
   taulyagaṇimameyānām K_390a	tOlya-gaNima-meyAnAm K_390a
   tau vinā tatsutau tathā K_536d	tO vinA tad-sutO taTA K_536d
   tyaktvā duṣṭāṃs tu sāmantān K_742a	tyaktvA duzwAn tu sAmantAn K_742a
   tyajatāṃ hi svatantratām K_716d	tyajatAm hi svatantra-tAm K_716d
   tyajet pathi sahāyaṃ yaḥ K_660a	tyajet paTi sahAyam yaH K_660a
   tyajed anyad vaded asau K_195b	tyajet anyat vadet asO K_195b
   tyajed dohyādi yo naraḥ K_686b	tyajet dohya-Adi yaH naraH K_686b
   tyājyaṃ tasya punar bhavet K_692d	tyAjyam tasya punar Bavet K_692d
   trapuṣe vāruke dve tu K_822:2a	trapuze vAruke dve tu K_822:2a
   trayaproṣitanikṣipta- K_592a	traya-prozita-nikzipta K_592a
   trayo varṇā dvijādayaḥ K_721b	trayaH varNAH dvija-AdayaH K_721b
   tricatuḥpañcakṛtvo vā K_336c	tri-catur-paQca-kRtvas vA K_336c
   tripakṣapakṣasaptāhaṃ K_751c	tri-pakza-pakza-sapta-aham K_751c
   tripakṣaṃ parato bhavet K_155d	tri-pakzam paratas Bavet K_155d
   tripakṣāt parataḥ so 'rthaṃ K_539c	tri-pakzAt paratas saH arTam K_539c
   tripuruṣī yā svatantrā K_317c	tripuruzI yA svatantrA K_317c
   tribhāgo mūlyam ucyate K_700b	tri-BAgaH mUlyam ucyate K_700b
   tribhir etair avicchinnā K_318c	triBiH etEH avicCinnA K_318c
   tribhir eva tu yā bhuktā K_327a	triBiH eva tu yA BuktA K_327a
   trir āhūtam anāyāntam K_203a	tris AhUtam anAyAntam K_203a
   trividhasyāpi lekhyasya K_284a	triviDasya-api leKyasya K_284a
   triśataṃ daṇḍam arhati K_405d	tri-Satam daNxam arhati K_405d
   triṣu varṇeṣu vijñeyaṃ K_715c	trizu varNezu vijQeyam K_715c
   trisaptāhāt tu dāpayet K_456b	tri-sapta-ahAt tu dApayet K_456b
   triṃśadrātrāt pareṇa tu K_207d	triMSat-rAtrAt pareNa tu K_207d
   triḥ catuḥ pañcakṛtvo vā K_235c	tris catuH paQca-kRtvas vA K_235c
   traividyaprahitaṃ tatra K_352c	trEvidya-prahitam tatra K_352c
   traividyair eva kārayet K_083b	trEvidyEH eva kArayet K_083b
   tryahaṃ dohyaṃ parīkṣeta K_693a	tri-aham dohyam parIkzeta K_693a
   tryahaṃ vā gurulāghavāt K_146b	tri-aham vA gurulAGavAt K_146b
   try ahaṃ saptāham eva vā K_133b	tri aham sapta-aham eva vA K_133b
   dakṣaṃ kulīnamadhyastham K_064a	dakzam kulIna-maDya-sTam K_064a
   dakṣiṇas tatra vijñeyaḥ K_462c	dakziNaH tatra vijQeyaH K_462c
   dagdhamūḍhaṃ jalena vā K_659b	dagDa-mUXam jalena vA K_659b
   daṇḍapāruṣyakāraṇam K_779b	daNxa-pAruzya-kAraNam K_779b
   daṇḍam eṣāṃ prakalpayet K_834d	daNxam ezAm prakalpayet K_834d
   daṇḍayet taṃ paṇāṣṭakam K_119b	daNxayet tam paNAzwakam K_119b
   daṇḍayet pūrvasāhasam K_758d	daNxayet pUrva-sAhasam K_758d
   daṇḍas tatra tu naiva syād K_482c	daNxaH tatra tu na-eva syAt K_482c
   daṇḍaṃ kuryāt tathā tathā K_782d	daNxam kuryAt taTA taTA K_782d
   daṇḍaṃ caikādaśaguṇam K_649c	daNxam ca-ekAdaSaguNam K_649c
   daṇḍaṃ caiva samāpnuyāt K_912d	daNxam ca-eva samApnuyAt K_912d
   daṇḍaṃ tatra prakalpayet K_665d	daNxam tatra prakalpayet K_665d
   daṇḍaṃ dharmyaṃ prakalpayet K_484d	daNxam Darmyam prakalpayet K_484d
   daṇḍaṃ rājñe ca tatsamam K_116b	daNxam rAjQe ca tad-samam K_116b
   daṇḍārdhaṃ tasya kalpayet K_775d	daNxa-arDam tasya kalpayet K_775d
   daṇḍo dāpyas tu taddhanam K_162d	daNxaH dApyaH tu tad-Danam K_162d
   daṇḍo naiva vidhīyate K_481d	daNxaH na-eva viDIyate K_481d
   daṇḍo bhavati dharmataḥ K_485b	daNxaH Bavati DarmataH K_485b
   daṇḍo yatra pravartitaḥ K_491b	daNxaH yatra pravartitaH K_491b
   daṇḍyaś ca na dadāti yaḥ K_610d	daNxyaH ca na dadAti yaH K_610d
   daṇḍyas tac cākṛtaṃ bhavet K_727d	daNxyaH tat ca-akRtam Bavet K_727d
   daṇḍyaḥ so 'pi narādhamaḥ K_404d	daNxyaH saH api nara-aDamaH K_404d
   daṇḍyās tūttamasāhasam K_741f	daNxyAH tu-uttamasAhasam K_741f
   daṇḍyās tv apaharanti ye K_915d	daNxyAH tu apaharanti ye K_915d
   daṇḍyā syuḥ sarva eva te K_726d	daNxyA syuH sarve eva te K_726d
   daṇḍyāḥ syur vākchalānvitāḥ K_406b	daNxyAH syuH vAc-Cala-anvitAH K_406b
   daṇḍyo vā dviguṇaṃ damam K_486d	daNxyaH vA dviguNam damam K_486d
   daṇḍyo vā dviguṇaṃ damam K_957d	daNxyaH vA dviguNam damam K_957d
   daṇḍyo 'sabhyaḥ smṛto hi saḥ K_079d	daNxyaH asaByaH smRtaH hi saH K_079d
   dattasyācchādanena ca K_643b	dattasya-AcCAdanena ca K_643b
   dattasyāpahnavo yatra K_416a	dattasya-apahnavaH yatra K_416a
   dattaṃ ca prītitaḥ striyaiḥ K_894b	dattam ca prItitaH striyEH K_894b
   dattaṃ lekhye svahastaṃ tu K_282a	dattam leKye sva-hastam tu K_282a
   dattādatte 'tha bhṛtyānāṃ K_227a	datta-Adatte aTa BRtyAnAm K_227a
