   Āryabhaṭakṛtam	Ārya Bawa kRtam
   samadalakoṭī iti varṇayanti	sama dala kowI iti varNayanti
   | teśām sama dvisamatryaśrakṣetrayoḥ eva phalasiddhiḥ, na	| teSAm sama dvi samatri aSra kzetrayoH eva Pala sidDiH, na
   viṣamatryaśrakṣetrasya | asmākam punar samadalakoṭī iti anena	vizamatryaSra kzetrasya | asmAkam punar samadala kowI iti anena
   avalambakavyutpattyā bruvatām trayāṇām api phalānayanam siddham | athavā	avalambaka vyutpattyA bruvatAm trayANAm api Pala Anayanam sidDam | aTavA
   ye vyutpattim kurvanti teṣām api trayāṇām tryaśrakṣetrāṇām phalānayanam	ye vyutpattim kurvanti tezAm api trayANAm tryaSra kzetrANAm Pala Anayanam
   siddham eva | kutaḥ ? "rūḍheṣu kriyā vyutpattikarmārthā na arthakriyā" iti	sidDam eva | kutas ? "rUXezu kriyA vyutpatti karma arTAH na arTa kriyA" iti
   | bhujāyāḥ ardham bhujārdham | atha atra bhujāśabdena bhujā bāhuḥ pārśvam	| BujAyAH arDam Buja arDam | aTa atra BujA Sabdena BujAH bAhuH pArSvam
   iti sāmānyena trayāṇām pārśvānām	iti sAmAnyena trayANAm pArSvAnAm
   pratipattau prasaktāyām viśiṣṭā eva bhujā parigṛhyate, bhujāsaṃjñitā |	pratipattO prasaktAyAm viSizwAH eva BujA parigRhyate, BujA saMjQitA |
   "sāmānyacodanāḥ ca viśeṣe avatiṣṭhante" iti | atra gaṇite bhujāśabdaḥ	"sAmAnya codanAH ca viSeze avatizWante" iti | atra gaNite BujA SabdaH
   auṇādikaḥ pratipattavyaḥ, anyathā hi "bhujānyubjau pāṇyupatāpayoḥ"	ONa AdikaH pratipattavyaH, anyaTA hi "BujAni ubjO pANi upatApayoH"
   [aṣṭādhyāyī, 7.3.61 ] iti bhujāśabdasya pāṇāvarthe nipātitattvāt	[azwa aDyAyI, 7.3.61 ] iti BujA Sabdasya pANO= arTe nipAti tattvAt 
   kṣetrapārśve na labhyate | tasyāḥ bhujāyāḥ ardham bhujārdham |	kzetra pArSve na laByate | tasyAH BujAyAH arDam Buja arDam |
   samadalakoṭyā bhujārdhasya ca saṃvargaḥ samadalakoṭībhujārdhasaṃvargaḥ,	samadala kowyA Buja arDasya ca saMvargaH samadala kowI Buja arDa saMvargaH,
   tribhujasya phalaśarīram bhavati |	triBujasya Pala SarIram Bavati |
   uddeśakaḥ ã	uddeSakaH ã
   saptāṣṭanavabhujānām kṣetrāṇām yat phalam samānām tu |	sapta azwa nava BujAnAm kzetrANAm yat Palam samAnAm tu |
   pañcaśravaṇasya sakhe ṣaḍbhūsaṅkhyadvitulyasya || 1 ||	paQca SravaNasya saKe zaz BU saFKya dvi tulyasya || 1 ||
   nyāsaḥ ã	nyAsaH ã
   parilekhaḥ 4	parileKaH 4
   etāni trīṇi samāni |	etAni trINi samAni |
   dvisamasya api nyāsaḥ ã	dvi samasya api nyAsaH ã
   parilekhaḥ 5	parileKaH 5
   karaṇam ã "samatryaśrikṣetre samā eva avalambakasthitiḥ" iti bhūmyardham	karaNam ã "samatri aSri kzetre samAH eva avalambaka sTitiH" iti BUmi arDam
   ābādhā	AbADA
   "yaḥ ca eva bhujāvargaḥ koṭīvargaḥ ca karṇavargaḥ saḥ" [gaṇitaí, 17 ] iti	"yaH ca eva Buja AvargaH kowI vargaH ca karNa vargaH saH" [gaNitaí, 17 ] iti
   bhujākoṭyoḥ vargau karṇavargaḥ | tena, bhujāvarge karṇavargāt śuddhe śeṣam	BujA kowyoH vargO karNa vargaH | tena, Buja Avarge karNa vargAt SudDe Sezam
   samadalakoṭīvargaḥ	sama dala kowI vargaH
   samadalakoṭī karaṇyaḥ	samadala kowI karaNyaH
   iti | bhujārdham api karaṇyaḥ	iti | Buja arDam api karaNyaH
   tena, karaṇyoḥ saṃvargaḥ asti iti labdham kṣetraphalam	tena, karaNyoH saMvargaH asti iti labDam kzetra Palam
   "samadalakoṭībhujārdhasaṃvargaḥ" iti karaṇyaḥ	"samadala kowI Buja arDa saMvargaH" iti karaNyaH
   śeṣayoḥ api samayoḥ evam eva yathāsaṅkhyena phalam [karaṇyaḥ 768 ],	SezayoH api samayoH evam eva yaTAsaFKyena Palam [karaNyaH 768 ],
   karaṇyaḥ	karaNyaH
   dvisamatryaśrikṣetrasya api "samā eva avalambakasthitiḥ" iti ābādhā 3,	dvi samatri aSri kzetrasya api "samAH eva avalambaka sTitiH" iti AbADAH 3,
   samadalakoṭī pūrvakaraṇena eva 4, phalam api tena eva karaṇena 12 |	samadala kowI pUrva karaNena eva 4, Palam api tena eva karaNena 12 |
   uddeśakaḥ ã	uddeSakaH ã
   karṇau dvau daśa nirdiṣṭau dhātrī [ca] tasya ṣoḍaśa proktā |	karNO dvO daSa nirdizwO DAtrI [ca] tasya zoxaSa proktA |
   dvisamasya tasya vācyam phalasaṅkhyānam prayatnena || 2 ||	dvi samasya tasya vAcyam Pala saFKyAnam prayatnena || 2 ||
   nyāsaḥ ã	nyAsaH ã
   parilekhaḥ 6	parileKaH 6
   labdham pūrvakaraṇena phalam 48 |	labDam pUrva karaNena Palam 48 |
   viṣamatribhujakṣetreṣu uddeśakaḥ ã	vizama triBuja kzetrezu uddeSakaH ã
   karṇaḥ trayodaśa syāt pañcadaśānyaḥ mahī dvisaptā eva |	karNaH trayodaSa syAt paQcadaSA anyaH mahI dvi saptAH eva |
   viṣamatribhujasya sakhe phalasaṅkhyā kā bhavet asya || 3 ||	vizama triBujasya saKe Pala saFKyA kA Bavet asya || 3 ||
   nyāsaḥ ã	nyAsaH ã
   parilekhaḥ 7	parileKaH 7
   karaṇam ã bhujayoḥ vargaviśeṣaḥ tayoḥ vā samāsaviśeṣābhyāsaḥ	karaNam ã BujayoH varga viSezaH tayoH vA samAsa viSeza aByAsaH
   tribhujakṣetre ābādhāntarasamāsaviśeṣābhyāsaḥ bhavati | bhūmyā	triBuja kzetre AbADa antara samAsa viSeza aByAsaH Bavati | BUmyA
   ābādhāntarasamāsapramāṇayā vibhajya labdham bhūmau eva saṃkramaṇam |	AbADa antara samAsa pramANayA viBajya labDam BUmO eva saMkramaNam |
   "antarayuktam hīnam dalitam" iti [gaṇitaí, 24 ] | anena krameṇa	"antara yuktam hInam dalitam" iti [gaNitaí, 24 ] | anena krameNa
   ābādhāntarapramāṇe labhyete | tābhyām ābādhāntarapramāṇābhyām	AbADa antara pramANe laByete | tAByAm AbADa antara pramANAByAm
   viṣamatribhujasya samadalakoṭyānayanam | tat yathā ã bhujayoḥ vargarāśī	vizama tri Bujasya samadala kowi Anayanam | tat yaTA ã BujayoH vargarASI
   169, 225 | etayoḥ viśeṣaḥ 56 | bhujayoḥ	169, 225 | etayoH viSezaH 56 | BujayoH
   ekībhāvaḥ 28, tayoḥ viśeṣaḥ 2 | tayoḥ abhyāsaḥ iti [bhujayoḥ vargaviśeṣaḥ]	ekIBAvaH 28, tayoH viSezaH 2 | tayoH aByAsaH iti [BujayoH varga viSezaH]
   ābādhāntarasamāsapramāṇayā bhūmyā 14, anayā hṛte labdham 4, anena bhuvā	AbADa antara samAsa pramANayA BUmyAH 14, anayA hRte labDam 4, anena BuvA
   saha saṃkramaṇam "antarayuktam hīnam" iti 18, 10 | dalam iti yathākrameṇa	saha saMkramaNam "antara yuktam hInam" iti 18, 10 | dalam iti yaTAkrameNa
   ābādhāntare 1, 5 | etābhyām tribhujakṣetrasya avalambakānayanam ã	AbADa antare 1, 5 | etAByAm triBuja kzetrasya avalambakA nayanam ã
   pañcadaśakena karṇena navapramāṇena ca ābādhāntareṇa labdhā samadalakoṭī	paQcadaSakena karNena nava pramANena ca AbADa antareNa labDA samadala kowI
   12; trayodaśapramāṇena karṇena pañcapramāṇena ca ābādhāntareṇa labdhā sā	12; trayodaSa pramANena karNena paQca pramANena ca AbADa antareNa labDA sA
   eva samadalakoṭī	eva samadala kowI
   12 | phalam "samadalakoṭībhujārdhasaṃvargaḥ" iti bhujā bhūmiḥ, tasyāḥ	12 | Palam "samadala kowI Buja arDa saMvargaH" iti BujAH BUmiH, tasyAH
   ardham 7, samadalakoṭībhujārdhasaṃvargaḥ iti phalam āgatam 84 |	arDam 7, samadala kowI Buja arDa saMvargaH iti Palam Agatam 84 |
   uddeśakaḥ ã	uddeSakaH ã
   pañcāśat sā ekā bhūḥ triṃśat saptādhikā bhavet karṇaḥ |	paQcASat sA ekA BUH triMSat sapta aDikA Bavet karNaH |
   viṃśatiḥ anyaḥ proktaḥ viṣamatribhujasya kim phalam vācyam || 4 ||	viMSatiH anyaH proktaH vizama triBujasya kim Palam vAcyam || 4 ||
   nyāsaḥ ã	nyAsaH ã
   parilekhaḥ 8	parileKaH 8
   labdham pūrvakaraṇena ca ābādhāntare 16, 35, samadalakoṭī 12, phalam 206 |	labDam pUrva karaNena ca AbADa antare 16, 35, samadala kowI 12, Palam 206 |
   [śaḍaśrighanaphalam ]	[Saxa Sri Gana Palam ]
   ghanaphalānayanārtham asya eva tribhujakṣetrasya āryāpaścārdham āha ã	Gana Pala Anayana arTam asya eva triBuja kzetrasya AryA paSca arDam Aha ã
   ūrdhvabhujātatsaṃvargārdham sa ghanaḥ ṣaḍaśriḥ iti || 6 ||	UrDva BujA tad saMvarga arDam sa GanaH zaz aSriH iti || 6 ||
   ūrdhvabhujā kṣetramadhyaḥ ucchrāyaḥ, tat iti kṣetraphalam, ūrdhvabhujāyāḥ	UrDvaBujA kzetra maDyaH ucCrAyaH, tat iti kzetra Palam, UrDva BujAyAH
   tasya ca saṃvargaḥ ūrdhvabhujātatsaṃvargaḥ, tasya ardham	tasya ca saMvargaH UrDva BujA tad saMvargaH, tasya arDam
   ūrdhvabhujātatsaṃvargārdham | sa ghanaḥ ghanaphalam iti yāvat, sa ca	UrDva BujA tad saMvarga arDam | sa GanaH Gana Palam iti yAvat, sa ca
   ṣaḍaśriḥ | ṣaḍaśrayaḥ yasya saḥ ṣaḍaśriḥ ghanaḥ | atha nirjñāte	zaz aSriH | zaz aSrayaH yasya saH zaz aSriH GanaH | aTa nirjQAte
   ūrdhvabhujāpramāṇe ghanaphalam ūrdhvabhujātatsaṃvargārdham iti śakyate	UrDva Buja apramANe Gana Palam UrDva BujA tad saMvarga arDam iti Sakyate
   vaktum, na ca anirjñāte | satyam eva etat | kintu atra nirjñātam eva	vaktum, na ca anirjQAte | satyam eva etat | kintu atra nirjQAtam eva
   ūrdhvabhujāpramāṇam | kutaḥ ? śāstre	UrDva Buja apramANam | kutas ? SAstre
   tadānayanopāyapradarśanāt | tat yathā ã ūrdhvabhujā hi nāma kṣetramadhyaḥ	tad Anayana upAya pradarSanAt | tat yaTA ã UrDvaBujA hi nAma kzetra maDyaH
   ucchrāyaḥ iti pratyakṣam | sa ca tiryagavasthitasya śṛṅgāṭakakṣetrabāhoḥ	ucCrAyaH iti pratyakzam | sa ca tiryak avasTitasya SRFgAwaka kzetra bAhoH
   karṇavadavasthitasya koṭiḥ, bhujākarṇamūlakṣetrakendrāntarālam |	karNa vat avasTitasya kowiH, Buja AkarNa mUla kzetraka indra antarAlam |
   tadānayane trairāśikam ã yadi tribhujakṣetrāvalambakena	tad Anayane trErASikam ã yadi triBuja kzetra avalambakena
   tribhujakṣetrabāhuḥ labhyate tadā tasya eva	triBuja kzetra bAhuH laByate tadA tasya eva
   tribhujakṣetrabāhudalasaṅkhyakasya avalambakasya kiyān bāhuḥ iti | etat	triBuja kzetra bAhu dala saFKyakasya avalambakasya kiyAn bAhuH iti | etat 
   karṇabhujākoṭitrairāśikavidhānam pradeśāntaraprasiddham eva iti na	karNa BujA kowi trEH ASika viDAnam pradeSa antara prasidDam eva iti na
   atra abhihitam | sa ca pradeśaḥ "yaḥ ca eva bhujāvargaḥ kotīvargaḥ ca	atra aBihitam | sa ca pradeSaH "yaH ca eva Buja AvargaH kotI vargaH ca
   karṇavargaḥ saḥ" [gaṇitaí, 17] iti, "trairāśikaphalarāśim tam atha	karNa vargaH saH" [gaNitaí, 17] iti, "trErASika Pala rASim tam aTa
   icchārāśinā hatam" [gaṇitaí, 26 ] iti ca |	icCA rASinA hatam" [gaNitaí, 26 ] iti ca |
   uddeśakaḥ ã	uddeSakaH ã
   śṛṅgāṭakaghanagaṇitam dvādaśagaṇitāśritasya yat ca asya |	SRFgAwaka Gana gaNitam dvAdaSa gaNita ASritasya yat ca asya |
   ūrdhvabhujāparimāṇam sphuṭataram ācākṣva me śīghram || 1 ||	UrDva Buja aparimANam sPuwataram AcAkzva me SIGram || 1 ||
   nyāsaḥ ã	nyAsaH ã
   parilekhaḥ 9	parileKaH 9
   karaṇam ã yadi aṣṭottaraśatakaraṇikena [avalambakena]	karaNam ã yadi azwottaraSata karaNikena [avalambakena]
   catuścatvāriṃśaduttaraśatakaraṇikaḥ karṇaḥ labhyate, tadā	catuScatvAriMSat uttaraSata karaNikaH karNaH laByate, tadA
   ṣaṭtriṃśatkaraṇikena avalambakena kiyān karṇaḥ iti |	zawtriMSat karaNikena avalambakena kiyAn karNaH iti |
   trairāśikopapattipradarśanārtham kṣetranayāsaḥ ã	trErASika upapatti pradarSana arTam kzetranayAsaH ã
   parilekhaḥ 10	parileKaH 10
   trairāśikanyāsaḥ ca 108, 144, 36 | [ etāḥ karaṇyaḥ ]	trErASika nyAsaH ca 108, 144, 36 | [ etAH karaNyaH ]
   labdhaḥ antaḥkarṇaḥ [karaṇyaḥ] 48 | ayam eva karṇaḥ ūrdhvam	labDaH antaHkarNaH [karaNyaH] 48 | ayam eva karNaH UrDvam
   avasthitatribhuja[kṣetrasya bhujā] | karṇakṛteḥ bhujāvargaviśeṣaḥ	avasTita triBuja[ kzetrasya BujA] | karNa kRteH Buja Avarga viSezaH
   ūrdhvabhujāvargaḥ | sa ca 16 | tatra ūrdhvabhujā sūtrakaiḥ śalākādibhiḥ vā	UrDva Buja AvargaH | sa ca 16 | tatra UrDvaBujA sUtrakEH SalAkA AdiBiH vA
   pradarśayitavyā | kṣetraphalam [karaṇyaḥ] 3888. etāsām	pradarSayitavyAH | kzetra Palam [karaNyaH] 3888. etAsAm
   kṣetraphalakaraṇīnām ūrdhvabhujākaraṇīnām ca saṃvargārdham ghanaḥ bhavati	kzetra Pala karaNInAm UrDva BujA karaNInAm ca saMvarga arDam GanaH Bavati
   | ardham iti atra karaṇitvāt dvayoḥ karaṇībhiḥ caturbhiḥ bhāgaḥ hriyate |	| arDam iti atra karaNi tvAt dvayoH karaNIBiH caturBiH BAgaH hriyate |
   labdham ghanaphalam karaṇyaḥ 93312 |	labDam Gana Palam karaNyaH 93312 |
   uddeśakaḥ ã	uddeSakaH ã
   aṣṭādaśa karṇānām saṅkhyā śṛṅgāṭakasya nirdiṣṭā |	azwAdaSa karNAnAm saFKyA SRFgAwakasya nirdizwA |
   ūrdhvabhujāgaṇitāgram jijñāsuḥ aham sakhe tasya || 2 ||	UrDva BujA gaNita agram jijQAsuH aham saKe tasya || 2 ||
   nyāsaḥ ã	nyAsaH ã
   parilekhaḥ 11	parileKaH 11
   ūrdhvabhujā pūrvakaraṇena eva karaṇyaḥ 216 | phalam api pūrvavat eva	UrDva BujA pUrva karaNena eva karaNyaH 216 | Palam api pUrvavat eva
   labdham karaṇyaḥ 1062882 || 6 ||	labDam karaNyaH 1062882 || 6 ||
   [ vṛttakṣetraphalam ]	[ vRtta kzetra Palam ]
   atha vṛttakṣetraphalānayanārtham āha ã	aTa vRtta kzetra Pala Anayana arTam Aha ã
   samapariṇāhasya ardham viṣkambhārdhahatam eva vṛttaphalam |	sama pariNAhasya arDam vizkamBa arDa hatam eva vRtta Palam |
   pariṇāhaḥ paridhiḥ | samaḥ ca asau pariṇāhaḥ ca samapariṇāhaḥ, tasya	pariNAhaH pariDiH | samaH ca asO pariNAhaH ca sama pariNAhaH, tasya
   ardham | anye punar anyathā vigraham kurvanti ã samaḥ pariṇāhaḥ yasya	arDam | anye punar anyaTA vigraham kurvanti ã samaH pariNAhaH yasya
   kṣetrasya tat samapariṇāham, tasya ardham iti | teṣām kṣetraphalārdhasya	kzetrasya tat sama pariNAham, tasya arDam iti | tezAm kzetra Pala arDasya
   grahaṇam prāpnoti, anya pādārthena samapariṇāhaśabdena kṣetrābhidhānāt |	grahaNam prApnoti, anya  pAda arTena sama pariNAha Sabdena kzetra aBiDAnAt |
   viṣkambhaḥ vyāsaḥ, tasya ardham viṣkambhārdham, tena hatam	vizkamBaH vyAsaH, tasya arDam vizkamBa arDam, tena hatam
   viṣkambhārdhahatam, viṣkambhārdhaguṇitam iti yāvat | evakārakaraṇam	vizkamBa arDa hatam, vizkamBa arDa guNitam iti yAvat | eva kAra karaNam
   āryāpūraṇārtham pratipattavyam	Arya ApUraNa arTam pratipattavyam
   | athavā evakārakaraṇena upāyaniyamaḥ kriyate | samapariṇāhasya ardham	| aTavA eva kAra karaNena upAya niyamaH kriyate | sama pariNAhasya arDam
   viṣkambhārdhahatam eva vṛttaphalam, na anyat upāyāntaram iti | na, etat	vizkamBa arDa hatam eva vRtta Palam, na anyat upAya antaram iti | na, etat 
   asti, upāyāntaraśravaṇāt anyatra "vyāsārdhakṛtiḥ trisaṅguṇā gaṇitam" iti |	asti, upAya antara SravaNAt anyatra "vyAsa arDa kRtiH tri saFguNA gaNitam" iti |
   na etat upāyāntaram sūkṣmam, kintu vyāvahārikam iti | tasmāt ekam eva	na etat upAya antaram sUkzmam, kintu vyAvahArikam iti | tasmAt ekam eva
   upāyāntaram, sūkṣmagaṇitānayanasya na anyat iti |	upAya antaram, sUkzma gaNita Anayanasya na anyat iti |
   uddeśakaḥ ã	uddeSakaH ã
   aṣṭadvādaśaṣaṭkāḥ viṣkambhāḥ tattvataḥ mayā dṛṣṭāḥ |	azwa dvAdaSa zawkAH vizkamBAH tattvataH mayA dRzwAH |
   teṣām samavṛttānām paridhiphalam me pṛthak brūhi || 1 ||	tezAm sama vRttAnAm pariDi Palam me pRTak brUhi || 1 ||
   nyāsaḥ ã 8, 12, 6	nyAsaH ã 8, 12, 6
   parilekhaḥ 12	parileKaH 12
   eteṣām trairāśikena vakṣyamāṇaviṣkambhaparidhipramāṇaphalābhyām [gaṇitaí,	etezAm trErASikena vakzyamANa vizkamBa pariDi pramANa PalAByAm [gaNita í,
   10] labdhāḥ paridhayaḥ yathākrameṇa ã	10] labDAH pariDayaH yaTAkrameNa ã
   phalānayane karaṇam ã samapariṇāhasya ardham iti viṣkambhārdham jātam 4 |	Pala Anayane karaNam ã sama pariNAhasya arDam iti vizkamBa arDam jAtam 4 |
   anena eva tatsamapariṇāhasya ardham	anena eva tad sama pariNAhasya arDam
   guṇitam vṛttaphalam jātam	guNitam vRtta Palam jAtam
   anena eva karaṇena śeṣayoḥ paridhyoḥ yathāsaṅkhyena phale ã	anena eva karaNena SezayoH pariDyoH yaTAsaFKyena Pale ã
   [golaghanaphalam]	[gola Gana Palam]
   ghanaphalapradarśanārtham āha ã	Gana Pala pradarSana arTam Aha ã
   tat nijamūlena hatam ghanagolaphalam niravaśeṣam || 7 ||	tat nija mUlena hatam Gana gola Palam niravaSezam || 7 ||
   tat iti anena pūrvārdhagaṇitaniṣpannam vṛttakṣetrasya tatphalam	tat iti anena pUrva arDa gaNita nizpannam vRtta kzetrasya tad Palam
   parigṛhyate | nijamūlam ātmanaḥ mūlam | yat kṣetraphalam tat svakīyena	parigRhyate | nija mUlam AtmanaH mUlam | yat kzetra Palam tat svakIyena
   mūlena guṇitam iti yāvat | athavā tat kṣetraphalam, nijam avitatham	mUlena guNitam iti yAvat | aTavA tat kzetra Palam, nijam avitaTam
   āmnāyāviruddham iti arthaḥ, mūlena hatam, anyasya aśrutatvāt svena mūlena	AmnAya avirudDam iti arTaH, mUlena hatam, anyasya aSruta tvAt svena mUlena
   tatkṣetraphalam guṇitam | nijamūlena hatam nijamūlahatam iti vigrahaḥ |	tad kzetra Palam guNitam | nija mUlena hatam nija mUla hatam iti vigrahaH |
   tat punar kṣetraphalam mūlakriyamāṇam karaṇitvam pratipadyate, yasmāt	tat punar kzetra Palam mUla kriyamANam karaNi tvam pratipadyate, yasmAt 
   karaṇīnām mūla[m apekṣitam]	karaNInAm mUla[m apekzitam]
   | tataḥ punar api karaṇīnām akaraṇībhiḥ saṃvargaḥ na asti iti kṣetraphalam	| tatas punar api karaNInAm akaraNIBiH saMvargaH na asti iti kzetra Palam
   karaṇyate | evam ayam arthaḥ arthāt avasīyate kṣetraphalavargaḥ	karaNyate | evam ayam arTaH arTAt avasIyate kzetra Pala vargaH
   kṣetraphalena guṇitaḥ iti | ghanaḥ ca asau golaḥ ca ghanagolaḥ, golaḥ	kzetra Palena guNitaH iti | GanaH ca asO golaH ca GanagolaH, golaH
   vṛttam, ghanagolasya phalam ghanagolaphalam | niravaśeṣam | na kiñcit	vRttam, Ganagolasya Palam Gana gola Palam | niravaSezam | na kiQcid 
   anena karmaṇā śiṣyate | yena anyena karmaṇā ghanagolaphalam ānayanti na	anena karmaNA Sizyate | yena anyena karmaNA Gana gola Palam Anayanti na
   tena ghanagolaphalam niravaśeṣam bhavati, vyāvahārikatvāt tasya karmaṇaḥ ã	tena Gana gola Palam niravaSezam Bavati, vyAvahArika tvAt tasya karmaNaH ã
   vyāsārdhaghanam bhitvā navaguṇitam ayoguḍasya ghanagaṇitam |	vyAsa arDa Ganam BitvA nava guNitam ayaH guxasya Gana gaNitam |
   iti |	iti |
   uddeśakaḥ ã	uddeSakaH ã
   dvau pañca tathā paṅktiḥ vyāsāḥ jñeyāḥ krameṇa vṛttānām |	dvO paQca taTA paFktiH vyAsAH jQeyAH krameNa vRttAnAm |
   ghanagolaphalāni eṣām jijñāsuḥ aham samāsena || 1 ||	Gana gola PalAni ezAm jijQAsuH aham samAsena || 1 ||
   nyāsaḥ ã	nyAsaH ã
   parilekhaḥ 13	parileKaH 13
   eṣām paridhayaḥ trairāśikena eva labdhāḥ yathāsaṅkhyena ã	ezAm pariDayaH trErASikena eva labDAH yaTAsaFKyena ã
   karaṇam ã pūrvābhihitagaṇitakarmaṇā [dvi]viṣkambhakṣetrasya yat phalam	karaNam ã pUrva aBihita gaNita karmaNA [dvi]vizkamBa kzetrasya yat Palam
   āyātam	AyAtam
   1250 tasya mūlam etat eva karaṇīgatam aśuddhakṛtitvāt pratipattavyam | tat	1250 tasya mUlam etat eva karaNI gatam aSudDa kRti tvAt pratipattavyam | tat 
   ca savarṇitam jātam	ca sa varNitam jAtam
   1250. etat kṣetraphalavargeṇa guṇitam jātam ghanaphalam karaṇyaḥ 31,	1250. etat kzetra Pala vargeNa guNitam jAtam Gana Palam karaNyaH 31,
   karaṇībhāgāḥ ca	karaNI BAgAH ca
   evam śeṣayoḥ api yathāsaṅkhyena ghanaphalakaraṇyaḥ karaṇībhāgāḥ ca ã	evam SezayoH api yaTA saFKyena Gana Pala karaNyaH karaNI BAgAH ca ã
   [samalambacaturbhujaphalam]	[sama lamba catur Buja Palam]
   dvi[sama viṣama]caturaśrādīnām antaḥkarṇayoḥ ca atra	dvi[sama vizama] caturaSra AdInAm antaHkarNayoH ca atra
   sampātapramāṇaphalaparijñānāya āryām āha ã	sampAta pramANa Pala parijQAnAya AryAm Aha ã
   āyāmaguṇe pārśve tadyogahṛte svapātelekhe te |	AyAma guNe pArSve tad yoga hRte sva pAteleKe te |
   vistarayogārdhaguṇe jñeyam kṣetraphalam āyāme || 8 ||	vistara yoga arDa guNe jQeyam kzetra Palam AyAme || 8 ||
   āyāmaḥ vistāraḥ dairghyam iti paryāyāḥ | āyāmaḥ guṇaḥ yayoḥ te āyāmaguṇe |	AyAmaH vistAraH dErGyam iti paryAyAH | AyAmaH guNaH yayoH te AyAma guNe |
   ke te ? pārśve | bhūḥ ekam pārśvam mukham itaram | āyāmaguṇe bhūvadane iti	ke te ? pArSve | BUH ekam pArSvam muKam itaram | AyAma guNe BU vadane iti
   arthaḥ | tayoḥ yogaḥ tadyogaḥ | kayoḥ ? pārśvayoḥ | tadyogahṛte | ke ?	arTaH | tayoH yogaH tad yogaH | kayoH ? pArSvayoH | tad yoga hRte | ke ?
   āyāmaghne pārśve | svasya pātaḥ svapātaḥ, svapātayoḥ lekhe svapātalekhe |	AyAma Gne pArSve | svasya pAtaH sva pAtaH, sva pAtayoH leKe sva pAta leKe |
   dve api pṛthak pṛthak labdhe iti vākyaśeṣaḥ | svapātalekhā nāma	dve api pRTak pRTak labDe iti vAkya SezaH | sva pAta leKA nAma
   antaḥkarṇayoḥ saṃpātasya bhūmukhamadhyasya ca antarālam | vistaraḥ	antaHkarNayoH saMpAtasya BUmuKa maDyasya ca antarAlam | vistaraH
   kṣetrasya pṛthutvam	kzetrasya pRTutvam
   | yadi evam vistāraḥ iti prāpnoti "prathane vākyaśabde" [aṣṭādhyāyī,	| yadi evam vistAraH iti prApnoti "praTane vAkya Sabde" [azwa aDyAyI,
   3.3.33] iti ghañi kṛte | ne eṣaḥ doṣaḥ | ayam avastre staraśabdaḥ, tena	3.3.33] iti GaQi kRte | ne ezaH dozaH | ayam avastre stara SabdaH, tena
   viśabdena samāsāntaḥ asau "vividhastaraḥ vistaraḥ" iti | vistarayoḥ yogaḥ	viSabdena samAsa antaH asO "viviDaH taraH vistaraH" iti | vistarayoH yogaH
