   akasmāj jāyate sthūlaḥ VMv_1.61a	akasmAt jAyate sTUlaH VMu-_1.61a
   ṣaṇṇavatidinonitaiḥ VMv_2.43d	zaNNavati-dina-UnitEH VMu-_2.43d
   ṣoḍaśadinavāhena VMv_2.46c	zoxaSa-dinavAhena VMu-_2.46c
   ṣoḍaśābdavapuṣmatīm VMv_4.29d	zoxaSa-abda-vapuzmatIm VMu-_4.29d
   'ṣṭādaśāhavivarjitāt VMv_2.50b	azwAdaSa-aha-vivarjitAt VMu-_2.50b
   'ṣṭottaraśatamātrikaḥ VMv_4.67b	azwottaraSata-mAtrikaH VMu-_4.67b
   sa eva jeyo yatnena VMv_4.67c	saH eva jeyaH yatnena VMu-_4.67c
   sakṣudrakaṃ mahāmeghaṃ VMv_3.23c	sa-kzudrakam mahA-meGam VMu-_3.23c
   saṅgatyāgād anuṣṭhānam VMv_4.7a	saFga-tyAgAt anuzWAnam VMu-_4.7a
   sa jayatu jitamṛtyur darśitānantamāyaḥ VMv_1.1d	sa jayatu jita-mRtyuH darSita-ananta-mAyaH VMu-_1.1d
   satkṛtya vācayed bhikṣūn VMv_3.24a	satkRtya vAcayet BikzUn VMu-_3.24a
   sattvānukampayā proktam VMv_4.100c	sattva-anukampayA proktam VMu-_4.100c
   satyasvapno 'tha yo naraḥ VMv_1.121b	satya-svapnaH aTa yaH naraH VMu-_1.121b
   satyaṃ dānaṃ tapaḥ kṣamā VMv_3.9b	satyam dAnam tapaH kzamA VMu-_3.9b
   sadā samāhito bhūtvā VMv_1.22a	sadA samAhitaH BUtvA VMu-_1.22a
   saddharmapaṭhanakriyaḥ VMv_4.4b	sat-Darma-paWana-kriyaH VMu-_4.4b
   sadyaḥpratyayakāribhiḥ VMv_3.34d	sadyas-pratyaya-kAriBiH VMu-_3.34d
   sadyaḥ syāj jīvayann imān VMv_3.12b	sadyas syAt jIvayan imAn VMu-_3.12b
   sadyaḥ syān mārayann imān VMv_3.13b	sadyas syAt mArayan imAn VMu-_3.13b
   sadyo mṛtyur bhaven nūnam VMv_1.41c	sadyas mRtyuH Bavet nUnam VMu-_1.41c
   sadyo yad vā mṛtasyaiva VMv_3.75c	sadyas yat vA mRtasya-eva VMu-_3.75c
   saptatriṃśadgṛhānvitam VMv_2.54b	saptatriMSat-gRha-anvitam VMu-_2.54b
   saptarātrād bhaven mṛtyuḥ VMv_1.79c	sapta-rAtrAt Bavet mRtyuH VMu-_1.79c
   saptāhamṛtyor jāyeta VMv_1.71c	sapta-aha-mRtyoH jAyeta VMu-_1.71c
   saptāhaṃ cet tribhir varṣaiḥ VMv_2.42c	sapta-aham ced triBiH varzEH VMu-_2.42c
   saptāhaṃ dhūmamālikām VMv_1.102b	sapta-aham DUma-mAlikAm VMu-_1.102b
   saptāhān mṛtyukārikā VMv_1.127d	sapta-ahAt mRtyu-kArikAH VMu-_1.127d
   saptāhān mṛtyudarśanāt VMv_1.56d	sapta-ahAt mRtyu-darSanAt VMu-_1.56d
   saptāhān mriyate nūnaṃ VMv_1.47c	sapta-ahAt mriyate nUnam VMu-_1.47c
   saptāhāyuś cirāyuḥ syād VMv_3.21c	sapta-AhAyuH cira-AyuH syAt VMu-_3.21c
   samatītya mukhe vahet VMv_2.18b	samatItya muKe vahet VMu-_2.18b
   samatītya vahed yasya VMv_2.19c	samatItya vahet yasya VMu-_2.19c
   samantato 'nantatāvāpti- VMv_3.52c	samantataH ananta-tA-avApti VMu-_3.52c
   samaprakṛtiyuktānāṃ VMv_2.6a	sama-prakRti-yuktAnAm VMu-_2.6a
   samasapta iti khyātas VMv_2.30c	samasaptaH iti KyAtaH VMu-_2.30c
   samasaptagate sūrye VMv_2.29a	sama-sapta-gate sUrye VMu-_2.29a
   samastagātrastabdhatve VMv_1.112a	samasta-gAtra-stabDa-tve VMu-_1.112a
   samastam athavā vyastaṃ VMv_3.78a	samastam aTavA vyastam VMu-_3.78a
   samādhimudrāsaṃsakta- VMv_4.24a	samADi-mudrA-saMsakta VMu-_4.24a
   samudraṃ ca nadīm iva VMv_1.74d	samudram ca nadIm iva VMu-_1.74d
   sa mṛtyor antike sthitaḥ VMv_1.129d	sa mRtyoH antike sTitaH VMu-_1.129d
   samyakśraddhābhiyogataḥ VMv_3.66d	samyak-SradDA-aBiyogataH VMu-_3.66d
   samyagjñānavataḥ sarvam VMv_4.7c	samyak-jQAnavataH sarvam VMu-_4.7c
   saraśmikaṃ citrabhānuṃ VMv_1.73c	sa-raSmikam citraBAnum VMu-_1.73c
   sara sara samabalā VMv_3.53d	sara sara sama-balAH VMu-_3.53d
   sarvatra dvitricaturo VMv_2.26a	sarvatra dvi-tri-caturaH VMu-_2.26a
   sarvatra sūryamārgāntar- VMv_2.32a	sarvatra sUrya-mArga-antar VMu-_2.32a
   sarvatrāpratihatāvāpti- VMv_3.51c	sarvatra-apratihata-avApti VMu-_3.51c
   sarvathā vañcanaṃ mṛtyor VMv_1.4a	sarvaTA vaQcanam mRtyoH VMu-_1.4a
   sarvaprāṇabhṛtāṃ sadā VMv_2.6b	sarva-prANaBRtAm sadA VMu-_2.6b
   sarvarogavinirmukto VMv_4.56c	sarva-roga-vinirmuktaH VMu-_4.56c
   sarvarogān vinirjitya VMv_4.44c	sarva-rogAn vinirjitya VMu-_4.44c
   sarvavajrapadād vighna- VMv_4.13c	sarva-vajra-padAt viGna VMu-_4.13c
   sarvavighnavināyakān VMv_4.17b	sarva-viGna-vinAyakAn VMu-_4.17b
   sarvavighnān nivārayet VMv_4.9d	sarva-viGnAn nivArayet VMu-_4.9d
   sarvavighnān nivārayet VMv_4.15b	sarva-viGnAn nivArayet VMu-_4.15b
   sarvasaṅgavivarjitaḥ VMv_4.44b	sarva-saFga-vivarjitaH VMu-_4.44b
   sarvasattvārthasaṃpādi- VMv_4.24c	sarva-sattva-arTa-saMpAdi VMu-_4.24c
   sarvasaṃbuddhatatputra- VMv_4.30a	sarva-saMbudDa-tad-putra VMu-_4.30a
   sarvasiddhāntasaṃmataḥ VMv_3.11b	sarva-sidDAnta-saMmataH VMu-_3.11b
   sarvasvaṃ jīvitaṃ cāpi VMv_3.6a	sarva-svam jIvitam ca-api VMu-_3.6a
   sarvākāravarātmikā VMv_4.75b	sarva-AkAra-vara-AtmikA VMu-_4.75b
   sarvākāravaropetā VMv_4.76e	sarva-AkAra-vara-upetAH VMu-_4.76e
   sarvākāravaropetāṃ VMv_4.79a	sarva-AkAra-vara-upetAm VMu-_4.79a
   sarvāṅgaśītalatvena VMv_1.83c	sarva-aFgaSItala-tvena VMu-_1.83c
   sarvāpadbhayarakṣā ca VMv_4.49c	sarva-Apad-Baya-rakzA ca VMu-_4.49c
   sarvārthasādhani svāhā VMv_3.46a	sarva-arTa-sADani svAhA VMu-_3.46a
   sarvālaṅkārabhūṣitam VMv_4.22d	sarva-alaFkAra-BUzitam VMu-_4.22d
   sarvālaṅkārasaṃpūrṇāṃ VMv_4.29c	sarva-alaFkAra-saMpUrNAm VMu-_4.29c
   sarvālambanavarjitā VMv_4.76d	sarva-Alambana-varjitAH VMu-_4.76d
   sarvālambanasaṃyogāt VMv_4.76c	sarva-Alambana-saMyogAt VMu-_4.76c
   sa syāt ṣaḍmāsamṛtyukaḥ VMv_1.122d	sa syAt zaz-mAsa-mRtyukaH VMu-_1.122d
   sa svapne pratyayaṃ kṛtvā VMv_1.121c	sa svapne pratyayam kRtvA VMu-_1.121c
   sahasā bhavato yadi VMv_1.55b	sahasA BavataH yadi VMu-_1.55b
   sahasā yady araktatā VMv_1.60b	sahasA yadi arakta-tA VMu-_1.60b
   sahasradalapaṅkajam VMv_4.45b	sahasradala-paFkajam VMu-_4.45b
   sahasram ekaṃ satataṃ VMv_4.56a	sahasram ekam satatam VMu-_4.56a
   sahasrāṇy ekaviṃśatiḥ VMv_4.51b	sahasrANi ekaviMSatiH VMu-_4.51b
   sahasrāvartadhāraṇyā VMv_3.28c	sahasrAvarta-DAraNyAH VMu-_3.28c
   saṃkrāntipañcakaṃ yasya VMv_2.18a	saMkrAnti-paQcakam yasya VMu-_2.18a
   saṃkrāntipūrṇamāsyādau VMv_1.24a	saMkrAnti-pUrNamAsya-AdO VMu-_1.24a
   saṃkrāntirahito vāyur VMv_2.15a	saMkrAnti-rahitaH vAyuH VMu-_2.15a
   saṃkrāntīś ca trayodaśa VMv_2.19b	saMkrAntIH ca trayodaSa VMu-_2.19b
   saṃkrāntau mriyate hi saḥ VMv_2.15d	saMkrAntO mriyate hi saH VMu-_2.15d
   saṃkhyātītāni bāhyāni VMv_1.138a	saMKyA-atItAni bAhyAni VMu-_1.138a
   saṃkhyāvṛddhyā tato 'vaśyam VMv_4.50c	saMKyA-vRdDyA tatas avaSyam VMu-_4.50c
   saṃjapyāyutahomena VMv_4.9c	saMjapya-ayuta-homena VMu-_4.9c
   saṃtyajya vāyum athavā VMv_4.73a	saMtyajya vAyum aTavA VMu-_4.73a
   saṃpuṭādikatantrokta- VMv_3.72a	saMpuwa-Adika-tantra-ukta VMu-_3.72a
   saṃplāvayato nidhyānāt VMv_4.46c	saMplAvayataH niDyAnAt VMu-_4.46c
   saṃbuddhāṅkajaṭādharam VMv_4.23b	saMbudDa-aFka-jawA-Daram VMu-_4.23b
   saṃbharadvayam uccaret VMv_3.58b	saMBara-dvayam uccaret VMu-_3.58b
   saṃyatān iva saṃtatam VMv_1.92b	saMyatAn iva saMtatam VMu-_1.92b
   saṃśayo naiva yuktibhāk VMv_3.65b	saMSayaH na-eva yukti-BAj VMu-_3.65b
   saṃśayo naiva yujyate VMv_3.82b	saMSayaH na-eva yujyate VMu-_3.82b
   saṃśayo yuktibhāg yataḥ VMv_3.38b	saMSayaH yukti-BAj yatas VMu-_3.38b
   saṃsargarahite ramye VMv_4.2c	saMsarga-rahite ramye VMu-_4.2c
   saṃsāraṃ ca na paśyati VMv_4.80d	saMsAram ca na paSyati VMu-_4.80d
   saṃsāre kiṃ cid īkṣyate VMv_1.7b	saMsAre kim cit Ikzyate VMu-_1.7b
   saṃskāreṇa cirasthitiḥ VMv_4.91b	saMskAreNa cira-sTitiH VMu-_4.91b
   saṃskāreṇa na kiṃ bhavet VMv_4.91d	saMskAreNa na kim Bavet VMu-_4.91d
   saṃhārakramasaṃsthitāt VMv_4.40b	saMhAra-krama-saMsTitAt VMu-_4.40b
   sāgare syāt padaṃ tataḥ VMv_3.54d	sAgare syAt padam tatas VMu-_3.54d
   sādhyanāmādyanābhikam VMv_4.31d	sADya-nAma-Adya-nABikam VMu-_4.31d
   sāmānyakālasaṃbodhaḥ VMv_2.28a	sAmAnya-kAla-saMboDaH VMu-_2.28a
   sāmānyalakṣaṇaṃ mṛtyor VMv_2.4c	sAmAnya-lakzaNam mRtyoH VMu-_2.4c
   sāriṣṭaṃ vañcanaṃ mṛtyor VMv_1.3c	sa-arizwam vaQcanam mRtyoH VMu-_1.3c
   sāśītikaśatatrayam VMv_4.102d	sASItika-Sata-trayam VMu-_4.102d
   sitāravindamadhyastha- VMv_4.28a	sita-aravinda-maDya-sTa VMu-_4.28a
   siddhamantrauṣadhādibhiḥ VMv_3.34b	sidDa-mantra-OzaDa-AdiBiH VMu-_3.34b
   siddhayaś cābhivāñchitāḥ VMv_4.74d	sidDayaH ca-aBivAQCitAH VMu-_4.74d
   siddhavidyādharair yathā VMv_3.35d	sidDa-vidyADarEH yaTA VMu-_3.35d
   siddhopadeśasaṃprāpteḥ VMv_4.90c	sidDa-upadeSa-saMprApteH VMu-_4.90c
   siṃhavikrīḍitāmudrā- VMv_4.60a	siMha-vikrIxita-amudrA VMu-_4.60a
   siṃhādyaṣṭamahābhīti- VMv_4.35c	siMha-Adi-azwa-mahA-BIti VMu-_4.35c
   suptaḥ śīrṣe śarīre vā VMv_1.130c	suptaH SIrze SarIre vA VMu-_1.130c
   suprajño 'pi karoti kim VMv_1.9d	su-prajQaH api karoti kim VMu-_1.9d
   subahūny api vijñāya VMv_4.94a	su-bahUni api vijQAya VMu-_4.94a
   sulabhāni hi śāstrāṇi VMv_4.84a	sulaBAni hi SAstrANi VMu-_4.84a
   suvarṇarajataprabham VMv_1.68b	suvarNa-rajata-praBam VMu-_1.68b
   suhṛdbandhuvipad bhavet VMv_2.12b	suhRd-banDu-vipad Bavet VMu-_2.12b
   sūcitas tasya vistaraḥ VMv_3.33b	sUcitaH tasya vistaraH VMu-_3.33b
   sūryamārgagate vāyau VMv_1.98a	sUrya-mArga-gate vAyO VMu-_1.98a
   sūryaśītāṃśusaṃjñake VMv_2.7b	sUrya-SItAMSu-saMjQake VMu-_2.7b
   sūryaṃ raśmivivarjitam VMv_1.73b	sUryam raSmi-vivarjitam VMu-_1.73b
   sūryāṃśuṃ himaśītalam VMv_1.76d	sUrya-aMSum hima-SItalam VMu-_1.76d
   sūrye ced vāti mārutaḥ VMv_2.40b	sUrye ced vAti mArutaH VMu-_2.40b
   sūrye 'pi yadi candrasya VMv_1.106a	sUrye api yadi candrasya VMu-_1.106a
   sūrye vahati mārutaḥ VMv_2.10b	sUrye vahati mArutaH VMu-_2.10b
   saiva saptapadībhavet VMv_1.28b	sA-eva saptapadI-Bavet VMu-_1.28b
   sotsāhānāṃ nāsty asādhyaṃ narāṇāṃ VMv_4.93c	sa-utsAhAnAm na-asti asADyam narANAm VMu-_4.93c
   sthiratve 'pi svadehasya VMv_1.118a	sTira-tve api sva-dehasya VMu-_1.118a
   snātamātrasya śuṣyataḥ VMv_1.87b	snAta-mAtrasya SuzyataH VMu-_1.87b
   spandanaṃ cen na dṛśyate VMv_1.54b	spandanam ced na dRSyate VMu-_1.54b
   spandete yasya locane VMv_2.16b	spandete yasya locane VMu-_2.16b
   sphuṭo 'yam upadarśitaḥ VMv_2.28b	sPuwaH ayam upadarSitaH VMu-_2.28b
   sphuracchvetāṃśumaṇḍalam VMv_4.20b	sPurat-SvetAMSu-maNxalam VMu-_4.20b
   sphuratsaṃdhi kapolaṃ syād VMv_1.25a	sPurat-saMDi kapolam syAt VMu-_1.25a
   sphurantīṃ dakṣiṇāśritām VMv_1.64d	sPurantIm dakziNa-ASritAm VMu-_1.64d
   sphurupadam ataḥ param VMv_3.45b	sPuru-padam atas param VMu-_3.45b
   syāc cet tulyaṃ tadā māsaiḥ VMv_1.43c	syAt ced tulyam tadA mAsEH VMu-_1.43c
   syāc cet pakṣāt tadā mṛtiḥ VMv_1.57b	syAt ced pakzAt tadA mRtiH VMu-_1.57b
   syād alpāyuḥ sudīrghāyuḥ VMv_3.19c	syAt alpa-AyuH su-dIrGa-AyuH VMu-_3.19c
   syād īṅkāras tataḥ param VMv_3.62b	syAt IFkAraH tatas param VMu-_3.62b
   syād gaganamahāvara VMv_3.54b	syAt gagana-mahA-varaH VMu-_3.54b
   syād dvyekamāsaiḥ pakṣeṇa VMv_2.38c	syAt dvi-eka-mAsEH pakzeNa VMu-_2.38c
   syān mṛtyuvañcanaṃ siddha- VMv_3.70c	syAt mRtyu-vaQcanam sidDa VMu-_3.70c
   svacchāyāṃ yo na paśyati VMv_1.63d	svacCAyAm yaH na paSyati VMu-_1.63d
   svanetrayoś caturdikṣu VMv_1.103a	sva-netrayoH catur-dikzu VMu-_1.103a
   svanetre jvalanaṃ tathā VMv_1.74b	sva-netre jvalanam taTA VMu-_1.74b
   svaparasamayasiddhadhyānakarmaprasādhyam VMv_4.98b	sva-para-samaya-sidDa-DyAna-karma-prasADyam VMu-_4.98b
   svapnadṛṣṭanimittānāṃ VMv_1.133c	svapna-dRzwa-nimittAnAm VMu-_1.133c
   svapno 'py asatyaḥ sarveṣāṃ VMv_1.120c	svapnaH api asatyaH sarvezAm VMu-_1.120c
   svabhāvas tv anulomaḥ syād VMv_4.59c	svaBAvaH tu anulomaH syAt VMu-_4.59c
   svayam āyanti nāśitām VMv_4.27d	svayam Ayanti nASitAm VMu-_4.27d
   svayam unnīya kartavyas VMv_3.33c	svayam unnIya kartavyaH VMu-_3.33c
   svayaṃ vā saṃpravartayet VMv_3.24b	svayam vA saMpravartayet VMu-_3.24b
   svarūpasya viparyāsāt VMv_1.107a	svarUpasya viparyAsAt VMu-_1.107a
   svavarṇamudrāveṣāḍhyān VMv_4.21a	sva-varNa-mudrA-veza-AXyAn VMu-_4.21a
   svavarṇaveṣamudrābhir VMv_4.38c	sva-varNa-veza-mudrABiH VMu-_4.38c
   svaśirojvalanaṃ tathā VMv_1.66b	sva-SiraH-jvalanam taTA VMu-_1.66b
   svasthasya lālājihvā cen VMv_1.113a	svasTasya lAlA-jihvA ced VMu-_1.113a
   svasthendriyasya patane VMv_1.108c	svasTa-indriyasya patane VMu-_1.108c
   svāhāntaṃ mṛtyuvañcanam VMv_3.42d	svAhA-antam mRtyu-vaQcanam VMu-_3.42d
   svāhāntaḥ sārvakarmikaḥ VMv_4.33d	svAhA-antaH sArvakarmikaH VMu-_4.33d
   sveṣṭadaivatatadbhakta- VMv_3.18a	sva-izwa-dEvata-tad-Bakta VMu-_3.18a
   sveṣṭadaivatapūjādi- VMv_4.4a	sva-izwa-dEvata-pUjA-Adi VMu-_4.4a
   sveṣṭadaivatayogād vai VMv_4.39a	sva-izwa-dEvata-yogAt vE VMu-_4.39a
   hakāraḥ śītasaṃsparśaḥ VMv_1.80a	hakAraH SIta-saMsparSaH VMu-_1.80a
   hanadvayaṃ dahadvayaṃ VMv_4.16c	hana-dvayam daha-dvayam VMu-_4.16c
   hanyate svavikalpena VMv_4.81c	hanyate sva-vikalpena VMu-_4.81c
   hara hara smara smara- VMv_3.53a	hara hara smara smara VMu-_3.53a
   harmyavastrādisaṃgamaḥ VMv_4.36b	harmya-vastra-Adi-saMgamaH VMu-_4.36b
   hasadvayaṃ trayadvayaṃ VMv_3.54a	hasa-dvayam traya-dvayam VMu-_3.54a
   hastayoḥ pādayoś caiva VMv_1.44a	hastayoH pAdayoH ca-eva VMu-_1.44a
   haṃsakākamayūrāṇāṃ VMv_1.65c	haMsa-kAka-mayUrANAm VMu-_1.65c
   hīnamadhyādibhedena VMv_4.62c	hIna-maDyAdi-Bedena VMu-_4.62c
   huto dūrvādināthavā VMv_3.47d	hutaH dUrvA-AdinA-aTavA VMu-_3.47d
   hūṃ hūṃ phaṭ phaṭ tataḥ svāhā- VMv_3.57c	hUm hUm Paw Paw tatas svAhA VMu-_3.57c
   hūṃ hūṃ phaṭ phaṭ svāhā VMv_4.14c	hUm hUm Paw Paw svAhA VMu-_4.14c
   hūṃ hūṃ ruru cale svāhā VMv_3.59a	hUm hUm ruru cale svAhA VMu-_3.59a
   hṛccandrasaṃpuṭāntasthaṃ VMv_4.22a	hRd-candra-saMpuwa-anta-sTam VMu-_4.22a
   hṛtkaṇṭhamadhyayor vedhas VMv_1.45a	hRd-kaNWa-maDyayoH veDaH VMu-_1.45a
   hṛdayaṃ parikīrtitaḥ VMv_3.55d	hRdayam parikIrtitaH VMu-_3.55d
   hṛdayaṃ sarvasiddhidam VMv_3.59d	hRdayam sarva-sidDi-dam VMu-_3.59d
   hṛdaye krandanaṃ sāśru VMv_1.76a	hRdaye krandanam sa-aSru VMu-_1.76a
   hṛdayenāthavāsyaiva VMv_4.15a	hRdayena-aTavA-asya-eva VMu-_4.15a
   herukākārabhāvanām VMv_4.41b	heruka-AkAra-BAvanAm VMu-_4.41b
   hlādayataḥ samastāṅgaṃ VMv_4.43c	hlAdayataH samasta-aFgam VMu-_4.43c
