   akatvam upapannayoḥ__Vdha_100.048	aka tvam upapannayoH__VDaH _100.048
   kuryāt saṃkalpam ātmanaḥ__Vdha_031.022	kuryAt saMkalpam AtmanaH__VDaH _031.022
   kuryād digbandham ātmanaḥ__Vdha_028.*(18).011	kuryAt digbanDam AtmanaH__VDaH _028.*(18).011
   kuryād dīneṣu karuṇāṃ__Vdha_040.004	kuryAt dInezu karuNAm__VDaH _040.004
   kuryād yānudinaṃ bhaktyā__Vdha_022.023	kuryAt yAn udinam BaktyA__VDaH _022.023
   kuryād vā dharmadeśanām__Vdha_068.056	kuryAt vA Darma deSanAm__VDaH _068.056
   kuryād vā dharmadeśanām__Vdha_099.003	kuryAt vA Darma deSanAm__VDaH _099.003
   kuryān nityam atandritā__Vdha_022.024	kuryAt nityam atandritA__VDaH _022.024
   kuryān nityam upoṣitā__Vdha_022.025	kuryAt nityam upozitA__VDaH _022.025
   kuryān māsacatuṣṭayam__Vdha_004.047	kuryAt mAsa catuzwayam__VDaH _004.047
   kuryān muktāphalekṣaṇām__Vdha_086.006	kuryAt muktAPala IkzaNAm__VDaH _086.006
   kurvañ jagatpatir viṣṇuḥ__Vdha_089.045	kurvan jagatpatiH vizNuH__VDaH _089.045
   kurvañ śūdro yathāvidhi__Vdha_101.006	kurvan SUdraH yaTAviDi__VDaH _101.006
   kurvatas tasya tat punaḥ__Vdha_070.037	kurvataH tasya tat punar __VDaH _070.037
   kurvataḥ kimu kālas te__Vdha_038.045	kurvataH kimu kAlaH te__VDaH _038.045
   kurvataḥ kṣīyate pūrvaṃ__Vdha_042.004	kurvataH kzIyate pUrvam__VDaH _042.004
   kurvataḥ prāṇināṃ vadham__Vdha_069.008	kurvataH prANinAm vaDam__VDaH _069.008
   kurvatā vidhṛtāḥ sapta__Vdha_090.012	kurvatA viDRtAH sapta__VDaH _090.012
   kurvato dārapoṣaṇam__Vdha_094.011	kurvataH dAra pozaNam__VDaH _094.011
   kurvato yan mahātmanām__Vdha_070.078	kurvataH yat mahAtmanAm__VDaH _070.078
   kurvadbhir nṛpate karma__Vdha_096.010	kurvadBiH nRpate karma__VDaH _096.010
   kurvanti tān naravyāghra__Vdha_105.055	kurvanti tAn nara vyAGra__VDaH _105.055
   kurvanti dvijaśārdūla__Vdha_033.012	kurvanti dvija SArdUla__VDaH _033.012
   kurvanti narakasthitān__Vdha_025.028	kurvanti naraka sTitAn__VDaH _025.028
   kurvantu bhaktiṃ paramām anante__Vdha_092.032	kurvantu Baktim paramAm anante__VDaH _092.032
   kurvanto nijakarmāṇi__Vdha_101.050	kurvantaH nija karmANi__VDaH _101.050
   kurvanty ajñānadurmadāḥ__Vdha_025.023	kurvanti ajQAna durmadAH__VDaH _025.023
   kurvanty aharaho dvija__Vdha_025.022	kurvanti aharaho dvija__VDaH _025.022
   kurvanty ālambanatvena__Vdha_095.010	kurvanti Alambana tvena__VDaH _095.010
   kurvanty ete mamaivājñāṃ__Vdha_002.013	kurvanti ete mama eva AjQAm__VDaH _002.013
   kurvann ālakṣyatām eti__Vdha_073.024	kurvan AlakzyatAm eti__VDaH _073.024
   kurvann uccāraṇaṃ tathā__Vdha_008.003	kurvan uccAraNam taTA__VDaH _008.003
   kurvan pāpaṃ vyapohati__Vdha_064.071	kurvan pApam vyapohati__VDaH _064.071
   kurvan pūrtāśritaṃ cānyat__Vdha_097.008	kurvan pUrta ASritam ca anyat __VDaH _097.008
   kurvan bhaktiṃ naraḥ sadā__Vdha_065.029	kurvan Baktim naraH sadA__VDaH _065.029
   kurvan bhaktiṃ hṛṣīkeśe__Vdha_072.001	kurvan Baktim hRzIkeSe__VDaH _072.001
   kurvan mā kṣayam etu ca__Vdha_030.019	kurvan mA kzayam etu ca__VDaH _030.019
   kurvan vā karma na tv aham__Vdha_079.104	kurvan vA karma na tu aham__VDaH _079.104
   kurvan vai viṣṇuśuśrūṣāṃ__Vdha_006.004	kurvan vE vizNu SuSrUzAm__VDaH _006.004
   kurvāṇā sakalān kāmān__Vdha_022.017	kurvANA sakalAn kAmAn__VDaH _022.017
   kurvāṇau paramaṃ tapaḥ__Vdha_102.021	kurvANO paramam tapaH__VDaH _102.021
   kurvīta kiṃ pumān sthānaṃ__Vdha_040.001	kurvIta kim pumAn sTAnam__VDaH _040.001
   kurvīta ca sadātmanaḥ__Vdha_040.007	kurvIta ca sat A AtmanaH__VDaH _040.007
   kurvīta tanmanā bhūtvā__Vdha_040.032	kurvIta tad manAH BUtvA__VDaH _040.032
   kurvīta dīpahartā tu__Vdha_032.040	kurvIta dIpa hartA tu__VDaH _032.040
   kurvīta niyamaṃ tasya__Vdha_089.032	kurvIta niyamam tasya__VDaH _089.032
   kurvīta bhāvanāṃ tatra__Vdha_099.030	kurvIta BAvanAm tatra__VDaH _099.030
   kurvīta śuddhim āsthāya__Vdha_040.002	kurvIta SudDim AsTAya__VDaH _040.002
   kurvīta śraddhayā yukto__Vdha_101.031	kurvIta SradDayA yuktaH __VDaH _101.031
   kurvīta susamāhitaḥ__Vdha_024.009	kurvIta su samAhitaH__VDaH _024.009
   kurvīta homaṃ caitrādau__Vdha_030.034	kurvIta homam cEtra AdO__VDaH _030.034
   kurvītākhilapāṣaṇḍair__Vdha_024.023	kurvIta aKila pAzaNxEH __VDaH _024.023
   kurvītārādhanaṃ nārī__Vdha_022.020	kurvIta ArADanam nArI__VDaH _022.020
   kurvītālambanaṃ kāle__Vdha_100.024	kurvIta Alambanam kAle__VDaH _100.024
   kurvītepsitam ātmanaḥ__Vdha_004.036	kurvIta Ipsitam AtmanaH__VDaH _004.036
   kulajāṃ śīlamaṇḍanām__Vdha_064.044	kula jAm SIla maNxanAm__VDaH _064.044
   kulam ekaṃ dvidhākṛtam__Vdha_059.031	kulam ekam dviDA akRtam__VDaH _059.031
   kulasaṃtatimān naraḥ__Vdha_007.020	kula saMtatimAn naraH__VDaH _007.020
   kulānāṃ śatam āgāmi__Vdha_080.019	kulAnAm Satam AgAmi__VDaH _080.019
   kulāni puruṣarṣabha__Vdha_079.084	kulAni puruza RzaBa__VDaH _079.084
   kulālaḥ prathamaṃ nṛpa__Vdha_096.006	kulAlaH praTamam nRpa__VDaH _096.006
   kule ca sati duḥśīlā__Vdha_016.006	kule ca sati duHSIlA__VDaH _016.006
   kule janma tathārogyaṃ__Vdha_008.017	kule janma taTA Arogyam__VDaH _008.017
   kule jātismaro nṛpa__Vdha_094.053	kule jAtismaraH nRpa__VDaH _094.053
   kule pradhāne dhanadhānyapūrṇe__Vdha_008.025	kule praDAne Dana DAnya pUrNe__VDaH _008.025
   kule mahati jāyate__Vdha_056.010,*(69)	kule mahati jAyate__VDaH _056.010,*(69)
   kule viṣṇuparigrahe__Vdha_043.014	kule vizNu parigrahe__VDaH _043.014
   kule sa jñātivardhanaḥ__Vdha_006.012	kule sa jQAti varDanaH__VDaH _006.012
   kule satāṃ sphītadhane__Vdha_005.018	kule satAm sPIta Dane__VDaH _005.018
   kuvṛttyā pāpacetasaḥ__Vdha_094.011	ku vRttyA pApa cetasaH__VDaH _094.011
   kuśamadhye janārdanaḥ__Vdha_028.*(18).002	kuSa maDye janArdanaH__VDaH _028.*(18).002
   kuśamūlasthito brahmā__Vdha_028.*(18).002	kuSa mUla sTitaH brahmA__VDaH _028.*(18).002
   kuśalākuśaleṣu tat__Vdha_100.014	kuSala akuSalezu tat __VDaH _100.014
   kuśasthajalabindavaḥ__Vdha_028.*(18).006	kuSa sTa jala bindavaH__VDaH _028.*(18).006
   kuśāgre śaṃkaraṃ vidyāt__Vdha_028.*(18).003	kuSa agre SaMkaram vidyAt __VDaH _028.*(18).003
   kuśāgrair dālbhya śāntikṛt__Vdha_028.*(18).005	kuSa agrEH dAlBya SAnti kRt __VDaH _028.*(18).005
   kuśāñ śuddhān upaspṛśet__Vdha_028.*(18).004	kuSAn SudDAn upaspRSet __VDaH _028.*(18).004
   kuśair nirmārjitaṃ mayā__Vdha_028.058	kuSEH nirmArjitam mayA__VDaH _028.058
   kuśodakaṃ tathaivānyad__Vdha_005.013	kuSa udakam taTA eva anyat __VDaH _005.013
   kuṣṭharogaṃ tathā kṣayam__Vdha_028.034	kuzWa rogam taTA kzayam__VDaH _028.034
   kuṣṭhaṃ māṃsīm uśīraṃ ca__Vdha_088.003	kuzWam mAMsIm uSIram ca__VDaH _088.003
   kusumākaraśītalam__Vdha_067.*(94)	kusumAkara SItalam__VDaH _067.*(94)
   kuhakaiś ca jane tadā__Vdha_105.036	kuhakEH ca jane tadA__VDaH _105.036
   kūṭayuktim apāśritāḥ__Vdha_073.039	kUwa yuktim apASritAH__VDaH _073.039
   kūṭayuktisamanvitam__Vdha_025.024	kUwa yukti samanvitam__VDaH _025.024
   kūṣmāṇḍās te praṇaśyantu__Vdha_069.026	kUzmANxAH te praNaSyantu__VDaH _069.026
   kṛcchracāndrāyaṇādīni__Vdha_038.008	kRcCra cAndrAyaNa AdIni__VDaH _038.008
   kṛcchrād ātmānam udvahan__Vdha_094.014	kRcCrAt AtmAnam udvahan__VDaH _094.014
   kṛcchrād ucchvāsya mastakam__Vdha_037.020	kRcCrAt ucCvAsya mastakam__VDaH _037.020
   kṛcchreṇāsādyate naraiḥ__Vdha_057.019	kRcCreNa AsAdyate narEH__VDaH _057.019
   kṛcchreṣv āpatsu saṃbhrame__Vdha_068.057	kRcCrezu Apatsu saMBrame__VDaH _068.057
   kṛcchrotsṛṣṭāḥ poṣaṇāyābhyupetā__Vdha_059.014	kRcCra utsRzwAH pozaNAya aByupetAH __VDaH _059.014
   kṛtakāryam ivātmānaṃ__Vdha_083.002	kRta kAryam iva AtmAnam__VDaH _083.002
   kṛtakṛtyasya devasya__Vdha_077.*(126)	kRtakRtyasya devasya__VDaH _077.*(126)
   kṛtakṛtyaḥ sadaiva saḥ__Vdha_105.062	kRtakRtyaH sadA eva saH__VDaH _105.062
   kṛtakṛtyaḥ sukhī cāsmi__Vdha_083.004	kRtakRtyaH suKI ca asmi__VDaH _083.004
   kṛtakṛtyo 'smi mārgatām__Vdha_077.050	kRtakRtyaH asmi mArga tAm__VDaH _077.050
   kṛtaghne grāmayājake__Vdha_049.005	kRtaGne grAma yAjake__VDaH _049.005
   kṛtapūjaṃ jagaddhātur__Vdha_072.046	kRta pUjam jagadDAtuH __VDaH _072.046
   kṛtapūjaḥ prasādayet__Vdha_024.015	kRta pUjaH prasAdayet __VDaH _024.015
   kṛtabuddhir varānanāḥ__Vdha_032.024	kRta budDiH varAnanAH__VDaH _032.024
   kṛtam etad ato nābhūd__Vdha_081.030	kRtam etat atas na aBUt __VDaH _081.030
   kṛtam eva ca kartavyaṃ__Vdha_104.021	kRtam eva ca kartavyam__VDaH _104.021
   kṛtarakṣaṃ samantataḥ__Vdha_069.009	kRta rakzam samantataH__VDaH _069.009
   kṛtavān yogināṃ vīra__Vdha_082.052	kRtavAn yoginAm vIra__VDaH _082.052
   kṛtavāṃś cāpi yac cāhaṃ__Vdha_093.016	kRtavAn ca api yat ca aham__VDaH _093.016
   kṛtavāṃs tvaṃ janārdanaḥ__Vdha_020.004	kRtavAn tvam janArdanaH__VDaH _020.004
   kṛtavīryasutatvāc ca__Vdha_030.044	kRtavIrya suta tvAt ca__VDaH _030.044
   kṛtavīryo mahīpālo__Vdha_030.011	kRtavIryaH mahIpAlaH __VDaH _030.011
   kṛtasaṃpraśnasatkathān__Vdha_001.002	kRta saMpraSna sat kaTAn__VDaH _001.002
   kṛtaṃ karma śubhāśubham__Vdha_037.032	kRtam karma SuBa aSuBam__VDaH _037.032
   kṛtaṃ jalamayaṃ budhaḥ__Vdha_088.007	kRtam jala mayam buDaH__VDaH _088.007
   kṛtaṃ tasmāc ca tenokto__Vdha_083.016	kRtam tasmAt ca tena uktaH __VDaH _083.016
   kṛtaṃ tena tadātmanā__Vdha_098.026	kRtam tena tad AtmanA__VDaH _098.026
   kṛtaṃ tena tu yat pāpaṃ__Vdha_070.086	kRtam tena tu yat pApam__VDaH _070.086
   kṛtaṃ tena samastaṃ me__Vdha_031.029	kRtam tena samastam me__VDaH _031.029
   kṛtaṃ tretā dvāparaṃ ca__Vdha_104.009	kRtam tretA dvAparam ca__VDaH _104.009
   kṛtaṃ na śakito hantuṃ__Vdha_072.038	kRtam na SakitaH hantum__VDaH _072.038
   kṛtaṃ nāmayugaṃ pūrvaṃ__Vdha_104.021	kRtam nAma yugam pUrvam__VDaH _104.021
   kṛtaṃ pāpam ajānatā__Vdha_093.013	kRtam pApam ajAnatA__VDaH _093.013
   kṛtaṃ pāpaṃ mayā bhuktam__Vdha_037.035	kRtam pApam mayA Buktam__VDaH _037.035
   kṛtaṃ yad aśubhaṃ karma__Vdha_070.076	kRtam yat aSuBam karma__VDaH _070.076
   kṛtaṃ yaiś ca gavānṛtam__Vdha_023.014	kRtam yEH ca gavAnRtam__VDaH _023.014
   kṛtaṃ rājyaṃ tathā bhūpa__Vdha_065.009	kRtam rAjyam taTA BUpa__VDaH _065.009
   kṛtaṃ vartmāvatāraṇam__Vdha_094.055	kRtam vartma avatAraNam__VDaH _094.055
   kṛtaṃ śuśrūṣaṇaṃ vīra__Vdha_082.050	kRtam SuSrUzaNam vIra__VDaH _082.050
   kṛtaṃ saṃmārjanaṃ tvayā__Vdha_082.053	kRtam saMmArjanam tvayA__VDaH _082.053
   kṛtaḥ kopān mahātmabhiḥ__Vdha_052.007	kRtaH kopAt mahAtmaBiH__VDaH _052.007
   kṛtaḥ prasādo hi mayā__Vdha_075.038	kRtaH prasAdaH hi mayA__VDaH _075.038
   kṛtādivasatir divi__Vdha_027.006	kRta Adi vasatiH divi__VDaH _027.006
   kṛtādiṣu jagat pāti__Vdha_104.049	kRta Adizu jagat pAti__VDaH _104.049
   kṛtādiṣv eva tenaiṣa__Vdha_104.050	kRta Adizu eva tena eza__VDaH _104.050
   kṛtā dūrvāṅkurair api__Vdha_003.048	kRtA dUrvA aFkurEH api__VDaH _003.048
   kṛtānām avijānatā__Vdha_085.012	kRtAnAm avijAnatA__VDaH _085.012
   kṛtāni bahavo hatāḥ__Vdha_070.005	kRtAni bahavaH hatAH__VDaH _070.005
   kṛtābhilaṣitā hy eṣā__Vdha_014.012	kRta aBilazitAH hi ezA__VDaH _014.012
   kṛtābhiṣekaṃ tanayam__Vdha_001.001	kRta aBizekam tanayam__VDaH _001.001
   kṛtāyatanavāsaś ca__Vdha_036.034	kRta Ayatana vAsaH ca__VDaH _036.034
   kṛtārtho 'haṃ gamiṣyāmi__Vdha_064.048	kRtArTaH aham gamizyAmi__VDaH _064.048
   kṛtā vedadvijātike__Vdha_033.007	kRtA veda dvijAtike__VDaH _033.007
   kṛtāsanaparigrahām__Vdha_030.012	kRta Asana parigrahAm__VDaH _030.012
   kṛtās tenātra dahyāmi__Vdha_037.034	kRtAH tena atra dahyAmi__VDaH _037.034
   kṛtāḥ striyaś ca me bahvyo__Vdha_070.005	kRtAH striyaH ca me bahvyaH __VDaH _070.005
   kṛte 'pi pāpake karmaṇy__Vdha_032.068	kRte api pApake karmaNi __VDaH _032.068
   kṛte bhārāvataraṇe__Vdha_035.005	kRte BAra avataraNe__VDaH _035.005
   kṛte yuge catuṣpādaś__Vdha_104.033	kRte yuge catuzpAdaH __VDaH _104.033
   kṛte yuge bhavantīha__Vdha_104.029	kRte yuge Bavanti iha__VDaH _104.029
   kṛte yuge manaḥśuddhir__Vdha_105.005	kRte yuge manaH SudDiH __VDaH _105.005
   kṛte yeṣāṃ na ma kṛtam__Vdha_037.031	kRte yezAm na me kRtam__VDaH _037.031
   kṛte samyaṅ naro bhaktyā__Vdha_093.022	kRte samyak naraH BaktyA__VDaH _093.022
   kṛte saṃmārjane tasyās__Vdha_031.020	kRte saMmArjane tasyAH __VDaH _031.020
   kṛtodyameśāna jayāvyayātman__Vdha_035.023	kRta udyameSAna jaya avyaya Atman__VDaH _035.023
   kṛtodyogasya pārthiva__Vdha_082.058	kRta udyogasya pArTiva__VDaH _082.058
   kṛtopanayanaḥ pūrvaṃ__Vdha_101.022	kRta upanayanaH pUrvam__VDaH _101.022
   kṛtopavāsaḥ saṃprāśya__Vdha_085.003	kRta upavAsaH saMprASya__VDaH _085.003
   kṛtopavāsaḥ susnātaḥ__Vdha_005.020	kRta upavAsaH su snAtaH__VDaH _005.020
   kṛtopavāsā puṣpādi__Vdha_022.015	kRta upavAsA puzpa Adi__VDaH _022.015
   kṛtopavāso deveśaṃ__Vdha_016.012	kRta upavAsaH deveSam__VDaH _016.012
   kṛto bhedo durācārair__Vdha_023.029	kRtaH BedaH durAcArEH __VDaH _023.029
   kṛto vratamayo mayā__Vdha_018.016	kRtaH vrata mayaH mayA__VDaH _018.016
   kṛttikāsu tathā kaṭim__Vdha_029.021	kRttikAsu taTA kawim__VDaH _029.021
   kṛtyarūpo vibhīṣaṇaḥ__Vdha_025.016	kRtya rUpaH viBIzaNaH__VDaH _025.016
   kṛtyāsparśabhayaṃ vāpi__Vdha_028.007	kRtyA sparSa Bayam vA api__VDaH _028.007
   kṛtrimaṃ vāpi yad viṣam__Vdha_028.040	kRtrimam vA api yat vizam__VDaH _028.040
   kṛtvā karmāṇy asādhūni__Vdha_037.027	kRtvA karmANi asADUni__VDaH _037.027
   kṛtvā ca taṃ mahīpālam__Vdha_038.025	kRtvA ca tam mahIpAlam__VDaH _038.025
   kṛtvā ca sthaṇḍilaṃ mṛdā__Vdha_020.003	kRtvA ca sTaNxilam mRdA__VDaH _020.003
   kṛtvā tatpravaṇaṃ manaḥ__Vdha_025.007	kRtvA tad pravaNam manaH__VDaH _025.007
   kṛtvātmanaḥ prītikarīṃ__Vdha_099.016	kRtvA AtmanaH prIti karIm__VDaH _099.016
   kṛtvā dinacatuṣṭayam__Vdha_013.011	kRtvA dina catuzwayam__VDaH _013.011
   kṛtvā niyatamānasaḥ__Vdha_004.041	kRtvA niyata mAnasaH__VDaH _004.041
   kṛtvānyaviṣayatyāgi__Vdha_072.016	kRtvA anya vizaya tyAgi__VDaH _072.016
   kṛtvāpi pāpaṃ govindaṃ__Vdha_105.072	kRtvA api pApam govindam__VDaH _105.072
   kṛtvā pūjāṃ yathāvidhi__Vdha_014.007	kRtvA pUjAm yaTAviDi__VDaH _014.007
   kṛtvā praṇāmam āhedaṃ__Vdha_090.003	kRtvA praNAmam Aha idam__VDaH _090.003
   kṛtvā praveśaṃ kurute__Vdha_104.052	kRtvA praveSam kurute__VDaH _104.052
   kṛtvā bhaktiṃ janārdane__Vdha_079.036	kRtvA Baktim janArdane__VDaH _079.036
   kṛtvā manasi keśavam__Vdha_070.085	kRtvA manasi keSavam__VDaH _070.085
   kṛtvā manas taraty etāṃ__Vdha_088.067	kRtvA manaH tarati etAm__VDaH _088.067
   kṛtvā māsatrayaṃ budhaḥ__Vdha_007.008	kRtvA mAsa trayam buDaH__VDaH _007.008
   kṛtvā mīnamayīṃ sadyaḥ__Vdha_066.008	kRtvA mIna mayIm sadyas __VDaH _066.008
   kṛtvā rūpaṃ mahākāyaṃ__Vdha_077.065	kRtvA rUpam mahA kAyam__VDaH _077.065
   kṛtvā lakṣmyās tathā hareḥ__Vdha_041.011	kRtvA lakzmyAH taTA hareH__VDaH _041.011
   kṛtvālpam īdṛśaṃ prāptaṃ__Vdha_082.080	kRtvA alpam IdRSam prAptam__VDaH _082.080
   kṛtvā vapur divyanṛsiṃharūpiṇaṃ__Vdha_039.021	kRtvA vapuH divya nRsiMha rUpiNam__VDaH _039.021
   kṛtvā viṣṇoḥ samāhitaḥ__Vdha_085.003	kRtvA vizNoH samAhitaH__VDaH _085.003
   kṛtvā śrāddhasamanvitaḥ__Vdha_086.008	kRtvA SrAdDa samanvitaH__VDaH _086.008
   kṛtvā sadaivārtimatāṃ__Vdha_089.008	kRtvA sadA eva ArtimatAm__VDaH _089.008
   kṛtvā hi manyuṃ viṣayasthitānām__Vdha_064.032	kRtvA hi manyum vizaya sTitAnAm__VDaH _064.032
   kṛtvaitat tu japec chuciḥ__Vdha_004.038	kRtvA etat tu japet SuciH__VDaH _004.038
   kṛtvaivaṃ purato viṣṇor__Vdha_089.033	kRtvA evam puratas vizNoH __VDaH _089.033
   kṛtvottarīyaparyaṅkaṃ__Vdha_001.030	kRtvA uttarIya paryaFkam__VDaH _001.030
   kṛtvopalepanaṃ bhūyaḥ__Vdha_031.028	kRtvA upalepanam BUyas __VDaH _031.028
   kṛtsnāṃ vāpi vasuṃdharām__Vdha_062.*(76)	kRtsnAm vA api vasuMDarAm__VDaH _062.*(76)
   kṛtsnāṃ vā pṛthivīṃ dadyān__Vdha_068.056	kRtsnAm vA pRTivIm dadyAn__VDaH _068.056
   kṛtsnāṃ vā pṛthivīṃ dadyān__Vdha_099.003	kRtsnAm vA pRTivIm dadyAn__VDaH _099.003
   kṛpayā bhāvitātmāno__Vdha_050.*(61),010	kRpayA BAvitAtmAnaH __VDaH _050.*(61),010
   kṛpayaiva tathā sarve__Vdha_072.107	kRpayA eva taTA sarve__VDaH _072.107
   kṛpāṃ cakāra sa muniḥ__Vdha_094.038	kRpAm cakAra sa muniH__VDaH _094.038
   kṛmikīṭajalaukādi __Vdha_023.031	kRmi kIwa jalOkA Adi __VDaH _023.031
   kṛśāya kṛśabhṛtyāya__Vdha_060.022	kRSAya kRSa BRtyAya__VDaH _060.022
   kṛśāya tu viśeṣeṇa__Vdha_059.041	kRSAya tu viSezeNa__VDaH _059.041
   kṛṣibhāgī bhaved rājan__Vdha_056.006	kRzi BAgI Bavet rAjan__VDaH _056.006
   kṛṣibhāgī yaśobhāgī__Vdha_056.020	kRzi BAgI yaSaH BAgI__VDaH _056.020
   kṛṣir viphalatāṃ gatā__Vdha_082.048	kRziH viPala tAm gatA__VDaH _082.048
   kṛṣṇa kṛṣṇa kṛpālus tvam__Vdha_004.040	kRzNa kRzNa kRpAluH tvam__VDaH _004.040
   kṛṣṇatuṣṭipradaṃ nṛṇām__Vdha_004.053	kRzNa tuzwi pradam nRNAm__VDaH _004.053
   kṛṣṇadṛṣṭihataṃ cāsya__Vdha_044.022	kRzNa dRzwi hatam ca asya__VDaH _044.022
   kṛṣṇadvaipāyanaḥ prāha__Vdha_094.005	kRzNadvEpAyanaH prAha__VDaH _094.005
   kṛṣṇanābhihradodbhūta __Vdha_066.007	kRzNanABi hrada udBUta __VDaH _066.007
   kṛṣṇanāmaprakīrtanāt__Vdha_093.022	kRzNa nAma prakIrtanAt __VDaH _093.022
   kṛṣṇanāmnā ca saṃstūya__Vdha_034.005	kRzNa nAmnA ca saMstUya__VDaH _034.005
   kṛṣṇapakṣadvitīyāyāṃ__Vdha_041.005	kRzNa pakza dvitIyAyAm__VDaH _041.005
   kṛṣṇapraṇāmī na punarbhavāya__Vdha_004.*(4)	kRzNa praNAmI na punarBavAya__VDaH _004.*(4)
   kṛṣṇam abhyarcya pūjāṃ ca__Vdha_007.002	kRzNam aByarcya pUjAm ca__VDaH _007.002
   kṛṣṇam abhyarcya yad bhaktyā__Vdha_105.061	kRzNam aByarcya yat BaktyA__VDaH _105.061
   kṛṣṇam abhyarcya yo naraḥ__Vdha_091.005	kRzNam aByarcya yaH naraH__VDaH _091.005
   kṛṣṇaśaṅkharavāhatāḥ__Vdha_069.024	kRzNa SaFKa rava AhatAH__VDaH _069.024
   kṛṣṇasarpā hi jāyante__Vdha_060.030	kRzNasarpAH hi jAyante__VDaH _060.030
   kṛṣṇasya jagataḥ pateḥ__Vdha_007.003	kRzNasya jagataH pateH__VDaH _007.003
   kṛṣṇasya jagataḥ pateḥ__Vdha_082.052	kRzNasya jagataH pateH__VDaH _082.052
   kṛṣṇasya devabhūtyarthaṃ__Vdha_077.018	kRzNasya deva BUti arTam__VDaH _077.018
   kṛṣṇasyākliṣṭakarmaṇaḥ__Vdha_067.010	kRzNasya aklizwa karmaNaH__VDaH _067.010
   kṛṣṇasyādbhutakarmaṇaḥ__Vdha_001.022	kRzNasya adButa karmaNaH__VDaH _001.022
   kṛṣṇasyārādhanaṃ prati__Vdha_001.031	kRzNasya ArADanam prati__VDaH _001.031
   kṛṣṇasyaitāni dvādaśa__Vdha_005.020	kRzNasya etAni dvAdaSa__VDaH _005.020
   kṛṣṇasyaiva jagatpateḥ__Vdha_007.005	kRzNasya eva jagatpateH__VDaH _007.005
   kṛṣṇaṃ raktāsthimajjāsu__Vdha_028.*(18).042	kRzNam rakta asTi majjAsu__VDaH _028.*(18).042
   kṛṣṇaḥ pratyakṣatāṃ yayau__Vdha_094.114	kRzNaH pratyakzatAm yayO__VDaH _094.114
   kṛṣṇaḥ saṃpūjito yais tu__Vdha_088.030	kRzNaH saMpUjitaH yEH tu__VDaH _088.030
   kṛṣṇākhyena punaḥ punaḥ__Vdha_034.006	kRzNa AKyena punar punar __VDaH _034.006
   kṛṣṇācyuta hṛṣīkeśa__Vdha_072.072	kRzNa acyuta hRzIkeSa__VDaH _072.072
   kṛṣṇācyutānanta jagannivāsa__Vdha_072.064	kRzNa acyuta ananta jagannivAsa__VDaH _072.064
   kṛṣṇājine tilāṃ kṛtvā__Vdha_046.018	kRzNAjine tilAm kRtvA__VDaH _046.018
   kṛṣṇāptau paripanthinaḥ__Vdha_064.076	kRzNa AptO paripanTinaH__VDaH _064.076
   kṛṣṇāyākliṣṭakarmaṇe__Vdha_092.015	kRzNAya aklizwa karmaNe__VDaH _092.015
   kṛṣṇāyeti namo 'stv atra__Vdha_105.035	kRzNAya iti namaH astu atra__VDaH _105.035
   kṛṣṇārādhanakāṅkṣiṇaḥ__Vdha_037.002	kRzNa ArADana kAFkziNaH__VDaH _037.002
   kṛṣṇārādhanakāṅkṣiṇaḥ__Vdha_037.004	kRzNa ArADana kAFkziNaH__VDaH _037.004
   kṛṣṇārādhanakāṅkṣiṇaḥ__Vdha_083.011	kRzNa ArADana kAFkziNaH__VDaH _083.011
   kṛṣṇārādhanakāmasya__Vdha_089.006	kRzNa ArADana kAmasya__VDaH _089.006
   kṛṣṇārpitamanā jyeṣṭham__Vdha_006.010	kRzNa arpita manAH jyezWam__VDaH _006.010
   kṛṣṇārpitamanovṛttiṃ__Vdha_072.047	kRzNa arpita manaH vRttim__VDaH _072.047
   kṛṣṇālaye parityājyaṃ__Vdha_080.035	kRzNa Alaye parityAjyam__VDaH _080.035
   kṛṣṇālāpāt priyatarās__Vdha_072.104	kRzNa AlApAt priyatarAH __VDaH _072.104
   kṛṣṇāṣṭamīm imāṃ yas tu__Vdha_007.011	kRzNa azwamIm imAm yaH tu__VDaH _007.011
   kṛṣṇāṣṭamyāṃ caitramāse__Vdha_007.002	kRzNa azwamyAm cEtra mAse__VDaH _007.002
   kṛṣṇāṃ vā yadi vetarām__Vdha_046.018	kRzNAm vA yadi vA itarAm__VDaH _046.018
   kṛṣṇāṃśena svarūpiṇā__Vdha_104.048	kRzNa aMSena svarUpiNA__VDaH _104.048
   kṛṣṇe kārṣṇyopalakṣite__Vdha_105.030	kRzNe kArzNya upalakzite__VDaH _105.030
   kṛṣṇe kṛṣṇatvam āgate__Vdha_105.011	kRzNe kRzNa tvam Agate__VDaH _105.011
   kṛṣṇe kṛṣṇatvam āgate__Vdha_105.017	kRzNe kRzNa tvam Agate__VDaH _105.017
   kṛṣṇe kṛṣṇatvam āgate__Vdha_105.048	kRzNe kRzNa tvam Agate__VDaH _105.048
   kṛṣṇe kṛṣṇatvam āgate__Vdha_105.052	kRzNe kRzNa tvam Agate__VDaH _105.052
   kṛṣṇe guruguror gurau__Vdha_076.047	kRzNe guru guroH gurO__VDaH _076.047
   kṛṣṇe cātrāsitaṃ nṛpa__Vdha_104.053	kRzNe ca atra asitam nRpa__VDaH _104.053
   kṛṣṇety udīritaṃ yaiś ca__Vdha_088.034	kRzNa iti udIritam yEH ca__VDaH _088.034
