   Skandapurāṇa: Revākhaṇḍa (RKS)	SkandapurANa: RevAKaNxa (RKS)
   iti śrīskandapurāṇe revākhaṇḍe nāgeśvarākhyānaṃ nāma saptadaśo 'dhyāyaḥ ||	iti SrI skandapurANe revAKaNxe nAgeSvara AKyAnam nAma saptadaSaH aDyAyaH ||
   RKS adhyāya 18	RKH aDyAyaH 18
   mārkaṇḍeya uvāca:	mArkaNxeyaH uvAca:
   athānyat kathayiṣyāmi tīrthaṃ ca janakottamam /	aTa anyat kaTayizyAmi tIrTam ca janaka uttamam /
   revāyā uttare kūle sarvasiddhipradāyakam // RKS_18.1 //	revAyAH uttare kUle sarva sidDi pradAyakam // RKH _18.1 //
   aśvamedhaṃ tu tatraiva śatamedhaṃ tathāparam /	aSvameDam tu tatra eva SatameDam taTA aparam /
   sahasramedhaṃ vijñeyaṃ surāsuranamaskṛtam // RKS_18.2 //	sahasrameDam vijQeyam sura asura namaskRtam // RKH _18.2 //
   lakṣamedhaṃ tathā cānyaṃ śivena parikīrtitam /	lakza meDam taTA ca anyam Sivena parikIrtitam /
   janako nāma rājarṣir yatreṣṭvā tridivaṃ yayau // RKS_18.3 //	janakaH nAma rAjarziH yatra izwvA tridivam yayO // RKH _18.3 //
   svārociṣe 'ntare prāpte tretāyāṃ ca narādhipa /	svArocize antare prApte tretAyAm ca narADipa /
   purodhasaṃ yājñavalkyaṃ brahmarṣiṃ brahmavittamam // RKS_18.4 //	puroDasam yAjQavalkyam brahmarzim brahma vittamam // RKH _18.4 //
   kaśyapasyāśramaṃ puṇyaṃ brahmarṣigaṇasevitam /	kaSyapasya ASramam puNyam brahmarzi gaNa sevitam /
   siddhagandharvagītāḍhyaṃ vedadhvaninināditam // RKS_18.5 //	sidDa ganDarva gIta AXyam veda Dvani ninAditam // RKH _18.5 //
   yuktaṃ kāmaphalair vṛkṣaiḥ puṣpitaiḥ phalitaiḥ śubham /	yuktam kAma PalEH vRkzEH puzpitEH PalitEH SuBam /
   dhanadasya purī yadvad alakā devanirmitā // RKS_18.6 //	Danadasya purI yadvat alakAH deva nirmitAH // RKH _18.6 //
   tadvac ca śobhitaṃ nānāmuni vṛnda niṣevitam /	tadvat ca SoBitam nAnA muni vRnda nizevitam /
   kāmadhenūs tathā divyāḥ śatasaṃkhyāḥ payasvinīḥ // RKS_18.7 //	kAmaDenUH taTA divyAH Sata saMKyAH payasvinIH // RKH _18.7 //
   yājñikānṛtvijaś caiva kratuṃ kartuṃ yathāvidhi /	yAjQikA an RtvijaH ca eva kratum kartum yaTAviDi /
   yajñopaskarasaṃbhāraṃ sarvamādāya gacchati // RKS_18.8 //	yajQa upaskara saMBAram sarvam AdAya gacCati // RKH _18.8 //
   ādideśa tato martyān bhṛtyāṃś caiva sahasraśaḥ /	AdideSa tatas martyAn BRtyAn ca eva sahasraSas /
   bhakṣabhojyādi saṃbhārasaṃkhyāṃ kartuṃ na śakyate // RKS_18.9 //	Bakza Bojya Adi saMBAra saMKyAm kartum na Sakyate // RKH _18.9 //
   evaṃ pravartitas tatra lakṣamedhaḥ kratūttamaḥ /	evam pravartitaH tatra lakzameDaH kratu uttamaH /
   jagṛhur yajñabhāgaṃ ca śakrādyāḥ surasattamāḥ // RKS_18.10 //	jagRhuH yajQa BAgam ca Sakra AdyAH sura sattamAH // RKH _18.10 //
   nivartitas tato yajño harir brahmā śatakratuḥ /	nivartitaH tatas yajQaH hariH brahmA SatakratuH /
   nānavidhais tathā ratnair vāsoyugmaiś ca tārpitāḥ // RKS_18.11 //	nAnaviDEH taTA ratnEH vAsaH yugmEH ca tArpitAH // RKH _18.11 //
   svaṃ svaṃ yānaṃ samārūḍhā jagmurdevāstriviṣṭapam /	svam svam yAnam samArUXAH jagmuH devAH trivizwapam /
   narmadāvabhṛthaṃ snātvā putradāropaśobhitaḥ // RKS_18.12 //	narmadA avaBRTam snAtvA putra dAra upaSoBitaH // RKH _18.12 //
   haraṃ hariṃ cā'rcayitvā varadānaprabhāvataḥ /	haram harim cA arcayitvA vara dAna praBAvataH /
   divyaṃ yānaṃ samārūḍho yathā śakro 'maraiḥ saha // RKS_18.13 //	divyam yAnam samArUXaH yaTA SakraH amarEH saha // RKH _18.13 //
   dhṛtasvarṇātapatras tu bījyamāno 'psarogaṇaiḥ /	DRta svarNa AtapatraH tu bIjyamAnaH apsaraH gaNEH /
   gīyamāno 'psarobhiś ca nānālaṅkārabhūṣitaḥ // RKS_18.14 //	gIyamAnaH apsaroBiH ca nAnA alaFkAra BUzitaH // RKH _18.14 //
   dṛṣṭo janakarājā 'taḥ dharmarājaḥ samutthitaḥ /	dRzwaH janaka rAjAH atas DarmarAjaH samutTitaH /
   yānasyā 'gre pādacārī arghapādyādisaṃyutaḥ // RKS_18.15 //	yAnasyAH agre pAda cArI arGapAdya Adi saMyutaH // RKH _18.15 //
   kṛtāñjalipuṭo bhūtvā vacanaṃ cedamabravīt /	kRta aQjali puwaH BUtvA vacanam ca idam abravIt /
   tapasā dhyānayogena dānadevārcanair api // RKS_18.16 //	tapasA DyAna yogena dAna deva arcanEH api // RKH _18.16 //
   śivarevāprasādena jitā lokāstvayākhilāḥ /	Sivareva aprasAdena jitAH lokAH tvayA aKilAH /
   uvāca janako rājā dharmarājaṃ yaśasvinam // RKS_18.17 //	uvAca janakaH rAjA DarmarAjam yaSasvinam // RKH _18.17 //
   tathaiva tava mūrtiś ca yathā bhānuḥ prabhākaraḥ /	taTA eva tava mUrtiH ca yaTA BAnuH praBAkaraH /
   brahmāviṣṇus tathā śambhuḥ sākṣī sakalakarmaṇām // RKS_18.18 //	brahma avizNuH taTA SamBuH sAkzI sakala karmaNAm // RKH _18.18 //
   evaṃ janakasaṃvāde dharmādharmavicāraṇāt /	evam janaka saMvAde Darma aDarma vicAraNAt /
   etasminn antare prāptaḥ kiṅkiṇījālamaṇḍitam // RKS_18.19 //	etasmin antare prAptaH kiFkiNI jAla maNxitam // RKH _18.19 //
   veṇuvīṇāninādāḍhyam apsarogaṇasevitam /	veNu vINA ninAda AXyam apsaraH gaNa sevitam /
   vimānaṃ divyam ārūḍho devarājaḥ śatakratuḥ // RKS_18.20 //	vimAnam divyam ArUXaH devarAjaH SatakratuH // RKH _18.20 //
   nāradaḥ parvataś caiva tathānye munisattamāḥ /	nAradaH parvataH ca eva taTA anye muni sattamAH /
   dharmarājapuraṃ prāptāḥ śrutvā janakamāgatam // RKS_18.21 //	DarmarAja puram prAptAH SrutvA janakam Agatam // RKH _18.21 //
   adhyāsus tam akrudhyantam āsanāni mahānti ca /	aDyAsuH tam akruDyantam AsanAni mahAnti ca /
   prasamīkṣya yathārhantu pūjitāś ca pṛthak pṛthak // RKS_18.22 //	prasamIkzya yaTA arhantu pUjitAH ca pRTak pRTak // RKH _18.22 //
   teṣāṃ madhye mahārāja nārado dharmam abravīt /	tezAm maDye mahA rAja nAradaH Darmam abravIt /
   ke deśāḥ parvatāḥ puṇyāḥ kā nadyaś cāśramāś ca ke // RKS_18.23 //	ke deSAH parvatAH puNyAH kAH nadyaH ca ASramAH ca ke // RKH _18.23 //
   kāni tīrthāni loke 'smin yatra dattaṃ hutaṃ tapaḥ /	kAni tIrTAni loke asmin yatra dattam hutam tapaH /
   na kṣīyate manuṣyāṇāṃ tanme kathaya tattvataḥ // RKS_18.24 //	na kzIyate manuzyANAm tat me kaTaya tattvataH // RKH _18.24 //
   jānāmi tvāṃ mahārāja sūryaputro bravīhi me /	jAnAmi tvAm mahA rAja sUryaputraH bravIhi me /
   svarūpamadya sarveṣāṃ yathā vadanupūrvaśaḥ // RKS_18.25 //	svarUpam adya sarvezAm yaTA vat anupUrvaSas // RKH _18.25 //
   dharma uvāca:	DarmaH uvAca:
   śrūyatāṃ muniśārdūlaśivaloke yathā śrutam /	SrUyatAm muni SArdUla Siva loke yaTA Srutam /
   kalmāṣapādo vikhyāto mathurāyāṃ narādhipaḥ // RKS_18.26 //	kalmAzapAdaH viKyAtaH maTurAyAm narADipaH // RKH _18.26 //
   nābhāgo nāma rājarṣir ayodhyādhipatis tathā /	nABAgaH nAma rAjarziH ayoDyA aDipatiH taTA /
   yānaṃ copari rājarṣer nābhāgasya mahātmanaḥ // RKS_18.27 //	yAnam ca upari rAjarzeH nABAgasya mahAtmanaH // RKH _18.27 //
   adhaḥ kalmāṣapādasya dṛśyate sarvadaivataiḥ /	aDas kalmAzapAdasya dRSyate sarva dEvatEH /
   śivaloke vivādo 'bhūt tayos tatra mahātmanoḥ // RKS_18.28 //	Siva loke vivAdaH aBUt tayoH tatra mahAtmanoH // RKH _18.28 //
   kalmāṣapāda uvāca:	kalmAzapAdaH uvAca:
   puṣkare daśayajñāś ca mayā ceṣṭā vidhānataḥ /	puzkare daSa yajQAH ca mayA cezwAH viDAnataH /
   gaṅgāyāṃ naimiṣāraṇye prabhāse śaśibhūṣaṇe // RKS_18.29 //	gaFgAyAm nEmiza araNye praBAse SaSiBUzaNe // RKH _18.29 //
   gaṅgāyamunayor yoge vārāṇasyāṃ tathaiva ca /	gaFgA yamunayoH yoge vArANasyAm taTA eva ca /
   iṣṭaṃ yajñaśataṃ sāgraṃ mayā tatra maheśvara // RKS_18.30 //	izwam yajQa Satam sAgram mayA tatra maheSvaraH // RKH _18.30 //
   adhobhāge vimāno me nābhāgasya mamopari /	aDoBAge vimAnaH me nABAgasya mama upari /
   kalpagāṃ varjayitvā tu tīrthe tīrthe makhottamāḥ // RKS_18.31 //	kalpa gAm varjayitvA tu tIrTe tIrTe maKa uttamAH // RKH _18.31 //
   kṛtā mayā mahādeva vimānaṃ me tathā 'pyadhaḥ /	kRtA mayA mahAdeva vimAnam me taTA api aDas /
   īśvara uvāca:	ISvaraH uvAca:
   śṛṇu rājan mahābhāga kathyamānaṃ nibodha me // RKS_18.32 //	SRNu rAjan mahABAga kaTyamAnam niboDa me // RKH _18.32 //
   lakṣamedhaṃ nāma tīrthaṃ revāyā uttare taṭe /	lakzameDam nAma tIrTam revAyAH uttare tawe /
   lakṣamedheśvaraṃ nāmnā liṅgaṃ tatra paraṃ smṛtam // RKS_18.33 //	lakzameDeSvaram nAmnA liFgam tatra param smRtam // RKH _18.33 //
   cakāra tatra nābhāgo yajñamekaṃ yathoditam /	cakAra tatra nABAgaH yajQam ekam yaTA uditam /
   tattīrthayajñamāhātmyād yānamasyopari sthitam // RKS_18.34 //	tad tIrTa yajQa mAhAtmyAt yAnam asya upari sTitam // RKH _18.34 //
   asaṃkhyeṣv api tīrtheṣu tvayeṣṭaṃ rājasattama /	asaMKyezu api tIrTezu tvayA izwam rAja sattamaH /
   vihāya kalpagāṃ tena tava yānamadhaḥ sthitam // RKS_18.35 //	vihAya kalpa gAm tena tava yAnam aDas sTitam // RKH _18.35 //
   dharma uvāca:	DarmaH uvAca:
   na śaṅkarāt paro devo na revāyāḥ parā nadī /	na SaFkarAt paraH devaH na revAyAH parA nadI /
   na satyāt paro dharmo kāruṇyaṃ sarvajantuṣu // RKS_18.36 //	na satyAt paraH DarmaH kAruNyam sarva jantuzu // RKH _18.36 //
   mayā śrutaṃ sūryeloke sūryeṇāpi maheśvarāt /	mayA Srutam sUryeloke sUryeNa api maheSvarAt /
   etat te sarvamākhyātaṃ yathādṛṣṭaṃ purātanam // RKS_18.37 //	etat te sarvam AKyAtam yaTAdRzwam purAtanam // RKH _18.37 //
   vāsīyo narmadātīre śivadhyānaparāyaṇaḥ /	vAsIyaH narmadA tIre Siva DyAna parAyaNaH /
   na tasya vai yamaḥ śāstā yamalokaṃ na paśyati // RKS_18.38 //	na tasya vE yamaH SAstA yama lokam na paSyati // RKH _18.38 //
   brahmā viṣṇuḥ śivaḥ śāstā satyameva yathoditam /	brahmA vizNuH SivaH SAstA satyam eva yaTA uditam /
   dharmarājñā samagraṃ tu nāradādyāmaharṣayaḥ // RKS_18.39 //	DarmarAjQA samagram tu nArada AdyAmahA RzayaH // RKH _18.39 //
   dharmākhyānam idaṃ śrutvā mudāparamayāyutāḥ /	Darma AKyAnam idam SrutvA mudA paramayA AyutAH /
   svaṃ svaṃ yānaṃ samāruhya śakrādyās tridivaṃ yayuḥ // RKS_18.40 //	svam svam yAnam samAruhya Sakra AdyAH tridivam yayuH // RKH _18.40 //
   dharmākhyānam idaṃ puṇyam itihāsaṃ purātanam /	Darma AKyAnam idam puNyam itihAsam purAtanam /
   kathitaṃ tava yatnena videhādyā narādhipāḥ // RKS_18.41 //	kaTitam tava yatnena videha AdyAH narADipAH // RKH _18.41 //
   dānayajñaprabhāveṇa tridivaṃ varamāyayuḥ // RKS_18.42 //	dAna yajQa praBAveNa tridivam varam AyayuH // RKH _18.42 //
   iti śrīskandapurāṇe revākhaṇḍe janakayajño nāmāṣṭādaśo 'dhyāyaḥ ||	iti SrI skandapurANe revAKaNxe janakayajQaH nAma azwAdaSaH aDyAyaH ||
   RKS adhyāya 19	RKH aDyAyaH 19
   yudhiṣṭhira uvāca:	yuDizWiraH uvAca:
   saptasārasvataṃ tīrtha śaṃsa me 'tra mahāmune /	saptasArasvatam tIrTa SaMsa me atra mahA mune /
   utpattiṃ cāsya tīrthasya kathayasva yathārthataḥ // RKS_19.1 //	utpattim ca asya tIrTasya kaTayasva yaTArTataH // RKH _19.1 //
   mārkaṇḍeya uvāca:	mArkaNxeyaH uvAca:
   saptasārasvato nāma gandharvaḥ śivagāyanaḥ /	saptasArasvataH nAma ganDarvaH Siva gAyanaH /
   vīṇāveṇuprekṣaṇīya yantragītaviśāradaḥ // RKS_19.2 //	vINA veNu prekzaNIya yantra gIta viSAradaH // RKH _19.2 //
   maṇibhadrā subhadrā ca hemagarbhā tathā parā /	maNiBadrA suBadrA ca hemagarBA taTA parA /
   ābhirvarāpsarobhiś ca cikrīḍe prativāsaram // RKS_19.3 //	ABiH vara apsaroBiH ca cikrIxe prativAsaram // RKH _19.3 //
   madirā naṣṭacaitanyaḥ kāmārtaḥ kāmamohitaḥ /	madirA nazwa cEtanyaH kAma ArtaH kAma mohitaH /
   vihāya śāṅkarīṃ pūjāṃ bhakṣyabhojyarato 'bhavat // RKS_19.4 //	vihAya SAFkarIm pUjAm Bakzya Bojya rataH aBavat // RKH _19.4 //
   kiyatyapi gate kāle yayau draṣṭum umāpatim /	kiyati api gate kAle yayO drazwum umApatim /
   gītanṛtyaiś ca tuṣṭāva kailāse taṃ nagottame // RKS_19.5 //	gIta nRtyEH ca tuzwAva kElAse tam naga uttame // RKH _19.5 //
   gandharvaṃ taṃ samālokya cirakāle samāgatam /	ganDarvam tam samAlokya cira kAle samAgatam /
   śaśāpa nandī kopena śivabhaktiparāṅmukham // RKS_19.6 //	SaSApa nandI kopena Siva Bakti parAFmuKam // RKH _19.6 //
   cāṇḍālayoniṃ gaccha tvaṃ pāpasyāsya prabhāvataḥ /	cANxAla yonim gacCa tvam pApasya asya praBAvataH /
   kṣutkṣāmastvaṃ nirāhāro martyaloke cariṣyasi // RKS_19.7 //	kzuD kzAmaH tvam nirAhAraH martya loke carizyasi // RKH _19.7 //
   prasādya nandinaṃ so 'tha gandharvo vākyam abravīt /	prasAdya nandinam saH aTa ganDarvaH vAkyam abravIt /
   śāpasyāntaṃ mahābhāga dātuṃ me tvamihārhasi // RKS_19.8 //	SApasya antam mahABAga dAtum me tvam iha arhasi // RKH _19.8 //
   nandyuvāca:	nandI uvAca:
   narmadāyāṃ vyatīpāte snātvā 'bhyarcya maheśvaram /	narmadAyAm vyatIpAte snAtvA aByarcya maheSvaram /
   antaṃ śāpasya saṃprāpya punastvaṃ cāgamiṣyasi // RKS_19.9 //	antam SApasya saMprApya punar tvam ca agamizyasi // RKH _19.9 //
   evaṃ tad vacanaṃ śrutvā cāṇḍālīṃ yonim āśritaḥ /	evam tat vacanam SrutvA cANxAlIm yonim ASritaH /
   jātismaratvaṃ saṃprāpya saśailavanakānanām // RKS_19.10 //	jAti smara tvam saMprApya sa SEla vana kAnanAm // RKH _19.10 //
   babhrāma dharaṇīṃ sarvāṃ tīrthayātrāprasaṅgataḥ /	baBrAma DaraNIm sarvAm tIrTa yAtrA prasaFgataH /
   atha cakrāṅgayogena narmadā tīramāgataḥ // RKS_19.11 //	aTa cakra aFga yogena narmadA tIram AgataH // RKH _19.11 //
   śaṅkarasthaṇḍile yāgaṃ tatra gatvā cakāra saḥ /	SaFkara sTaNxile yAgam tatra gatvA cakAra saH /
   puṣpopahārair vividhair vīṇāvādyair manoharaiḥ // RKS_19.12 //	puzpa upahArEH viviDEH vINA vAdyEH manoharEH // RKH _19.12 //
   gandharvabhaktiṃ vijñāya pratyakṣo 'bhūt maheśvaraḥ /	ganDarva Baktim vijQAya pratyakzaH aBUt maheSvaraH /
   sthaṇḍilādutthitaṃ liṅgaṃ mahāpāvanamambhasi // RKS_19.13 //	sTaNxilAt utTitam liFgam mahA pAvanam amBasi // RKH _19.13 //
   uvāca taṃ mahādevo gītavāditratoṣitaḥ /	uvAca tam mahAdevaH gIta vAditra tozitaH /
   varaṃ vṛṇu mahābhāga yatte manasi vartate // RKS_19.14 //	varam vRNu mahABAga yat te manasi vartate // RKH _19.14 //
   kalpagātoyasaṃsparśāt prāpnoṣi paramāṃ gatim /	kalpa gA toya saMsparSAt prApnozi paramAm gatim /
   gandharva uvāca:	ganDarvaH uvAca:
   yadi tuṣṭo maheśāna varaṃ dātumihecchasi // RKS_19.15 //	yadi tuzwaH maheSAna varam dAtum iha icCasi // RKH _19.15 //
   saptasārasvataṃ tīrthaṃ liṅgaṃ sārasvataṃ tathā /	saptasArasvatam tIrTam liFgam sArasvatam taTA /
   khyātiṃ yātu mahādeva tvatprasādāt mahītale // RKS_19.16 //	KyAtim yAtu mahAdeva tvad prasAdAt mahI tale // RKH _19.16 //
   tiryag yonigatāḥ pāpāś cāṇḍālāś ca narādhamāḥ /	tiryak yoni gatAH pApAH cANxAlAH ca nara aDamAH /
   sarve te tridivaṃ yāntu tīrthasyāsya prabhāvataḥ // RKS_19.17 //	sarve te tridivam yAntu tIrTasya asya praBAvataH // RKH _19.17 //
   evam astviti taṃ coktvā maheśo 'ntaradhīyata /	evam astu iti tam ca uktvA maheSaH antaraDIyata /
   divyayāna samārūḍhaḥ sarvālaṅkārabhūṣitaḥ // RKS_19.18 //	divyayAna samArUXaH sarva alaFkAra BUzitaH // RKH _19.18 //
   śivalokam avāpyaivaṃ yathāpūrvaṃ tathaiva saḥ /	Siva lokam avApya evam yaTApUrvam taTA eva saH /
   saptasārasvate snātvā arcayitvā vṛṣadhvajam // RKS_19.19 //	saptasArasvate snAtvA arcayitvA vRzaDvajam // RKH _19.19 //
   kulaikaviṃśam uddhṛtya svargaloke mahīyate /	kula ekaviMSam udDRtya svarga loke mahIyate /
   tatra snātvā divaṃ yānti ye mṛtā na punarbhavāḥ // RKS_19.20 //	tatra snAtvA divam yAnti ye mRtAH na punarBavAH // RKH _19.20 //
   śivājñā vartate rājaṃs tatra yastridivaṃ jayet /	Siva AjQA vartate rAjan tatra yaH tridivam jayet /
   yudhiṣṭhira uvāca:	yuDizWiraH uvAca:
   kaḥ sraṣṭā cāsya jagato hartā dhartā ca bho mune // RKS_19.21 //	kaH srazwA ca asya jagataH hartA DartA ca Bo mune // RKH _19.21 //
   yathārtham etad ācakṣva vistareṇa tapodhana /	yaTArTam etat Acakzva vistareNa tapoDana /
   tvatto 'haṃ śrotumicchāmi sarvam etan mudāyutaḥ // RKS_19.22 //	tvattaH aham Srotum icCAmi sarvam etat mudA yutaH // RKH _19.22 //
   mārkaṇḍeya uvāca:	mArkaNxeyaH uvAca:
   yathā śrutaṃ mayā pūrvaṃ purāṇaṃ skandakīrtitam /	yaTA Srutam mayA pUrvam purANam skanda kIrtitam /
   tathā te kathayiṣyāmi śṛṇu rājan yathārthataḥ // RKS_19.23 //	taTA te kaTayizyAmi SRNu rAjan yaTArTataH // RKH _19.23 //
   skandena tu purā pṛṣṭo haraḥ kalpāntakārakaḥ /	skandena tu purA pRzwaH haraH kalpa anta kArakaH /
   carācaram idaṃ sarvaṃ kathaṃ gacchati saṃlayam // RKS_19.24 //	carAcaram idam sarvam kaTam gacCati saMlayam // RKH _19.24 //
   kutra gacchantyamī devāḥ kathaṃ caiṣāṃ sthitir bhavet /	kutra gacCanti amI devAH kaTam ca ezAm sTitiH Bavet /
   kvaca gacchati vai brahmā kutra gacchati keśavaḥ // RKS_19.25 //	kva ca gacCati vE brahmA kutra gacCati keSavaH // RKH _19.25 //
   vedās tu kutra gacchanti saṣaḍaṅgapadakramāḥ /	vedAH tu kutra gacCanti sa zaxaFga pada kramAH /
   agnayaḥ parvatāḥ sarve samudradvīpasaṃyutāḥ // RKS_19.26 //	agnayaH parvatAH sarve samudradvIpa saMyutAH // RKH _19.26 //
   siddhāḥ sarve sanakṣatrāḥ sūryādyāś ca tathā grahāḥ /	sidDAH sarve sa nakzatrAH sUrya AdyAH ca taTA grahAH /
   pātālabhuvanādīni devalokāś ca śāśvatāḥ // RKS_19.27 //	pAtAla Buvana AdIni deva lokAH ca SASvatAH // RKH _19.27 //
   kalpānte ca suraśreṣṭha kva līyante ca devatāḥ /	kalpa ante ca suraSrezWa kva lIyante ca devatAH /
   hara uvāca:	haraH uvAca:
   kathayāmi paraṃ guhyaṃ sṛṣṭisaṃhārakārakam // RKS_19.28 //	kaTayAmi param guhyam sRzwi saMhAra kArakam // RKH _19.28 //
   pralaye sarvabhūtāni sthāvarāṇi carāṇi ca /	pralaye sarva BUtAni sTAvarANi carANi ca /
   śivaliṅge vilīyante naṣṭe jagati śāśvate // RKS_19.29 //	Siva liFge vilIyante nazwe jagati SASvate // RKH _19.29 //
   śūnyaṃ caitaj jagat sarvaṃ trailokyaṃ sacarācaram /	SUnyam ca etat jagat sarvam trElokyam sa carAcaram /
   ātiṣṭhati yadā vahṇir visphuran sarvatomukhaḥ // RKS_19.30 //	AtizWati yadA vahNiH visPuran sarvatomuKaH // RKH _19.30 //
   tato bṛhaspatir gāyan vedatrayasamanvitam /	tatas bRhaspatiH gAyan veda traya samanvitam /
   tadaivātibalo devaḥ kūrmarūpo mahādyutiḥ // RKS_19.31 //	tadA eva atibalaH devaH kUrma rUpaH mahA dyutiH // RKH _19.31 //
   narakāṃścādahat sarvās tataḥ prajvalito mahān /	narakAn= ca adahat sarvAH tatas prajvalitaH mahAn /
   sarvaṃ dagdhaṃ tu pātālaṃ nāgānāṃ bhuvanāni ca // RKS_19.32 //	sarvam dagDam tu pAtAlam nAgAnAm BuvanAni ca // RKH _19.32 //
   kālarūpeṇa dagdhāni bhuvanāni caturdaśa /	kAla rUpeNa dagDAni BuvanAni caturdaSa /
   jvālāmālākulībhūte vāṅmaye sacarācare // RKS_19.33 //	jvAlA mAlA AkulIBUte vAc maye sacarAcare // RKH _19.33 //
   naṣṭe triviṣṭape sarve saśailavanakānane /	nazwe trivizwape sarve sa SEla vana kAnane /
   māyāmaye tu sarve 'smiṃs traiguṇye pralayaṃ gate // RKS_19.34 //	mAyA maye tu sarve asmin trEguNye pralayam gate // RKH _19.34 //
   vinaśyati tato brahmā sahitaḥ sarvadaivataiḥ /	vinaSyati tatas brahmA sahitaH sarva dEvatEH /
   nāśayitvā ca bhūtāni brahmāṇḍaiḥ saha daivataiḥ // RKS_19.35 //	nASayitvA ca BUtAni brahmANxEH saha dEvatEH // RKH _19.35 //
   sthitā tu narmadā caikā sutīrthā surapūjitā /	sTitA tu narmadA ca ekA sutIrTA sura pUjitAH /
   narmadāyā 'vatāro 'yaṃ martyaloke vyavasthitaḥ // RKS_19.36 //	narmadAyAH avatAraH ayam martya loke vyavasTitaH // RKH _19.36 //
   gatamindrasahasraṃ tu yāvad vai daśapañca ca /	gatam indra sahasram tu yAvat vE daSa paQca ca /
   atītaṃ brahmaṇaḥ ṣaṭkaṃ saptamo 'yaṃ prajāpatiḥ // RKS_19.37 //	atItam brahmaNaH zawkam saptamaH ayam prajApatiH // RKH _19.37 //
   tad evam agnimadhyasthaṃ tena sarvam acetanam /	tat evam agni maDya sTam tena sarvam acetanam /
   avyakte sarvabhūtānām īśe jāgarti jāgrati // RKS_19.38 //	avyakte sarva BUtAnAm ISe jAgarti jAgrati // RKH _19.38 //
   yadā svapiti śāntātmā tadā sarvaṃ nimīlitam /	yadA svapiti SAnta AtmA tadA sarvam nimIlitam /
   sa viṣṇuḥ sṛṣṭikartā ca hartā ca jagataḥ prabhuḥ // RKS_19.39 //	sa vizNuH sRzwi kartA ca hartA ca jagataH praBuH // RKH _19.39 //
   ekībhūteṣu bhūteṣu vyapāsyan sarvatejasām /	ekIBUtezu BUtezu vyapAsyan sarva tejasAm /
   punaḥ sṛṣṭiṃ prakurute devadevaḥ sadāśivaḥ // RKS_19.40 //	punar sRzwim prakurute devadevaH sadASivaH // RKH _19.40 //
   brahmā bhūtvā 'sṛjallokaṃ viṣṇur bhūtvā hyapālayat /	brahmA BUtvA asRjat lokam vizNuH BUtvA hi apAlayat /
   rudraḥ kālāgnirūpeṇa haratyante sa eva hi // RKS_19.41 //	rudraH kAlAgni rUpeNa harati ante saH eva hi // RKH _19.41 //
   tanmayā kathitaṃ sarvaṃ kim anyat paripṛcchasi /	tat mayA kaTitam sarvam kim anyat paripRcCasi /
   iḍā nāma kalā hyeṣā śambhor vai saptakalpagā // RKS_19.42 //	ixA nAma kalA hi ezA SamBoH vE sapta kalpa gA // RKH _19.42 //
   akṣayā tena loke /#	akzayA tena loke /#
   aṣṭau yugasahasrāṇi ahorātraṃ prajāpateḥ // RKS_19.43 //	azwO yuga sahasrANi ahorAtram prajApateH // RKH _19.43 //
   anenaiva tu mānena śataṃ brahmā sa jīvati /	anena eva tu mAnena Satam brahmA sa jIvati /
   pitāmahaśatenaiva viṣṇor mānaṃ vidhīyate // RKS_19.44 //	pitAmaha Satena eva vizNoH mAnam viDIyate // RKH _19.44 //
