   ācāryakamalaśīlapraṇīto	AcArya kamala SIla praNItaH 
   vastuparamārthatattvābhiniveśanī prajñāsambhavatyeveti, bhavatyeva	vastu parama arTa tattva aBiniveSanI prajQA samBavati eva iti, Bavati eva
   prajñopāyayuganaddhavāhī mārgaḥ / āryakṣayamatinirdeśe ca dhyānākṣayatayā	prajQA upAya yuga nadDa vAhI mArgaH / Arya kzayam ati nirdeSe ca DyAna akzaya tayA
   prajñopāyayuganaddhavāhī mārgo 'nugantavyaḥ / evamanena krameṇa	prajQA upAya yuga nadDa vAhI mArgaH anugantavyaH / evam anena krameNa
   bodhisattvasya prajñām upāyaṃ ca satataṃ satkṛtya dīrghakālābhyāsena	boDisattvasya prajQAm upAyam ca satatam satkRtya dIrGa kAla aByAsena
   bhāvayato dvādaśāvasthāviśeṣā bhavanti / tā evāvasthā	BAvayataH dvAdaSa avasTA viSezAH Bavanti / tAH eva avasTA
   uttarottaraguṇapratiṣṭhārthena bhūmayo vyavasthāpyante /	uttarottara guNa pratizWA arTena BUmayaH vyavasTApyante /
   adhimukticaryābhūmeryāvad buddhabhūmiriti /	aDimukti caryA BUmeH yAvat budDa BUmiH iti /
   tatra yāvat pudgaladharmanairātmyatvaṃ na sākṣātkaroti, kevalaṃ	tatra yAvat pudgala Darma nErAtmya tvam na sAkzAtkaroti, kevalam
   dṛḍhatarādhimuktiḥ / mārādibhirapyabhedyo yadādhimuktibalena tattvaṃ	dRXatara aDimuktiH / mAra AdiBiH api aBedyaH yat A aDimukti balena tattvam
   bhavayati, tadā (Bhk 196) dṛḍhādhimuktito	Bavayati, tadA (Bhj 196) dRXa aDimuktitaH 
   'dhimukticaryābhūmirvyavasthāpyate / asyāmapi bhūmau vartamāno bodhisattva	aDimukti caryA BUmiH vyavasTApyate / asyAm api BUmO vartamAnaH boDisattva
   pṛthagjano 'pi sarvabālavipattisamatikrānto	pRTagjanaH api sarva bAla vipatti samatikrAntaH 
   'saṃkhyeyasamādhidhāraṇīvimokṣābhijñādiguṇānvita āryaratnameghe paṭhyate /	asaMKyeya samADi DAraNI vimokza aBijQa Adi guNa anvitaH Arya ratna meGe paWyate /
   asyā eva ca mṛdumadhyādhimātrādhimātratarāvasthācatuṣṭayena catvāri	asyAH eva ca mRdu maDya aDimAtra aDimAtratara avasTA catuzwayena catvAri
   nirvedhabhāgīyāni vyavasthāpyante / tathā hi yadā [bāhyārtha vibhāvayatā]	nirveDa BAgIyAni vyavasTApyante / taTA hi yadA [bAhya arTa viBAvayatA]
   īṣatspaṣṭo jñānāloko bhavati tadā uṣmagatanāmakaṃ nirvedhabhāgīyaṃ bhavati	Izat spazwaH jQAna AlokaH Bavati tadA uzma gata nAmakam nirveDa BAgIyam Bavati
   / sa cātra mahāyāna ālokalabdhasamādhirucyate / yadā tu sa eva jñānaloko	/ sa ca atra mahAyAnaH Aloka labDa samADiH ucyate / yadA tu saH eva jQAna lokaH 
   madhyamaspaṣṭo bhavati, tadā mūrdhanāmakanirvedhabhāgīyaṃ bhavati,	maDyama spazwaH Bavati, tadA mUrDa nAmaka nirveDa BAgI iyam Bavati,
   vṛddhālokaśca samādhirucyate / yadā tu spaṣṭataro	vRdDAlokaH ca samADiH ucyate / yadA tu spazwa taraH 
   bāhyārthānābhāsajñānāloko jāyate, tadā vijñaptimātrāvasthānāt	bAhya arTAn ABAsa jQAna AlokaH jAyate, tadA vijQapti mAtra avasTAnAt
   kṣāntināmakaṃ nirvedhabhāgīyaṃ bhavati / ekadeśapraviṣṭaśca samādhirucyate	kzAnti nAmakam nirveDa BAgIyam Bavati / eka deSa pravizwaH ca samADiH ucyate
   / grāhyakārānupalambhapraveśāt / yadā tu grāhyagrāhakākārarahitam advayaṃ	/ grAhya kArAnupalamBa praveSAt / yadA tu grAhya grAhaka AkAra rahitam advayam
   jñānaṃ vibhāvayet tadāgradharmākhyaṃ nirvedhabhāgīyaṃ bhavati /	jQAnam viBAvayet tadA agraDarma AKyam nirveDa BAgIyam Bavati /
   ānantaryaśca sa samādhirucyate, tadanantarameva tattvapraveśāt / atra	AnantaryaH ca sa samADiH ucyate, tad anantaram eva tattva praveSAt / atra
   tāvad adhimukticaryābhūmi /	tAvat aDimukti caryA BUmi /
   itarāstu bhūmayaḥ saṃkṣepata ekādaśāṅgaparipūritā vyavasthāpyante / tatra	itarAH tu BUmayaH saMkzepate ekAdaSa aFga paripUritAH vyavasTApyante / tatra
   prathamā bhūmiḥ prathamaṃ pudgaladharmanairātmyatattvādhigamāṅgaparipūritā	praTamA BUmiH praTamam pudgala Darma nErAtmya tattva aDigama aFga paripUritA
   vyavasthāpyate / tathā hi yadāgradharmānantaraṃ prathamataraṃ lokottaraṃ	vyavasTApyate / taTA hi yadA agra Darma anantaram praTamataram loka uttaram
   sarvaprapañcarahitaṃ sarvadharmaniḥsvabhāvatāsākṣātkāri sphuṭataraṃ jñānam	sarva prapaQca rahitam sarva Darma niHsvaBAva tA sAkzAt kAri sPuwataram jQAnam
   utpadyate, tadā bodhisattvaḥ samyaktvanyayābhāvakrāntito	utpadyate, tadA boDisattvaH samyaktu a nyaya aBAva krAnti taH 
   darśanamārgotpādāt prathamāṃ bhūmiṃ praviṣṭo bhavati / ata evāsyāṃ bhūmau	darSana mArga utpAdAt praTamAm BUmim pravizwaH Bavati / atas eva asyAm BUmO
   prathamato 'nadhigatatattvādhigamād bodhisattvaḥ pramudito bhavati / tata	praTamatas anaDigata tattva aDigamAt boDisattvaH pramuditaH Bavati / tata
   eṣā bhūmiḥ pramuditetyucyate / atra ca dvādaśottaraṃ darśanaheyaṃ	ezA BUmiH pramuditA iti ucyate / atra ca dvAdaSa uttaram darSana heyam
   kleśaśataṃ prahīyate /	kleSa Satam prahIyate /
   (Bhk 197)	(Bhj 197)
   śeṣāstu bhūmayo bhāvanāmārgasvabhāvāḥ / tāsu bhāvanāheyāstraidhātukāḥ	SezAH tu BUmayaH BAvanA mArga svaBAvAH / tAsu BAvanA heyAH trEDAtukAH
   ṣoḍaśa kleśāḥ prahīyante / asyāṃ ca bhūmau bodhisattvasya	zoxaSa kleSAH prahIyante / asyAm ca BUmO boDisattvasya
   dharmadhātusamudāgamatāprabodhāt svārtha iva parāthe pravartanād	DarmaDAtu samudAgamatA praboDAt sva arTaH iva parATe pravartanAt 
   dānapāramitātiriktatarā bhavati / sa ca bodhisattvaḥ samadhigatatattvo 'pi	dAna pAramitA atiriktatarA Bavati / sa ca boDisattvaH samaDigata tattvaH api
   vā yāvann śaknoti sūkṣmāpattiskhaliteṣu samprajanyavihāri bhavituṃ tāvat	vA yAvan Saknoti sUkzma Apatti sKalitezu samprajanya vihAri Bavitum tAvat 
   prathamā bhūmiḥ / yadā tu śaknoti, tadāsyāṅgasya paripūrito dvitīyā	praTamA BUmiH / yadA tu Saknoti, tadA asya aFgasya paripUritaH dvitIyA
   bhūmirvyavasthāpyate / ata evāsyāṃ bhūmau sūkṣmāpattiskhalitasamudācārāt	BUmiH vyavasTApyate / atas eva asyAm BUmO sUkzma Apatti sKalita samudAcArAt
   śīlapāramitātiriktatarā bhavati / sarvadauśśīlyamalāpagamād iyaṃ	SIla pAramitA atiriktatarA Bavati / sarva dOSSIlya mala apagamAt iyam
   bhūmirvimaletyucyate /	BUmiH vimalA iti ucyate /
   sa sūkṣmāpattiskhaliteṣu samprajanyavihārī bhavati / yāvanna śaknoti	sa sUkzma Apatti sKalitezu samprajanya vihArI Bavati / yAvat na Saknoti
   sakalalaukikaṃ samādhiṃ samāpattuṃ yathāśrutaṃ cārtham ādharttuṃ tāvad	sakala lOkikam samADim samApattum yaTASrutam ca arTam ADarttum tAvat 
   dvitīyaiva bhūmiḥ / yadā śaknoti, tadā tasyāṅgasya paripūritastṛtīyā	dvitIyA eva BUmiH / yadA Saknoti, tadA tasya aFgasya paripUritaH tRtIyA
   bhūmirvyavasthāpyate / asyāṃ ca bhūmau bodhisattvasya śrutadhāraṇyā	BUmiH vyavasTApyate / asyAm ca BUmO boDisattvasya Sruta DAraNyA
   sarvalaukikasamādhyābhinirhārārthaṃ sarvaduḥkhasahanāt,	sarva lOkika samADya aBinirhAra arTam sarva duHKa sahanAt,
   kṣāntipāramitātiriktatarā bhavati / teṣāṃ samādhīnāṃ lābhād iya	kzAnti pAramitA atiriktatarA Bavati / tezAm samADInAm lABAt iya
   bhūmirapramāṇaṃ lokottaraṃ jñānāvabhāsaṃ karotīti prabhākarītyucyate /	BUmiH apramANam loka uttaram jQAna avaBAsam karoti iti praBAkarI iti ucyate /
   sa pratilabdhalaukikasakalasamādhirapi yāvann śaknoti	sa pratilabDa lOkika sakala samADiH api yAvan Saknoti
   yathāpratilabdhairbodhipakṣairdharmairbahulaṃ vihartuṃ sarvasamāpattīnāṃ	yaTApratilabDEH boDi pakzEH DarmEH bahulam vihartum sarva samApattInAm
   ca cittam upekṣituṃ tāvat tṛtīyā bhūmiḥ / yadā tu śaknoti tadā tasyāṅgasya	ca cittam upekzitum tAvat tRtIyA BUmiH / yadA tu Saknoti tadA tasya aFgasya
   paripūritaścaturthī bhūmirvyavasthāpyate / asyāṃ bhūmau	paripUritaH caturTI BUmiH vyavasTApyate / asyAm BUmO
   bodhisattvasyābhīkṣṇaṃ kāyavāṅmanojalpasamatikramaṇāaya	boDisattvasya aBIkzNam kAya vAc manaH jalpa samatikramaNAaya
   bodhipakṣairdharmairviharaṇāt, viryaparamitātiriktatarābhavati / iyaṃ ca	boDi pakzEH DarmEH viharaNa at, virya paramita atirikta tara aBavati / iyam ca
   sakalakleśendhanadāhasamarthasya bodhipakṣadharmārciṣa udgatatvād	sakala kleSa inDana dAha samarTasya boDi pakza Darma arcizaH udgata tvAt 
   arciṣmatītyucyate /	arcizmatI iti ucyate /
   so 'bhīkṣṇaṃ bodhipakṣadharmavihārī bhavati / yāvanna śaknoti satyāni	saH aBIkzNam boDi pakza Darma vihArI Bavati / yAvat na Saknoti satyAni
   bhāvayan saṃsārānabhimukhaṃ nirvāṇābhimukhaṃ ca ceto vyāvartayitum	BAvayan saMsAra anaBimuKam nirvANa aBimuKam ca cetaH vyAvartayitum
   upāyasaṃgṛhītān (Bhk 198) bodhipakṣān dharmān bhāvayitum, tāvaccaturthī	upAya saMgRhItAn (Bhj 198) boDi pakzAn DarmAn BAvayitum, tAvat caturTI
   bhūmiḥ / yadā tu śaknoti tadāsyāṅgasya paripūritaḥ pañcamī	BUmiH / yadA tu Saknoti tadA asya aFgasya paripUritaH paQcamI
   bhūmirvyavasthāpyate / ata evāsyām iyam upāyasaṃgṛhītā bodhipakṣabhāvanā	BUmiH vyavasTApyate / atas eva asyAm iyam upAya saMgRhItAH boDi pakza BAvanA
   [paripūritena] suṣṭhu duḥkhena jīyate abhyasyatā iti sudurjayetyujyate /	[paripUritena] suzWu duHKena jIyate aByasyatA iti su durjaya ityujyate /
   asyāṃ cāryasatyākārabhāvanābahulīkārād dhyānapāramitā atiriktatarā bhavati	asyAm ca Arya satya AkAra BAvanA bahulIkArAt DyAna pAramitA atiriktatarA Bavati
   / upayasaṃgṛhītabodhipakṣabahulavihārī ca bhavati / yāvad na śaknoti	/ upaya saMgRhIta boDi pakza bahula vihArI ca Bavati / yAvat na Saknoti
   saṃsārapravṛttipratyavekṣaṇān nirvitsahayā cittasantatyānimittavihāraṃ	saMsAra pravRtti pratyavekzaNAt nirvitsahayA citta santatya animitta vihAram
   samāpattuṃ tāvat pañcamī bhūmiḥ / yadā śaknoti tadāsyāṅgasya paripūritaḥ	samApattum tAvat paQcamI BUmiH / yadA Saknoti tadA asya aFgasya paripUritaH
   ṣaṣṭhī bhūmirvyavasthāpyate / asyāṃ ca bodhisattvasya	zazWI BUmiH vyavasTApyate / asyAm ca boDisattvasya
   pratītyasamutpādabhāvanāvihārāt prajñāpāramitātiriktatarā bhavati / ata	pratItyasamutpAda BAvanA vihArAt prajQApAramitA atiriktatarA Bavati / ata
   eva prajñāpāramitāyā atiriktataratvāt sarvabuddhadharmeṣu abhimukho 'syāṃ	eva prajQApAramitAyAH atiriktatara tvAt sarva budDa Darmezu aBimuKaH asyAm
   bhūmau vartata iti kṛtvā abhimukhītyucyate /	BUmO vartate iti kRtvA aBimuKI iti ucyate /
   so 'nimittavihāralābhī bhavati / yāvanna śaknoti niśchidram	saH animitta vihAra lABI Bavati / yAvat na Saknoti niSCidram
   animittavihāraṃ samāpattum, tāvat ṣaṣṭhī bhūmiḥ / yadā śaknoti	animitta vihAram samApattum, tAvat zazWI BUmiH / yadA Saknoti
   tadāsyāṅgasya paripūritaḥ saptamī bhūmirvyavasthāpyate / asyāmapi bhūmau	tadA asya aFgasya paripUritaH saptamI BUmiH vyavasTApyate / asyAm api BUmO
   bodhisattvaḥ sarvanimittaṃ nirnimittena pratividhyati	boDisattvaH sarva nimittam nirnimittena prativiDyati
   nimittakṛtavyavahāraṃ ca na virodhayati / ato 'syām	nimitta kRta vyavahAram ca na viroDayati / atas asyAm
   upāyapāramitātiriktatarā bhavati / iyaṃ ca bhūmiranābhogamārgopaśleṣāt	upAya pAramitA atiriktatarA Bavati / iyam ca BUmiH anABoga mArga upaSlezAt
   suṣṭhu dūraṅgamād dūraṅgamā /	suzWu dUraFgamAt dUraFgamAH /
   sa niśchidrānimittāvihāri bhavati / yāvanna śaknotyanābhogavāhinam	sa niSCidrA nimitta avihAri Bavati / yAvat na Saknoti anABoga vAhinam
   animittavihāraṃ samāpattuṃ tāvat saptamī bhūmiḥ / yadā śaknoti	animitta vihAram samApattum tAvat saptamI BUmiH / yadA Saknoti
   tadāsyāṅgasya paripūrito 'ṣṭamī bhūmirvyavasthāpyate / asyāṃ ca bhūmau	tadA asya aFgasya paripUritaH azwamI BUmiH vyavasTApyate / asyAm ca BUmO
   anābhogena kuśalapakṣayogāt praṇidhānapāramitātiriktatarā bhavati /	anABogena kuSala pakza yogAt praNiDAna pAramitA atiriktatarA Bavati /
   animittābhogāprakampyatvād iyam acaletyucyate /	animitta ABoga aprakampya tvAt iyam acala iti ucyate /
   (Bhk 199)	(Bhj 199)
   so 'nābhogānimittavihārī ca bhavati / yāvanna śaknoti	saH anABoga animitta vihArI ca Bavati / yAvat na Saknoti
   paryāyaniruktyādiprabhedaiḥ sarvākārasarvadharmadeśanāyāṃ vaśībhavituṃ	paryAya nirukti Adi praBedEH sarva AkAra sarva Darma deSanAyAm vaSI Bavitum
   tāvad aṣṭamī bhūmiḥ / yadā śaknoti tadāsyāṅgasya paripūrito navamī	tAvat azwamI BUmiH / yadA Saknoti tadA asya aFgasya paripUritaH navamI
   bhūmirvyavasthāpyate / asyāṃ ca bhūmau bodhisattvasya pratisaṃvid 	BUmiH vyavasTApyate / asyAm ca BUmO boDisattvasya pratisaMvid  
   viśeṣalābhāt prajñābalaviśeṣayogād balapāramitātiriktatarā bhavati /	viSeza lABAt prajQA bala viSeza yogAt bala pAramitA atiriktatarA Bavati /
   sarvākāradharmadeśanākauśalato 'navadyamativiśeṣalābhāt sādhumatī	sarva AkAra Darma deSanA kOSalataH anavadyam ati viSeza lABAt sADumatI
   bhūmirucyate /	BUmiH ucyate /
   asyāṃ ca pratisaṃviccatuṣṭayalabhī bhavati / yāvanna śaknoti	asyAm ca pratisaMvid catuzwaya laBI Bavati / yAvat na Saknoti
   buddhakṣetraparṣannirmāṇādi darśayituṃ paripūrṇadharmasambhogaṃ	budDa kzetra parzad nirmANa Adi darSayitum paripUrNa Darma samBogam
   sattvaparipākaṃ ca kartum, tāvad navamī bhūmiḥ / yadā tu śaknoti	sattva paripAkam ca kartum, tAvat navamI BUmiH / yadA tu Saknoti
   tadāsyāṅgasya paripūrito daśamī bhūmirvyavasthāpyate / asyāṃ ca	tadA asya aFgasya paripUritaH daSamI BUmiH vyavasTApyate / asyAm ca
   nirmāṇādinā sattvaparipācanāya jñānaviśeṣayogād bodhisattvasya	nirmANa AdinA sattva paripAcanAya jQAna viSeza yogAt boDisattvasya
   jñānapāramitātiriktatarā bhavati / iyaṃ ca dharmadeśanāmeghaiḥ ananteṣu	jQAna pAramitA atiriktatarA Bavati / iyam ca Darma deSanA meGEH anantezu
   lokadhātuṣu dharmapravarṣaṇād dharmameghetyucyate / aparairapi	lokaDAtuzu Darma pravarzaNAt DarmameGA iti ucyate / aparEH api
   skandhapariśuddhayādivyavasthāpanaiḥ bhūmīnāṃ vyavasthāpanamasti,	skanDa pariSudDayA Adi vyavasTApanEH BUmInAm vyavasTApanam asti,
   granthavistarabhayān na likhitam /	granTa vistara BayAt na liKitam /
   sa pratilabdha  nirmāṇādivaśito 'pi yāvan na śaknoti sarvasmin jñeye	sa pratilabDa nirmANa Adi vaSitaH api yAvat na Saknoti sarvasmin jQeye
   sarvākāram asaktam / apratihataṃ jñānam utpādayituṃ tāvad daśamī bhūmi /	sarva AkAram asaktam / apratihatam jQAnam utpAdayitum tAvat daSamI BUmi /
   yadā śaknoti tadāsyāṅgasya paripūrito buddhabhūmirvyavasthāpyate / etacca	yadA Saknoti tadA asya aFgasya paripUritaH budDa BUmiH vyavasTApyate / etat ca
   bhūmivyavasthāpanam āryasaṃdhinirmocane nirdiṣṭam / asyāśca buddhabhūmeḥ	BUmi vyavasTApanam Arya saMDi nirmocane nirdizwam / asyAH ca budDa BUmeH
   sarvākārasakalasaṃpatprakarṣḍaparyantagamanānnāparam utkṛṣṭaṃ	sarva AkAra sakala saMpad prakarzxa paryanta gamanAt na aparam utkRzwam
   sthānāntaramasti [tasmāt tataḥ paraṃ nāsti bhūmivyavasthā] iti /	sTAna antaram asti [tasmAt tatas param na asti BUmi vyavasTA] iti /
   asyāśca buddhamūmerguṇapakṣaprabhedo buddhairapi na śakyate sarvākāraṃ	asyAH ca budDam UmeH guNa pakza praBedaH budDEH api na Sakyate sarva AkAram
   vaktum / tasyā aprameyatvāt, kathaṃ punaḥ asmatsadṛśaiḥ / yathoktam	vaktum / tasyAH aprameya tva at, kaTam punar asmad sadRSEH / yaTA uktam
   āryagaṇḍavyūhe 	Arya gaNxavyUhe 
   (Bhk 200)	(Bhj 200)
   guṇaikadeśa paryanta nādhigacchet svayaṃbhuvaḥ /	guNa eka deSa paryanta na aDigacCet svayaMBuvaH /
   nirīkṣyamāṇo buddho 'pi buddhadharmā hyacintiyāḥ // iti /	nirIkzyamANaH budDaH api budDa DarmAH hi acintiyAH // iti /
   etāvattu saṃkṣepeṇa vaktuṃ śakyate /	etAvat tu saMkzepeNa vaktum Sakyate /
   [svaparārthasampattiprakarṣaparyantagataḥ, aśeṣadoṣāpagamaniṣṭhāṃ prāpya	[sva para arTa sampatti prakarza paryanta gataH, aSeza doza apagama nizWAm prApya
   bhagavān buddho dharmakāye sthitvā sambhoganirmāṇakāyābhyām anābhogarūpeṇa	BagavAn budDaH Darma kAye sTitvA samBoga nirmANa kAyAByAm anABoga rUpeNa
   aśeṣajagadartha kurvan yāvat saṃsāraṃ viharati /	aSeza jagat arTa kurvan yAvat saMsAram viharati /
   tasmāt prekṣavadbhiḥ sarvaguṇākareṣu bhagavatsu śraddhā utpadanīyā,	tasmAt prekzavadBiH sarva guNa Akarezu Bagavatsu SradDA utpadanIyA,
   tadguṇaparisādhanārthaṃ sarvaprakāreṇa prayatitavyam / trikāyadivibhāgastu	tad guNa parisADana arTam sarva prakAreNa prayatitavyam / tri kAya diviBAgaH tu
   granthavistarabhayānna likhyate /	granTa vistara BayAt na liKyate /
   nayasyānusāreṇa sūtrasya cāṭha saduktyāsya mārgasya jinaputrakāṇām /	nayasya anusAreNa sUtrasya ca aWa sat uktyA asya mArgasya jinaputrakANAm /
   mayānalpapuṇyaṃ yadāptaṃ ca tena parāmetu buddhiṃ jaganmandamāśu //	mayA analpa puNyam yat Aptam ca tena parAmetu budDim jagat mandam ASu //
   bhūpatiśrīdevarājavacanena] kamalaśīlena bhāvanākramasya ayaṃ saṃkṣepaḥ	BUpati SrI deva rAja vacanena] kamala SIlena BAvanA kramasya ayam saMkzepaH
   kṛtaḥ /	kRtaH /
   bhāvanākramaḥ prathamaḥ samāptaḥ /	BAvanA kramaH praTamaH samAptaH /
   (Bhk 201)	(Bhj 201)
   2. bhāvanākramo dvitīyaḥ	2. BAvanA kramaH dvitIyaH
   namo mañjuśriye kumārabhūtāya /	namaH maQju Sriye kumAra BUtAya /
   mahāyānasūtranayānupraviśyamānānāṃ bhāvanākramaḥ saṃkṣepataḥ kathyate /	mahAyAna sUtra naya anupraviSyamAnAnAm BAvanA kramaH saMkzepataH kaTyate /
   iha atīśighraṃ sarvajñatāprāptukāmena prekṣāvatā	iha atI SiGram sarvajQa tA prAptu kAmena prekzAvatA
   tatprāpaka hetu pratyayebhyo 'bhiyogaḥ karaṇīyaḥ /	tad prApaka  hetu pratyayeByaH aBiyogaH karaNIyaH /
   itthamiyaṃ sarvajñatā tu hetuṃ vinā bhavituṃ na yujyate, sarvasyāpi	itTam iyam sarvajQa tA tu hetum vinA Bavitum na yujyate, sarvasya api
   sarvadā sarvajñatābhāvaprasaṅgatvāt / nirapekṣabhāve tu kutrāpi pratigho	sarvadA sarvajQa tA BAva prasaFga tvAt / nirapekza BAve tu kutra api pratiGaH 
   na syād, yato hi sarve 'pi sarvajñā eva na bhavanti / kiṃ tarhi kasyacit	na syAd, yatas hi sarve api sarva jQAH eva na Bavanti / kim tarhi kasyacid 
   kadācit kiñcinmātraṃmūtatvāt sarvaṃ hi vastu hetusāpekṣameva /	kadAcid kiQcid mAtraMmUta tvAt sarvam hi vastu hetu sApekzam eva /
   sarvajñatāpi kutracit kadācit kiñcit saṃbhāvyate / sarvasminnapi kāle	sarvajQa tA api kutracid kadAcid kiQcid saMBAvyate / sarvasmin= api kAle
   nāsti, sarvasmin sthāne nāsti, sarvamapi nāsti, tasmāt sā tu niyatameva	nAsti, sarvasmin sTAne nAsti, sarvam api nAsti, tasmAt sA tu niyatam eva
   hetupratyayasāpekṣā / taddhetupratyayeṣvapi abhrāntā avikalāśca sevitavyāḥ	hetu pratyaya sApekzAH / tad hetu pratyayezu api aBrAntAH avikalAH ca sevitavyAH
   / bhrantahetvanuṣṭhāne tu atidīrghakālenāpi na iṣṭaphala prāptiḥ /	/ Branta hetu anuzWAne tu ati dIrGa kAlena api na izwa Pala  prAptiH /
   yathā śṛṅgāt payodohavat / sakalahetusevanaṃ vināpi na phalotpādaḥ /	yaTA SRFgAt payaH doha vat / sakala hetu sevanam vinA api na Pala utpAdaH /
   bījādiṣu kasyacidapi abhāve aṅkurādiphalānutpādāt / tasmāt	bIja Adizu kasyacid api aBAve aFkura Adi Pala anutpAdAt / tasmAt 
   tatphalakāmenābhrāntasakalaṃ hetupratyayaṃ sevanīyam /	tad Pala kAmena aBrAnta sakalam hetu pratyayam sevanIyam /
   ke hetupratyayāḥ sarvajñatāphalasya iti? ucyate, mādṛśo	ke hetu pratyayAH sarvajQa tA Palasya iti? ucyate, mAdRSaH 
   jātyandhasadṛśastān darśayituṃ na śaknoti, tathāpi	jAti anDa sadRSaH tAn darSayitum na Saknoti, taTA api
   bhagavataivābhisaṃbuddhaya vineyajanebhyo yathoktaṃ tathaiva mayā	BagavatA eva aBisaMbudDaya vineya janeByaH yaToktam taTA eva mayA
   bhagavadvacanenaiva kathyate / bhagavāṃstan avocat  "guhyādhipate! tat	Bagavat vacanena eva kaTyate / BagavAn= tat avocat "guhya aDipate! tat 
   sarvajñajñānaṃ karuṇāmūlaṃ bodhicittahetukam upāyaparyavasānam" iti /	sarvajQa jQAnam karuNA mUlam boDi citta hetukam upAya paryavasA nam" iti /
   tasmāt sarvajñatāmadhigantukāmaiḥ karuṇā bodhicittopāyeṣu eteṣu triṣu	tasmAt sarvajQa tAm aDigantu kAmEH karuNA a  boDi citta upAyezu etezu trizu
   śikṣitavyam /	Sikzitavyam /
   karuṇayā preryamāṇā bodhisattvāḥ sarvasattvābhyuddhāraṇartham avaśyaṃ	karuNayA preryamANAH boDisattvAH sarva sattva aByudDAraNarTam avaSyam
   pratijñāsyanti / ataḥ svātmadṛṣṭiṃ nirākṛtya	pratijQAsyanti / atas sva Atma dRzwim nirAkRtya
