   Kalpadrumāvadānamālāyāṃ	Kalpadruma-avadAna-mAlAyAm
   nirdiṣṭaḥ sarvabhikṣūṇām agro 'raṇāvihāriṇām* // KDA_455 //	nirdizwaH sarva-BikzUNAm agraH araNa-avihAriNAm* // KDA_455 //
   atha te bhikṣavaḥ sarve saṃśayoddhatamānasāḥ /	aTa te BikzavaH sarve saMSaya-udData-mAnasAH /
   cchetāraṃ saṃśayānāṃ taṃ papracchur evam īśvaram* // KDA_456 //	cCetAram saMSayAnAm tam papracCuH evam ISvaram* // KDA_456 //
   kāni bhadanta karmāṇi kṛtāny api subhūtinā /	kAni Badanta karmANi kRtAni api suBUtinA /
   nirdiṣṭo bhavatā yena jyeṣṭho 'raṇāvihāriṇām* // KDA_457 //	nirdizwaH BavatA yena jyezWaH araNa-avihAriNAm* // KDA_457 //
   iti tair bhikṣubhiḥ pṛṣṭo bhagavān ity udāharat* /	iti tEH BikzuBiH pRzwaH BagavAn iti udAharat* /
   śṛṇudhvaṃ bhikṣavaḥ sarve tat kṛtaṃ yat subhūtinā // KDA_458 //	SRNuDvam BikzavaH sarve tat kRtam yat suBUtinA // KDA_458 //
   subhūtinā kṛtaṃ karma tat ko 'nyaḥ paribhokṣyate /	suBUtinA kRtam karma tat kaH anyaH pariBokzyate /
   yenaiva yat kṛtaṃ karma tenaiva tat prabhujyate // KDA_459 //	yena-eva yat kRtam karma tena-eva tat praBujyate // KDA_459 //
   bhūtapūrvam atīte 'dhvany asmin* kalpe ca bhadrake /	BUta-pUrvam atIte aDvani asmin* kalpe ca Badrake /
   varṣasahasram āyuṣ ca viṃśatiguṇitaṃ yadā // KDA_460 //	varza-sahasram AyuH ca viMSati-guNitam yadA // KDA_460 //
   tasmiṃś ca samaye buddhaḥ kāśyapo nāma nāyakaḥ /	tasmin ca samaye budDaH kASyapaH nAma nAyakaH /
   vidyācaraṇasaṃpannaḥ sugato lokavij jinaḥ // KDA_461 //	vidyA-caraNa-saMpannaH sugataH loka-vid jinaH // KDA_461 //
   śāstā devamanuṣyāṇāṃ puruṣadamyasārathiḥ /	SAstA deva-manuzyANAm puruza-damya-sAraTiH /
   sarvajño bhagavān nāthaḥ ṣaḍabhijño munīśvaraḥ // KDA_462 //	sarvajQaH BagavAn nATaH zaxaBijQaH muni-ISvaraH // KDA_462 //
   -------------------- Vaidya, p. 295 --------------------	------------------- VEdya, p. 295 --------------------
   vārāṇasīm upāśritya mṛgadāve jināśrame /	vArANasIm upASritya mRga-dAve jina-ASrame /
   vyaharat sarvasatvānām saddharmaṃ samupādiśan* // KDA_463 //	vyaharat sarva-satvAnAm sadDarmam samupAdiSan* // KDA_463 //
   tasyaiva śāsane śuddhe svākhyāte dharmavainaye /	tasya-eva SAsane SudDe su-AKyAte Darma-vEnaye /
   ayaṃ pravrajito bhūtvā mahādātāpy abhūt tadā // KDA_464 //	ayam pravrajitaH BUtvA mahAdAtA-api aBUt tadA // KDA_464 //
   daśa varṣasahasrāṇi brahmacaryam apālayat* /	daSa varza-sahasrANi brahmacaryam apAlayat* /
   praṇidhānaṃ tathā cāyam akarod brahmavittamaḥ // KDA_465 //	praNiDAnam taTA ca-ayam akarot brahma-vittamaH // KDA_465 //
   anena kuśalenāhaṃ bhaveyaṃ bauddhasadyatiḥ /	anena kuSalena-aham Baveyam bOdDa-sadyatiH /
   yo 'sau bhagavatānena kāśyapena sutāyinā // KDA_466 //	yaH asO BagavatA-anena kASyapena sutAyinA // KDA_466 //
   māṇava uttaro nāma vyākṛta iti bodhaye /	mANavaH uttaraH nAma vyAkRtaH iti boDaye /
   māṇava tvaṃ prajānāṃ tu yadā varṣaśatāyuṣi // KDA_467 //	mANava tvam prajAnAm tu yadA varza-Sata-Ayuzi // KDA_467 //
   śākyamunir mahābuddhaḥ sarvajño lokanāyakaḥ /	SAkya-muniH mahAbudDaH sarvajQaH loka-nAyakaH /
   saṃbuddho bhagāvan nāthas tathāgato bhaviṣyasi // KDA_468 //	saMbudDaH BagAvat nATaH taTAgataH Bavizyasi // KDA_468 //
   asyaiva śasane cāhaṃ bhaveyaṃ śrāvakottamaḥ /	asya-eva Sasane ca-aham Baveyam SrAvaka-uttamaH /
   arhatām agrasaṃprāpto bhūtvāraṇāvihāriṇām* // KDA_469 //	arhatAm agra-saMprAptaH BUtvAraNa-avihAriNAm* // KDA_469 //
   tenaiva karmaṇā cādya praviṣṭo mama śāsane /	tena-eva karmaNA ca-adya pravizwaH mama SAsane /
   arhatāṃ jyeṣṭhatāṃ prāptas tathāraṇāvihāriṇām* // KDA_470 //	arhatAm jyezWa-tAm prAptaH taTA-araNA-vihAriNAm* // KDA_470 //
   kāni punar anenaiva karmāṇi prakṛtāny api /	kAni punar anena-eva karmANi prakRtAni api /
   yenaiva nāgayonau ca samutpanno babhūva saḥ // KDA_471 //	yena-eva nAga-yonO ca samutpannaH baBUva saH // KDA_471 //
   yat taḥ kleśāprahīṇatvād udbhrāntendriyacetasā (Speyer: yataḥ kleśāŚ) /	yat tas kleSa-aprahINa-tvAt udBrAnta-indriya-cetasA (Speyer: yatas kleSAŚ) /
   śaikṣāśaikṣagāṇānāṃ ca bhikṣūṇāṃ brahmacāriṇām* // KDA_472 //	SEkzA-SEkza-gANAnAm ca BikzUNAm brahmacAriNAm* // KDA_472 //
   anena ruṣṭacittena paruṣābaddhacetasā /	anena ruzwa-cittena paruza-AbadDa-cetasA /
   cittāni saṃpradūṣyaiva vikalāni kṛtāny api // KDA_473 //	cittAni saMpradUzya-eva vikalAni kRtAni api // KDA_473 //
   sadāśīviṣavādena vikruśyābhāṇi sāṃghike /	sat-ASIviza-vAdena vikruSya-ABANi sAMGike /
   tenaiva pātakenaivaṃ pañca janmaśatāny api // KDA_474 //	tena-eva pAtakena-evam paQca janma-SatAni api // KDA_474 //
   nāgayonisamutpanno babhūvāyaṃ mahāviṣaḥ /	nAga-yoni-samutpannaH baBUva-ayam mahA-vizaH /
   yac cānena punas tatra pravrajya buddhaśāsane // KDA_475 //	yat ca-anena punar tatra pravrajya budDa-SAsane // KDA_475 //
   sadā dānāni saṃdatvā brahmacaryaṃ ca pālitam* /	sadA dAnAni saMdatvA brahmacaryam ca pAlitam* /
   tenedānīṃ tathārhatvaṃ prāpya sākṣātkṛtaṃ mudā // KDA_476 //	tena-idAnIm taTA-arha-tvam prApya sAkzAtkRtam mudA // KDA_476 //
   araṇāvihāriṇāṃ cāgro nirdiṣṭo 'yaṃ mayā khalu /	araNA-vihAriNAm ca-agraH nirdizwaH ayam mayA Kalu /
   iti hi bhikṣavo yūyaṃ jānīdhvaṃ karmatāphalam* // KDA_477 //	iti hi BikzavaH yUyam jAnIDvam karma-tA-Palam* // KDA_477 //
   -------------------- Vaidya, p. 296 --------------------	------------------- VEdya, p. 296 --------------------
   yenaiva yat kṛtaṃ karma tasyaiva tat phalaṃ dhruvam* /	yena-eva yat kRtam karma tasya-eva tat Palam Druvam* /
   na naśyanti hi karmāṇi kalpakoṭiśatair api /	na naSyanti hi karmANi kalpa-kowi-SatEH api /
   sāmagrīṃ prāpya kālaṃ ca phalanti khalu dehināṃ // KDA_478 //	sAmagrIm prApya kAlam ca Palanti Kalu dehinAm // KDA_478 //
   abhuktaṃ kṣīyate naiva karma kvāpi kathaṃcana /	aBuktam kzIyate na-eva karma kvApi kaTaMcana /
   nāgnibhir dahyate karma vāyubhir nāpi śuṣyati /	na-agniBiH dahyate karma vAyuBiH na-api Suzyati /
   udakaiḥ klidyate naiva bhūmiṣv api na naśyati // KDA_479 //	udakEH klidyate na-eva BUmizu api na naSyati // KDA_479 //
   anyathāpi ca no bhūtā sarvathā karmaṇāṃ gatiḥ /	anyaTA-api ca naH BUtA sarvaTA karmaNAm gatiH /
   śuklānāṃ śuklatā nityaṃ kṛṣṇānāṃ kṛṣṇatā khalu /	SuklAnAm Sukla-tA nityam kRzNAnAm kRzNa-tA Kalu /
   miśrataiva tu miśrāṇāṃ ṣaḍgatau bhujyate dhruvam* // KDA_480 //	miSratA-eva tu miSrANAm zaxgatO Bujyate Druvam* // KDA_480 //
   tasmād apāsya kṛṣṇāni karmāṇi miśritāni ca /	tasmAt apAsya kRzNAni karmANi miSritAni ca /
   yatitavyaṃ śubheṣv eva karmasu sukhavāñchibhiḥ // KDA_481 //	yatitavyam SuBezu eva karmasu suKavAn-SiBiH // KDA_481 //
   tatheti bhikṣavaḥ śrutvā te ca lokāḥ prabhāṣitāḥ /	taTA-iti BikzavaH SrutvA te ca lokAH praBAzitAH /
   buddhavacomṛtaṃ pītvā nanandur anumoditāḥ // KDA_482 //	budDa-vacaH-mRtam pItvA nananduH anumoditAH // KDA_482 //
   evam etan mahārāja śrutaṃ me gurubhāṣitam* /	evam etat mahA-rAja Srutam me guru-BAzitam* /
   iti matvā tvayā rājan parātmaśubhavāñchinā // KDA_483 //	iti matvA tvayA rAjan para-Atma-SuBa-vAQCinA // KDA_483 //
   krodhāriṃ yatnato jitvā kṣamādharmapuraskṛtaḥ /	kroDa-arim yatnataH jitvA kzamA-Darma-puraskRtaH /
   maitrīṃ bhāvaya satveṣu svātmajeṣu yathā sadā // KDA_484 //	mEtrIm BAvaya satvezu sva-Atmajezu yaTA sadA // KDA_484 //
   iti subhāṣitaṃ śrutvā upaguptasya sadguroḥ /	iti su-BAzitam SrutvA upaguptasya sat-guroH /
   tatheti nṛparājaḥ sa nananda sasabhājanaḥ // KDA_485 //	taTA-iti nRpa-rAjaH sa nananda sa-saBAjanaH // KDA_485 //
   ye maitrībhāvadharmaṃ kalimatiharaṇaṃ tat subhūteś caritraṃ śṛṇvanti	ye mEtrI-BAva-Darmam kalim-ati-haraNam tat suBUteH caritram SRNvanti
   śrāvayanti tribhuvanasukhadaṃ saṃnipātya janaughān* /	SrAvayanti triBuvana-suKa-dam saMnipAtya jana-oGAn* /
   te lokā maitracittās tribhuvanasukhadāḥ kṣāntisaurabhyayuktāḥ yātāḥ	te lokAH mEtra-cittAH triBuvana-suKa-dAH kzAnti-sOraBya-yuktAH yAtAH
   saukhāvatīṃ te 'py amitarucimuner dharmam ārādhayanti // KDA_486 //	sOKAvatIm te api amita-ruci-muneH Darmam ArADayanti // KDA_486 //
