   // tarkatāṇḍavam //	// tarka tANxavam //
   tadasamavāhitenāpi jñānagrāhakeṇa tatra prāmāṇyāgrahādbādha 1	tat asamavAhitena api jQAna grAhakeNa tatra prAmANya agrahAt bADa 1
   evetyādidūṣaṇaṃ sphuṭatvādupekṣyoktaniruktau	eva ityAdi dUzaNam sPuwa tvAt upekzya ukta niruktO
   yāvajjñānaviṣayakajñānaviṣayatvamityeva sāmañjasye	yAvat jQAna vizaya ka jQAna vizaya tvam iti eva sAmaQjasye
   grāhakasāmagrītyuktivaiyarthyā 2 dgauravāccetyupetya	grAhaka sAmagrI ti ukti vEyarTyA 2 dgOravAt ca iti upetya
   grāhakasāmagrīpadatyāgena jñānapadena 3	grAhaka sAmagrI pada tyAgena jQAna padena 3
   vānuvadanyathāśrutāprāmāṇyapadārthe tāvaddoṣamāha    tadabhāvavatīti //	vA anuvat an yaTa aSrutA prAmANya padArTe tAvat dozam Aha   tat aBAvavatI iti //
   aprāmāṇyagrāhakasyāpīti //	aprAmANya grAhakasya api iti //
   uktavidhabhāvarūpāprāmāṇyātyantābhāvavyāpyāpyaviṣayakasyetyapi jñeyam 4 /	uktaviDa BAva rUpA prAmANya atyanta aBAva vyApya api avizaya kasya iti api jQeyam 4 /
   tena naño 'bhānārthavivakṣāpi prayuktā dhyeyā /	tena naQaH aBAna arTa vivakzA api prayuktA DyeyAH /
   nanu naño virodhārthatve prāmāṇyābhāvatadvyayāpyāprāmāṇyatadvyāpyānāṃ	nanu naQaH viroDa arTa tve prAmANya aBAva tad vyayApyA prAmANya tat vyApyAnAm
   cakurṇāmapyaprāmāṇyapadena prāmāṇyavirodhivācinā	cakurNAm api aprAmANya padena prAmANya viroDi vAcinA
   grahaṇasaṃbhavānnoktadoṣaḥ / virodhitvasya	grahaNa saMBavAn na ukta dozaH / viroDi tvasya
   prāmāṇyaniścayapratibandhakajñānaviṣayatvarūpatvādityāśayena	prAmANya niScaya pratibanDaka jQAna vizaya tva rUpa tvAt iti ASayena
   pakṣadharādyuktavivakṣāmanūdyanirāha    aprāmāṇyeti //	pakzaDarAdi ukta vivakzAm anUdya nirAha   aprAmANya iti //
   apipadenaitatsūcayati / yadyapi grāhyaprāmāṇyavirodhilābho naitāvatā	apipadena etat sUcayati / yadi api grAhya prAmANya viroDi lABaH na etAvatA
   bhavati / tatpadamilitenāpyasāmarthyādalābha eva /	Bavati / tad pada militena api asAmarTyAt alABaH eva /
   virodhimātratvaprayojakam / tathāpyabhyupagamoyamiti    ityādivākyeti //	viroDi mAtra tva prayojakam / taTA api aByupagamoyam iti   iti Adi vAkya iti //
   1.bādha ityādi kuṃ. 2.gauravapadaṃ nāsti a. 3.naivā kuṃ. 4. dhyeyam  kuṃ.	1.bADaH ityAdi  kuM. 2.gOrava padam nAsti a. 3.nA eva a kuM. 4. Dyeyam kuM.
   prāmāṇyavādaḥ pu 21.	prAmANya vAdaH pu 21.
     jñānaṃ guṇa ityādivākyajanyasya jñānaṃ prameyamiti	  jQAnam guNaH ityAdi vAkya janyasya jQAnam prameyam iti
   sāmānyapratyāsattijanyasya ca jñānajñānasya prāmāṇyāviṣayaka 1	sAmAnya pratyAsatti janyasya ca jQAna jQAnasya prAmANya avizayakaH 1
   tvādbādhatādavasthyāt 2 / jñānagrāhakapadena svaviṣayaghaṭitatvena	tvAt bADa tAdavasTyAt 2 / jQAna grAhaka padena sva vizaya Gawita tvena
   jñānagrāhakatvavivakṣāyāmapi ghaṭajñānamityādiśabdajanyasya 3	jQAna grAhaka tva vivakzAyAm api Gawa jQAnam ityAdi Sabda janyasya 3
   jñānajñānasya prāmāṇyāviṣayakatvena bādha eva /	jQAna jQAnasya prAmANya avizayaka tvena bADaH eva /
   jñānaṃ samavetaṃ jñānasamūrtamityādīvākyajanmasya	jQAnam samavetam jQAna sa mUrtam iti AdI vAkya janmasya
   guṇatvādīprakārakajñānaviśeṣyakasyetyarthaḥ / jñānajñānasyetyanvayaḥ /	guNa tva AdI prakAraka jQAna viSezya kasya iti arTaH / jQAna jQAnasya iti anvayaH /
   sākṣājjñānatvavyāpakadharmāprakāraketyapi grāhakaviśeṣaṇamastvityata uktam	sAkzAt jQAna tva vyApaka Darma aprakAraka iti api grAhaka viSezaNam astu iti atas uktam
      jñānaṃ prameyamitīti // jñāne prameyatvaṃ jñātaṃ sat pratyāsa 4	  jQAnam prameyam iti iti // jQAne prameya tvam jQAtam sat pratyAsa 4
   ttībhūya svaviśeṣaṇatāsaṃbandhena svāśrayabhūtāni	ttIBUya sva viSezaNa tA saMbanDena sva ASraya BUtAni
   sarvajñānarūpavastūnyupasthāpayatīti	sarva jQAna rUpa vastUni upasTApayati iti
   prameyatvaprakārakajñānaviśeṣyakajñāna 5 jñānasya prameyatvāśrayajñāne	prameya tva prakAraka jQAna viSezyaka jQAnaH 5 jQAnasya prameya tva ASraya jQAne
   pramāṇyaviṣayakatvādityarthaḥ / uktadoṣaparihārāya 6 śaṅkate   	pramANyavizayaka tvAt iti arTaH / ukta doza parihArAya 6 SaFkate   
   jñānagrāhakapadeneti // prāmāṇyāviṣayakatveneti //	jQAna grAhaka padena iti // prAmANya avizayaka tvena iti //
   apadārthatvādavākyārthatvācca ghaṭatvavadviśeṣyakatvādestena sarvathā	apadArTa tvAt avAkya arTa tvAt ca Gawa tva vat viSezyaka tva AdeH tena sarvaTA
   bhānābhāvāditi bhāvaḥ / yattu śabdānupasthitamapi	BAna aBAvAt iti BAvaH / yat tu SabdAn upasTitam api
   prāmāṇyamanvayitāvacchedakatayā ghaṭajñānamiti jñāne bhātīti	prAmANyam anvayitA avacCedaka tayA Gawa jQAnam iti jQAne BAti iti
   pakṣadharotprekṣitaṃ mataṃ 7 tattenaiva dūṣitamityupetyoktam   bādha eveti	pakzaDara utprekzitam matam 7 tat tena eva dUzitam iti upetya uktam  bADaH eva iti
   // vivṛtaṃ 8 caitadgurupādaiḥ / nanu śabdānyatve sati	// vivRtam 8 ca etat guru pAdEH / nanu Sabda anya tve sati
   svaviṣayaghaṭitatvena jñānagrāhakatvavivakṣāstiti cenna / tathāpyayaṃ	sva vizaya Gawita tvena jQAna grAhaka tva vivakzA aH titi ced na / taTA api ayam
   ghaṭajñānavān tadvyavaharavatvāt ityādyanumānajanyajñānajñānasyāpi	Gawa jQAnavAn tad vyavaharava tvAt ityAdi anumAna janya jQAna jQAnasya api
   prāmāṇyāviṣayakatvena bādhāt / jñānaṃ prameti śabdajanyajñānasya	prAmANya avizayaka tvena bADAt / jQAnam pramA iti Sabda janya jQAnasya
   prāmāṇyāviṣayakatvāpātācceti bhāvaḥ //	prAmANya avizaya ka tva ApAtAt ca iti BAvaH //
   1.tvena ka. 2.sthyam kuṃ. cha. ka. 3.janyajñāna kuṃ. 4.ttirūpaṃ a.	1.tvena ka. 2.sTyam  kuM. Ca. ka. 3.janya jQAna  kuM. 4.tti ru upaM a.
   5.'jñāna'iti nāsti  kuṃ. 6. yā kuṃ. 7.ttu kuṃ . 8. ca guru kuṃ .	5. ajQAna aiti na asti  kuM. 6. yA  kuM. 7.ttu kum . 8. ca guru kum .
   paro sva ni bhaṃ.) prāmāṇyavādaḥ pu  22.	paro sva  ni BaM.) prAmANya vAdaH pu 22.
   nanu jñānagrāhakapadena grāhyaprāmāṇyāśrayajñānaprakāraprakārakatayā	nanu jQAna grAhaka padena grAhya prAmANya ASraya jQAna prakAra prakAraka tayA
   tatprakāravadviśeṣya1 tayā ca tadviṣayatvaṃ vivakṣitam / atra ca	tad prakAra vat viSezya1 tayA ca tad vizaya tvam vivakzitam / atra ca
   viśeṣaṇadvayena tavaghaṭaviśeṣyakaṃ jñānamiti, tava ghaṭatvaprakārakaṃ	viSezaNa dvayena tava Gawa viSezyakam jQAnam iti, tava Gawa tva prakArakam
   jñānamiti ca śabdābhyāṃ janyayoḥ ghaṭa 2	jQAnam iti ca SabdAByAm janyayoH Gawa 2
   jñānaviṣayakajñānayoḥ prāmāṇyāviṣayatvādbādha iti śaṅkadvayaṃ krameṇa	jQAna vizaya ka jQAnayoH prAmANya avizaya tvAt bADaH iti SaFka dvayam krameNa
   nirastamiti ceducyate / tvaduktaṃ	nirastam iti ced ucyate / tvad uktam
   yadgrāhyaprāmāṇyāśrayajñānaprakāraprakāratayā tatprakāravadviśeṣyatayā ca	yat grAhya prAmANya ASraya jQAna prakAra prakAra tayA tad prakAra vat viSezya tayA ca
   tadviṣayatvaṃ tatprāmāṇyaviṣakatvameva / svaprakārakavadviśeṣyatvasyaiva	tad vizaya tvam tad prAmANya vizaka tvam eva / sva prakAraka vat viSezya tvasya eva
   prāmāṇyarūpatvāt /	prAmANya rUpa tvAt /
   nanvastu tarhi svāśrayaprakārakatayā svāśrayaviśeṣyaviśeṣyakatayā	nanu astu tarhi sva ASraya prakAraka tayA sva ASraya viSezya viSezya ka tayA
   svāśrayagrāhyatvamiti yajñapatinoktaṃ matam / tatra yadyāpi yathāśrute	sva ASraya grAhya tvam iti yajQapatinA uktam matam / tatra yadya api yaTASrute
   ghaṭatvaprakārakaṃ kiñcidviśeṣyakaṃ iti 3 jñānenāpi	Gawa tva prakArakam kiQcid viSezyakam iti 3 jQAnena api
   prāmāṇyāgrāhatsvāśrayaprakāraprakārakatayā svāśrayaprarāravadviśeṣyatayeti	prAmANya agrAhatsu a ASraya prakAra prakAraka tayA sva ASraya prarAravat viSezyatayA iti
   vācyam / tatrāpi prakāravadityatra prakārasyopalakṣaṇatve	vAcyam / tatra api prakAra vat iti atra prakArasya upalakzaNa tve
   praguktadoṣāpatyā tatprakāraviśiṣṭa 4 viśeṣyakatayecyucyate / ato na	pragukta doza apatyA tad prakAra viSizwaH 4 viSezyaka tayeci ucyate / atas na
   kopi doṣa iti bhāvena śaṅkate    nanviti / tatprakāvaditi /	kopi dozaH iti BAvena SaFkate   nanu iti / tad prakAvat iti /
   tatprakāraviśiṣṭaviśeṣyakatayetyarthaḥ   tadviṣayatvam / vyāvasāyaviṣatvam	tad prakAra viSizwa viSezyakatayA iti arTaH  tad vizaya tvam / vyAvasAya viza tvam
   / 5 asminpakṣa ityādi vakṣyamāṇadoṣadārḍyāya daladvayakṛtyaṃ vyanakti   	/ 5 asmin pakzaH ityAdi vakzyamANa doza dArxyAya dala dvaya kRtyam vyanakti   
   atraceti / vivakṣāyāmityarthaḥ / kimetadvādimate tadvatvarūpaṃ	atra ca iti / vivakzAyAm iti arTaH / kim etat vAdimate tadvatva rUpam
   veśiṣṭyamanuvyasāyaviṣaya eva neti matiruta svātantryeṇa ? ādye doṣamāha  	veSizwyam anuvyasAya vizayaH eva na iti matiH uta svAtantryeNa ? Adye dozam Aha  
   tvadityādinā / svaprakāravaditi / svaprakāraviśiṣṭetyarthaḥ /	tvad ityAdinA / sva prakAra vat iti / sva prakAra viSizwA iti arTaH /
   1. ka. cha.kuṃ 2. 'ghaṭa' iti nāsti  kuṃ.cha.ka. 3.	1. ka.  Ca.kum 2. aGawa a iti na asti  kuM.Sa.ka. 3.
   ghaṭatvaprakārakakiñcidviśeṣyakaṃ kuṃ. 4. 'viśeṣya' iti nāsti  kuṃ.	Gawa tva prakAraka kiQcidviSezya kaM kuM. 4. aviSezya a iti nAsti kuM.
   'dharmi' ityadhikaṃ aṃ. 5. a. pustake nāsti.	aDarmi a iti aDikaM an. 5. a. pustake nAsti.
   paro sva ni bhaṃ) prāmāṇyavādaḥ pu  23.	paro sva  ni Ban) prAmANya vAdaH pu 23.
   tathā ca yāvatī prāmāṇyaviṣayikā sāmagrī tadgāhyatvaṃ svatastvamityuktaṃ	taTA ca yAvatI prAmANya vizayikA sAmagrI tad gAhya tvam svatas tvam iti uktam
   syāt / tathā caitādṛśasvastvasya paratastvapakṣepi satvātsiddhasādhanam /	syAt / taTA ca etAdRSa svaH tvasya paratas tu apakzepi satvAt sidDa sADanam /
   etadabhāvarūpaparatastvasādhane 'pasiddhāntaśca / na hi parastvapakṣe	etad aBAva rUpa paratas tvasADane apasidDAntaH ca / na hi paraH tu apakze
   anuvyavasāyāviṣayopi prāmāṇyaṃ prāmāṇyaṃ prāmāṇyānumiterapyaviṣayaḥ /	anuvyavasAya Avizayopi prAmANyam prAmANyam prAmANya anumiteH api avizayaH /
   siddhasādhanāpasiddhāntau vyanakti    nahīti // prāmāṇyamiti //	sidDa sADana apasidDAntO vyanakti   na hi iti // prAmANyam iti //
   tadvattvādirūpamityarthaḥ / vaiśiṣṭyamanuvyavasāyaviṣaya eva neti pakṣe	tadvat tva Adi rUpam iti arTaH / vESizwyam anu vyavasAya vizayaH eva na iti pakze
   tādṛśānuvyavasāyaviṣayatvamādāya siddhasādhanādidoṣābhāvepi idaṃ jñānaṃ	tAdRSa anuvyavasAya vizaya tvam AdAya sidDa sADana Adi doza aBAvepi idam jQAnam
   pramāṇaṃ samarthapravṛttijanakatvāt ityanumitisāmagrīrūpā yāvatī	pramANam samarTa pravRtti janaka tvAt iti anumiti sAmagrI rUpA yAvatI
   tvaduktalakṣaṇā jñānagrāhikā sāmagrī tāvattyāpi	tvad ukta lakzaNA jQAna grAhikA sAmagrI tAvat tyA api
   prāmāṇyagrahātsiddhasādhanapāpasiddhāntāvityarthaḥ/ anumitiviṣayatvoktau	prAmANya grahAt sidDa sADana pApa sidDAntO= iti arTaH/ anumiti vizaya tva uktO
   tatsāmāgrīviṣayatvaṃ siddhamevetyupetya anumiteḥ ityevoktam / na	tad sAma agrI vizaya tvam sidDam eva iti upetya anumiteH iti eva uktam / na
   tvanumitisāmagryā apīti / yadvātena sāmagrītyuktāvapi grāhakajñānetyeva	tu anumiti sAmagryAH api iti / yat vAtena sAmagri iti uktO= api grAhaka jQAna iti eva
   yuktam / na tu sāmagrītyupetyaivamuktam / dvitīye svātantryeṇa	yuktam / na tu sAmagrI iti upetya evam uktam / dvitIye svAtantryeNa
   tadvadviśeṣyakatvagrāhakatvamiti matam, uta grāhakatvamā 1 tramiti ?	tadvat viSezyakatva grAhaka tvam iti matam, uta grAhaka tvamA 1 tram iti ?
   svātantryeṇa tadvadviśeṣyakatvādiviṣayiketyarthaḥ    anuvyavasāyāviṣayopi	svAtantryeNa tadvat viSezyaka tva Adi vizayikA iti arTaH   anu vyavasAya avizayopi
   // svātantryeṇa	// svAtantryeNa
   tadvadviśiṣṭadharmaviśeṣyakatvādiviṣayakānumiterapītyarthaḥ / dvidīyepi	tadvat viSizwa Darma viSezya ka tva Adi vizayaka anumiteH api iti arTaH / dvidIyepi
   grāhyamityatra grāhyatvamātramabhimatam uta svātantryeṇa ? ādye	grAhyam iti atra grAhya tva mAtram aBimatam uta svAtantryeNa ? Adye
   tādṛśānuvyavasāyaviṣayatvamādāyāpi siddhasādhanatāpasiddhāntau spaṣṭau /	tAdRSa anuvyavasAya vizaya tvam AdAya api sidDa sADana tApa sidDAntO spazwO /
   1 . mātraṃ  kuṃ .	1 . mAtram  kum .
   paro sva ni bhaṃ ) prāmāṇyavadaḥ pu  24.	paro sva  ni Bam ) prAmANya vadaH pu 24.
   asminpakṣe 'prāmāṇyagrāhakatvaviśeṣaṇavaiyarthyaṃ ca //	asmin pakze aprAmANya grAhaka tva viSezaNa vEyarTyam ca //
   dvitīyetūktarūpānuvyavasāyaṃ prati prāmāṇyasya nyāyamate	dvitIyetu ukta rUpa anuvyavasAyam prati prAmANyasya nyAya mate
   svātantryeṇāviṣayatayā yāvatīti jñānagrāhakasāmagrīviśeṣaṇenaiva	svAtantryeNa avizaya tayA yAvatI iti jQAna grAhaka sAmagrI viSezaNena eva
   siddhasādhanāpatterdeṣāntaramāha   asminpakṣa iti // grāhyatvamityatraiva	sidDa sADana ApatteH deza antaram Aha  asmin pakzaH iti // grAhya tvam iti atra eva
   svātantryeṇa	svAtantryeNa
   grahyatvamiti pakṣa ityarthaḥ / tathā asminpakṣa ityasyaṃ svātantryeṇa	grahya tvam iti pakzaH iti arTaH / taTA asmin pakzaH iti asyam svAtantryeNa
   tadvadviśeṣyakatvādigrāhiketi pakṣa ityapyarthamupetya prācīnapakṣepyayaṃ	tadvat viSezyaka tva Adi grAhikA iti pakzaH iti api arTam upetya prAcInapakzepyayam
   doṣobodhyaḥ / tadvadviśeṣyakatvagrahe	dozaH boDyaH / tadvat viSezyaka tva grahe
   tadabhāvavadviśeṣyakatvarūpāprāmāṇyagrahāsaṃbhavenoktavivakṣayā	tad aBAvavat viSezyaka tva rUpA prAmANya graha asaMBavena ukta vivakzayA
   tadvāraṇāditi bhāvaḥ //	tad vAraNAt iti BAvaH //
   nanu tadabhāvavati tatprakārakatvarūpāprāmāṇyagrāhikāpi	nanu tad aBAvavati tad prakAraka tva rUpA prAmANya grAhikA api
   tadvadviśeṣyakatvagrāhikaiva /	tadvat viSezyakatva grAhikA eva /
   tatprakārakatvavittavedyatvāttadvadviśeṣyakatvasya /	tad prakAraka tva vitta vedya tvAt tadvat viSezyaka tvasya /
   tadvadviśeṣyakatvābhāne tatprakārakatvāgrahaṇāyogādicet tarhi	tadvat viSezyaka tva aBAne tad prakAraka tva agrahaNa ayoga Adi ced tarhi
   aprāmāṇyāgrāhakatvarūpaviśeṣaṇadāne 'pi tava ghaṭatvaprakāraṃ jñānamiti	aprAmANya AgrAhaka tva rUpa viSezaNa dAne api tava Gawa tva prakAram jQAnam iti
   śabdajanyajñanenāprāmāṇyāgrāhakeṇa kvaduktadiśā prakāravittivedyatayā	Sabda janya jQa nenA prAmANya AgrAhakeNa kvad ukta diSA prakAra vitti vedya tayA
   tadvadviśeṣyakatvagrāhiṇāpi pramāṇyāgrahaṇādbādhāpatteḥ / yadi cātra	tadvat viSezyakatva grAhiNA api pramANya agrahaNAt bADa ApatteH / yadi ca atra
   tadvattena viśeṣyasyābhānānna bādhaḥ/ tarhi aprāmāṇyagrāhakasāmagryāmapi	tadvat tena viSezyasya ABAnAt na bADaH/ tarhi aprAmANya grAhaka sAmagryAm api
   tattulyam / ata eva pūrvaṃ daladvayakṛtyaṃ vyaktīkṛtam //	tad tulyam / atas eva pUrvam dala dvaya kRtyam vyaktIkRtam //
   yadatroktaṃ narahariṇā"aprāmāṇyāgrā 1 haketyatra	yat atra uktam nara hariNA"a prAmANya agrA 1 hakA iti atra
   nañvyatyāsenāprāmāṇyābhāvagrā 2 haketyarthe prāmāṇyagrāhaketi paryavasānāt	naQvyati Asena aprAmANya aBA= agrA 2 hakA iti arTe prAmANya grAhaka iti paryavasAnAt 
   prāmāṇyagrāhatayāvajjñānagrāhakagrāhyatvaṃ vidhikoṭyartha"iti	prAmANya grAha tayA avat jQAna grAhaka grAhya tvam viDi kowI arTa" iti
   tadapi"yāvatī prāmāṇyaviṣayikā sāmagrī tadbrahmatvaṃ stavatastvamityuktaṃ	tat api"yAvatI prAmANya vizayikA sAmagrI tat brahma tvam stavataH tvam iti uktam
   syāt"iti granthakṛduktyeva siddhasādhanāditoṣeṇa nirastaṃ bhavati / na ca	syAt"iti granTa kRt uktyA iva sidDa sADana Adi tozeNa nirastam Bavati / na ca
   grāhyapadena svātantryeṇa grāhyamityabhimatatvādyāvadityuktaiva	grAhya padena svAtantryeNa grAhyam iti aBimata tvAt yAvat iti uktA eva
   siddhasādhanatvadoṣābhāvaḥ, tathātve nānuvyavasāyaviṣayatvasya nyāyamate	sidDa sADana tva doza aBAvaH, taTA tve na anuvyavasAya vizaya tvasya nyAya mate
   'bhāvaditi vācyam / naño prāmāṇyābhāvārthakatve pūrvapadena samāsāyogāt ,	aBAvat iti vAcyam / naQaH prAmANya aBAva arTaka tve pUrva padena samAsa ayogAt ,
   nañdvayavaiyarthyāt, tatpadavaiyarthyāccetidhyayem/tadetadāha   	nan dvayavEi arTyAt, tad pada vEyarTyAt ca itiDyayem/tat etat Aha   
   aprāmāṇyāgrāhakatvaviśeṣaṇavaiyarthyamiti //	aprAmANya AgrAhaka tva viSezaNa vEyarTyam iti //
   paro sva ni bhaṃ) prāmāṇyavādaḥ pu   25.	paro sva  ni Ban) prAmANya vAdaH pu  25.
   nanu yathā 1 jñānagrāhakasāmagryā jñānagrahārthaṃ yāvadapekṣitam tāvadeva	nanu yaTA 1 jQAna grAhaka sAmagryAH jQAna graha arTam yAvat apekzitam tAvat eva
   viṣayagrahārthamapyapekṣyate saiva saviṣaya 2 jñānagrahakasāmagrī	vizaya graha arTam api apekzyate sA eva sa vizaya 2 jQAna grahaka sAmagrI
   vivakṣitā /	vivakzitA /
   anuvyavasāyasāmagrī caivaṃ vidhā / 3 tayā vyavasāyagrahe 'pekṣitasya	anuvyavasAya sAmagrI ca evam viDA / 3 tayA vyavasAya grahe apekzitasya
   vyavasāya 4 saṃprayogasyaivaṃ tadviṣayaghaṭagrahe 'pyapekṣitatvāt /	vyavasAya 4 saMprayogasya evam tad vizaya Gawa grahe api apekzita tvAt /
   ghaṭajñānamiti śabdastu jñānagrahe jñānapadagatānāṃ śaktimapekṣate /	Gawa jQAnam iti SabdaH tu jQAna grahe jQAna pada gatAnAm Saktim apekzate /
   ghaṭagrahe tu ghaṭapadagatāṃ śaktimiti ce 5 nna /	Gawa grahe tu Gawa pada gatAm Saktim iti ce 5 nnaH /
   pakṣadharoktaśaṅkya nirāha    nanviti // tāvadeveti //	pakzaDara ukta SaFkya nirAha   nanu iti // tAvat eva iti //
   jñānagrāhakatvaprayuktameva yasyāṃ viṣayagrāhakatvaṃ saivetyarthaḥ /	jQAna grAhaka tva prayuktam eva yasyAm vizaya grAhaka tvam sA eva iti arTaH /
   asminmate ca bhrama iti padajanyajñānena	asmin mate ca BramaH iti pada janya jQAnena
   prāmāṇyāgrahādbādhavāraṇāyāprāmāṇyāgrāhakatvaviśaṃṣaṇamarthavat /	prAmANya agrahAt bADa vAraNAya aprAmANya agrAhaka tva viSaMzaNam arTavat /
   viṣayoparaktajñānagrāhakeṇa prameti padajanyajñānenoktarūpeṇa	vizaya uparakta jQAna grAhakeNa pramA iti pada janya jQAnena ukta rUpeNa
   pramāṇyagrahaṇātsiddhasādhanavāraṇāya    yāvaditi viśeṣaṇam / bādhaḥ	pramANi agrahaNAt sidDa sADana vAraNAya   yAvat iti viSezaNam / bADaH
   siddhasādhanatā ca neti krameṇa vyanakti   anuvyavasāyasamagrīti //	sidDa sADana tA ca na iti krameNa vyanakti  anuvyavasAya samagri iti //
   ṣaṣṭhītatpuruṣaḥ/	zazWI tatpuruzaH/
   ātmamanaḥsaṃyogādirityarthaḥ / svaprakāśavyavasāyādisāmagryapi grāhya  	Atma manaH saMyoga AdiH iti arTaH / sva prakASa vyavasAya Adi sAmagrI api grAhya  
   vyavasāyasaṃyogasya // vyavasāyasya manasā saha	vyavasAya saMyogasya // vyavasAyasya manasA saha
   saṃyuktasamavāyarūpasaṃbandhasyaivetyarthaḥ / bāhyartharūpaviṣayagrahe	saMyukta samavAya rUpa saMbanDasya eva iti arTaH / bAhi arTa rUpa vizaya grahe
   vyavasāyarūpapratyāsatterapekṣāyā ivānuvyavasāyajananepi viṣayatā	vyavasAya rUpa pratyAsatteH apekzAyAH iva anuvyavasAya jananepi vizaya tA
   vyavasāyāpekṣāyāstulyattvāditi bhāvaḥ / tatpadenetyupalakṣaṇam	vyavasAya apekzAyAH tulyat tvAt iti BAvaH / tad padena iti upalakzaNam
   tatpadādinetyarthaḥ /	tad pada AdinA iti arTaH /
   1.yayā sāmagryā kuṃ.cha.ka. 2.ka  kuṃ. cha.ka. 3.tathāhi cha.	1.yayA sAmagryA  kuM. Sa.ka. 2.ka kuM. Ca.ka. 3.taTA hi Ca.
   4.saṃbandhasyaiva  cha. 5. t  ka.	4. saMbanDasya eva Ca. 5. t  ka.
   paro sva ni bhaṃ ) prāmāṇyavādaḥ pu  26.	paro sva  ni Bam ) prAmANya vAdaH pu  26.
   tathāpyekayaiva śaktyā prakaraṇaprāptaghaṭajñānaparāmarśakena tatpadena	taTA api ekayA eva SaktyA prakaraNa prApta Gawa jQAna parAmarSakena tad padena
   janitajñānasya prāmāṇyāviṣayakatvena bādhatadavasthyāt /	janita jQAnasya prAmANya avizayaka tvena bADatadavasTyAt /
   nāpi tajjñānaviṣayakajñānājanyajñānaviṣayatvaṃ svatastvam / asmiṃśca pakṣe	na api tad jQAna vizayaka jQAnA janya jQAna vizaya tvam svatas tvam / asmin= ca pakze
   saṃbhavamātraṃ sādhyaṃ na tu niyamaḥ /	saMBava mAtram sADyam na tu niyamaH /
   yadatra maṇisārādāvuktam"asarvanāmatvenagrāhakaviśeṣaṇānna doṣa"iti tanna	yat atra maNisAra AdO= uktam"a sarva nAma tvena grAhaka viSezaNAt na doza" iti tat na
   / tathāpi lakṣaṇayā ghaṭajñānopasthāpakena lākṣaṇikajñānapadena	/ taTA api lakzaNayA Gawa jQAna upasTApakena lAkzaNika jQAna padena
   prāmāṇyāgrahāgbādhāt /	prAmANya agrahAgbADAt /
   alakṣaṇikatvenāpi viśeṣaṇe 1 tu ghaṭajñāne jñānapadaṃ śaktāmiti bhrame	alakzaNika tvena api viSezaNe 1 tu Gawa jQAne jQAna padam SaktAm iti Brame
   sati tādṛśena jñānapadenāpi prāmāṇyāgrahādbādha eva / bhramāghaṭitatvenāpi	sati tAdRSena jQAna padena api prAmANya agrahAt bADaH eva / Brama aGawita tvena api
   viśeṣaṇe tu aprāmāṇyāgrāhakapadavaiyarthyam / pramāyāmaprāmāṇyānumānasya	viSezaNe tu aprAmANya AgrAhaka pada vEyarTyam / pramAya AmaprAmANya anumAnasya
   vyāptipakṣadharmatānyatarabhramamūlatvādeva tatra bādhavāhaṇāt /	vyApti pakza Darma tA anyatara Brama mUla tvAt eva tatra bADa vAhaNAt /
