   udayananirākaraṇam	udayana-nirAkaraNam
   bodhanīyaḥ pramāṇena pramāṇañca prasaṅgaviparyaya tacca kiṃ vyāpāraṃ	boDanIyaH pramANena pramANaQca prasaFga-viparyaya tat-ca kim vyApAram
   upapādyate | pūrvāparāvasthayoḥ karaṇākaraṇamadhyakṣaprekṣitaṃ lakṣyīkṛtya	upapAdyate | pUrva-apara-avasTayoH karaNa-akaraNam-aDyakza-prekzitam lakzyIkRtya
   pramāṇāntarabādhādvā kādācitkānapekṣavat iti	pramANa-antara-bADAt-vA kAdAcid-kAn-apekza-vat iti
   tarkopaniṣadācāryavacanādviruddhamekatve pūrvāparāvasthayorbījasya prānte	tarka-upanizad-a-AcArya-vacanAt-virudDam-eka-tve pUrva-apara-avasTayoH-bIjasya prAnte
   prekṣitapratyekakartṛtvasya sādhayati karaṇākaraṇam | yasmādvirodhasya	prekzita-pratyeka-kartR-tvasya sADayati karaNa-akaraNam | yasmAt-viroDasya
   sāmānyalakṣaṇaṃ ca vicakṣaṇaḥ samācakṣāṇaḥ parabhāga-(3)-bhāgī tatra	sAmAnya-lakzaNam ca vicakzaNaH samAcakzANaH para-BAga--(3)-BAgI tatra
   sāmānlayakṣaṇamekadharmaṇyanavasthitiniyatatvaṃ tacca sāmānyaṃ	sAmAnla-yakzaNam-eka-DarmaNi-anavasTiti-niyata-tvam tat-ca sAmAnyam
   vyaktidvayātmanā viśeṣī syāt | sahānavasthānalakṣaṇaṃ	vyakti-dvaya-AtmanA viSezI syAt | saha-anavasTAna-lakzaNam
   parasparaparihārasthitalakṣaṇa-(4)-tākhyaṃ ca | tatra prācyasya (ādyasya)	paraspara-parihAra-sTita-lakzaNa-(4)-ta-AKyam ca | tatra prAcyasya (Adyasya)
   pratyakṣānupalambhapratyakṣāṇi sattā sādhyasiddhāni dvitīyasya	pratyakza-anupalamBa-pratyakzANi sattA sADya-sidDAni dvitIyasya
   punaranyonyabhedasiddhervā dhruvabhāvavināśavat pramāṇāntarabādhādvā |	punar-anyonya-Beda-sidDeH-vA Druva-BAva-vinASa-vat pramANa-antara-bADAt-vA |
   kādācit(5) kānapekṣavaditi vacanādupāyadvayamupanyastamāste | tatra	kAdAcit(5) kA-anapekza-vat-iti vacanAt-upAya-dvayam-upanyastam-Aste | tatra
   tatkālaṃ kāritvamatatkālakāritvabhedena sidhyati viruddhaṃ na	tad-kAlam kAritvam-atad-kAla-kAri-tva-Bedena siDyati virudDam na
   kālāntarākāritvena tadavacchede-(6)-nāsya vidhervidhuratvāt | yathā	kAla-antara-AkAri-tvena tad-avacCede-(6)-na-asya viDeH-viDura-tvAt | yaTA
   kādācitkamakādācitkatvena viruddhaṃ anapekṣatvamapi sāpekṣatvena |	kAdAcid-kamakAt-Acitka-tvena virudDam anapekza-tvam-api sa-apekza-tvena |
   atha cayenaiva pramāṇena kādācitkānapekṣa-(7)-yoḥ eka	aTa cayena-eva pramANena kAdAcid-ka-anapekza-(7)-yoH eka
   dharmiṇyanavasthitiniyatatvaṃ nirūpyate, tenaivānayorvirodho	DarmiNI-anavasTiti-niyata-tvam nirUpyate, tena-eva-anayoH-viroDaH-
   bodhasaudhādhirohī tadvatkālabhedena	boDa-sODa-aDirohI tadvat-kAla-Bedena
   anāśritādimavirodhabodhopāyayora-(8)-pi karaṇākaraṇayoḥ	anASrita-Adi-m-aviroDa-boDa-upAyayoH-a-(8)-pi karaNa-AkaraNayoH
   prasaṅgaviparyayākhya makṣatapramāṇalakṣaṇamākhyāti,	prasaFga-viparyaya-AKya makzata-pramANa-lakzaNam-AKyAti,
   parasparapratyanīkatvamekadharmaṇyanavasthitiniyamaṃ nirūpayaditi	paraspara-pratyanIka-tvam-eka-DarmaNi-anavasTiti-niyamam nirUpayat-iti
   palāyitaṃ pra(9) tyāśayā parasya ato yadaparamevamavādīt vādī tadapi	palAyitam pra(9) tyASayA parasya atas yat-aparam-evam-avAdIt vAdI tat-api
   dalitadardhamapasarpati sacivān |	dalita-darDam-apasarpati sacivAn |
   astu bījatvameva prayojakam, bhavatu sahakārisannidhāne sati	astu bIja-tvam-eva prayojakam, Bavatu sahakAri-sanniDAne sati
   kartṛsvabhāvatvaṃ bhāvasya, tathā ca tadasannidhāne	kartR-svaBAva-tvam BAvasya, taTA ca tad-asanniDAne
   'karaṇamapyupapadyatām, tathāpi tajjātīyamātra eveyaṃ vyavasthā na	akaraNam-api-upapadyatAm, taTA-api tad-jAtIya-mAtraH eva-iyam vyavasTA na
   tvekasyāṃ vyaktau karaṇākaraṇalakṣaṇaviruddha dharmādhyāsasya (2) tathā ca	tu-ekasyAm vyaktO karaNa-akaraNa-lakzaNa-virudDa Darma-aDyAsasya (2) taTA ca
   tadasaṃnidhāne pratyakṣasiddhatayā tatra durvāratvāditi cet-na	tad-asaMniDAne pratyakza-sidDa-tayA tatra durvAra-tvAt-iti cet-na
   virodhasvarūpānavavodhāt | sa khalu dharmayoḥ parasparābhāvarūpatvaṃ vā	viroDa-svarUpa-anavavoDAt | sa Kalu DarmayoH paraspara-aBAva-rUpa-tvam vA
   syāt nityānityavat(3) dharmiṇi tadāpādakatvaṃ vā śītoṣṇatvavat tadvatā vā	syAt nityAn-iti-avat(3) DarmiNi tad-ApAdaka-tvam vA SIta-uzNa-tva-vat tadvatA vA
   daṇḍitva kuṇḍalitvavat |	daNxitva kuNxali-tva-vat |
   nādyaḥ nirviśeṣaṇasyāsiddheḥ yāvatsatvaṃ kiñcittkaraṇāt | saviśeṣaṇasya tu	na-AdyaH nirviSezaNasya-asidDeH yAvat-satvam kiQcittkaraNAt | sa-viSezaNasya tu
   virodhasiddhāva-(4)-pyadhyāsānupapatteḥ | yadāyadakaraṇaṃ hi	viroDa-sidDO=-a-(4)-pya-DyAsa-anupapatteH | yadAyada-karaNam hi
   tatkaraṇasyābhāvo na tvanyadā tatkaraṇasya na	tad-karaNasya-aBAvaH na tu-anyadA tad-karaNasya na
   caitayorekadharmisamāveśamātiṣṭhāmahe | netaraḥ bhāvābhā(5)	ca-etayoH-eka-Darmi-samAveSam-AtizWAmahe | na-itaraH BAva-ABA(5)
   vavyatiriktayoḥ karaṇākaraṇāsiddheḥ	vavI-atiriktayoH karaNa-akaraNa-asidDeH
   vyāpārāparavyapadeśasahakāribhāvābhāvau hi karaṇākaraṇe kāryabhāvābhāvau	vyApAra-apara-vyapadeSa-sahakAri-BAva-aBAvO hi karaNa-akaraNe kArya-BAva-aBAvO
   vā | ati-(6)-rekasiddhāvapi svakāla evaṃ	vA | ati--(6)-reka-sidDO=-api sva-kAlaH evam
   svābhāvapratikṣepavadakaraṇābhāvamākṣipet karaṇaṃ na tvanyadā | nahi yo	svABAva-pratikzepa-vada-karaNa-aBAvam-Akzipet karaNam na tu-anyadA | na-hi yaH-
   yadā nāsti sa tadā svabhāvaṃ pratikṣeptumarha-(7)-ti, virodhyabhāvaṃ	yadA na-asti sa tadA svaBAvam pratikzeptum-arha-(7)-ti, viroDi-aBAvam
   vākṣeptuṃ tathā sati na kadācidapi tatra syānna kadāpi tadvirodhī	vA-Akzeptum taTA sati na kadAcid-api tatra syAt-na kadApi tad-viroDI
   bhavediti | 'nāsato vidyate bhāvo nābhāvo vidyate sata' iti āyātaṃ na vā	Bavet-iti | anAsataH vidyate BAvaH na-aBAvaH vidyate sata-a iti AyAtam na vA
   viro -(8)-dha ityādikamatarkya tārkikatvaṃ arkakarasaṃparkakarkaśagāminopo	viraH -(8)-DaH iti-Adikam-atarkya tArkika-tvam arka-kara-saMparka-karkaSa-gAminA-upaH-
   mano na sāntvayati asarpāyopetatvādamīṣāmasadvikalpānām | yat punaḥ	manaH na sAntvayati asarpAya-upeta-tvAt-amIzAm-asat-vikalpAnAm | yat punar-
   prasaṅgavipa-(9)-rya yamadhikṛtyai vā (e) kābhidhānam ḥstāṃ vā tathāpi na	prasaFga-vipa-(9)-rya yam-aDikRtyE vA (e) ka-aBiDAnam HstAm vA taTA-api na
   tābhyāṃ śakyāśakyayoravivakṣita kāla bheda eva virodhaḥ, sādhyate	tAByAm Sakya-aSakyayoH-avivakzita kAla BedaH eva viroDaH, sADyate
   tathopasaṃhartuṃ aśakyatvāt | ḥ yadā tadetyupekṣya(10) yatsamartha tat	taTA-upasaMhartum aSakya-tvAt | H yadA tadA-iti-upekzya(10) yat-samarTa tat-
   karotyevetyupasaṃhartuṃ śakyamiti cet na kāla niyamāvivakṣāyāṃ yat	karoti-eva-iti-upasaMhartum Sakyam-iti ced na kAla niyama-avivakzAyAm yat-
   samartha tat karotyeva kadācidit syāt | tathā ca sambhava vidheratyantā	samarTa tat karoti-eva kadAcid-id syAt | taTA ca samBava viDeH-atyantA
   yogo viruddhaḥ, na tvayogaḥ nīlaṃ sarojaṃ bhavatyeveti vat iti | tadapi	yogaH virudDaH, na tu-ayogaH nIlam sarojam Bavati-eva-iti vat iti | tat-api
   ayogo 'tyantāyīgavyavacchedenāpi sarvadā bījasya satve sambhavantu	ayogaH atyantAyI-ga-vyavacCedena-api sarvadA bIjasya satve samBavantu
   katṛtvamityabhimatatvāt malinanalina-(2)- nibhaṃ nibhālanīyaḥ |	katR-tvam-iti-aBimata-tvAt malina-nalina--(2) niBam niBAlanIyaH |
   yaccoktam - "nanu yadasamatha (tvaṃ) prathamamāsīt, tasya paścādapi	yat-ca-uktam  "nanu yat-asamaTa (tvaM) praTamam-AsIt, tasya paScAt-api
   sāmarthya kuta āgatam | prathamaṃ samarthasya nā paścāt tatra gataṃ	sAmarTya kutas Agatam | praTamam samarTasya nA paScAt tatra gatam
   naitadevaṃ tattatsahakārimataḥ (3) tatkārakatvaṃ hi sāmarthya,	na-etat-evam tad-tad-sahakArimataH (3) tad-kAraka-tvam hi sAmarTya,
   atadvatastadanyavato vā tadakartṛ tvamasāmarthyamidañcautpattikamasya	atadvataH-tad-anyavataH vA tat-akartR tvam-asAm-arTyam-idaQca-Otpattikam-asya
   rūpamiti | ḥ tadapi sahakārisāpekṣajananabījavimarśena gatam te ca (4)	rUpam-iti | H tat-api sahakAri-sApekza-janana-bIja-vimarSena gatam te ca (4)
   sahakāriṇaḥ svopasarppaṇa pratyayavaśādbhinnakālā ityarthāt kāryāṇāmapi	sahakAriNaH sva-upasarppaNa pratyaya-vaSAt-Binna-kAlAH iti-arTAt kAryANAm-api
   bhinnakālateti tathāpyekakālastha eva bhāvo jāto naṣṭastadā kāryaṃ karotu	Binna-kAlatA-iti taTA-api-eka-kAla-sTaH eva BAvaH jAtaH nazwaH-tadA kAryam karotu
   utpannamā (5) trasya tatsvabhāvatvāt | ekadeśasthavaditi cet	utpannamAH (5) trasya tad-svaBAva-tvAt | eka-deSa-sTa-vat-iti ced-
   -seyamekakālatā svarūpakālāpekṣayā sahakārisāṃnidhyāpekṣayā vā ādye na	-sA-iyam-eka-kAla-tA sva-rUpa-kAla-apekzayA sahakAri-sAMniDya-apekzayA vE Adye na
   kiñcidanupapannaṃ (6) nityānāmapi evaṃ rūpatvāt,	kiQcid-anupapannam (6) nityAnAm-api evam rUpa-tvAt,
   vartamānaikarūpatvādbhavānāṃ tadeva tu kvacitsāvadhi kvacinniravadhīti	vartamAna-eka-rUpa-tvAt-BavAnAm tat-eva tu kvacid-sA-avaDi kvacid-niravaDi-iti
   viśeṣaḥ | sāvadhitvepi vyāpāraphalapravāhaprakarṣāpraka-(7)-rṣābhyāṃ	viSezaH | sa-avaDi-tvepi vyApAra-Pala-pravAha-prakarza-apraka-(7)-rzAByAm
   viśeṣaḥ | dvitīyastu syādapi yadi teṣāṃ yaugapadyaṃ bhavet | kramiṇastu	viSezaH | dvitIyaH-tu syAt-api yadi tezAm yOgapadyam Bavet | kramiNaH-tu
   sahakāriṇa ityuktam | sahakārisahitaḥ svabhāvena karotīti vaktari	sahakAriNaH iti-uktam | sahakAri-sahitaH svaBAvena karoti-iti vaktari
   jā-(8)-ta naṣṭa eva karotu ityuttaraprasaṅgo	jA-(8)-ta nazwaH eva karotu iti-uttara-prasaFgaH-
   nirargalaśaiśavasyetyalamanena | tasmātkāryasya sa eva kālaḥ kāraṇasya	nirargala-SESavasya-iti-alam-anena | tasmAt-kAryasya saH eva kAlaH kAraNasya
   sacānyaśceti sambandhikālāpekṣayā pūrvakālatā vyavahā-(9)-raḥ | etadapi	sa-cAnyaH-ca-iti sambanDi-kAla-apekzayA pUrva-kAla-tA vyavahA-(9)-raH | etat-api
   sahakārisākalyaviśeṣaṇakaraṇanirākaraṇādalīkaṃ parikalpanamanalpaṃ	sahakAri-sAkalya-viSezaNa-karaNa-nirAkaraNAt-alIkam parikalpanam-analpam
   śalyacakrasātabhājanam deśabhedena tu kartṛtvākartṛtvamupalabdhaṃ	Salya-cakra-sAta-BAjanam deSa-Bedena tu kartR-tva-akartR-tvam-upalabDam
   ānyākṣepaṃ upayanātmahasitasahacarañca na virodhatvādi (2) sanamāpannaḥ |	AnyAkzepam upayana-Atma-hasita-sahacaraQca na viroDa-tva-Adi (2) sanam-ApannaH |
   tenaiva sahakāreṇa tasyaiva tadaiva tathaiva sambaddhatvamasambaddhatvaṃ	tena-eva sahakAreNa tasya-eva tadA-eva taTA-eva sambadDa-tvam-asambadDa-tvam
   ca pūrvāparavelāyāmaniścita ḥastu tarhi tasyaiva tenaiva sahakāriṇa	ca pUrva-apara-velAyAm-aniScita HaH-tu tarhi tasya-eva tena-eva sahakAriNa
   sahasambandho 'sambandhaśceti (3) virodhaḥ na vikalpānupapatteḥ | tathāhi	saha-sambanDaH asambanDaH-ca-iti (3) viroDaH na vikalpa-anupapatteH | taTA-hi
   sambandhinaḥ sambandhyantare svābhāvasvābhāvyaṃ vā virudhyeta, abhāva	sambanDinaH sambanDi-antare svABAvasvABAvyam vA viruDyeta, aBAva
   pratiyogitvaṃ vā, tadaiveti sahitaṃ vā, tatrai vati (4) sahitaṃ vā,	pratiyogi-tvam vA, tadA-eva-iti sahitam vA, tatrE vati (4) sahitam vA,
   ubhayasahitaṃ vā, tathaiveti sahitaṃ vā? vikalpakrameṇa (1)	uBaya-sahitam vA, taTA-eva-iti sahitam vA? vikalpa-krameNa (1)
   taduddharaṇavaktavyañcācakṣitamālocanīyam | (5) tathāhiśaśaśṛṃgasya |	tad-udDaraNa-vakta-vyaQca-Acakzitam-AlocanIyam | (5) taTA-hi-SaSaSRMgasya |
   ñca ye yogyamayogyaścāpi jāyate ||	Qca ye yogyam-ayogyaH-ca-api jAyate ||
   nityaṃ yogyasvabhāvasya tadvikalpavirodhataḥ |	nityam yogya-svaBAvasya tad-vikalpa-viroDataH |
   iti tyogyatāvācyaḥ svabhāvo 'sya nirupcyatām |	iti tyogyatA-avAcyaH svaBAvaH asya nirupcyatAm |
   vibhāgayogajāti-(6)-bhiḥ kimanyairgamanādibhiḥ |	viBAga-yoga-jAti-(6)-BiH kim-anyEH-gamana-AdiBiH |
   teṣu satyepi tasyeti, sambandhasyāprasiddhitaḥ ||	tezu satyepi tasya-iti, sambanDasya-aprasidDitaH ||
   yuktaḥ svabhāvabhedo 'yaṃ tatpratikṣaṇajanminām |	yuktaH svaBAva-BedaH ayam tad-pratikzaNa-janminAm |
   iti nyāyāt yadi saṃsargayo-(7)-gyaḥ svabhāvo bījasya nijo nāpaiti kadācana	iti nyAyAt yadi saMsargayaH--(7)-gyaH svaBAvaH bIjasya nijaH na-apEti kadAcana
   tadā svābhāvasvabhāvavatvamatṛṇahetuṃ kathamuktaṃ nānyat karmma iti |	tadA svABAva-svaBAvava-tvam-atRNa-hetum kaTam-uktam na-anyat karmma iti |
   śeṣaṃ tu phalguvarjitaṃ anargalabālatvasyetyādi (1) tamālokasya | atha	Sezam tu Palgu-varjitam anargala-bAla-tvasya-ityAdi (1) tam-Alokasya | aTa
   kādācitkaṃ tadrūpaṃ tadeva nirūpyatāṃ nibandhanaṃ ............... dipi yaḥ	kAdAcid-kam tad-rUpam tat-eva nirUpyatAm nibanDanam ............... dipi yaH
   kimadhikeneti dhūrtatvena |	kim-aDikena-iti DUrta-tvena |
   'iti anvayamukhena kṣaṇikatvānumānanirākṛtasya nirākaraṇam |'	aiti anvaya-muKena kzaNikatva-anumAna-nirAkRtasya nirAkaraNam |a
   vyatirekabhāvādinirṇayaḥ	vyatireka-BAva-Adi-nirNayaH
   dvitīyo 'dhyāyaḥ	dvitIyaH aDyAyaH
   prasaṃgaviparyayarahasyaṃ.....pūrvaparyavasthi (ta).....vipakṣādakṣaṇikā	prasaMga-viparyaya-rahasi-aM.....-pUrva-paryavasTi (ta).....vipakzAt-akzaNikA
   vyāyāvṛttaṃ prāptaṃ varṇanam | adhikaśca tatrāśrayahetudṛṣṭāntasi (1)	vyAyAvRttam prAptam varNanam | aDikaH-ca tatra-ASraya-hetu-dRzwAntasi (1)
   ddhau-pramāṇābhāvaḥ, avastuni pramāṇābhāvavṛtteḥ, pramāṇa	dDO--pramANa-aBAvaH, avastuni pramANa-aBAva-vRtteH, pramANa
   pravṛttāvalīkatvānupapatteḥ | evaṃ tarhi avyavahāre svavacanavirodha iti	pravRtta-AvalIka-tva-anupapatteH | evam tarhi avyavahAre sva-vacana-viroDaH iti
   cet-tat kiṃ svavacanavirodhenateṣupramāṇamupadarśi-(2)-taṃ bhavet	cet-tat kim sva-vacana-viroDenata-izu-pramANam-upadarSi-(2)-tam Bavet-
   vyavahāraniṣedhavyavahāropi khaṇḍitaḥ syāt | aprāmāṇiko vyavahāro 'vaśyaṃ	vyavahAra-nizeDa-vyavahAra-upi KaNxitaH syAt | aprAmANikaH vyavahAraH avaSyam
   svīkarttavya iti vā bhavet |	svIkarttavyaH iti vA Bavet |
   nādyaḥ-nahi virodhasahasreṇāpi sthire tasyakramādivira-(3)-he vā śaśaśṛṅge	na-AdyaH-nahi viroDa-sahasreNa-api sTire tasya-krama-Adi-vira-(3)-he vA SaSa-SRFge
   vā pratyakṣaṃ anumānaṃ vā upadarśayituṃ śakyaṃ tathātve vā kṛtaṃ	vA pratyakzam anumAnam vA upadarSayitum Sakyam taTA-tve vA kRtam
   bhautakalahena | dvitīyastu iṣyata eva pramāṇikaiḥ | avacanameva tarhi	BOta-kalahena | dvitIyaH-tu izyate eva pramANikEH | avacanam-eva tarhi
   prāptaṃ kiṃ kurmo yatra vaca-(4)-naṃ sarvathaivānupannaṃ tatrāvacanameva	prAptam kim kurmaH yatra vaca-(4)-nam sarvaTA-eva-anupannam tatra-avacanam-eva
   śreyaḥ, tvamapi paribhāvaya tāvat | niṣprāmāṇike 'rthe mūkavāvadūkayoḥ	SreyaH, tvam-api pariBAvaya tAvat | nizprAmANike arTe mUka-vAvadUkayoH
   kataraḥ śreyān pramāṇika iti |	kataraH SreyAn pramANikaH iti |
   evaṃ viduṣāpi bhavatā na mūkībhūya (5) sthitaṃ apitu vyavahāraḥ	evam viduzA-api BavatA na mUkIBUya (5) sTitam apitu vyavahAraH
   pratiṣiddha evāsatīti cet satyaṃ-yathā aprāmāṇikaḥ svavacanaviruddho 'rtho	pratizidDaH eva-asatI-iti ced satyaM-yaTA aprAmANikaH sva-vacana-virudDaH arTaH-
   mā prasāṅkṣīditi manyamānena tvayi yo 'prāmāṇika-(6)-evāsati vyavahāraḥ	mA prasAFkzIt-iti manyamAnena tvayi yaH aprAmANika--(6)-eva-asati vyavahAraH
   svīkṛtastathāsmābhirapi pramāṇacintāyāṃ aprāmāṇiko vyavahāro mā	svIkRtaH-taTA-asmABiH-api pramANa-cintAyAm aprAmANikaH vyavahAraH mA
   prasāṅkṣīditi manyamānairaprāmāṇika eva svavacanavi-(7)-rodhaḥ svīkriyate	prasAFkzIt-iti manyamAnEH-aprAmANikaH eva sva-vacana-vi-(7)-roDaH svIkriyate
   | yadi tūbhayatrāpi bhavānsamānadṛṣṭiḥ syādasmābhirapi tadā na	| yadi tu-uBayatra-api BavAn-samAna-dRzwiH syAt-asmABiH-api tadA na
   kiñciducyata iti | ḥ tṛtīye tvapramāṇikaścāpyavaśyasvīkartavyaśceti	kiQcid-ucyate iti | H tRtIye tu-apramANikaH-ca-api-avaSya-svIkartavyaH-ca-iti
   kasyeyamājñā iti bhavāneva (8) praṣṭavyaḥ | vyavahārasya	kasya-iyam-AjQA iti BavAn-eva (8) prazwavyaH | vyavahArasya
   sudṛḍhanirūḍhatvāditi cet-aprāmāṇikaśca dṛḍhanirūḍhaśceti vyāghātaḥ |	su-dRXa-nirUXa-tvAt-iti cet-a-prAmANikaH-ca dRXa-nirUXaH-ca-iti vyAGAtaH |
   kathañcidapi vyavasthitatvāditi cet-aprāmāṇika(9) ścennakathañcidapi	kaTaQcid-api vyavasTita-tvAt-iti cet-a-prAmANika(9) Scenna-kaTaQcid-api
   vyavatiṣṭhate-prāmāṇikādivattadevocyatāmitivāde vyavasthā | ekameva	vyavatizWate--prAmANika-Adi-vat-ta-deva-ucyatAm-itivAde vyavasTA | ekam-eva
   jalpavitaṇḍayostu pramāṇapraśnamātravyavasyate svavacanavyāghātaḥ | tatra	jalpa-vitaNxayoH-tu pramANa-praSna-mAtra-vyavasyate sva-vacana-vyAGAtaH | tatra
   (10) pramāṇenottaramaśakyam ca, apramāṇena tūttare svavacanenaiva bhaṅgaḥ,	(10) pramANena-uttaram-aSakyam ca, apramANena tu-uttare sva-vacanena-eva BaFgaH,
   madukteṣu praśnādiṣu pramāṇaṃ nāstīti svayameva svīkārāt anuttare tu	mad-uktezu praSna-Adizu pramANam na-asti-iti svayam-eva svIkArAt anuttare tu
   aprati bhaiveti | yadi ca vyavahārasvīkāre virodhaparihāraḥ syāt asau	aprati BEva-iti | yadi ca vyavahAra-svIkAre viroDa-parihAraH syAt asO
   svīkriyetāpi na tvevaṃ-na khalu sakalavyavahārābhājanañca	svIkriyeta-api na tu-evaM-na Kalu sakala-vyavahAra-aBAjanaQca
   tanniṣedhabhājanaṃ veti parasparamavirodhi(tam(2)cet) iti pareṇoktaṃ	tad-nizeDa-BAjanam vA-iti parasparam-aviroDi(tam(2)cet) iti pareNa-uktam
   tadetatsakalamasaṅgatam-svavāgvādhābodhanayā hi	tat-etat-sa-kalam-asaFgatam-su-avAc-vADAH-boDanayA hi
   vyāpakānupalambhāśrayādyasiddhimudbhāvayato 'doṣodbhāvanaṃ nāma	vyApaka-anupalamBa-ASraya-Adi-asidDim-udBAvayataH adozodBAvanam nAma
   nigrahasthānaṃ utthāpyate | (3) kathamiti cet-ucyate |	nigraha-sTAnam utTApyate | (3) kaTam-iti ced--ucyate |
   āśrayadṛṣṭāntādau pramāṇābhāva iti sādhyamadhyavasitam | avastuni	ASraya-dRzwAnta-AdO pramANa-aBAvaH iti sADya-maDya-vasitam | avastuni
   pramāṇāpravṛtteriti heturāveditaḥ |	pramANa-apravRtteH-iti hetuH-AveditaH |
   pramāṇapravṛttāvalīkatvānupa(4)patteriti svābhiprāyeṇa upapattiḥ	pramANa-pravRtta-AvalIka-tvAn-upa(4)patteH-iti sva-aBiprAyeNa upapattiH
   pratipāditā tathā cāśraye 'vaṣṭambhakapratipanne pramāṇena	pratipAditA taTA ca-ASraye avazwamBaka-pratipanne pramANena
   pramāṇāpravṛttilakṣaṇadharmasya dharmidharmmatvāvarodhe ca niṣpa-(5)-nne	pramANa-apravRtti-lakzaNa-Darmasya Darmi-Darmma-tva-avaroDe ca nizpa-(5)-nne
   kathaṃ nāśrayādyasiddhibodhaḥ |	kaTam na-ASraya-Adi-asidDi-boDaH |
   atha nāstyeva asiddhyādidoṣa parapramāṇasyāpyasiddhayā sādhanādau na	aTa na-asti-eva asidDi-Adi-doza para-pramANasya-api-asidDayA sADana-AdO na
   sannidhānaṃ labdhavyamityāpātam | tathā ca tatpramā(6)	sanniDAnam labDavyam-iti-ApAtam | taTA ca tat-pramA(6)
   ṇamevāpavādadaridratvāt | tataśca yattvayādūṣaṇamuktaṃ tatra dūṣaṇamiti	Nam-eva-apavAda-daridra-tvAt | tatas-ca yat-tvayA-dUzaNam-uktam tatra dUzaNam-iti
   adoṣodbhāvanaṃ nāma nigrahasthānamatastayorekataravādinirākaraṇāntā	adozodBAvanam nAma nigraha-sTAna-matas-tayoH-ekatara-vAdi-nirAkaraNa-antA
   paryavasāna (7) mānītaivakatheti kiṃ paraṃ nirarthakavikalpatrayeṇa	paryavasAna (7) mAnIta-eva-kaTA-iti kim param nirarTaka-vikalpa-trayeNa
   bhavitavyam | tathā hi kiṃ pramāṇamupadarśitaṃ bhavediti	Bavitavyam | taTA hi kim pramANam-upadarSitam Bavet-iti
   pramāṇamevāpadarśitaṃ nirdoṣatā visphuraṇāt svasādhanasya	pramANam-eva-apadarSitam nirdoza-tA visPuraNAt sva-sADanasya
   paroktāva-(8)-dyasya svavacanavicalanā bhrāntatvāt |	parokta-ava-(8)-dyasya sva-vacana-vicalanAH BrAnta-tvAt |
   avyavahārapratiṣedhavyavahārakhaṇḍanāpi	avyavahAra-pratizeDa-vyavahAra-KaNxanA-api
   svavāgbādhitavyavahārapratiṣedhasannidhānāyakā vastudharmmidharmasya ca	sva-vAc-bADita-vyavahAra-pratizeDa-sanniDAnAyakAH vastu-Darmmi-Darmasya ca
   pramāṇatvāt prativādinaḥ na (9) ca	pramANa-tvAt prativAdinaH na (9) ca
   vyavahāraniṣedhavyavahāraheturapahastito haste 'nyastaśca	vyavahAra-nizeDa-vyavahAra-hetuH-apahastitaH haste anyastaH-ca
   vyavahārapratiṣedhavyavahāra iti hṛdayaṅgamaṃ janaṅgamasyāpi	vyavahAra-pratizeDa-vyavahAraH iti hRdayaFgamam janaFgamasya-api
   vyāpakānupalambhena vyāpyābhāvavyavahāraṃ vyavahārataḥ	vyApaka-an-upalamBena vyApya-aBAva-vyavahAram vyavahArataH
   sudūramapakṛṣṭaprāmāṇikavyavahārāvaśyamaṅgīkaraṇam |	su-dUram-apakRzwa-prAmANika-vyavahAra-avaSyam-aFgIkaraNam |
   yatpunaruktaṃ nahi virodhasahastreṇāpītyādi tadapi	yat-punaruktam na-hi viroDa-sahastreNa-api-ityAdi tat-api
   svavacanavirodhānuruddhamavadhāryam | nitye 'vastuni	sva-vacana-viroDa-anurudDam-avaDAryam | nitye avastuni
   pramāṇamupadarśayitu-(2) maśakyaṃ pratyakṣamanumānamiti kiṃ tvayā	pramANam-upadarSayitu-(2) maSakyam pratyakzam-anumAnam-iti kim tvayA
   pratipannaṃ apratipannaṃ vā | pratipattirapi kiṃ pramāṇena apramāṇena vā |	pratipannam apratipannam vA | pratipattiH-api kim pramANena apramANena vA |
   pramāṇena pratipatrau svavacanavyāghātaḥ | apramāṇena tu	pramANena pratipatrO sva-vacana-vyAGAtaH | apramANena tu
   pratipattiraprāmā(3)ṇikasyaiveti mahatī vikṛtiḥ | na cāyaṃ bhautakalaha	pratipattiH-aprAmA(3)Nikasya-eva-iti mahatI vikRtiH | na ca-ayam BOtakalaha
   pramāṇasyavyāpakānupalambhasyaṃ darśitatvāt | dvitīyastviṣyata iti	pramANasya-vyApaka-anupalamBasyam darSita-tvAt | dvitIyaH-tu-izyate iti
   cāntarbhūtvā bhāsate janaḥ prāmāṇikaśceti avastuni	ca-antar-BUtvA BAsate janaH prAmANikaH-ca-iti avastuni
   vyavahāra-(4)-pratiṣedhavyavahārakhaṇḍanā kutaścetibruvantaḥ eva viśiṣṭa	vyavahAra--(4)--pratizeDa-vyavahAra-KaNxanA kutas-ca-itibruvantaH eva viSizwa
   viṣayavyavahārapratiṣedhavyavahārakhaṇḍenāśabdenaiva	vizaya-vyavahAra-pratizeDa-vyavahAra-KaNxena-aSabdena-eva
