   āmnāyasya //	AmnAyasya //
   "tena kimityapekṣite yacchakyateityupabandhāt akṣaragrahaṇamityāpatati /	"tena kim-iti-apekzite yat-Sakyata-iiti-upabanDAt akzara-grahaNam-iti-Apatati /
   tasyāpyapuruṣārthatvāttena kimiti padāvadhāraṇamityupatiṣṭhate /	tasya-api-apuruza-arTa-tvAt-tena kim-iti pada-avaDAraNam-iti-upatizWate /
   tenāpi padārthajñānaṃ tena vākyārthajñānantenānuṣṭhānamanuṣṭhānana	tena-api padArTa-jQAnam tena vAkya-arTa-jQAnantena-anuzWAnam-anuzWa-Anana
   svargādiphalaprāptirityetāvati nirākāṅkṣībhavati"	svarga-Adi-Pala-prAptiH-iti-etAvati nirAkAFkzIBavati"
   ityādibhirvākyairvārtikakārā hi kaṇṭhata evārthatvajñānārthamadhyayanasya	ityAdiBiH-vAkyEH-vArtikakArAH hi kaNWataH eva-arTa-tva-jQAna-arTam-aDyayanasya
   natvakṣarāvāptyarthatvamiti pratipādayanti /	na-tu-akzara-avApti-arTa-tvam-iti pratipAdayanti /
   arthajñānārthatvapakṣe 'pi kalpasūtrādisārthakyaṃ kalpasūtrādhikaraṇādau	arTa-jQAna-arTa-tva-pakze api kalpa-sUtra-Adi-sArTakyam kalpa-sUtra-aDikaraNa-AdO
   vyaktam /	vyaktam /
   śeṣatvātpuruṣārthavāda iti arthajñānārthatvapakṣameva	Seza-tvAt-puruza-arTa-vAdaH iti arTa-jQAna-arTa-tva-pakzam-eva
   jaiminisaṃmatamanuvadan bādarāyaṇo 'pi atra hastāvalambayati /	jEmini-saMmatam-anuvadan bAdarAyaNaH api atra hasta-avalambayati /
   adhyayanamātravata ityatropaniṣadaṃśamātrer'thajñānānapekṣā bodhyate, natu	aDyayana-mAtravataH iti-atra-upanizad-aMSa-mAtreH-aTa-jQAna-anapekzA boDyate, na-tu
   arthāvabodha iti spaṣṭameva tasminneva sūtre	arTa-avaboDaH iti spazwam-eva tasmin=-eva sUtre
   bhāṣyabhāmatyādiṣvarthajñānārthatvapakṣa eva samyagupapādita	BAzya-BAmati-Adizu-arTa-jQAna-arTa-tva-pakzaH eva samyak-upapAdita
   ityahosvāsinaiva svāṅgulicchedaḥ /	iti-ahosvAsinA-eva sva-aFguli=-CedaH /
   evañcārthajñānārthatvapakṣa eva sakalaprāmāṇikamīmāṃsakasaṃmato	evaQca-arTa-jQAna-arTa-tva-pakzaH eva sakala-prAmANika-mImAMsaka-saMmataH-
   nākṣaragrahaṇārthatvapakṣaḥ /	na-akzara-grahaNa-arTa-tva-pakzaH /
   anyathār'thajñānānantaraṃ snāne 'dhītya snādyāditi kramavirodhāpatteḥ /	anyaTAr-aTa-jQAna-anantaram snAne aDItya snAdyAt-iti krama-viroDa-ApatteH /
   nahyanyathār'thavādānāṃ prāśastyalakṣakatvamupapadyate /	na-hi-anyaTAr-aTavAdAnAm prASastyalakzaka-tvam-upapadyate /
   raktapaṭanyāyastu bhāṣye nirarthavādasthala iva vidhereva	rakta-pawa-nyAyaH-tu BAzye nirarTavAt-asTalaH iva viDeH-eva
   prāśastyalakṣakatvaśaṅkānirāsārtha ityādi vārtikādau spaṣṭamiti	prASasti-alakzaka-tva-SaFkA-nirAsa-arTaH ityAdi vArtika-AdO spazwam-iti
   arthajñānārthatvamevādhyayanasya svādhyāyavidhinā bodhyate iti	arTa-jQAna-arTa-tvam-eva-aDyayanasya svADyAya-viDinA boDyate iti
   nyāyasudhābhāṭṭadīpikādikṛtāṃ hṛdayam -- iti //	nyAya-suDA-BAwwa-dIpikA-Adi-kRtAm hRdayam - iti //
   etena---.	etena---.
   adhyayanavidherakṣaragarhaṇaparyantatvamevetiseśvaramīmāṃsādisiddhānto 'pi	aDyayana-viDeH-akzara-garhaNa-paryanta-tvam-eva-iti-sA-ISvara-mImAMsa-Adi-sidDAntaH api
   -- parāhataḥ; vārtikādivirodhāt /	- parAhataH; vArtika-Adi-viroDAt /
   vicārānityatvādyāpatteśceti mantavyam. <B1> svādhyāya1sya	vicAra-anitya-tva-Adi-ApatteH-ca-iti mantavyam. <B1> svADyAya1sya
   karmatvābhidhānāt /	karma-tva-aBiDAnAt /
   ataśca jijñānādhigaraṇīnāntarīkārye svādhyāyārthasya	atas-ca jijQAna-aDigaraNIna-antarIkArye svADyAya-arTasya
   prayojanavattvasiddhau tātparyagrā2 hakavaśena lakṣaṇā arthavādeṣu	prayojanavat-tva-sidDO tAtpari-agrA2 haka-vaSena lakzaNAH arTa-vAdezu
   lakṣaṇīyaścārthaḥ sannihitavidhiniṣedhāpekṣitatvāt stutinindārūpaḥ /	lakzaNIyaH-ca-arTaH sannihita-viDi-nizeDa-apekzita-tvAt stuti-nindA-rUpaH /
   tathāhi -- liṅādyartho loke puruṣāśayaḥ /	taTA-hi - liFA-Adi-arTaH loke puruza-ASayaH /
   vede tadabhāvālliṅādiśabdaniṣṭha eva kaściddharmaḥ /	vede tad-aBAvAlliFA-Adi-Sabda-nizWaH eva kaScid-DarmaH /
   vācyatāvacchedakaṃ <B2> (adhyayanasya svavidhiprayuktatvopasaṃhāraḥ)	vAcya-tAvacCedakam <B2> (aDyayanasya sva-viDi-prayukta-tva-upasaMhAraH)
   adhyāpanasyeva vidhyabhāve tatprayojakasvādhyāyādhyayanāsaṃbhavāt	aDyApanasya-iva viDi-aBAve tad-prayojaka-svADyAya-aDyayana-asaMBavAt
   upanītasya prayojanavadarthajñānārthaṃ svādhyāyādhyayanavidhinā adhyayanaṃ	upanItasya prayojana-vat-arTa-jQAna-arTam svADyAya-aDyayana-viDinA aDyayanam
   prayujyata iti siddhe arthavādeṣu śakyārthamādāya tadasaṃbhave	prayujyate iti sidDe arTa-vAdezu Sakya-arTam-AdAya tad-asaMBave
   yāvatsaṃbhavaṃ prayojanavattvalābhārthaṃ lakṣaṇādhyāhārādi kṛtvā	yAvat-saMBavam prayojanavat-tva-lABa-arTam lakzaNa-aDyAhAra-Adi kRtvA
   dharmādharmaprayojakatvaṃ nirvāhyam iti //	Darma-aDarma-prayojaka-tvam nirvAhyam iti //
   (ekavākyatvānupapatterlakṣaṇābījatvanirāsaḥ) tātparyagrāhakavaśeneti /	(eka-vAkya-tva-anupapatteH-lakzaNA-bIja-tva-nirAsaH) tAtparya-grAhaka-vaSena-iti /
   etena -śakyārthānvayena vidhyekavākyatvāsaṃbhave tadanurodhena	etena -Sakya-arTa-anvayena viDi-eka-vAkya-tva-asaMBave tad-anuroDena
   prāśastyādilakṣaṇā, tayā ekavākyatvamityanyonyāśrayāpattiḥ - parihṛtā ;	prASasti-Adi-lakzaNA, tayA eka-vAkya-tvam-iti-anyonya-ASraya-ApattiH  parihRtAH ;
   tātparyagrāhakavaśena tadaṅgīkāre ekavākyatvānupapatteratra	tAtparya-grAhaka-vaSena tad-aFgIkAre eka-vAkya-tva-anupapatteH-atra
   bījatvābhāvādityarthaḥ //	bIja-tva-aBAvAt-iti-arTaH //
   (liṅarthabhāvanāyā loke puruṣāśayatvasamarthanam)	(liFarTa-BAvanAyAH loke puruza-ASaya-tva-samarTanam)
   sannihitāvidhiniṣedhāpekṣitaṃ arthaṃ lakṣayituṃ	sannihitA-viDi-nizeDa-apekzitam arTam lakzayitum
   vidhiniṣedhārthakathanavyājena lakṣaṇīyārthāpekṣāṃ darśayati -	viDi-nizeDa-arTa-kaTana-vyAjena lakzaNIya-arTa-apekzAm darSayati -
   tathāhītyādinā /	taTA-ahi-ityAdinA /
   liṅloṭtavyāstāvadajñātabhāvanājñāpakāḥ tadanuṣṭhāpakāśrca /	liFlowtavyAH-tAvat-ajQAta-BAvanA-jQApakAH tad-anuzWApakASrca /
   bhāvanā ca bhāvyate 'nayeti vyutpattyā anyabhavānukūlo dhātvarthātirikto	BAvanA ca BAvyate anayA-iti vyutpattyA anya-Bava-anukUlaH DAtu-arTa-atiriktaH-
   vyāpāraḥ ; yajetetyādiśravaṇottaraṃ yāgānukūlaṃ vyāpāraṃ	vyApAraH ; yajeta-ityAdi-SravaNa-uttaram yAga-anukUlam vyApAram
   kuryādityādirūpeṇa bhāvanāviṣayajñātajñāpanasya	kuryAt-ityAdi-rUpeNa BAvanA-viza-ya-jQAta-jQApanasya
   pravartanāparaparyāyānuṣṭhānsaya ca pratīteḥ /	pravartana-apara-paryAya-anuzWAn-saya ca pratIteH /
   ataeva bhāvanāvidhāyakatvena mukhyaṃ vidhitvaṃ liṅādīnāṃ, tadyutānāṃ	ataeva BAvanA-viDAyaka-tvena muKyam viDi-tvam liFA-AdInAn, tad-yutAnAm
   svargakāmo yajetetyādivākyānāṃ	svarga-kAmaH yajeta-ityAdi-vAkyAnAm
   ajñātabhāvanāṃśatrayajñāpakatvādviśiṣṭabhāvanānuṣṭhāpa-	ajQAta-BAvanA-aMSa-traya-jQApaka-tvAt-viSizwa-BAvanA-anuzWApa-
   katvādvidhitvavyavahāraḥ, tatrāvāpodvāpābhyāṃ ācāryaprerito 'haṃ	katvAt-viDi-tva-vyavahAraH, tatra-AvApa-udvApAByAm AcArya-preritaH aham
   gāmānayāmi matpravṛttyanukūlavyāpāravānayaṃ ityādivyavahārāt	gAm-AnayAmi mad-pravRtti-anukUla-vyApAravAn-ayam ityAdi-vyavahArAt-
   pravṛttyakūlavyāpāre śaktirliṅādīnām /	pravRtti-a-kUla-vyApAre SaktiH-liFA-AdInAm /
   saca vyāpāro gurvicchayāhaṃ pravṛtto na tu svecchayeti vyavahāralloke	saca vyApAraH guru-icCayA-aham pravRttaH na tu sva-icCayA-iti vyavahArat-loke
   icchaivetayabhiprāyeṇāha - lāke puruṣāśaya iti //	icCA-evetayaBiprAyeNa-Aha  lAke puruza-ASayaH iti //
   (lokavedasādhāraṇyeneṣṭasādhanatvamabhidhā vā bhāvaneti	(loka-veda-sADAraNyena-izwa-sADana-tvam-aBiDA vA BAvanA-iti
   maṇḍanapārthasārathimatanirūpaṇam) apauruṣeye vede 'pi	maNxana-pArTa-sAraTi-mata-nirUpaNam) apOruzeye vede api
   matpravṛttyanukūlavyāpāravānayaṃ vidhiriti vyavahārāt teṣāṃ ca vidhyādīnāṃ	mad-pravRtti-anukUla-vyApAravAn-ayam viDiH-iti vyavahArAt tezAm ca viDi-AdInAm
   acetanatvena tādṛśecchāyā asaṃbhavāt yāgādigateṣṭasādhanatvasya	acetana-tvena tAdRSa-icCAyA asaMBavAt yAga-Adi-gata-izwa-sADana-tvasya
   pravṛttyanukūlatvena jñātatvāttasyaiva pravartanātvena rūpeṇa bodha iti	pravRtti-anukUla-tvena jQAta-tvAt-tasya-eva pravartanAtvena rUpeNa boDaH iti
   maṇḍanamiśrāḥ /	maNxana-miSrAH /
   pārthasārathistu ṣaṣṭhādyadhikaraṇe vede śabdakartṛkasya	pArTa-sAraTiH-tu zazWa-Adi-aDikaraNe vede Sabda-kartRkasya
   arthapratipādanarūpasya vyāpārasya pravartanatvamityāha //	arTa-pratipAdana-rUpasya vyApArasya pravartana-tvam-iti-Aha //
   (vidhijñānameva bhāvaneti keṣāñcinmatam) asmin mate ko 'sau vyāpāraḥ /	(viDi-jQAnam-eva BAvanA-iti kezAQcit-matam) asmin mate kaH asO vyApAraH /
   ityapekṣāyāṃ kecidāhuḥ - pravartanādiḥ pravṛttiheturvyāpāraḥ vidhiśabdasya	iti-apekzAyAm kecid-AhuH  pravartana-AdiH pravRtti-hetuH-vyApAraH viDi-Sabdasya
   cākhyātatvena daśalakārasādhāraṇenopādhinā puruṣapravṛttirūpārthabhāvanāṃ	ca-AKyAta-tvena daSalakAra-sADAraNena-upADinA puruza-pravRtti-rUpa-arTa-BAvanAm
   prati vācakatvam /	prati vAcaka-tvam /
   tajjñānahetutvamiti yāvat /	tat-jQAna-hetu-tvam-iti yAvat /
   sā ca jñātaivānuṣṭhānaśakyeti taddhīhetorapi śabdasya taddhetutvaṃ	sA ca jQAtA-eva-anuzWAna-SakyA-iti tat-hI-hetoH-api Sabdasya tad-hetu-tvam
   paramparayā bhavatyeva /	paramparayA Bavati-eva /
   tatra ca vidhiśabdasya puruṣapravṛttirūpabhāvanājñānaheturvyāpāraḥ	tatra ca viDi-Sabdasya puruza-pravRtti-rUpa-BAvanA-jQAna-hetuH-vyApAraH
   tadvācakaśaktimattayā vidhiśabdajñānaṃ sa eva ca tasya	tad-vAcaka-Saktimat-tayA viDi-Sabda-jQAnam saH eva ca tasya
   pravṛttiheturvyāpāra iti pravartanābhidhānīyakaṃ labhate /	pravRtti-hetuH-vyApAraH iti pravartana-aBiDAnIyakam laBate /
   jñānadvāreṇaiva śabdasya pravṛttijanakatvāt	jQAna-dvAreNa-eva Sabdasya pravRtti-janaka-tvAt-
   jñānajanakavyāpārātiriktavyāpārakalpane mānābhāvāt /	jQAna-jana-ka-vyApAra-atirikta-vyApAra-kalpane mAna-aBAvAt /
   jñānajanakaśrca vyāpāraḥ tasya svajñānaṃ śaktijñānaṃ	jQAna-janakaSrca vyApAraH tasya sva-jQAnam Sakti-jQAnam
   śaktiviśiṣṭasvajñajñanaṃ ca /	Sakti-viSizwa-svajQa-jQanam ca /
   tatrādyayoranyatarasya śabdabhāvanātvaṃ, tṛtīyasya tu tatra karaṇatvamiti	tatra-AdyayoH-anyatarasya Sabda-BAvanA-tvan, tRtIyasya tu tatra karaNa-tvam-iti
   vivekaḥ /	vivekaH /
   evaṃ sthite niyamena vidhinā svajñānaṃ janyate pravartanātvena abhidhīyate	evam sTite niyamena viDinA sva-jQAnam janyate pravartanAtvena aBiDIyate
   'pīti vidhijñānameva śābdabhāvanā - iti //	api-iti viDi-jQAnam-eva SAbda-BAvanA  iti //
   (bhāvanāyā iṣṭaphalatavābhidhānam arthabhāvanābhidhānānukūlāśaktiḥ,	(BAvanAyAH izwa-Palatava-aBiDAnam arTa-BAvanA-aBiDAna-anukUlA-SaktiH,
   alaukikadhamraeva ca śābdabhāvaneti bhāṭṭabhāskarādimatanirūpaṇam)	alOkika-DamraA-iva ca SAbda-BAvanA-iti BAwwa-BAskara-Adi-mata-nirUpaNam)
   bhāṭṭabhāskare tu - 'aṃśatrayaviśiṣṭabhāvanāpratipādanaṃ cāsya vyāpāraḥ /	BAwwa-BAskare tu  aaMSa-traya-viSizwa-BAvanA-pratipAdanam ca-asya vyApAraH /
   tatra yadi bhāvyāṃśe puruṣārtha upanīyate tatastatpratipādanaṃ	tatra yadi BAvya-aMSe puruza-arTaH upanIyate tatas-tad-pratipAdanam
   pravṛttiheturbhavati nānyi.a (?) ; tena	pravRtti-hetuH-Bavati na-anyi.aH (?) ; tena
   śabdakartṛkasyārthapratipādanarūpasya vyāpārasya pravartanārūpatavaṃ	Sabda-kartRkasya-arTa-pratipAdana-rUpasya vyApArasya pravartana-arUpatavam
   saṃpādayituṃ tadviṣayībhūtayāyā bhāvanāyāḥ puruṣārthabhāvyatavaṃ	saMpAdayitum tad-vizayIBUtayAyAH BAvanAyAH puruza-arTa-BAvyatavam
   niśrcīyate' iti tatratyaśāstrīdīpikāgranthāt iṣṭaphalakatvābhidhānaṃ yat	niSrcIyate-a iti tatratyaSA-strI-dIpikA-granTAt izwa-Palaka-tva-aBiDAnam yat-
   bhāvanāyāḥ sarvatra vede śabdabhāvanā lokeca yā pratīyata	BAvanAyAH sarvatra vede Sabda-BAvanA lokeca yA pratIyata
   itipravṛttirūpārthabhāvanāyā iṣṭaphalatvābhidhānaṃ vidhiśabdagataṃ saiva	iti-pravRtti-rUpa-arTa-BAvanAyAH izwa-Palatva-aBiDAnam viDi-Sabda-gatam sA-eva
   śabdabhāvanā pravartanātvena vede liṅādyartha ityuktam //	Sabda-BAvanA pravartanAtvena vede liFA-Adi-arTaH iti-uktam //
   aṃśatrayaviśiṣṭabhāvanāpratipādanaṃ cāsya vyāpāra	aMSa-traya-viSizwa-BAvanA-pratipAdanam ca-asya vyApAra
   ityukterarthabhāvanābhidhānānukūlā śaktireva pravartanātvena vede tadartha	iti-ukteH-arTa-BAvanA-aBiDAna-anukUlA SaktiH-eva pravartanAtvena vede tad-arTa
   iti tu pūjyapādāḥ prakāśakārāśrca /	iti tu pUjya-pAdAH prakASa-kAra-aSrca /
   taduktamācāryaiḥ 'abhidhābhāvanāmāhuranyāmeva liṅādayaḥ /	tad-uktam-AcAryEH aaBiDA-BAvanAm-AhuH-anyAm-eva liFa-AdayaH /
   arthātsā bhāvanātvanyā sarvārthā teṣu gamyate' iti //	arTAt-sA BAvanA-tu-anyA sarva-arTA tezu gamyate-a iti //
   sarvamate 'ti parasparaṃ vinigamanāvirahasya sphuṭatvālloke 'pi	sarva-mate ati parasparam vinigamanA-virahasya sPuwa-tvAt-loke api
   tathātvāpatteḥ kḷṣteṣu vinigamanāviraheṇa kalpyamanyat sidhyatīti nyāyena	taTA-tva-ApatteH k?ztezu vinigamanA-viraheNa kalpyam-anyat siDyati-iti nyAyena
   atirikto vidhiśabdaniṣṭho 'laukiko dharma eva pravartanātvena vede	atiriktaH viDi-Sabda-nizWaH alOkikaH DarmaH eva pravartanAtvena vede
   tadartha iti nyāyasudhākṛnmatameva yuktamityabhipretyāha - kaśrciditi /	tad-arTaH iti nyAya-suDA-kRt-matam-eva yuktam-iti-aBipretya-Aha  kaSrcit-iti /
   anena alaukikatvamuktam /	anena alOkika-tvam-uktam /
   evakāreṇa ca matāntaranirāsaḥ //	eva-kAreNa ca mata-antara-nirAsaH //
   <B3> (1) F.N. karmatvenaca svādhyāyasya saṃskāryatvāvagamāt saṃskṛtasyaca	<B3> (1) F.N. karma-tvena-ca svADyAyasya saMskAryatva-avagamAt saMskRtasya-ca
   tasyārthajñānaviniyogasyārthasiddhatvādyuktaṃ	tasya-arTa-jQAna-viniyogasya-arTa-sidDa-tva-Adi-uktam
   svādhyāyapadenārthajñānasādhanasvādhyāyalakṣaṇam /	svADyAya-padena-arTa-jQAna-sADana-svADyAya-lakzaNam /
   pūrvasmiṃśca pakṣe saktuvadvipariṇāmena matvarthalakṣaṇayāca	pUrvasmin=-ca pakze saktu-vat-vipariNAmena matu-arTa-lakzaNayAca
   svādhyāyaviśiṣṭādhyayanenārthajñānaṃ bhāvayediti vākyārtho 'vagantavyaḥ /	svADyAya-viSizwa-aDyayanena-arTa-jQAnam BAvayet-iti vAkya-arTaH avagantavyaH /
   tavyapratyayastvaupacārikaṃ karmatvamavagamayati /	tavya-pratyayaH-tu-OpacArikam karma-tvam-avagamayati /
   adhītena svādhyāyenārthajñānaṃ bhāvayediti tu paryavasitārthaḥ /	aDItena svADyAyena-arTa-jQAnam BAvayet-iti tu paryavasita-arTaH /
   sāmnāstuvītetyatra ṛksaṃskārakatayā vacanāntareṇāviniyoge 'pi yathā	sAmnA-astuvIta-iti-atra Rc-saMskAraka-tayA vacana-antareNa-aviniyoge api yaTA
   tatsaṃskāratā svābhāvikī na hīyate, tathātrāpītyādinyāyaratnamālāyāṃ	tad-saMskAra-tA svABAvikI na hIyate, taTA-atra-api-ityAdi-nyAya-ratna-mAlAyAm
   spaṣṭaṃ. (2) śābdabodhatvāvacchinnaṃ prati tātparyajñānasya kāraṇatvāt	spazwan. (2) SAbda-boDa-tva-avacCinnam prati tAtparyajQAnasya kAraNa-tvAt-
   svādhyāyavidhireva sakalasya vedasya prayojanavadarthatātparyagrāhaka iti	svADyAya-viDiH-eva sakalasya vedasya prayojana-vat-arTa-tAtparya-grAhakaH iti
   bhavadevaḥ /	Bava-devaH /
   tātparyajñānasya śukādivākye vyabhicārācchābdabodhatvāvacchinnaṃ	tAtparyajQAnasya Suka-Adi-vAkye vyaBicAra-acSAbda-boDa-tva-avacCinnam
   pratyakāraṇatvena lokataḥ pūrvaṃ śāstrapravṛttyā prayojanavadarthāvagama	pratyakAraNa-tvena lokataH pUrvam SAstra-pravRttyA prayojana-vat-arTa-avagama
   iti kaustubhakārāḥ. <B1> cobhayasādhāraṇaṃ vyāpāratvaṃ, natu	iti kOstuBakArAH. <B1> ca-uBaya-sADAraNam vyApAra-tvan, na-tu
   pravṛttinivṛttiprayojakatvamapi; tasyānyalabhyatvāt /	pravRtti-nivRtti-prayojaka-tvam-api; tasyAni-alaBya-tvAt /
   tatra naño 'bhāve ākhyātārthapravṛttiprayojakatvaṃ, <B2> (alaukike	tatra naQaH aBAve AKyAta-arTa-pravRtti-prayojaka-tvan, <B2> (alOkike
   śabdadharme śaktigrahopapādanagranthaḥ) nanu ya eva laukikaśśabdāsta eva	Sabda-Darme Sakti-graha-upapAdana-granTaH) nanu yaH eva lOkikaH-SabdAH-te eva
   vaidikāḥ ya eva teṣāmarthassa evāmīṣāmartha iti nyāyāt loke vidhiśabdasya	vEdikAH yaH eva tezAm-arTassaH eva-amIzAm-arTaH iti nyAyAt loke viDi-Sabdasya
   yatra śaktirgṛhītā, vede 'pi tadarthakenaiva bhavitavyam /	yatra SaktiH-gRhItA, vede api tad-arTakena-eva Bavitavyam /
   loke ca preṣaṇādipuruṣadharmavācitvaṃ kḷptamiti vede tadabhāvena	loke ca prezaNa-Adi-puruza-Darma-vAci-tvam k?ptam-iti vede tad-aBAvena
   śaktigrahābhāve kathamalaukikadharmopasthitirityāśaṅkānirākaraṇāyāha -	Sakti-graha-aBAve kaTam-alOkika-Darma-upasTitiH-iti-ASaFkA-nirAkaraNAya-Aha -
   ubhayasādhāraṇamiti /	uBaya-sADAraNam-iti /
   pravartanā hi pravṛttyanukūlo vyāpāraḥ /	pravartanA hi pravRtti-anukUlaH vyApAraH /
   tatra loke āvāpādedvāpābhyāṃ vyāpāratvenaiva sakhaṇḍenākhaṇḍena vā	tatra loke AvApa-AdedvApAByAm vyApAra-tvena-eva sa-KaNxena-aKaNxena vA
   śaktigrahāt yaddharmāvacchinne yasya śabdasya śaktigraho jātaḥ,	Sakti-grahAt yat-Darma-avacCinne yasya Sabdasya Sakti-grahaH jAtaH,
   taddharmaprakārake bodhe tena śabdena janite sati taddharmāśrayavyaktīnāṃ	tad-Darma-prakArake boDe tena Sabdena janite sati tad-Darma-ASraya-vyaktInAm
   viśeṣyatvānupapattau aprasiddhavyaktimākṣipyaiva bodhaḥ paryavasyatīti /	viSezya-tva-anupapattO aprasidDa-vyaktim-Akzipya-eva boDaH paryavasyati-iti /
   apūrvātmakakāryavidhyarthavādimate loke prasiddhasya nyārūsya	apUrva-Atmaka-kArya-viDi-arTa-vAdi-mate loke prasidDasya nyArUsya
   pārthasārathimatecoktaśabdabhāvanāyāmapyavaśyasaṃcāraṇīyasya	pArTa-sAraTimateca-ukta-Sabda-BAvanAyAm-api-avaSya-saMcAraNIyasya
   alaukikapreraṇāvādimate yojanena tadupapatterityarthaḥ //	alOkika-preraNO=-Adi-mate yojanena tat-upapatteH-iti-arTaH //
   ākhyātārthapravṛttīti. /	AKyAta-arTa-pravRtti-iti. /
   etañca daśalakāravṛttyākhyātatvarūpaṃ latvaṃ śaktatāvacchekīkṛtya	etaQca daSalakAra-vRtti-AKyAta-tva-rUpam latvam Sakta-tAvat-SekIkRtya
   pravṛtteranyalabhyatvopapādanaṃ paramatābhiprāyeṇeti ākhyātārthetyanena	pravRtteH-anyalaBya-tva-upapAdanam para-matA-aBiprAyeNa-iti AKyAta-arTa-iti-anena
   sūcitam //	sUcitam //
   (ākhyātatvaśaktatāvacchedakatvakhaṇḍanena tibāditatvavyavasthāpanam)	(a-AKyAta-tva-Sakta-tAvacCedaka-tva-KaNxanena tibAdita-tva-vyavasTApanam)
   samutetu tadaṃśe śaktatāvacchedakabhedena nānyalabhyatvaṃ pratipādyate,	samutetu tad-aMSe Sakta-tAvat-Cedaka-Bedena na-anya-laBya-tvam pratipAdyate,
   kintu daśalakārasādhāraṇākhyātasāmānyārthakatibādipṛthak śaktimātreṇa /	kintu daSalakAra-sADAraNa-AKyAta-sAmAnya-arTa-katibAdi-pRTak Sakti-mAtreNa /
   ataeva ākhyātatvaṃ tibādyādeśeṣveva vartate ; tacchravaṇa evākhyātamiti	ataeva AKyAta-tvam tibAdya-AdeSezu-eva vartate ; tad-SravaNaH eva-AKyAtam-iti
   pratīteḥ /	pratIteH /
   bhāvanāpravartanādīnāṃ tattadādeśebhya eva tibādibhya	BAvanA-pravartana-AdInAm tad-tad-AdeSeByaH eva tibAdiBya
   upasthitestattadādeśatvameva śaktatāvacchedakam, natu	upasTiteH-tat-tad-AdeSa-tvam-eva Sakta-tAvacCedakam, na-tu
   daśalakāravṛttilatvarūpamākhyātatvam ; ādeśaiḥ lakāropasthitimantarāpi	daSalakAra-vRtti-latva-rUpam-AKyAta-tvam ; AdeSEH lakAra-upasTitim-antarA-api
   tattadarthopasthiteranubhavasiddhatvāt,	tad-tad-arTa-upasTiteH-anuBava-sidDa-tvAt,
   yathākathañcidupasthāpitalakārādapi tadvodhāpatteśrca /	yaTA-kaTaQcit-upasTApita-lakArAt-api tad-voDa-ApatteSrca /
   nāpyādeśopasthāpitaṃ tat ; śatṛśānajādeśopasthitādapi tasmāttadbodhāpatteḥ	na-api-AdeSa-upasTApitam tat ; SatR-SAna-jA-deSa-upasTitAt-api tasmAt-tat-boDa-ApatteH
   naca anekaśaktatāvacchedakasvīkāre gauravam ; pratīyamānārthānurodhena	na-ca aneka-Sakta-tAvat-Cedaka-svIkAre gOravam ; pratIyamAna-arTa-anuroDena
   gauravasyāpi prāmāṇikatvāt, anyathā ghaṭapaṭādigatadravyatvasyaiva	gOravasya-api prAmANika-tva-at, anyaTA Gawa-pawa-Adi-gata-dravya-tvasya-eva
   laghubhūtasya ghaṭapaṭarūpārthaśaktatāvacchedakatvāpatteḥ,	laGu-BUtasya Gawa-pawa-rUpa-arTa-Sakta-tAvacCedaka-tva-ApatteH,
   vāriṇītīkārādeśasya rāmāvityādau svātantreṇārthabodhakatayā	vAriNItIkAra-AdeSasya rAmO=-iti-AdO svAtantreNa-arTa-boDaka-tayA
   kḷptaukārasmārakatayā bodhakatavavadiha lakārasya	k?ptOkAra-smAraka-tayA boDaka-tava-vat-iha lakArasya
   svātantreṇārthabodhakatvasyākḷpteśrca /	svAtantreNa-arTa-boDaka-tvasya-ak?pteSrca /
   ataḥ śrūyamāṇatadādeśatvameva śaktatāvacchedakam /	atas SrUyamANa-tad-AdeSa-tvam-eva Sakta-tAvacCedakam /
   ataeva pacatīti samabhivyāhāre ti ityetanmātrasyaiva	ataeva pacati-iti samaBivyAhAre ti iti-etat-mAtrasya-eva
   bhāvanāvartamānakālaikatvādirūpanānārthakatvam, pacediti samabhivyāharo t	BAvanA-AvartamAna-kAla-eka-tva-Adi-rUpa-nAnA-arTaka-tvam, pacet-iti samaBivyAharaH t
   ityetanmātrasyaiva pravartanābhāvanaikatvādirūpanānārthakatvam,	iti-etat-mAtrasya-eva pravartana-aBAvanA-eka-tva-Adi-rUpa-nAnA-arTaka-tvam,
   evamanyatrāpi /	evam-anyatra-api /
   iṣṭasādhanatvakṛtisādhyatvabalavadaniṣṭānanubandhitvarūpavidhyarthatriyavādimate	izwa-sADana-tva-kRti-sADya-tva-balavat-anizwa-an-anubanDi-tva-rUpa-viDi-arTa-triya-vAdimate
   padārthatrayabodhavat puṣpavantapade pṛthakśaktikalpanena	padArTa-traya-boDa-vat puzpavanta-pade pRTak-Sakti-kalpanena
   padārthadvayabodhavadihāpyanekārthasya bodhaḥ, natvetāvatā	padArTa-dvaya-boDa-vat-iha-api-aneka-arTasya boDaH, na-tu-etAvatA
   pravartanāśaktatāvacchedakaṃ liṅtvādikam ; pūrvanyāyena tadupasthitiṃ	pravartana-aSakta-tAvacCedakam liFtvA-Adikam ; pUrva-nyAyena tad-upasTitim
   vināpi bodhasyānubhavasiddhatvāt //	vinA-api boDasya-anuBava-sidDa-tvAt //
