   Mṛgendratantra, Vidyāpāda, 1	MRgendra-tantra, VidyA-pAda, 1
   arthaḥ pratisargakālaṃ vā tathā karotīti vartamānataiva // MrgTV_1,1.24:2	arTaH pratisarga-kAlam vA taTA karoti-iti vartamAna-tA-eva // MrgTV_1,1.24:2
   * tatra vidyeśvarāṇāṃ vāmādiśaktiyogitvena svasamaprabhāvāvirbhāvanaṃ nāma	* tatra vidyeSvarANAm vAma-Adi-Sakti-yogi-tvena sva-sama-praBAva-AvirBAvanam nAma
   karaṇaṃ mantrāṇāṃ tv āgamāpagamāt prakaṭīkṛtadṛkkriyatvam //	karaNam mantrANAm tu Agama-apagamAt prakawIkRta-dRkkriya-tvam //
   MrgTV_1,1.24:3	MrgTV_1,1.24:3
   * ubhayeṣām apy eṣāṃ parameśvarāj jñānakriyāśaktyor uddīpanaṃ jñeyam na	* uBayezAm api ezAm parameSvarAt jQAna-kriyA-SaktyoH uddIpanam jQeyam na
   punar muktāṇuvan nirmalīkaraṇam adhikāramalenāparatvān mukter asyā iti	punar muktA-aNu-vat nirmalIkaraNam aDikAra-malena-aparatvAt mukteH asyAH iti
   vakṣyāmaḥ // MrgTV_1,1.24:4	vakzyAmaH // MrgTV_1,1.24:4
   * tad evaṃ mantramaheśvarān mantrāṃś coktvā mantreśvarān vaktum āha //	* tat evam mantra-maheSvarAn mantrAn ca-uktvA mantreSvarAn vaktum Aha //
   MrgTV_1,1.24:5	MrgTV_1,1.24:5
   aṣṭādaśādhikaṃ cānyac chrutaṃ māyādhikāriṇām /	azwAdaSa-aDikam ca-anyat Srutam mAyA-aDikAriNAm /
   mantreśvarāṇām ūrdhvādhvasthiteśopamatejasām || MrgT_1,1.25 ||	mantreSvarANAm UrDva-aDva-sTita-ISa-upama-tejasAm || MrgT_1,1.25 ||
   * māyāyām adhikāriṇo māyādhikāriṇas teṣām	* mAyAyAm aDikAriNaH mAyA-aDikAriNaH tezAm
   uparitanaśuddhādhvavartividyeśvarasamānadhāmnām aṣṭādaśādhikaṃ śataṃ	uparitana-SudDa-aDva-varti-vidyA-ISvara-samAna-DAmnAm azwAdaSa-aDikam Satam
   vidhatta iti pūrveṇaiva sambandhaḥ // MrgTV_1,1.25:1	viDattaH iti pUrveNa-eva sambanDaH // MrgTV_1,1.25:1
   * tatra maṇḍalino 'ṣṭau vakṣyamāṇāḥ krodhādyāś cāṣṭāv eva rudrāṇāṃ ca	* tatra maNxalinaH azwO vakzyamANAH kroDa-AdyAH ca-azwO eva rudrANAm ca
   brahmāṇḍadhārakāṇāṃ śataṃ śrīkaṇṭhavīrabhadrau cety evam aṣṭādaśottaraṃ	brahmANxa-DArakANAm Satam SrIkaNWa-vIraBadrO ca-iti evam azwAdaSa-uttaram
   śataṃ prāgvan mantreśvaratve śivena niyuktam ity arthaḥ // MrgTV_1,1.25:2	Satam prAgvat mantreSvara-tve Sivena niyuktam iti arTaH // MrgTV_1,1.25:2
   teṣu vyaktaḥ sa bhagavān idaṃ yogyeṣu siddhaye /	tezu vyaktaH sa BagavAn idam yogyezu sidDaye /
   prakāśayaty ato 'nyeṣu yo 'rthaḥ samupapadyate || MrgT_1,1.26 ||	prakASayati atas anyezu yaH arTaH samupapadyate || MrgT_1,1.26 ||
   * teṣv anantādiṣu mantramaheśvareṣu maṇḍalyādiṣu ca mantreśvareṣv	* tezu ananta-Adizu mantra-maheSvarezu maNxalI-Adizu ca mantreSvarezu-
   abhivyakto deva idam ity anantaropakrāntaṃ jñānaṃ prakāśayati /	aBivyaktaH devaH idam iti anantara-upakrAntam jQAnam prakASayati /
   * kasmin viṣaye kim arthaṃ prakāśayatīty āha yogyeṣu siddhaye	* kasmin vizaye kim arTam prakASayati-iti Aha yogyezu sidDaye
   paripakvāñjanatvān niratiśayaśreyaḥprepsuṣu bhuktyarthaṃ muktyarthaṃ ca	paripakva-aQjana-tvAt niratiSaya-SreyaH-prepsuzu Bukti-arTam mukti-arTam ca
   vaktīty arthaḥ /	vakti-iti arTaH /
   * ato 'nyeṣv iti etacchāstrārhebhyo ye 'nye aparipakvāñjanatayā	* atas anyezu iti etat-SAstra-arheByaH ye anye aparipakva-aQjana-tayA
   paśuśāstrānuvartinas teṣu viṣayeṣu yaḥ kāpilapāñcarātrādi prāpyo 'rthaḥ	paSu-SAstra-anuvartinaH tezu vizayezu yaH kApila-pAQcarAtra-Adi prApyaH arTaH
   samyag iti taduktayogyatānusāreṇopapadyate anuguṇo bhavati taṃ prakāśayati	samyak iti tad-ukta-yogya-ta-anusAreNa-upapadyate anuguNaH Bavati tam prakASayati
   * paśuśāstrapraṇetḥn adhiṣṭhāya tattacchāstraprakāśanam api pāramparyeṇa	* paSu-SAstra-praNetHn aDizWAya tad-tad-SAstra-prakASanam api pAramparyeNa
   kuruta iti yāvat // MrgTV_1,1.26:1	kurute iti yAvat // MrgTV_1,1.26:1
   * athāsya jñānasyāsmabhyam abhidhīyamānasya kim abhidhānam ity āha //	* aTa-asya jQAnasya-asmaByam aBiDIyamAnasya kim aBiDAnam iti Aha //
   MrgTV_1,1.26:2	MrgTV_1,1.26:2
   śivodgīrṇam idaṃ jñānaṃ mantramantreśvareśvaraiḥ /	Siva-udgIrNam idam jQAnam mantra-mantreSvara-ISvarEH /
   kāmadatvāt kāmiketi pragītaṃ bahuvistaram || MrgT_1,1.27 ||	kAma-da-tvAt kAmikA-iti pragItam bahu-vistaram || MrgT_1,1.27 ||
   * parameśvarāt proktena krameṇa prasṛtam etaj jñānaṃ śāstraṃ skandasya	* parameSvarAt proktena krameNa prasRtam etat jQAnam SAstram skandasya
   devyās tad anyeṣāṃ ca pṛthak pṛthak śrotḥṇāṃ bahutvād bahubhedatvena	devyAH tat anyezAm ca pRTak pRTak SrotHNAm bahu-tvAt bahu-Beda-tvena
   vistaram abhimatakāmadatvāt kāmikatvenopadeṣṭṛbhir mantrāṇāṃ	vistaram aBimata-kAma-da-tvAt kAmika-tvena-upadezwRBiH mantrANAm
   mantreśvarāṇāṃ ceśvarair mantramaheśvarair anantādibhir upadiṣṭam //	mantreSvarANAm ca-ISvarEH mantra-maheSvarEH ananta-AdiBiH upadizwam //
   MrgTV_1,1.27:1	MrgTV_1,1.27:1
   * tebhya āgamayya kasmai kiyatā granthena ko dattavān ity āha //	* teByaH Agamayya kasmE kiyatA granTena kaH dattavAn iti Aha //
   MrgTV_1,1.27:2	MrgTV_1,1.27:2
   tebhyo 'vagatya dṛgjyotirjvālālīḍhasmaradrumaḥ /	teByaH avagatya dRS-jyotiH-jvAlA-lIXa-smara-drumaH /
   dadāv umāpatir mahyaṃ sahasrair bhavasaṃmitaiḥ || MrgT_1,1.28 ||	dadO umApatiH mahyam sahasrEH Bava-saMmitEH || MrgT_1,1.28 ||
   * tebhyo 'nanteśādibhyas tṛtīyanetrāgniśikhānirdagdhasmaratarur bhagavān	* teByaH ananta-ISa-AdiByaH tRtIya-netra-agni-SiKA-nirdagDa-smara-taruH BagavAn
   umāpatir adhigamya bhavasaṃkhyair ekādaśabhiḥ sahasraiḥ saṃkṣipya mahyam	umApatiH aDigamya Bava-saMKyEH ekAdaSaBiH sahasrEH saMkzipya mahyam
   adāt // MrgTV_1,1.28:1	adAt // MrgTV_1,1.28:1
   * so 'ham idānīm // MrgTV_1,1.28:2	* saH aham idAnIm // MrgTV_1,1.28:2
   tatrāpi vistaraṃ hitvā sūtraiḥ sārārthavācakaiḥ /	tatra-api vistaram hitvA sUtrEH sAra-arTa-vAcakEH /
   vakṣye nirākulaṃ jñānaṃ taduktair eva bhūyasā || MrgT_1,1.29 ||	vakzye nirAkulam jQAnam tad-uktEH eva BUyasA || MrgT_1,1.29 ||
   * tatrāpi arthavādānuvādarūpaṃ vistaraṃ tyaktvā sārārthābhidhāyibhir	* tatra-api arTa-vAda-anuvAda-rUpam vistaram tyaktvA sAra-arTa-aBiDAyiBiH-
   bāhulyena kvacit taduktaiḥ kvacic cātmīyair nirākulaṃ kramaṃ jñānaṃ	bAhulyena kvacid tad-uktEH kvacid ca-AtmIyEH nirAkulam kramam jQAnam
   śāstram abhidhāsye itīndro munīn āheti hārītaḥ svaśiṣyān brūte //	SAstram aBiDAsye iti-indraH munIn Aha-iti hArItaH sva-SizyAn brUte //
   MrgTV_1,1.29:1	MrgTV_1,1.29:1
   Mṛgendratantra, Vidyāpāda, 2	MRgendra-tantra, VidyA-pAda, 2
   athānādimalāpetaḥ sarvakṛt sarvavicchivaḥ /	aTa-anAdi-mala-apetaH sarva-kRt sarva-vid-SivaH /
   pūrvavyatyāsitasyāṇoḥ pāśajālam apohati || MrgT_1,2.1 ||	pUrva-vyatyAsitasya-aNoH pASa-jAlam apohati || MrgT_1,2.1 ||
   * sambandhābhidheyaprayojanāni prathamam eva vivecitāni // MrgTV_1,2.1:1	* sambanDa-aBiDeya-prayojanAni praTamam eva vivecitAni // MrgTV_1,2.1:1
   * athety ānuṣaṅgikasambandhādikathanād anantaraṃ vidyākhyaḥ pādaḥ	* aTa-iti AnuzaFgika-sambanDa-Adi-kaTanAt anantaram vidyA-AKyaH pAdaH
   prakramyate // MrgTV_1,2.1:2	prakramyate // MrgTV_1,2.1:2
   * atra ca śāstre patipaśupāśākhyās trayaḥ padārthāḥ // MrgTV_1,2.1:3	* atra ca SAstre pati-paSu-pASa-AKyAH trayaH padArTAH // MrgTV_1,2.1:3
   * paśūnām asvātantryāt pāśānām ācaitanyāt tadvilakṣaṇasya patyuḥ	* paSUnAm asvAtantryAt pASAnAm AcEtanyAt tad-vilakzaNasya patyuH
   pañcavidhakṛtyakāritvam tatkārakāṇi svaśaktirūpāṇi māyādīni ca kriyā ca	paQcaviDa-kRtya-kAritvam tad-kArakANi sva-Sakti-rUpANi mAyA-AdIni ca kriyA ca
   dīkṣādyā tatphalaṃ ca paśūnām anugrahākhyena karmaṇā parakaivalyāsādanam	dIkzA-AdyA tad-Palam ca paSUnAm anugraha-AKyena karmaNA para-kEvalya-AsAdanam
   ityādi abhidhāsyamānam // MrgTV_1,2.1:4	ityAdi aBiDAsyamAnam // MrgTV_1,2.1:4
   * tadgarbhīkāreṇedaṃ mūlasūtram // MrgTV_1,2.1:5	* tad-garBIkAreNa-idam mUlasUtram // MrgTV_1,2.1:5
   * anādimalāpeta iti // MrgTV_1,2.1:6	* anAdi-mala-apetaH iti // MrgTV_1,2.1:6
   * anādiśabdaḥ kriyāviśeṣaṇam // MrgTV_1,2.1:7	* anAdi-SabdaH kriyA-viSezaNam // MrgTV_1,2.1:7
   * anādi kṛtvā malāpetaḥ svabhāvanirmalaḥ parameśvaraḥ tathā anādiś cāsau	* anAdi kRtvA mala-apetaH svaBAva-nirmalaH parameSvaraH taTA anAdiH ca-asO
   malāpetaś ca tatprasādāt pradhvastasamastamalo muktāṇuvargaḥ kiṃ ca anāder	mala-apetaH ca tad-prasAdAt praDvasta-samasta-malaH muktA-aNu-vargaH kim ca anAdeH-
   malād apetaḥ svābhāvikamalavidāraṇāt parameśvareṇa prakaṭīkṛtadṛkkriyaḥ	malAt apetaH svABAvi-ka-mala-vidAraNAt parameSvareNa prakawIkRta-dRkkriyaH
   kiṃcid avaśeṣitatvād ādimatā adhikāramalena yukto	kiMcid avaSezita-tvAt AdimatA aDikAra-malena yuktaH-
   mantramantreśvaramantramaheśvaravarga ity evaṃ samāsatrayakaraṇāt	mantra-mantreSvara-mantra-maheSvara-vargaH iti evam samAsa-traya-karaNAt
   muktāṇubhir vidyeśvarādibhiś ca sahitaḥ patipadārthaḥ atra sūcitaḥ //	muktA-aNuBiH vidyeSvara-AdiBiH ca sahitaH pati-padArTaH atra sUcitaH //
   MrgTV_1,2.1:8	MrgTV_1,2.1:8
   * tasya ca trividhasyāpi sarvajñatā sarvakartṛtvaṃ ca vidyate muktātmanāṃ	* tasya ca triviDasya-api sarvajQa-tA sarva-kartR-tvam ca vidyate mukta-AtmanAm
   tu saty api sarvārthadṛkkriyatve pāśajālāpohanasāmarthyam asti na tv	tu sati api sarva-arTa-dRkkriya-tve pASa-jAla-apohana-sAmarTyam asti na tu-
   apohanakartṛtvam // MrgTV_1,2.1:9	apohana-kartR-tvam // MrgTV_1,2.1:9
   * yatas te karaṇīyasyābhāvāt na pravartante ataḥ svātmany eva śreyoyogāc	* yatas te karaNIyasya-aBAvAt na pravartante atas sva-Atmani eva SreyaH-yogAt-
   chivatvam eteṣāṃ vidyeśvarāṇāṃ śivapadaprāptihetutvāt bhagavatas tu	Civa-tvam etezAm vidyeSvarANAm Siva-pada-prApti-hetu-tvAt BagavataH tu
   sarvānugrahapravṛttatvāt // MrgTV_1,2.1:10	sarva-anugraha-pravRtta-tvAt // MrgTV_1,2.1:10
   * tathā ca muktātmanām apravṛttatvāt vidyeśvarāṇāṃ ca	* taTA ca mukta-AtmanAm apravRtta-tvAt vidyeSvarANAm ca
   parameśvarapāratantryāt svatantraḥ sa bhagavān // MrgTV_1,2.1:11	parameSvara-pAratantryAt svatantraH sa BagavAn // MrgTV_1,2.1:11
   * kiṃ karotīty āha pūrvavyatyāsitasyāṇoḥ // MrgTV_1,2.1:12	* kim karoti-iti Aha pUrva-vyatyAsitasya-aNoH // MrgTV_1,2.1:12
   * pāśajālaṃ vyapohatīti aṇor iti vijñānākalapralayākalasakalatvena	* pASa-jAlam vyapohati-iti aNoH iti vijQAnAkala-pralaya-akala-sakala-tvena
   trirūpasya tathā vijñānākalapralayākalātmanor	trirUpasya taTA vijQAnAkala-pralaya-AkalA-AtmanA-Ur
   viparyavasitamaleśvaraśaktyadhikāratadanyathābhāvabhedāt pratyekaṃ	viparyavasita-maleSvara-Sakti-aDikAra-tat-anyaTA-BAva-BedAt pratyekam
   dvividhayoḥ sakalasyāpi tribandhanabaddhasya kutaścid upāyāt	dviviDayoH sakalasya-api tribanDana-badDasya kutaScid upAyAt-
   prakṣīṇakarmatayā kevalakalādiyuktasya ca evaṃ dviprakārasyāsyaiva ca	prakzINa-karma-tayA kevala-kalA-Adi-yuktasya ca evam dvi-prakArasya-asya-eva ca
   pratyekaṃ videhasadehabhedāt pratibhedaṃ ca malādyadhikāravirahiṇas	pratyekam videha-sa-deha-BedAt pratiBedam ca mala-Adi-aDikAra-virahiNa-s
   tadyuktasya cety aṣṭaprakārasya ittham anekabhedabhinnasyātmanaḥ	tad-yuktasya ca-iti azwa-prakArasya itTam aneka-Beda-Binnasya-AtmanaH
   parameśvaraḥ pāśajālaṃ yathāsaṃbhavam apohatīti saṃbandhaḥ //	parameSvaraH pASa-jAlam yaTAsaMBavam apohati-iti saMbanDaH //
   MrgTV_1,2.1:13	MrgTV_1,2.1:13
   * yasya ca yathā cāpohati tat sarvaṃ yathāvasaram agre vakṣyāmaḥ //	* yasya ca yaTA ca-apohati tat sarvam yaTAvasaram agre vakzyAmaH //
   MrgTV_1,2.1:14	MrgTV_1,2.1:14
   * kīdṛśasyāṇor ity āha pūrvavyatyāsitasyeti pūrvair anādikālīnair	* kIdRSasya-aNoH iti Aha pUrva-vyatyAsitasya-iti pUrvEH anAdika-AlInEH-
   malakarmamāyāparameśvaranirodhaśaktyākhyair yathāsaṃbhavaṃ hetutayā	mala-karma-mAyA-parameSvara-niroDa-Sakti-AKyEH yaTAsaMBavam hetu-tayA
   sthitair vyatyāsitasya parameśvarād vaisādṛśyaṃ prāpitasya tatpreryasya	sTitEH vyatyAsitasya parameSvarAt vEsAdRSyam prApitasya tat-preH-yasya
   bandhāntarayoginaś ca // MrgTV_1,2.1:15	banDa-antara-yoginaH ca // MrgTV_1,2.1:15
   * ayam arthaḥ maleneśvaranirodhaśaktyā karmabhiś ca sadbhir aṇor aśivatvaṃ	* ayam arTaH malena-ISvara-niroDa-SaktyA karmaBiH ca sadBiH aNoH aSiva-tvam
   tataś ca bandhāntarayogaḥ tadapohane tu śivatvam // MrgTV_1,2.1:16	tatas ca banDa-antara-yogaH tad-apohane tu Siva-tvam // MrgTV_1,2.1:16
   * evaṃ ca śivavaisādṛśye ta evānādayo hetavaḥ // MrgTV_1,2.1:17	* evam ca Siva-vEsAdRSye te eva-anAdayaH hetavaH // MrgTV_1,2.1:17
   * śivas tv apratibaddhaniratiśayasarvārthadṛkkriyāśaktiḥ teṣāṃ yogyatām	* SivaH tu apratibadDa-niratiSaya-sarva-arTa-dRkkriyA-SaktiH tezAm yogyatAm
   apekṣya anugrahe pravṛttaḥ pāśavrātam apohati nirasyati // MrgTV_1,2.1:18	apekzya anugrahe pravRttaH pASa-vrAtam apohati nirasyati // MrgTV_1,2.1:18
   * upasargād asyatyūhyor vā vacanam ity apohatipadam // MrgTV_1,2.1:19	* upasargAt asyati-UhyoH vA vacanam iti apohati-padam // MrgTV_1,2.1:19
   * tad evam akhilatantrārthasūcanād etan mūlasūtram // MrgTV_1,2.1:20	* tat evam aKila-tantra-arTa-sUcanAt etat mUlasUtram // MrgTV_1,2.1:20
   * tathā cehaiva vyākhyānāvasare vakṣyati yatra bīja ivārūḍho	* taTA ca-iha-eva vyAKyAna-avasare vakzyati yatra bIjaH iva-ArUXaH-
   mahātantrārthapādapaḥ ābhāti mūlasūtraṃ tad athaśabdādyalaṃkṛtam iti //	mahA-tantra-arTa-pAdapaH ABAti mUlasUtram tat aTa-Sabda-Adi-alaMkRtam iti //
   MrgTV_1,2.1:21	MrgTV_1,2.1:21
   tripadārthaṃ catuṣpādaṃ mahātantraṃ jagatpatiḥ /	tri-padArTam catuzpAdam mahAtantram jagatpatiH /
   sūtreṇaikena saṃhṛtya prāha vistaraśaḥ punaḥ || MrgT_1,2.2 ||	sUtreNa-ekena saMhRtya prAha vistaraSaH punar || MrgT_1,2.2 ||
   * pāśasadbhāve hy ātmanāṃ janmasthitidhvaṃsatirobhāvānugrahakṛt bhagavān	* pASa-sadBAve hi AtmanAm janma-sTiti-DvaMsa-tiroBAva-anugraha-kRt BagavAn
   bhavatīti patipaśupāśātmavyatiriktaṃ na kiṃcit padārthāntaraṃ prayojanavad	Bavati-iti pati-paSu-pASa-Atma-vyatiriktam na kiMcid padArTa-antaram prayojana-vat-
   eṣv evānyeṣām antarbhāvād iti tripadārthatvam uktam // MrgTV_1,2.2:1	ezu eva-anyezAm antarBAvAt iti tri-padArTa-tvam uktam // MrgTV_1,2.2:1
   * kiṃ ca pāśajālam apohatīty apohatikriyākṣiptāḥ kriyācaryāyogapādāḥ	* kim ca pASa-jAlam apohati-iti apohati-kriyA-AkziptAH kriyA-caryA-yoga-pAdAH
   patipaśupāśoktyākṣiptaś ca vidyāpāda iti pādacatuṣṭayopakṣepaḥ kṛtaḥ //	pati-paSu-pASa-ukti-AkziptaH ca vidyA-pAdaH iti pAda-catuzwaya-upakzepaH kRtaH //
   MrgTV_1,2.2:2	MrgTV_1,2.2:2
   * mahātantram iti darśanāntarebhyo 'dhikaphalatvāc chivabhedakatvena	* mahAtantram iti darSana-antareByaH aDika-Pala-tvAt Siva-Bedaka-tvena
   paratvād vā mahat tantritatattatprameyatvāc ca tantram // MrgTV_1,2.2:3	paratvAt vA mahat tantrita-tad-tad-prameya-tvAt ca tantram // MrgTV_1,2.2:3
   * ekenaivāmunā sūtreṇa saṃhṛtya saṃgṛhya punar vistareṇaitad eva prameyaṃ	* ekena-eva-amunA sUtreNa saMhRtya saMgRhya punar vistareNa-etat eva prameyam
   jagatpatiḥ śrīkaṇṭhanāthaḥ prāha // MrgTV_1,2.2:4	jagatpatiH SrIkaNWa-nATaH prAha // MrgTV_1,2.2:4
   * mūlasūtrāt sarvakṛt sarvavid iti viśeṣaṇadvayaṃ vyācaṣṭe //	* mUlasUtrAt sarva-kRt sarva-vid iti viSezaNa-dvayam vyAcazwe //
   MrgTV_1,2.2:5	MrgTV_1,2.2:5
   jagajjanmasthitidhvaṃsatirobhāvavimuktayaḥ /	jagat-janma-sTiti-DvaMsa-tiroBAva-vimuktayaH /
   kṛtyaṃ sakārakaphalaṃ jñeyam asyaitad eva hi || MrgT_1,2.3 ||	kRtyam sakAraka-Palam jQeyam asya-etat eva hi || MrgT_1,2.3 ||
   tena svabhāvasiddhena bhavitavyaṃ jagatkṛtā /	tena svaBAva-sidDena Bavitavyam jagat-kRtAH /
   arvāksiddhe 'navasthā syān mokṣo nirhetuko 'pi vā || MrgT_1,2.4 ||	arvAk-sidDe anavasTA syAt mokzaH nirhetukaH api vA || MrgT_1,2.4 ||
   * jagato janmavaj jantucakrasya bhogopayogiparikarasahitasya paunaḥpunyena	* jagataH janma-vat jantu-cakrasya Boga-upayogi-parikara-sahitasya pOnaHpunyena
   tattadvividhayoniṣu udbhāvanaṃ janma sthitis tadicchāniruddhasya	tad-tad-viviDa-yonizu udBAvanam janma sTitiH tad-icCA-nirudDasya
   sarvalokasya svagocare niyogaḥ sthāpanaṃ dhvaṃsa ādānaṃ jagadyonāv	sarva-lokasya sva-gocare niyogaH sTApanam DvaMsaH AdAnam jagat-yonO=-
   upasaṃhāraḥ tirobhāvo yathānurūpād bhogād apracyāvaḥ saṃrakṣaṇākhyayāny	upasaMhAraH tiroBAvaH yaTA-anurUpAt BogAt apracyAvaH saMrakzaNa-AKyayAny
   atroktaḥ // MrgTV_1,2.4:1	atra-uktaH // MrgTV_1,2.4:1
   * yad āha vārttikakāraḥ // MrgTV_1,2.4:2	* yat Aha vArttikakAraH // MrgTV_1,2.4:2
   * svasaṃskārocitād bhogād apracyāvaḥ śarīriṇām // MrgTV_1,2.4:3	* sva-saMskAra-ucitAt BogAt apracyAvaH SarIriNAm // MrgTV_1,2.4:3
   * proktaṃ saṃrakṣaṇaṃ nāma nyāyena parikalpanam iti // MrgTV_1,2.4:4	* proktam saMrakzaNam nAma nyAyena parikalpanam iti // MrgTV_1,2.4:4
   * vimuktiśabdenātrānudhyānarūpo 'nugraha ity etat parameśvarasya saṃbandhi	* vimukti-Sabdena-atra-anuDyAna-rUpaH anugrahaH iti etat parameSvarasya saMbanDi
   pañcavidhaṃ kṛtyaṃ kārakaiḥ śaktyādibhiḥ phalena ca bhuktimuktyātmanā	paQcaviDam kRtyam kArakEH Sakti-AdiBiH Palena ca Bukti-mukti-AtmanA
   sahitaṃ jñeyam avaboddhavyam // MrgTV_1,2.4:5	sahitam jQeyam avabodDavyam // MrgTV_1,2.4:5
   * etac ca na māyādibhiḥ karmabhir vā nirvartayituṃ śakyam ācaitanyāt nāpi	* etat ca na mAyA-AdiBiH karmaBiH vA nirvartayitum Sakyam AcEtanyAt na-api
   puruṣeṇāsya malaniruddhaśaktitvāt // MrgTV_1,2.4:6	puruzeNa-asya mala-nirudDa-Sakti-tvAt // MrgTV_1,2.4:6
   * na cānīśvaro 'tra kartā yuktaḥ // MrgTV_1,2.4:7	* na ca-anISvaraH atra kartA yuktaH // MrgTV_1,2.4:7
   * yaś caitat sṛṣṭyādi kartuṃ śaknoti so 'vaśyaṃ tadviṣayajñaḥ	* yaH ca-etat sRzwi-Adi kartum Saknoti saH avaSyam tad-vizaya-jQaH
   cikīrṣitakāryaviṣayāṇāṃ jñānaviśeṣāṇām aṃśenāpi vaikalye	cikIrzita-kArya-vizayANAm jQAna-viSezANAm aMSena-api vEkalye
   tattatkāryāniṣpatteḥ // MrgTV_1,2.4:8	tad-tad-kArya-anizpatteH // MrgTV_1,2.4:8
   * ataś ca sarvakartrā sarvajñena tena ca svabhāvasiddhena jagataḥ kartrā	* atas ca sarva-kartrA sarvajQena tena ca svaBAva-sidDena jagataH kartrA
   bhavitavyam // MrgTV_1,2.4:9	Bavitavyam // MrgTV_1,2.4:9
   * arvāg iti ādimattvena siddhe tasminn abhyupagamyamāne yadi kāraṇāt	* arvAk iti Adimattvena sidDe tasmin aByupagamyamAne yadi kAraNAt-
   kutaścit tasyāsāv anugrahas tasyāpi kāraṇaṃ tatkāraṇasyāpi kāraṇāntaraṃ	kutaScid tasya-asO anugrahaH tasya-api kAraNam tad-kAraNasya-api kAraNa-antaram
   mṛgyam ity anavasthā // MrgTV_1,2.4:10	mRgyam iti anavasTA // MrgTV_1,2.4:10
   * athāsya vinaiva kāraṇaṃ svata eva tathāvidham aiśvaryaṃ tad akasmāj	* aTa-asya vinA-eva kAraNam svatas eva taTAviDam ESvaryam tat akasmAt-
   jātaṃ tarhy eṣa nirhetuko mokṣo 'nyān apekṣaṇāt sarvasyaiva syāt tasyāpi	jAtam tarhi eza nirhetukaH mokzaH anyAn apekzaNAt sarvasya-eva syAt tasya-api
   vā na syāt // MrgTV_1,2.4:11	vA na syAt // MrgTV_1,2.4:11
   * yad āhuḥ /	* yat AhuH /
   * nityaṃ sattvam asattvaṃ vā hetor anyān apekṣaṇāt /	* nityam sattvam asattvam vA hetoH anyAn apekzaNAt /
   * apekṣāto hi bhāvānāṃ kādācitkatvasaṃbhavaḥ iti // MrgTV_1,2.4:12	* apekzAtaH hi BAvAnAm kAdAcid-ka-tva-saMBavaH iti // MrgTV_1,2.4:12
   * tasmāt svabhāvasiddhanityaniratiśayanirmalasarvārthadṛkkriyaḥ	* tasmAt svaBAva-sidDa-nitya-niratiSaya-nirmala-sarva-arTa-dRkkriyaH
   patipadārthaḥ pūrvam uddiṣṭo 'nena lakṣitaḥ parīkṣyate purastāt //	pati-padArTaH pUrvam uddizwaH anena lakzitaH parIkzyate purastAt //
   MrgTV_1,2.4:13	MrgTV_1,2.4:13
   * idānīṃ paśupadārthaṃ lakṣayitum āha // MrgTV_1,2.4:14	* idAnIm paSu-padArTam lakzayitum Aha // MrgTV_1,2.4:14
   caitanyaṃ dṛkkriyārūpaṃ tad asty ātmani sarvadā /	cEtanyam dRkkriyA-rUpam tat asti Atmani sarvadA /
   sarvataś ca yato muktau śrūyate sarvatomukham || MrgT_1,2.5 ||	sarvatas ca yatas muktO SrUyate sarvatomuKam || MrgT_1,2.5 ||
   sad apy abhāsamānatvāt tan niruddhaṃ pratīyate /	sat api aBAsamAna-tvAt tat nirudDam pratIyate /
   vaśyo 'nāvṛtavīryasya so 'ta evāvimokṣaṇāt || MrgT_1,2.6 ||	vaSyaH anAvRta-vIryasya saH atas eva-avimokzaNAt || MrgT_1,2.6 ||
   * jñānakriyātmakaṃ yac caitanyaṃ tad ātmany asti na tu śarīrasamavetam iti	* jQAna-kriyA-Atmakam yat cEtanyam tat Atmani asti na tu SarIra-samavetam iti
   cārvākanirākaraṇe vakṣyāmaḥ // MrgTV_1,2.6:1	cArvAka-nirAkaraNe vakzyAmaH // MrgTV_1,2.6:1
   * tac ca sarvadaivāsti na tu muktāv eva // MrgTV_1,2.6:2	* tat ca sarva-dA-eva-asti na tu muktO eva // MrgTV_1,2.6:2
   * muktau tu saṃvittyabhāvo yathā vaiśeṣikair iṣṭaḥ tathāvidhāyā moharūpāyā	* muktO tu saMvitti-aBAvaH yaTA vESezikEH izwaH taTAviDAyAH moha-rUpAyAH-
   mukter nirākariṣyamāṇatvāt // MrgTV_1,2.6:3	mukteH nirAkarizyamANa-tvAt // MrgTV_1,2.6:3
   * tac cātmanaś caitanyaṃ jñānakriyātmakaṃ sarvatomukham asti na tu	* tat ca-AtmanaH cEtanyam jQAna-kriyA-Atmakam sarvatomuKam asti na tu
   kṣapaṇakānām iva dehapramāṇakatvaniyamād avyāpi paśupadārthaprakaraṇe	kzapaNakAnAm iva deha-pramANaka-tva-niyamAt avyApi paSu-padArTa-prakaraNe
   vyāpakatvasya vakṣyamāṇatvāt // MrgTV_1,2.6:4	vyApaka-tvasya vakzyamANa-tvAt // MrgTV_1,2.6:4
   * atra hetum āha yato muktau śrūyate sarvatomukhaṃ muktātmanāṃ	* atra hetum Aha yatas muktO SrUyate sarvatomuKam mukta-AtmanAm
   sarvatomukhasya caitanyasya śravaṇād ity arthaḥ // MrgTV_1,2.6:5	sarvatomuKasya cEtanyasya SravaNAt iti arTaH // MrgTV_1,2.6:5
