   Svayambhu Purāṇa	SvayamBu PurANa
   dhṛtarāṣṭo 'pi tānpaśyat saṃrakṣetsaṃ prasāditaḥ // SvayambhuP_3.168 //	DRtarAzwaH api tAn-paSyat saMrakzet-sam prasAditaH // SvayamBuj-_3.168 //
   kumbhāṇḍebhyo 'pi nāstyevaṃ bhayanteṣāṃ kadācana /	kumBANxeByaH api na-asti-evam BayantezAm kadAcana /
   viruḍhakohitān paśyanabhirakṣan prasādataḥ // SvayambhuP_3.169 //	viruXa-kohitAn paSyan-aBirakzan prasAdataH // SvayamBuj-_3.169 //
   nāgebhyo 'pi bhayanteṣāṃ vidyate na sadā kvacita /	nAgeByaH api BayantezAm vidyate na sadA kvacitaH /
   virupākṣo hi samyaśyantānrakṣansamprasāditaḥ // SvayambhuP_3.170 //	virupAkzaH hi samyaSyantAn-rakzan-samprasAditaH // SvayamBuj-_3.170 //
   yakṣebhyo 'pi sadā teṣāṃ vidyate na bhayaṃ kvacita /	yakzeByaH api sadA tezAm vidyate na Bayam kvacitaH /
   kuvero hi samālokya saṃrakṣastān prasāditaḥ // SvayambhuP_3.171 //	kuveraH hi samAlokya saMrakzaH-tAn prasAditaH // SvayamBuj-_3.171 //
   bhayaṃ na kinnarebhyopi teṣāmasti kadācana /	Bayam na kinnareByopi tezAm-asti kadAcana /
   drumo hitān mahāsattvā saṃvīkṣavat prasāditaḥ // SvayambhuP_3.172 //	drumaH hitAn mahAsattvA saMvIkza-vat prasAditaH // SvayamBuj-_3.172 //
   guhyakebhyopi nāstyeva bhayanteṣāṃ sudharmmaṇāṃ /	guhyakeByopi na-asti-eva BayantezAm suDarmmaNAm /
   vajrapāṇirhitānvīkṣya prasāditā bhavet sadā // SvayambhuP_3.173 //	vajrapANiH-hitAn-vIkzya prasAditA Bavet sadA // SvayamBuj-_3.173 //
   tathā vidyādharebhyo 'pi bhayanteṣānna vidyate /	taTA vidyADareByaH api BayantezAt-na vidyate /
   yataḥ sarvārthasiddho 'pi samyaśyanstān vetsadā // SvayambhuP_3.174 //	yatas sarva-arTa-sidDaH api samyaSyan=-tAn vetsadA // SvayamBuj-_3.174 //
   grahotpāta bhayanteṣāṃ vidyate na kadācana /	graha-utpAta BayantezAm vidyate na kadAcana /
   grahādhipāhi sarve 'pi samīkṣya tānavetsadā // SvayambhuP_3.175 //	graha-aDipAhi sarve api samIkzya tAn-avetsadA // SvayamBuj-_3.175 //
   tathā tārāgaṇotpātabhayaṃ teṣānnavidyate /	taTA tArA-gaNa-utpAta-Bayam tezAt-na-vidyate /
   sarvāstā rāhi tānvīkṣya sarvatrā veyurābhavaṃ // SvayambhuP_3.176 //	sarvAH-tAH rAhi tAn-vIkzya sarvatrA veyu-rABavam // SvayamBuj-_3.176 //
   siddhāḥ sādhyāścarudrāśca vīkṣyāveyuḥ sadāpi tān /	sidDAH sADyAH-ca-rudrAH-ca vIkzya-AveyuH sadA-api tAn /
   tattebhyopi bhayaṃ kvāpi teṣāṃ nāsti kadācana // SvayambhuP_3.177 //	tat-teByopi Bayam kvApi tezAm na-asti kadAcana // SvayamBuj-_3.177 //
   tathā ca mātṛkotpātaṃ bhayaṃ nāsti kadācana /	taTA ca mAtRkA-utpAtam Bayam na-asti kadAcana /
   sarvāhi mātṛkān dṛṣṭvā rakṣeyu stāṃ prasāditāḥ // SvayambhuP_3.178 //	sarvAhi mAtRkAn dRzwvA rakzeyu stAm prasAditAH // SvayamBuj-_3.178 //
   mahākālo gaṇeśa skandaśca bhairavā api /	mahAkAlaH gaNeSa skandaH-ca BEravAH api /
   sarvadā tānsamālokya rakṣeyuḥ saṃprasāditāḥ // SvayambhuP_3.179 //	sarvadA tAn-samAlokya rakzeyuH saMprasAditAH // SvayamBuj-_3.179 //
   pretā bhūtāḥ piśāścāśca vetāḍā ḍākinīgaṇāḥ /	pretAH BUtAH piSAH-cAH-ca vetAxAH xAkinI-gaNAH /
   api tānsarvadālokya saṃrakṣeyuḥ prasāditāḥ // SvayambhuP_3.180 //	api tAn-sarvat-A-Alokya saMrakzeyuH prasAditAH // SvayamBuj-_3.180 //
   tebhyo 'pi bhayanteṣāṃ vidyate na kadācana /	teByaH api BayantezAm vidyate na kadAcana /
   sarve 'pi rtesahāyāḥ syu saṃvodhi dharmmasādhane // SvayambhuP_3.181 //	sarve api rtesahAyAH syu saMvoDi Darmma-sADane // SvayamBuj-_3.181 //
   siṃhādi sarvajantubhyoḥ pakṣibhyo 'pi samantataḥ /	siMha-Adi sarva-jantuByoH pakziByaH api samantataH /
   sarpādi kṛmikīṭebhyo bhayanteṣāṃ sadāpi na // SvayambhuP_3.182 //	sarpa-Adi kRmi-kIweByaH BayantezAm sadA-api na // SvayamBuj-_3.182 //
   duṣṭa pratyarthikebhyo 'pi taskarebhyopi sarvataḥ /	duzwa pratyarTikeByaH api taskareByopi sarvatas /
   śatrubhyo 'pi bhayanteṣāṃ vidyate na samantataḥ // SvayambhuP_3.183 //	SatruByaH api BayantezAm vidyate na samantataH // SvayamBuj-_3.183 //
   yadetatpuṇyaliptāstāṃ samīkṣya te prasāditāḥ /	yat-etat-puNya-liptAH-tAm samIkzya te prasAditAH /
   sarve maitrī kṛpā sneha nivaddhāḥ syuhitārthinaḥ // SvayambhuP_3.184 //	sarve mEtrI kRpA sneha nivadDAH syuhita-arTinaH // SvayamBuj-_3.184 //
   evaṃ sarve 'pi satvāstāndṛṣṭvā saṃprasāditāḥ /	evam sarve api satvAH-tAn-dRzwvA saMprasAditAH /
   snigdhaciktāprasannāsyāḥ paśyeyu maitrībhāvataḥ // SvayambhuP_3.185 //	snigDa-ciktA-prasanna-AsyAH paSyeyu mEtrI-BAvataH // SvayamBuj-_3.185 //
   rājāno 'pi ca tāndṛṣṭvā maitrī snehasabhāvitāḥ /	rAjAnaH api ca tAn-dRzwvA mEtrI sneha-sa-BAvitAH /
   suprasannāśayāḥ prītā mānayeyuḥ sadā mudā // SvayambhuP_3.186 //	su-prasanna-ASayAH prItAH mAnayeyuH sadA mudA // SvayamBuj-_3.186 //
   mantrīṇo 'pi sadā teṣāṃ maitrīsneha sabhāṣitāḥ /	mantrINaH api sadA tezAm mEtrI-sneha sa-BAzitAH /
   mānayeyuḥyathākāmaṃ saddharmma vratasādhanaṃ // SvayambhuP_3.187 //	mAnayeyuH-yaTAkAmam sadDarmma vrata-sADanam // SvayamBuj-_3.187 //
   brāmhaṇā api sarve ca teṣāṃ saddharmma sādhanaṃ /	brAmhaNAH api sarve ca tezAm sadDarmma sADanam /
   dṛṣṭvānumoditātmāno dadhu bhadrāśivaṃ sadā // SvayambhuP_3.188 //	dRzwvA-anumodita-AtmAnaH daDu BadrASivam sadA // SvayamBuj-_3.188 //
   ṛṣayo 'pi tathā sarve tāṃ dṛṣṭvā saṃprasāditāḥ /	RzayaH api taTA sarve tAm dRzwvA saMprasAditAH /
   paśyantaḥ kṛpayā dṛṣṭvā modayeyuḥ subhāśiṣā // SvayambhuP_3.189 //	paSyantaH kRpayA dRzwvA modayeyuH suBASizAH // SvayamBuj-_3.189 //
   evaṃ ca yoginaḥ siddhā yatayo bramhacāriṇaḥ /	evam ca yoginaH sidDAH yatayaH bramhacAriNaH /
   tīrthikāstāpasāścāpi vratinaścāpyupāsakāḥ // SvayambhuP_3.190 //	tIrTikAH-tApasAH-ca-api vratinaH-ca-api-upAsakAH // SvayamBuj-_3.190 //
   cairakā bhikṣavoścāpi bhikṣuṇyaścāpyupāsikāḥ /	cErakAH BikzavoH-ca-api BikzuNyaH-ca-api-upAsikAH /
   api tāṃ sudṛśālokya nandayeyuḥ śubhāśiṣāḥ // SvayambhuP_3.191 //	api tAm su-dRSAlokya nandayeyuH SuBa-ASizAH // SvayamBuj-_3.191 //
   evaṃ ca śrāvakāḥ sarve pratyeka sugatā api /	evam ca SrAvakAH sarve pratyeka sugatAH api /
   bodhisatvāśca sarve 'pi tān dṛṣṭvā saṃprasāditāḥ // SvayambhuP_3.192 //	boDisatvAH-ca sarve api tAn dRzwvA saMprasAditAH // SvayamBuj-_3.192 //
   kṛpayā dṛṣṭavānupaśyanto maitrī snehasubhāvinaḥ /	kRpayA dRzwavAn-upaSyantaH mEtrI sneha-suBAvinaH /
   rakṣitvā bodhimārgeṣu niyājeyuḥ sadā bhavaṃ // SvayambhuP_3.193 //	rakzitvA boDi-mArgezu niyAjeyuH sadA Bavam // SvayamBuj-_3.193 //
   evaṃ sarve 'pi saṃbuddhā dṛṣṭvā tāṃ saṃprasāditāḥ /	evam sarve api saMbudDAH dRzwvA tAm saMprasAditAH /
   sarvadā kṛpayā rakṣyucārayeyurjjagaddhite // SvayambhuP_3.194 //	sarvadA kRpayA rakzyu-cArayeyurjjagat-hite // SvayamBuj-_3.194 //
   evaṃ teṣāṃ mahatpuṇyaṃ sambuddha padasādhanaṃ /	evam tezAm mahat-puNyam sambudDa pada-sADanam /
   bhadraśrīguṇasaṃpatti samṛddhi siddhisaṃpradaṃ // SvayambhuP_3.195 //	BadraSrI-guNa-saMpatti samRdDi sidDi-saMpradam // SvayamBuj-_3.195 //
   evaṃ yūyamapi jñātvā sarvadā śaraṇāśritāḥ /	evam yUyam-api jQAtvA sarvadA SaraNa-ASritAH /
   yathāśakti samabhyarcya bhajataitāṃstriratnikān // SvayambhuP_3.196 //	yaTASakti samaByarcya BajatA-etAn=-tris-atnikAn // SvayamBuj-_3.196 //
   smṛtvā dhyātvāpi nāmāpi samuccārya sadā mudā /	smRtvA DyAtvA-api nAma-api samuccArya sadA mudA /
   eṣāmeva triratnānāṃ bhajadhvaṃ śaraṇe sthitā // SvayambhuP_3.197 //	ezAm-eva tri-ratnAnAm BajaDvam SaraNe sTitAH // SvayamBuj-_3.197 //
   etatpuṇyaviliptā ye pariśuddhatrimaṇḍalāḥ /	etat-puNya-viliptAH ye pariSudDa-tri-maNxalAH /
   bhadraśrīguṇasaṃpannā bhaveste śubhāśayā // SvayambhuP_3.198 //	BadraSrI-guNa-saMpannAH BaveH-te SuBa-ASayAH // SvayamBuj-_3.198 //
   durgatiṃ te na gaccheyuḥ sadā sadgatisaṃbhavāḥ /	durgatim te na gacCeyuH sadA sat-gati-saMBavAH /
   bodhisatvā mahāsatvā bhaveryubhadracāriṇaḥ // SvayambhuP_3.199 //	boDisatvAH mahAsatvAH BaveH-I-uBadracAriNaH // SvayamBuj-_3.199 //
   tataste sarvasatvānāṃ hitārtha sādhanodyatāḥ /	tatas-te sarva-satvAnAm hita-arTa sADana-udyatAH /
   sudhīrā bodhisambhāraṃ pūrayitvā yathākramaṃ // SvayambhuP_3.200 //	su-DIrA boDi-samBAram pUrayitvA yaTAkramam // SvayamBuj-_3.200 //
   tato māragaṇāñjitvā niḥkleśā vijitendriyāḥ /	tatas mAra-gaNAn-jitvA niHkleSAH vijita-indriyAH /
   arhanta trividhāṃ bodhiṃprāpya yāyu jinālayaṃ // SvayambhuP_3.201 //	arhanta triviDAm boDiMprApya yAyu jina-Alayam // SvayamBuj-_3.201 //
   etsarva mayā khyātaṃ sarvairapi munīśvaraiḥ /	ed-sarva mayA KyAtam sarvEH-api muni-ISvarEH /
   śrutvānumodanāṃ kṛtvā pracaradhvaṃ sadāśubhe // SvayambhuP_3.202 //	SrutvA-anumodanAm kRtvA pracaraDvam sadA-aSuBe // SvayamBuj-_3.202 //
   ityādiṣṭaṃ munīndreṇa niśamyate sabhāśritāḥ /	iti-Adizwam muni-indreNa niSamyate saBA-ASritAH /
   sarve tathānumodantaḥ prāpyānandatpravodhitāḥ // SvayambhuP_3.203 //	sarve taTA-anumodantaH prApya-Anandat-pravoDitAH // SvayamBuj-_3.203 //
   iti śrī svayambhūtpattisamuddeśa mahāhrada śoṣaṇa dharmmadhātu	iti SrI svayamBUt-patti-samuddeSa mahAhrada SozaNa Darmma-DAtu
   padmagirisaṃprasthāpano nāma tṛtīyo 'dhyāyaḥ /	padmagirisaMprasTApanaH nAma tRtIyaH aDyAyaH /
   caturtha adhyāyaḥ śrīsvayambhūcaityasamutpattikathā	caturTa aDyAyaH SrI-svayamBU-cEtya-samutpatti-kaTA
   vītarāgatīrtharāṣṭrapravartano nāma	vItarAgatIrTa-rAzwra-pravartanaH nAma
   athāsautha mahāsattva maitreya sugatātmajaḥ /	aTa-asOTa mahA-sattva mEtreya sugata-AtmajaH /
   bhagavantantamānaṃmya prāhaivaṃ sāñjalimudrā // SvayambhuP_4.1 //	BagavantantamAnaMmya prAha-evam sa-aQjalimudrA // SvayamBuj-_4.1 //
   kadātra bhagavān grāma nagarapaṅaktādayaḥ /	kadA-atra BagavAn grAma nagara-paFakta-AdayaH /
   pravarttitā mahārāṣṭrāḥ tatsamādeṣṭumarhati // SvayambhuP_4.2 //	pravarttitAH mahArAzwrAH tat-samAdezwum-arhati // SvayamBuj-_4.2 //
   iti saṃprārthite tena maitreyena niśasya sa /	iti saMprArTite tena mEtreyena niSasya sa /
   bhagavāntaṃ mahābhijñaṃ samālokyaivamādiśat // SvayambhuP_4.3 //	BagavAn-tam mahA-aBijQam samAlokya-evam-AdiSat // SvayamBuj-_4.3 //
   sādhu śṛṇu mahāsattva maitreya tvaṃ samāhitaḥ /	sADu SRNu mahA-sattva mEtreya tvam samAhitaH /
   tatkālaṃ saṃpravakṣyāmi yadātra vasatirabhūt // SvayambhuP_4.4 //	tad-kAlam saMpravakzyAmi yadA-atra vasatiH-aBUt // SvayamBuj-_4.4 //
   yadāyuṣnṛṇāṃ varṣacatvāriśatsahasrake /	yat-A-AyuznRNAm varza-catvAriSat-sahasrake /
   dharmmarājo jagannāthaḥ krakuchando munīśvaraḥ // SvayambhuP_4.5 //	DarmmarAjaH jagannATaH kraku-CandaH muni-ISvaraH // SvayamBuj-_4.5 //
   sarva vidyādhipaḥ śāstā traidhātuka vināyakaḥ /	sarva vidyA-aDipaH SAstA trEDAtuka vinAyakaH /
   sarvajño 'ha mābhijñestathāgato jino 'bhavat // SvayambhuP_4.6 //	sarvajQaH aha mA-aBijQeH-taTAgataH jinaH aBavat // SvayamBuj-_4.6 //
   ma saṃbuddhā jagallokahitārthena sasāṃdhikaḥ /	me saMbudDAH jagat-loka-hita-arTena sa-sAMDikaH /
   kṣemāvatyā mahāpuryyādupārāme manorame // SvayambhuP_4.7 //	kzemAvatyAH mahA-puryyAt-upArAme manorame // SvayamBuj-_4.7 //
   vihāre saugatāvāse saddharmmasamupādiśat /	vihAre sOgata-AvAse sat-DarmmasamupAdiSat /
   ādimadhyāntakalyāṇaṃ vijahāra prabhāsayan // SvayambhuP_4.8 //	Adi-maDya-anta-kalyANam vijahAra praBAsayan // SvayamBuj-_4.8 //
   tadā saṃbodhisattvo 'haṃ jyotipālābhidhaḥ sudhīḥ /	tadA saMboDisattvaH aham jyotipAla-aBiDaH suDIH /
   śāstārantaṃ krakucchandaṃ samārādhya sadābhajaṃ // SvayambhuP_4.9 //	SAstArantam krakucCandam samArADya sadABajam // SvayamBuj-_4.9 //
   tadā sa bhagavāñchāstā krakucchando jagaddhite /	tadA sa BagavAn-SAstA krakucCandaH jagat-hite /
   janapadeṣu saddharmmaṃ samupādeṣṭumaicchataḥ // SvayambhuP_4.10 //	janapadezu sadDarmmam samupAdezwum-EcCataH // SvayamBuj-_4.10 //
   tataḥ sa bhagavān śāstā sarvasaṃghaiḥ samanvitaḥ /	tatas sa BagavAn SAstA sarva-saMGEH samanvitaH /
   sarvatra bhadratāṃ kṛtvā saṃbhāṣayansamācarat // SvayambhuP_4.11 //	sarvatra BadratAm kRtvA saMBAzayan-samAcarat // SvayamBuj-_4.11 //
   evaṃ sa sañcarañchāstā sarvatra dharmmamādiśat /	evam sa saQcaran-SAstA sarvatra Darmmam-AdiSat /
   krameṇehasamātaḥ sandadarśa samantataḥ // SvayambhuP_4.12 //	krameNa-Iha-sa-mAtas sanda-darSa samantataH // SvayamBuj-_4.12 //
   dṛṣṭvemaṃ dharmmadhātuṃ saṃprajvalita jinālayaṃ /	dRzwvA-imam Darmma-DAtum saMprajvalita jina-Alayam /
   sasaṃgha samupāśritya prābhajadvidhinā mudā // SvayambhuP_4.13 //	sa-saMGa samupASritya prABajat-viDinA mudA // SvayamBuj-_4.13 //
   tataḥ sa prasthitotraiva śaṃkhabhidhe śilāccayaṃ /	tatas sa prasTitotra-eva SaMKa-BiDe SilAccayam /
   mahachuddhaśilāyāṃ ca vijahāra sa sāṃdhikaḥ // SvayambhuP_4.14 //	maha-CudDa-SilAyAm ca vijahAra sa sAMDikaH // SvayamBuj-_4.14 //
   tatra taṃtri jagannāthaṃ krakuchando munīśvaraṃ /	tatra taMtri jagannATam kraku-CandaH muni-ISvaram /
   sabhāmadhyāsanāsīnaṃ bhikṣusaṃghaiḥ puraskṛtaṃ // SvayambhuP_4.15 //	saBAm-aDyAsana-AsInam Bikzu-saMGEH puraskRtam // SvayamBuj-_4.15 //
   samālokya mahāsattvā jinātmajāḥ /	samAlokya mahAsattvAH jina-AtmajAH /
   tatsaddharmmāmṛtaṃ pātuṃ saṃharṣitāḥ samāgatāḥ // SvayambhuP_4.16 //	tad-sat-Darmma-amRtam pAtum saMharzitAH samAgatAH // SvayamBuj-_4.16 //
   bhikṣuṇyāpi śuśīlādyā ścailakāścāpyupāsakāḥ /	BikzuNyA-api SuSIla-AdyA ScElakAH-ca-api-upAsakAH /
   cailakā vratinaścāpi sarve upāsikā api // SvayambhuP_4.17 //	cElakAH vratinaH-ca-api sarve upAsikAH api // SvayamBuj-_4.17 //
   bodhisattvā mahāsattvā saddharmma guṇalālasāḥ /	boDisattvAH mahAsattvA sadDarmma guNa-lAlasAH /
   tatsaddharmmāmṛtaṃ pātuṃ sarve te samupāgatāḥ // SvayambhuP_4.18 //	tad-sadDarmma-amRtam pAtum sarve te samupAgatAH // SvayamBuj-_4.18 //
   bhagavantantaṃ samabhyarcya kṛtvā pradakṣiṇānyapi /	Bagavantantam samaByarcya kRtvA pradakziNAni-api /
   natvā sāṃjalayastatra paśyantaḥ samupāśrayan // SvayambhuP_4.19 //	natvA sa-aMjalayaH-tatra paSyantaH samupASrayan // SvayamBuj-_4.19 //
   tathā brahmādayaścāpi maharṣayastapasvinaḥ /	taTA brahma-AdayaH-ca-api mahA-RzayaH-tapasvinaH /
   yatayo yoginaścāpi munayo brahmacāriṇaḥ // SvayambhuP_4.20 //	yatayaH yoginaH-ca-api munayaH brahmacAriNaH // SvayamBuj-_4.20 //
   evaṃ śakrādayo davāḥ sarve lokādhipā api /	evam Sakra-AdayaH davAH sarve loka-aDipAH api /
   grahāstārāgaṇāḥ siddhāsādhyā vidyādharā api // SvayambhuP_4.21 //	grahAH-tArA-gaNAH sidDa-asADyAH vidyADarAH api // SvayamBuj-_4.21 //
   gandharvā kinnarā yakṣā guhyakā rākṣasā api /	ganDarvA kinnarAH yakzAH guhyakAH rAkzasAH api /
   dānavā garuḍā nāgāstathānyeha samāgatāḥ // SvayambhuP_4.22 //	dAnavAH garuxAH nAgAH-taTA-anya-iha samAgatAH // SvayamBuj-_4.22 //
   bhagavantaṃ sasaṃghantaṃ samabhyarcya pramoditāḥ /	Bagavantam sa-saMGantam samaByarcya pramoditAH /
   natvā dharmmāmṛtaṃ pātumupatasthuḥ samāhitāḥ // SvayambhuP_4.23 //	natvA Darmma-amRtam pAtum-upatasTuH samAhitAH // SvayamBuj-_4.23 //
   evaṃ ca brāhmaṇā vijñā rājānaḥ kṣatriyā api /	evam ca brAhmaNAH vijQAH rAjAnaH kzatriyAH api /
   vaiśyāśca mantriṇo 'mātyāḥ sainyā bhṛtyā janānyapi // SvayambhuP_4.24 //	vESyAH-ca mantriNaH amAtyAH sEnyAH BRtyAH janAni-api // SvayamBuj-_4.24 //
   gṛhasthe dhaninaḥ śreṣṭhāḥ sādhavaśca mahājanāḥ /	gRhasTe DaninaH SrezWAH sADavaH-ca mahAjanAH /
   śilpino vanijaścāpi sārthavāhaśca paurikāḥ // SvayambhuP_4.25 //	SilpinaH vanijaH-ca-api sArTavAhaH-ca pOrikAH // SvayamBuj-_4.25 //
   prajā jānapadāśrāmyāḥ kārpaṭikāśca śailikāḥ /	prajAH jAnapada-ASrAmyAH kArpawikAH-ca SElikAH /
   evaṃmanye 'pi lokāścasarvadigbhyaḥ samāgatāḥ // SvayambhuP_4.26 //	evaMmanye api lokAH-ca-sarva-digByaH samAgatAH // SvayamBuj-_4.26 //
   bhagavantantamālokya praṇatvā samupāgatāḥ /	Bagavantantam-Alokya praNatvA samupAgatAH /
   yathākramaṃ samabhyarcya kṛtvā pradakṣiṇānyapi // SvayambhuP_4.27 //	yaTAkramam samaByarcya kRtvA pradakziNAni-api // SvayamBuj-_4.27 //
   kṛtvāṣṭāṃga praṇāmañca kṛtāṃjali puṭo mudā /	kRtvA-azwAMga praNAmaQca kRtAMjali puwaH mudA /
   tatsaddharmmāmṛtaṃ pātuṃ tatsabhāyāṃ samantataḥ // SvayambhuP_4.28 //	tad-sadDarmma-amRtam pAtum tad-saBAyAm samantataH // SvayamBuj-_4.28 //
   parivṛtya puraskṛtya samāśritya samāhitāḥ /	parivRtya puraskRtya samASritya samAhitAH /
   gurukṛtya munīndrantaṃ samudvīkṣya niṣedire // SvayambhuP_4.29 //	gurukRtya muni-indrantam samudvIkzya nizedire // SvayamBuj-_4.29 //
   tataḥ sa bhagavāndṛṣṭvā sarvāstānsamupasthitān /	tatas sa BagavAn-dRzwvA sarvAH-tAn-samupasTitAn /
   āryasatyaṃ samālakṣya saddharmmaṃ samupādiśat // SvayambhuP_4.30 //	Arya-satyam samAlakzya sat-Darmmam samupAdiSat // SvayamBuj-_4.30 //
   tatsaddharmmāmṛtaṃ pītvā sarve 'pi te pravodhitāḥ /	tad-sadDarmma-amRtam pItvA sarve api te pravoDitAH /
   bodhicaryā vrataṃ dhartuṃ samecchanta prasāditāḥ // SvayambhuP_4.31 //	boDi-caryA vratam Dartum samecCanta prasAditAH // SvayamBuj-_4.31 //
   tadāśayaṃ parijñāya bhagavān sa munīśvaraḥ /	tad-ASayam parijQAya BagavAn sa muni-ISvaraH /
   bodhisattvātma mārmetyaḥ sampaśyannevamādiśat // SvayambhuP_4.32 //	boDisattva-Atma mArmetyaH sampaSyan=-evam-AdiSat // SvayamBuj-_4.32 //
   kulaputra mudāyepi śraddhayā saugatevṛṣe /	kula-putra mudAyepi SradDayA sOgatevRze /
   pravrajituṃ samīcchanti tatra pravrajitādritāḥ // SvayambhuP_4.32 //	pravrajitum samIcCanti tatra pravrajita-adritAH // SvayamBuj-_4.32 //
   atra ye hyupachando 'ha sarva dharmmārthasiddhide /	atra ye hi-upaCandaH aha sarva Darmma-arTa-sidDi-de /
   pravrajyā śāsane bauddhe caranti bodhisaṃvaraṃ // SvayambhuP_4.34 //	pravrajyA SAsane bOdDe caranti boDi-saMvaram // SvayamBuj-_4.34 //
   te sarve pātakā muktāḥ pariśuddha trimaṇḍalāḥ /	te sarve pAtakAH muktAH pariSudDa tri-maNxalAH /
   niḥkleśā vimalātmāno bodhisattvā jitendriyāḥ // SvayambhuP_4.35 //	niHkleSAH vimala-AtmAnaH boDisattvAH jita-indriyAH // SvayamBuj-_4.35 //
   jitvā māragaṇānduṣṭān hantā brahmacāriṇaḥ /	jitvA mAra-gaNAn-duzwAn hantA brahmacAriNaH /
   trividhāmbodhimāsādya sambuddhapadamāpnuyuḥ // SvayambhuP_4.36 //	triviDa-amboDim-AsAdya sambudDa-padam-ApnuyuH // SvayamBuj-_4.36 //
   iti matvātra saṃsāre ye vāṃchanti sunirvṛtiṃ /	iti matvA-atra saMsAre ye vAMCanti su-nirvRtim /
   tatra pravrajyā sānbauddhaṃ carantu śraddhayā vrataṃ // SvayambhuP_4.37 //	tatra pravrajyA sAn-bOdDam carantu SradDayA vratam // SvayamBuj-_4.37 //
   ityādiṣṭaṃ munīndreṇa niśamya te pravodhitāḥ /	iti-Adizwam muni-indreNa niSamya te pravoDitAH /
   sabhāsīnā mahāsattvāḥ pravrajintu samīchire // SvayambhuP_4.38 //	saBA-AsInAH mahAsattvAH pravrajintu samICire // SvayamBuj-_4.38 //
   tato guṇadhvajādīnāṃ brāhmaṇānāṃ catuḥśataṃ /	tatas guNa-Dvaja-AdInAm brAhmaNAnAm catur-Satam /
   tathā bhayaṃ dadānāma kṣatriyāṇāṃśatatrayaṃ // SvayambhuP_4.39 //	taTA Bayam dadAH-nAma kzatriyANa-aMSata-trayam // SvayamBuj-_4.39 //
   tathāneka mahāsattvā vaiśyāśūdrāśca sajjanāḥ /	taTA-aneka mahAsattvAH vESyASUdrAH-ca sat-janAH /
   sarve 'pi suprasannāste pravrajituṃ samīcchire // SvayambhuP_4.40 //	sarve api su-prasannAH-te pravrajitum samIt-Sire // SvayamBuj-_4.40 //
   tataste sarva utthāya sāñjalayaḥ purāgatāḥ /	tatas-te sarve utTAya sa-aQjalayaH purA-AgatAH /
   bhagavantaṃ tamānamya prārthayannevamādarāt // SvayambhuP_4.41 //	Bagavantam tam-Anamya prArTayan=-evam-AdarAt // SvayamBuj-_4.41 //
   bhagavannātha sarvajña dhṛtvājñā bhavatāṃ vayaṃ /	Bagavat-nATa sarvajQa DRtvA-AjQA BavatAm vayam /
   pravrajyaśāsana bauddhecartumichāmahe vrataṃ // SvayambhuP_4.42 //	pravrajya-SAsana bOdDeca-Rtum-iCAmahe vratam // SvayamBuj-_4.42 //
   bhagavansta bhavānasmān sarvān paśyan kṛpā dṛśā /	Bagavan-sta BavAn-asmAn sarvAn paSyan kRpA dRSA /
   samanvāgatya saddharmma niyojayitumarhati // SvayambhuP_4.43 //	samanvAgatya sadDarmma niyojayitum-arhati // SvayamBuj-_4.43 //
   iti taiḥ prārthite sarvairbhagavānsa munīśvaraḥ /	iti tEH prArTite sarvEH-BagavAn-sa muni-ISvaraH /
   sarvānstān sanmatin paśyan samāmanbhyaivamādiśat // SvayambhuP_4.44 //	sarvAn-H-tAn sat-matin paSyan samAm-anByEvam-AdiSat // SvayamBuj-_4.44 //
   yadyatra saugate dharmma pravrajituṃ samīcchatha /	yadi-atra sOgate Darmma pravrajitum samIcCaTa /
   etat pravrajya sarvatra caradhvaṃ saugataṃ vrataṃ // SvayambhuP_4.45 //	etat pravrajya sarvatra caraDvam sOgatam vratam // SvayamBuj-_4.45 //
   ityādiśya sa saṃbuddhaḥ pāṇinā tacchiraḥspṛśan /	iti-AdiSya sa saMbudDaH pANinA tat-SiraH-spRSan /
   tānsarvānsaugate dharme samanvāharadādarāt // SvayambhuP_4.46 //	tAn-sarvAn-sOgate Darme samanvAharat-AdarAt // SvayamBuj-_4.46 //
   tato 'vatārya te keśān rakta cīvara prāvṛtāḥ /	tatas avatArya te keSAn rakta cIvara prAvRtAH /
   khikhirī pātramādhāya sarve 'pi bhikṣuvo bhavan // SvayambhuP_4.47 //	KiKirI pAtram-ADAya sarve api BikzuvaH Bavan // SvayamBuj-_4.47 //
   tataḥ sa bhagavāntebhyoḥ yatibhyo saṃmyak saṃbodhipākṣikān /	tatas sa BagavAn-teByoH yatiByaH saMmyak saMboDi-pAkzikAn /
   saddharmmānsamupādiśya pradadau bodhisamvaraṃ // SvayambhuP_4.48 //	sadDarmmAn-samupAdiSya pradadO boDi-samvaram // SvayamBuj-_4.48 //
   tataste vimalātmāno niḥkleśā vimalendriyāḥ /	tatas-te vimala-AtmAnaH niHkleSAH vimala-indriyAH /
   satkāraṃ lābha niḥkāṃkṣā vītasaṃgā niraṃjanāḥ // SvayambhuP_4.49 //	satkAram lABa niHkAMkzAH vIta-saMgAH niraMjanAH // SvayamBuj-_4.49 //
   svaparātma samācārāḥ saṃsāragatiniḥspṛhāḥ /	sva-para-Atma samAcArAH saMsAra-gati-niHspRhAH /
