   // atha prathama ullāsaḥ //	// aTa praTamaH ullAsaH //
   na hnatrāsabhyo 'rthaḥ padārthāntarairanvitaḥ, ityanabhidheya eveti,	na hnatrAsaByaH arTaH padArTa-antarEH-anvitaH, iti-anaBiDeyaH eva-iti,
   evamādi, aparityājyaṃ syāt /	evamAdi, aparityAjyam syAt /
   yadi ca vācyavācakatvavyatirekeṇa vyaṅgyavyañjakabhāvo nābhyupeyate	yadi ca vAcya-vAcaka-tva-vyatirekeNa vyaFgya-vyaQjaka-BAvaH na-aByupeyate
   tadāsādhutvādīnāṃ nityadoṣatvaṃ saṣṭatvādīnāmanityadoṣatvamiti	tadA-asADu-tva-AdInAm nitya-doza-tvam sazwa-tva-AdInAm-anitya-doza-tvam-iti
   vibhāgakaraṇamanupapannaṃ syāt /	viBAga-karaNam-anupapannam syAt /
   na cānupapannam sarvasyaiva vibhaktatayā pratibhāsāt /	na ca-anupapannam sarvasya-eva viBakta-tayA pratiBAsAt /
   vācyavācakabhāvavyatirekeṇa vyaṅgyavyañjakatāśrayaṇe tu vyaṅgyasya	vAcya-vAcaka-BAva-vyatirekeNa vyaFgya-vyaQjaka-tA-ASrayaNe tu vyaFgyasya
   bahuvidhatvāt kvacideva kasyacidevaucityenopapadyata eva vibhāgavyavasthā	bahuviDa-tvAt kvacid-eva kasyacid-eva-Ocityena-upapadyate eva viBAga-vyavasTA
   "dvayaṃ gataṃ saṃprati śocanīyatāṃ samāgamaprārthanayā kapālinaḥ /	"dvayam gatam saMprati SocanIya-tAm samAgama-prArTanayA kapAlinaH /
   '; ityādau pinākyādipadavailakṣaṇyena kimiti kapālyādipadānāṃ	a; ityAdO pinAkyAdi-pada-vElakzaNyena kim-iti kapAlI-Adi-padAnAm
   kāvyānuguṇatvam /	kAvya-anuguNa-tvam /
   api ca vācyo 'rthaḥ sarvāna pratipattṭṭan prati, ekarūpa eveti niyato 'sau	api ca vAcyaH arTaH sarvAna pratipad-twwan prati, eka-rUpaH eva-iti niyataH asO
   na hi "gato 'stamarkaḥ'ityādau vācyo 'rthaḥ kvacidanyathā bhavati /	na hi "gataH astam-arkaH-aityAdO vAcyaH arTaH kvacid-anyaTA Bavati /
   pratīyamānastu tattatprakaraṇavaktṛpratipattrādiviśeṣasahāyatayā nānātvaṃ	pratIyamAnaH-tu tad-tad-prakaraNa-vaktR-pratipattra-Adi-viSeza-sahAya-tayA nAnA-tvam
   bhajate /	Bajate /
   tathā ca "gato 'stamarkaḥ'; ityataḥ sapatnaṃ pratyavaskandanāvasara iti,	taTA ca "gataH astam-arkaH-a; iti-atas sapatnam pratyavaskandana-avasaraH iti,
   abhisaraṇamupakramyatāmiti prāptaprāyaste preyāniti	aBisaraNam-upakramyatAm-iti prApta-prAyaH-te preyAn-iti
   karmakaraṇānnivartāmahe, iti sāṃdhyo vidhirupakramyatāmiti dūraṃ mā gā iti	karma-karaNAt-nivartAmahe, iti sAMDyaH viDiH-upakramyatAm-iti dUram mA gAH iti
   surabhayo gṛhaṃ praveśyantāmiti saṃtāpo 'dunā na bhavatīti vikreyavastūni	suraBayaH gRham praveSyantAm-iti saMtApaH adunA na Bavati-iti vikreya-vastUni
   saṃhriyantāmiti nāgato 'dyāpi preyānityādiranavadhirvyaṅgye 'rthaḥ, tatra	saMhriyantAm-iti na-AgataH adya-api preyAn-ityAdiH-anavaDiH-vyaFgye arTaH, tatra
   tatra pratibhāti /	tatra pratiBAti /
   vācyavyaṅgyayoḥ niḥśeṣetyādau niṣedhavidhyātmanā, "mātsaryamutsārya	vAci-avyaFgyayoH niHSeza-ityAdO nizeDa-viDi-AtmanA, "mAtsaryam-utsArya
   vicārya kāryamāryāḥ samaryādamudāharantu /	vicArya kAryam-AryAH sa-maryAdam-udAharantu /
   sevyā nitambāḥ kimu bhūdharāṇāmuta smarasmeravilāsinīnām // 133" //	sevyAH nitambAH kimu BUDarANAm-uta smara-smera-vilAsinInAm // 133" //
   ityādau saṃśayaśāntaśaṅgāryantaragataniśvayarūpeṇa, "kathamavanipa darpo	ityAdO saMSaya-SAnta-SaFgA-ari-antara-gata-niSvaya-rUpeNa, "kaTam-avanipa darpaH-
   yanniśātāsidhārā- dalanagalitamūdhnā vidviṣāṃ svīkṛtā śrīḥ /	yat-niSAtA-asi-DArA dalana-galitam-UDnA vidvizAm svIkRtA SrIH /
   nanu tava nihatārerapyasau kiṃ na nītā tridivamapagatāṅgairvallabhā	nanu tava nihata-areH-api-asO kim na nItA tridivam-apagata-aFgEH-vallaBA
   kīrtirebhiḥ // 134" //	kIrtiH-eBiH // 134" //
   ityādau nindāstutivapuṣā svarūpasya, pūrvapaśvādbhāvena pratīteḥ kālasya	ityAdO nindA-stuti-vapuzA svarUpasya, pUrva-paSvAt-BAvena pratIteH kAlasya
   śabdāśrayatvena śabdatadekadeśatadarthavarṇasaṃghaṭanāśayatvena ca,	Sabda-ASraya-tvena Sabda-tad-eka-deSa-tad-arTa-varNa-saMGawana-ASaya-tvena ca,
   āśrayasya śabdānuśāsanajñānena prakaraṇādisahāyapratibhānairmalyasahitena	ASrayasya Sabda-anuSAsana-jQAnena prakaraNa-Adi-sahAya-pratiBAnEH-malya-sahitena
   tena cāvagama iti nimittasya boddhṛmātravidagdhavyapadeśayoḥ	tena ca-avagamaH iti nimittasya bodDR-mAtra-vidagDa-vyapadeSayoH
   pratītimātracamatkṛtyośva karaṇāt kāryasya gato 'stamarka ityādau	pratIti-mAtra-camatkRtya-uSva karaNAt kAryasya gataH astam-arkaH iti-AdO
   pradarśitanayena saṃkhyāyāḥ, "kassa va ṇa hoi roso daṭṭhūṇa piāi savvaṇaṃ	pradarSita-nayena saMKyAyAH, "kassa vaH Na hoi rosaH dawWUNa piAi savvaNam
   aharaṃ /	aharam /
   sabhamarapaḍamagghāiṇi vāriavāme sahasu eṇhiṃ // 135" //	sa-Bamara-paxam-aghAiNi vAriava-Ame sahasu eNhim // 135" //
   ityādau sakhītatkāntādigatatvena viṣayasya ca bhede 'pi yadyekatvam tat	ityAdO saKI-tad-kAnta-Adi-gata-tvena vizayasya ca Bede api yadi-ekatvam tat-
   kvacidapi nīlapītādau bhedo na syāt /	kvacid-api nIla-pIta-AdO BedaH na syAt /
   uktaṃ hi "ayameva hi bhedo bhedaheturvā yadviruddhadharmādhyāsaḥ	uktam hi "ayam-eva hi BedaH Beda-hetuH-vA yat-virudDa-Darma-aDyAsaH
   kāraṇabhedaśva" iti /	kAraNa-Beda-Sva" iti /
   vācakānāmarthāpekṣā vyañjakānāṃ tu na tadapekṣatvamiti na vācakatvameva	vAcakAnAm-arTa-apekzA vyaQjakAnAm tu na tad-apekza-tvam-iti na vAcaka-tvam-eva
   vyañjakatvam /	vyaQjaka-tvam /
   kiṃ ca vāṇīrakuḍaṃgvityādau pratīyamānamarthamabhivyajya vācyaṃ svarūpe,	kim ca vANIra-kuxaMgu-iti-AdO pratIyamAnam-arTam-aBivyajya vAcyam svarUpe,
   eva yatra viśrāmyati tatra guṇībhūtavyaṅgye 'tātparyabhūto 'pyarthaḥ	eva yatra viSrAmyati tatra guNIBUta-vyaFgye atAtparya-BUtaH api-arTaH
   svaśabdānabhidheyaḥ pratītipathamavataran kasya vyāpārasya	sva-Sabda-anaBiDeyaH pratIti-paTam-avataran kasya vyApArasya
   viṣayatāmavalambatāmiti /	vizaya-tAm-avalamba-tAm-iti /
   nanu "rāmo 'smi sarvaṃ sahe'; iti "rāmeṇa priyajīvitena tu kṛtaṃ premṇaḥ	nanu "rAmaH asmi sarvam sahe-a; iti "rAmeNa priya-jIvitena tu kRtam premNaH
   priye nocitam'; iti "rāmo 'sau bhuvaneṣu vikramaguṇaiḥ prāptaḥ prasiddhiṃ	priye na-ucitam-a; iti "rAmaH asO Buvanezu vikrama-guNEH prAptaH prasidDim
   parām'; ityādau lakṣaṇīyo 'pyartho nānātvaṃ bhajate viśeṣavyapadeśahetuśva	parAm-a; ityAdO lakzaNIyaH api-arTaH nAnAtvam Bajate viSeza-vyapadeSa-hetuSva
   bhavati tadavagamaśva śabdārthāyattaḥ prakaraṇādisavyapekṣaśveti ko 'yaṃ	Bavati tad-avagam-aSva Sabda-arTa-AyattaH prakaraNa-Adi-savyapekzaSvA-iti kaH ayam
   nūtanaḥ pratīyamāno nāma /	nUtanaH pratIyamAnaH nAma /
   ucyate--lakṣaṇīyasyārthasya nānātve 'pi,	ucyate--lakzaNIyasya-arTasya nAnAtve api,
   anekārthaśabdābhidheyavanniyatatvameva /	aneka-arTa-Sabda-aBiDeya-vat-niyata-tvam-eva /
   na khalu mukhyenārthenāniyatasaṃbandho lakṣayituṃ śakyate /	na Kalu muKyena-arTena-aniyata-saMbanDaH lakzayitum Sakyate /
   pratīyamānastu prakaraṇādiviśeṣavaśena niyatasaṃbandhaḥ, aniyatasaṃbandhaḥ	pratIyamAnaH-tu prakaraNa-Adi-viSeza-vaSena niyata-saMbanDaH, aniyata-saMbanDaH
   saṃbaddhasaṃbandhasva dyotyate /	saMbadDa-saMbanDasva dyotyate /
   na ca "attā ettha ṇimañjai ettha ahaṃ diahae paloehi /	na ca "attA etTa NimaQjE etTa aham diahae palaH-ehi /
   mā pahia rattiandhaa sejjāe maha ṇimajjahisi // 136" //	mA pahia rattianDaa sejjAe maha Nimajja-hisi // 136" //
   ityādau vivakṣitānyaparavācye dhvanau mukhyārthabādhaḥ /	ityAdO vivakzitAni-apara-vAcye DvanO muKya-arTa-bADaH /
   tatkathamatra lakṣaṇā /	tat-kaTam-atra lakzaNA /
   lakṣaṇāyāmapi vyañjanamavaśyamāśrayitavyamiti pratipāditam /	lakzaNAyAm-api vyaQjanam-avaSyam-ASrayitavyam-iti pratipAditam /
   yathā ca samayasavyapekṣā, abhidhā tathā	yaTA ca samaya-savyapekzA, aBiDA taTA
   mukhyārthabādhāditrayasamayaviśeṣasavyapekṣā lakṣaṇā, ata	muKya-arTa-bADa-Adi-traya-samaya-viSeza-savyapekzA lakzaNA, ata
   evābhidhāpucchabhūtā setyāhuḥ /	eva-aBiDA-pucCa-BUtA sA-iti-AhuH /
   na ca lakṣaṇātmakameva dhvananam tadanugamena tasya darśanāt /	na ca lakzaNa-Atmakam-eva Dvananam tad-anugamena tasya darSanAt /
   na ca tadanugatameva, abhidhāvalambanenāpi tasya bhāvāt /	na ca tad-anugatam-eva, aBiDAvalambanena-api tasya BAvAt /
   na cobhayānusāryeva, avācakavarṇānusāreṇāpi tasya dṛṣṭeḥ, na ca	na ca-uBaya-anusArI-eva, avAcaka-varNa-anusAreNa-api tasya dRzweH, na ca
   śabdānusāryeva, aśabdātmakanetratribhāgāvalokanādigatatvenāpi tasya	Sabda-anusAri-eva, aSabda-Atmaka-netra-tri-BAga-avalokana-Adi-gata-tvena-api tasya
   prasiddheriti, abhidhātātparyalakṣaṇātmakavyāpāratrayātivartī	prasidDeH-iti, aBiDAtAt-parya-lakzaNa-Atmaka-vyApAra-traya-ati-vartI
   dhvananādiparyāyo vyāpāro 'napahnavanīya eva /	Dvanana-Adi-paryAyaH vyApAraH anapahnavanIyaH eva /
   tatra "attā, ettha" ityādau niyatasaṃbandhaḥ "kassa va ṇa hoi roso"	tatra "attA, etTa" iti-AdO niyata-saMbanDaH "kassa vaH Na hoi roso"
   ityādau, aniyatasaṃbandhaḥ /	iti-AdO, aniyata-saMbanDaH /
   "viparīarae lacchī bamhaṃ daṭṭhūṇa ṇāhikamalaṭhṭhaṃ /	"viparIarae lacCI bamham dawWUNa Na-ahi-kamalaWWam /
   hariṇo dāhiṇaṇaaṇaṃ rasāulā jhatti ḍhakkei // 137" //	hariNaH dAhiNaNaaNam rasa-aulA Jatti Xakkei // 137" //
   ityādau saṃbaddhasaṃbandhaḥ /	ityAdO saMbadDa-saMbanDaH /
   atra hi haripadena dakṣiṇanayanasya sūryātmakatā vyajyate tannimīlanena	atra hi hari-padena dakziNa-nayanasya sUrya-Atmaka-tA vyajyate tad-nimIlanena
   sūryāstamayaḥ, tena pajhasya saṃkocaḥ, tato brahnaṇaḥ sthagaman tatra sati	sUrya-astamayaH, tena paJasya saMkocaH, tatas brahnaNaH sTagaman tatra sati
   gopyāṅgasyādarśanena, aniryantraṇaṃ nidhuvanavilasitamiti /	gopya-aFgasya-adarSanena, aniryantraNam niDuvana-vilasitam-iti /
   "akhaṇḍabuddhinirgrāhyo vākyārtha eva vācyaḥ, vākyameva ca vācakam'; iti	"a-KaNxa-budDi-nirgrAhyaH vAkya-arTaH eva vAcyaH, vAkyam-eva ca vAcakam-a; iti
   ye 'pyāhuḥ, tairapyavidyāpadapatitaiḥ padapadārthakalpanā kartavyaiveti	ye api-AhuH, tEH-api-avidyA-pada-patitEH pada-padArTa-kalpanA kartavyA-eva-iti
   tatpakṣe 'pyavaśyamuktodāharaṇādau vidhyādirvyaṅgya eva /	tad-pakze api-avaSya-muktA-udAharaNa-AdO viDi-AdiH-vyaFgyaH eva /
   nanu vācyādasaṃbaddhaṃ tāvanna pratīyate yataḥ kutaśvit yasya	nanu vAcyAt-asaMbadDam tAvat-na pratIyate yatas kutaSvid yasya
   kasyacidarthasya pratīteḥ prasaṅgāt /	kasyacid-arTasya pratIteH prasaFgAt /
   evaṃ ca saṃbandhāt vyaṅgyavyañjakabhāvo 'pratibandhe 'vaśyaṃ na bhavatīti	evam ca saMbanDAt vyaFgya-vyaQjaka-BAvaH apratibanDe avaSyam na Bavati-iti
   vyāptatvena niyatadharminiṣṭhatvena ca trirūpāllihgālliṅgijñānamanumānaṃ	vyApta-tvena niyata-Darmi-nizWa-tvena ca trirUpAt-lihgAt-liFgi-jQAnam-anumAnam
   yat tadrūpaḥ paryavasyati /	yat tad-rUpaH paryavasyati /
   tathāhi-- "bhama dhammia vīsaddho so suṇao ajja mārio teṇa /	taTA-hi- "Bama Dammia vIsadDaH saH suNaaH ajja mAriaH teNa /
   golāṇaikacchakuḍaṃgavāsiṇā dariasīheṇa // 138" //	golANa-ekacCa-kuxaMga-vAsiNA dariasIheNa // 138" //
   atra gṛhe śvanivṛtyā bhramaṇaṃ vihitaṃ godāvarītīre	atra gRhe Sva-ni-vRtyA BramaNam vihitam godAvarI-tIre
   siṃhopalabdherabhramaṇamanumāpayati /	siMha-upalabDeH-aBramaNam-anumApayati /
   yat yat bhīrubhramaṇaṃ tattadbhayakāraṇanivṛcyupalabdhipūrvakaṃ	yat yat BIru-BramaNam tad-tad-Baya-kAraNa-nivRci-upalabDi-pUrvakam
   godāvarītīre ca siṃhopalabdhiriti vyāpakaviruddhopalabdhiḥ /	godAvarI-tIre ca siMha-upalabDiH-iti vyApaka-virudDa-upalabDiH /
   atrocyate--bhīrurapi guroḥ prabhorvā nideśena priyānurāgeṇa, anyena	atra-ucyate--BIruH-api guroH praBoH-vA nideSena priya-anurAgeNa, anyena
   caivaṃbhūtena hetunā satyapi bhayakāraṇe bhramatītyanaikāntiko hetuḥ śuno	ca-evaMBUtena hetunA sati-api Baya-kAraNe Bramati-iti-anEkAntikaH hetuH Suno
   bibhyadapi vīratvena siṃhānna bibhetīti viruddho 'pi godāvarītīre	biByat-api vIra-tvena siMhAn-na biBeti-iti virudDaH api godAvarI-tIre
   siṃhasadbhāvaḥ pratyakṣādanumānādvā na niśvitaḥ, api tu vacanāt na	siMha-sadBAvaH pratyakzAt-anumAnAt-vA na niSvitaH, api tu vacanAt na
   cavacanasya prāmāṇyamasti, arthenāpratibandhādityasiddhaśva	cavacanasya prAmANyam-asti, arTena-apratibanDa-Aditya-sidDa-Sva
   tatkathamevaṃvidhāddhetoḥ sādhyasiddhiḥ /	tat-kaTam-evaMviDAt-hetoH sADya-sidDiH /
   tathā niḥśeṣacyutetyādau gamakatayā yāni candanacyavanādīnyupāttāni tāni	taTA niHSeza-cyuta-ityAdO gamakatayA yAni candana-cyavana-AdIni-upAttAni tAni
   kāraṇāntarato 'pi bhavanti, ataśvātraiva snānakāryatvenoktānīti nopabhoge,	kAraNa-antarataH api Bavanti, ata-Sva-atra-eva snAna-kArya-tvena-uktAni-iti na-upaBoge,
   eva pratibaddhānītyanaikāntikāni /	eva pratibadDAni-iti-anEkAntikAni /
   vyaktivādinā cādhamapadasahāyānāmeṣāṃ vyañjakatvamuktam /	vyakti-vAdinA ca-aDama-pada-sahAyAnAm-ezAm vyaQjaka-tvam-uktam /
   na cātrādhamatvaṃ pramāṇapratipannamiti kathamanumānam /	na ca-atra-aDama-tvam pramANa-pratipannam-iti kaTam-anumAnam /
   evaṃvidhādarthādevaṃvidho 'rtha upapacyanapekṣatve 'pi prakāśate, iti	evaMviDAt-arTAt-evaMviDaH arTaH upapaci-anapekza-tve api prakASate, iti
   vyaktivādinaḥ punastat adūṣaṇam //	vyakti-vAdinaH punar-tat adUzaNam //
   iti kāvyaprakāśe dhavaniguṇībhūtavyaṅgyasaṃkīrṇabhedanirṇayo nāma pañcama	iti kAvya-prakASe Dava-niguNIBUta-vyaFgya-saMkIrNa-BedanirNayaH nAma paQcama
   ullāsaḥ //5//	ullAsaH //5//
   // atha ṣaṣṭha ullāsaḥ //	// aTa zazWaH ullAsaH //
   (sū- 70)	(sU 70)
   śabdārthacitraṃ yatpūrvaṃ kāvyadvayamudāhṛtam /	Sabda-arTa-citram yat-pUrvam kAvya-dvayam-udAhRtam /
   guṇaprādhānyatastatra sthitiśvitrārthaśabdayoḥ //48//	guNa-prADAnyataH-tatra sTiti-Svitra-arTa-SabdayoH //48//
   na tu śabdacitre 'rthasyācitratvam arthacitre vā śabdasya /	na tu Sabda-citre arTasya-acitra-tvam arTa-citre vA Sabdasya /
   tathā coktam "rūpakādiralaṃkārastasyānyairbahudhoditaḥ /	taTA ca-uktam "rUpaka-AdiH-alaMkAraH-tasya-anyEH-bahuDA-uditaH /
   na kāntamapi nirbhūṣaṃ vibhāti vanitānanam //	na kAntam-api nirBUzam viBAti vanita-Ananam //
   rūpakādimalaṃkāraṃ bāhyamācakṣate pare /	rUpaka-Adim-alaMkAram bAhyam-Acakzate pare /
   supāṃ tiṅāṃ ca vyutpattiṃ vācāṃ vāñchantyalaṃkṛtim //	supAm tiFAm ca vyutpattim vAcAm vAQCanti-alaMkRtim //
   tadetadāhuḥ sauśabdyaṃ nārthanyutpattirīdṛśī /	tat-etat-AhuH sOSabdyam na-arTani-utpattiH-IdRSI /
   śabdābhidheyālaṃkārabhedādiṣṭaṃ dvayaṃ tu naḥ" //	Sabda-aBiDeya-alaMkAra-Beda-At-izwam dvayam tu naH" //
   iti //	iti //
   śabdacitraṃ yathā prathamamaruṇacchāyastāvattataḥ kanakaprabha- stadanu	Sabda-citram yaTA praTamam-aruNa=-CAyaH-tAvat-tatas kanaka-praBa stadanu
   virahottāmyattanvīkapolataladyutiḥ /	viraha-uttAmyat-tanvI-kapola-tala-dyutiH /
   udayati tato dhvāntadhvaṃsakṣamaḥ kṣaṇadāmukhe	udayati tatas DvAnta-DvaMsa-kzamaH kzaNadA-muKe
   sarasabisinīkandacchedacchavirmṛgalāñchanaḥ // 139 //	sarasa-bisinI-kanda=-Ceda=-CaviH-mRga-lAQCanaH // 139 //
   arthacitraṃ yathā te dṛṣṭimātrapatitā api kasya nātra kṣobhāya	arTa-citram yaTA te dRzwi-mAtra-patitAH api kasya na-atra kzoBAya
   pakṣmaladṛśāmalakāḥ khalāśva /	pakzmala-dRSa-AmalakAH KalASva /
   nīyāḥ sadaiva savilāsamalīkalagnā ye kālatāṃ kuṭilatāmiva na tyajanti //	nIyAH sadA-eva sa-vilAsa-malI-ka-lagnAH ye kAlatAm kuwila-tAm-iva na tyajanti //
   yadyapi sarvatra kāvye 'ntataḥ, vibhāvādirūpatayaiva paryavasānam tathāpi	yadi-api sarvatra kAvye antatas-, viBAva-Adi-rUpa-tayA-eva paryavasAnam taTA-api
   sphuṭasya rasasyānupalambhādavyaṅgyametatkāvyadvayamuktam /	sPuwasya rasasya-anupalamBAt-avyaFgyam-etat-kAvya-dvayam-uktam /
   atra ca śabdārthālaṃkārabhedādbahavo bhedāḥ, te cālaṃkāranirṇaye	atra ca Sabda-arTa-alaMkAra-BedAt-bahavaH BedAH, te ca-alaMkAra-nirNaye
   nirṇeṣyante //	nirNezyante //
   iti kāvyaprakāśe śabdārthacitranirūpaṇaṃ nāma ṣaṣṭha ullāsaḥ //6 //	iti kAvya-prakASe SabdArTacitranirUpaNam nAma zazWaH ullAsaH //6 //
   // atha saptama ullāsaḥ //	// aTa saptamaH ullAsaH //
   kāvyasvarūpaṃ nirūpya doṣāṇāṃ sāmānyalakṣaṇamāha (sū- 71)	kAvya-svarUpam nirUpya dozANAm sAmAnya-lakzaNam-Aha (sU 71)
   muśyārthahatirdeṣo rasaśva mukhyastadāśrayādvācyaḥ /	muSya-arTa-hatiH-dezaH rasa-Sva muKyaH-tad-ASrayAt-vAcyaH /
   ubhayopayoginaḥ syuḥ śabdādyāstena teṣvapi saḥ //49//	uBaya-upayoginaH syuH Sabda-AdyAH-tena tezu-api saH //49//
   hatīrapakarṣaḥ /	hatIH-apakarzaH /
   śabdādyāḥ, ityādyagrahaṇādvarṇaracane /	Sabda-AdyAH, iti-Adya-grahaNAt-varNa-racane /
   viśeṣalakṣaṇamāha (sū- 72)	viSeza-lakzaNam-Aha (sU 72)
   duṣṭaṃ padaṃ śrutikaṭu cyutasaṃskṛtyapra yuktamasamartham /	duzwam padam Sruti-kawu cyuta-saMskRtyapra yuktam-asamarTam /
   nihatārthamanucitārthaṃ nirarthakamavācakaṃ tridhāślīlam //50//	nihata-arTam-anucita-arTam nirarTakam-avAcakam triDA-SlIlam //50//
   saṃdigdhamapratītaṃ grāmyaṃ noyārthamatha bhavet kliṣṭam /	saMdigDam-apratItam grAmyam noya-arTam-aTa Bavet klizwam /
   avimṛṣṭavidheyāṃśaṃ virudvamatikṛtsamāsagatameva //51//	avimRzwa-viDeya-aMSam virudvam-ati-kRt-samAsa-gatam-eva //51//
   (1) "śrutikaṭu'; paruṣavarṇarūpaṃ duṣṭaṃ yathā	(1) "Sruti-kawu-a; paruza-varNa-rUpam duzwam yaTA
   anaṅgamaṅgalagṛhāpāṅgabhaṅgitaraṅgitaiḥ /	anaFga-maFgala-gRha-apAFga-BaFgi-taraFgitEH /
   āliṅgitaḥ sa tanvaṅgyā kārtārthyaṃ labhate kadā // 141 //	AliFgitaH sa tanvaFgyA kArtArTyam laBate kadA // 141 //
   atra kārtārthyamiti //	atra kArtArTyam-iti //
   (2) "cyutasaṃskṛti'; vyākaraṇalakṣaṇahīnaṃ yathā	(2) "cyuta-saMskRti-a; vyAkaraNa-lakzaNa-hInam yaTA
   etanmandavipakvatindukaphalaśyāmodarāpāṇḍara- prāntaṃ hanta	etat-manda-vipakva-tinduka-Pala-SyAma-udara-ApANxara prAntam hanta
   pulindasundarakarasparśakṣamaṃ lakṣyate /	pulinda-sundara-kara-sparSa-kzamam lakzyate /
   tat pallīpatiputri kuñjarakulaṃ kumbhābhayābhyarthanā- dīnaṃ	tat pallI-pati-putri kuQjara-kulam kumBa-aBaya-aByarTanA dInam
   tvāmanunāthate kucayugaṃ patrāvṛtaṃ mā kṛthāḥ // 142 //	tvAm-anunATate kuca-yugam patra-AvRtam mA kRTAH // 142 //
   atrānunāthate, iti /	atra-anunATate, iti /
   "sarpiṣo nāthate'; ityādāvivāśiṣyeva nāthaterātmanepadaṃ vihitam "āśiṣi	"sarpizaH nATate-a; iti-AdO=-ivASizI-eva nATateH-Atmanepadam vihitam "ASizi
   nāthaḥ" iti /	nATaH" iti /
   atra tu yācanamarthaḥ /	atra tu yAcanam-arTaH /
   tasmāt "anunāthati stanayugam'; iti paṭhanīyam /	tasmAt "anunATati stana-yugam-a; iti paWanIyam /
   (3) "aprayuktaṃ'; tathā, āmnātamapi kavibhirnādṛtam /	(3) "a-prayuktaM-a; taTA, AmnAtam-api kaviBiH-na-AdRtam /
   yathā yathāyaṃ dāruṇācāraḥ sarvadaiva vibhāvyate /	yaTA yaTA-ayam dAruNa-AcAraH sarvadA-eva viBAvyate /
   tathā manye daivato 'sya piśāco rākṣaso 'tha vā // 143 //	taTA manye dEvataH asya piSAcaH rAkzasaH aTa vA // 143 //
   atra daivataśabdo "daivatāni puṃsi vā'; iti puṃsyāmnāto 'pi na	atra dEvata-SabdaH "dEvatAni puMsi vA-a; iti puMsi-AmnAtaH api na
   kenacitprayujyate /	kenacid-prayujyate /
   (4) "asamarthaṃ'; yattadarthaṃ paṭhyate na ca tatrāsya śaktiḥ /	(4) "a-samarTaM-a; yat-tad-arTam paWyate na ca tatra-asya SaktiH /
   yathā tīrthāntareṣu snānena samupārjitasatkṛtiḥ /	yaTA tIrTa-antarezu snAnena samupArjita-satkRtiH /
   sunasrotasvinīmeṣa hanti saṃprati sādaram // 144 //	su-nasrotasvinIm-eza hanti saMprati sa-Adaram // 144 //
   atra hantīti gamanārtham //	atra hanti-iti gamana-arTam //
   (5) "nihatārthaṃ'; yadubhayārthamaprasiddhe 'rthe prayuktam /	(5) "nihata-arTaM-a; yad-uBaya-arTam-aprasidDe arTe prayuktam /
   yathā yāvakarasārdrapādaprahāraśoṇitakacena dayitena /	yaTA yAvakarasa-Ardra-pAda-prahAra-SoNita-kacena dayitena /
   mugdhā sādhvasataralā vilokya paricumbitā sahasā // 145 //	mugDA sADvasa-taralA vilokya paricumbitA sahasA // 145 //
   atra śoṇitaśabdasya rudhiralakṣaṇenārthenoñjvalīkṛtatvarūpo 'rtho	atra SoNita-Sabdasya ruDira-lakzaNena-arTena-uQjvalIkRta-tva-rUpaH arTaH-
   vyavadhīyate /	vyavaDIyate /
   (6) "anucitārthaṃ'; yathā tapasvibhiryā sucireṇa labyate prayatnataḥ	(6) "anucita-arTaM-a; yaTA tapasviBiH-yA su-cireNa labyate prayatnataH
   sattribhiriṣyate ca yā /	sattriBiH-izyate ca yA /
   prayānti tāmāśu gatiṃ yaśasvino raṇāsvamedhe paśutāmupāgatāḥ // 146 //	prayAnti tAm-ASu gatim yaSasvinaH raNAsu-ameDe paSu-tAm-upAgatAH // 146 //
   atra paśupadaṃ kātaratāmabhivyanaktītyanucitārtham //	atra paSupadam kAtara-tAm-aBivyanakti-iti-anucita-arTam //
   (7) "nirarthakaṃ'; pādapuraṇamātraprayojanaṃ cādipadam /	(7) "nirarTa-kaM-a; pAda-puraNa-mAtra-prayojanam ca-Adi-padam /
   yathā utphullakamalakesaraparāgagauradyute mama hi gauri /	yaTA utPulla-kamala-kesara-parAga-gOradyute mama hi gOri /
   abhivāñchitaṃ prasiddhyatu bhagavati yuṣmatprasādena // 147 //	aBivAQCitam prasidDyatu Bagavati yuzmad-prasAdena // 147 //
   atra hiśabdaḥ //	atra hi-SabdaH //
   (8) "avācakaṃ'; yathā avandhayakopasya vihanturāpadāṃ bhavanti vaśyāḥ	(8) "avAcakaM-a; yaTA avanDaya-kopasya vihantuH-ApadAm Bavanti vaSyAH
   svayameva dehinaḥ /	svayam-eva dehinaH /
   amarṣaśūnyena janasya jantunā na jātahārdena na vidviṣādaraḥ // 148 //	amarza-SUnyena janasya jantunA na jAta-hArdena na vidvizAdaraH // 148 //
   atra jantupadamadātaryarthe vivakṣitam tatra ca nābhidhāyakam /	atra jantu-pada-madAtari-arTe vivakzitam tatra ca na-aBiDAyakam /
   yathā vā hādhik sā kila tāmasī śaśimukhī dṛṣṭā mayā yatra sā	yaTA vA ha-aDik sA kila tAmasI SaSimuKI dRzwA mayA yatra sA
   tadvicchedarujāndhakāritamidaṃ dagdhaṃ dinaṃ kalpitam /	tad-vicCeda-rujA-anDakAritam-idam dagDam dinam kalpitam /
   kiṃ kurmaḥ kuśale sadaiva vidhuro dhātā na cettatkathaṃ tādṛgyāmavatīmayo	kim kurmaH kuSale sadA-eva viDuraH DAtA na ced-tat-kaTam tAdRS-yAmavatImayaH-
