   īśvarasiddhiḥ /	ISvara-sidDiH /
   pariṣvaktasyaiva jīvasya gatyādireṣṭavyā / tānyevendriyaprāṇasaṃsṛṣṭāni	parizvaktasya-eva jIvasya gati-AdirezwavyAH / tAni-eva-indriya-prANa-saMsRzwAni
   sūkṣmadeha ucyate / tathā ca kartuḥ śarīratvaniyame na vyabhicāra iti cet	sUkzma-dehaH ucyate / taTA ca kartuH SarIra-tva-niyame na vyaBicAraH iti ced-
   ; atra brūmaḥ / evamapi sthūlaśarīravattvaniyame 'naikāntyaṃ sthitameva /	; atra brUmaH / evam-api sTUla-SarIra-vat-tva-niyame anEkAntyam sTitam-eva /
   sūkṣmasya tu na mukhyaṃ śarīratvam / amukhyaṃ ca tadīśvaraṃ prati	sUkzmasya tu na muKyam SarIra-tvam / amuKyam ca tat-ISvaram prati
   paramāṇūnāmapyakṣuṇṇameva / tathāhi nyāyācāryodayanaḥ paramāṇūnāmīśvara	paramANUnAm-api-akzuNNam-eva / taTA-hi nyAya-AcArya-udayanaH paramANUnAm-ISvara
   śarīratvamuśatīti /	SarIra-tvam-uSati-iti /
   evaṃ śarīropādāne kartṛtvaṃ jīvasyā śarīrasyaiveti samarthya śarīrapreraṇe	evam SarIra-upAdAne kartR-tvam jIvasyA SarIrasya-eva-iti samarTya SarIra-preraNe
   kartṛtvamapyaśarīrasyaivetyāha 'kiñce' ti / adhitiṣṭhataḥ-pravartayataḥ	kartR-tvam-api-aSarIrasya-eva-iti-Aha akiQce-a ti / aDitizWataH--pravartayataH
   adhiṣṭhātṛdehānupraveśaḥ adhiṣṭhātṛtāvacchedakaghaṭakatā /	aDizWAtR-deha-anupraveSaH aDizWAtR-tAvat-Cedaka-Gawaka-tA /
   śarīramadhitiṣṭhato 'dhiṣṭhātṛtāvacchedakaṃ saṅkalpādireva, na tu	SarIram-aDitizWataH aDizWAtR-tA-avacCedakam saFkalpa-AdiH-eva, na tu
   taccharīramapi / adhiṣṭhānakarmībhūtasya kāṣṭhāde	tat-SarIram-api / aDizWAna-karmIBUtasya kAzWa-Ade
   stacchettṛtāvacchedakatvaṃ yathā na tadvaditi bhāvaḥ / nanu	stat-CettR-tAvat-Cedaka-tvam yaTA na tadvat-iti BAvaH / nanu
   svādhiṣṭhātṛsambaddhasya dehasya kathaṃ nādhiṣṭhātṛtāvacchedakatā ? iti	sva-aDizWAtR-sambadDasya dehasya kaTam na-aDizWAtR-tAvat-Cedaka-tA ? iti
   śaṅkate 'adhitiṣṭhāsite' ti / pariharati 'astveke' ti / 'ekatattve' ti	SaFkate aaDitizWa-asite-a ti / pariharati aastu-eke-a ti / aeka-tattve-a ti
   prācīnamudritapāṭho na saṃśuddhaḥ / 'ekatastvasaṃbaddhasye' ti vānyathā vā	prAcIna-mudrita-pAWaH na saMSudDaH / aekatastu-asaMbadDasye-a ti vA-anyaTA vA
   pāṭhaḥ saṃbhāvyate / atyantato 'sambaddhasyādhiṣṭheyena	pAWaH saMBAvyate / atyantataH asambadDasya-aDizWeyena
   tadadhiṣṭhātṛtvasya kāṣṭhāsaṃbaddhasya kuṭhārasya	tad-aDizWAtR-tvasya kAzWA-saMbadDasya kuWArasya
   cchettṛtvasyevāsaṃbhavādadhiṣṭheyasambandhinādhiṣṭhātrā bhavitavyamityeva	cCettR-tvasya-iva-asaMBavAt-aDizWeya-sambanDinA-aDizWAtrA Bavitavyam-iti-eva
   niyamaḥ, na tu dehasaṃbandhinā bhāvyamitīti bhāvaḥ / preraṇaṃ prati	niyamaH, na tu deha-saMbanDinA BAvyam-iti-iti BAvaH / preraNam prati
   preryasambandha eva hetuḥ na dehasambandha ityatra niyāmakaṃ pṛcchati	prerya-sambanDaH eva hetuH na deha-sambanDaH iti-atra niyAmakam pRcCati
   'kuta' iti / tadvadati 'yata' iti / adhiṣṭhīyamānaṃ-pravartyamānam /	akuta-a iti / tat-vat-ati ayata-a iti / aDizWIyamAnaM-pravartyamAnam /
   svasaṃbandhinā-preryasaṃyoginā / hastādi viśeṣyamatra /	sva-saMbanDinA--prerya-saMyoginA / hasta-Adi viSezyam-atra /
   ayamāśayaḥ-śarīriṇa eva pravartakatvamiti na niyamaḥ / hastāderapi	ayam-ASayaH--SarIriNaH eva pravartaka-tvam-iti na niyamaH / hasta-AdeH-api
   mānadaṇḍādipravartakatvāt / preryasaṃbandhina eva prerakatvamiti ta	mAna-daNxa-Adi-pravartaka-tvAt / prerya-saMbanDinaH eva preraka-tvam-iti ta
   saṃbhavati, hastāderapi preryasambandhāditi /	saMBavati, hasta-AdeH-api prerya-sambanDAt-iti /
   śaṅkate 'athe' ti / pravartanaṃ nāma paravyāpāraprayojakaprayatnavattvam /	SaFkate aaTe-a ti / pravartanam nAma para-vyApAra-prayojaka-prayatna-vat-tvam /
   tacca puruṣasyaiva / sa ca svahastavyāpāreṇa mānadaṇḍādi pravartayati /	tat-ca puruzasya-eva / sa ca sva-hasta-vyApAreNa mAna-daNxa-Adi pravartayati /
   tathā ca dehatadavayavabhinnavastupravartane	taTA ca deha-tad-avayava-Binna-vastu-pravartane
   dehahastādivyāpārāpekṣāsyeveti neśvarasyānākṛteḥ paramāṇvādyadhiṣṭhātṛtvaṃ	deha-hasta-Adi-vyApAra-apekzAsi-eva-iti na-ISvarasya-anAkRteH paramANu-Adi-aDizWAtR-tvam
   saṃbhavatītyāśayaḥ śaṅkituḥ / imamapi niyamamanaikāntyenaiva dūṣayati	saMBavati-iti-ASayaH SaFkituH / imam-api niyamam-anEkAntyena-eva dUzayati
   'tadapi ne' ti / saṅkalpagaruḍadhyānādimānasavyāpāramātreṇa	atat-api ne-a ti / saFkalpa-garuxa-DyAna-Adi-mAnasa-vyApAra-mAtreNa
   hastādivyāpāraṃ vināpi	hasta-Adi-vyApAram vinA-api
   paraśarīrasthaviṣanivartanādidarśanāddehatadavayavavyatiriktādhiṣṭhāne	para-SarIra-sTa-viza-nivartana-Adi-darSanAt-deha-tad-avayava-vyatirikta-aDizWAne
   dehādivyāpārāpekṣāniyamo nāstītyarthaḥ / preryasaṃbandho 'pyatra	deha-Adi-vya-apAra-apekzA-niyamaH na-asti-iti-arTaH / prerya-saMbanDaH api-atra
   prerakasya jñānadvāraka eveti ca bodhyam / punaḥ śaṅkate	prerakasya jQAna-dvArakaH eva-iti ca boDyam / punar SaFkate
   'katham' iti / janyajñānādau dehasya hetutvāditi bhāvaḥ / antarnihitottara	akaTam-a iti / janya-jQAna-AdO dehasya hetu-tvAt-iti BAvaH / antar-nihita-uttara
   ākṣipati 'ki' miti / dehasya kiṃ saṅkalpe kartṛtvam ? yena yena tadabhāve	Akzipati aki-a miti / dehasya kim saFkalpe kartR-tvam ? yena yena tad-aBAve
   saṅkalpo na ghaṭetetyarthaḥ / śaṅkate 'karaṇa' miti / tatra karaṇaṃ	saFkalpaH na Gaweta-iti-arTaH / SaFkate akaraNa-a miti / tatra karaNam
   śarīramiti cenna, manasa eva karaṇatvādityarthaḥ / tathā ca śarīrābhāve	SarIram-iti ced-na, manasaH eva karaNa-tvAt-iti-arTaH / taTA ca SarIra-aBAve
   'pi svahetoreva saṅkalpo bhaviṣyatīti bhāvaḥ / nanu manasaḥ karaṇatve 'pi	api sva-hetoH-eva saFkalpaH Bavizyati-iti BAvaH / nanu manasaH karaNa-tve api
   janyajñānādau dehasyāpyastyevāpekṣāvacchedakatayeti cedatra	janya-jQAna-AdO dehasya-api-asti-eva-apekzA-avacCedaka-tayA-iti ced-atra
   brūmaḥ-baddhajñānādāveva dehāpekṣā, nānyatra / 'manasaivaitān kāmān paśyan	brUmaH--badDa-jQAna-AdO=-eva deha-apekzA, na-anyatra / amanasA-eva-etAn kAmAn paSyan
   ramateya ete brahmaloke' 'manasaiva jagatsṛṣṭi'-mityādinā muktasyeśvarasya	ramateyaH ete brahma-loke-a amanasA-eva jagat-sRzwi-a-m-iti-AdinA muktasya-ISvarasya
   ca manovattvaṃ, tata eva jñānasaṅkalpādikaṃ ca pratīyate / taddehavigame	ca manovat-tvan, tatas eva jQAna-saFkalpa-Adikam ca pratIyate / tad-deha-vigame
   'pi manaso nityendriyatvopagamādeva śarīrānapekṣasaṅkalpādyupapattiriti /	api manasaH nitya-indriya-tva-upagamAt-eva SarIra-anapekza-saFkalpa-Adi-upapattiH-iti /
   īśvare nityajñānacikīrṣāprayatnavādināṃ tārkikāṇāṃ mate tu na tarāṃ	ISvare nitya-jQAna-cikIrzA-prayatna-vAdinAm tArkikANAm mate tu na tarAm
   śarīrādyapekṣā / atra manovattvāgantukasaṅkalpādisamarthanaṃ tu	SarIra-Adi-apekzA / atra manovattva-Agantuka-saFkalpa-Adi-samarTanam tu
   tadekadeśimatena vā siddhāntacchāyayā veti bodhyam / manovattve	tat-eka-deSi-matena vA sidDAnta=-CAyayA vA-iti boDyam / manovat-tve
   'niṣṭaprasaṅgaṃ śaṅkate 'nanvevam' iti / manovattvasya	anizwa-prasaFgam SaFkate ananu-evam-a iti / manovat-tvasya
   śarīritvādivyāpyatayā śarīritvādyāpadyeteśvarasyetyarthaḥ / pariharati	SarIritvA-Adi-vyApya-tayA SarIri-tvA-adi-ApadyeteSvarasya-iti-arTaH / pariharati
   'maivam' iti / samarthakartṛpūrvakatvena kāryatvasya vyāptergṛhītatvāt	amA-evam-a iti / samarTa-kartR-pUrvaka-tvena kAryatvasya vyApteH-gRhIta-tvAt-
   tataḥ kṣityādau sidhyataḥ karturīśvarasyāśarīritvaiśvaryādyeva setsyati	tatas kziti-AdO siDyataH kartuH-ISvarasya-aSarIritvA-ESvarya-Adi-eva setsyati
   'yakṣānurūpo bali' riti nyāyāt / śarīritvādyupagame cāsāmarthyaprasaṅgāt /	ayakza-anurUpaH bali-a riti nyAyAt / SarIri-tvA-Adi-upagame ca-asAmarTya-prasaFgAt /
   yathācaitattathā 'nacāsmadāde' -rityanantaravākye vakṣyate / tathā ceśvare	yaTA-Aca-etat-taTA anacA-asmad-Ade-a -riti-anantara-vAkye vakzyate / taTA ca-ISvare
   śarīratvānaiśvaryādyāpādanaṃ dharmigrāhakamānabādhitamityarthaḥ /	SarIra-tvAnESvarya-Adi-ApAdanam Darmi-grAhaka-mAna-bADitam-iti-arTaH /
   draḍhimnaiva-dṛḍhatayaiva / 'samarthakartṛkatvārthadraḍhimnaive'ti	draXimnA-eva--dRXa-tayA-eva / asamarTa-kartRka-tva-arTa-draXimna-eve-ati
   samastapāṭhaḥ sādhīyān / manasaḥ śarīritvādivyāpyatvamapi nirākaroti	samasta-pAWaH sADIyAn / manasaH SarIritvA-Adi-vyApya-tvam-api nirAkaroti
   'manasa' iti / sarīrābhāve 'pi prāyaṇāvāntaralayādau nityendriyatayā	amanasa-a iti / sarIra-aBAve api prAyaNa-avAntara-laya-AdO nitya-indriya-tayA
   manasaḥ sattvātkālāvacchedena śarīravyāpyatvaṃ manaso nāstītyarthaḥ /	manasaH sattvAt-kAla-avacCedena SarIra-vyApya-tvam manasaH na-asti-iti-arTaH /
   nanvevamapi saśarīrasyaiva kartṛtvaṃ tatra tatra dṛṣṭāmiti	nanu-evam-api sa-SarIrasya-eva kartR-tvam tatra tatra dRzwAm-iti
   śarīrikartṛkatvena vyāptiḥ kāryatvasya kuto na gṛhyata ityatrāha	SarIri-kartRka-tvena vyAptiH kAryatvasya kutas na gRhyate iti-atra-Aha
   'yāvaddhī' ti / dṛṣṭānuguṇaṃ kāryānugumatvena dṛṣṭamata eva vyāptyupayogi	ayAvat-DI-a ti / dRzwa-anuguNam kArya-anuguma-tvena dRzwam-atas eva vyApti-upayogi
   thadrūpaṃ tadavacchinnenaiva vyāptireṣṭavyā / jñānaśaktyoreva ca	Tat-rUpam tad-avacCinnena-eva vyAptiH-ezwavyAH / jQAna-SaktyoH-eva ca
   kāryānugumatā / te yadyapi karmaparavaśe kulālādau śarīrādhīne ; naitāvatā	kArya-anugumatA / te yadi-api karma-para-vaSe kulAla-AdO SarIra-aDIne ; na-etAvatA
   śarīrādervyāpakatāvacchedakakoṭiniveśa iti bhāvaḥ /	SarIra-AdeH-vyApaka-tAvacCedaka-kowi-niveSaH iti BAvaH /
   evamanabhimatāpadakatvaṃ parihṛtam / athābhimataviśeṣasiddhiprakāraṃ	evam-anaBimatA-padaka-tvam parihRtam / aTa-aBimata-viSeza-sidDi-prakAram
   prapañcayati 'na cāsmadāde' riti / aparyantavistārasya anavadhikāyāmavato	prapaQcayati ana ca-asmad-Ade-a riti / aparyanta-vistArasya anavaDikAyAm-avataH-
   'paricchinnasya prādeśikaśarīrakaḥ parimitadeśavartiparicchinnamūrtimān /	aparicCinnasya prAdeSika-SarIrakaH parimita-deSa-varti-paricCinna-mUrtimAn /
   alaṃ-samarthaḥ / śiṣṭaṃ spaṣṭam /	alaM-samarTaH / Sizwam spazwam /
   śaṅkate 'īdṛśene' ti / akarmavaśyatvāśarīritvasarvajñatvādiviśiṣṭakartrā	SaFkate aIdRSene-a ti / akarma-vaSya-tva-aSarIri-tva-sarvajQa-tva-Adi-viSizwa-kartrA
   kāryatvasyāvinābhāvo ghaṭādau na dṛṣṭa iti śaṅkiturbhāvaḥ /	kAryatvasya-AvinA-BAvaH Gawa-AdO na dRzwaH iti SaFki-tuH-BAvaH /
   sāmānyadharmāvacchinnavyāptigrahādeva	sAmAnya-Darma-avacCinna-vyApti-grahAt-eva
   pakṣadharmatābalasahakārātpakṣīyasādhya viśeṣasiddhiriti hārdena	pakza-DarmatA-bala-sahakArAt-pakzIya-sADya viSeza-sidDiH-iti hArdena
   pratibandīmāha 'atigahane' ti / śaṅkiturmukhenaiva parahāraṃ vācayati	pratibandIm-Aha aati-gahane-a ti / SaFkituH-muKena-eva para-hAram vAcayati
   'yādṛśa' iti / yādṛśaḥ-atijaḍilaganatalanicumbisantata-	ayAdRSa-a iti / yAdRSaH--ati-jaxila-gana-tala-nicumbi-santata-
   santanyamānadhārārūpaḥ / tādṛśaḥmahāvahniḥ / 'ta' diti /	santanyamAna-DArA-rUpaH / tAdRSaH-mahA-vahniH / ata-a diti /
   niruktavidhamahādhūmajananasamartha ityarthaḥ / atra	niruktaviDa-mahA-DUma-janana-samarTaH iti-arTaH / atra
   'tādṛśatatsaṃpādanasamartha' iti samastapāṭhaḥ syādvā / uttarataulyamāha	atAdRSa-tad-saMpAdana-samarTa-a iti samasta-pAWaH syAt-vA / uttara-tOlyam-Aha
   'tadidam' iti / yathā deśakālaparimāṇādiviśeṣo	atat-idam-a iti / yaTA deSa-kAla-parimANa-Adi-viSezaH-
   vahneranaikāntyāddhūmavyāpakatāvacchedakaghaṭako na bhavati,	vahneH-anEkAntyAt-DUma-vyApaka-tAvacCedaka-GawakaH na Bavati,
   kintvādrendhanayugvahnitvamātraṃ tathā, evaṃ manuṣyatvādi sahacaritamipi	kintvA-adra-inDana-yuj-vahni-tva-mAtram taTA, evam manuzya-tva-Adi sahacaritam-ipi
   na kartṛtāvacchedakakoṭighaṭakam / anyatrāpi kartṛtvadarśanāt / kintu	na kartR-tA-avacCedaka-kowi-Gawakam / anyatra-api kartR-tva-darSanAt / kintu
   sāmarthyamātraṃ tathetyāha 'yathaive' ti / dhūmātparvate	sAmarTya-mAtram taTA-iti-Aha ayaTA-eve-a ti / DUmAt-parvate
   vahniviśeṣānumānāt kāryatvāt kṣityādau kartṛviśeṣānumānasya na	vahni-viSeza-anumAnAt kAryatvAt kziti-AdO kartR-viSeza-anumAnasya na
   vailakṣaṇyam / yathā tatrābhimataviśeṣasiddhistathā prakṛte 'pīte bhāvaḥ /	vElakzaNyam / yaTA tatra-aBimata-viSeza-sidDiH-taTA prakRte api-Ite BAvaH /
   atha sapakṣadarśanamātreṇa sarvadharmāpādane pratibandī vivakṣurāha 'api	aTa sa-pakza-darSana-mAtreNa sarva-Darma-ApAdane pratibandI vivakzuH-Aha aapi
   ce' ti / vibhudravyasaṃyogina ityanenāvibhutvaṃ manaso vivakṣitam /	ce-a ti / viBu-dravya-saMyoginaH iti-anena-aviBu-tvam manasaH vivakzitam /
   vibhudvayasaṃyogasya tārkikairanupagamāt /	viBu-dvaya-saMyogasya tArkikEH-anupagamAt /
   jñānādyasamavāyikāraṇasaṃyogāśrayatayā manaḥsiddhirita jñānetyādiviśeṣaṇam	jQAna-Adya-samavAyi-kAraNa-saMyoga-ASraya-tayA manaH-sidDiH-ita jQAna-ityAdi-viSezaNam
   / ātmamanaḥsaṃyogasyaiva hi jñānādāvasamavāyihetutvaṃ tanmatam /	/ Atma-manaH-saMyogasya-eva hi jQAna-AdO=-asamavAyi-hetu-tvam tat-matam /
   jñānāyaugapadyācca tasyāṇutvaṃ matam, niḥsparśatvaṃ ca / sparśavattve	jQAna-ayOgapadyAt-ca tasya-aNu-tvam matam, niHsparSa-tvam ca / sparSavat-tve
   bhūtatvaprasaṅgāt / bhūtatve cābhūtaviśeṣaguṇagrahakatvāsaṃbhavāt /	BUta-tva-prasaFgAt / BUta-tve ca-aBUta-viSeza-guNa-grahaka-tva-asaMBavAt /
   atrāyaṃ pratitarko vivakṣitaḥ-mano yadi paricchinnaparimāmavat syāt	atra-ayam pratitarkaH vivakzitaH-manaH yadi paricCinna-parimAma-vat syAt-
   kriyāvadvā tarhi sparśavadbhavediti / bhūyaḥ sahacāradṛṣṭasyāpi	kriyAvat-vA tarhi sparSa-vat-Bavet-iti / BUyas sahacAra-dRzwasya-api
   kvacidvyabhicāra ityasyedamekaṃ nidarśanam / atha	kvacid-vyaBicAraH iti-asya-idam-ekam nidarSanam / aTa
   nidarśanamanyatpradarśayati 'kathaṃ ce' ti / aniyatādhiṣṭhāneti	nidarSanam-anyat-pradarSayati akaTam ce-a ti / aniyata-aDizWAna-iti
   padanchedaḥ / yadyapi mahato	padan-CedaH / yadi-api mahataH-
   vāyorgatiśīlasyāniyatādhiṣṭhānatvamudbhūtasparśavattvāt	vAyoH-gati-SIlasya-aniyata-aDizWAna-tvam-udBUta-sparSavat-tvAt
   spārśanapratyakṣatvaṃ ca bhūyo dṛṣṭam / athāpi vāyavīyatvenānumitasya	spArSana-pratyakza-tvam ca BUyas dRzwam / aTa-api vAyavIya-tvena-anumitasya
   dehavyāpinastvagindriyasya niyatādhiṣṭhānatvamaspārśanatvaṃ cābhimatam /	deha-vyApinaH-tvac-indriyasya niyata-aDizWAna-tvam-aspArSana-tvam ca-aBimatam /
   atra pratitarkaḥ-tvaco vāyavīyamahatkāryatve udbhūtasparśavattvādi	atra pratitarkaH-tvacaH vAyavIya-mahat-kArya-tve udBUta-sparSavat-tva-Adi
   bhavediti / nidarśanāntaraṃ 'taijasasye' ti / kāryatejaso mahimaguṇavato	Bavet-iti / nidarSana-antaram atEjasasye-a ti / kArya-tejasaH mahima-guNavataH-
   rūpasparśayorudbhūtatvaṃ jvalanādau / sparśamātrasyodbhūtatvaṃ	rUpa-sparSayoH-udBUta-tvam jvalana-AdO / sparSa-mAtrasya-udBUta-tvam
   bharjjitakapālavahnyādau / rūpamātrasyodbhūtatvaṃ prabhādau / evaṃ	Barjjita-kapAla-vahni-AdO / rUpa-mAtrasya-udBUta-tvam praBA-AdO / evam
   rūpasparśaubhayatadanyatarodbhavasya bhūyo dṛṣṭatve 'pi cakṣuṣo rūpadiṣu	rUpa-sparSa-OBaya-tad-anyatara-udBavasya BUyas dRzwa-tve api cakzuzaH rUpa-dizu
   rūpādiṣu	rUpa-Adizu
   rūpamātravyañjakatvenānumitataijasabhāvasya tadubhayānudbhavaḥ	rUpa-mAtra-vyaQjaka-tvena-anumita-tEjasa-BAvasya tad-uBayAn-udBavaH
   kathamityarthaḥ / cakṣuṣaḥ taijasamahatkaryatve rūpasparśānyatarodbhavaḥ	kaTam-iti-arTaH / cakzuzaH tEjasa-mahat-karya-tve rUpa-sparSa-anyatara-udBavaH
   syāditi prasaṅgo 'tra bodhyaḥ / pratitarkāṇāmābhāsatvamityāśayena	syAt-iti prasaFgaH atra boDyaH / pratitarkANAm-ABAsa-tvam-iti-ASayena
   prativakti paraḥ 'atha 'ti /	prativakti paraH aaTa ati /
   tattadviśeṣāṇām-udbhūtarūpasparśānyataraspārśanatvasparśavattvādīnāṃ	tad-tad-viSezANAm--udBUta-rUpa-sparSa-anyatara-spArSana-tva-sparSavat-tva-AdInAm
   bhūyaḥ / sahacāradarśanamātreṇa cakṣurādāvāpād.mānānāṃ	BUyas / sahacAra-darSana-mAtreNa cakzuH-AdO=-ApAd.-mAnAnAm
   yogyānupalambhabādhitatvamiti nāpādakavyāpakatvamāpādyasyeti bhāvaḥ /	yogyA-anupalamBa-bADita-tvam-iti na-ApAdaka-vyApaka-tvam-ApAdyasya-iti BAvaH /
   yadyapi manaso 'ṇutvāttatra sparśavattvasya yogyānupalambhabādho durvacaḥ	yadi-api manasaH aNu-tvAt-tatra sparSavat-tvasya yogyA-anupalamBa-bADaH durvacaH
   / tathāpi tatra tadupagame 'nekaniyamabhaṅgaprasaṅgostyeva / tadāha	/ taTA-api tatra tad-upagame aneka-niyama-BaFga-prasaFga-usti-eva / tat-Aha
   'tadabhyupagama' iti / yathā- manasaḥ sparśavattve bhūtatvaprasaṅgaḥ /	atad-aByupagama-a iti / yaTA manasaH sparSavat-tve BUta-tva-prasaFgaH /
   bhūtatvānupagame sparśavato bhūtatvameveti niyamabhaṅga/ bhūtatvopagame	BUta-tva-anupagame sparSavataH BUta-tvam-eva-iti niyama-BaFga/ BUta-tva-upagame
   cendriyāntaravadabhūtātmaviśeṣaguṇāgrāhaktavāttiḥ / tadgrāhakatvopagame	ca-indriya-antara-vat-aBUtAtma-viSeza-guNa-agra-AhaktavAttiH / tad-grAhaka-tva-upagame
   cābhūtaviśeṣaguṇāgrāhakatvaniyamasyāpi bhaṅga / iti / evaṃ cakṣurādāvapi	ca-ABUta-viSeza-guNa-AgrAhaka-tva-niyamasya-api BaFgaH / iti / evam cakzuH-AdO=-api
   udbhūtarūpavattvādisvīkāre nānāniyamabhaṅgaprasaṅgo 'nusandheyaḥ / vipakṣe	udBUta-rUpavat-tva-Adi-svIkAre nAnA-niyama-BaFga-prasaFgaH anusanDeyaH / vipakze
   bādhakaviraheṇāpādyāpādakayorvyāpyavyāpakabhāvāsiddhiḥ / tathā ca	bADaka-viraheNa-apAdya-ApAdakayoH-vyApya-vyApaka-BAva-asidDiH / taTA ca
   pratitarkāṇāṃ chinnamūlatvaṃ ca vivakṣitam / 'tathābhyupagama' iti	pratitarkANAm Cinna-mUla-tvam ca vivakzitam / ataTA-aByupagama-a iti
   mana-prabhṛterniḥsparśatvādyabhyupagama ityarthaḥ / tulyanayena kratṛtve	mana--praBRteH-niHsparSa-tva-Adi-aByupagamaH iti-arTaH / tulya-nayena kratR-tve
   saśarīratvamiti niyamo 'pi nāstītyāśayavānāheśvaravādī 'hantatarhī' ti /	sa-SarIra-tvam-iti niyamaH api na-asti-iti-ASa-yavAnAha-ISvara-vAdI ahantatarhI-a ti /
   svasmin prasañjitapratitarkanirākaramayukteḥ	svasmin prasaQjita-pratitarka-nirAkaram-ayukteH
   paramukhenaivānuvācanajanitaharṣadyotako 'yaṃ / hantaśabdaḥ / saśarīratve	para-muKena-eva-anuvAcana-janita-harza-dyotakaH ayam / hanta-SabdaH / sa-SarIra-tve
   śarīradvāropalambhaprasaṅga īśvarasya / kramavattve cāsārvajñyādiprasaṅgaḥ	SarIra-dvAra-upalamBa-prasaFgaH ISvarasya / kramavat-tve ca-asArvajQi-Adi-prasaFgaH
   / prakṛtaṣṭadharmavattvāt sārvajñyādyugamaśca na saṃbhavati /	/ prakRtazwa-Darmavat-tvAt sArvajQyAt-yugamaH-ca na saMBavati /
   sādhānānuṣṭhānarāhityātprakṛṣṭadharmasyānupapatteḥ / īśvarasya sa dharmo	sADAna-anuzWA-narAhityAt-prakRzwa-Darmasya-anupapatteH / ISvarasya sa DarmaH-
   nitya evopeyata iti pakṣe ca dharmasāmānyasya	nityaH eva-upeyate iti pakze ca Darma-sAmAnyasya
   vihitakriyājanyatvaniyamabhaṅgaḥ / akarmatve ceśvarasya saśarīratvāyogaḥ /	vihita-kriyA-janya-tva-niyama-BaFgaH / akarma-tve ca-ISvarasya sa-SarIra-tva-ayogaH /
   taccharīrasya nityatvopagame ca sāvayavatvasya	tat-SarIrasya nitya-tva-upagame ca sAvayava-tvasya
   kāryatvavyāpyatvaniyamabhaṅgaḥ / tathā ca kṣityāderapi	kAryatva-vyApya-tva-niyama-BaFgaH / taTA ca kziti-AdeH-api
   kāryatvāsiddhestatkartṛtveneśvarānumānāyoga iti bahuramūhanīyam /	kAryatva-asidDeH-tad-kartR-tvena-ISvara-anumAnA-yogaH iti bahuram-UhanIyam /
   sahacāramātreṇa kartṛtvasya na saśarīratvādivyāptiḥ, vipakṣe	sahacAra-mAtreNa kartR-tvasya na sa-SarIra-tva-Adi-vya-AptiH, vipakze
   bādhakavirahāditi ca hārdam /	bADaka-virahAt-iti ca hArdam /
   nanu cakṣurādestaijasādibhāve 'pi tattadviśeṣasya pramāṇasiddhatvānna	nanu cakzuH-AdeH-tEjasa-Adi-BAve api tad-tad-viSezasya pramANa-sidDa-tvAt-na
   tadviruddhāpādānasambhavaḥ / naivaṃ tvīśvarīyaviśeṣāṇāṃ mānasiddhatvamiti	tad-virudDa-apAdAna-samBavaH / na-evam tu-ISvarIya-viSezANAm mAna-sidDa-tvam-iti
   cettatrāha 'dṛśyanta' iti / nītayaḥ-nyāyāḥ, anumānāni / īśvare	ced-tatra-Aha adRSyanta-a iti / nItayaH-nyAyAH, anumAnAni / ISvare
   'pyabhimataviśeṣeṣu santi pramāṇānītyarthaḥ tānyeva prapañcayati 'yathā'	api-aBimata-viSezezu santi pramANAni-iti-arTaH tAni-eva prapaQcayati ayaTA-a
   iti / 'tathe' ti pāṭhe tu tathā hi nītayo dṛśyanta ityanvayaḥ /	iti / ataTe-a ti pAWe tu taTA hi nItayaH dRSyante iti-anvayaH /
   tathā-īśvarīyābhimataviśeṣasādhakāḥ / īśvarasya sraṣṭṛtve tādanumānamuktaṃ	taTA-a-ISvarIyA-aBimata-viSeza-sADakAH / ISvarasya srazwR-tve tAdanumAnam-uktam
   pūrvam / tasya	pUrvam / tasya
   pravartayitṛtve tadāha 'paramāṇvādī' ti / vivādāspadamiti	pravartayitR-tve tat-Aha aparamANu-AdI-a ti / vivAda-Aspadam-iti
   pakṣatāsambhavadyotakaṃ viśeṣaṇam / sādhyatadabhāvānyataranirṇaye hi	pakzatA-samBavadyotakam viSezaNam / sADya-tad-aBAva-anyatara-nirNaye hi
   pakṣatātivartate / sādhyatadabāvavattvavipratipattiviṣayībhūtamiti	pakzatA-ativartate / sADya-tad-abAvavat-tva-vipratipatti-vizayIBUtam-iti
   /tadarthaḥ / sādhyavattvena sandihyamānamiti phalitam / sādhyasandehasya	/tad-arTaH / sADyavat-tvena sandihyamAnam-iti Palitam / sADya-sandehasya
   pakṣatātvaṃ prācāṃ matam / siddhisthale 'pyāhāryasaṃśayādevānumitsayā	pakzatA-tvam prAcAm matam / sidDi-sTale api-AhArya-saMSayAt-eva-anumitsayA
   bhavatyanumānamiti bodhyam / preraṇaṃ ca	Bavati-anumAnam-iti boDyam / preraNam ca
   paraprṛttyanuguṇasaṅkalpaprayannavattvalakṣaṇam /	para-prRtti-anuguNa-saFkalpa-prayannavat-tva-lakzaNam /
   paramāṇvādigocarāvīśvarasya saṅkalpaprayatnau prasādhya sākṣātkāramapi	paramANu-Adi-gocarO=-ISvarasya saFkalpa-prayatnO prasADya sAkzAtkAram-api
   tādṛśaṃ sādhayati 'tathe' ti / tadvadeva-kandukādipravṛttivadeva /	tAdRSam sADayati ataTe-a ti / tadvat-eva--kanduka-Adi-pravRtti-vat-eva /
