   Abhidharmasamuccaya	ABiDarma-samuccaya
   / bījasamanvāgamaḥ vaśitāsamanvāgamaḥ samudācārasamanvāgamaśca //	/ bIja-samanvAgamaH vaSitA-samanvAgamaH samudAcAra-samanvAgamaH-ca //
   vījasamanvāgamaḥ katamaḥ / kāmadhātau jāto bhūtaḥ kāmapratisaṃyuktaiḥ	vIja-samanvAgamaH katamaH / kAmaDAtO jAtaH BUtaH kAma-pratisaMyuktEH
   kleśopakleśaiḥ rūpārūpyapratisaṃyuktaiśca kleśopakleśairvījasamancāgamena	kleSa-upakleSEH rUpa-ArUpya-pratisaMyuktEH-ca kleSa-upakleSEH-vIja-samanca-Agamena
   samancāgataḥ upapattiprātilābhikaiśca // kuśalaiḥ // rūpadhātau jāto	samanca-AgataH upapatti-prAtilABikEH-ca // kuSalEH // rUpa-DAtO jAtaH-
   bhūtaḥ kāmapratisaṃyuktaiḥ klaiśopakleśaiḥ vījasamanvāgamena samanvāgato	BUtaH kAma-pratisaMyuktEH klESa-upa-kleSEH vIja-samanvAgamena samanvAgataH-
   'samanvāgataśca vaktavyaḥ / rūpapratisaṃyuktairārūpyapratisaṃyuktaiśca	asamanvAgataH-ca vaktavyaH / rUpa-pratisaMyuktEH-ArUpya-pratisaMyuktEH-ca
   klaiśopakleśaiḥ bījasamanvāgamena samanvāgato 'samanvāgataśca vaktavyaḥ /	klESa-upakleSEH bIja-samanvAgamena samanvAgataH asamanvAgataH-ca vaktavyaH /
   ārūpyapratisaṃ(yu)ktaiḥ kleśopakleśaiḥ bījasamanvāgamena samanvāgataḥ	ArUpya-pratisaM(yu)ktEH kleSa-upakleSEH bIja-samanvAgamena samanvAgataH
   upapatti(prāti)lābhikaiśca kuśalaiḥ // traidhātu kapratipakṣa lābhī yasya	upapatti(-prAti)lABikEH-ca kuSalEH // trEDAtu kapratipakza lABI yasya
   yasya prakārasya pratipakṣa utpannastasya bījasamanvāgamenāsamanvāgataḥ /	yasya prakArasya pratipakzaH utpannaH-tasya bIja-samanvAgamena-asamanvAgataH /
   yasya pratipakṣo notpannastasya bījasamanvāgamena samanvāgataḥ //	yasya pratipakzaH na-utpannaH-tasya bIja-samanvAgamena samanvAgataH //
   vaśitāsamanvāgamaḥ katamaḥ / prayogikānāṃ dharmāṇāṃ vaśitāsamanvāgamena	vaSitA-samanvAgamaH katamaH / prayogikAnAm DarmANAm vaSitA-samanvAgamena
   samanvāgataḥ laukikānāṃ lokottarāṇāṃ vā	samanvAgataH lOkikAnAm loka-uttarANAm vA
   dhyānavimokṣasamādhisamāpattyādīnāṃ tadekatyājāṃ(cā) vyākṛtānām //	DyAna-vimokza-samADi-samApatti-AdInAm tad-eka-tyAjAM(cA) vyAkRtAnAm //
   samudācārasamanvāgamaḥ katamaḥ / skandhadhātvāyatanānāṃ yo ya eva dharmaḥ	samudAcAra-samanvAgamaH katamaH / skanDa-DAtu-AyatanAnAm yaH yaH eva DarmaH
   saṃmukhībhūtaḥ kuśalo vā akuśalo vā avyākṛto vā tasya	saMmuKIBUtaH kuSalaH vE akuSalaH vE avyAkRtaH vA tasya
   samudācārasamanvāgamena samanvāgataḥ // samucchinnakuśalamūlaḥ kuśalānāṃ	samudAcAra-samanvAgamena samanvAgataH // samucCinna-kuSala-mUlaH kuSalAnAm
   dharmāṇāṃ bījasamanvāgamena samanvāgato 'samanvāgataśca vaktavyaḥ //	DarmANAm bIja-samanvAgamena samanvAgataH asamanvAgataH-ca vaktavyaH //
   ātyantikaḥ punaḥ saṃkleśasamanvāgamaḥ aparinirvāṇadharmakāṇāmicchantikānāṃ	AtyantikaH punar saMkleSa-samanvAgamaH aparinirvANa-DarmakANAm-icCantikAnAm
   draṣṭavyaḥ / mokṣahetuvaikalyādātyantika eṣāṃ hetvasamanvāgamaḥ //	drazwavyaH / mokza-hetu-vEkalyAt-AtyantikaH ezAm hetu-asamanvAgamaH //
   samanvāgamakuśalaḥ kamanuśaṃsaṃ pratilabhate / ācayāpacayajño bhavati	samanvAgama-kuSalaH kam-anuSaMsam pratilaBate / Acaya-apacaya-jQaH Bavati
   dharmāṇām / tathā ācayāpacayajño na kasyāṃ cillaukikyāṃ saṃpattau vipattau	DarmANAm / taTA Acaya-apacaya-jQaH na kasyAm cillOkikyAm saMpattO vipattO
   vā ekāntikasaṃjñī bhavati yāvadevānunayapratighaprahāṇāya //	vA ekAntika-saMjQI Bavati yAvat-eva-anunaya-pratiGa-prahANAya //
   abhidharmasamuccaye lakṣaṇasamuccayo nāma prathamaḥ samuccayaḥ //	aBiDarma-samuccaye lakzaNa-samuccayaH nAma praTamaH samuccayaH //
   (Abhidh-s 36)	(a-aBiD-H 36)
   [athābhidharmasamuccayaśāstre viniścayasamuccaye satyaparicchedaḥ	[aTa-aBiDarma-samuccaya-SAstre viniScaya-samuccaye satya-paricCedaH
   prathamaḥ // ]	praTamaH // ]
   viniścayaḥ katamaḥ / satyaviniścayo dharmaviniścayaḥ prāptiviniśca	viniScayaH katamaH / satya-viniScayaH Darma-viniScayaH prApti-viniSca
   sāṃkathyaviniścayaśca //	sAMkaTya-viniScayaH-ca //
   satyaviniścayaḥ katamaḥ / catvāyāryasatyāni duḥkhaṃ samudayo nirodho	satya-viniScayaH katamaH / catvAya-Arya-satyAni duHKam samudayaH niroDaH-
   mārgaśca / duḥkhasatyaṃ katasat / tatsattvajanmato janmādhiṣṭānataśca	mArgaH-ca / duHKa-satyam katasat / tad-sattva-janmataH janma-aDizwa-AnataH-ca
   veditavyam / sattvajanma katamat / narakasattvajanmatiryakpreteṣu	veditavyam / sattva-janma katamat / naraka-sattva-janma-tiryak-pretezu
   manuṣyeṣu pūrvavideheṣvapagodānīyeṣu jāmbūdvīpeṣu uttareṣu kuruṣu deveṣu	manuzyezu pUrva-videhezu-apagodAnIyezu jAmbUdvIpezu uttarezu kuruzu devezu
   caturmā(hā)rājakāyikeṣu trāyastriṃśeṣu yāmeṣu tuṣiteṣu nirmāṇaratiṣu	catur-mA(hA)-rAja-kAyikezu trAyastriMSezu yAmezu tuzitezu nirmANaratizu
   paranirmitavaśavartiṣu brahmapurohiteṣu mahābrāhmeṣuparīttābheṣva	paranirmitavaSavartizu brahma-purohitezu mahA-brAhma-izu-parIttABezu-a
   (pramāṇābheṣu ābhāsvareṣu parīttaśubheṣva)pramāṇaśubheṣu	(pramANa-ABezu ABAsvarezu parItta-SuBezva)-pramANa-SuBezu
   śubhakṛtsneṣvanabhrakeṣu puṇyaprasaveṣu vṛhatphaleṣva	SuBa-kRtsnezu-anaBrakezu puNya-prasavezu vRhat-Palezu-a
   saṃjñisattveṣvabṛheṣvatapeṣu sudṛśeṣu	saMjQi-sattvezu-abRhezu-atapezu sudRSezu
   sudarśaneṣvakaniṣṭheṣvākāśānantyāyataneṣu	sudarSanezu-akanizWezu-AkASAnantyAyatanezu
   vijñānānantyāyataneṣvākiñcanyāyataneṣu naivasaṃjñānāsaṃjñāyataneṣu //	vijQAna-AnantyAyatanezu-AkiQcani-Ayatanezu na-eva-saMjQAna-asaMjQA-yatanezu //
   janmādhiṣṭhānaṃ katamat / bhājanalokaḥ / vāyumaṇḍale	janma-aDizWAnam katamat / BAjana-lokaH / vAyu-maNxale
   apmaṇḍalampratiṣṭhitam / apmaṇḍale pṛthivīmaṇḍalam / pṛthivīmaṇḍale	apmaNxalampratizWitam / ap-maNxale pRTivI-maNxalam / pRTivI-maNxale
   sumeruḥ saptakāñcanaparvatāḥ catvāro dvīpāḥ aṣṭāvantaradvīpāḥ abhyantaraḥ	sumeruH sapta-kAQcana-parvatAH catvAraH dvIpAH azwO=-antara-dvIpAH aByantaraH
   samudro vāhyasamudraścatasraḥ sumerupariṣaṇḍāḥ caturmahārājakāyikānāṃ	samudraH vAhya-samudraH-catasraH sumeru-parizaNxAH catur-mahA-rAja-kAyikAnAm
   vāpastriṃśānāṃ sthānāntarāṇi cakracāḍaḥ parvataḥ ākāśe vimānāni yāmānāṃ	vApastriMSAnAm sTAna-antarANi cakracAxaH parvataH AkASe vimAnAni yAmAnAm
   tuṣitānāṃ nirmāṇaratīnāṃ paranirmitavaśavarttināṃ devānāṃ rūpāvacarāṇāṃ ca	tuzitAnAm nirmANa-ratInAm paranirmita-vaSavarttinAm devAnAm rUpAvacarANAm ca
   asurāṇāṃ sthānāntarāṇi nārakāṇāṃ sthānāntarāṇi / uṣṇanarakāḥśītanarakāḥ	asurANAm sTAna-antarANi nArakANAm sTAna-antarANi / uzNa-narakAH-SIta-narakAH
   pratyekanarakāśca tadekatyānāṃ ca tiryakpretānāṃ sthānāntarāṇi	pratyeka-narakAH-ca tad-ekatyAnAm ca tiryak-pretAnAm sTAna-antarANi
   yāvadādityāḥ paricaranto diśo 'vabhāsayante vairocanāstāvatsāhasrake loke	yAvat-AdityAH paricarantaH diSaH avaBAsayante vErocanAH-tAvat-sAhasrake loke
   sahasraṃ candrāṇāṃ sahasraṃ sūryaṇāṃ sahasraṃ sumerūṇāṃ parvatarājāṇāṃ	sahasram candrANAm sahasram sUryaNAm sahasram sumerUNAm parvata-rAjANAm
   sahasraṃ caturṇāṃ dvīpānāṃ sahasraṃ caturmahārājakāyikānāṃ devānāṃ	sahasram caturNAm dvIpAnAm sahasram catur-mahA-rAja-kAyikAnAm devAnAm
   sahasraṃ trāyastriṃśānāṃ sahasraṃ yāmānāṃ sahasraṃ tuṣitānāṃ sahasraṃ	sahasram trAyastriMSAnAm sahasram yAmAnAm sahasram tuzitAnAm sahasram
   nirmāṇaratīnāṃ sahasraṃ paranirmitavaśavarttināṃ sahasraṃ	nirmANa-ratInAm sahasram para-nirmita-vaSavarttinAm sahasram
   brahmalaukikānāmidamucyate sahasracūḍiko lokadhātuḥ // sahasraṃ	brahmalOkikAnAm-idam-ucyate sahasracUxikaH lokaDAtuH // sahasram
   sahasracūḍikānāṃ dhātūnāmucyate dvitīyo (Abhidh-s 37) madhyamasāhasro	sahasra-cUxikAnAm DAtUnAm-ucyate dvitIyaH (A-aBiD-H 37) maDyama-sAhasraH-
   lokadhātuḥ // sahasraṃ madhyamasāhasradhātūnāmucyate tṛtīyo mahāsāhasro	lokaDAtuH // sahasram maDyama-sAhasra-DAtUnAm-ucyate tRtIyaH mahA-sAhasraH-
   lokadhātuḥ / evaṃ sa trisāhasro mahāsāhasro lokadhātuḥ mahācakravāḍa	lokaDAtuH / evam sa tri-sAhasraH mahA-sAhasraH lokaDAtuH mahA-cakravAxa
   parvatamaṇḍala pariveṣṭitaḥ / sa ca trisāhasramahāsāhasro lokadhātuḥ	parvata-maNxala parivezwitaH / sa ca tri-sAhasra-mahA-sAhasraH lokaDAtuH
   saprasaṃvarttavivarttaḥ / tathā ca devaḥ cakrākārān vṛṣṭivindūn nirantaraṃ	sa-prasaMvartta-vivarttaH / taTA ca devaH cakra-AkArAn vRzwi-vindUn nirantaram
   niravacchinna mākāśād varṣati / tathā ca pūrvasyāṃ diśi nirantaraṃ	niravacCit-na mAkASAt varzati / taTA ca pUrvasyAm diSi nirantaram
   niravacchinna mapramāṇo lokadhātuḥ saṃvarttiṣyate vā vivarttiṣyate vā	niravacCit-na mapramANaH lokaDAtuH saMvarttizyate vA vivarttizyate vA
   saṃvarttate vā saṃvṛttastiṣṭhati vā vivarttate vā vivṛttastiṣṭhati vā /	saMvarttate vA saMvRttaH-tizWati vA vivarttate vA vivRttaH-tizWati vA /
   yathā pūrvasyāṃ diśi tathā sarvāsu daśasu dikṣu / yaśca sattvaloko yaśca	yaTA pUrvasyAm diSi taTA sarvAsu daSasu dikzu / yaH-ca sattva-lokaH yaH-ca
   bhājanalokaḥ karmakleśaḥ janitaḥ karmakleśādhipateyaśca sarvamucyate	BAjana-lokaH karma-kleSaH janitaH karma-kleSa-aDipateyaH-ca sarvam-ucyate
   duḥkhasatyam / pariśuddhalokadhātustu na duḥkhasatyasaṃgṛhīḥto na	duHKa-satyam / pariSudDa-lokaDAtuH-tu na duHKa-satya-saMgRhIHtaH na
   karmakleśa janitaḥ na karmakleśādhipateyaśca / kevalaṃ mahāpraṇidhānena	karma-kleSa janitaH na karma-kleSa-aDipateyaH-ca / kevalam mahA-praNiDAnena
   vyavadānakuśalamūlādhipatinā ākṛṣyate tadutpattisthānaṃ cācintyaṃ kevalaṃ	vyavadAna-kuSala-mUla-aDipatinA AkRzyate tad-utpatti-sTAnam ca-acintyam kevalam
   buddhena budhyate na dhyāyināṃ dhyānagocaraḥ kiṃ punaḥ cintayatām //	budDena buDyate na DyAyinAm DyAna-gocaraH kim punar cintayatAm //
   api khalu duḥkhalakṣaṇaprabhedā aṣṭau / "jātirduḥkhaṃ jarā duḥkhaṃ	api Kalu duHKa-lakzaNa-praBedAH azwO / "jAtiH-duHKam jarA duHKam
   vyādhiduḥkhaṃ maraṇaṃ duḥkham apriyasaṃprayogo duḥkhaṃ priyaviprayogo	vyADi-duHKam maraNam duHKam apriya-saMprayogaH duHKam priya-viprayogaH-
   duḥkhaṃ yadapīcchanna labhate tadapi duḥkhaṃ saṃkṣiptena	duHKam yat-api-icCan-na laBate tat-api duHKam saMkziptena
   pañcopādānaskandhā duḥkham" // jātiḥ kimupādāya duḥkham /	paQca-upAdAna-skanDA duHKam" // jAtiH kim-upAdAya duHKam /
   saṃbādhaduḥkhatāṃ tadanyaduḥkhāśrayatāṃ copādāya / jarā kimupādāya duḥkham	saMbADa-duHKa-tAm tad-anya-duHKa-ASraya-tAm ca-upAdAya / jarA kim-upAdAya duHKam
   / kāle viparīṇatiduḥkhatāmupādāya // vyādhi kimupādāya duḥkham / bhūteṣu	/ kAle viparINati-duHKa-tAm-upAdAya // vyADi kim-upAdAya duHKam / BUtezu
   viparīṇatiduḥkhatāmupādāya // maraṇaṃ kimupādāya duḥkham /	viparINati-duHKa-tAm-upAdAya // maraNam kim-upAdAya duHKam /
   jīvitavipraṇāśaduḥkhatāmupādāya //	jIvita-vipraNASa-duHKa-tAm-upAdAya //
   apriyasaṃprayogaḥ kimupādāya duḥkham / saṃyogaja duḥkhatāmupādāya //	apriya-saMprayogaH kim-upAdAya duHKam / saMyoga-ja duHKa-tAm-upAdAya //
   priyaviprayogaḥ kimupādāya duḥkham / viprayogaja duḥkhatāmupadāya //	priya-viprayogaH kim-upAdAya duHKam / viprayoga-ja duHKa-tAm-upadAya //
   yadapīcchanna labhate tat kimupādāya duḥkham / kāmyaphalābhāvaja	yat-api-icCan-na laBate tat kim-upAdAya duHKam / kAmya-Pala-aBAva-ja
   duḥkhatāmupādāya // saṃkṣiptenapañcopādānaskandhāḥ kimupādāya duḥkham /	duHKa-tAm-upAdAya // saMkziptena-paQca-upAdAna-skanDAH kim-upAdAya duHKam /
   dauṣṭhulyaduḥkhatāmupādāya // evamaṣṭau saṃgṛhītāni ṣaḍ bhavanti /	dOzWulya-duHKa-tAm-upAdAya // evam-azwO saMgRhItAni zaw Bavanti /
   saṃvādhaduḥkhaṃ vipariṇati duḥkhaṃ saṃprayogaduḥkhaṃ viprayogaduḥkhaṃ	saMvADa-duHKam vipariNati duHKam saMprayoga-duHKam viprayoga-duHKam
   kāmyaphalābhāvaduḥkhaṃ dauṣṭhulyaduḥkhaṃ ca // evaṃ ṣaḍ bāhulyenāṣṭau	kAmya-Pala-aBAva-duHKam dOzWulya-duHKam ca // evam zaw bAhulyena-azwO
   bhavanti / (Abhidh-s 38) ṣaḍ samānānyaṣṭau bhavanti // yaduktaṃ tisro	Bavanti / (a-aBiD-H 38) zaw samAnAni-azwO Bavanti // yat-uktam tisraH-
   duḥkhatāḥ / tāsu aṣṭau duḥkhāni saṃgṛhitāni bhavanti / tatra kathaṃ tisṛṣu	duHKa-tAH / tAsu azwO duHKAni saMgRhitAni Bavanti / tatra kaTam tisRzu
   saṃgṛhītānyaṣṭau aṣṭasu vā saṃgṛhītāstisraḥ / pāraṃparṣalakṣaṇa saṃgrahāt	saMgRhItAni-azwO azwasu vA saMgRhItAH-tisraH / pAraMparza-lakzaNa saMgrahAt-
   / jātirdukhaṃ jarā duḥkhaṃ vyādhirduḥkhaṃ maraṇaṃ duḥkham apriyasaṃprayogo	/ jAtiH-duKam jarA duHKam vyADiH-duHKam maraNam duHKam apriya-saMprayogaH-
   duḥkhamiti santānaduḥkhaduḥkhatā / priyaviprayogo duḥkhaṃ yadapīcchanna	duHKam-iti santAna-duHKa-duHKa-tA / priya-viprayogaH duHKam yat-api-icCat-=-a
   labhate tadapi duḥkhaṃ tadvipariṇāmaduḥkhatā / saṃkṣiptena	laBate tat-api duHKam tad-vipariNAma-duHKa-tA / saMkziptena
   pañcopādānaskandhā duḥkhaṃ tat saṃskāraduḥkhatā // yaduktaṃ dvividhe	paQca-upAdAna-skanDAH duHKam tat saMskAra-duHKa-tA // yat-uktam dviviDe
   duḥkhe iti / tat saṃvṛtisatyena duḥkhaṃ paramārthasatyena duḥkhaṃ ca /	duHKe iti / tat saMvRti-satyena duHKam parama-arTa-satyena duHKam ca /
   katamat saṃvṛtisatyena duḥkhaṃ katamat paramārthasatyena duḥkham /	katamat saMvRti-satyena duHKam katamat parama-arTa-satyena duHKam /
   jātirduḥkhaṃ yāvat yadapīcchann labhate tadapi duḥkhamiti saṃvṛtisatyena	jAtiH-duHKam yAvat yat-api-icCan laBate tat-api duHKam-iti saMvRti-satyena
   duḥkham / yaduktaṃ saṃkṣiptena pañcopādānaskandhā duḥkhamiti	duHKam / yat-uktam saMkziptena paQca-upAdAna-skanDA duHKam-iti
   paramārthasatyena duḥkham //	parama-arTa-satyena duHKam //
   duḥkhasatyasya sāmānyalakṣaṇaṃ katamat / anityalakṣaṇaṃ duḥkhalakṣaṇaṃ	duHKa-satyasya sAmAnya-lakzaNam katamat / anitya-lakzaNam duHKa-lakzaNam
   śūnyalakṣaṇamanātmalakṣaṇaṃ ca // anityalakṣaṇaṃ katamat / samāsato	SUnya-lakzaNam-anAtma-lakzaNam ca // anitya-lakzaNam katamat / samAsatas-
   dvādaśavidham / asallakṣaṇaṃ vināśalakṣaṇaṃ vipariṇatilakṣaṇaṃ	dvAdaSaviDam / asat-lakzaNam vinASa-lakzaNam vipariNati-lakzaNam
   viyogalakṣaṇaṃ sannihitalakṣaṇaṃdharmatālakṣaṇaṃ kṣaṇalakṣaṇaṃ	viyoga-lakzaNam sannihita-lakzaNaMDarmatA-lakzaNam kzaNa-lakzaNam
   prabandhalakṣaṇaṃ vyādhyādi lakṣaṇaṃ cittacittākāravṛttilakṣaṇaṃ	prabanDa-lakzaNam vyADi-Adi lakzaNam citta-citta-AkAra-vRtti-lakzaNam
   bhogasaṃpattirvipatti lakṣaṇaṃ bhājanalokasaṃvarttavivarttalakṣaṇam //	Boga-saMpattiH-vipatti lakzaNam BAjana-loka-saMvartta-vivartta-lakzaNam //
   asallakṣaṇaṃ katamat / skandhadhātvāyataneṣu sarvakāli kātmātmīyatā	asat-lakzaNam katamat / skanDa-DAtu-Ayatanezu sarva-kAli kAtmA-AtmIyatA
   nityābhāvaḥ // vināśalakṣaṇaṃ katamat / saṃskārāṇāmutpannānāṃ nirodhaḥ /	nitya-aBAvaH // vinASa-lakzaNam katamat / saMskArANAm-utpannAnAm niroDaH /
   taktālaṃ bhūtvābhāvaḥ // vipariṇatilakṣaṇaṃ katamat /	taktAlam BUtvA-aBAvaH // vipariNati-lakzaNam katamat /
   saṃskārāṇāmanyathābhāvaḥ / prabandhāsādṛśyena pravṛttiḥ // viyogalakṣaṇaṃ	saMskArANAm-anyaTA-BAvaH / prabanDA-sAdRSyena pravRttiH // viyoga-lakzaNam
   katamat / saṃskāreṣu vaśitvabhraṃśaḥ paraiḥsvīkaraṇaṃ vā /	katamat / saMskArezu vaSitva-BraMSaH parEH-svIkaraNam vA /
   sannihitalakṣaṇaṃ katamat / samupasthitānityatā /	sannihita-lakzaNam katamat / samupasTitA-anitya-tA /
   yattadānīmevānubhūyamānānityatā // dharmatālakṣaṇaṃ katamat /	yat-tadAnIm-eva-anuBUyamAna-anitya-tA // DarmatA-lakzaNam katamat /
   āgāminyanityatā / yāmāvaśyamanubhaviṣyati // kṣaṇalakṣaṇaṃ katamat /	AgAminI-anitya-tA / yAma-avaSyam-anuBavizyati // kzaNa-lakzaNam katamat /
   saṃskārāṇāṃ kṣaṇādūrddhamanavasthānam // prabandhalakṣaṇaṃ katamat /	saMskArANAm kzaNAt-UrdDam-anavasTAnam // prabanDa-lakzaNam katamat /
   anādimati saṃskāre utpannaniruddhā nāṃ prabandhāprahāṇam // vyadhyādi	anAdimati saMskAre utpanna-nirudDA nAm prabanDA-prahANam // vyaDya-Adi
   lakṣaṇa katamat / (Abhidh-s 39) caturṇāṃ bhūtānāṃ kālopabhogaḥ	lakzaNa katamat / (a-aBiD-H 39) caturNAm BUtAnAm kAla-upaBogaH
   jīvitavipariṇāmaḥ / cittacittākāra vṛttilakṣaṇaṃ katamat / kadācit sārāgaṃ	jIvita-vipariNAmaH / citta-citta-AkAra vRtti-lakzaNam katamat / kadAcid sArAgam
   cittaṃ saṃbhavati kadācid vītarāgaṃ cittaṃ saṃbhavati / yadvat sadveṣaṃ vā	cittam saMBavati kadAcid vIta-rAgam cittam saMBavati / yadvat sat-vezam vA
   vītadveṣaṃ vā samohaṃ vā vītamohaṃ vā saṃkṣiptaṃ vā vihisāṃ vā nimnaṃ vā	vIta-dvezam vA sa-moham vA vIta-moham vA saMkziptam vA vihisAm vA nimnam vA
   unnataṃ vā uddhataṃ vā anuddhataṃ vā upaśāntaṃ vā anupaśāntaṃ vā samāhita	unnatam vA udDatam vA anudDatam vA upaSAntam vA anupaSAntam vA samAhita
   vā asamāhitaṃ vā / evamādi cittasaṃsāravṛttiḥ // bhogasaṃpattivipatti	vA asamAhitam vA / evamAdi citta-saMsAra-vRttiH // Boga-saMpatti-vipatti
   lakṣaṇaṃ katamat / saṃpattīnāmante vipattirvināśaḥ / bhājanalokasaṃvartta	lakzaNam katamat / saMpattInAm-ante vipattiH-vinASaH / BAjana-loka-saMvartta
   vivartta lakṣaṇaṃ katamat / agnyambuvāyubhistrividhaḥ saṃvarttavivarttaḥ /	vivartta lakzaNam katamat / agni-ambu-vAyuBiH-triviDaH saMvartta-vivarttaH /
   tisṛṇāṃ saṃvarttarnānāṃ śīrṣāṇi dvitīya tṛtīya caturthadhyānāni /	tisRNAm saMvarttarnAnAm SIrzANi dvitIya tRtIya caturTa-DyAnAni /
   caturthadhyāne vāhyānāṃ vimānānāṃ tu vāhyābhāvat eva saṃvarttavivarttaḥ /	caturTa-DyAne vAhyAnAm vimAnAnAm tu vAhya-aBAvat eva saMvartta-vivarttaH /
   kevalaṃ tairdevaiḥ tāni vimānāni saha nirvarttante saha nirudhyante	kevalam tEH-devEH tAni vimAnAni saha nirvarttante saha niruDyante
   etaducyate saṃvartta vivarttaḥ // api khalu trayo 'ntarakalpāḥ	etat-ucyate saMvartta vivarttaH // api Kalu trayaH antara-kalpAH
   durbhikṣavyādhiśastrairbhavanti / hīnasya trividhakalpāsyānte taiḥ	durBikza-vyADi-SastrEH-Bavanti / hInasya triviDa-kalpA-asya-ante tEH
   śastrādibhirniryāṇaṃ bhavati / yadālokadhātuḥ saṃvṛtto bhavati / eko	Sastra-AdiBiH-niryANam Bavati / yadAlokaDAtuH saMvRttaH Bavati / ekaH-
   'ntarakalpa prathamaḥ apakarṣaḥ / ekāntarakalpaḥ paścima utkarṣaḥ /	antara-kalpa praTamaH apakarzaH / eka-antara-kalpaH paScimaH utkarzaH /
   aṣṭādaśa antarakalpā utkarṣāpakaya / evaṃ ca viṃśatimantarakalpān	azwAdaSa antara-kalpAH utkarza-apakayaH / evam ca viMSatim-antara-kalpAn
   lokadhātuḥ saṃvarttate / viṃśatimātarakalpāt lokadhāturvivarttate /	lokaDAtuH saMvarttate / viMSati-mAtara-kalpAt lokaDAtuH-vivarttate /
   viṃśatimantarakalpān lokadhāturvivṛttastiṣṭhati / saṃkalikāścaite	viMSatim-antara-kalpAn lokaDAtuH-vivRttaH-tizWati / saMkalikAH-ca-ete
   'śītirantarakalpā eko mahākalpo bhavati / tayā kalpasaṃkhyāyā	aSItiH-antara-kalpAH ekaH mahAkalpaH Bavati / tayA kalpa-saMKyAyAH-
   rūpārūpyācarāṇāṃ devānāmāyuḥpramāṇaṃ varṇyate // yaduktam anyatare, sattvā	rUpArUpya-acarANAm devAnAm-AyuH-pramANam varNyate // yat-uktam anyatare, sattvA
   āyuḥkṣayād vā puṇya kṣayād vā karmakṣayād vā tasmādadhiṣṭhānāt cyavante	AyuH-kzayAt vA puNya kzayAt vA karma-kzayAt vA tasmAt-aDizWAnAt cyavante
   iti / tatra āyudāyaḥ katamaḥ / kāle maraṇam / puṇyakṣayaḥ katamaḥ / akāle	iti / tatra AyudAyaH katamaH / kAle maraNam / puNya-kzayaH katamaH / akAle
   maraṇam apuṇyamaraṇam / yena sattvā āsvāda samāpattyāṃ rajyante /	maraNam apuNya-maraNam / yena sattvAH AsvAda samApattyAm rajyante /
   puṇyakṣayācca hetoḥ te jīvitāccyavante / karmakṣayaḥ katamaḥ /	puNya-kzayAt-ca hetoH te jIvitAt-cyavante / karma-kzayaH katamaH /
   upapadyavedanīyakarmaṇaḥ aparaparyāvedanīyakarmaṇaśca ubhayo kṣayānmaraṇa	upapadya-vedanIya-karmaNaH apara-paryAvedanIya-karmaNaH-ca uBayo kzayAt-maraNa
   duḥkhalakṣaṇaṃ katamat / tisro duḥkhatāḥ aṣṭākā vā duḥkhaṃ ṣaḍākāraṃ vā	duHKa-lakzaNam katamat / tisraH duHKa-tAH azwAkAH vA duHKam zaz-AkAram vA
   (Abhidh-s 40) duḥkhaṃ bāhulyena pūrvamuktaṃ tad duḥkhaṃ nāma / kiṃ	(a-aBiD-H 40) duHKam bAhulyena pUrvam-uktam tat duHKam nAma / kim
   pratītyasūtre uktaṃ yadanityaṃ tad duḥkhamiti / ubhayāṃśikīmanityatāṃ	pratItyasUtre uktam yat-anityam tat duHKam-iti / uBaya-aMSikIm-anitya-tAm
   pratītya duḥkhalakṣaṇaṃ prajñāyate / utpādāṃśikīmanityatāṃ pratītya	pratItya duHKa-lakzaNam prajQAyate / utpAda-aMSikIm-anitya-tAm pratItya
   duḥkhaduḥkhatā prajñāyate / vyayāṃśikīmanityatāṃ pratītya	duHKa-duHKa-tA prajQAyate / vyaya-aMSikIm-anitya-tAm pratItya
   vipariṇāmaduḥkhatā prajñāyate / ubhayāṃśīkimanityatāṃ pratītya	vipariNAma-duHKa-tA prajQAyate / uBaya-aMSI-kim-a-nitya-tAm pratItya
   saṃskāraduḥkhatā prajñāyate // tathā ca saṃskārānityatāṃ	saMskAra-duHKa-tA prajQAyate // taTA ca saMskAra-anitya-tAm
   saṃskāravipariṇāmatāṃ ca saṃdhāyoktaṃ bhagavatā mayā yatkiṃcid	saMskAra-vipariNAma-tAm ca saMDAya-uktam BagavatA mayA yat-kiMcid-
   veditamidamatra duḥkhasyeti // api khalu utpādavyayadharmadvayānugateṣu	veditam-idam-atra duHKasya-iti // api Kalu utpAda-vyaya-Darma-dvaya-anugatezu
   saṃskāreṣu jātyādayo 'ṣṭau duḥkhāni / prajñāyante ityabhisaṃdhāya buddhena	saMskArezu jAti-AdayaH azwO duHKAni / prajQAyante iti-aBisaMDAya budDena
   bhāṣitaṃ yadanityaṃ tad duḥkhamiti / api ca anityeṣu saṃskāreṣu jātyādikaṃ	BAzitam yat-anityam tat duHKam-iti / api ca anityezu saMskArezu jAti-Adikam
   duḥkhaṃ prajñāyate iti anityato duḥkhaṃ na sarve saṃskārā	duHKam prajQAyate iti anityataH duHKam na sarve saMskArA
