   1. Vairagyaprakarana	1. VEragya prakarana
   "ghuṅghume"ti śabdānukaraṇam | "uḍumbaraḥ" phalaviśeṣaḥ | tatra hi maṣakāḥ	"GuFGume"ti Sabda anukaraNam | "uxumbaraH" Pala viSezaH | tatra hi mazakAH
   bāhulyena tiṣṭhanti || MoT_1,22.27 ||	bAhulyena tizWanti || MoT_1,22.27 ||
        sattāmātrakumudvatyā cijjyotsnāpariphullayā /	sattA mAtra kumudvatyA cit jyotsnA pariPullayA /
        vapur vinodayaty eṣaḥ {#16} kriyāpriyatamānvitaḥ // Mo_1,22.28 //	vapuH vinodayati ezaH {#16} kriyA priyatama anvitaH // MaH _1,22.28 //
   "kriyāpriyatamānvitaḥ" "saḥ" kālaḥ | "cid" eva prakāśarūpatvāt "jyotsnā" |	"kriyA priyatama anvitaH" "saH" kAlaH | "cid" eva prakASa rUpa tvAt "jyotsnA" |
   tayā "pariphullayā" prakaṭībhūtayā | "sattāmātrakumudvatyā" | "vapuḥ"	tayA "pariPullayA" prakawIBUtayA | "sattA mAtra kumudvatyA" | "vapuH"
   ātmānaṃ | "vinodayati" sadāsattayā kriyayā yuto bhavatīti || MoT_1,22.28	AtmAnam | "vinodayati" sadA asattayA kriyayA yutaH Bavati iti || MoT_1,22.28
   ***NOTES:	***NOTa ES:
   #16 N11, °4: ekaḥ	#16 N11, °4: ekaH
        anantāpāyaparyantam baddhapīṭhaṃ nijaṃ vapuḥ /	ananta apAya paryantam badDa pIWam nijam vapuH /
        mahāśailavad uttuṅgam avalambya vyavasthitaḥ // Mo_1,22.29 //	mahA SEla vat uttuFgam avalambya vyavasTitaH // MaH _1,22.29 //
   "anantāpāyaparyantam" antāpāyaparyantarahitaṃ | nāśarahitam ity arthaḥ	"ananta apAya paryantam" antApAya paryanta rahitam | nASa rahitam iti arTaH
   || MoT_1,22.29 ||      kvacic chyāmatamaḥśyāmaṃ kvacit kāntiyutaṃ tatam /	|| MoT_1,22.29 ||      kvacid SyAmatamaH SyAmam kvacid kAnti yutam tatam /
        dvayenāpi kramād riktaṃ svabhāvam bhāvayan sthitaḥ // Mo_1,22.30 //	dvayena api kramAt riktam svaBAvam BAvayan sTitaH // MaH _1,22.30 //
   "śyāmaṃ" yat "tamaḥ" | tena "śyāmaṃ" | ["svabhāvam" "bhāvayan"] {#17}	"SyAman" yat "tamaH" | tena "SyAmaM" | ["svaBAvam" "BAvayan"] {#17}
   svarūpaṃ sampādayann iti yāvat | etena rātridivase sandhyā ceti trayam	svarUpam sampAdayan iti yAvat | etena rAtri divase sanDyA ca iti trayam
   uktam || MoT_1,22.30 ||	uktam || MoT_1,22.30 ||
   ***NOTES:	***NOTa ES:
   #17 N11, °4: om.	#17 N11, °4: om.
        saṃlīnāsaṅkhyasaṃsārasārayā svātmasattayā /	saMlInA saFKya saMsAra sArayA sva Atma sattayA /
        gurvīva bhāraghanayā {#18} nibaddhapadatāṃ gataḥ // Mo_1,22.31 //	gurvI iva BAra GanayA {#18} nibadDa padatAm gataH // MaH _1,22.31 //
   "saṃlīnaḥ" "asaṅkhyasaṃsārāṇāṃ" "sāro" yasyāṃ | sā | tayā | gurvī hi	"saMlInaH" "a saFKya saMsArANAn" "sAro" yasyAm | sA | tayA | gurvI hi
   "nibaddhapadatāṃ" gacchati iti "gurvī"ty uktam || MoT_1,22.31 ||	"nibadDa padatAn" gacCati iti "gurvI"ti uktam || MoT_1,22.31 ||
   ***NOTES:	***NOTa ES:
   #18 N11, °4: gurvyeva tāra°	#18 N11, °4: gurvI eva tAra°
        na khidyate na mriyate na tiṣṭhati na gacchati /	na Kidyate na mriyate na tizWati na gacCati /
        nāstam eti na codeti mahākalpaśatair api // Mo_1,22.32 //	na astam eti na ca udeti mahAkalpa SatEH api // MaH _1,22.32 //
   spaṣṭam || MoT_1,22.32 ||	spazwam || MoT_1,22.32 ||
        kevalaṃ jagadārambhalīlayā ghanahelayā /	kevalam jagat AramBa lIlayA Gana helayA /
        yāpayaty ātmanātmānam anahaṅkāram ānatam {#19} // Mo_1,22.33 //	yApayati AtmanA AtmAnam anahaFkAram Anatam {#19} // MaH _1,22.33 //
   "ghanā" {#20} "helā" yasyāṃ | tādṛśyā {#21} | "yāpayati" samāpayati |	"GanA" {#20} "helA" yasyAm | tAdRSyA {#21} | "yApayati" samApayati |
   ahaṅkārābhave hi kālo naśyati | svanāśakrīḍām api svayam eva karotīti	ahaFkAra aBave hi kAlaH naSyati | sva nASa krIxAm api svayam eva karoti iti
   bhāvaḥ || MoT_1,22.33 ||	BAvaH || MoT_1,22.33 ||
   ***NOTES:	***NOTa ES:
   #19 N11, °4: āru°	#19 N11, °4: Aru°
   #20 °4: °na°	#20 °4: °na°
   #21 N11, °4: °śīṃ	#21 N11, °4: °SIm
        yāminīpaṅkakalilāṃ dinakokanadāvalīm /	yAminI paFka kalilAm dina kokanada AvalIm /
        kriyābhramarikām mandaṃ saraḥsu āropayan sthitaḥ // Mo_1,22.34 //	kriyA aBra marikAm mandam saraHsu Aropayan sTitaH // MaH _1,22.34 //
   "saraḥsu" arthāt bhuvanarūpeṣu | "āropayan" kalpayan | sūryarūpeṇeti	"saraHsu" arTAt Buvana rUpezu | "Aropayan" kalpayan | sUrya rUpeNa iti
   śeṣaḥ || MoT_1,22.34 ||	SezaH || MoT_1,22.34 ||
        gṛhītvā bhīṣaṇaḥ kṛṣṇāṃ rajanīṃ jīrṇamārjanīm /	gRhItvA BIzaNaH kRzNAm rajanIm jIrNa mArjanIm /
        ālokakanakakṣodam āharaty abhito 'vanim // Mo_1,22.35 //	Aloka kanaka kzodam Aharati aBitas avanim // MaH _1,22.35 //
   "āharati" sammārjayati {#22} | rātriṃ vidhāya prakāśam upasaṃharatīti	"Aharati" sammArjayati {#22} | rAtrim viDAya prakASam upasaMharati iti
   bhāvaḥ || MoT_1,22.35 ||	BAvaH || MoT_1,22.35 ||
   ***NOTES:	***NOTa ES:
   #22 °4: samār°	#22 °4: samAr°
        sañcārayan kriyāṅgulyā koṇakeṣv arkadīpikām /	saQcArayan kriyA aFgulyA koNakezu arkadIpikAm /
        jagatsadmani kāruṇyāt {#23} kva kim astīti vīkṣate // Mo_1,22.36 //	jagat sadmani kAruNyAt {#23} kva kim asti iti vIkzate // MaH _1,22.36 //
   "koṇakeṣu" dikkoṇeṣu | anyo 'pi hi dīpikām prajvālya sadmani kva kim	"koNakezu" diS koNezu | anyaH api hi dIpikAm prajvAlya sadmani kva kim
   astīti paśyati || MoT_1,22.36 ||	asti iti paSyati || MoT_1,22.36 ||
   ***NOTES:	***NOTa ES:
   #23 °4: °ṇyat	#23 °4: °Nyat 
        prekṣyāhāni nimeṣeṇa sūryākṣṇā pākavanty alam /	prekzya ahAni nimezeNa sUrya akzNA pAkavanti alam /
        lokapālaphalāny atti jagajjīrṇavanād ayam // Mo_1,22.37 //	lokapAla PalAni atti jagat jIrNa vanAt ayam // MaH _1,22.37 //
   "sūryākṣṇā" sūryākhyena cakṣuṣā | "ahāni" "prekṣya" kañcit kālam	"sUrya akzNA" sUrya AKyena cakzuzA | "ahAni" "prekzya" kaQcid kAlam
   pratīkṣyety arthaḥ || MoT_1,22.37 ||	pratIkzya iti arTaH || MoT_1,22.37 ||
        jagajjīrṇakuṭīkīrṇān arpayaty ugrakoṭare {#24} /	jagat jIrNa kuwI kIrNAn arpayati ugra koware {#24} /
        krameṇa guṇavallokamaṇīn mṛtyusamudgake // Mo_1,22.38 //	krameNa guNavat loka maNIn mRtyu samudgake // MaH _1,22.38 //
   "jagajjīrṇakuṭyāṃ kīrṇān" vikṣiptān | anyo 'pi hi kuṭyāṃ vikṣiptān maṇīn	"jagat jIrNa kuwyAm kIrNAn" vikziptAn | anyaH api hi kuwyAm vikziptAn maNIn
   samudgake 'rpayati || MoT_1,22.38 ||	samudgake arpayati || MoT_1,22.38 ||
   ***NOTES:	***NOTa ES:
   #24 °4: agra°	#24 °4: agra°
        guṇair āpūryate yaiva lokaratnāvalī {#25} bhṛśam /	guNEH ApUryate yA eva loka ratna AvalI {#25} BRSam /
        bhūṣārtham iva tām aṅge kṛtvā bhūyo nikṛntati // Mo_1,22.39 //	BUzA arTam iva tAm aFge kRtvA BUyas nikRntati // MaH _1,22.39 //
   anyo 'pi rājādiḥ {#26} ratnāvalīm aṅge kṛtvā līlayā kṛntati || MoT_1,22.39	anyaH api rAja AdiH {#26} ratna AvalIm aFge kRtvA lIlayA kRntati || MoT_1,22.39
   ***NOTES:	***NOTa ES:
   #25 °4: °valīṃ	#25 °4: °valIm
   #26 °4: °ādi	#26 °4: °Adi
        dinahaṃsānusṛtayā niśendīvaramālayā {#27} /	dina haMsa anusRtayA niSA indIvara mAlayA {#27} /
        tārākesarayājasraṃ capalo valayaty alam // Mo_1,22.40 //	tArA kesarayA ajasram capalaH valayati alam // MaH _1,22.40 //
   "valayati" āvṛttaṃ sampādayati | bhuvanam iti śeṣaḥ || MoT_1,22.40 ||	"valayati" AvRttam sampAdayati | Buvanam iti SezaH || MoT_1,22.40 ||
   ***NOTES:	***NOTa ES:
   #27 °4: niśondī°	#27 °4: niSondI°
        śailorṇadyudharāśṛṅgajagadūrṇāyusaunikaḥ /	SEla UrNadI uDara aSRFga jagat UrNa Ayu sOnikaH /
        pratyaham pibati prekṣya tārāraktakaṇān api // Mo_1,22.41 //	pratyaham pibati prekzya tArA rakta kaNAn api // MaH _1,22.41 //
   "śailā" eva "ūrṇā" {#28} yasya | tat | tādṛśaṃ | "dyudhare" dyāvāpṛthivyau	"SElA" eva "UrNA" {#28} yasya | tat | tAdRSam | "dyuDare" dyAvApRTivyO
   eva "śṛṅge" yasya | tat | tādṛśaṃ ca | īdṛśaṃ ca yat "jagat" tad eva	eva "SRFge" yasya | tat | tAdRSam ca | IdRSam ca yat "jagat" tat eva
   "ūrṇāyuḥ" {#29} meṣaḥ | tasya "saunikaḥ" hiṃsakaḥ || MoT_1,22.41 ||	"UrNa AyuH" {#29} mezaH | tasya "sOnikaH" hiMsakaH || MoT_1,22.41 ||
   ***NOTES:	***NOTa ES:
   #28 N11: (tū)*ū*rṇā	#28 N11: (tU)*U*rNA
   #29 N11: (tū)*ū*rṇā°	#29 N11: (tU)*U*rNA°
        tāruṇyanalinīsoma āyurmātaṅgakesarī /	tAruNya nalinI somaH AyuH mAtaFga kesarI /
        na tad asti na yasyāyaṃ tucchātucchasya taskaraḥ // Mo_1,22.42 //	na tat asti na yasya ayam tucCAtucCasya taskaraH // MaH _1,22.42 //
   spaṣṭam || MoT_1,22.42 ||	spazwam || MoT_1,22.42 ||
        kalpakelivilāsena piṣṭapātitajantunā /	kalpa keli vilAsena pizwa pAtita jantunA /
        nyagbhāvodbhavahāsena {#30} ramate svātmanātmani // Mo_1,22.43 //	nyagBAva udBava hAsena {#30} ramate sva AtmanA Atmani // MaH _1,22.43 //
   "piṣṭāḥ" {#31} cūrṇīkṛtāḥ | ata eva "pātitāḥ" "jantavo" {#32} yena | saḥ |	"pizwAH" {#31} cUrNIkRtAH | atas eva "pAtitAH" "jantavo" {#32} yena | saH |
   tādṛśena | kāla iti śeṣaḥ | tṛtīyāntatrayaṃ {#33} "svātmane"ty asya	tAdRSena | kAlaH iti SezaH | tRtIyAnta trayam {#33} "sva Atmane"ti asya
   viśeṣaṇatvena yojyam || MoT_1,22.43 ||	viSezaNa tvena yojyam || MoT_1,22.43 ||
   ***NOTES:	***NOTa ES:
   #30 °4: nyaṅ°	#30 °4: nyaF°
   #31 °4: °ṣṭā	#31 °4: °zwA
   #32 °4: jantu°	#32 °4: jantu°
   #33 °4: °āṃnta°	#33 °4: °AMnta°
        kartā bhoktātha saṃhartā smartā {#34} sarvam padaṃ gataḥ /	kartA BoktA aTa saMhartA smartA {#34} sarvam padam gataH /
        sarvam eva karotīdaṃ na karoti ca kiñcana // Mo_1,22.44 //	sarvam eva karoti idam na karoti ca kiQcana // MaH _1,22.44 //
   nakiñcidrūpatvāt na kiñcit karaṇaṃ jñeyam || MoT_1,22.44 ||	nakiQcit rUpa tvAt na kiQcid karaNam jQeyam || MoT_1,22.44 ||
   ***NOTES:	***NOTa ES:
   #34 N11, °4: °hantāḥ sattā	#34 N11, °4: °hantAH sattA
   sargāntaślokena kālanindāṃ samāpayati	sarga anta Slokena kAla nindAm samApayati
        sakalam apy akalākalitāntaraṃ	sakalam api akalA kalita antaram
        subhagadurbhagarūpadharaṃ vapuḥ {#35} /	suBaga durBaga rUpa Daram vapuH {#35} /
        prakaṭayan sahasaiva ca gopayan	prakawayan sahasA eva ca gopayan
        vilasatīha hi kālabalaṃ nṛṣu // Mo_1,22.45 //	vilasati iha hi kAla balam nRzu // MaH _1,22.45 //
   "sakalatvākala"tvādikaṃ viṣayavibhāgena jñeyaṃ | "prakaṭayan" "gopayan"	"sakala tvAkala"tva Adikam vizaya viBAgena jQeyam | "prakawayan" "gopayan"
   ity atra sarvanāmasthānābhāve 'pi numāgama ārṣaḥ | iti śivam	iti atra sarvanAma sTAna aBAve api numAgamaH ArzaH | iti Sivam
   || MoT_1,22.45 ||	|| MoT_1,22.45 ||
   ***NOTES:	***NOTa ES:
   #35 N11: °pu(t)*ḥ*	#35 N11: °pu(t)*H*
   iti śrībhāskarakaṇṭhaviracitāyāṃ śrīmokṣopāyaṭīkāyāṃ vairāgyaprakaraṇe	iti SrI BAskara kaNWa viracitAyAm SrI mokza upAyawIkAyAm vErAgya prakaraNe
   dvāviṃśaḥ sargaḥ || 1,22 ||	dvAviMSaH sargaH || 1,22 ||
   {#1} evaṃ kālanindāṃ kṛtvā kālavilāsaṃ kathayati	{#1} evam kAla nindAm kRtvA kAla vilAsam kaTayati
        asyoḍḍāmaralīlasya {#2} dūrāstasakalāpadaḥ /	asya uxxAmara lIlasya {#2} dUra asta sakala ApadaH /
        saṃsāre rājaputrasya kālasyākalitaujasaḥ {#3} // Mo_1,23.1 //	saMsAre rAja putrasya kAlasya Akalita ojasaH {#3} // MaH _1,23.1 //
        asminn ācarato dīnair mugdhair bhūtamṛgavrajaiḥ /	asmin AcarataH dInEH mugDEH BUta mRga vrajEH /
        ākheṭakaṃ jarjarite jagajjaṅgalajālake {#4} // Mo_1,23.2 //	AKewakam jarjarite jagat jaFgala jAlake {#4} // MaH _1,23.2 //
        ekadeśollasaccāruvaḍavānalapaṅkajā /	eka deSa ullasat cAru vaxava anala paFkajAH /
        krīḍāpuṣkariṇī ramyā kalpakālamahārṇavaḥ // Mo_1,23.3 //	krIxA puzkariNI ramyA kalpa kAla mahA arNavaH // MaH _1,23.3 //
   spaṣṭam || MoT_1,23.1 3 ||	spazwam || MoT_1,23.1 3 ||
   ***NOTES:	***NOTa ES:
   #1 °4: śrīrāmāya namaḥ	#1 °4: SrI rAmAya namaH
   #2 °4: °marasya lī°	#2 °4: °marasya lI°
   #3 °4: kālasya ka°	#3 °4: kAlasya ka°
   #4 °4: °ṅgajā°	#4 °4: °FgajA°
        kaṭutiktāmlabhūtāḍhyaiḥ sadadhikṣīrasāgaraiḥ /	kawu tikta amla BUta AXyEH sa daDi kzIra sAgarEH /
        tair eva taiḥ paryuṣitair jagadbhiḥ kālyavartanam // Mo_1,23.4 //	tEH eva tEH paryuzitEH jagadBiH kAlya vartanam // MaH _1,23.4 //
   "kaṭutiktāmlāḥ" atyantatāmasikatāmasikarājasikāḥ | kaṭvādirasaviśeṣayuktāś	"kawu tikta amlAH" atyanta tAmasika tA masika rAjasikAH | kawu Adi rasa viSeza yuktAH 
   ca ye "bhūtāḥ" carācarāḥ bhūtāḥ siddhadravyāṇi ca | taiḥ "āḍhyaiḥ" yuktaiḥ	ca ye "BUtAH" carAcarAH BUtAH sidDa dravyANi ca | tEH "a AXyEH" yuktEH
   | paredyuḥ uṣitaiḥ "paryuṣitaiḥ" | na tu navair ity arthaḥ |	| paredyus uzitEH "paryuzitEH" | na tu navEH iti arTaH |
   "kālyavartanam" prābhātikabhojanaṃ | "asye"ti sargādyaślokasthaṃ sarvatra	"kAlya vartanam" prABAtika Bojanam | "asya i"ti sarga AdyaH loka sTam sarvatra
   yojyam || MoT_1,23.4 ||	yojyam || MoT_1,23.4 ||
        caṇḍī caturasañcārā sarvamātṛgaṇānvitā /	caNxI caturasaQcArA sarva mAtR gaNa anvitA /
        saṃsāravanavinyastanaraiṇākarṣaṇī vṛkī // Mo_1,23.5 //	saMsAra vana vinyasta nara eNa AkarzaNI vRkI // MaH _1,23.5 //
   asya kālasya "caṇḍī"ti nāmadheyā śaktiḥ | "vṛkī" bhavatīti sambandhaḥ |	asya kAlasya "caNxI"ti nAmaDeyA SaktiH | "vRkI" Bavati iti sambanDaH |
   "mātṛgaṇaḥ" prasiddhaḥ | rājaputro 'pi ākheṭakārthaṃ vṛkīm pālayati	"mAtR gaNaH" prasidDaH | rAja putraH api AKewaka arTam vRkIm pAlayati
   || MoT_1,23.5 ||	|| MoT_1,23.5 ||
        pṛthvī karatale pṛthvī pānapātrī rasānvitā /	pRTvI kara tale pRTvI pAna pAtrI rasa anvitA /
        kamalotpalakalhāralolajālakamālitā // Mo_1,23.6 //	kamala utpala kalhAra lola jAlaka mAlitAH // MaH _1,23.6 //
   "pṛthvī" vistīrṇā || MoT_1,23.6 ||	"pRTvI" vistIrNAH || MoT_1,23.6 ||
        virāvī vikaṭāsphālo nṛsiṃho bhujapañjare /	virAvI vikawa AsPAlaH nRsiMhaH Buja paQjare /
        saṭāvikaṭapīnāṃsaḥ kāntaḥ krīḍāśakuntakaḥ // Mo_1,23.7 //	sawA vikawa pIna aMsaH kAntaH krIxA SakuntakaH // MaH _1,23.7 //
   "nṛsiṃhaḥ" narasiṃhaḥ | rājaputrasyāpi vilāsārtham pañjare siṃho bhavati	"nRsiMhaH" narasiMhaH | rAja putrasya api vilAsa arTam paQjare siMhaH Bavati
   || MoT_1,23.7 ||	|| MoT_1,23.7 ||
        alābuvīṇāmadhuraḥ śaradvyomāmalacchaviḥ /	alAbu vINA maDuraH Sarad vyoma amala= CaviH /
        devaḥ kila mahākālo līlākokilabālakaḥ // Mo_1,23.8 //	devaH kila mahAkAlaH lIlA kokila bAlakaH // MaH _1,23.8 //
   "mahākālaḥ" saṃhārādhikārī "deva"viśeṣaḥ || MoT_1,23.8 ||	"mahAkAlaH" saMhAra aDikArI "deva" viSezaH || MoT_1,23.8 ||
        ajasrasphūrjitākāro vāntaduḥkhaśarāśaniḥ /	ajasra sPUrjita AkAraH vAnta duHKa Sara aSaniH /
        abhāvanāmakodaṇḍaḥ parisphurati sarvataḥ // Mo_1,23.9 //	aBAva nAma kodaNxaH parisPurati sarvatas // MaH _1,23.9 //
   "vāntāḥ" {#5} udgīrṇāḥ {#6} | "duḥkhāny" eva "śarāśanayaḥ" | yena | saḥ |	"vAntAH" {#5} udgIrNAH {#6} | "duHKa any" eva "Sara aSanayaH" | yena | saH |
   abhāvanāmā cāsau kodaṇḍaḥ "abhāvanāmakodaṇḍaḥ" || MoT_1,23.9 ||	aBAva nAmA ca asO kodaNxaH "aBAva nAmakodaNxaH" || MoT_1,23.9 ||
   ***NOTES:	***NOTa ES:
   #5 °4: °ntā	#5 °4: °ntA
   #6 °4: °rṇā	#6 °4: °rNA
   sargāntaślokena kālavilāsavarṇanaṃ samāpayati	sarga anta Slokena kAla vilAsa varNanam samApayati
        anuttamasphuritavilāsavardhito	anuttama sPurita vilAsa varDitaH 
        bhraman haran parivilasan vidārayan /	Braman haran parivilasan vidArayan /
        jarajjagaj jaraḍhavilolamarkaṭaḥ	jarat jagat jaraXa vilola markawaH
        parisphuradvapur iha kāla īhate // Mo_1,23.10 //	parisPurat vapuH iha kAlaH Ihate // MaH _1,23.10 //
   "īhate" nānāvidhāḥ ceṣṭāḥ karoti | iti śivam || MoT_1,23.10 ||	"Ihate" nAnAviDAH cezwAH karoti | iti Sivam || MoT_1,23.10 ||
   iti śrībhāskarakaṇṭhaviracitāyāṃ śrīmokṣopāyaṭīkāyāṃ vairāgyaprakaraṇe	iti SrI BAskara kaNWa viracitAyAm SrI mokza upAyawIkAyAm vErAgya prakaraNe
   trayoviṃśaḥ sargaḥ || 1,23 ||	trayoviMSaH sargaH || 1,23 ||
   {#1} evaṃ kālavilāsam uktvā daivavilāsam prastauti	{#1} evam kAla vilAsam uktvA dEva vilAsam prastOti
        atraiva durvilāsānāṃ cūḍāmaṇir ivāparaḥ /	atra eva durvilAsAnAm cUxAmaNiH iva aparaH /
        karoty astīti lokena daivaṃ kālaś ca kathyate // Mo_1,24.1 //	karoti asti iti lokena dEvam kAlaH ca kaTyate // MaH _1,24.1 //
   "karoti" iti {#2} kriyākathanam | "astīti" sattākathanaṃ | "kālo" 'tra	"karoti" iti {#2} kriyA kaTanam | "asti iti" sattA kaTanam | "kAlo" atra
   kṛtānto 'bhipretaḥ | tasyaiva "daiva"paryāyatvāt || MoT_1,24.1 ||	kRtAntaH aBipretaH | tasya eva "dEva" paryAya tvAt || MoT_1,24.1 ||
   ***NOTES:	***NOTa ES:
   #1 °4: śrīrāmāya namaḥ; N11: oṃ	#1 °4: SrI rAmAya namaH; N11: om
   #2 °4: °tīti	#2 °4: °ti iti
        kriyāmātrād ṛte yasya svaparispandarūpiṇaḥ /	kriyA mAtrAt Rte yasya sva parispanda rUpiNaH /
        nānyad ālakṣyate rūpaṃ karmaṇo na samīhitam // Mo_1,24.2 //	na anyat Alakzyate rUpam karmaNaH na samIhitam // MaH _1,24.2 //
        teneyam akhilā bhūtasantatir nityapelavā /	tena iyam aKilA BUta santatiH nitya pelavAH /
        tāpena himamāleva nītā vidhuratām {#3} bhṛśam // Mo_1,24.3 //	tApena hima mAlA iva nItAH viDura tAm {#3} BRSam // MaH _1,24.3 //
   "yasya" daivasya | "kriyāmātraṃ" vinā | "na rūpam ālakṣyate" | "nā"pi	"yasya" dEvasya | "kriyA mAtraM" vinA | "na rUpam Alakzyate" | "nA"pi
   "karmaṇaḥ" "samīhitaṃ" karmālambanaṃ kāṅkṣitam | "ālakṣyate" | kimartham |	"karmaNaH" "samIhitan" karma Alambanam kAFkzitam | "a Alakzyate" | kimarTam |
   ayaṃ kiñcit karotīti "teneyam" "bhūtasantatir vidhuratāṃ nītā"	ayam kiQcid karoti iti "tena iyam" "BUta santatiH viDura tAm nItA"
   || MoT_1,24.2 3 ||	|| MoT_1,24.2 3 ||
   ***NOTES:	***NOTa ES:
   #3 N11: °ritām	#3 N11: °ritAm
        yad idaṃ dṛśyate kiñcij jagadābhogimaṇḍalam /	yat idam dRSyate kiQcid jagat ABogi maNxalam /
        tat tasya nartanāgāram ihāsāv abhinṛtyati // Mo_1,24.4 //	tat tasya nartana AgAram iha asO aBinRtyati // MaH _1,24.4 //
   "tasya" daivasya || MoT_1,24.4 ||	"tasya" dEvasya || MoT_1,24.4 ||
   asya nāmāntarakathanābhiprāyeṇāha	asya nAma antara kaTana aBiprAyeNa Aha
        tṛtīyaṃ ca kṛtānteti nāma bibhrat sudāruṇam /	tRtIyam ca kRtAnta iti nAma biBrat su dAruNam /
        kāpālikavapur mattaṃ daivaṃ jagati nṛtyati // Mo_1,24.5 //	kApAlika vapuH mattam dEvam jagati nRtyati // MaH _1,24.5 //
   "kāpālikavapuḥ" kāpālikatulyaḥ || MoT_1,24.5 ||	"kApAlika vapuH" kApAlika tulyaH || MoT_1,24.5 ||
   asyaiva sarvādhāratvaṃ kathayati	asya eva sarva ADAra tvam kaTayati
        nṛtyato hi kṛtāntasya nitāntam avirāgiṇaḥ /	nRtyataH hi kRtAntasya nitAntam avirAgiNaH /
        nityaṃ niyatikāntāyā mune paramakāminaḥ // Mo_1,24.6 //	nityam niyati kAntAyAH mune parama kAminaH // MaH _1,24.6 //
        śeṣaḥ śaśikalāśubhro gaṅgāvāhaś ca tau tridhā /	SezaH SaSi kalA SuBraH gaFgAvAhaH ca tO triDA /
        upavīte avītābhe ubhe saṃsāravakṣasi // Mo_1,24.7 //	upavIte avIta ABe uBe saMsAra vakzasi // MaH _1,24.7 //
   "tau" kau {#4} | "śeṣaḥ gaṅgāvāhaś" ca | "avītābhe" śobhāyukte | "saṃsāra"	"tO" kO {#4} | "SezaH gaFgAvAhaS" ca | "avIta ABe" SoBA yukte | "saMsAra"
   eva "vakṣas" | tatra || MoT_1,24.6 7 ||	eva "vakzas" | tatra || MoT_1,24.6 7 ||
   ***NOTES:	***NOTa ES:
   #4 N11: ko	#4 N11: kaH 
        candrārkamaṇḍale hemakaṭake karamūlayoḥ /	candra arka maNxale hema kawake kara mUlayoH /
        līlāsarasijaṃ haste brāhmam brahmāṇḍakarṇikam {#5} // Mo_1,24.8 //	lIlA sarasijam haste brAhmam brahmANxa karNikam {#5} // MaH _1,24.8 //
   "brāhmam" brahmaṇaḥ āsanabhūtam padmam | "brahmāṇḍasya karṇikam" {#6}	"brAhmam" brahmaNaH Asana BUtam padmam | "brahmANxasya karNikam" {#6}
   karnikābhūtaṃ | tanmadhyavartitvāt || MoT_1,24.8 ||	karnikA BUtam | tad maDya varti tvAt || MoT_1,24.8 ||
   ***NOTES:	***NOTa ES:
   #5 °4: °rṇikām; N11: °rṇik(ā)am	#5 °4: °rNikAm; N11: °rNik(A)am
   #6 °4: °rṇikām; N11: °rṇik(ā)am	#6 °4: °rNikAm; N11: °rNik(A)am
        tārābinducitaṃ lolapuṣkarāvartapallavam /	tArA bindu citam lola puzkara Avarta pallavam /
        ekārṇavapayodhautam {#7} ekam ambaram ambaram // Mo_1,24.9 //	eka arNava payaH DOtam {#7} ekam ambaram ambaram // MaH _1,24.9 //
   "ambaram" ākāśam | "ambaraṃ" vastram || MoT_1,24.9 ||	"ambaram" AkASam | "ambaraM" vastram || MoT_1,24.9 ||
   ***NOTES:	***NOTa ES:
   #7 N11: °payaudhau°	#7 N11: °payODO°
        evaṃrūpasya tasyāgre niyatir nityakāminī /	evaMrUpasya tasya agre niyatiH nitya kAminI /
        anastamitasaṃrambham ārambhaiḥ parinṛtyati // Mo_1,24.10 //	anastamita saMramBam AramBEH parinRtyati // MaH _1,24.10 //
   "ārambhaiḥ" {#8} yamaniyamarūpaiḥ | nartakasya samīpe hi nartakī api	"a AramBEH" {#8} yama niyama rUpEH | nartakasya samIpe hi nartakI api
   nṛtyati || MoT_1,24.10 ||	nRtyati || MoT_1,24.10 ||
   ***NOTES:	***NOTa ES:
   #8 °4: °mbhair	#8 °4: °mBEH 
        tasyā nartanalolāyā jaganmaṇḍapakoṭare /	tasyAH nartana lolAyAH jagat maNxapa koware /
        aruddhaspandarūpāyā āgamāpāyacañcure // Mo_1,24.11 //	arudDa spanda rUpAyAH Agama apAya caQcure // MaH _1,24.11 //
        cārubhūṣaṇam aṅgeṣu devalokāntarāvalī /	cAru BUzaNam aFgezu deva loka antara AvalI /
        āpātālaṃ nabho lambaṃ kavarīmaṇḍalam bṛhat // Mo_1,24.12 //	ApAtAlam naBaH lambam kavarI maNxalam bRhat // MaH _1,24.12 //
