   1. Gaurava Vilasa	1. GOrava  Vilasa
   tulasī kāṣṭha sambhūtāṃ yo mālāṃ vahate naraḥ |	tulasI  kAzWa  samBUtAm yaH mAlAm vahate naraH |
   phalaṃ yacchati daitāriḥ pratyahaṃ dvārakodbhavam // Hbhv_4.332 //	Palam yacCati dEtAriH pratyaham dvArakA udBavam // HBu _4.332 //
   nivedya viṣṇave mālāṃ tulasī kāṣṭha sambhavam |	nivedya vizNave mAlAm tulasI  kAzWa  samBavam |
   vahate yo naro bhaktyā tasya vai nāsti pātakam // Hbhv_4.333 //	vahate yaH naraH BaktyA tasya vE na asti pAtakam // HBu _4.333 //
   sadā prītamanās tasya kṛṣṇa devakī nandanaḥ |	sadA prIta manAH tasya kRzNa devakI nandanaH |
   tulasī kāṣṭha sambhūtāṃ yo mālāṃ vahate naraḥ |	tulasI  kAzWa  samBUtAm yaH mAlAm vahate naraH |
   prāyaścittaṃ na tasyāsti nāśaucaṃ tasya vigrahe // Hbhv_4.334 //	prAyaScittam na tasya asti na ASOcam tasya vigrahe // HBu _4.334 //
   tulasī kāṣṭha sambhūtāṃ śiraso yasya bhūṣaṇam |	tulasI  kAzWa  samBUtAm SirasaH yasya BUzaNam |
   bāhvoḥ kare ca martyasya dehe tasya sadā hariḥ // Hbhv_4.335 //	bAhvoH kare ca martyasya dehe tasya sadA hariH // HBu _4.335 //
   tulasī kāṣṭha mālābhir bhūṣitaḥ puṇyam ācaret |	tulasI  kAzWa  mAlABiH BUzitaH puNyam Acaret |
   pitṝṇāṃ devatānāṃ ca kṛtaṃ koṭi guṇaṃ kalau // Hbhv_4.336 //	pitLNAm devatAnAm ca kRtam kowi guNam kalO // HBu _4.336 //
   tulasī kāṣṭha mālāṃ tu preta rājasya dūtakāḥ |	tulasI  kAzWa  mAlAm tu preta rAjasya dUtakAH |
   dṛṣṭvā naśyanti dūreṇa vātoddhūtaṃ yathā dalam // Hbhv_4.337 //	dRzwvA naSyanti dUreNa vAta udDUtam yaTA dalam // HBu _4.337 //
   tulasī kāṣṭha mālābhir bhūṣito bhramate yadi |	tulasI  kAzWa  mAlABiH BUzitaH Bramate yadi |
   duḥsvapnaṃ durnimittaṃ ca na bhayaṃ śastrajaṃ kvacit // Hbhv_4.338 //	duHsvapnam durnimittam ca na Bayam Sastra jam kvacid // HBu _4.338 //
   atha gṛhe sandhyopāsana vidhiḥ	aTa gRhe sanDyA upAsana  viDiH
   sandhyopāsty ādikaṃ karma tataḥ kuryāt yathā vidhi |	sanDyA upAsti  Adikam karma tatas kuryAt yaTA viDi |
   kṛṣṇa pādodakenaiva tatra devādi tarpaṇam // Hbhv_4.339 //	kRzNa  pAda udakena eva tatra deva Adi  tarpaNam // HBu _4.339 //
   śirasā viṣṇu nirmālyaṃ pādodenāpi tarpaṇam |	SirasA vizNu  nirmAlyam pAda udena api tarpaNam |
   pitṝṇāṃ devatānāṃ ca vaiṣṇavais tu samaṃ matam // Hbhv_4.340 //	pitLNAm devatAnAm ca vEzNavEH tu samam matam // HBu _4.340 //
   sandhyopāstau ca vaśiṣṭha vacanam 	sanDyA upAstO ca vaSizWa  vacanam 
   gṛhe tv eka guṇā sandhyā goṣṭhe daśa guṇā smṛtā |	gRhe tu eka guNA sanDyA gozWe daSa guNA smRtA |
   śata sāhasrikā nadyām anantā viṣṇu sannidhau // Hbhv_4.341 //	Sata  sAhasrikA nadyAm anantAH vizNu  sanniDO // HBu _4.341 //
   atha śrī guru pūjā	aTa SrI  guru  pUjA
   pūjayiṣyaṃs tataḥ kṛṣṇam ādau sannihitaṃ gurum |	pUjayizyan tatas kRzNam AdO sannihitam gurum |
   praṇamya pūjayed bhaktyā dattvā kiṃcid upāayanam // Hbhv_4.342 //	praNamya pUjayet BaktyA dattvA kiMcid upAayanam // HBu _4.342 //
   smṛti mahārṇave 	smRti  mahA arNave 
   rikta pāṇir na paśyeta rājānaṃ bhiṣajaṃ gurum |	rikta  pANiH na paSyeta rAjAnam Bizajam gurum |
   nopāyana karaḥ putraṃ śiṣyaṃ bhṛtyaṃ nirīkṣayet // Hbhv_4.343 //	na upAyana karaH putram Sizyam BRtyam nirIkzayet // HBu _4.343 //
   kiṃ ca, śrī bhagavad uktau 	kim ca, SrI  Bagavat  uktO 
   prathamaṃ tu guruṃ pūjya tataś caiva mamārcanam |	praTamam tu gurum pUjya tatas ca eva mama arcanam |
   kurvan siddhim avāpnoti hy anyathā niṣphalaṃ bhavet // Hbhv_4.344 //	kurvan sidDim avApnoti hi anyaTA nizPalam Bavet // HBu _4.344 //
   śrī nāradena ca 	SrI nAradena ca 
   gurau sannihite yas tu pūjayed anyam agrataḥ |	gurO sannihite yaH tu pUjayet anyam agratas |
   sa durgatim avāpnoti pūjanaṃ tasya niṣphalam // Hbhv_4.345 //	sa durgatim avApnoti pUjanam tasya nizPalam // HBu _4.345 //
   śrutiṣu [śvet.u. 6.23]	Srutizu [Svet.u. 6.23]
   yasya deve parā bhaktiḥ yathā deve tathā gurau |	yasya deve parA BaktiH yaTA deve taTA gurO |
   tasyaite kathitā hy arthāḥ prakāśante mahātmanaḥ // Hbhv_4.346 //	tasya ete kaTitAH hi arTAH prakASante mahAtmanaH // HBu _4.346 //
   ekādaśa skandhe [11.17.27] śrī bhagavad uktau 	ekAdaSa  skanDe [11.17.27] SrI  Bagavat  uktO 
   ācāryaṃ māṃ vijānīyān nāvamanyeta karhicit |	AcAryam mAm vijAnIyAt na avamanyeta karhicit |
   na martya buddhyāsūyeta sarva deva mayo guruḥ // Hbhv_4.347 //	na martya budDyA asUyeta sarva  deva mayaH guruH // HBu _4.347 //
   daśama skandhe [BhP 10.80.34] ca   	daSama skanDe [Bhj 10.80.34] ca   
   nāham ijyā prajātibhyāṃ tapasopaśamena ca |	na aham ijyA  prajAtiByAm tapasA upaSamena ca |
   tuṣyeyaṃ sarva bhūtātmā guru śuśrūṣayā yathā // Hbhv_4.348 //	tuzyeyam sarva BUta AtmA guru  SuSrUzayA yaTA // HBu _4.348 //
   saptama skandhe [BhP 7.15.26] 	saptama skanDe [Bhj 7.15.26] 
   yasya sākṣād bhagavati jñāna dīpa prade gurau |	yasya sAkzAt Bagavati jQAna  dIpa  prade gurO |
   martyāsad dhīḥ śrutaṃ tasya sarvaṃ kuñjara śaucavat // Hbhv_4.349 //	martya asad DIH Srutam tasya sarvam kuQjara  SOca vat // HBu _4.349 //
   anyatrāpi 	anyatra api 
   sādhakasya gurau bhaktiṃ mandīkurvanti devatāḥ |	sADakasya gurO Baktim mandIkurvanti devatAH |
   yan no 'tītya vrajed viṣṇuṃ śiṣyo bhaktyā gurau dhruvan // Hbhv_4.350 //	yat naH atItya vrajet vizNum SizyaH BaktyA gurO Druvan // HBu _4.350 //
   manu smṛtau [2.153] 	manu  smRtO [2.153] 
   ajño bhavati vai bālaḥ pitā bhavati mantradaḥ |	ajQaH Bavati vE bAlaH pitA Bavati mantra daH |
   ajñaṃ hi bālam ity āhuḥ pitety eva tu mantradam // Hbhv_4.351 //	ajQam hi bAlam iti AhuH pitA iti eva tu mantra dam // HBu _4.351 //
   kiṃ ca 	kim ca 
   gurur brahmā gurur viṣṇur gurur devo maheśvaraḥ |	guruH brahmA guruH vizNuH guruH devaH maheSvaraH |
   gurur eva paraṃ brahma tasmāt sampūjayet sadā // Hbhv_4.352 //	guruH eva param brahma tasmAt sampUjayet sadA // HBu _4.352 //
   vāmana kalpe 	vAmana  kalpe 
   yo mantraḥ sa guruḥ sākṣāt yo guruḥ sa hariḥ smṛtaḥ |	yaH mantraH sa guruH sAkzAt yaH guruH sa hariH smRtaH |
   gurur yasya bhavet tuṣṭas tasya tuṣṭo hariḥ svayam |	guruH yasya Bavet tuzwaH tasya tuzwaH hariH svayam |
   guroḥ samāsane naiva na caivoccāsane vaset // Hbhv_4.353 //	guroH samAsane na eva na ca eva ucca Asane vaset // HBu _4.353 //
   viṣṇu rahasye 	vizNu  rahasye 
   tasmāt sarva prayatnena yathā vidhi tathā gurum |	tasmAt sarva  prayatnena yaTA viDi taTA gurum |
   abhedenārcayet yas tu sa mukti phalam āpnuyāt // Hbhv_4.354 //	aBedena arcayet yaH tu sa mukti Palam ApnuyAt // HBu _4.354 //
   viṣṇu dharme śrī bhāgavate ca hariścandrasya 	vizNu  Darme SrI  BAgavate ca hariScandrasya 
   guru suśrūṣaṇaṃ nāma sarva dharmottamottamam |	guru suSrUzaNam nAma sarva Darma uttama uttamam |
   tasmād dharmāt paro dharmaḥ pavitraṃ naiva vidyate // Hbhv_4.355 //	tasmAt DarmAt paraH DarmaH pavitram na eva vidyate // HBu _4.355 //
   kāma krodhādikaṃ yad yad ātmano 'niṣṭa kāraṇam |	kAma  kroDa Adikam yat yat AtmanaH anizwa  kAraNam |
   etat sarvaṃ gurau bhaktyā puruṣo hy añjasā jayet // Hbhv_4.356 //	etat sarvam gurO BaktyA puruzaH hi aQjasA jayet // HBu _4.356 //
   pādme 	pAdme 
   pitur ādhikya bhāvena ye'rcayanti guruṃ sadā |	pituH ADikya  BAvena ye arcayanti gurum sadA |
   bhavanty atithayo loke brahmaṇas te viśāṃ vara // Hbhv_4.357 //	Bavanti atiTayaH loke brahmaNaH te viSAm varaH // HBu _4.357 //
   tatraiva devahūti stutau 	tatra eva devahUti  stutO 
   bhaktir yathā harau me'sti tadvan niṣṭhā gurau yadi |	BaktiH yaTA harO me asti tadvat nizWA gurO yadi |
   mamāsti tena satyena svaṃ darśayatu me hariḥ // Hbhv_4.358 //	mama asti tena satyena svam darSayatu me hariH // HBu _4.358 //
   aditya purāṇe 	aditi a purANe 
   avidyo vā sa vidyo vā gurur eva janārdanaḥ |	avidyaH vA sa vidyaH vA guruH eva janArdanaH |
   mārgastho vāpy amārga stho gurur eva sadā gatiḥ // Hbhv_4.359 //	mArga sTaH vA api amArga  sTaH guruH eva sadA gatiH // HBu _4.359 //
   anyatra ca 	anyatra ca 
   harau ruṣṭe gurus trātā gurau ruṣṭe na kaścana |	harO ruzwe guruH trAtA gurO ruzwe na kaScana |
   tasmāt sarva prayatnena gurum eva prasādayet // Hbhv_4.360 //	tasmAt sarva  prayatnena gurum eva prasAdayet // HBu _4.360 //
   brahma vaivarte 	brahma vEvarte 
   api ghnantaḥ śapanto vā viruddhā api ye krudhāḥ |	api GnantaH SapantaH vA virudDAH api ye kruDAH |
   guravaḥ pūjanīyās te gṛhaṃ natvā nayeta tān // Hbhv_4.361 //	guravaH pUjanIyAH te gRham natvA nayeta tAn // HBu _4.361 //
   tat ślāghyaṃ janma dhanyaṃ tat dinaṃ puṇyātha naḍikā |	tat SlAGyam janma Danyam tat dinam puNyA aTa naxikA |
   yasyāṃ guruṃ praṇamate samupāsya tu bhaktitaḥ // Hbhv_4.362 //	yasyAm gurum praNamate samupAsya tu BaktitaH // HBu _4.362 //
   upadeṣṭāram āmnāya gataṃ pariharanti ye |	upadezwAram AmnAya  gatam pariharanti ye |
   tān mṛtān api kravyādāḥ kṛtaghnān nopabhuñjate // Hbhv_4.363 //	tAn mRtAn api kravyAdAH kRtaGnAn na upaBuQjate // HBu _4.363 //
   bodhaḥ kaluṣitas tena daurātmyaṃ prakaṭīkṛtam |	boDaH kaluzitaH tena dOrAtmyam prakawIkRtam |
   gurur yena parityaktas tena tyaktaḥ purā hariḥ // Hbhv_4.364 //	guruH yena parityaktaH tena tyaktaH purA hariH // HBu _4.364 //
   anyatra ca  	anyatra ca  
   pratipadya guruṃ yas tu mohād vipratipadyate |	pratipadya gurum yaH tu mohAt vipratipadyate |
   sa kalpa koṭiṃ narake pacyate puruṣādhamaḥ // Hbhv_4.365 //	sa kalpa  kowim narake pacyate puruza aDamaH // HBu _4.365 //
   pañcarātre   	paQca rAtre   
   avaiṣṇavopadiṣṭena mantreṇa nirayaṃ vrajet |	avEzNava upadizwena mantreNa nirayam vrajet |
   punaś ca vidhinā samyag grāhayed vaiṣṇavād guroḥ // Hbhv_4.366 //	punar ca viDinA samyak grAhayet vEzNavAt guroH // HBu _4.366 //
   agastya saṃhitāyāṃ   	agastya saMhitAyAm   
   ye gurv ājñāṃ na kurvanti pāpiṣṭhāḥ puruṣādhamāḥ |	ye guru  AjQAm na kurvanti pApizWAH puruza aDamAH |
   na teṣāṃ naraka kleśa nistāro muni sattama // Hbhv_4.367 //	na tezAm naraka  kleSa  nistAraH muni  sattamaH // HBu _4.367 //
   yaiḥ śiṣyaiḥ śaśvad ārādhyā guravo hy avamānitāḥ |	yEH SizyEH SaSvat ArADyAH guravaH hi avamAnitAH |
   putra mitra kalatrādi sampadbhyaḥ pracyutā hi te // Hbhv_4.368 //	putra mitra  kalatra Adi  sampadByaH pracyutAH hi te // HBu _4.368 //
   adhikṣipya guruṃ mohāt paruṣaṃ pravadanti ye |	aDikzipya gurum mohAt paruzam pravadanti ye |
   śūkaratvaṃ bhavaty eva teṣāṃ janma śateṣv api // Hbhv_4.369 //	SUkara tvam Bavati eva tezAm janma Satezu api // HBu _4.369 //
   ye guru drohiṇo mūḍhāḥ satataṃ pāpa kāriṇaḥ |	ye guru drohiNaH mUXAH satatam pApa kAriNaH |
   teṣāṃ ca yāvat sukṛtaṃ duṣkṛtaṃ syān na saṃśayaḥ // Hbhv_4.370 //	tezAm ca yAvat sukRtam duzkRtam syAt na saMSayaH // HBu _4.370 //
   ataḥ prāg gurum abhyarcya kṛṣṇa bhāvena buddhimān |	atas prAk gurum aByarcya kRzNa BAvena budDimAn |
   try avarān asamān kuryāt praṇāmān daṇḍa pātavat // Hbhv_4.371 //	tri  avarAn asamAn kuryAt praNAmAn daNxa pAta vat // HBu _4.371 //
   ata eva kaurme śrī vyāsa gītāyām 	atas eva kOrme SrI  vyAsa gItAyAm  
   vyatyasta pāṇinā kāryam upasaṅgrahaṇaṃ guroḥ |	vyatyasta pANinA kAryam upasaFgrahaNam guroH |
   savyena savyaḥ spraṣṭavyo dakṣiṇena tu dakṣiṇaḥ // Hbhv_4.372 //	savyena savyaH sprazwavyaH dakziNena tu dakziNaH // HBu _4.372 //
   |iti|	|iti|
   atha śrī guru pādānāṃ prāpyānujñāṃ ca sādhakaḥ |	aTa SrI  guru  pAdAnAm prApya anujQAm ca sADakaH |
   prāk saṃskṛtaṃ harer gehaṃ pravekṣyan pāduke tyajet // Hbhv_4.373 //	prAk saMskRtam hareH geham pravekzyan pAduke tyajet // HBu _4.373 //
   tathā cāpastamba 	taTA cApa stamba 
   agny āgāre gavāṃ goṣṭhe deva brāhmaṇa sannidhau |	agny AgAre gavAm gozWe deva  brAhmaNa  sanniDO |
   jape bhojana kāle ca pāduke parivarjayet // Hbhv_4.374 //	jape Bojana kAle ca pAduke parivarjayet // HBu _4.374 //
   |iti|	|iti|
   tataḥ śrī bhagavat pūjā mandirasyāṅganaṃ gataḥ |	tatas SrI  Bagavat  pUjA  mandirasya aFganam gataH |
   prakṣālya hastau pādau ca dvi rācamanam ācaret // Hbhv_4.375 //	prakzAlya hastO pAdO ca dvi rAcamanam Acaret // HBu _4.375 //
   tathā ca mārkaṇḍeye 	taTA ca mArkaNxeye 
   devārcanādi kāryāṇi tathā gurv abhivādanam |	deva arcana Adi  kAryANi taTA guru  aBivAdanam |
   kurvīta samyag ācamya tadvad eva bhuji kriyām // Hbhv_4.376 //	kurvIta samyak Acamya tadvat eva Buji  kriyAm // HBu _4.376 //
   |iti|	|iti|
   iti śrī gopāla bhaṭṭa vilikhite śrī bhagavad bhakti vilāse	iti SrI  gopAla  Bawwa  viliKite SrI  Bagavat  Bakti vilAse
   śrī vaiṣṇavālaṅkāro nāma	SrI vEzNava alaFkAraH nAma
   caturtho vilāsaḥ	caturTaH vilAsaH
   5. Adhisthanika Vilasa	5. ADisTanika Vilasa
   pañcama vilāsaḥ	paQcama vilAsaH
   ādhiṣṭhānikaḥ	ADizWAnikaH
   śrī caitanya prabhuṃ vande bālo 'pi yad anugrahāt |	SrI  cEtanya  praBum vande bAlaH api yat  anugrahAt |
   taren nānā mata grāha vyāptaṃ pūjā kramārṇavam // Hbhv_5.1 //	taret nAnA a mata  grAha  vyAptam pUjA a krama arNavam // HBu _5.1 //
   sanātanaḥ: śrī caitanyāya namaḥ | bālo 'jñaḥ | pakṣe śiśuḥ |	sanAtanaH: SrI  cEtanyAya namaH | bAlaH ajQaH | pakze SiSuH |
   nānā vidha matāny eva grāhas tair vyāptam | pūjāyāḥ kramo vidhiḥ |	nAnA  viDa matAni eva grAhaH tEH vyAptam | pUjAyAH kramaH viDiH |
   vidhy anukramo vā sa evārṇavas tam ** HbhvC_5.1 **	viDi  anukramaH vA saH eva arNavaH tam ** HBvS_5.1 **
   śrīmad gopāla devasyāṣṭādaśākṣara yantrataḥ |	SrImat  gopAla devasya azwAdaSa akzara  yantrataH |
   likhyate'rcā vidhir gūḍhaḥ krama dīpikayekṣitaḥ // Hbhv_5.2 //	liKyate arcA  viDiH gUXaH krama dIpikayA IkzitaH // HBu _5.2 //
   sanātanaḥ: aṣṭādaśākṣara mantreṇa yo 'rcā vidhiḥ pūjā prakāraḥ sa likhyate	sanAtanaH: azwAdaSa akzara  mantreNa yaH arcA  viDiH pUjA  prakAraH sa liKyate
   | yadyapi daśākṣarādināpi pūjā vidhau bhedo nāsti, tathāpi	| yadi api daSa akzarA AdinA api pUjA a  viDO BedaH nAsti, taTA api
   nyāsādi bhedāpekṣayā, tathā likhitam | gūḍho 'pi krama dīpikayā	nyAsa Adi Beda apekzayA, taTA liKitam | gUXaH api krama dIpikayA
   śrī keśavācārya viracitayā īkṣitaḥ darśitaḥ san | ataḥ	SrI  keSava AcArya  viracitayA IkzitaH darSitaH san | atas 
   krama dīpikoktānusāreṇa lekhya iti bhāvaḥ ** HbhvC_5.2 **	krama dIpikA ukta anusAreNa leKyaH iti BAvaH ** HBvS_5.2 **
   āgamoktena mārgeṇa bhagavān brāhmaṇair api |	Agama uktena mArgeNa BagavAn brAhmaNEH api |
   sadaiva pūjyo 'to lekhyaḥ prāya āgamiko vidhiḥ // Hbhv_5.3 //	sadA eva pUjyaH atas leKyaH prAyas AgamikaH viDiH // HBu _5.3 //
   tathā ca viṣṇu yāmale 	taTA ca vizNu yAmale 
   kṛte śruty ukta mārgaḥ syāt tretāyāṃ smṛti bhāvitaḥ |	kRte Sruti  ukta  mArgaH syAt tretAyAm smRti  BAvitaH |
   dvāpare tu purāṇoktaḥ kalāv āgama sambhavaḥ // Hbhv_5.4 //	dvApare tu purANa uktaH kalO Agama samBavaH // HBu _5.4 //
   aśuddhāḥ śūdrākalpā hi brāhmaṇāḥ kali sambhavāḥ |	aSudDAH SUdrA kalpAH hi brAhmaNAH kali samBavAH |
   teṣām āgama mārgeṇa śuddhir na śrauta vartmanā // Hbhv_5.5 //	tezAm Agama  mArgeNa SudDiH na SrOta vartmanA // HBu _5.5 //
   sanātanaḥ: teṣām āgama mārgeṇa śrauta vartmanety anena tair api	sanAtanaH: tezAm Agama  mArgeNa SrOta vartmanA iti anena tEH api
   āgamika vidhinaiva pūjā kāryeti bhāvaḥ | tathā caikādaśa skandhe [BhP	Agamika viDinA eva pUjA kAryA iti BAvaH | taTA ca ekAdaSa  skanDe [BhP
   11.5.61] nānā tantra vidhānena kalāv api tathā śṛṇu iti | tatra	11.5.61] nAnA tantra  viDAnena kalO api taTA SRNu iti | tatra
   śrīdhara svāmi pādāḥ nānā tantra vidhāneneti kalau tantra mārgasya	SrIDara  svAmi  pAdAH nAnA tantra  viDAnena iti kalO tantra  mArgasya
   prādhānyaṃ darśayati iti ** HbhvC_5.3 5 **	prADAnyam darSayati iti ** HBvS_5.3 5 **
   atha dvāra pūjā	aTa dvAra  pUjA
   śrī kṛṣṇa dvāra devebhyo dattvā pādyādikaṃ tataḥ |	SrI  kRzNa  dvAra  deveByaH dattvA pAdya Adikam tatas |
   gandha puṣpair arcayet tān yathā sthānaṃ yathā kramam // Hbhv_5.6 //	ganDa  puzpEH arcayet tAn yaTA  sTAnam yaTA kramam // HBu _5.6 //
   sanātanaḥ: tān śrī kṛṣṇa dvāra devān, praṇavādi caturthy antaṃ deva nāma	sanAtanaH: tAn SrI kRzNa  dvAra  devAn, praNava Adi  caturTI  antam deva nAma
   namo 'ntakam ity agre lekhyatvād atraivaṃ	namaH antakam iti agre leKya tvAt atra evam
   prayogaḥ śrī kṛṣṇa dvāra devatābhyo namaḥ | anena mantreṇa pādyārdhyādikaṃ	prayogaH  SrI kRzNa  dvAra  devatAByaH namaH | anena mantreNa pAdya ArDya Adikam
   dattvā gandhādibhiḥ punar viśeṣeṇa pūjayed ity arthaḥ | evam agre'pi	dattvA ganDa AdiBiH punar viSezeNa pUjayet iti arTaH | evam agre api
   sa parivārebhyaḥ śrī kṛṣṇa pārṣadebhyo namaḥ ity ādi prayogo draṣṭavyaḥ **	sa parivAreByaH SrI  kRzNa  pArzadeByaH namaH iti Adi prayogaH drazwavyaH **
   HbhvC_5.6 **	HBvS_5.6 **
   dvārāgre sa parīvārān bhū pīṭhe kṛṣṇa pārṣadān |	dvAra agre sa parIvArAn BU  pIWe kRzNa  pArzadAn |
   tad agre garuḍaṃ dvārasyordhve dvāra śriyaṃ yajet // Hbhv_5.7 //	tat  agre garuxam dvArasya UrDve dvAra  Sriyam yajet // HBu _5.7 //
   prāg dvārobhaya pārśve tu yajec caṇḍa pracaṇḍakau |	prAc  dvAra uBaya  pArSve tu yajet caNxa  pracaNxakO |
   dvāre ca dakṣiṇe dhātṛ vidhātārau ca paścime // Hbhv_5.8 //	dvAre ca dakziNe DAtR viDAtArO ca paScime // HBu _5.8 //
   jayaṃ ca vijayaṃ caiva balaṃ prabalam uttare |	jayam ca vijayam ca eva balam prabalam uttare |
   dvandva śastv evam abhyarcya dehalyāṃ vāstu puruṣam // Hbhv_5.9 //	dvandva Sastu evam aByarcya dehalyAm vAstu puruzam // HBu _5.9 //
   sanātanaḥ: evaṃ sāmānyena sarveṣām eva pūjā vidhir likhitaḥ | idānīṃ	sanAtanaH: evam sAmAnyena sarvezAm eva pUjA  viDiH liKitaH | idAnIm
   yathā sthānaṃ yathā kramam iti yal likhitaṃ, tad eva vivicya	yaTA  sTAnam yaTA kramam iti yat liKitaM, tat eva vivicya
   likhati dvārāgra iti dvārābhyām | tatrāpy ādau dvārasyāgre yat bhū rūpaṃ	liKati dvAra agre iti dvArAByAm | tatra api AdO dvArasya agre yat BU  rUpam
   pīṭhaṃ, tatra samasta parivārānvitān śrī kṛṣṇa pārṣadān yajet pūjayet |	pIWaM, tatra samasta  parivAra anvitAn SrI  kRzNa  pArzadAn yajet pUjayet |
   anantaraṃ tasya dvārasyāgre garuḍaṃ | yadyapi dvāra śriyo 'rcanaṃ	anantaram tasya dvArasya agre garuxam | yadi api dvAra  SriyaH arcanam
   prabalārcanānantaram eva krama dīpikāyām uktam, tathāpi iṣṭveti	prabala arcanA anantaram eva krama dIpikAyAm uktam, taTA api izwvA iti
   kṭvā pratyayena caṇḍādi pūjātaḥ pūrva kāla eveti bodhitam | tathaivaa	kwvA  pratyayena caNxa Adi pUjAtaH pUrva kAle eva iti boDitam | taTA evaa
   sad ācārāt | kiṃ ca, dvandva ity agre likhanāt, caṇḍa pracaṇḍābhyāṃ namaḥ	sat  AcArAt | kim ca, dvandvaH iti agre liKanAt, caNxa  pracaNxAByAm namaH
   ity evaṃ yugmatvena prayogo jñeyaḥ ** HbhvC_5.7 9 **	iti evam yugma tvena prayogaH jQeyaH ** HBvS_5.7 9 **
   dvārāntaḥ pārśvayor gaṅgāṃ yamunāṃ ca tato 'rcayet |	dvAra antaH  pArSvayoH gaFgAm yamunAm ca tatas arcayet |
   tat pārśvayoḥ śaṅkha nidhiṃ tathā padma nidhiṃ yajet // Hbhv_5.10 //	tat pArSvayoH SaFKa niDim taTA padma  niDim yajet // HBu _5.10 //
   sanātanaḥ: dvārasyāntaḥ abhyantare tat pārśva dvaye tayor gaṅgā yamunayoḥ	sanAtanaH: dvArasya antar aByantare tat pArSva  dvaye tayoH gaFgA yamunayoH
   pārśva dvaye ** HbhvC_5.10 **	pArSva  dvaye ** HBvS_5.10 **
   gaṇeśaṃ mandirasyāgni koṇe durgāṃ ca nairṛte |	gaNeSam mandirasya agni koNe durgAm ca nErRte |
   vāṇīṃ vāyavya aiśāne kṣetrapālaṃ tathārcayet // Hbhv_5.11 //	vANIm vAyavyaH ESAne kzetrapAlam taTA arcayet // HBu _5.11 //
   sanātanaḥ: āgneye koṇe gaṇeśam arcayet | tathā coktaṃ krama dīpikāyām	sanAtanaH: Agneye koNe gaNeSam arcayet | taTA ca uktam krama dIpikAyAm
   parivārārāḥ kṛtāḥ sarve punaḥ śrī viṣṇu pārṣadāḥ |	parivAra ArAH kRtAH sarve punar SrI  vizNu  pArzadAH |
   dvārāgrābali pīṭhe'rcyāḥ pakṣīndraś ca tad agrataḥ ||	dvAra agrA bali  pIWe arcyAH pakzi indraH ca tad  agratas ||
   caṇḍa pracaṇḍau prāg dhātṛ vidhātārau ca dakṣiṇe |	caNxa  pracaNxO prAk DAtR viDAtArO ca dakziNe |
   jayaḥ sa vijayaḥ paścād balaḥ prabala uttare ||	jayaH sa vijayaH paScAt balaH prabalaH uttare ||
   ūrdhve dvāra śriyaṃ ceṣṭvā dvāry etān yugmaśo 'rcayet |	UrDve dvAra  Sriyam ca izwvA dvAri etAn yugmaSas arcayet |
   pūjyo vāstu pumāṃs tatra tatra dvāḥ pītha madhyataḥ ||	pUjyaH vAstu  pumAn tatra tatra dvAH  pITa  maDyatas ||
   dvārāntaḥ pārśvayor arcyā gaṅgā ca yamunā nadī |	dvAra antaH  pArSvayoH arcyA gaFgA ca yamunA nadI |
   koṇeṣu vighnaṃ durgāṃ ca vāṇīṃ kṣetre samarcayet ||	koNezu viGnam durgAm ca vANIm kzetre samarcayet ||
   | iti |	| iti |
   dvāḥ śākhām āśrayan vāmāṃ saṅkocyāṅgāni dehalīm |	dvAH  SAKAm ASrayan vAmAm saFkocya aFgAni dehalIm |
   aspṛṣṭvā praviśed veśma nyasyan prāg dakṣiṇaṃ padam // Hbhv_5.12 //	aspRzwvA praviSet veSma nyasyan prAk dakziNam padam // HBu _5.12 //
