   pañcatantram	paQcatantram
   atha tat samākarṇya proccair vihasya yad bhaviṣyaḥ provāca aho, na	aTa tat samAkarNya proccEs vihasya yat  BavizyaH provAca  aho, na
   bhavadbhyāṃ mantritaṃ samyag etad iti, yataḥ kiṃ vāṅ mātreṇāpi teṣāṃ	BavadByAm mantritam samyak etat iti, yatas kim vAF  mAtreNa api tezAm
   pitṛ paitāmahikam etat saras tyaktuṃ yujyate | yady āyuḥ kṣayo 'sti tad	pitR pEtAmahikam etat saraH tyaktum yujyate | yadi AyuH  kzayaH asti tat 
   anyatra gatānām api mṛtyur bhaviṣyaty eva | uktaṃ ca 	anyatra gatAnAm api mRtyuH Bavizyati eva | uktam ca 
   arakṣitaṃ tiṣṭhati daiva rakṣitaṃ	arakzitam tizWati dEva rakzitam
   surakṣitaṃ daiva hataṃ vinaśyati |	su rakzitam dEva hatam vinaSyati |
   jīvaty anātho 'pi vane visarjitaḥ	jIvati anATaH api vane visarjitaH
   kṛta prayatno 'pi gṛhe na jīvati ||Panc_1.352||	kRta  prayatnaH api gRhe na jIvati ||Pan= _1.352||
   tad ahaṃ na yāsyāmi bhavadbhyāṃ ca yat pratibhāti tat kartavyam |	tat aham na yAsyAmi BavadByAm ca yat pratiBAti tat kartavyam |
   atha tasya taṃ niścayaṃ jñātvānāgata vidhātā pratyutpanna matiś ca	aTa tasya tam niScayam jQAtvA anAgata viDAtA pratyutpanna matiH ca
   niṣkrānau saha parijanena | atha prabhāte tair matsya jīvibhir jālais taj	nizkrAnO saha parijanena | aTa praBAte tEH matsya jIviBiH jAlEH tad 
   jalāśayam āloḍya yad bhaviṣyeṇa saha tat saro nirmatsyatāṃ nītam | ato	jalASayam Aloxya yat  BavizyeNa saha tat saraH nirmatsya tAm nItam | atas 
   'haṃ bravīmi anāgata vidhātā ceti |	aham bravImi anA gata viDAtA ca iti |
   tac chrutvā ṭiṭṭibha āha bhadre, kiṃ māṃ yadbhaviṣya sadṛśaṃ sambhāvayasi	tat SrutvA wiwwiBaH Aha Badre, kim mAm yat Bavizya  sadRSam samBAvayasi
   | tat paśya me buddhi prabhāvaṃ yāvad enaṃ duṣṭa samudraṃ sva cañcvā	| tat paSya me budDi praBAvam yAvat enam duzwa  samudram sva  caQcvA
   śoṣayāmi |	SozayAmi |
   ṭiṭṭibhy āha aho kas te samudreṇa saha vigrahaḥ | tan na yuktam asyopari	wiwwiBi Aha aho kaH te samudreNa saha vigrahaH | tat na yuktam asya upari
   kopaṃ kartum | uktaṃ ca 	kopam kartum | uktam ca 
   puṃsām asamarthānām upadravāyātmano bhavet kopaḥ |	puMsAm asamarTAnAm upadravAya AtmanaH Bavet kopaH |
   piṭharaṃ jvalad atimātraṃ nija pārśvān eva dahatitarām ||Panc_1.353||	piWaram jvalat  atimAtram nija  pArSvAn eva dahatitarAm ||Pan= _1.353||
   tathā ca 	taTA ca 
   aviditvātmanaḥ śaktiṃ parasya na samutsukaḥ |	aviditvA AtmanaH Saktim parasya na samutsukaH |
   gacchann abhimukho vahnau nāśaṃ yāti pataṅgavat ||Panc_1.354||	gacCan aBimuKaH vahnO nASam yAti pataFga vat ||Pan= _1.354||
   ṭiṭṭibha āha priye, mā maivaṃ vada | yeṣām utsāha śaktir bhavati te svalpā	wiwwiBaH Aha priye, mA mA evam vada | yezAm utsAha  SaktiH Bavati te su alpA
   api gurūn vikramante | uktaṃ ca 	api gurUn vikramante | uktam ca 
   viśeṣāt paripūrṇasya yāti śatror amarṣaṇaḥ |	viSezAt paripUrNasya yAti SatroH amarzaNaH |
   ābhimukhyaṃ śaśāṅkasya yathādyāpi vidhuntudaḥ ||Panc_1.355||	ABimuKyam SaSAFkasya yaTA adya api viDuntudaH ||Pan= _1.355||
   tathā ca 	taTA ca 
   pramāṇād adhikasyāpi gaṇḍa śyāma mada cyuteḥ | padaṃ mūrdhni samādhatte	pramANAt aDikasya api gaNxa SyAma mada  cyuteH | padam mUrDni samADatte
   kesarī matta dantinaḥ ||Panc_1.356||	kesarI matta  dantinaH ||Pan= _1.356||
   tathā ca 	taTA ca 
   bālasyāpi raveḥ pādāḥ patanty upari bhūbhṛtām |	bAlasya api raveH pAdAH patanti upari BUBRtAm |
   tejasā saha jātānāṃ vayaḥ kutropayujyate ||Panc_1.357||	tejasA saha jAtAnAm vayaH kutra upayujyate ||Pan= _1.357||
   hastau sthūlataraḥ sa cāṅkuśa vaśaḥ kiṃ hasti mātro 'ṅkuśo	hastO sTUlataraH sa ca aFkuSa vaSaH kim hasti  mAtraH aFkuSo
   dīpe prajvalite praṇaśyati tamaḥ kiṃ dīpa mātraṃ tamaḥ |	dIpe prajvalite praNaSyati tamaH kim dIpa  mAtram tamaH |
   vajreṇāpi hatāḥ patanti girayaḥ kiṃ vajra mātro giris	vajreNa api hatAH patanti girayaH kim vajra  mAtraH giri s
   tejo yasya virājate sa balavān sthūleṣu kaḥ pratyayaḥ ||Panc_1.358||	tejaH yasya virAjate sa balavAn sTUlezu kaH pratyayaH ||Pan= _1.358||
   tad anayā cañcvāsya sakalaṃ toyaṃ śuṣka sthalatāṃ nayāmi |	tat anayA caQcvA asya sakalam toyam Suzka  sTala tAm nayAmi |
   ṭiṭṭibhy āha bhoḥ kānta ! yatra jāhnavī nava nadī śatāni gṛhītvā nityam	wiwwiBi Aha BoH kAntaH ! yatra jAhnavI nava nadI  SatAni gRhItvA nityam
   eva praviśati, tathā sindhuś ca | tat kathaṃ tvam aṣṭādaśa nadī śataiḥ	eva praviSati, taTA sinDuH ca | tat kaTam tvam azwAdaSa  nadI  SatEH
   pūryamāṇaṃ taṃ vipruṣa vāhinyā cañcvā śoṣayiṣyasi ? tat kim aśraddho	pUryamANam tam vipruza vAhinyA caQcvA Sozayizyasi ? tat kim aSradDaH 
   yenoktena |	yena uktena |
   ṭiṭṭibha āha priye !	wiwwiBaH Aha priye !
   anirvedaḥ śriyo mūlaṃ cañcur me loha sannibhā |	anirvedaH SriyaH mUlam caQcuH me loha  sanniBA |
   aho rātrāṇi dīrghāṇi samudraḥ kiṃ na śuṣyati ||Panc_1.359||	aho rAtrANi dIrGANi samudraH kim na Suzyati ||Pan= _1.359||
   duradhigamaḥ para bhāgo yāvat puruṣeṇa pauruṣaṃ na kṛtam |	duraDigamaH para BAgaH yAvat puruzeNa pOruzam na kRtam |
   jayati tulām adhirūḍho bhāsvān api jalada paṭalāni ||Panc_1.360||	jayati tulAm aDirUXaH BAsvAn api jalada  pawalAni ||Pan= _1.360||
   ṭiṭṭibhy āha yadi tvayāvaśyaṃ samudreṇa saha vigrahānuṣṭhānaṃ kāryam | tad	wiwwiBi Aha yadi tvayA avaSyam samudreNa saha vigraha anuzWAnam kAryam | tat 
   anyān api vihaṅgamān āhūya suhṛj jana sahita evaṃ samācara | uktaṃ ca 	anyAn api vihaFgamAn AhUya suhRj  jana  sahitaH evam samAcara | uktam ca 
   bahūnām apy asārāṇāṃ samvāyo hi durjayaḥ |	bahUnAm api asArANAm samvAyaH hi durjayaH |
   tṛṇair āveṣṭyate rajjur yathā nāgo 'pi baddhyate ||Panc_1.361||	tRNEH Avezwyate rajjuH yaTA nAgaH api badDyate ||Pan= _1.361||
   tathā ca 	taTA ca 
   caṭakākāṣṭha kūṭena makṣikā dardurais tathā |	cawakA kAzWa  kUwena makzikA dardurEH taTA |
   mahājana virodhena kuñjaraḥ pralayaṃ gataḥ ||Panc_1.362||	mahA jana  viroDena kuQjaraH pralayam gataH ||Pan= _1.362||
   ṭiṭṭibha āha katham etat ?	wiwwiBaH Aha kaTam etat ?
   sā prāha 	sA prAha 
   kathā 15	kaTA 15
   kuñjara caṭaka dampatī kathā	kuQjara cawaka  dampatI  kaTA
   kasmiṃścid vanoddeśe caṭaka dampatī tamāla taru kṛta nilayau prativasataḥ	kasmiMScid vana uddeSe cawaka dampatI tamAla  taru kRta  nilayO prativasataH
   sma | atha tayor gacchatā kālena santatir abhavat | anyasminn ahani	sma | aTa tayoH gacCatA kAlena santatiH aBavat | anyasmin ahani
   pramatto vana gajaḥ kaścit taṃ tamāla vṛkṣaṃ gharmārtaś chāyārthī	pramattaH vana gajaH kaScid tam tamAla vRkzam Garma ArtaH CAyA arTI
   samāśritaḥ | tato madotkaṛṣāt tāṃ tasya śākhāṃ caṭakāśritāṃ	samASritaH | tatas mada utkaRzAt tAm tasya SAKAm cawakA ASritAm
   puṣkarāgreṇākṛṣya babhañja | tasyā bhaṅgena caṭakāṇḍāni sarvāṇi viśīrṇāni	puzkara agreNa AkRzya baBaQja | tasyAH BaFgena cawakA aNxAni sarvANi viSIrNAni
   | āyuḥ śeṣatayā ca caṭakau katham api prāṇair na viyuktau |	| AyuH  Seza tayA ca cawakO kaTam api prANEH na viyuktO |
   atha caṭakā sāṇḍa bhaṅgābhibhūtā pralāpān kurvāṇā na kiñcit sukham āsasāda	aTa cawakA sANxa BaFga aBiBUtA pralApAn kurvANA na kiQcid suKam AsasAda
   | atrāntare tasyās tān pralāpān śrutvā kāṣṭha kūṭo nāma pakṣī tasyāḥ	| atra antare tasyAH tAn pralApAn SrutvA kAzWa kUwaH nAma pakzI tasyAH
   parama suhṛt tad duḥkha duḥkhito 'bhyetya tām uvāca bhagavati ! kiṃ vṛthā	parama  suhRt  tad duHKa  duHKitaH aByetya tAm uvAca  Bagavati ! kim vRTA
   pralāpena | uktaṃ ca 	pralApena | uktam ca 
   naṣṭaṃ mṛtam atikrāntaṃ nānuśocanti paṇḍitāḥ |	nazwam mRtam atikrAntam na anuSocanti paNxitAH |
   paṇḍitānāṃ ca mūrkhāṇāṃ viśeṣo 'yaṃ yataḥ smṛtaḥ ||Panc_1.363||	paNxitAnAm ca mUrKANAm viSezaH ayam yatas smRtaH ||Pan= _1.363||
   tathā ca 	taTA ca 
   aśocyānīha bhūtāni yo mūḍhas tāni śocati |	aSocyAni iha BUtAni yaH mUXaH tAni Socati |
   tad duḥkhāl labhate duḥkhaṃ dvāv anarthau niṣevate ||Panc_1.364||	tad  duHKAt laBate duHKam dvO anarTO nizevate ||Pan= _1.364||
   anyac ca 	anyat ca 
   śleṣmāśru bāndhavair muktaṃ preto bhuṅkte yato 'vaśaḥ |	Slezma aSru bAnDavEH muktam pretaH BuFkte yatas avaSaH |
   tasmān na roditavyaṃ hi kriyāḥ kāryāś ca śaktitaḥ ||Panc_1.365||	tasmAt na roditavyam hi kriyAH kAryAH ca Saktitas ||Pan= _1.365||
   caṭakā prāha astv etat | paraṃ duṣṭa gajena madān mama santāna kṣayaḥ	cawakA prAha astu etat | param duzwa  gajena madAt mama santAna  kzayaH
   kṛtaḥ | tad yadi mama tvaṃ suhṛt satyas tad asya gajāpasadasya ko 'pi	kRtaH | tat yadi mama tvam suhRt  satyaH tat asya gaja apasadasya kaH api
   vadhopāyaś cintyatām | yasyānuṣṭhānena me santati nāśa duḥkham apasarati |	vaDa upAyaH cintyatAm | yasya anuzWAnena me santati  nASa  duHKam apasarati |
   uktaṃ ca 	uktam ca 
   āpadi yenopakṛtaṃ yena ca hasitaṃ daśāsu viṣamāsu |	Apadi yena upakRtam yena ca hasitam daSAsu vizamAsu |
   upakṛtya tayor ubhayoḥ punar api jātaṃ naraṃ manye ||Panc_1.366||	upakRtya tayoH uBayoH punar api jAtam naram manye ||Pan= _1.366||
   kāṣṭha kūṭa āha bhagavati, satyam abhihitaṃ bhavatyā | uktaṃ ca 	kAzWa  kUwaH Aha Bagavati, satyam aBihitam BavatyA | uktam ca 
   sa suhṛd vyasane yaḥ syād anya jāty udbhavo 'pi san |	sa suhRd vyasane yaH syAt anya  jAti  udBavaH api san |
   vṛddhau sarvo 'pi mitraṃ syāt sarveṣām eva dehinām ||Panc_1.367||	vRdDO sarvaH api mitram syAt sarvezAm eva dehinAm ||Pan= _1.367||
   sa suhṛd vyasane yaḥ syāt sa putro yas tu bhaktimān |	sa suhRd vyasane yaH syAt sa putraH yaH tu BaktimAn |
   sa bhṛtyo yo vidheyajñaḥ sā bhāryā yatra nirvṛtiḥ ||Panc_1.368||	sa BRtyaH yaH viDeya jQaH sA BAryA yatra nirvRtiH ||Pan= _1.368||
   tat paśya me buddhi prabhāvam | paraṃ mamāpi suhṛd bhūtā vīṇāravā nāma	tat paSya me budDi praBAvam | param mama api suhRd BUtAH vINAravAH nAma
   makṣikāsti | tat tām āhūyāgacchāmi, yena sa durātmā duṣṭa gajo badhyate |	makzikA asti | tat tAm AhUya AgacCAmi, yena sa durAtmA duzwa  gajaH baDyate |
   athāsau caṭakayā saha makṣikām āsādya provāca bhadre, mameṣṭeyaṃ caṭakā	aTa asO cawakayA saha makzikAm AsAdya provAca  Badre, mama izwA iyam cawakA
   kenacid duṣṭa gajena parābhūtāṇḍa sphoṭanena | tat tasya vadhopāyam	kenacid duzwa  gajena parABUta aNxa  sPowanena | tat tasya vaDa upAyam
   anutiṣṭhato me sāhāyyaṃ kartum arhasi |	anutizWataH me sAhAyyam kartum arhasi |
   makṣikāpy āha bhadra ! kim ucyate'tra viṣaye | uktaṃ ca 	makzikA api Aha Badra ! kim ucyate atra vizaye | uktam ca 
   punaḥ pratyupakārāya mitrāṇāṃ kriyate priyam |	punar pratyupakArAya mitrANAm kriyate priyam |
   yat punar mitra mitrasya kāryaṃ mitrair na kiṃ kṛtam ||Panc_1.369||	yat punar mitra mitrasya kAryam mitrEH na kim kRtam ||Pan= _1.369||
   satyam etat | paraṃ mamāpi bheko meghanādo nāma mitraṃ tiṣṭhati | tam apy	satyam etat | param mama api BekaH meGanAdaH nAma mitram tizWati | tam api 
   āhūya yathocitaṃ kurmaḥ | uktaṃ ca 	AhUya yaTocitam kurmaH | uktam ca 
   hitaiḥ sādhu samācāraiḥ śāstrajñair mati śālibhiḥ |	hitEH sADu  samAcArEH SAstra jQEH mati  SAliBiH |
   kathañcin na vikalpante vidvadbhiś cintitā nayāḥ ||Panc_1.370||	kaTaQcid na vikalpante vidvadBiH cintitAH nayAH ||Pan= _1.370||
   atha te trayo 'pi gatvā meghanādasyāgre samastaṃ vṛttāntaṃ nivedya tasthuḥ	aTa te trayaH api gatvA meGanAdasya agre samastam vRttAntam nivedya tasTuH
   | atha sa provāca kiyan mātro 'sau varāko gajo mahājanasya kupitasyāgre |	| aTa sa provAca kiyan mAtraH asO varAkaH gajaH mahAjanasya kupitasya agre |
   tan madīyo mantraḥ kartavyaḥ | makṣike, tvaṃ gatvā madhyāhna samaye tasya	tat madIyaH mantraH kartavyaH | makzike, tvam gatvA maDyAhna  samaye tasya
   madoddhatasya gajasya karṇe vīṇā rava sadṛśaṃ śabdaṃ kuru | yena	mada udDatasya gajasya karNe vINA  rava  sadRSam Sabdam kuru | yena
   śravaṇa sukha lālaso nimīlita nayano bhavati | tataś ca kāṣṭha kūṭa cañcvā	SravaNa  suKa lAlasaH nimIlita  nayanaH Bavati | tatas ca kAzWa kUwa caQcvA
   sphoṭita nayano 'ndhībhūtas tṛṣārto mama garta taṭāśritasya saparikarasya	sPowita nayanaH anDIBUtaH tRzA ArtaH mama garta  tawa ASritasya sa parikarasya
   śabdaṃ śrutvā jalāśayaṃ matvā samabhyeti | tato gartam āsādya patiṣyati	Sabdam SrutvA jalASayam matvA samaByeti | tatas gartam AsAdya patizyati
   pañcatvaṃ yāsyati ceti | evaṃ samavāyaḥ kartavyo yathā vaira sādhanaṃ	paQcatvam yAsyati ca iti | evam samavAyaH kartavyaH yaTA vEra  sADanam
   bhavati |	Bavati |
   atha tathānuṣṭhite sa matta gajo makṣikā geya sukhān nimīlita netraḥ	aTa taTA anuzWite sa matta gajaH makzikA  geya  suKAt nimIlita netraH
   kāṣṭha kūṭa hṛta cakṣur madhyāhna samaye bhrāmyan maṇḍūka śabdānusārī	kAzWa kUwa hRta cakzuH maDyAhna  samaye BrAmyan maNxUka  Sabda anusArI
   gacchan mahatīṃ gartam āsādya patito mṛtaś ca | ato 'haṃ bravīmi caṭakā	gacCan mahatIm gartam AsAdya patitaH mRtaH ca | atas aham bravImi cawakA
   kāṣṭha kūṭena iti |	kAzWa kUwena iti |
   ṭiṭṭibha āha bhadre, evaṃ bhavatu | suhṛd varga samudāyena saha samudraṃ	wiwwiBaH Aha Badre, evam Bavatu | suhRd  varga  samudAyena saha samudram
   śoṣayiṣyāmi | iti niścitya baka sārasa mayūrādīn samāhūya provāca bhoḥ	SozayizyAmi | iti niScitya baka sAra sa mayUra AdIn samAhUya provAca  BoH
   parābhūto 'haṃ samudreṇāṇḍakāpahareṇa | tac cintyatām asya śoṣaṇopāyaḥ |	parABUtaH aham samudreNa aNxaka apahareNa | tat cintyatAm asya SozaNa upAyaH |
   te sammantrya procuḥ aśaktā vayaṃ samudra śoṣaṇe | tat kiṃ vṛthā prayāsena	te sammantrya procuH a SaktAH vayam samudra  SozaNe | tat kim vRTA prayAsena
   | uktaṃ ca 	| uktam ca 
   abalaḥ pronnataṃ śatruṃ yo yāti mada mohitaḥ |	abalaH pronnatam Satrum yaH yAti mada  mohitaH |
   yuddhārthaṃ sa nivarteta śīrṇa danto yathā gajaḥ ||Panc_1.371||	yudDa arTam sa nivarteta SIrNa dantaH yaTA gajaH ||Pan= _1.371||
   tad asmākaṃ svāmī vainateyo 'sti | tasmai sarvam etat paribhava sthānaṃ	tat asmAkam svAmI vEnateyaH asti | tasmE sarvam etat  pariBava  sTAnam
   nivedyatām, yena svajāti paribhava kupito vairānṛṇyaṃ gacchati |	nivedya tAm, yena sva jAti  pariBava  kupitaH vEra AnRNyam gacCati |
   athavātrāvalepaṃ kariṣyati tathāpi nāsti vo duḥkham | uktaṃ ca 	aTa vA atra avalepam karizyati taTA api na asti vaH duHKam | uktam ca 
   suhṛdi nirantara racite guṇavati bhṛtye'nuvartini kalatre |	suhRdi nirantara  racite guNavati BRtye anuvartini kalatre |
   svāmini śakti samete nivedya duḥkhaṃ sukhī bhavati ||Panc_1.372||	svAmini Sakti  samete nivedya duHKam suKI Bavati ||Pan= _1.372||
   tad yāmo vinateya sakāśaṃ yato 'sāv asmākaṃ svāmī |	tat yAmaH vinatA iya  sakASam yatas asO asmAkam svAmI |
   tathānuṣṭhite sarve te pakṣiṇo viṣaṇṇa vadanā bāṣpa pūrita dṛśo	taTA anuzWite sarve te pakziNaH vizaNNa  vadanAH bAzpa pUrita dRSaH 
   vainateya sakāśam āsādya karuṇa svareṇa phūtkartum ārabdhāḥ aho !	vEnateya  sakASam AsAdya karuNa svareNa PUtkartum ArabDAH aho !
   abrahmaṇyam abrahmaṇyam ! adhunā sadācārasya ṭiṭṭibhasya bhavati nāthe	abrahmaNyam abrahmaNyam ! aDunA sat AcArasya wiwwiBasya Bavati nATe
   sati samudreṇāṇḍāny apahṛtāni tat pranaṣṭam adhunā pakṣi kulam | anye'pi	sati samudreNa aNxAni apahRtAni tat  pranazwam aDunA pakzi  kulam | anye api
   svecchayā samudreṇa vyāpādiṣyante | uktaṃ ca 	sva icCayA samudreNa vyApAdizyante | uktam ca 
   kva kasya karma saṃvīkṣya karoty anyo 'pi garhitam |	kva kasya karma saMvIkzya karoti anyaH api garhitam |
   gatānugatiko loko na lokaḥ pāramārthikaḥ ||Panc_1.373||	gata anugatikaH lokaH na lokaH pAramArTikaH ||Pan= _1.373||
   cāṭu taskara durvṛttais tathā sāhasikādibhiḥ |	cAwu taskara  durvRttEH taTA sAhasika AdiBiH |
   pīḍyamānāḥ prajā rakṣyāḥ kaṭūcchadmādibhis tathā ||Panc_1.374||	pIxyamAnAH prajAH rakzyAH kawu ucCadma AdiBiH taTA ||Pan= _1.374||
   prajānāṃ dharma ṣaḍ bhāgo rājño bhavati rakṣituḥ |	prajAnAm Darma  zaz  BAgaH rAjQaH Bavati rakzituH |
   adharmād api ṣaḍ bhāgo jāyate yo na rakṣati ||Panc_1.375||	aDarmAt api zaz  BAgaH jAyate yaH na rakzati ||Pan= _1.375||
   prajā pīḍana santāpāt samudbhūto hutāśanaḥ |	prajA a  pIxana  santApAt samudBUtaH hutASanaH |
   rājñaḥ śriyaṃ kulaṃ prāṇān nādagdhvā vinivartate ||Panc_1.376||	rAjQaH Sriyam kulam prANAn na adagDvA vinivartate ||Pan= _1.376||
   rājā bandhur abandhūnāṃ rājā cakṣur acakṣuṣām |	rAjA banDuH abanDUnAm rAjA cakzuH acakzuzAm |
   rājā pitā ca mātā ca sarveṣāṃ nyāya vartinām ||Panc_1.377||	rAjA pitA ca mAtA ca sarvezAm nyAya vartinAm ||Pan= _1.377||
   phalārthī pārthivo lokān pālayed yatnam āsthitaḥ |	Pala arTI pArTivaH lokAn pAlayet yatnam AsTitaH |
   dāna mānādi toyena mālākāro 'ṅkurān iva ||Panc_1.378||	dAna  mAna Adi  toyena mAlAkAraH aFkurAn iva ||Pan= _1.378||
   yathā bījāṅkuraḥ sūkṣmaḥ pratnenābhirakṣitaḥ |	yaTA bIja aFkuraH sUkzmaH pratnena aBirakzitaH |
   phala prado bhavet kāle tadval lokaḥ surakṣitaḥ ||Panc_1.379||	Pala  pradaH Bavet kAle tadvat lokaH su rakzitaH ||Pan= _1.379||
   hiraṇya dhānya ratnāni yānāni vividhāni ca |	hiraNya  DAnya  ratnAni yAnAni viviDAni ca |
   tathānyad api yat kiñcit prajābhyaḥ syān nṛpasya tat ||Panc_1.380||	taTA anyat api yat kiQcid prajAByaH syAt nRpasya tat ||Pan= _1.380||
   athaivaṃ garuḍaḥ samākarṇya tad duḥkha duḥkhitaḥ kopāviṣṭaś ca	aTa evam garuxaH samAkarNya tad  duHKa  duHKitaH kopa AvizwaH ca
   vyacintayat aho ! satyam uktam etaiḥ pakṣibhiḥ | tad adya gatvā taṃ	vyacintayat ahaH ! satyam uktam etEH pakziBiH | tat adya gatvA tam
   samudraṃ śoṣayāmaḥ |	samudram SozayAmaH |
   evaṃ cintayatas tasya viṣṇu dūtaḥ samāgatyāha bho garutman ! bhagavatā	evam cintayataH tasya vizNu dUtaH samAgatya aha BaH garutman ! BagavatA
   nārāyaṇenāhaṃ tava pārśve preṣitaḥ | deva kāryāya bhagavān amarāvatyāṃ	nArAyaNena aham tava pArSve prezitaH | deva  kAryAya BagavAn amarAvatyAm
   yāsyatīti | tat satvaram āgamyatām |	yAsyati iti | tat sa tvaram AgamyatAm |
   tac chrutvā garuḍaḥ sābhimānaṃ prāha bho dūta ! kiṃ mayā kubhṛtyena	tat SrutvA garuxaH sa aBimAnam prAha BaH dUtaH ! kim mayA kuBRtyena
   bhagavān kariṣyati | tad gatvā taṃ vada yad anyo bhṛtyo	BagavAn karizyati | tat gatvA tam vada yat anyaH BRtyaH 
   vāhanāysamat sthāne kriyatām | madīyo namaskāro vācyo bhagavataḥ | uktaṃ	vAhanAysamat sTAne kriyatAm | madIyaH namaskAraH vAcyaH BagavataH | uktam
   ca 	ca 
   yo na vetti guṇān yasya na taṃ seveta paṇḍitaḥ |	yaH na vetti guNAn yasya na tam seveta paNxitaH |
   na hi tasmāt phalaṃ kiñcit sukṛṣṭād ūṣarād iva ||Panc_1.381||	na hi tasmAt Palam kiQcid su kRzwAt UzarAt iva ||Pan= _1.381||
   dūta āha bho vainateya ! kadācid api bhagavantaṃ prati tvayā naitad	dUtaH Aha BaH vEnateya ! kadAcid api Bagavantam prati tvayA na etat 
   abhihitam īdṛk | tat kathaya, kiṃ te bhagavatāpamāna sthānaṃ kṛtam ?	aBihitam IdRS | tat kaTaya, kim te BagavatA apamAna  sTAnam kRtam ?
   garuḍa āha bhagavad āśraya bhūtena samudreṇāsmaṭ ṭiṭṭibhāṇḍāny apahṛtāni |	garuxaH Aha Bagavat  ASraya  BUtena samudreNa asmat wiwwi BANxAni apahRtAni |
   tad yadi nigrahaṃ na karoti tad ahaṃ bhagavato na bhṛtya ity eṣa niścayas	tat yadi nigraham na karoti tat aham BagavataH na BRtyaH iti eza niScayas
   tvayā vācyaḥ | tad drutataraṃ gatvā bhavatā bhagavataḥ samīpe vaktavyam |	tvayA vAcyaH | tat drutataram gatvA BavatA BagavataH samIpe vaktavyam |
   atha dūta mukhena praṇaya kupitaṃ vainateyaṃ vijñāya sammāna puraḥsaraṃ	aTa dUta muKena praNaya kupitam vEnateyam vijQAya sammAna  puraHsaram
   tam ānayāmi | uktaṃ ca 	tam AnayAmi | uktam ca 
   bhaktaṃ śaktaṃ kulīnaṃ ca na bhṛtyam avamānayet |	Baktam Saktam kulInam ca na BRtyam avamAnayet |
   putraval lālayen nityaṃ ya icchec chriyam ātmanaḥ ||Panc_1.382||	putra vat lAlayet nityam yaH icCet Sriyam AtmanaH ||Pan= _1.382||
   anyac ca 	anyat ca 
   rājā tuṣṭo 'pi bhṛtyānām artha mātraṃ prayacchati |	rAjA tuzwaH api BRtyAnAm arTa  mAtram prayacCati |
   te tu sammānitās tasya prāṇair apy upakurvate ||Panc_1.383||	te tu sammAnitAH tasya prANEH api upakurvate ||Pan= _1.383||
