   atha caturtho 'dhyāyaḥ /	aTa caturTaH aDyAyaH /
   vidyāsahāyasya agnihotrādeḥ vidyānimittena sāmarthya atiśayena yogāt	vidyA-sahAyasya agnihotra-AdeH vidyA-nimittena sAmarTya atiSayena yogAt-
   ātmajñānaṃ prati kaścit kāraṇa atiśayo bhaviṣyati na tathā vidyāvihīnasya	Atma-jQAnam prati kaScid kAraNa atiSayaH Bavizyati na taTA vidyA-vihInasya
   iti yuktaṃ kalpayitum /	iti yuktam kalpayitum /
   natu 'yajñena vividiṣanti' iti atra aviśeṣeṇa ātmajñānāṅgatvena śrutasya	na-tu ayajQena vividizanti-a iti atra aviSezeNa Atma-jQAna-aFga-tvena Srutasya
   agnihotrādeḥ anaṅgatvaṃ śakyam abhyupagantum /	agnihotra-AdeH anaFga-tvam Sakyam aByupagantum /
   tathā hi śrutiḥ - 'yadeva vidyayā karoti śraddhayopaniṣadā tadeva	taTA hi SrutiH  ayat-eva vidyayA karoti SradDayA-upanizadA tat-eva
   vīryavattaraṃ bhavati' (chā. 1.1.10) iti vidyāsaṃyuktasya karmaṇaḥ	vIryavattaram Bavati-a (CA. 1.1.10) iti vidyA-saMyuktasya karmaNaH
   agnihotrādeḥ vīryavattaratva abhidhānena svakāryaṃ prati kañcit atiśayaṃ	agnihotra-AdeH vIryavattara-tva aBiDAnena sva-kAryam prati kaQcid atiSayam
   bruvāṇā vidyāvihīnasya tasya eva tat prayojanaṃ prati vīryavattvaṃ	bruvANAH vidyA-vihInasya tasya eva tat prayojanam prati vIryavat-tvam
   darśayati /	darSayati /
   karmaṇa- ca vīryavattvaṃ tat yat svaprayojanasādhanaprasahatvam /	karmaNa ca vIryavat-tvam tat yat sva-prayojana-sADana-prasaha-tvam /
   tasmāt vidyāsaṃyuktaṃ nityam agnihotrādi vidyāvihīnaṃ ca ubhayam api	tasmAt vidyA-saMyuktam nityam agni-hotra-Adi vidyA-vihInam ca uBayam api
   mumukṣuṇā mokṣaprayojana uddeśena iha janmani janmāntare ca prāk jñāna	mumukzuNA mokza-prayojanaH uddeSena iha janmani janma-antare ca prAk jQAna
   utpatteḥ kṛtaṃ yat tat yathāsāmarthyaṃ brahma adhigamapratibandhakāraṇa	utpatteH kRtam yat tat yaTAsAmarTyam brahma aDigama-pratibanDa-kAraNa
   upāttaduritakṣayahetutvadvāreṇa brahma adhigamakāraṇatvaṃ pratipadyamānaṃ	upAtta-durita-kzaya-hetu-tva-dvAreNa brahma aDigama-kAraNa-tvam pratipadyamAnam
   śravaṇa manana śraddhā tātparyādi antaraṅgakāraṇāpekṣaṃ brahmavidyayā saha	SravaNa manana SradDA tAtparyAdi antaraFga-kAraNa-apekzam brahma-vidyayA saha
   ekakāryaṃ bhavati iti sthitam // 18 //	eka-kAryam Bavati iti sTitam // 18 //
   14 itarakṣapaṇa adhikaraṇam / sū. 19	14 itara-kzapaNa aDikaraNam / sU. 19
   bhogena tv itare kṣapayitvātha saṃpadyate | BBs_4,1.19 |	Bogena tu itare kzapayitvA-aTa saMpadyate | BBH-_4,1.19 |
   anārabdhakāryayoḥ puṇyapāpayoḥ vidyāsāmarthyāt kṣaya uktaḥ itare tu	anArabDa-kAryayoH puNya-pApayoH vidyA-sAmarTyAt kzayaH uktaH itare tu
   ārabdhakārye puṇyapāpe upabhogena kṣapayitvā brahma saṃpadyate 'tasya	ArabDa-kArye puNya-pApe upaBogena kzapayitvA brahma saMpadyate atasya
   tāvadeva ciraṃ yāvanna vimokṣye 'tha saṃpatsye' (chāndo. 6.14.2) iti	tAvat-eva ciram yAvat-na vimokzye aTa saMpatsye-a (CAndo. 6.14.2) iti
   'brahmaiva sanbrahmāpyeti' iti ca evamādiśrutibhyaḥ /	abrahma-eva san-brahmA-apyetia iti ca evamAdi-SrutiByaH /
   nanu sati api samyak darśane yathā prāk dehapātāt bhedadarśanaṃ	nanu sati api samyak darSane yaTA prAk dehapAtAt Beda-darSanam
   dvicandradarśananyāyena anuvṛttamevaṃ paścāt api anuvarteta /	dvi-candra-darSana-nyAyena anuvRttam-evam paScAt api anuvarteta /
   na /	na /
   nimitta abhāvāt /	nimitta aBAvAt /
   upabhogaśeṣakṣapaṇaṃ hi tatra anuvṛttinimittaṃ na ca tādṛśamātra kiñcit	upaBoga-Seza-kzapaNam hi tatra anuvRtti-nimittam na ca tAdRSa-mAtra kiQcid-
   asti /	asti /
   nanu aparaḥ karmāśayoḥ abhinavam upabhogm ārapsyate /	nanu aparaH karma-ASayoH aBinavam upaBogm Arapsyate /
   na /	na /
   tasya dagdhabījatvāt /	tasya dagDa-bIja-tvAt /
   mithyājñāna avaṣṭambhaṃ hi karmāntaraṃ dehapāta upabhogāntaram ārabhate	miTyAjQAna avazwamBam hi karma-antaram dehapAtaH upaBoga-antaram AraBate
   tat ca mithyājñāna avaṣṭambhaṃ hi karmāntaraṃ dehapāta upabhogāntaram	tat ca miTyAjQAna avazwamBam hi karma-antaram dehapAtaH upaBoga-antaram
   ārabhate tatca mithyājñānaṃ samyak jñānena dagdham ityataḥ sādhu etat	AraBate tat-ca miTyAjQAnam samyak jQAnena dagDam iti-atas sADu etat-
   ārabdhakāryakṣaye viduṣaḥ kaivalyam avaśyaṃ bhavati iti // 19 //	ArabDa-kArya-kzaye viduzaH kEvalyam avaSyam Bavati iti // 19 //
   iti śrīgovindabhagavatpūjyapādaśiṣyaśrīmacchaṅkarabhagavatpādakṛtau	iti SrI-govinda-Bagavat-pUjya-pAda-Sizya-SrImat-SaFkara-Bagavat-pAda-kRtO
   śārīrakamīmāṃsābhāṣye caturthādhyāyasya prathamaḥ pādaḥ // 1 //	SArIrakamI-mAMsa-ABAzye caturTa-aDyAyasya praTamaH pAdaH // 1 //
   caturthādhyāye dvitīyaḥ pādaḥ /	caturTa-aDyAye dvitIyaH pAdaH /
   atra pāde utkrāntigatinirūpaṇam	atra pAde utkrAnti-gati-nirUpaNam
   1 vāgādhikaraṇam / sū. 1-2	1 vAgADikaraNam / sU. 1-2
   vāṅmanasi darśanāc chabdāc ca | BBs_4,2.1 |	vAc-manasi darSanAt SabdAt ca | BBH-_4,2.1 |
   atha aparāsu vidyāsu phalaprāptaye devayānaṃ panthānam avatārayiṣyan	aTa aparAsu vidyAsu Pala-prAptaye deva-yAnam panTAnam avatArayizyan
   prathamaṃ tāvat yathāśāstram utkrāntikramam anvācaṣṭe /	praTamam tAvat yaTASAstram utkrAnti-kramam anvAcazwe /
   samānā hi vidvat aviduṣoḥ utkrāntiḥ iti vakṣyati /	samAnAH hi vidvat aviduzoH utkrAntiH iti vakzyati /
   asti prāyaṇaviṣayā śrutiḥ 'asya somya puruṣasya prayato vāk manasi	asti prAyaNa-vizayA SrutiH aasya somya puruzasya prayataH vAc manasi
   saṃpadyate manaḥ prāṇe prāṇa- tejasi tejaḥ parasyāṃ devatāyām' (chā.	saMpadyate manaH prANe prANa tejasi tejaH parasyAm devatAyAm-a (CA.
   6.8.6) iti /	6.8.6) iti /
   kim iha vāca eva vṛttimattyā manasi saṃpattiḥ ucyata uta vāgvṛtteḥiti	kim iha vAcaH eva vRtti-mattyA manasi saMpattiH ucyate uta vAc-vRtteH-iti
   viśayaḥ /	viSayaH /
   tatra vāk eva tāvat manasi saṃpadyata iti prāptam /	tatra vAc eva tAvat manasi saMpadyate iti prAptam /
   tathā hi śrutiḥ anugṛhītā bhavati /	taTA hi SrutiH anugRhItA Bavati /
   itarathā lakṣaṇā syāt /	itaraTA lakzaNA syAt /
   śrutilakṣaṇa aviśaye ca śrutiḥ nyāyyā na lakṣaṇā /	Sruti-lakzaNa aviSaye ca SrutiH nyAyyAH na lakzaNA /
   tasmāt vāca eva ayaṃ manasi pralaya iti /	tasmAt vAcaH eva ayam manasi pralayaH iti /
   evaṃ prāpte brūmaḥ - vāk vṛttiḥ iti vyākhyāte yāvatā vāk menasi iti eva	evam prApte brUmaH  vAc vRttiH iti vyAKyAte yAvatA vAc menasi iti eva
   ācāryaḥ paṭhati /	AcAryaH paWati /
   satyam etat /	satyam etat /
   paṭhiṣyati tu purastāt 'avibhāgo vacanāt' (bra. sū. 4.2.16) iti /	paWizyati tu purastAt aaviBAgaH vacanAt-a (bra. sU. 4.2.16) iti /
   tasmāt atra vṛtti upaśamamātraṃ vivakṣitam iti gamyate /	tasmAt atra vRtti upaSama-mAtram vivakzitam iti gamyate /
   tattvapralayavivakṣāyāṃ tu sarvatra eva avibhāgasāmyāt kiṃ paratra eva	tattva-pralaya-vivakzAyAm tu sarvatra eva aviBAga-sAmyAt kim paratra eva
   viśiṣyāt avibhāga iti /	viSizyAt aviBAgaH iti /
   tasmāt atra vṛtti upasaṃhāravivakṣā /	tasmAt atra vRtti upasaMhAra-vivakzA /
   vāk vṛttiḥ pūrvam upasaṃhriyate manovṛttau avasthitāyām iti arthaḥ /	vAc vRttiH pUrvam upasaMhriyate manaH-vRttO avasTitAyAm iti arTaH /
   kasmāt /	kasmAt /
   darśanāt /	darSanAt /
   dṛśyate hi vāk vṛtteḥ pūrva upasaṃhāro manovṛttau vidyamānāyām /	dRSyate hi vAc vRtteH pUrvaH upasaMhAraH manaH-vRttO vidyamAnAyAm /
   nanu śrutisāmarthyāt vāca eva ayaṃ manasi apyayo yukta iti uktam /	nanu Sruti-sAmarTyAt vAcaH eva ayam manasi api-ayaH yuktaH iti uktam /
   na iti āha /	na iti Aha /
   atatprakṛtitvāt /	atad-prakRti-tvAt /
   yasya hi yata utpattiḥ tasya tatra pralayo nyāyyo mṛdīva śarāvasya /	yasya hi yatas utpattiH tasya tatra pralayaH nyAyyaH mRdI-iva SarAvasya /
   na ca manaso vāk utpadyata iti kiñcana pramāṇam asti /	na ca manasaH vAc utpadyate iti kiQcana pramANam asti /
   vṛttyutti udbhava abhibhavau tu aprakṛtisamāśrayau api dṛśyete /	vRtti-utti udBava aBiBavO tu aprakRti-samASrayO api dRSyete /
   pārthivebhyo hi indhanebhyaḥ taijasasya agneḥ vṛttiḥ udbhavati apsu ca	pArTiveByaH hi inDaneByaH tEjasasya agneH vRttiH udBavati apsu ca
   upaśāmyati /	upaSAmyati /
   kathaṃ tarhi asmin pakṣe śabdo vāk manasi saṃpadyata iti /	kaTam tarhi asmin pakze SabdaH vAc manasi saMpadyate iti /
   ata āha śabdāt ca iti /	atas Aha SabdAt ca iti /
   śabdaḥ api asmin pakṣe avakalpate vṛttivṛttimatoḥ abheda upacārāt iti	SabdaH api asmin pakze avakalpate vRtti-vRttimatoH aBedaH upacArAt iti
   arthaḥ // 1 //	arTaH // 1 //
   FN: prayato mriyamāṇasya /	FN: prayataH mriyamANasya /
   ata eva ca sarvāṇyanu | BBs_4,2.2 |	atas eva ca sarvANi-anu | BBH-_4,2.2 |
   'tasmādupaśāntatejāḥ /	atasmAt-upaSAnta-tejAH /
   punarbhavamindriyairmanasi saṃpadyamānaiḥ' (praśna. 3.9) iti atra	punarBavam-indriyEH-manasi saMpadyamAnEH-a (praSna. 3.9) iti atra
   aviśeṣeṇa sarveṣām eva indriyāṇāṃ manasi saṃpattiḥ śrūyate /	aviSezeNa sarvezAm eva indriyANAm manasi saMpattiH SrUyate /
   tatra api ata eva vāca iva cakṣurādīnām api savṛttike manasi avasthite	tatra api atas eva vAcaH iva cakzuH-AdInAm api sa-vRttike manasi avasTite
   vṛttilopadarśanāt tattvapralaya asaṃbhavāt śabda upapatteḥ ca vṛttidvāreṇa	vRtti-lopadarSanAt tattva-pralaya asaMBavAt SabdaH upapatteH ca vRtti-dvAreNa
   eva sarvāṇi indriyāṇi manaḥ anuvartante /	eva sarvANi indriyANi manaH anuvartante /
   sarveṣāṃ karaṇānāṃ manasi upasaṃhāra aviśeṣe sati vācaḥ pṛthak grahaṇaṃ	sarvezAm karaNAnAm manasi upasaMhAra aviSeze sati vAcaH pRTak grahaNam
   vāk manasi saṃpadyata iti udāharaṇa anurodhena // 2 //	vAc manasi saMpadyate iti udAharaNa anuroDena // 2 //
   manodhikaraṇam / sū. 3	manoDi-karaNam / sU. 3
   tanmanaḥ prāṇa uttarāt | BBs_4,2.3 |	tat-manaH prANaH uttarAt | BBH-_4,2.3 |
   samadhigatametat 'vāṅmanasi saṃpadyate' (chā. 6.8.6) iti atra	samaDigatam-etat avAk-manasi saMpadyate-a (CA. 6.8.6) iti atra
   vṛttisaṃpattivivakṣa iti /	vRtti-saMpatti-vivakzaH iti /
   atha yat uttaravākyam 'manaḥ prāṇe' (chā. 6.8.6) iti kim atra api	aTa yat uttara-vAkyam amanaH prANe-a (CA. 6.8.6) iti kim atra api
   vṛttisaṃpattiḥ eva vivakṣyata uta vṛttimat saṃpattiḥ iti vicikitsāyāṃ	vRtti-saMpattiH eva vivakzyataH uta vRttimat saMpattiH iti vicikitsAyAm
   vṛttimat saṃpattiḥ eva atra iti prāptam /	vRttimat saMpattiH eva atra iti prAptam /
   śruti anugrahāt tat prakṛtikatva upapatteḥ ca /	Sruti anugrahAt tat prakRtikatvaH upapatteH ca /
   tathā hi - 'annamayaṃ hi somya mana āpomayaḥprāṇaḥ' (chā. 6.5.4) iti	taTA hi  aanna-mayam hi somya manaH ApaH-mayaH-prANaH-a (CA. 6.5.4) iti
   annayoni mana ātmananti ap yoniṃ ca prāṇam /	anna-yoni manaH Atmananti ap yonim ca prANam /
   'āpaścānnamasṛjanta' iti śrutiḥ /	aApaH-ca-annam-asRjanta-a iti SrutiH /
   ata- ca yat manaḥ prāṇe prakṛtivikāra abhedāt iti /	ata ca yat manaH prANe prakRti-vikAra aBedAt iti /
   evaṃ prāpte brūmaḥ - tat api agṛhīta bāhya indriyavṛtti mano vṛttidvāreṇa	evam prApte brUmaH  tat api agRhIta bAhyaH indriya-vRtti manaH vRtti-dvAreNa
   eva prāṇe pralīyate iti uttarāt vākyāt avagantavyam /	eva prANe pralIyate iti uttarAt vAkyAt avagantavyam /
   tathā hi suṣupso- mumūrṣoḥ ca prāṇavṛttau parispanda ātmikāyām	taTA hi suzupso mumUrzoH ca prANa-vRttO parispandaH AtmikAyAm
   avasthitāyāṃ manovṛttīnām upaśamo dṛśyate /	avasTitAyAm manaH-vRttInAm upaSamaH dRSyate /
   na ca manasaḥ svarūpa apyayaḥ prāṇe saṃbhavati /	na ca manasaH svarUpa api-ayaH prANe saMBavati /
   atat prakṛtitvāt /	atat prakRti-tvAt /
   nanu darśitaṃ manasaḥ prāṇaprakṛtitvam /	nanu darSitam manasaH prANa-prakRti-tvam /
   na etat sāram /	na etat sAram /
   na hi īdṛśena prāṇāḍikena tat prakṛtitvena manaḥ prāṇe saṃpattum arhati /	na hi IdRSena prANAxikena tat prakRti-tvena manaH prANe saMpattum arhati /
   evam api hi anne manaḥ saṃpadyeta apsu ca annam apsu eva ca prāṇaḥ /	evam api hi anne manaH saMpadyeta apsu ca annam apsu eva ca prANaH /
   na hi etasmin api pakṣe prāṇabhāvapariṇatābhyaḥ adbhyo mano jāyata iti	na hi etasmin api pakze prANa-BAva-pariNatAByaH adByaH manaH jAyate iti
   kiñcana pramāṇam asti tasmāt na manasaḥ prāṇe svarūpa apyayaḥ /	kiQcana pramANam asti tasmAt na manasaH prANe svarUpa api-ayaH /
   vṛtti apyaye api tu śabdaḥ avakalpate vṛttivattimatoḥ abheda upacārāt iti	vRtti api-aye api tu SabdaH avakalpate vRtti-vat-timatoH aBedaH upacArAt iti
   darśitam // 3 //	darSitam // 3 //
   3 adhyakṣa adhikaraṇam / sū. 4-6	3 aDyakza aDikaraNam / sU. 4-6
   so 'dhyakṣe tadupagamādibhyaḥ | BBs_4,2.4 |	saH aDyakze tad-upagama-AdiByaH | BBH-_4,2.4 |
   sthitam etat yasya yato na utpattiḥ tasya tasmin vṛttipralayo na	sTitam etat yasya yatas naH utpattiH tasya tasmin vRtti-pralayaH na
   svarūpapralaya iti /	svarUpa-pralayaH iti /
   idam idānīṃ prāṇaḥ tejasi iti atra cintyate -	idam idAnIm prANaH tejasi iti atra cintyate -
   kiṃ yathāśruti prāṇasya tejasi eva vṛtti upasaṃhāraḥ kiṃvā deha	kim yaTASruti prANasya tejasi eva vRtti upasaMhAraH kiMvA deha
   indriyapañjara adhyakṣe jīva iti /	indriya-paQjara aDyakze jIvaH iti /
   tatra śruteḥ anatiśaṅkyatvāt prāṇasya tejasi eva saṃpattiḥ syāt	tatra SruteH anatiSaFkya-tvAt prANasya tejasi eva saMpattiH syAt-
   aśrutakalpanāyā anyāyyatvāt iti /	aSruta-kalpanAyAH anyAyya-tvAt iti /
   evaṃ prāpte pratipadyate saḥ adhyakṣa iti /	evam prApte pratipadyate saH aDyakzaH iti /
   sa prakṛtaḥ prāṇaḥ adhyakṣe avidyākarmapūrvaprajña upādhike vijñāna ātmani	sa prakRtaH prANaH aDyakze avidyA-karma-pUrva-prajQaH upADike vijQAnaH Atmani
   avatiṣṭhate /	avatizWate /
   tat pradhānā prāṇavṛttiḥ bhavati iti arthaḥ /	tat praDAnA prANa-vRttiH Bavati iti arTaH /
   kutaḥ - tat upagamādibhyaḥ /	kutas  tat upagama-AdiByaH /
   evam eva imam ātmānam antakāle sarve prāṇā abhisāmayanti yatra etat ūrdhva	evam eva imam AtmAnam antakAle sarve prANAH aBisAmayanti yatra etat UrDva-
   ucchvāsī bhavati iti hi śrutyantaram adhyakṣa upagāminaḥ sarvān prāṇān	ucCvAsI Bavati iti hi Sruti-antaram aDyakze upagAminaH sarvAn prANAn
   aviśeṣeṇa darśayati /	aviSezeNa darSayati /
   viśeṣeṇa ca 'tamutkrāmantaṃ prāṇo 'nūtkrāmati' (bṛ. 4.4.2) iti pañcavṛtteḥ	viSezeNa ca atam-utkrAmantam prANaH anUtkrAmati-a (bR. 4.4.2) iti paQca-vRtteH
   prāṇasya adhyakṣa anugāmitāṃ darśayati tat anuvṛttitāṃ ca itareṣām /	prANasya aDyakza anugAmitAm darSayati tat anuvRttitAm ca itarezAm /
   'prāṇamanūtkrāmantaṃ sarve prāṇā anūtkrāmati' (bṛ. 4.4.2) iti /	aprANam-anUtkrAmantam sarve prANAH anUtkrAmati-a (bR. 4.4.2) iti /
   'savijñāno bhavati' iti ca adhyakṣasya antarvijñānavattva pradarśanena	asa-vijQAnaH Bavati-a iti ca aDyakzasya antar-vijQAna-vat-tva pradarSanena
   tasmin apītakaraṇagrāmasya prāṇasya avasthānaṃ gamayati /	tasmin apIta-karaNa-grAmasya prANasya avasTAnam gamayati /
   nanu prāṇaḥ tejasi iti śrūyate kathaṃ prāṇaḥ adhyakṣa iti adhikāvāpaḥ	nanu prANaH tejasi iti SrUyate kaTam prANaH aDyakzaH iti aDika-AvApaH
   kriyate /	kriyate /
   na eṣa doṣaḥ /	na eza dozaH /
   adhyakṣapradhānatvāt utkramaṇādivyavahārasya śrutyantaragatasya api ca	aDyakza-praDAna-tvAt utkramaNa-Adi-vyavahArasya Sruti-antara-gatasya api ca
   viśeṣasya apekṣaṇīyatvāt // 4 //	viSezasya apekzaNIya-tvAt // 4 //
   kathaṃ tarhi prāṇaḥ tejasi iti śrutiḥ iti ata āha -	kaTam tarhi prANaH tejasi iti SrutiH iti atas Aha -
   bhūteṣu tacchruteḥ | BBs_4,2.5 |	BUtezu tat-SruteH | BBH-_4,2.5 |
   sa prāṇasaṃpṛktaḥ adhyakṣaḥ tejaḥsahacariteṣu bhūteṣu dehabījabhūteṣu	sa prANa-saMpRktaH aDyakzaH tejaH-sahacaritezu BUtezu deha-bIja-BUtezu
   sūkṣmeṣu avatiṣṭhata iti avagantavyam /	sUkzmezu avatizWate iti avagantavyam /
   prāṇaḥ tejasi iti śruteḥ /	prANaH tejasi iti SruteH /
   nanu ca iyaṃ śrutiḥ prāṇasya tejasi sthitiṃ darśayati na prāṇasaṃpṛktasya	nanu ca iyam SrutiH prANasya tejasi sTitim darSayati na prANa-saMpRktasya
   adhyakṣasya /	aDyakzasya /
   na eṣa doṣaḥ /	na eza dozaH /
   saḥ adhyakṣa iti adhyakṣasya api antarāle api upasaṃkhyātatvāt /	saH aDyakzaH iti aDyakzasya api antarAle api upasaMKyAta-tvAt /
   yaḥ api hi srughnānmathurāṃ gatvā mathurāyāḥ pāṭaliputraṃ vrajati saḥ api	yaH api hi sruGnAn-maTurAm gatvA maTurAyAH pAwaliputram vrajati saH api
   srughnātpāṭaliputraṃ yāti iti śakyate vaditum /	sruGnAt-pAwaliputram yAti iti Sakyate vaditum /
   tasmāt prāṇaḥ tejasi iti prāṇasaṃpṛktasya adhyakṣasya eva etat tejaḥ	tasmAt prANaH tejasi iti prANa-saMpRktasya aDyakzasya eva etat tejaH
   sahacariteṣu bhūteṣu avasthānam // 5 //	sahacaritezu BUtezu avasTAnam // 5 //
   kathaṃ tejaḥsahacariteṣu bhūteṣu iti ucyate yāvat ekameva śrūyate prāṇaḥ	kaTam tejaH-sahacaritezu BUtezu iti ucyate yAvat ekam-eva SrUyate prANaH
   tejasi iti /	tejasi iti /
   ata āha -	atas Aha -
   naikasmin darśayato hi | BBs_4,2.6 |	na-ekasmin darSayataH hi | BBH-_4,2.6 |
   na ekasmin eva tejasi śarīrāntaraprepsāvelāyāṃ jīvaḥ avatiṣṭhate kāryasya	na ekasmin eva tejasi SarIra-antara-prepsA-velAyAm jIvaH avatizWate kAryasya
   śarīrasya anekātmakatvadarśanāt /	SarIrasya aneka-Atmaka-tva-darSanAt /
   darśayataḥ ca etam arthaṃ praśnaprativacane 'āpaḥ puruṣavacasaḥ' (chā.	darSayataH ca etam arTam praSna-prativacane aApaH puruza-vacasaH-a (CA.
   5.3.3) iti /	5.3.3) iti /
   tat vyākhyātam 'tryātmakatvāttu bhūyastvāt' (bra.sū. 3.1.2) iti atra /	tat vyAKyAtam atri-Atmaka-tvAt-tu BUyas-tvAt-a (bra.sU. 3.1.2) iti atra /
   śrutismṛtī ca etamarthaṃ darśayataḥ /	Sruti-smRtI ca etam-arTam darSayataH /
   śrutiḥ 'pṛthvīmaya āpomayo vāyumaya ākāśamayastojomayaḥ' ityādyā /	SrutiH apRTvI-mayaH ApaH-mayaH vAyu-mayaH AkASa-mayaH-tojaH-mayaH-a ityAdyAH /
   smṛtiḥ api 'aṇvyo mātrāvināśinyo daśārdhānāṃ tu yāḥsmṛtāḥ /	smRtiH api aaNvyaH mAtrA-vinASinyaH daSArDAnAm tu yAH-smRtAH /
   tābhiḥ sārdhamidaṃ sarvaṃ saṃbhavatyanupūrvaśaḥ' ityādyā /	tABiH sArDam-idam sarvam saMBavati-anupUrvaSaH-a ityAdyAH /
   nanu ca upasaṃhṛteṣu vāk ādiṣu karaṇeṣu śarīrāntaraprepsāvelāyāṃ 'kvāyaṃ	nanu ca upasaMhRtezu vAc Adizu karaNezu SarIra-antara-prepsA-velAyAm akvAyam
   tadā puruṣo bhavati' (bṛ. 3.2.13) iti upakramya śrutyantaraṃ karmāśrayatāṃ	tadA puruzaH Bavati-a (bR. 3.2.13) iti upakramya Sruti-antaram karma-ASraya-tAm
   nirūpayati - 'tau ha yadūcatuḥ karma haiva tadūcaturatha ha	nirUpayati  atO ha yat-UcatuH karma ha-eva tat-UcatuH-aTa ha
   yatpraśaśaṃsatuḥ karma haiva tatpraśaśaṃsatuḥ' (bṛ. 3.2.13) iti /	yat-praSaSaMsatuH karma ha-eva tat-praSaSaMsatuH-a (bR. 3.2.13) iti /
   atra ucyate - tatra karmaprayuktasya graha atigrahasaṃjñakastha	atra ucyate  tatra karma-prayuktasya graha atigraha-saMjQaka-sTa
   indriyaviṣayātmakasya bandhanasya pravṛttiḥ iti karmāśrayatā uktā /	indriya-vizaya-Atmakasya banDanasya pravRttiH iti karma-ASraya-tA uktAH /
   iha punaḥ bhūta upādānāt dehāntara utpattiḥ iti bhūtāśrayatvam uktam /	iha punar BUtaH upAdAnAt deha-antaraH utpattiH iti BUta-ASraya-tvam uktam /
   praśaṃsāśabdāt api tatra prādhānyamātraṃ karmaṇaḥ pradarśitaṃ na tu	praSaMsA-SabdAt api tatra prADAnya-mAtram karmaNaH pradarSitam na tu
   āśrayāntaraṃ nivāritam /	ASraya-antaram nivAritam /
   tasmāt avirodhaḥ // 6 //	tasmAt aviroDaH // 6 //
   FN: daśārdhānāṃ pañcabhūtānāṃ , aṇvyaḥ sūkṣmāḥ , mīyanta iti mātrāḥ /	FN: daSArDAnAm paQca-BUtAnAm , aNvyaH sUkzmAH , mIyante iti mAtrAH /
   4 āsṛtyupakrama adhikaraṇam / sū. 7	4 AsRti-upakrama aDikaraNam / sU. 7
   samānā cāsṛtyupakramād amṛtatvaṃ cānupoṣya | BBs_4,2.7 |	samAnA ca-asRti-upakramAt amRta-tvam ca-anupozya | BBH-_4,2.7 |
   sā iyam utkrāntiḥ kiṃ vidvat aviduṣoḥ samānā kiṃvā viśeṣavati iti	sA iyam utkrAntiH kim vidvat aviduzoH samAnA kiMvA viSezavati iti
   viśayānānāṃ viśeṣavati iti tāvat prāptam /	viSayAnAnAm viSezavati iti tAvat prAptam /
   bhūtāśrayaviśiṣṭā hi eṣā /	BUta-ASraya-viSizwAH hi ezA /
   punaḥ bhavāya ca bhūtāni āśrīyante /	punar BavAya ca BUtAni ASrIyante /
   na ca viduṣaḥ punarbhavaḥ saṃbhavati /	na ca viduzaH punarBavaH saMBavati /
   'amṛtatvaṃ hi vidvānaśnute' iti sthitiḥ /	aamRta-tvam hi vidvAn-aSnute-a iti sTitiH /
   tasmat aviduṣa eva eṣa utkrāntiḥ /	tasmat aviduzaH eva ezaH utkrAntiH /
   nanu vidyāprakaraṇe samāmnānāt viduṣa eva eṣā bhavet /	nanu vidyA-prakaraNe samAmnAnAt viduzaH eva ezA Bavet /
   na /	na /
   svāpādivat yathāprāpta anukīrtanāt /	svApa-Adi-vat yaTAprApta anukIrtanAt /
   tathā hi 'yatraitatpuruṣaḥ svapiti nāma' 'aśiśiṣati nāma' 'pipāsati nāma'	taTA hi ayatra-etat-puruzaH svapiti nAma-a aaSiSizati nAma-a api-pAsati nAma-a
   (chā. 6.8.3,5) iti ca sarvaprāṇisādhāraṇā eva svāpādayaḥ anukīrtyante	(CA. 6.8.3,5) iti ca sarva-prANi-sADAraNAH eva svApa-AdayaH anukIrtyante
   vidyāprakaraṇe api pratipādayiṣitavastupratipādana anuguṇyena na tu viduṣo	vidyA-prakaraNe api pratipAdayizita-vastu-pratipAdana anuguNyena na tu viduzaH-
