   1. prathamaścittotpādaḥ	1. praTamaH citta utpAdaH
   prastrabdhi [saṃbodhyaṅgaṃ] samādhi [saṃbodhyaṅgaṃ] upekṣā [saṃbodhyaṅgaṃ	prastrabDi [ saMboDi aFgaM] samADi [saMboDi aFgan] upekzA [saMboDi aFgam
   bhāvayati ityādi pūrvavat] /"	BAvayati ityAdi pUrvavat] /"
   āryāṣṭāṅgamārgastu yathā  "samyakdṛṣṭiṃ bhāvayati [virāganiścitaṃ nirodha 	Arya azwa aFga mArgaH tu yaTA "samyak dRzwim BAvayati [virAga niScitam niroDa 
   niścitaṃ vyavasargapariṇataṃ] samyaksaṅkalpaṃ [api pūrvavat]	niScitam vyavasarga pariNatan] samyak saFkalpam [api pUrvavat ]
   samyagvācaṃ........	samyak vAcaM........
   samyakkarmāntaṃ......samyagājīvaṃ......samyagvyāyāmaṃ.....samyaksmṛtiṃ...samyaksamādhiṃ	samyak karmAntaM...... samyak AjIvaM...... samyak vyAyAmaM..... samyak smRtiM... samyak samADim
   /" [bhāvayati ityādi pūrvavat /] asyāṃ bhūmau na kevalaṃ	/" [BAvayati ityAdi pUrvavat /] asyAm BUmO na kevalam
   bodhipākṣikabhāvanotpādo 'pitu 	boDi pAkzika BAvana utpAdaH apitu 
   saṃkṣīyate cātmadṛśo 'nuṣaṅgaḥ // Madhy_4.2 //	saMkzIyate ca Atma dRSaH anuzaFgaH // MaDi _4.2 //
   asyāṃ bhūmau tasya ātmadṛṣṭikṣayo 'pi bhavati  tathā  "jinaputrā,	asyAm BUmO tasya Atma dRzwi kzayaH api Bavati taTA "jinaputrA,
   bodhisattvasya asyāmarciṣmatyāṃ bodhisattvabhūmau sthitasya yānīmāni	boDisattvasya asyAm arcizmatyAm boDisattva BUmO sTitasya yAni imAni
   satkāyadṛṣṭipūrvaṅgamāni ātmasattvajīvapoṣa (puruṣa)	sat kAya dRzwi pUrvaFgamAni Atma sattva jIva pozaH (puruza)
   pudalaskandhadhātvāyatanābhiniveśasamucchritāni unmarjjitāni nimajjitāni	pudala skanDa DAtu Ayatana aBiniveSa samucCritAni unmarjjitAni nimajjitAni
   vicintitāni vitarkitāni kelāyitāni mamāyitāni dhanāyitāni niketasthānāni,	vicintitAni vitarkitAni kelAyitAni mamAyitAni DanAyitAni niketa sTAnAni,
   tāni sarvāṇi vigatāni bhavanti sma /" ityuktam /	tAni sarvANi vigatAni Bavanti sma /" iti uktam /
   iti madhyamakāvatārabhāṣye 'rciṣmatī nāma caturthaścittotpādaḥ /	iti maDyamaka avatAra BAzye arcizmatI nAma caturTaH citta utpAdaH /
   5. pañcamaścittotpādaḥ	5. paQcamaH citta utpAdaH
   samprati pañcamacittotpādādhikāraḥ 	samprati paQcama citta utpAda aDikAraH 
   sa durjayābhūmigato mahātmā kṣamo na jetuṃ hyapi sarvamāraiḥ /	sa durjaya aBUmi gataH mahAtmA kzamaH na jetum hi api sarva mArEH /
   pañcamabodhisattvabhūmau sthito bodhisattvastu	paQcama boDisattva BUmO sTitaH boDisattvaH tu
   sarvalokadhātusthitairdevaputramārairapi jetuṃ na kṣamaḥ tatpareṣāṃ	sarva loka DAtu sTitEH deva putra m ArEH api jetum na kzamaH tad parezAm
   mārakiṅkarādīnāṃ kaḥ punarvādaḥ? ata eva asyā bhūmernāma sudurjayeti /	mAra kiFkara AdInAm kaH punar vAdaH? atas eva asyAH BUmeH nAma su durjaya iti /
   bodhisattvastu 	boDisattvaH tu 
   dhyāne viśiṣṭe sumateśca satyasūkṣmasvabhāvādhigame 'tidakṣaḥ // Madhy_5.1	DyAne viSizwe sumateH ca satya sUkzma svaBAva aDigame ati dakzaH // MaDi _5.1
   jñātavyaḥ / tatra daśapāramitāsu dhyānapāramitaiva ativiśiṣṭā bhavati /	jQAtavyaH / tatra daSa pAramitAsu DyAna pAramitA eva ati viSizwA Bavati /
   sumatīti āryāḥ / teṣāṃ satyāni sumatisatyāni āryasatyānītyarthaḥ /	sumatI iti AryAH / tezAm satyAni sumati satyAni Arya satyAni iti arTaH /
   svabhāvastu svarūpam / sūkṣmajñānādhigatasvabhāvastu sūkṣmasvabhāvaḥ,	svaBAvaH tu sva rUpam / sUkzma jQAna aDigata svaBAvaH tu sUkzma svaBAvaH,
   bhadramatisatyānāṃ sūkṣmasvarūpasya jñāne 'tidakṣo bhavati /	Badram atisatyAnAm sUkzma svarUpasya jQAne ati dakzaH Bavati /
   caturāryasatyāni tu duḥkhasamudayanirodhamārgāḥ / bhagavatā satyaṃ tu	catur Arya satyAni tu duHKa samudaya niroDa mArgAH / BagavatA satyam tu
   dvayameva diṣṭamiti tadyathā  saṃvṛtisatyaṃ paramārthasatyañca /	dvayam eva dizwam iti tat yaTA saMvRti satyam paramArTa satyaQca /
   yathā pitāputrasamāgamasūtre 	yaTA a pitA putra samAgama sUtre 
   satya ime duvi lokavidūnāṃ diṣṭa svayaṃ aśruṇitva pareṣām / saṃvṛti yā ca	satyaH ime duvi loka vidUnAm dizwa svayam aSruNi tva parezAm / saMvRti yA ca
   tathā paramārtho satyu na sidhyati kiṃ ca tṛtīyu // ityuktam /	taTA parama arTaH satyu na siDyati kim ca tRtIyu // iti uktam /
   madhyamakaśāstre 'pi 	maDyamakaSAstre api 
   dve satye samupāśritya buddhānāṃ dharmadeśanā / lokasaṃvṛtisatyaṃ ca	dve satye samupASritya budDAnAm Darma deSanA / loka saMvRti satyam ca
   satyaṃ ca paramārthataḥ // ityuktam / ataḥ kvasatyadvayātiriktāni anyāni	satyam ca paramArTataH // iti uktam / atas kvasatya dvaya atiriktAni anyAni
   caturāryasatyāni santīti cet  āravyāyate  yadyapi evam, tathāpi	catur Arya satyAni santi iti cet AravyAyate yadi api evam, taTA api
   heyopādeyayoḥ pṛthak pṛthak hetuphalabhāvadeśanārthaṃm atra	heya upAdeyayoH pRTak pRTak hetu Pala BAva deSana arTaMm atra
   caturāryasatyāni uktāni / tatra heyapakṣastu saṃkleśaḥ / tatphalaṃ ca	catur Arya satyAni uktAni / tatra heyapakzaH tu saMkleSaH / tad Palam ca
   duḥkhasatyam / hetuśca samudayasatyam / upādeyapakṣastu vyavadānam, tasya	duHKa satyam / hetuH ca samudaya satyam / upAdeyapakzaH tu vyavadAnam, tasya
   phalaṃ nirodhasatyam / tatprāptiheturmārgasatyam / tatra	Palam niroDa satyam / tad prApti hetuH mArga satyam / tatra
   duḥkhasamudayamārgasatyānāṃ saṃvṛtisatye 'ntarbhāvaḥ / nirodhasatyaṃ	duHKa samudaya mArga satyAnAm saMvRti satye antarBAvaH / niroDa satyam
   paramārthasatyasvarūpam / tathāparaṃ satyaṃ yat kiṃcit syāt tasyāpi	parama arTa satya svarUpam / taTA aparam satyam yat kiMcid syAt tasya api
   yathāyogaṃ satyadvaye 'ntarbhāva eva niśceyaḥ / kiṃ	yaTAyogam satya dvaye antarBAvaH eva niSceyaH / kim
   catuḥsatyātiriktamaparamapi satyamastīti cet? ākhyātam /	catuHsatya atiriktam aparam api satyam asti iti cet? AKyAtam /
   yathā bodhisattvapañcamabhūmau   "idaṃ duḥkhamāryasatyamiti yathābhūtaṃ	yaTA a boDisattva paQcama BUmO  "idam duHKam Arya satyam iti yaTABUtam
   prajānāti / ayaṃ duḥkhasamudaya āryasatyamiti yathābhūtaṃ prajānāti / ayaṃ	prajAnAti / ayam duHKa samudayaH Arya satyam iti yaTABUtam prajAnAti / ayam
   duḥkhanirodha āryasatyamiti yathābhūtaṃ prajānāti / iyaṃ	duHKa niroDaH Arya satyam iti yaTABUtam prajAnAti / iyam
   duḥkhanirodhagāminī pratipadāryasatyamiti yathābhūtaṃ prajānāti / sa	duHKa niroDa gAminI pratipad Arya satyam iti yaTABUtam prajAnAti / sa
   saṃvṛtisatyakuśalaśca bhavati / paramārthasatyakuśalaśca bhavati /	saMvRti satya kuSalaH ca Bavati / parama arTa satya kuSalaH ca Bavati /
   lakṣaṇasatyakuśalaśca bhavati / vibhāgasatyakuśalaśca bhavati /	lakzaNa satya kuSalaH ca Bavati / viBAga satya kuSalaH ca Bavati /
   nistīraṇasatyakuśalaśca bhavati / vastusatyakuśalaśca bhavati /	nistIraNa satya kuSalaH ca Bavati / vastu satya kuSalaH ca Bavati /
   prabhavasatyakuśalaśca bhavati / kṣayānutpādasatyakuśalaśca bhavati /	praBava satya kuSalaH ca Bavati / kzaya anutpAda satya kuSalaH ca Bavati /
   mārgajñānāvatārasatyakuśalaśca bhavati /	mArga jQAna avatAra satya kuSalaH ca Bavati /
   sarvabodhisattvabhūmikramānusaṃdhiniṣpādanatayā	sarva boDisattva BUmi krama anusaMDi nizpAdana tayA
   yāvattathāgatajñānasamudayasatyakuśalaśca bhavati / sa parasattvānāṃ	yAvat taTAgata jQAna samudaya satya kuSalaH ca Bavati / sa para sattvAnAm
   yathāśayasaṃtoṣaṇātsaṃvṛtisatyaṃ prajānāti /	yaTASaya saMtozaNAt saMvRti satyam prajAnAti /
   ekanayasamavasaraṇātparamārthasatyaṃ prajānāti /	eka naya samavasaraNAt parama arTa satyam prajAnAti /
   svasāmānyalakṣaṇānubodhāllakṣaṇasatyaṃ prajānāti /	sva sAmAnya lakzaNa anuboDAt lakzaNa satyam prajAnAti /
   dharmavibhāgavyavasthānānubodhādvibhāgasatyaṃ prajānāti /	Darma viBAga vyavasTAna anuboDAt viBAga satyam prajAnAti /
   skandhadhātvāyatanavyavasthānānubodhānnistīraṇasatyaṃ prajānāti /	skanDa DAtu Ayatana vyavasTAna anuboDAt nistIraNa satyam prajAnAti /
   cittaśarīraprapīḍanopanipātitatvādvastusatyam,	citta SarIra prapIxana upanipAtita tvAt vastu satyam ,
   gatisaṃdhisaṃbandhanatvātprabhavasatyam,	gati saMDi saMbanDana tvAt praBava satyam ,
   sarvajvaraparidāhātyantopaśamātkṣayānutpādasatyam, [advayānutpādasatyam,]	sarva jvara paridAha atyanta upaSamAt kzaya anutpAda satyam, [a dvaya anutpAda satyam,]
   advayābhinirhārānmārgajñānāvatārasatyam, sarvākārābhisaṃbodhaḥ	advaya aBinirhArAt mArga jQAna avatAra satyam, sarva AkAra aBisaMboDaH
   sarvabodhisattvabhūmikramānusaṃdhiniṣpādanatayāyāvattathāgatajñānasamudayasatyaṃ	sarva boDisattva BUmi krama anusaMDi nizpAdana tayA yAvat taTA gata jQAna samudaya satyam
   prajānāti /" ityuktavat /	prajAnAti /" iti ukta vat /
   iti madhyamakāvatārabhāṣye sudurjayākhyaḥ pañcamaścittotpādaḥ /	iti maDyamaka avatAra BAzye su durjaya AKyaH paQcamaH citta utpAdaH /
   [Chapter 6 not available at present]	[ChapteH 6 na ut avElable at present]
