   Mahāsannipātaratnaketudhāraṇī sūtraṃ	MahAsannipAta-ratna-ketu-DAraNI sUtram
   sattvānāṃ karmaparikṣayāya kuśalamūlavivṛddhaye / ye 'pi te bhaviṣyanti	sattvAnAm karma-parikzayAya kuSala-mUla-vivRdDaye / ye api te Bavizyanti
   anāgate 'dhvani daśasu dikṣu anyonyeṣu tathāgatā arhantaḥ	anAgate aDvani daSasu dikzu anyonyezu taTAgatAH arhantaH
   samyaksaṃbuddhāste 'pīmāṃ ratnaketuṃ dhāraṇīṃ bhāṣiṣyanti (Dutt 40) yāvat	samyaksaMbudDAH-te api-imAm ratnaketum DAraNIm BAzizyanti (Dutt 40) yAvat-
   praśaṃsiṣyanti sattvānāṃ duḥkhavipākakarmaparikṣayāya kuśalamūlavivṛddhaye	praSaMsizyanti sattvAnAm duHKa-vipAka-karma-parikzayAya kuSala-mUla-vivRdDaye
   / te 'hamapyetarhi ratnaketuṃ dhāraṇīṃ bhāṣiṣyāmi / anumodiṣyanti ca	/ te aham-api-etarhi ratnaketum DAraNIm BAzizyAmi / anumodizyanti ca
   daśasu dikṣu pratyutpannānaṃ tathāgatānāṃ bhāṣamāṇānāmahamimāṃ	daSasu dikzu pratyutpannAnam taTAgatAnAm BAzamANAnAm-aham-imAm
   ratnaketudhāraṇīṃ varṇayiṣyāmi praśaṃsiṣyāmi / yaḥ kaścid bhagini rājā	ratnaketu-DAraNIm varNayizyAmi praSaMsizyAmi / yaH kaScid Bagini rAjA
   kṣatriyo mūrdhābhiṣikto janapadasthāmaprāptaḥ imāṃ ratnaketuṃ dhāraṇīṃ	kzatriyaH mUrDABiziktaH janapada-sTAma-prAptaH imAm ratnaketum DAraNIm
   pustake likhitvā dhārayiṣyanti tasya rājñaḥ kṣatriyasya daśasu dikṣū	pustake liKitvA DArayizyanti tasya rAjQaH kzatriyasya daSasu dikzU
   udāraḥ kīrtiśabdaśloko 'bhyudgamiṣyati / yāvat paraṃ rūpadhātumudāraiḥ	udAraH kIrti-Sabda-SlokaH aByudgamizyati / yAvat param rUpa-DAtum-udArEH
   kirtiśabdairāpūrayiṣyati / anekāni ca	kirti-SabdEH-ApUrayizyati / anekAni ca
   devanāgayakṣagandharvakoṭīnayutaśatasahasrāṇi tasya kṣatriyasya pṛṣṭhataḥ	deva-nAga-yakza-ganDarva-kowIn-ayuta-Sata-sahasrANi tasya kzatriyasya pRzWatas-
   samanubaddhā rakṣānuguptaye sthāsyanti / sarve ca tasya viṣaye	samanubadDAH rakzA-anuguptaye sTAsyanti / sarve ca tasya vizaye
   kalikalahadurbhikṣarogaparacakravātavṛṣṭiśītoṣṇadoṣāḥ praśamaṃ yāsyanti /	kalikalaha-durBikza-roga-para-cakra-vAta-vRzwi-SIta-uzNa-dozAH praSamam yAsyanti /
   sarve ca duṣṭayakṣarākṣasasiṃhamahiṣagajavṛkā anapabādhino bhaviṣyanti /	sarve ca duzwa-yakza-rAkzasa-siMha-mahiza-gaja-vRkAH anapabADinaH Bavizyanti /
   sarve viṣatiktakaṭukarūkṣavirasaparuṣa duḥkhasaṃsparśavedanīyā doṣāḥ	sarve viza-tikta-kawuka-rUkza-virasa-paruza duHKa-saMsparSa-vedanIyAH dozAH
   praśamaṃ yāsyanti / sarvāṇi cāsya dhanadhānyauṣadhivanaspatayaḥ	praSamam yAsyanti / sarvANi ca-asya Dana-DAnya-ozaDi-vanaspatayaH
   phalapuṣpāṇi prarohiṣyanti vivardhiṣyanti strigdhāni surasāni ca	Pala-puzpANi prarohizyanti vivarDizyanti strigDAni surasAni ca
   bhaviṣyanti / sa ced rājā kṣatriyo mūrdhābhiṣiktaḥ saṃgrāme pratyupasthite	Bavizyanti / sa ced rAjA kzatriyaH mUrDABiziktaH saMgrAme pratyupasTite
   imaṃ ratnaketuṃ dhāraṇīpustakaṃ dhvajāgrāvaropitaṃ kuryāt sa rājā kṣatriyo	imam ratnaketum DAraNI-pustakam Dvaja-agra-avaropitam kuryAt sa rAjA kzatriyaH-
   mūrdhābhiṣiktaḥ paracakraṃ parājeṣyati / sa cedubhayo rājñoḥ	mUrDABiziktaH para-cakram parAjezyati / sa ced-uBayaH rAjQoH
   kṣatriyayormūrdhābhiṣiktayoḥ saṃgrāmābhirūḍhayoryayo	kzatriyayoH-mUrDABiziktayoH saMgrAma-aBirUXayoH-yayaH-
   ratnaketudhāraṇīpustakaṃ dhvajāgrāvaropitaṃ bhaviṣyati tau parasparaṃ	ratnaketu-DAraNI-pustakam Dvaja-agra-avaropitam Bavizyati tO parasparam
   prītisāmagrīṃ kariṣya[taḥ] / (Dutt 41) ityevaṃ bahuguṇānvayā	prIti-sAmagrIm karizya[taH] / (Dutt 41) iti-evam bahu-guNa-anvayA
   ratnaketudhāraṇī yatra kvacid grāme vā nagare vā nigame vā manuṣyāṇāṃ	ratnaketu-DAraNI yatra kvacid grAme vA nagare vA nigame vA manuzyANAm
   vāmanuṣyāṇāṃ vā catuṣpadānāṃ vyādhitānāmakālamaraṇaṃ viheṭhaṃ vā syāt	vAmanuzyANAm vA catuzpadAnAm vyADitAnAm-akAla-maraNam viheWam vA syAt-
   tatrāyaṃ ratnaketudhāraṇīpustako mahāpūjopakaraṇaiḥ praveśayitavyaḥ /	tatra-ayam ratnaketu-DAraNI-pustakaH mahA-pUjA-upakaraNEH praveSayitavyaH /
   praveśya susnātena suviliptagātreṇa navacīvaraprāvṛtena brahmacāriṇā	praveSya su-snAtena su-vilipta-gAtreNa nava-cIvara-prAvRtena brahmacAriNA
   nānāpuṣpasamīrite nānāgandhapradhūpite nānārasaparivṛte siṃhāsane	nAnA-puzpa-samIrite nAnA-ganDa-praDUpite nAnA-rasa-parivRte siMhAsane
   'bhiruhya tatrāyaṃ ratnaketudhāraṇīpustako vācayitavyaḥ / sarve tatra	aBiruhya tatra-ayam ratnaketu-DAraNI-pustakaH vAcayitavyaH / sarve tatra
   vyādhayo 'kālamaraṇāni ca praśamaṃ yāsyati / sarvāṇi ca tatra	vyADayaH akAla-maraNAni ca praSamam yAsyati / sarvANi ca tatra
   bhayaromaharṣadurnimittāni antardhāsyanti / yaḥ kaścinmātṛgrāmaḥ putrārthī	Baya-roma-harza-durnimittAni antarDAsyanti / yaH kaScid-mAtR-grAmaH putra-arTI
   bhavet tena snātvā navacīvaraṃ prāvṛtya brahmacāriṇā	Bavet tena snAtvA nava-cIvaram prAvRtya brahmacAriNA
   puṣpagandhamālyavilepanairimaṃ pustakamarcayitvā svayaṃ nānāpuṣpasamīrite	puzpa-ganDa-mAlya-vilepanEH-imam pustakam-arcayitvA svayam nAnA-puzpa-samIrite
   nānāgandhapradhūpite nānārasaparivṛte āsane 'bhiruhyeyaṃ ratnaketudhāraṇī	nAnA-ganDa-praDUpite nAnA-rasa-parivRte Asane aBiruhya-iyam ratnaketu-DAraNI
   vācayitavyā / putrapratilābhī bhaviṣyati / eṣaḥ [asya bhavati antimo]	vAcayitavyA / putra-pratilABI Bavizyati / ezaH [asya Bavati antimo]
   mātṛgrāmabhāvo yāvadanuttaraparinirvāṇādanyatra svapraṇidhānāt	mAtR-grAma-BAvaH yAvat-anuttara-parinirvANAt-anyatra sva-praNiDAnAt-
   sattvaparipācanaheto /	sattva-paripAcana-hetaH /
   [tasmin kāle tathāgato jyotiprabhaśrīrimāṃ ratnaketudhāraṇīm udāharat /	[tasmin kAle taTAgataH jyoti-praBa-SrIH-imAm ratnaketu-DA-araNIm udAharat /
   jaloke jaloke / moke jali / jala (Dutt 42) jalimi / jalavrate jahile /	jaloke jaloke / moke jali / jalaH (Dutt 42) jalimi / jala-vrate jahile /
   vara-puruṣa-lakṣaṇasamāruhya / amame vamame vamame / navame mahāse /	vara--puruza--lakzaNa-samAruhya / amame vamame vamame / navame mahAse /
   jahame jahame jahame jahame / varame varame / vavave / vavave / vahave /	jahame jahame jahame jahame / varame varame / vavave / vavave / vahave /
   vaṃgave / vajave / vāra vāraśe / jamalekha / parakha / ala jahili / jana	vaMgave / vajave / vAra vAraSe / jamaleKaH / para-Ka / ala jahili / jana
   tule / jana tubhukhe / vahara vahara / siṃha vrate / nana tilā / nana tina	tule / jana tuBuKe / vahara vahara / siMha vrate / nana tilAH / nana tina
   dālā / sūryavihaga / candravihaga / cakṣu rajyati śavihaga /	dAlA / sUrya-vihaga / candra-vihaga / cakzu rajyati Savi-haga /
   sarvakṣayastritvasuravihaga / jakhaga jakhaga / surakhagha vahama /	sarva-kzayaH-tritva-sura-vihaga / jaKaga jaKagaH / suraKaGa vahamaH /
   amrikha / amrikha / amrikha / amrikha / amrikha / amrikha / amrikha	amriKaH / amriKaH / amriKaH / amriKaH / amriKaH / amriKaH / amriKa
   amrikha / mrikha mrikha mrikha / vyavadeta karma / dune dune / upata	amriKaH / mriKa mriKa mriKaH / vyavadeta karma / dune dune / upata
   vyavacched jñānakṛta / anuda padākhaga / neruka / aṅgule bhaṅgule	vyavacCet jQAna-kRtaH / anuda padAKaga / nerukaH / aFgule BaFgule
   vibhaṅgule / kulaha / indraparivibhaha / vyavaccheda karabha / vavrati /	viBaFgule / kula-he / indra-pariviBaha / vyavacCeda karaBaH / vavrati /
   vavrati / ca prati / ca prati / amoha daraśane / parivarta bhaṣyu /	vavrati / ca prati / ca prati / amoha daraSane / parivarta Bazyu /
   khasama / krimajyotikhaga / jahi jahi jyoti / niṣka bhirasa / bhirasa /	Ka-sama / krima-jyoti-Kaga / jahi jahi jyoti / nizka BirasaH / BirasaH /
   bhirasa / bhiraja / matikrama / bhivakriva / mahākriva / hile hihile /	BirasaH / BirajaH / matikramaH / Bivakriva / mahA-kriva / hile hihile /
   aruṇavate / samaniṣke / damadānadhyāna aparāmṛśe / phalakuṇḍalalekha /	aruNavate / sama-nizke / damadAna-DyAna aparAmRSe / Pala-kuNxala-leKaH /
   nivarta istribhāva / karmakṣaya [prādurbhava puruṣatvam / asamasama /	nivarta iH-tri-BAva / karma-kzayaH [prAdurBava puruza-tvam / asamasamaH /
   samayavibhidadhi]jña tathāgata svāhā /	samaya-viBidaDi]-jQa taTAgata svAhA /
   samanantarabhāṣitāyāṃ śākyamuninā tathāgatenāsyāṃ ratnaketudhāraṇyāṃ	samanantara-BAzitAyAm SAkya-muninA taTAgatena-asyAm ratnaketuDA-AraNyAm
   punarapi mahāpṛthivī kampi[tā / pañcaśatamārakanyānāṃ (Dutt 43)	punar-api mahA-pRTivI kampi[tA / paQca-Sata-mAra-kanyAnAm (Dutt 43)
   sahaśravane]na asyā ratnaketudharaṇyāḥ strīvyañjanamantardhāya	saha-Sravane]naH asyAH ratna-ketu-DaraNyAH strI-vyaQjanam-antarDAya
   puruṣavyañjanaṃ prādurabhavat / aprameyāsaṃkhyeyānāṃ	puruza-vyaQjanam prAduraBavat / aprameya-asaMKyeyAnAm
   devanāgayakṣaga[ndharvāsuragaruḍakinnaramahoragarākṣasa]kumbhāṇḍa-kanyānāṃ	deva-nAga-yakza-ga[nDarva-asura-garuxa-kinnara-mahA-uraga-rAkzasa]kumBa-aNxa-kanyAnAm
   sahasravaṇenāsyā ratnaketudhāraṇyāḥ strīvyañjanānyantardhāya	sahasravaNena-asyAH ratnaketuDA-AraNyAH strI-vyaQjanAni-antarDAya
   puruṣavyañjanāni prādurbhūtāni / [tāsāṃ sarvāsāmanuttarāyāṃ	puruza-vyaQjanAni prAdurBUtAni / [tAsAm sarvAsAm-anuttarAyAm
   samyaksambodhau anivartanacittamabhūt] / sarvāsāṃ	samyaksamboDO anivartana-cittam-aBUt] / sarvAsAm
   cānāgata-strībhāva-pratilābhasaṃvartanīyaṃ karmāvaramaśesamanirudvaṃ ca /	ca-anAgata--strI-BAva--pratilABa-saMvartanIyam karma-avaram-aSesa-manirudvam ca /
   tāḥ striyaḥ prāñjalaya[stathāgataṃ śākyamuniṃ mahāsvareṇa prārthayantya]	tAH striyaH prAQjalaya[H-taTAgatam SAkya-munim mahA-svareNa prArTayanti-a]
   āhuḥ / namo nama āścaryakārakāya śākyamunaye tathāgatāyārhate	AhuH / namaH namaH AScarya-kArakAya SAkya-munaye taTAgatAya-arhate
   samyaksaṃbuddhāya / brūhi mahākṛpayā [vistareṇa kathamasmākaṃ]	samyaksaMbudDAya / brUhi mahA-kRpayA [vistareNa kaTam-asmAkaM]
   strībhāvamantarhitaṃ sarvākāraparipūrṇaṃ puruṣabhāvaṃ sambhūtam /	strI-BAvam-antarhitam sarva-AkAra-paripUrNam puruza-BAvam samBUtam /
   tenāścaryaprātihāryasaṃvegena [vayamanuttarāyaṃ samyaksaṃbodhau cittaṃ	tena-AScarya-prAtihArya-saMvegena [vayam-anuttarAyam samyaksaMboDO cittam
   janayema / bhagavan brūhi] imaṃ	janayema / Bagavan brUhi] imam
   pūrvayogaprameyāsaṃkhyeyadevamanuṣyāṇāmabhibhavāya /	pUrva-yoga-prameya-asaMKyeya-deva-manuzyANAm-aBiBavAya /
   atha khalu bhagavān śākyamunistathāgataḥ [pūrvayogamavocat /	aTa Kalu BagavAn SAkya-muniH-taTAgataH [pUrva-yogam-avocat /
   bhadramukhāmuṣmin kāle yasmin samaye]	Badra-muKa-amuzmin kAle yasmin samaye]
   jyotisaumyagandhāvabhāsaśriyastathagatasyāntikād rājña	jyoti-sOmya-ganDa-avaBAsa-SriyaH-taTa-gatasya-antikAt rAjQa
   utpalavaktrasyāgramahiṣyā (Dutt 44) surasundaryā devyā sārdhaṃ	utpala-vaktrasya-agra-mahizyA (Dutt 44) surasundaryA devyA sArDam
   ca[turaśītistrīsāhasreṇa sā ratnaketudhāraṇī śrutā śravaṇamātreṇaiva]	ca[turaSIti-strI-sAhasreNa sA ratnaketu-DAraNI SrutA SravaNa-mAtreNa-eva]
   tasyāḥ surasundaryāḥ agramahiṣyāsteṣāṃ caturaśītināṃ strīsahasrāṇāṃ	tasyAH surasundaryAH agra-mahizyAH-tezAm caturaSItinAm strI-sahasrANAm
   strīvyañjanānyantardhāya puruṣavyañjanāni [prādurbhūtāni /	strI-vyaQjanAni-antarDAya puruza-vyaQjanAni [prAdurBUtAni /
   tathaivāsaṃkhyeyāprameyāṇāṃ] devakanyānāṃ	taTA-eva-asaMKyeya-aprameyANAn] deva-kanyAnAm
   yāvanmanuṣyāmanuṣyakanyānāṃ[śravaṇamātreṇaiva] asyā ratnaketudhāraṇyāḥ	yAvat-manuzya-amanuzya-kanyA-nAM[-SravaNa-mAtreNa-eva] asyAH ratna-ketuDA-AraNyAH
   strīndriyamantarhitaṃ pu[ruṣendriyaṃ prādurbhūtam / sarvāsāṃ tāsāṃ strī]	strI-indriyam-antarhitam pu[ruza-indriyam prAdurBUtam / sarvAsAm tAsAm strI]
   sahasrāṇāmanāgata-strībhāva-pratilābha-saṃvartanīyaṃ karmāvaraṇamaśeṣaṃ	sahasrANAm-anAgata--strI-BAva--pratilABa--saMvartanIyam karma-AvaraNam-aSezam
   saṃniruddham / yadā ca rājñaḥ utpalavaktrasyāgramahiṣyāḥ [surasundaryāḥ	saMnirudDam / yadA ca rAjQaH utpala-vaktrasya-agra-mahizyAH [surasundaryAH
   sapāriṣadyāyaḥ puruṣatvaṃ saṃjātaṃ] tadā sa rājā	sa-pArizadyAyaH puruza-tvam saMjAtaM] tadA sa rAjA
   utpalavaktraścāturdvīpeśvaraścakravartī jyeṣṭhakumāraṃ	utpala-vaktraH-cAturdvIpa-ISvaraH-cakravartI jyezWa-kumAram
   rājyābhiṣekeṇābhiṣicya sārdhamekonena putrasahasreṇa [sārdhaṃ	rAjya-aBizekeNa-aBizicya sArDam-eka-Unena putra-sahasreNa [sArDam
   surasundareṇa] sārdhaṃ caturaśītibhiḥ surasundaramahāpuruṣasahasraiḥ	surasundareNa] sArDam caturaSItiBiH sura-sundara-mahApuruza-sahasrEH
   sārdhamaparirdvinavatibhiḥ prāṇasahasrairabhiniṣkramya tasya	sArDam-apariH-dvinavatiBiH prANa-sahasrEH-aBinizkramya tasya
   jyotisomyagandhāvabhāsaśriyastathāgatasyāntike keśaśmaśrūṇyavatārya	jyoti-somya-ganDA-avaBAsa-SriyaH-taTAgatasya-antike keSa-SmaSrUNi-avatArya
   kāṣāyāṇi vastrāṇi paridhāya samyagevāgārādanāgārikāṃ pravrajitaḥ /	kAzAyANi vastrANi pariDAya samyak-eva-agArAt-anAgArikAm pravrajitaH /
   pravrajitvā svādhyāyabhirato yoniśaṃ manasikārābhiyukto 'bhūt /	pravrajitvA svADyAyaBiH-atas yoniSam manasikAra-aBiyuktaH aBUt /
   atha tatra bahūnāṃ prāṇakoṭīnāmetadabhavat / kasmād rājā cakravartī	aTa tatra bahUnAm prANa-kowInAm-etat-aBavat / kasmAt rAjA cakravartI
   pravrajitaḥ / te parasparamevamāhuḥ / mārakarmābhiyukta eṣa tathāgataḥ	pravrajitaH / te parasparam-evam-AhuH / mAra-karma-aBiyuktaH eza taTAgataH
   śaṭho māyāvī mārakarmasamāyuktama imaṃ (Dutt 45) dharmaṃ deśayati /	SaWaH mAyAvI mAra-karma-samAyuktamaH imam (Dutt 45) Darmam deSayati /
   keṣāṃcit strīvyañjanamupanāmayati / keṣāṃcit puruṣavyañjanam / keṣāñcit	kezAMcid strI-vyaQjanam-upanAmayati / kezAMcid puruza-vyaQjanam / kezAQcid-
   keśaśmaśrūṇyavatārayati / keṣāñcid raktāni vāsāṃsi prayacchati keṣāñcit	keSa-SmaSrUNi-avatArayati / kezAQcid raktAni vAsAMsi prayacCati kezAQcid-
   pāṇḍurāṇi / keṣāṃcid devopapattaye dharmaṃ deśayati /	pANxurANi / kezAMcid deva-upapattaye Darmam deSayati /
   keṣāñcinmanuṣyopapattaye keṣāñcittiryagyonyupapattaye keṣāñcid	kezAQcid-manuzya-upapattaye kezAQcid-tiryagyoni-upapattaye kezAQcid-
   cyutyupapattaye dharmaṃ deśayati / mārakarmapathābhiyuktaḥ	cyuti-upapattaye Darmam deSayati / mAra-karma-paTa-aBiyuktaH
   strīkaraṇamāyayā samanvāgataḥ sa śramaṇo jyotisomyagandhāvabhāsaśrīḥ	strI-karaNa-mAyayA samanvAgataH sa SramaNaH jyoti-somya-ganDA-avaBAsa-SrIH
   śramaṇarūpeṇa visaṃvādakaḥ yannūnaṃ vayamitaḥ prakramena na cāsya	SramaNa-rUpeNa visaMvAdakaH yat-nUnam vayam-itaH prakramena na ca-asya
   rūpaliṅgagrahaṇaṃ paśyema na cāsya kiñcid vacanaṃ śṛṇuyāma /	rUpa-liFga-grahaNam paSyema na ca-asya kiQcid vacanam SRNuyAma /
   atha tatraiva kumārabhṛto nāma bhaṭaḥ / sa evamāha / yā mama bhāryā	aTa tatra-eva kumAraBRtaH nAma BawaH / saH evam-Aha / yA mama BAryA
   antaḥpurikā duhitaraścābhūvan sarvāsāmanena śramaṇakoraṇḍakena	antaHpurikA duhitaraH-ca-aBUvan sarvAsAm-anena SramaNa-koraNxakena
   strīvyañjanānyapanīya puruṣendriyāṇyabhinirmitāni / sarvāsāṃ śirāṃsi	strI-vyaQjanAni-apanIya puruza-indriyANi-aBinirmitAni / sarvAsAm SirAMsi
   nirmuṇḍāni kṛtvā raktāni vāsāṃsi anupradattāni / ahaṃ caikākī śokārto	nirmuNxAni kRtvA raktAni vAsAMsi anupradattAni / aham ca-ekAkI Soka-ArtaH-
   bhūtaḥ / ete sarve vayaṃ samagrā bhūtvā viṣamaṃ mahāgahanaparvataṃ	BUtaH / ete sarve vayam samagrAH BUtvA vizamam mahA-gahana-parvatam
   praviśāmaḥ / yatra vayamasya mārapāśābhiyuktasya śramaṇakoraṇḍakasya	praviSAmaH / yatra vayam-asya mAra-pASa-aBiyuktasya SramaNa-koraNxakasya
   śramaṇamāyāvinaḥ svaraghoṣamapi (Dutt 46) na śṛṇuyāma prāgeva paśyāma iti	SramaNam-AyAvinaH svara-Gozam-api (Dutt 46) na SRNuyAma prAk-eva paSyAmaH iti
   / te sarve tuṣṭā evamāhuḥ / evamastviti /	/ te sarve tuzwAH evam-AhuH / evam-astu-iti /
   atha kumārabhṛto bhaṭastairvicikitsāprāptairbahubhiḥ prāṇakoṭībhiḥ sārdhaṃ	aTa kumAraBRtaH BawaH-tEH-vicikitsA-prAptEH-bahuBiH prANa-kowIBiH sArDam
   prākrāmat pratyantime janapade viṣamaparvatagahane sva-ṛṣiveṣeṇa caryāṃ	prAkrAmat pratyantime janapade vizama-parvata-gahane sva--Rzi-vezeNa caryAm
   cacāra / tebhyaśca sattvebhyaḥ evaṃ dharmaṃ deśayāmāsa / nāsti	cacAra / teByaH-ca sattveByaH evam Darmam deSayAmAsa / na-asti
   saṃsārānmīkṣo nāsti sukṛtaduṣkṛtānāṃ karmaṇāṃ phalavipākaḥ / ucchedavādī	saMsArAt-mIkzaH na-asti sukRta-duzkRtAnAm karmaNAm Pala-vipAkaH / ucCeda-vAdI
   [ayaṃ] śramaṇaḥ utpanno mārakarmābhiyukto visaṃvādakaḥ / ye ca taṃ	[ayaM] SramaNaH utpannaH mAra-karma-aBiyuktaH visaMvAdakaH / ye ca tam
   darśanāyopasaṃkramanti ye ca tamabhivādayanti ye cāsya dharmaṃ śṛṇvanti te	darSanAya-upasaMkramanti ye ca tam-aBivAdayanti ye ca-asya Darmam SRNvanti te
   vikṣiptacittā bhavanti / śirāṃsi caiṣāṃ muṇḍayati / gṛhānnirvāsayati /	vikzipta-cittAH Bavanti / SirAMsi ca-ezAm muNxayati / gRhAt-nirvAsayati /
   raktāni vāsāṃsi prayacchati / śmaśānacaryāṃ cārayati / bhaikṣyacaryāsu	raktAni vAsAMsi prayacCati / SmaSAna-caryAm cArayati / BEkzya-caryAsu
   niveśayati / ekāhāriṇaḥ karoti / viṣamadṛṣṭimanaso 'nityodvignān	niveSayati / eka-AhAriNaH karoti / vizama-dRzwi-manasaH anitya-udvignAn
   vivekavāsābhiratānlayanaprakṣiptān	viveka-vAsa-aBiratAn-layana-prakziptAn
   kāmaratinṛtyagītagandhamālyavilepanābharaṇavibhūṣaṇa-maithunadharma-surāmadyapāna-rahitānalpa-bhāṣiṇaḥ	kAmarati-nRtya-gIta-ganDa-mAlya-vilepana-ABaraNa-viBUzaNa--mETuna-Darma--surA-madya-pAna--rahita-analpa-BAziNaH
   karoti / evaṃrūpaḥ sa śramaṇaveṣeṇocchedavādī mārapathābhiyuktaḥ sattvānāṃ	karoti / evaMrUpaH sa SramaNa-vezeNa-ucCeda-vAdI mAra-paTa-aBiyuktaH sattvAnAm
   śatrubhūta utpannaḥ adṛṣṭaśrutapūrvametasya śramaṇagautamasya	Satru-BUtaH utpannaH adRzwa-Sruta-pUrvam-etasya SramaNa-gOtamasya
   kriyopalakṣita iti / tena bahūni prāṇakoṭīnayutaśatasahasrāṇyevaṃrūpāmimāṃ	kriyA-upalakzitaH iti / tena bahUni prANa-kowIn-ayuta-Sata-sahasrANi-evaMrUpAm-imAm
   pāpikāṃ dṛṣṭiṃ grāhitānyabhūvan /	pApikAm dRzwim grAhitAni-aBUvan /
   (Dutt 47)	(Dutt 47)
   yo vāpareṇa samayena utpalavaktro mahāśramaṇo 'śrauṣīt kasmiṃścit	yaH vA-apareNa samayena utpala-vaktraH mahA-SramaNaH aSrOzIt kasmiMScid-
   parvatagahane kecit svayaṃ kumārgasaṃprasthitāḥ parānapyetāṃ viṣamāṃ	parvata-gahane kecid svayam kumArga-saMprasTitAH parAn-api-etAm vizamAm
   dṛṣṭiṃ grāhayantaḥ trayāṇāṃ ratnānāmavarṇaṃ cārayantīti śrutvā	dRzwim grAhayantaH trayANAm ratnAnAm-avarNam cArayanti-iti SrutvA
   cāsyaitadabhavat / yāvadahaṃ tāvat sattvāṃstataḥ pāpakāt dṛṣṭigatānna	ca-asya-etat-aBavat / yAvat-aham tAvat sattvAn=-tatas pApakAt dRzwi-gatAn-na
   parimokṣayeyaṃ na ca samyagdṛṣṭau pratiṣṭhāpayeyaṃ nirarthakaṃ me	parimokzayeyam na ca samyak-dRzwO pratizWApayeyam nirarTakam me
   śrāmaṇyaṃ bhavet / kathaṃ cāham anāgatādhvani andhabhūte loke anuttarāṃ	SrAmaNyam Bavet / kaTam ca-aham anAgata-aDvani anDa-BUte loke anuttarAm
   samyaksaṃbodhimabhisaṃbudhyeyam / kathaṃ ca	samyaksaMboDim-aBisaMbuDyeyam / kaTam ca
   vyasanagatāṃścaturmārapāśabandhanabaddhān sattvān śakṣyāmi	vyasana-gatAn=-catur-mAra-pASa-banDana-badDAn sattvAn SakzyAmi
   parimocayitumiti /	parimocayitum-iti /
   athotpalavaktro mahāśramaṇo mahādṛḍhaparākramaḥ kāruṇikastaṃ	aTa-utpala-vaktraH mahA-ASramaNaH mahA-dRXa-parAkramaH kAruNikaH-tam
   jyotisomyagandhavabhāsaśriyaṃ	jyoti-somya-ganDa-vaBAsa-Sriyam
   tathāgatamavalokyānekaprāṇi-śata-sahasraparivṛtaḥ puraskṛtasteṣu teṣu	taTAgatam-avalokya-aneka-prANi--Sata--sahasra-parivRtaH puraskRtaH-tezu tezu
   pratyantimeṣu grāmanagaranigamaparvataviṣamakarvaṭasthāneṣu caryāṃ caran	pratyantimezu grAma-nagara-nigama-parvata-vizama-karvawa-sTAnezu caryAm caran
   tatra vā atra tebhyaḥ sattvebhyo dharmaṃ deśayāmāsa / tān sattvān pāpakān	tatra vE atra teByaH sattveByaH Darmam deSayAmAsa / tAn sattvAn pApakAn
   dṛṣṭigatān nivārayitvā samyagdṛṣṭau niyojyānuttarāyaṃ samyaksaṃbodhau	dRzwi-gatAt nivArayitvA samyak-dRzwO niyojya-anuttarAyam samyaksaMboDO
   pratiṣṭhāpayāmāsa / kāṃścidaparān pratyekabuddhayānapraṇidhāne kāṃścit	pratizWApayAmAsa / kAMScid-aparAn pratyekabudDa-yAna-praNiDAne kAMScid-
   śrāvakayāne kāṃścit phale pratiṣṭhāpayāmāsa / kāṃścit pravrajayāmāsa /	SrAvaka-yAne kAMScid Pale pratizWApayAmAsa / kAMScid pravrajayAmAsa /
   kāṃścidupāsakasaṃvare kāṃścidupavāse kāṃścit triśaraṇagamane	kAMScid-upAsaka-saMvare kAMScid-upavAse kAMScid tri-SaraNa-gamane
   pratiṣṭhāpayāmāsa / strībhyaśca imāṃ ratnaketudhāraṇīṃ deśayāmāsa /	pratizWApayAmAsa / strIByaH-ca imAm ratnaketu-DAraNIm deSayAmAsa /
   strībhāvānnivartayitvā pratiṣṭhāpayāmāsa puruṣatve / yāśca tāvat	strI-BAvAt-nivartayitvA pratizWApayAmAsa puruza-tve / yAH-ca tAvat-
   hyaśrāmaṇyastathāgatasyāntike vicikitsāprāptā abhūvaṃstāḥ sarvastataḥ	hi-aSrAmaNyaH-taTAgatasya-antike vicikitsA-prAptAH aBUvan=-tAH sarvaH-tatas-
   pāpakadṛṣṭigatāt nivāryātyayaṃ pratideśāpayitvānuttarāyāṃ (Dutt 48)	pApaka-dRzwi-gatAt nivArya-atyayam pratideSa-ApayitvA-anuttarAyAm (Dutt 48)
   samyaksaṃbodhau pratiṣṭhāpayāmāsa / tasyaiva ca	samyaksaMboDO pratizWApayAmAsa / tasya-eva ca
   jyotisomyagandhāvabhāsaśriyastathāgatasyāntikamupanīya pravrajayāmāsa	jyoti-somya-ganDA-avaBAsa-SriyaH-taTAgatasya-antikam-upanIya pravrajayAmAsa
