   akarotkiṃ mahādeva SkP_26.2c	akarot kim mahAdeva SkP_26.2c
   jāte ca putre dāsyāmi SkP_26.43a	jAte ca putre dAsyAmi Sku _26.43a
   jātyai sarvarasānāṃ ca SkP_29.200c	jAtyE sarva rasAnAm ca SkP_29.200c
   jānannapi mahāśailaḥ SkP_13.3a	jAnan= api mahASElaH Sku _13.3a
   jānānaḥ śubhamaśubhaṃ ca bhūtanāthaḥ SkP_3.30b	jAnAnaH SuBam aSuBam ca BUtanATaH Sku _3.30b
   jānīṣe tattvametanme SkP_11.38c	jAnIze tattvam etat me SkP_11.38c
   jāne cāduṣṭatāṃ tava SkP_17.10b	jAne ca aduzwa tAm tava Sku _17.10b
   jāne cārtiṃ tavānagha SkP_22.4b	jAne ca Artim tava anaGa SkP_22.4b
   jāne bhaktiṃ tava mayi SkP_22.4a	jAne Baktim tava mayi SkP_22.4a
   jāne sarvopayogaṃ ca SkP_17.10a	jAne sarva upayogam ca Sku _17.10a
   jāne stokaṃ ca piśitaṃ SkP_17.10c	jAne stokam ca piSitam SkP_17.10c
   jāpyaṃ mānasaṃ tulyaṃ vai SkP_22.14a	jApyam mAnasam tulyam vE SkP_22.14a
   jāmātaraḥ sapatnīkās SkP_10.27c	jAmAtaraH sapatnIkAH SkP_10.27c
   jāmātrā saha suvrata SkP_10.15b	jAmAtrA saha suvrata Sku _10.15b
   jāmbūnadamayaṃ citraṃ SkP_22.25a	jAmbUnada mayam citram Sku _22.25a
   jāmbūnadamayaṃ śubham SkP_24.12b	jAmbUnada mayam SuBam Sku _24.12b
   jāmbūnadamayaṃ śubham SkP_24.17b	jAmbUnada mayam SuBam Sku _24.17b
   jāmbūnadamayaṃ sūtraṃ SkP_24.25c	jAmbUnada mayam sUtram SkP_24.25c
   jāmbūnadamayādyasmād SkP_22.28a	jAmbUnada mayAt yasmAt Sku _22.28a
   jāyate sa mṛto naraḥ SkP_29.177d	jAyate sa mRtaH naraH SkP_29.177d
   jāyasva duhitā bhūtvā SkP_10.5c	jAyasva duhitA BUtvA SkP_10.5c
   jāhnavyālaṃkṛtaṃ puṇyaṃ SkP_29.92c	jAhnavya alaMkRtam puNyam SkP_29.92c
   jāhnavyā saha saṃgatā SkP_29.41d	jAhnavyA saha saMgatA SkP_29.41d
   jitakrodho jitendriyaḥ SkP_9.27b	jita kroDaH jita indriyaH Sku _9.27b
   jihvāyai dṛṣṭaye namaḥ SkP_29.196b	jihvAyE dRzwaye namaH Sku _29.196b
   jīvitaṃ dhārayiṣyati SkP_20.50d	jIvitam DArayizyati SkP_20.50d
   jīvitaṃ samprahāsyasi SkP_20.54b	jIvitam samprahAsyasi SkP_20.54b
   jīvitāśeti so 'bravīt SkP_18.12b	jIvita ASA iti saH abravIt Sku _18.12b
   jīvitenāśubhena ha SkP_10.22d	jIvitena aSuBena ha SkP_10.22d
   juhāvāgnau mahātejās SkP_18.26c	juhAva agnO mahA tejAH SkP_18.26c
   juhvato 'gniṃ divākare SkP_19.20b	juhvataH agnim divAkare Sku _19.20b
   jetre mṛtyostathaiva ca SkP_24.55d	jetre mRtyoH taTA eva ca Sku _24.55d
   jepuḥ saṃhṛṣṭamānasāḥ SkP_13.71d	jepuH saMhRzwa mAnasAH SkP_13.71d
   jaigīṣavyaguhā śreṣṭhā SkP_30.56a	jEgIzavya guhA SrezWA Sku _30.56a
   jaigīṣavyaguhāṃ cemāṃ SkP_29.118a	jEgIzavya guhAm ca imAm Sku _29.118a
   jaigīṣavya dadānyaham SkP_29.120d	jEgIzavya dadAni aham Sku _29.120d
   jaigīṣavya mahābuddhe SkP_29.100a	jEgIzavya mahAbudDe Sku _29.100a
   jaigīṣavyamupasthitā SkP_11.34d	jEgIzavyam upasTitA SkP_11.34d
   jaigīṣavyaṃ tapodhanam SkP_29.97d	jEgIzavyam tapoDanam Sku _29.97d
   jaigīṣavyaḥ parāṃ siddhiṃ SkP_30.55a	jEgIzavyaH parAm sidDim Sku _30.55a
   jñātumicchāmyahaṃ pitaḥ SkP_20.53d	jQAtum icCAmi aham pitar SkP_20.53d
   jñātvā tadabhimantritam SkP_13.2d	jQAtvA tad aBimantritam SkP_13.2d
   jñātvā tāṃ śaṃkaraḥ svayam SkP_12.60b	jQAtvA tAm SaMkaraH svayam Sku _12.60b
   jñātvā tribhuvaneśvaraḥ SkP_4.3b	jQAtvA triBuvana ISvaraH Sku _4.3b
   jñātvā yogasamādhānāj SkP_13.30c	jQAtvA yoga samADAnAt SkP_13.30c
   jñātvā yogena mahatā SkP_7.2c	jQAtvA yogena mahatA SkP_7.2c
   jñātvā rudramathāvyayam SkP_12.11b	jQAtvA rudram aTa avyayam Sku _12.11b
   jñātvā liṅgaṃ pratiṣṭhitam SkP_29.39d	jQAtvA liFgam pratizWitam Sku _29.39d
   jñātvā śaṃkaramāgatam SkP_12.6b	jQAtvA SaMkaram Agatam Sku _12.6b
   jñātvā sa ṛṣipuṃgavaḥ SkP_19.24d	jQAtvA saH Rzi puMgavaH SkP_19.24d
   jñātvā sarvasṛjaṃ paścān SkP_4.19a	jQAtvA sarva sRjam paScAn SkP_4.19a
   jñānaniṣṭhena cetasā SkP_27.45b	jQAna nizWena cetasA SkP_27.45b
   jñānavānyaśasānvitaḥ SkP_19.5b	jQAnavAn yaSasA anvitaH Sku _19.5b
   jñānavāṃstapasānvitaḥ SkP_19.4b	jQAnavAn= tapasA anvitaH Sku _19.4b
   jñānaṃ ca yaḥ prahiṇoti sma tasmai SkP_3.9b	jQAnam ca yaH prahiNoti sma tasmE Sku _3.9b
   jñānaṃ caivāvyayaṃ punaḥ SkP_12.46b	jQAnam ca eva avyayam punar Sku _12.46b
   jñānine 'jñānahāriṇe SkP_29.110b	jQAnine ajQAna hAriNe Sku _29.110b
   jyeṣṭhasthānanivāsinam SkP_29.59b	jyezWa sTAna nivAsinam Sku _29.59b
   jyeṣṭhasthānasamāśritam SkP_29.35b	jyezWa sTAna samASritam Sku _29.35b
   jyeṣṭhaṃ sthānamidaṃ tasmād SkP_29.34c	jyezWam sTAnam idam tasmAt Sku _29.34c
   jyeṣṭhā ca sā bhavitrī te SkP_11.23e	jyezWA ca sA BavitrI te Sku _11.23e
   jyotsnāyai ṛddhaye namaḥ SkP_29.190b	jyotsnAyE RdDaye namaH Sku _29.190b
   jvara ityeva viśrutam SkP_23.24b	jvaraH iti eva viSrutam Sku _23.24b
   jvaladaṃṣṭro mahāhāso SkP_23.12c	jvaladaMzwraH mahAhAsaH SkP_23.12c
   jvalanaṃ ca svayaṃ kṛtvā SkP_13.132a	jvalanam ca svayam kRtvA Sku _13.132a
   jvalanpratasthau varaveṣadhārī SkP_13.14d	jvalan pratasTO vara veza DArI SkP_13.14d
   jvalanmahāratnavicitrarūpaṃ SkP_13.16c	jvalat mahA ratna vicitra rUpam SkP_13.16c
   jvalamānamivānalam SkP_15.17b	jvalamAnam iva analam Sku _15.17b
   jvālākeśo mahāhanuḥ SkP_23.7b	jvAlA keSaH mahA hanuH Sku _23.7b
   jvālāmālāgrakeśaṃ ca SkP_23.22a	jvAlA mAlA agra keSam ca Sku _23.22a
   jvālāmālāparikṣiptam SkP_8.31c	jvAlA mAlA parikziptam SkP_8.31c
   jvālāmālāsahasravān SkP_15.5b	jvAlA mAlA sahasravAn Sku _15.5b
   jvālāmālāsahasrāya SkP_9.7a	jvAlA mAlA sahasrAya Sku _9.7a
   jvālāyai ca namo namaḥ SkP_29.207d	jvAlAyE ca namaH namaH SkP_29.207d
   ta evamuktā gaṇapāḥ SkP_25.36a	te evam uktAH gaNapAH Sku _25.36a
   ta evāgnau ca hotavyā SkP_18.32c	te eva agnO ca hotavyA Sku _18.32c
   takṣakabrahmasūtriṇe SkP_21.35b	takzaka brahmasUtriNe SkP_21.35b
   tacca pañcanadaṃ divyaṃ SkP_22.30a	tat ca paQcanadam divyam Sku _22.30a
   tacca saṃsvedajaṃ tejaḥ SkP_4.16a	tat ca saMsveda jam tejaH Sku _4.16a
   taccaiva phalamāpnoti SkP_28.5c	tat ca eva Palam Apnoti SkP_28.5c
   tacchṛṇudhvaṃ yathātattvaṃ SkP_1.27e	tat SRNuDvam yaTAtattvam Sku _1.27e
   tacchṛṇuṣva m anindite SkP_28.3d	tat SRNuzu a m a nindite SkP_28.3d
   tacchṛṇuṣva mahātapaḥ SkP_12.12d	tat SRNuzva mahA tapaH SkP_12.12d
   tacchṛṇuṣva mahāmune SkP_23.5d	tat SRNuzva mahA mune SkP_23.5d
   tacchrutvā śailavacanaṃ SkP_12.14a	tat SrutvA SEla vacanam Sku _12.14a
   taṇḍulākṣatameva ca SkP_28.12d	taNxula akzatam eva ca Sku _28.12d
   tata utthāya jānubhyāṃ SkP_29.132a	tatas utTAya jAnuByAm Sku _29.132a
   tata etadviśiṣyate SkP_30.53f	tatas etat viSizyate SkP_30.53f
   tata evaṃ tadā brahmā SkP_13.46a	tatas evam tadA brahmA Sku _13.46a
   tata evaṃ pravṛtte tu SkP_13.53a	tatas evam pravRtte tu SkP_13.53a
   tata evaṃ pravṛtte tu SkP_13.127a	tatas evam pravRtte tu SkP_13.127a
   tata evaṃ vacaḥ śrutvā SkP_13.62a	tatas evam vacaH SrutvA Sku _13.62a
   tata evonmukhī sthitvā SkP_12.28c	tatas eva unmuKI sTitvA Sku _12.28c
   tatastatra svayaṃ brahmā SkP_8.23a	tatas tatra svayam brahmA Sku _8.23a
   tatastatrāgatāndevān SkP_25.1a	tatas tatra AgatAn devAn Sku _25.1a
   tatastatsṛṣṭamātmānaṃ SkP_29.68a	tatas tat sRzwam AtmAnam Sku _29.68a
   tatastamāsane tasminn SkP_24.45a	tatas tam Asane tasmin Sku _24.45a
   tatastaṃ vai samādāya SkP_22.10a	tatas tam vE samAdAya Sku _22.10a
   tatastā dahyamānāstu SkP_29.16a	tatas tAH dahyamAnAH tu Sku _29.16a
   tatastānarcayāmyaham SkP_10.18d	tatas tAn arcayAmi aham SkP_10.18d
   tatastāmavadaddharaḥ SkP_22.22d	tatas tAm avadat haraH SkP_22.22d
   tatastāvevametatte SkP_25.26a	tatas tO= evam etat te Sku _25.26a
   tatastāḥ prekṣitāstatra SkP_29.10c	tatas tAH prekzitAH tatra SkP_29.10c
   tatastu devadeveśo SkP_22.1a	tatas tu devadeveSaH Sku _22.1a
   tatastu punareveśaṃ SkP_13.129a	tatas tu punar eva ISam Sku _13.129a
   tatastṛtīyāṃ rudrāṇāṃ SkP_21.10a	tatas tRtIyAm rudrANAm Sku _21.10a
   tataste ṛṣayaḥ sarve SkP_8.16a	tatas te RzayaH sarve Sku _8.16a
   tataste gaṇapāḥ sarve SkP_7.20a	tatas te gaNapAH sarve Sku _7.20a
   tataste gaṇapāḥ sarve SkP_25.56a	tatas te gaNapAH sarve Sku _25.56a
   tataste duḥkhitābhavan SkP_8.7d	tatas te duHKitA aBavan SkP_8.7d
   tataste praṇatāḥ sarve SkP_14.27a	tatas te praNatAH sarve Sku _14.27a
   tataste layamādhāya SkP_29.69a	tatas te layam ADAya Sku _29.69a
   tatasteṣāṃ mahātejā SkP_18.35a	tatas tezAm mahA tejAH Sku _18.35a
   tataste sarvalokeśā SkP_4.34a	tatas te sarva loka ISA Sku _4.34a
   tataste stambhitāḥ sarve SkP_13.51a	tatas te stamBitAH sarve Sku _13.51a
   tatastvāṃ bhakṣayiṣyāmi SkP_17.26c	tatas tvAm BakzayizyAmi SkP_17.26c
   tataḥ kadācidvijñāya SkP_18.25a	tatas kadAcid vijQAya Sku _18.25a
   tataḥ karāladaśano SkP_23.6a	tatas karAla daSano Sku _23.6a
   tataḥ kīrtimavāpsyasi SkP_11.18d	tatas kIrtim avApsyasi SkP_11.18d
   tataḥ kundenduśaṅkhābhaṃ SkP_23.20a	tatas kunda indu SaFKa ABam Sku _23.20a
   tataḥ kṛtvā namaskāraṃ SkP_10.23a	tatas kRtvA namaskAram Sku _10.23a
   tataḥ kṣetramidaṃ śubham SkP_29.56b	tatas kzetram idam SuBam Sku _29.56b
   tataḥ pāśupatāḥ siddhā SkP_29.62a	tatas pASupatAH sidDA Sku _29.62a
   tataḥ putravadhaṃ ghoraṃ SkP_18.3a	tatas putra vaDam Goram Sku _18.3a
   tataḥ pṛcchasi kiṃ punaḥ SkP_11.38d	tatas pRcCasi kim punar SkP_11.38d
   tataḥ praṇamya himavāṃs SkP_13.60a	tatas praNamya himavAn Sku _13.60a
   tataḥ praṇamya hṛṣṭātmā SkP_13.131a	tatas praNamya hRzwa AtmA Sku _13.131a
   tataḥ pradakṣiṇaṃ kṛtvā SkP_12.2a	tatas pradakziNam kRtvA Sku _12.2a
   tataḥ pranṛttābhirathāpsarobhir SkP_13.26a	tatas pranRttABiraTa apsaroBiH SkP_13.26a
   tataḥ prabhṛti cārvaṅgi SkP_30.66a	tatas praBRti cAru aFgi Sku _30.66a
   tataḥ prahasamānāsyaḥ SkP_28.48a	tatas prahasamAna AsyaH SkP_28.48a
   tataḥ śaṅkhāṃśca bherīṃśca SkP_24.60a	tatas SaFKAn= ca BerIn= ca SkP_24.60a
   tataḥ sa tatra saṃsthāpya SkP_7.31a	tatas sa tatra saMsTApya Sku _7.31a
   tataḥ sa tu kṛtodvāho SkP_25.13a	tatas sa tu kRta udvAhaH Sku _25.13a
   tataḥ sa dṛṣṭvā deveśaṃ SkP_29.130a	tatas sa dRzwvA deveSam Sku _29.130a
   tataḥ sa devastuṣṭātmā SkP_29.173a	tatas sa devaH tuzwa AtmA Sku _29.173a
   tataḥ sa devaḥ prahasaṃs SkP_10.32a	tatas sa devaH prahasan Sku _10.32a
   tataḥ sa nirgatastyaktvā SkP_30.14a	tatas sa nirgataH tyaktvA Sku _30.14a
   tataḥ sa bhagavāndevas SkP_12.10a	tatas sa BagavAn devaH SkP_12.10a
   tataḥ sa bhagavāndevas SkP_12.21a	tatas sa BagavAn devaH SkP_12.21a
   tataḥ sa bhagavāndevaḥ SkP_6.1a	tatas sa BagavAn devaH Sku _6.1a
   tataḥ sa bhagavāndevaḥ SkP_20.22a	tatas sa BagavAn devaH Sku _20.22a
   tataḥ sa bhagavāndevaḥ SkP_23.4a	tatas sa BagavAn devaH Sku _23.4a
   tataḥ sa bhagavāndevaḥ SkP_29.125a	tatas sa BagavAn devaH Sku _29.125a
   tataḥ sa bhagavāndevo SkP_12.1a	tatas sa BagavAn devaH Sku _12.1a
   tataḥ sa bhagavāndevo SkP_29.2a	tatas sa BagavAn devaH Sku _29.2a
   tataḥ sa bhagavānhṛṣṭaḥ SkP_5.61a	tatas sa BagavAn hRzwaH SkP_5.61a
   tataḥ samabhavaddvijaḥ SkP_21.10d	tatas samaBavat dvijaH SkP_21.10d
   tataḥ sa mukto dīnātmā SkP_18.16a	tatas sa muktaH dIna AtmA Sku _18.16a
   tataḥ sa rājā svaṃ rājyam SkP_18.1a	tatas sa rAjA svam rAjyam Sku _18.1a
   tataḥ sarvāṇi bhūtāni SkP_24.59c	tatas sarvANi BUtAni SkP_24.59c
   tataḥ sa labdhvā tu varaṃ SkP_31.7a	tatas sa labDvA tu varam Sku _31.7a
   tataḥ sa vāyuvacanān SkP_20.34a	tatas sa vAyu vacanAn Sku _20.34a
   tataḥ sa śokasaṃtapto SkP_20.51a	tatas sa Soka saMtaptaH Sku _20.51a
   tataḥ sa sahito devyā SkP_29.238a	tatas sa sahitaH devyA Sku _29.238a
   tataḥ sahasraśastatra SkP_23.5a	tatas sahasraSas tatra Sku _23.5a
   tataḥ sā krodhadīptāsyā SkP_10.20a	tatas sA kroDa dIpta AsyA Sku _10.20a
   tataḥ sā tadvacaḥ śrutvā SkP_10.6a	tatas sA tad vacaH SrutvA Sku _10.6a
   tataḥ sā taṃ varaṃ labdhvā SkP_15.12a	tatas sA tam varam labDvA Sku _15.12a
   tataḥ sā devadevasya SkP_29.230a	tatas sA devadevasya Sku _29.230a
   tataḥ sā devadevena SkP_29.182a	tatas sA devadevena Sku _29.182a
   tataḥ sā dhāraṇāṃ kṛtvā SkP_10.25a	tatas sA DAraNAm kRtvA Sku _10.25a
   tataḥ sā samanujñātā SkP_7.11a	tatas sA samanujQAtA Sku _7.11a
   tataḥ suptotthita iva SkP_5.45a	tatas supta utTitaH iva Sku _5.45a
   tatāpa suciraṃ tapaḥ SkP_10.1b	tatApa su ciram tapaH Sku _10.1b
   tato gaṇā jayetyūcus SkP_24.59a	tatas gaNAH jaya iti UcuH SkP_24.59a
   tato jaṭāsrutaṃ vāri SkP_22.15a	tatas jawA srutam vAri Sku _22.15a
   tato 'ṭavīṃ samāsādya SkP_18.6a	tatas awavIm samAsAdya Sku _18.6a
   tato 'trāhaṃ samāsthitaḥ SkP_29.27d	tatas atra aham samAsTitaH Sku _29.27d
   tato diśaḥ samudrāśca SkP_24.28a	tatas diSaH samudrAH ca SkP_24.28a
   tato dṛṣṭvā śiśuṃ devā SkP_13.32a	tatas dRzwvA SiSum devAH Sku _13.32a
   tato devaḥ prahasyāha SkP_26.16a	tatas devaH prahasya Aha Sku _26.16a
   tato devaḥ saha gaṇai SkP_7.34a	tatas devaH saha gaNEH Sku _7.34a
   tato devaḥ svayaṃ prabhuḥ SkP_25.57b	tatas devaH svayam praBuH SkP_25.57b
   tato devāstato 'surāḥ SkP_24.59b	tatas devAH tatas asurAH Sku _24.59b
   tato devāḥ sagandharvāḥ SkP_18.38a	tatas devAH sa ganDarvAH Sku _18.38a
   tato devī mahābhāgā SkP_25.23a	tatas devI mahABAgA Sku _25.23a
   tato devyā mahādevo SkP_22.20a	tatas devyAH mahAdevaH Sku _22.20a
   tato drakṣyatha śaṃkaram SkP_8.4d	tatas drakzyaTa SaMkaram SkP_8.4d
   tato drakṣyāmi śaṃkaram SkP_20.65d	tatas drakzyAmi SaMkaram Sku _20.65d
   tato narādhipaṃ devī SkP_26.50a	tatas narADipam devI Sku _26.50a
   tato 'nyaṃ deśamīpsitam SkP_29.175d	tatas anyam deSam Ipsitam Sku _29.175d
   tato 'paraḥ paṭṭisena SkP_23.30a	tatas aparaH pawwisena Sku _23.30a
   tato 'paraḥ samāpede SkP_23.33a	tatas aparaH samApede Sku _23.33a
   tato 'paraḥ sahasreṇa SkP_23.41a	tatas aparaH sahasreNa Sku _23.41a
   tato 'paraḥ saumyarūpo SkP_23.25a	tatas aparaH sOmya rUpaH Sku _23.25a
   tato 'paro mahākeśo SkP_23.11a	tatas aparaH mahAkeSaH Sku _23.11a
   tato brahmā diśaḥ sarvā SkP_5.39a	tatas brahmA diSaH sarvA Sku _5.39a
   tato brahmābhyagāddrutam SkP_18.26d	tatas brahma aByagAt drutam Sku _18.26d
   tato bhagavatī bhūyaḥ SkP_28.47a	tatas BagavatI BUyas Sku _28.47a
   tato bhrātṛśataṃ tasya SkP_18.2c	tatas BrAtR Satam tasya SkP_18.2c
   tato manomayaṃ cakraṃ SkP_4.37a	tatas manaH mayam cakram Sku _4.37a
   tato mayordhvaṃ dṛṣṭāstu SkP_29.10a	tatas mayA UrDvam dRzwAH tu Sku _29.10a
   tato marutsutā caiva SkP_25.24a	tatas marut sutA ca eva Sku _25.24a
   tato mahālayāttasmāt SkP_29.54c	tatas mahAlayAt tasmAt SkP_29.54c
   tato māṃ kṛcchramāviśat SkP_20.54d	tatas mAm kRcCram AviSat SkP_20.54d
   tato munivaraśreṣṭhaṃ SkP_15.16a	tatas muni vara SrezWam Sku _15.16a
   tato mumoca taccakraṃ SkP_4.38c	tatas mumoca tat cakram SkP_4.38c
   tato mṛtyurna me bhavet SkP_20.58b	tatas mRtyuH na me Bavet SkP_20.58b
   tato mokṣamavāpsyati SkP_12.47d	tatas mokzam avApsyati SkP_12.47d
   tato mokṣamavāpsyati SkP_12.49d	tatas mokzam avApsyati SkP_12.49d
   tato vāyustamākāśe SkP_20.31c	tatas vAyuH tam AkASe SkP_20.31c
   tato viniḥsṛtā bhūyaḥ SkP_7.12e	tatas viniHsRtA BUyas Sku _7.12e
   tato viṣṇustataḥ śakro SkP_24.46a	tatas vizNuH tatas SakraH Sku _24.46a
   tato vyāsa punardevī SkP_28.1a	tatas vyAsa punar devI Sku _28.1a
   tato 'sya nirgataḥ kāyād SkP_18.14c	tatas asya nirgataH kAyAt SkP_18.14c
   tato 'sya netrajo vahnir SkP_15.5a	tatas asya netra jaH vahniH Sku _15.5a
   tato 'sya bhedayāmāsa SkP_26.57a	tatas asya BedayAmAsa SkP_26.57a
   tato 'hamāsthito devi SkP_29.14a	tatas aham AsTitaH devi Sku _29.14a
   tatkuruṣva tathā kṣipraṃ SkP_17.7e	tat kuruzva taTA kzipram Sku _17.7e
   tatkuruṣva mama priyam SkP_18.20d	tat kuruzva mama priyam Sku _18.20d
   tatkuruṣva mahābuddhe SkP_11.15c	tat kuruzva mahAbudDe SkP_11.15c
   tatkuruṣva yathepsitam SkP_13.130d	tat kuruzva yaTA Ipsitam Sku _13.130d
   tatkṛtaṃ nātra saṃdeho SkP_12.48c	tat kRtam na atra saMdehaH SkP_12.48c
   tatkṣaṇācca tato vyāsa SkP_13.63a	tad kzaNAt ca tatas vyAsa Sku _13.63a
   tatte sarvaṃ mayā dattaṃ SkP_12.50c	tat te sarvam mayA dattam SkP_12.50c
   tattvaprabuddhā yatayo vadanti SkP_29.90d	tattva prabudDAH yatayaH vadanti Sku _29.90d
   tattvavinyāsakāriṇe SkP_3.15d	tattva vinyAsa kAriNe SkP_3.15d
   tattvākhyaṃ jagadidamādarādyuyoja SkP_3.29b	tattva AKyam jagat idam Adara At yuyoja Sku _3.29b
   tattvā pṛcchāma vai janma SkP_1.11c	tat tvA pRcCAma vE janma SkP_1.11c
   tattvāyāmarasaṃjñiṇe SkP_20.13b	tat tvAya amara saMjQiNe Sku _20.13b
   tatparasya tadāśiṣaḥ SkP_30.16b	tad parasya tad ASizaH Sku _30.16b
   tatpareṇa tadāśiṣā SkP_21.3b	tad pareNa tad ASizA Sku _21.3b
   tatpuṣpasaṃcayamayair SkP_13.88c	tad puzpa saMcaya mayEH SkP_13.88c
   tatpūjitaṃ devamanuṣyasiddhai SkP_4.40a	tat pUjitam deva manuzya sidDEH Sku _4.40a
   tatprabrūhi maheśvara SkP_28.2d	tad prabrUhi maheSvara SkP_28.2d
   tatphalaṃ labhate pattre SkP_28.34c	tat Palam laBate pattre Sku _28.34c
   tatra kā paridevanā SkP_10.36d	tatra kA paridevanA SkP_10.36d
   tatra koṭīḥ sa pañcāśad SkP_18.26a	tatra kowIH sa paQcASat Sku _18.26a
   tatra tacca mahaddivyaṃ SkP_7.14a	tatra tat ca mahat divyam Sku _7.14a
   tatra tvaṃ varayitrī yaṃ SkP_12.15c	tatra tvam varayitrI yam SkP_12.15c
   tatra me niśi rājendra SkP_17.3c	tatra me niSi rAja indra SkP_17.3c
   tatra raṃsyasi sarvadā SkP_22.7d	tatra raMsyasi sarvadA SkP_22.7d
   tatra rājā nivasati SkP_26.22a	tatra rAjA nivasati Sku _26.22a
   tatra lokānna saṃśayaḥ SkP_18.29d	tatra lokAn na saMSayaH SkP_18.29d
   tatra vairamanusmṛtya SkP_19.16a	tatra vEram anusmRtya Sku _19.16a
   tatrāgātkalahaṃsanūpuraravā devyā vivāhe śarat SkP_13.91d	tatra agAt kalahaMsa nUpura ravA devyAH vivAhe Sarad SkP_13.91d
   tatrājagmurmudā yuktāḥ SkP_23.62c	tatra AjagmuH mudA yuktAH SkP_23.62c
   tatrājagmustadā puram SkP_13.70d	tatra AjagmuH tadA puram Sku _13.70d
   tatrābhigamanādeva SkP_7.32a	tatra aBigamanAt eva Sku _7.32a
   tatrāsau darśanaṃ svapne SkP_26.27a	tatra asO darSanam svapne Sku _26.27a
   tatraiva niyamasya ca SkP_3.17d	tatra eva niyamasya ca SkP_3.17d
   tatraivaṃ yoginaḥ sūkṣmaṃ SkP_3.26a	tatra evam yoginaH sUkzmam Sku _3.26a
   tatraivāntaradhīyata SkP_5.65b	tatra eva antaraDIyata Sku _5.65b
   tatraivāntaradhīyata SkP_9.30d	tatra eva antaraDIyata SkP_9.30d
   tatraivāntaradhīyata SkP_11.24b	tatra eva antaraDIyata Sku _11.24b
   tatraivāntaradhīyata SkP_12.57d	tatra eva antaraDIyata SkP_12.57d
   tatraivāntaradhīyata SkP_12.58d	tatra eva antaraDIyata SkP_12.58d
   tatraivāntaradhīyata SkP_20.25d	tatra eva antaraDIyata SkP_20.25d
   tatraivāntarhitaḥ sthitaḥ SkP_11.6d	tatra eva antarhitaH sTitaH SkP_11.6d
   tatsarvaṃ tvayi tiṣṭhati SkP_28.50b	tat sarvam tvayi tizWati Sku _28.50b
   tatsarvaṃ me prayacchasva SkP_12.49c	tat sarvam me prayacCasva SkP_12.49c
   tatsthāpitamatho dṛṣṭvā SkP_7.15a	tat sTApitam aTo dRzwvA Sku _7.15a
   tathā kariṣye deveśa SkP_26.25a	taTA karizye deveSa Sku _26.25a
   tathā kārohaṇāsthitam SkP_29.84d	taTA kArohaNa AsTitam Sku _29.84d
   tathā kumudvatīṃ caiva SkP_24.39a	taTA kumudvatIm ca eva Sku _24.39a
   tathā kuravakāścāpi SkP_13.124a	taTA kuravakAH ca api Sku _13.124a
   tathā kuru mahādeva SkP_26.19c	taTA kuru mahAdeva SkP_26.19c
   tathā kṛṣṇatilāśca ye SkP_28.42b	taTA kRzNa tilAH ca ye Sku _28.42b
   tathāgniśikharo gaṇaḥ SkP_23.50d	taTA agni SiKaraH gaNaH SkP_23.50d
   tathā ghaṭasahasreṇa SkP_26.44a	taTA Gawa sahasreNa Sku _26.44a
   tathā ca kṛtyamuddiśya SkP_5.63c	taTA ca kRtyam uddiSya SkP_5.63c
   tathā cāpyekapāṭalām SkP_11.24f	taTA ca api eka pAwalAm Sku _11.24f
   tathā cāsūyake nare SkP_3.2d	taTA ca asUyake nare SkP_3.2d
   tathā caiva dhanāvahaḥ SkP_23.51b	taTA ca eva Dana AvahaH Sku _23.51b
   tathā caivordhvamehanaḥ SkP_23.8b	taTA ca eva UrDva mehanaH Sku _23.8b
   tathā tatkathayāmi te SkP_27.7d	taTA tat kaTayAmi te SkP_27.7d
   tathā tannātra saṃdeho SkP_15.37a	taTA tat na atra saMdehaH Sku _15.37a
   tathā trivarṇojjvalacārumūrtinā SkP_13.78a	taTA tri varNa ujjvala cAru mUrtinA Sku _13.78a
   tathā durvāsase namaḥ SkP_21.44b	taTA durvAsase namaH Sku _21.44b
   tathā deyaṃ na kasyacit SkP_28.72f	taTA deyam na kasyacid Sku _28.72f
   tathā devi nagātmaje SkP_28.44b	taTA devi naga Atmaje Sku _28.44b
   tathā devyā vṛtastadā SkP_12.21b	taTA devyA vRtaH tadA Sku _12.21b
   tathā dvau meghabhūtikau SkP_23.52d	taTA dvO meGa BUtikO Sku _23.52d
   tathā niyamakāriṇe SkP_5.52b	taTA niyama kAriNe Sku _5.52b
   tathā niṣkalmaṣaśca ha SkP_28.17d	taTA nizkalmazaH ca ha SkP_28.17d
   tathānyaḥ sarpamālaśca SkP_23.43a	taTA anyaH sarpamAlaH ca SkP_23.43a
   tathā paśupatīśvaram SkP_29.82d	taTA paSupati ISvaram Sku _29.82d
   tathā pādāya pādine SkP_21.40f	taTA pAdAya pAdine Sku _21.40f
   tathāpi tu na mṛtyurme SkP_20.55c	taTA api tu na mRtyuH me SkP_20.55c
   tathāpi na yaśaskaram SkP_5.28d	taTA api na yaSaskaram SkP_5.28d
   tathāpratihatāya ca SkP_21.48b	taTA apratihatAya ca Sku _21.48b
   tathā bāhūpahārakaḥ SkP_23.50b	taTA bAhu upahArakaH Sku _23.50b
   tathā bhartari caiva hi SkP_25.25b	taTA Bartari ca eva hi Sku _25.25b
   tathābhūtāṃ mahāyaśāḥ SkP_10.26b	taTABUtAm mahA yaSAH Sku _10.26b
