   śrīgaṇeśāya namaḥ	SrI gaNeSAya namaH
   vāyūtpanānā mudā nāma bhūmijā mṛgavastathā // BndP_2,7.23 //	vAyu utpanAnA mudA nAma BUmijAH mRgavaH taTA // Bndu _2,7.23 //
   vidyuto 'tra ruco nāma mṛtyoḥ kanyāśca bhīravaḥ /	vidyutaH atra rucaH nAma mRtyoH kanyAH ca BIravaH /
   śobhayantyaśca kāmasya gaṇāḥ proktāścaturdaśa // BndP_2,7.24 //	SoBayantyaH ca kAmasya gaNAH proktAH caturdaSa // Bndu _2,7.24 //
   ityete bahusāhasrā bhāsvarā apsarogaṇāḥ /	iti ete bahu sAhasrAH BAsvarAH apsaraH gaNAH /
   devatānāmṛṣīṇāṃ ca patnyaśca mātaraśca ha // BndP_2,7.25 //	devatAnAm RzINAm ca patnyaH ca mAtaraH ca ha // Bndu _2,7.25 //
   sugandhāścātha niṣpandā sarvāścāpsarasaḥ samāḥ /	suganDAH ca aTa nizpandA sarvAH ca apsarasaH samAH /
   saṃprayogastu kāmena mādyaṃ divi haraṃ vinā // BndP_2,7.26 //	saMprayogaH tu kAmena mAdyam divi haram vinA // Bndu _2,7.26 //
   tāsāṃ devarṣi saṃsparśā jātāḥ sādhāraṇā yataḥ /	tAsAm deva rzi saMsparSAH jAtAH sADAraNAH yatas /
   parvatastatra saṃbhūto nāradaścaiva tāvubhau // BndP_2,7.27 //	parvataH tatra saMBUtaH nAradaH ca eva tO= uBO // Bndu _2,7.27 //
   tato yavīyasī caiva tṛtīyārundhatī smṛtā /	tatas yavIyasI ca eva tRtIyA arunDatI smRtA /
   devarṣibhyastayorjanma yasmānnāradaparvatau // BndP_2,7.28 //	deva RziByaH tayoH janma yasmAt nArada parvatO // Bndu _2,7.28 //
   tasmāttau tatsanāmānau smṛtau nāradaparvatau /	tasmAt tO tad sanAmAnO smRtO nArada parvatO /
   vinatāyāśca putrau dvau aruṇau garuḍaśca ha // BndP_2,7.29 //	vinatAyAH ca putrO dvO aruNO garuxaH ca ha // Bndu _2,7.29 //
   gāyatryādīni chandāṃsi sauparṇeyāni pakṣiṇāḥ /	gAyatrI AdIni CandAMsi sOparNeyAni pakziNAH /
   vyavahāryāṇi sarvāṇi ṛjusannihitāni ca // BndP_2,7.30 //	vyavahAryANi sarvANi Rju sannihitAni ca // Bndu _2,7.30 //
   kradrūrnāgasahasraṃ vai vijajñe dharaṇīdharam /	kradrUH nAga sahasram vE vijajQe DaraNIDaram /
   anekaśirasāṃ teṣāṃ khecarāṇāṃ mahātmanām // BndP_2,7.31 //	aneka SirasAm tezAm KecarANAm mahAtmanAm // Bndu _2,7.31 //
   bahutvānnāmadheyānāṃ pradhānāṃśca nibodhata /	bahu tvAt nAmaDeyAnAm praDAnAn= ca niboData /
   teṣāṃ pradhānā nāgānāṃ śeṣavāsukitakṣakāḥ // BndP_2,7.32 //	tezAm praDAnAH nAgAnAm Seza vAsuki takzakAH // Bndu _2,7.32 //
   akarṇo hastikarṇaśca pijaraścāryakastathā /	akarNaH hastikarNaH ca pijaraH ca aryakaH taTA /
   airāvato mahāpadmaḥ kaṃbalāśvatarāvubhau // BndP_2,7.33 //	ErAvataH mahApadmaH kaMbala aSvatarO= uBO // Bndu _2,7.33 //
   elāpatraśca śaṅkhaśca karkeṭakadhanañjayau /	elA patraH ca SaFKaH ca karkewaka DanaQjayO /
   mahākarṇamahānīlau dhṛtarāṣṭrabalāhakau // BndP_2,7.34 //	mahAkarNa mahAnIlO DRtarAzwra balAhakO // Bndu _2,7.34 //
   karavīraḥ puṣpadaṃṣṭraḥ sumukho durmukhastathā /	karavIraH puzpadaMzwraH sumuKaH durmuKaH taTA /
   sūnāmukho dadhimukhaḥ kāliyaścālipiṇḍakaḥ // BndP_2,7.35 //	sUnA muKaH daDimuKaH kAliyaH ca Ali piNxakaH // Bndu _2,7.35 //
   kapilaścāṃbarīṣaśca akrūraśca kapitthakaḥ /	kapilaH ca aMbarIzaH ca akrUraH ca kapitTakaH /
   prahrādastu brahmaṇāśca gandharvo 'tha maṇisthakaḥ // BndP_2,7.36 //	prahrAdaH tu brahmaNAH ca ganDarvaH aTa maNi sTakaH // Bndu _2,7.36 //
   nahuṣaḥ kararomā ca maṇirityevamādayaḥ /	nahuzaH kararomA ca maNiH iti evamAdayaH /
   kādraveyāḥ samākhyātāḥ khaśāyāstu nibodhata // BndP_2,7.37 //	kAdraveyAH samAKyAtAH KaSAyAH tu niboData // Bndu _2,7.37 //
   khaśā vijajñe dvau putrau vikṛtau paruṣavratau /	KaSAH vijajQe dvO putrO vikRtO paruza vratO /
   śreṣṭhaṃ paścimasaṃdhyāyāṃ pūrvasyāṃ ca kanīyasam // BndP_2,7.38 //	SrezWam paScima saMDyAyAm pUrvasyAm ca kanIyasam // Bndu _2,7.38 //
   vilohitaikakarṇaṃ ca pūrvaṃ sājanayatsutam /	vilohita eka karNam ca pUrvam sA ajanayat sutam /
   caturbhujaṃ catuṣpādaṃ kiñcitspandaṃ dvidhāgatim // BndP_2,7.39 //	catur Bujam catuzpAdam kiQcid spandam dviDA gatim // Bndu _2,7.39 //
   sarvaṅgakeśaṃ sthūlāṅgaṃ śubhanāsaṃ mahodaram /	sarvaFga keSam sTUla aFgam SuBa nAsam mahodaram /
   svacchaśīrṣaṃ mahākarṇaṃ muñjakeśaṃ mahābalam // BndP_2,7.40 //	svacCa SIrzam mahAkarNam muQjakeSam mahA balam // Bndu _2,7.40 //
   hrasvāsyaṃ dīrghajihvaṃ ca bahudaṃṣṭraṃ mahāhanum /	hrasvAsyam dIrGa jihvam ca bahu daMzwram mahA hanum /
   raktapiṅgākṣapādaṃ ca sthūlabhrūdīrghanāsikam // BndP_2,7.41 //	rakta piFga akza pAdam ca sTUla BrU dIrGa nAsikam // Bndu _2,7.41 //
   guhyakaṃ śitikaṇṭhaṃ ca mahāpādaṃ mahāmukham /	guhyakam SitikaNWam ca mahA pAdam mahAmuKam /
   evaṃvidhaṃ khaśāputraṃ jajñe 'sāvatibhīṣaṇam // BndP_2,7.42 //	evaMviDam KaSA putram jajQe asO= ati BIzaNam // Bndu _2,7.42 //
   tasyānujaṃ dvitīyaṃ sā hyuṣasyante vyajāyata /	tasya anujam dvitIyam sA hi uzasyante vyajAyata /
   triśīrṣaṃ ca tripādaṃ ca trihastaṃ kṛṣṇalocanam // BndP_2,7.43 //	tri SIrzam ca tri pAdam ca tri hastam kRzNa locanam // Bndu _2,7.43 //
   ūrddhvakeśaṃ haricchmaśruṃ śilāsaṃhananaṃ dṛḍham /	UrdDva keSam harit SmaSrum SilA saMhananam dRXam /
   hrasvakāyaṃ prabāhuṃ ca mahākāya mahāravam // BndP_2,7.44 //	hrasva kAyam prabAhum ca mahAkAya mahA ravam // Bndu _2,7.44 //
   ākarṇadāritāsyaṃ ca balavatsathūlanāsikam /	AkarNa dArita Asyam ca balavat saTUla nAsikam /
   sthūlauṣṭhamaṣṭadaṃṣṭra ca jihmāsyaṃ śaṅkukarṇakam // BndP_2,7.45 //	sTUla ozWam azwadaMzwra ca jihma Asyam SaFku karNakam // Bndu _2,7.45 //
   piṅgalodvattanayanaṃ jaṭilaṃ dvandvapiṇḍakam /	piFgala udvatta nayanam jawilam dvandva piNxakam /
   mahāskandhaṃ mahoraskaṃ pṛthughoṇaṃ kṛśodaram // BndP_2,7.46 //	mahA skanDam mahA uraskam pRTu GoNam kRSa udaram // Bndu _2,7.46 //
   asthūlaṃ lohitaṃ grīvalaṃbameḍhrāṇḍapiḍakam /	asTUlam lohitam grIvalaMba meXra aNxa pixakam /
   evaṃvidhaṃ kumāraṃ sā kaniṣṭhaṃ samasūyata // BndP_2,7.47 //	evaMviDam kumAram sA kanizWam samasUyata // Bndu _2,7.47 //
   sadyaḥ prasūtamātrau tau vivṛddhau ca pramādataḥ /	sadyas prasUta mAtrO tO vivRdDO ca pramAdataH /
   upayaugasamarthābhyāṃ śarīrābhyāṃ vyavasthitau // BndP_2,7.48 //	upayOga samarTAByAm SarIrAByAm vyavasTitO // Bndu _2,7.48 //
   sadyojātau vivṛddhāṅgau mātaraṃ paryakarṣatām /	sadyojAtO vivRdDa aFgO mAtaram paryakarzatAm /
   tayoḥ pūrvastu yaḥ krūro mātaraṃ so 'bhya karṣata // BndP_2,7.49 //	tayoH pUrvaH tu yaH krUraH mAtaram saH aByaH karzata // Bndu _2,7.49 //
   bruvaṃśca mātarbhakṣāva rakṣārthaṃ kṣudhayārditaḥ /	bruvan= ca mAtar BakzAva rakzA arTam kzuDayA arditaH /
   nyaṣedhayatpunarhyenaṃ svayaṃ sa tu kaniṣṭhakaḥ // BndP_2,7.50 //	nyazeDayat punar hi enam svayam sa tu kanizWakaH // Bndu _2,7.50 //
   pūrveṣāṃ kṣemakṛttvaṃ vai rakṣaitāṃ mātaraṃ svakām /	pUrvezAm kzema kRt tvam vE rakzA etAm mAtaram svakAm /
   bāhubhyāṃ parigṛhyainaṃ mātaraṃ so 'bhyabhāṣayat // BndP_2,7.51 //	bAhuByAm parigRhya enam mAtaram saH aByaBAzayat // Bndu _2,7.51 //
   etasminneva kāle tu prādurbhūtastayoḥ pitā /	etasmin= eva kAle tu prAdurBUtaH tayoH pitA /
   tau dṛṣṭvā vikṛtā kārau khaśāṃ tāmabhyabhāṣata // BndP_2,7.52 //	tO dRzwvA vikRtA kArO KaSAm tAm aByaBAzata // Bndu _2,7.52 //
   tau sutau pitaraṃ dṛṣṭvā hyekabhūtau bhayānvitau /	tO sutO pitaram dRzwvA hi eka BUtO Baya anvitO /
   mātureva punaścāṅge pralīyetāṃ svamāyayā // BndP_2,7.53 //	mAtuH eva punar ca aFge pralIyetAm sva mAyayA // Bndu _2,7.53 //
   athābravīdṛṣirbhāryāṃ kimābhyāmuktavatyasi /	aTa abravIt RziH BAryAm kim AByAm uktavatI asi /
   sarvamācakṣva tattvena tavaivāyaṃ vyatikramaḥ // BndP_2,7.54 //	sarvam Acakzva tattvena tava eva ayam vyatikramaH // Bndu _2,7.54 //
   mātṛtulyaśca janane putro bhavati kanyakā /	mAtR tulyaH ca janane putraH Bavati kanyakA /
   yathāśīlā bhavenmātā tathāśīlo bhavetsutaḥ // BndP_2,7.55 //	yaTA SIlA Bavet mAtA taTA SIlaH Bavet sutaH // Bndu _2,7.55 //
   yadvarṇā tu bhavedbhūmistadvarṇaṃ salilaṃ dhruvam /	yad varNA tu Bavet BUmiH tad varNam salilam Druvam /
   mātṝṇāṃ śīladoṣeṇa tathā rūpaguṇaiḥ punaḥ // BndP_2,7.56 //	mAtLNAm SIla dozeNa taTA rUpa guNEH punar // Bndu _2,7.56 //
   vibhinnāstu prajāḥ sarvāstathā khyātivaśena ca /	viBinnAH tu prajAH sarvAH taTA KyAti vaSena ca /
   ityevamuktvā bhagavānkhaśāmapratimastadā // BndP_2,7.57 //	iti evam uktvA BagavAn Ka SAm apratimaH tadA // Bndu _2,7.57 //
   putrāvāhūya sāmnā vai cakre tābhyāṃ tu nāmanī /	putrO= AhUya sAmnA vE cakre tAByAm tu nAmanI /
   putrābhyāṃ yatkṛtaṃ tasyāstadācaṣṭa khaśā tadā // BndP_2,7.58 //	putrAByAm yat kRtam tasyAH tat Acazwa KaSA tadA // Bndu _2,7.58 //
   mātā yathā samākhyātā tarmābhyāṃ ca pṛthakpṛthak /	mAtA yaTA samAKyAtA tarmAByAm ca pRTak pRTak /
   tena dhātvarthayogena tattadarthe cakāra ha // BndP_2,7.59 //	tena DAtu arTa yogena tat tad arTe cakAra ha // Bndu _2,7.59 //
   mātarbhakṣetyathokto vai khādane bhakṣaṇe ca saḥ /	mAtar Bakza iti aTa uktaH vE KAdane BakzaNe ca saH /
   bhakṣāvetyuktavāneṣa tasmādyakṣo 'bhavattvayam // BndP_2,7.60 //	BakzAva iti uktavAn eza tasmAt yakzaH aBavat tu ayam // Bndu _2,7.60 //
   rakṣa ityeṣa dhāturyaḥ pālane sa vibhāvyate /	rakzaH iti eza DAtuH yaH pAlane sa viBAvyate /
   uktavāṃścaiṣa yasmāttu rakṣemāṃ mātaraṃ svakām // BndP_2,7.61 //	uktavAn= ca eza yasmAt tu rakza imAm mAtaram svakAm // Bndu _2,7.61 //
   nāmnā rakṣo 'parastasmādbhaviṣyati tavātmajaḥ /	nAmnA rakzaH aparaH tasmAt Bavizyati tava AtmajaH /
   sa tadā tadvidhāṃ dṛṣṭvā vikriyāṃ ca tayoḥ pitā // BndP_2,7.62 //	sa tadA tadviDAm dRzwvA vikriyAm ca tayoH pitA // Bndu _2,7.62 //
   tadā bhāvinamarthaṃ ca buddhvā mātrā kṛtaṃ tayoḥ /	tadA BAvinam arTam ca budDvA mAtrA kRtam tayoH /
   tāvṛbhau kṣudhitau dṛṣṭvā vismitaḥ parimṛṣṭadhīḥ // BndP_2,7.63 //	tO= RBO kzuDitO dRzwvA vismitaH parimRzwa DIH // Bndu _2,7.63 //
   tayoḥ prādiśadāhāraṃ khaśāpatirasṛgvase /	tayoH prAdiSat AhAram Ka SApatiH asRj vase /
   pitā tau kṣudhitau dṛṣṭvā vara metaṃ tayordadau // BndP_2,7.64 //	pitA tO kzuDitO dRzwvA vara metam tayoH dadO // Bndu _2,7.64 //
   yuvayorhastasaṃsparśādraktadhārāśca sarvaśaḥ /	yuvayoH hasta saMsparSAt rakta DArAH ca sarvaSas /
   sṛṅmāṃsavasābhūtā bhaviṣyantīha kāmataḥ // BndP_2,7.65 //	sRj mAMsa vasA BUtAH Bavizyanti iha kAmataH // Bndu _2,7.65 //
   naktāhāravihārau ca dvijadevādibhojanau /	nakta AhAra vihArO ca dvija deva Adi BojanO /
   naktaṃ caiva balīyāṃsau divā vai nirbalau yuvām // BndP_2,7.66 //	naktam ca eva balIyAMsO divA vE nirbalO yuvAm // Bndu _2,7.66 //
   mātaraṃ rakṣata imāṃ dharmaścaivānuśiṣyate /	mAtaram rakzate imAm DarmaH ca eva anuSizyate /
   ityuktvā kāśyapaḥ putrau tatraivāntaradhīyata // BndP_2,7.67 //	iti uktvA kASyapaH putrO tatra eva antaraDIyata // Bndu _2,7.67 //
   gate pitari tau krūrau nisargādeva dāruṇau /	gate pitari tO krUrO nisargAt eva dAruNO /
   viparyayeṣu varttete 'kṛtajñau prāṇihiṃsakau // BndP_2,7.68 //	viparyayezu varttete akRta jQO prANi hiMsakO // Bndu _2,7.68 //
   mahābalau mahāsattvau mahākāyau durāsadau /	mahA balO mahAsattvO mahA kAyO durAsadO /
   māyāvidāvadṛśyau tāvantardhānagatāvubhau // BndP_2,7.69 //	mAyA vidO= adRSyO tO= antarDAna gatO= uBO // Bndu _2,7.69 //
   tau kāmarūpiṇau ghorau nīrujau ca svabhāvataḥ /	tO kAmarUpiNO GorO nIrujO ca svaBAvataH /
   rūpā nurūpairācāraiḥ pracarantau prabādhakau // BndP_2,7.70 //	rUpAH nurUpEH AcArEH pracarantO prabADakO // Bndu _2,7.70 //
   devānṛṣīnpitṝṃścaiva gandharvānkinnarānapi /	devAn RzIn pitLn= ca eva ganDarvAn kinnarAn api /
   piśācāṃścamanuṣyāṃścapannagānpakṣiṇaḥ paśūn // BndP_2,7.71 //	piSAcAn= ca manuzyAn= ca panna gAn pakziNaH paSUn // Bndu _2,7.71 //
   bhakṣārthamiha lipsaṃtau ceratustau niśācarau /	Bakza arTam iha lipsaMtO ceratuH tO niSAcarO /
   indrasyānucarau caiva kṣubdhau dṛṣṭvā hyatiṣṭhatām // BndP_2,7.72 //	indrasya anucarO ca eva kzubDO dRzwvA hi atizWatAm // Bndu _2,7.72 //
   rākṣasaṃ taṃ kadācidvai niśīthe hyeka mīśvaram /	rAkzasam tam kadAcid vE niSITe hi eka mISvaram /
   āhāraṃ sa parīpsanvai śabdenānusasāra ha // BndP_2,7.73 //	AhAram sa parIpsan vE Sabdena anusasAra ha // Bndu _2,7.73 //
   āsasāda piśācau vai tvajaḥ śaṇḍhaśca tābubhau /	AsasAda piSAcO vE tu ajaH SaNXaH ca tAbuBO /
   kapiputrau mahāvīryauṃ kūṣmāḍau pūrvajāvubhau // BndP_2,7.74 //	kapi putrO mahA vIryOm kUzmAxO pUrvajO= uBO // Bndu _2,7.74 //
   piṅgākṣāvūrddhvaromāṇau vṛttākṣau ca sudāruṇau /	piFga akzO= UrdDva romANO vRtta akzO ca su dAruNO /
   kanyābhyāṃ sahitau tau tu tābhyāṃ bhartuścikīrṣayā // BndP_2,7.75 //	kanyAByAm sahitO tO tu tAByAm BartuH cikIrzayA // Bndu _2,7.75 //
   te kanye kāmarūpiṇyau tadācāramubhe ca tam /	te kanye kAmarUpiNyO tad AcAram uBe ca tam /
   āhārārthe samīhantau sakanyau tu bubhukṣitau // BndP_2,7.76 //	AhAra arTe samIhantO sakanyO tu buBukzitO // Bndu _2,7.76 //
   apaśyatāṃ rakṣasaṃ tau kāmarūpiṇamagrataḥ /	apaSyatAm rakzasam tO kAmarUpiNam agratas /
   sahasā sannipātena dṛṣṭvā caiva parasparam // BndP_2,7.77 //	sahasA sannipAtena dRzwvA ca eva parasparam // Bndu _2,7.77 //
   īkṣamāṇāḥ sthitānyonyaṃ parasparajighṛkṣavaḥ /	IkzamANAH sTitA anyonyam paraspara jiGRkzavaH /
   pitarāvūcatuḥ kanye yuvā mānayata drutam // BndP_2,7.78 //	pitarO= UcatuH kanye yuvA mAnayata drutam // Bndu _2,7.78 //
   jīvagrāhaṃ nigṛhyainaṃ visphurantaṃ padepade /	jIva grAham nigRhya enam visPurantam padepade /
   tatastamabhisṛtyainaṃ kanye jagṛhatustadā // BndP_2,7.79 //	tatas tam aBisRtya enam kanye jagRhatuH tadA // Bndu _2,7.79 //
   saṃgṛhītvā tu hastābhyāmānītaḥ pitṛsaṃsadi /	saMgRhItvA tu hastAByAm AnItaH pitR saMsadi /
   tābhyāṃ kanyāgṛhītaṃ taṃ piśācau vīkṣya rakṣasam // BndP_2,7.80 //	tAByAm kanyA gRhItam tam piSAcO vIkzya rakzasam // Bndu _2,7.80 //
   apṛcchatāṃ ca kasya tvaṃ sa ca sarvamabhāṣata /	apRcCatAm ca kasya tvam sa ca sarvam aBAzata /
   tasya karmābhijātī ca śrutvā tau rakṣasastadā // BndP_2,7.81 //	tasya karma aBijAtI ca SrutvA tO rakzasaH tadA // Bndu _2,7.81 //
   ajaḥ śaṇḍaśca tasmai te kanyake pratyapādayat /	ajaH SaNxaH ca tasmE te kanyake pratyapAdayat /
   tau tuṣṭau karmaṇā tasya kanye te dadatustu vai // BndP_2,7.82 //	tO tuzwO karmaNA tasya kanye te dadatuH tu vE // Bndu _2,7.82 //
   paiśācaina vivāhena rudantyāvudvavāha saḥ /	pESAca ena vivAhena rudantyO= udvavAha saH /
   ajaḥ śaṇḍaḥ sutābhyāṃ tu tadā śrāvayatāṃ dhanam // BndP_2,7.83 //	ajaH SaNxaH sutAByAm tu tadA SrAvayatAm Danam // Bndu _2,7.83 //
   iyaṃ brahmadhanā nāma kanyā yā sahitā śubhā /	iyam brahmaDanA nAma kanyA yA sahitA SuBA /
   brahma tasyāparāhāra iti śaṇḍo 'bhyabhāṣata // BndP_2,7.84 //	brahma tasya apara AhAraH iti SaNxaH aByaBAzata // Bndu _2,7.84 //
   iyaṃ jantudhanā nāma kanyā sarvāṅgajantilā /	iyam jantuDanA nAma kanyA sarva aFga jantilAH /
   jantubhāva dhanādānā ityajau'śrāvayaddhanam // BndP_2,7.85 //	jantu BAva Dana AdAnAH iti ajO aSrAvayat Danam // Bndu _2,7.85 //
   sarvāṅgakeśāpāśā ca kanyā jantudhanā tu yā /	sarva aFga keSA pASA ca kanyA jantu DanA tu yA /
   yātudhānaprasūtā sā kanyā caiva mahāravā // BndP_2,7.86 //	yAtuDAna prasUtA sA kanyA ca eva mahA ravAH // Bndu _2,7.86 //
   aruṇā cāpyalomā ca kanyā brahmadhanā tu yā /	aruNA ca api alomA ca kanyA brahma DanA tu yA /
   brahmadhānaprasūtā sā kanyā caiva mahāravā // BndP_2,7.87 //	brahma DAna prasUtA sA kanyA ca eva mahA ravAH // Bndu _2,7.87 //
   evaṃ piśācakanye te mithune dve prasūyatām /	evam piSAca kanye te miTune dve prasUyatAm /
   tayoḥ prajānisargaṃ ca kathayiṣye nibodhata // BndP_2,7.88 //	tayoH prajA nisargam ca kaTayizye niboData // Bndu _2,7.88 //
   hetiḥ prahetirugraśca pauruṣeyau vadhastathā /	hetiH prahetiH ugraH ca pOruzeyO vaDaH taTA /
   vidyutsphūrjaśca vātaśca āyo pyāghrastathaiva ca // BndP_2,7.89 //	vidyut sPUrjaH ca vAtaH ca AyaH pyAGraH taTA eva ca // Bndu _2,7.89 //
   sūryaśca rākṣasā hyete yātudhānātmajā daśa /	sUryaH ca rAkzasAH hi ete yAtuDAna AtmajA daSa /
   mālyavāṃśca sumālī ca prahetitanayau śṛṇu // BndP_2,7.90 //	mAlyavAn= ca sumAlI ca praheti tanayO SRNu // Bndu _2,7.90 //
   prahetitanayaḥ śrīmānapulomā nāma viśrutaḥ /	praheti tanayaH SrImAn apulomA nAma viSrutaH /
   madhuḥ paro mahograstu lavaṇastasya cātmajaḥ // BndP_2,7.91 //	maDuH paraH mahA ugraH tu lavaNaH tasya ca AtmajaH // Bndu _2,7.91 //
   mahāyogabalopeto mahā devamupasthitaḥ /	mahA yoga bala upetaH mahA devam upasTitaH /
   ugrasya putrau vikrānto vajrahā nāma viśrutaḥ // BndP_2,7.92 //	ugrasya putrO vikrAntaH vajra hA nAma viSrutaH // Bndu _2,7.92 //
   pauruṣeyasutāḥ pañca puruṣādā mahābalāḥ /	pOruzeya sutAH paQca puruzAdAH mahA balAH /
   kūraśca vikṛtaścaiva rudhirādastathaiva ca // BndP_2,7.93 //	kUraH ca vikRtaH ca eva ruDira AdaH taTA eva ca // Bndu _2,7.93 //
   medāśaścavapāśaśca nāmabhiḥ parikīrttitāḥ /	medASaH cava pASaH ca nAmaBiH parikIrttitAH /
   vadhaputrau durācārau vighnaśca śāmanaśca ha // BndP_2,7.94 //	vaDa putrO durAcArO viGnaH ca SAmanaH ca ha // Bndu _2,7.94 //
   vidyutputro durācāro rasano nāma rākṣasaḥ /	vidyutputraH durAcAraH rasanaH nAma rAkzasaH /
   sphūrjakṣetre nikuṃbhastu jāto vai brahmarākṣasaḥ // BndP_2,7.95 //	sPUrja kzetre nikuMBaH tu jAtaH vE brahmarAkzasaH // Bndu _2,7.95 //
   vātaputro virodhastu tathā yasya janātakaḥ /	vAta putraH viroDaH tu taTA yasya janAtakaH /
   vyāghra putro nirānandaḥ kratūnāṃ vighnakārakaḥ // BndP_2,7.96 //	vyAGra putraH nirAnandaH kratUnAm viGna kArakaH // Bndu _2,7.96 //
   sarvasya cānvaye jātā pūrāḥ sarpāśca rākṣasāḥ /	sarvasya ca anvaye jAtA pUrAH sarpAH ca rAkzasAH /
   yātudhānāḥ parikrāntā brahma dhānānnibodhata // BndP_2,7.97 //	yAtuDAnAH parikrAntA brahma DAnAn niboData // Bndu _2,7.97 //
   yajñāpeto dhṛtiḥ kṣemo brahmapetaśca yajñahā /	yajQApetaH DRtiH kzemaH brahma petaH ca yajQa hA /
   śvātoṃ'bukaḥ kelisarpauṃ brahmadhānātmajā nava // BndP_2,7.98 //	SvAtoM abukaH keli sarpOm brahma DAna AtmajA nava // Bndu _2,7.98 //
   svasāro brahmarākṣasyasteṣāṃ cemāḥ sudāruṇāḥ /	svasAraH brahmarAkzasyaH tezAm ca imAH su dAruNAH /
   raktakarṇī mahājihvā kṣamā ceṣṭāpahāriṇī // BndP_2,7.99 //	raktakarNI mahAjihvA kzamA cezwA apa hAriNI // Bndu _2,7.99 //
   etāsāmanvaye jātāḥ pṛthivyāṃ brahmarākṣasāḥ /	etAsAm anvaye jAtAH pRTivyAm brahmarAkzasAH /
   ityete rākṣasāḥ krāntā yakṣasyavinibodhata // BndP_2,7.100 //	iti ete rAkzasAH krAntAH yakzasya viniboData // Bndu _2,7.100 //
   cakame sarasaṃ yakṣaḥ pañcacūḍāṃ kratusthalām /	cakame sarasam yakzaH paQcacUxAm kratu sTalAm /
   tallipsuścintayānaḥ sa devodyānāni mārgate // BndP_2,7.101 //	tad lipsuH cintayAnaH sa deva udyAnAni mArgate // Bndu _2,7.101 //
   vaibhrājaṃ surabhiṃ caiva tathā caitrarathaṃ ca yat /	vEBrAjam suraBim ca eva taTA cEtraraTam ca yat /
   viśokaṃ sumanaṃ caiva nandanaṃ ca vanottamam // BndP_2,7.102 //	viSokam sumanam ca eva nandanam ca vana uttamam // Bndu _2,7.102 //
   bahūni ramaṇīyāni mārgate jātalālasaḥ /	bahUni ramaNIyAni mArgate jAta lAlasaH /
   dṛṣṭvā tāṃ nandane so 'tha apsarobhiḥ sahāsinīm // BndP_2,7.103 //	dRzwvA tAm nandane saH aTa apsaroBiH sahAsinIm // Bndu _2,7.103 //
   nopāyaṃ vindate tatra tasyā lābhāya cintayan /	na upAyam vindate tatra tasyAH lABAya cintayan /
   dūṣitaḥ svena rūpeṇa karmaṇā caiva dūṣitaḥ // BndP_2,7.104 //	dUzitaH svena rUpeNa karmaNA ca eva dUzitaH // Bndu _2,7.104 //
   mamodvijanti hiṃsrasya tathābhūtāni sarvaśaḥ /	mama udvijanti hiMsrasya taTABUtAni sarvaSas /
   tatkathaṃ nāma cārvagīṃ prāpnuyāmahamaṅganām // BndP_2,7.105 //	tat kaTam nAma cArvagIm prApnuyAm aham aFganAm // Bndu _2,7.105 //
   dṛṣṭvopāyaṃ tataḥ so 'tha śīghrakārī vyavarttayat /	dRzwvA upAyam tatas saH aTa SIGrakArI vyavarttayat /
   kṛtvā rūpaṃ vasurucergandharvasya ca guhyakaḥ // BndP_2,7.106 //	kRtvA rUpam vasu ruceH ganDarvasya ca guhyakaH // Bndu _2,7.106 //
   tataḥ so 'psarasāṃ madhye tā jacagrāha kratusthalām /	tatas saH apsarasAm maDye tAH jacagrAha kratu sTalAm /
   buddhvā vasuruciṃ taṃ sā bhāvenaivābhyāvarttata // BndP_2,7.107 //	budDvA vasurucim tam sA BAvena eva aByAvarttata // Bndu _2,7.107 //
   saṃbhūtaḥ sa tayā sārddhaṃ dṛśyamāno 'psarogaṇaiḥ /	saMBUtaH sa tayA sArdDam dRSyamAnaH apsaraH gaNEH /
   jagāma maithunaṃ yakṣaḥ putrārthaṃ sa tayā saha // BndP_2,7.108 //	jagAma mETunam yakzaH putra arTam sa tayA saha // Bndu _2,7.108 //
   dṛśyamāno 'psaro lipsuḥ śaṅkāṃ naiva cakāra saḥ /	dRSyamAnaH apsaraH lipsuH SaFkAm na eva cakAra saH /
   tataḥ saṃsiddhakāraṇaḥ sadyo jātaḥ sutastu vai // BndP_2,7.109 //	tatas saMsidDa kAraNaH sadyas jAtaH sutaH tu vE // Bndu _2,7.109 //
   uchrayātpariṇāhena sadyo vṛddhaḥ śriyā jvalan /	uCrayAt pariNAhena sadyas vRdDaH SriyA jvalan /
   rājāhamiti nābhirhi pitaraṃ so 'bhyavādayat // BndP_2,7.110 //	rAjA aham iti nABiH hi pitaram saH aByavAdayat // Bndu _2,7.110 //
   bhavān rajatanābheti pitā taṃ pratyuvāca ha /	BavAn rajatanABa iti pitA tam pratyuvAca ha /
   mātrānurūpo rūpema piturvīryeṇajāyate // BndP_2,7.111 //	mAtrA anurUpaH rUpema pituH vIryeNa jAyate // Bndu _2,7.111 //
