   atha dvitīyo 'dhyāyaḥ /	aTa dvitIyaH aDyAyaH /
   na ca vyavasthite vastuni vikalpo yujyate /	na ca vyavasTite vastuni vikalpaH yujyate /
   na cāgamabādhitaviṣayatayānumānameva nodīyata iti sāṃpratam /	na ca Agama bADita vizaya tayA anumAnam eva na udIyate iti sAMpratam /
   sarvajñapraṇītatayā sāṃkhyādyāgamasya vedāgamatulyatvāt	sarvajQa praNIta tayA sAMKya adyAgamasya veda Agama tulya tvAt
   tadbhāṣitasyānumānasya pratikṛtisiṃhatulyatayābādhyatvāt /	tad BAzitasya anumAnasya pratikRti siMha tulya tayA bADya tvAt /
   tasmāttadvirodhānna brahmaṇi samanvayo vedāntānāṃ sidhyatīti na	tasmAt tat viroDAt na brahmaNi samanvayaH vedAntAnAm siDyati iti na
   tatastattvajñānaṃ seddhumarhati /	tatas tattva jQAnam sedDum arhati /
   naca tattvajñānādṛte mokṣa iti svatantrāṇāmapyanumānānāmābhāsīkaraṇamiha	na ca tattva jQAnAt Rte mokzaH iti svatantrANAm api anumAnAnAm ABAsIkaraNam iha
   śāstresaṃgatameveti /	SAstresaMgatam eva iti /
   yadyevaṃ tataḥ parakīyānumānanirāsa eva kasmātprathamaṃ na kṛta ityata	yadi evam tatas parakIya anumAna nirAse eva kasmAt praTamam na kRtaH iti ata
   āha  vedāntārthanirṇayasya ceti /	Aha   vedAnta arTa nirNayasya ca iti /
   nanu vītarāgakathāyāṃ tattvanirṇayamātramupayujyate na	nanu vIta rAga kaTAyAm tattva nirNaya mAtram upayujyate na
   punaḥparapakṣādhikṣepaḥ, sa hi sarāgatāmāvahatīti codayati  nanu	punar para pakza aDikzepaH, sa hi sarAga tAm Avahati iti codayati   nanu
   mumukṣūṇāmiti /	mumukzUNAm iti /
   pariharati  bāḍhamevaṃ,	pariharati   bAXam evaM,
   tathāpīti /	taTA api iti /
   tattvanirṇayāvasānā vītarāgakathā /	tattva nirNaya avasAnA vIta rAga kaTA /
   naca parapakṣadūṣaṇamantareṇa tattvanirṇayaḥ śakyaḥ kartumiti	na ca para pakza dUzaNam antareNa tattva nirNayaH SakyaH kartum iti
   tatvanirṇayāya vītarāgeṇāpi parapakṣo dūṣyate na tu parapakṣatayeti na	tatu anirNayAya vIta rAgeNa api para pakzaH dUzyate na tu para pakza tayA iti na
   vītarāgakathātvavyāhatirityarthaḥ /	vIta rAga kaTA tu a vyAhatiH iti arTaH /
   punaruktatāṃ paricodya samādhatte   nanvīkṣateriti /	punarukta tAm paricodya samADatte   nanvIkzateH iti /
   tatra saṃkhyā iti /	tatra saMKyA iti /
   yāni hi yena rūpeṇā sthaulyādā ca saukṣmyātsamanvīyante tāni tatkaraṇāni	yAni hi yena rUpeNA sTOlya AdA ca sOkzmyAt samanvIyante tAni tad karaNAni
   dṛṣṭāni, yathā ghaṭādayo rucakādayaścā sthaulyādā ca	dRzwA ani, yaTA Gawa AdayaH rucaka AdayaH cA sTOlya AdA ca
   saukṣmyānmṛtsuvarṇānvitāstatkaraṇāḥ, tathā cedaṃ bāhyamādhyātmikaṃ ca	sOkzmyAt mRd suvarNa anvitAH tad karaNAH, taTA ca idam bAhyam ADyAtmikam ca
   bhāvajātaṃ suḥkhaduḥkhamohātmanānvitamupalabhyate, tasmāttadapi	BAva jAtam suHKa duHKa moha AtmanA anvitam upalaByate, tasmAt tat api
   suḥkhaduḥkhamohātmasāmānyakāraṇakaṃ bhavitumarhati /	suHKa duHKa moha Atma sAmAnya kAraNakam Bavitum arhati /
   tatra jagatkāraṇasya yeyaṃ sukhātmatā tatsattvaṃ, yā duḥkhātmatā tadrajaḥ,	tatra jagat kAraNasya yA iyam suKa Atma tA tat sattvan, yA duHKa Atma tA tad rajaH,
   yā ca mohātmatā tattama iti traiguṇyakāraṇasiddhiḥ /	yA ca moha Atma tA tat tamaH iti trEguNya kAraNa sidDiH /
   tathāhi  pratyekaṃ bhāvāstraiguṇyavanto 'nubhūyante /	taTA hi   pratyekam BAvAH trEguNyavantaH anuBUyante /
   yathā maitradāreṣu padmāvatyāṃ maitrasya sukhaṃ, tat kasya hetoḥ, taṃprati	yaTA mEtra dArezu padmAvatyAm mEtrasya suKaM, tat kasya hetoH, taMprati
   satvaguṇasamudbhavāt /	satva guNa samudBavAt /
   tatsapatnīnāṃ ca duḥkhaṃ, tatkasya hetoḥ, tāḥ pratyasyā	tad sapatnInAm ca duHKaM, tat kasya hetoH, tAH pratyasyA
   rajoguṇasamudbhavāt /	rajaH guNa samudBavAt /
   caitrasya tu straiṇasya tāmavindato moho viṣādaḥ, tat kasya hetoḥ, taṃ	cEtrasya tu strENasya tAm avindataH mohaH vizAdaH, tat kasya hetoH, tam
   pratyasyāstamoguṇasamudbhavāt /	pratyasyAH tamaH guNa samudBavAt /
   padmāvatyā ca sarve bhāvā vyākhyātāḥ /	padmAvatyA ca sarve BAvAH vyAKyAtAH /
   tasmātsarvaṃ suḥkhaduḥkhamohānvitaṃ jagattatkāraṇaṃ gamyate /	tasmAt sarvam suHKa duHKa moha anvitam jagat tad kAraNam gamyate /
   tacca triguṇaṃ pradhānaṃ pradhīyate kriyate 'nena jagaditi, pradhīyate	tat ca triguNam praDAnam praDIyate kriyate anena jagat iti, praDIyate
   nidhīyate 'sminpralayasamaye jagaditi vā pradhānam /	niDIyate asmin pralaya samaye jagat iti vA praDAnam /
   tacca mṛtsuvarṇavadacetanaṃ cetanasya puruṣasya bhogāpavargalakṣaṇamarthaṃ	tat ca mRd suvarNavat acetanam cetanasya puruzasya Boga apavarga lakzaNam arTam
   sādhayituṃ svabhāvata eva pravartate, na tu kenacitpravartyate /	sADayitum svaBAvataH eva pravartate, na tu kenacid pravartyate /
   tathā hyāhuḥ   'puruṣārtha eva heturna kenacitkāryate karaṇam'iti /	taTA hi AhuH    apuruza arTaH eva hetuH na kenacid kAryate karaNam aiti /
   parimāṇādibhirityādigrahaṇena 'śaktitaḥ pravṛtteśca /	parimANa AdiBiH iti Adi grahaNena aSaktitaH pravRtteH ca /
   kāraṇakāryavibhāgādavibhāgādvaiśvarūpyasya'ityavyaktasiddhihetavo gṛhyante	kAraNa kArya viBAgAt aviBAgAt vESvarUpyasya aiti avyakta sidDi hetavaH gRhyante
   etāṃścepariṣṭādvyākhyāya nirākariṣyata iti /	etAn= cepa rizwAt vyAKyAya nirAkarizyate iti /
   tadetatpradhānānumānaṃ dūṣayati  tatra vadāma iti /	tat etad praDAna anumAnam dUzayati  tatra vadAmaH iti /
   yadi tāvadacetanaṃ pradhānamanadhiṣṭhitaṃ cetanena pravartate svabhāvata	yadi tAvat acetanam praDAnam anaDizWitam cetanena pravartate svaBAvata
   eveti sādhyate, tadayuktaṃ,	eva iti sADyate, tad ayuktaM,
   samanvayāderhetoścetanānadhiṣṭhitatvaviruddhacetanādhiṣṭhitatvena	samanvaya AdeH hetoH cetanA anaDizWita tva virudDa cetanA aDizWita tvena
   mṛtsuvarṇādau dṛṣṭāntadharmiṇi	mRd suvarNa AdO dRzwAnta DarmiNi
   vyāpterupalabdherviruddhatvāt /	vyApteH upalabDeH virudDa tvAt /
   nahi mṛtsuvarṇadārvādayaḥ kulālahemakārarathakārādibhiranadhiṣṭhitāḥ	na hi mRd suvarNa dAru AdayaH kulAla hemakAra raTa kAra AdiBiH anaDizWitAH
   kumbharucakarathādyupādadate /	kumBa rucaka raTa Adi upAdadate /
   tasmāt kṛtakatvamiva nityatvasādhanayā prayuktaṃ sādhyaviruddhena vyāptaṃ	tasmAt kRtaka tvam iva nitya tva sADanayA prayuktam sADya virudDena vyAptam
   viruddham, evaṃ samanvayādi cetanānadhiṣṭhitatve sādhya iti	virudDam, evam samanvaya Adi cetanA anaDizWita tve sADyaH iti
   racanānupapatteriti darśitam /	racanA anupapatteH iti darSitam /
   yaducyeta dṛṣṭāntadharmiṇyacetanaṃ tāvadupādānaṃ dṛṣṭaṃ, tatra yadyapi	yat ucyeta dRzwAnta DarmiNI acetanam tAvat upAdAnam dRzwan, tatra yadi api
   taccetanaprayuktamapi dṛśyate, tathāpi tatprayuktatvaṃ hetoraprayojakaṃ	tad cetana prayuktam api dRSyate, taTA api tad prayukta tvam hetoH aprayojakam
   bahiraṅgatvāt, antaraṅgaṃ tvacaitanyamātramupādānānugataṃ hetoḥ prayojakam	bahis aFga tvAt, antaraFgam tu acEtanya mAtram upAdAna anugatam hetoH prayojakam
   yathāhuḥ  'vyāpteśca dṛśyamānāyāḥ kaściddharmaḥ prayojakaḥ'iti /	yaTA AhuH   avyApteH ca dRSyamAnAyAH kaScid DarmaH prayojakaH aiti /
   tatrāha  naca mṛdādīti /	tatra aha  naca mRdA Adi iti /
   svabhāvapratibaddhaṃ hi vyāptaṃ vyāpakamavagamayati /	svaBAva pratibadDam hi vyAptam vyApakam avagamayati /
   sa ca svabhāvapratibandhaḥ śaṅkitasamāropitopādhinirāse sati niścīyate /	sa ca svaBAva pratibanDaH SaFkita samAropita upADi nirAse sati niScIyate /
   tanniścayaścānvayavyatirekayorāyatate /	tad niScayaH ca anvaya vyatirekayoH Ayatate /
   tau cānvayavyatirekau na tathopādānācaitanye yathā	tO ca anvaya vyatirekO na taTA upAdAna AcEtanye yaTA
   cetanaprayuktatve 'tiparisphuṭau /	cetana prayukta tve ati parisPuwO /
   tadalamatrāntaraṅgatveneti bhāvaḥ /	tad alam atra antaraFga tvena iti BAvaH /
   evamapi cetanaprayuktatvaṃ nābhyupeyeta yadi pramāṇāntaravirodho bhavet,	evam api cetana prayukta tvam na aByupeyeta yadi pramANa antara viroDaH Bavet ,
   pratyuta śrutiranuguṇatarātretyāha  na caivaṃ satīti /	pratyuta SrutiH anuguNatarAtra iti Aha  na ca evam sati iti /
   cakāreṇa suḥkhaduḥkhādisamanvayalakṣaṇasya hetorasiddhatvaṃ	cakAreNa suHKa duHKa Adi samanvaya lakzaNasya hetoH asidDa tvam
   samuccinotītyāha  anvayādyanupapatteśceti /	samuccinoti iti Aha  anvaya Adi anupapatteH ca iti /
   āntarāḥ khalvamī suḥkhaduḥkhamohaviṣādā bāhyebhyaścandanādibhyo	AntarAH Kalu amI suHKa duHKa moha vizAdAH bAhyeByaH candana AdiByaH 
   'tivicchinnapratyayapravedanīyebhyo vyatiriktā adhyakṣamīkṣyante /	ati vicCinna pratyaya pravedanIyeByaH vyatiriktAH aDyakzam Ikzyante /
   yadi punareta eva suḥkhaduḥkhādisvabhāvā bhaveyustataḥsvarūpatvādhemante	yadi punar ete eva suHKa duHKa Adi svaBAvAH BaveyuH tatas svarUpa tva ADemante
   'pi candanaḥ sukhaḥ syāt /	api candanaH suKaH syAt /
   nahi candanaḥ kadācidacandanaḥ /	na hi candanaH kadAcid acandanaH /
   tathā nidāgheṣvapi kuṅkumapaṅkaḥ sukho bhavet /	taTA nidAGezu api kuFkuma paFkaH suKaH Bavet /
   nahyasau kadācidakuṅkumapaṅka iti /	na hi asO kadAcid akuFkuma paFkaH iti /
   evaṃ kaṇṭakaḥ kramelakasya sukha iti manuṣyādīnāmapi prāṇabhṛtāṃ sukhaḥ	evam kaNwakaH kramelakasya suKaH iti manuzya AdInAm api prANaBRtAm suKaH
   syāt /	syAt /
   nahyasau kāṃścitpratyeva kaṇṭaka iti /	na hi asO kAMScid pratyeva kaNwakaH iti /
   tasmādasukhādisvabhāvā api candanakuṅkumādayo jātikālāvasthādyapekṣayā	tasmAt asuKa Adi svaBAvAH api candana kuFkuma AdayaH jAti kAla avasTa Adi apekzayA
   sukhaduḥkhādihetavo na tu svayaṃ sukhādisvabhāvā iti ramaṇīyam /	suKa duHKa Adi hetavaH na tu svayam suKa Adi svaBAvAH iti ramaNIyam /
   tasmātsukhādirūpasamanvayo bhāvānāmasiddha iti nānena tadrūpaṃ	tasmAt suKa Adi rUpa samanvayaH BAvAnAm asidDaH iti na anena tad rUpam
   kāraṇamavyaktamunnīyata iti /	kAraNam avyaktam unnIyate iti /
   tadidamuktam  śabdādyaviśeṣe 'pi ca bhāvanāviśeṣāditi /	tat idam uktam   Sabda Adi aviSeze api ca BAvanA viSezAt iti /
   bhāvanā vāsanā saṃskārastadviśeṣāt /	BAvanA vAsanA saMskAraH tad viSezAt /
   karabhajanmasaṃvartakaṃ hi karma karabhocitāmeva bhāvanāmabhivyaniktiṃ,	karaBajanma saMvartakam hi karma kara Ba ucitAm eva BAvanAm aBivyaniktiM,
   yathāsmai kaṇṭakā eva rocante /	yaTA asmE kaNwakAH eva rocante /
   evamanyatrāpi draṣṭavyam /	evam anyatra api drazwavyam /
   parimāṇāditi sāṃkhyīyaṃ hetumupanyasyati  tathā parimitānāṃ bhedānāmiti /	parimANAt iti sAMKyIyam hetum upanyasyati   taTA parimitAnAm BedAnAm iti /
   saṃsargapūrvakatve hi saṃsargasyaikasminnadvaye	saMsarga pUrvaka tve hi saMsargasya ekasmin= advaye
   'saṃbhavānnānātvaikārthasamavetasya nānākaraṇāni saṃsṛṣṭāni kalpanīyāni,	asaMBavAn nAnAtva eka arTa samavetasya nAnA karaNAni saMsRzwAni kalpanIyAni,
   tāni ca sattvarajastamāṃsyeveti bhāvaḥ /	tAni ca sattva rajaH tamAMsi eva iti BAvaH /
   tadetatparimitatvaṃ sāṃkhyīyarāddhāntālocanenānaikāntikamiti	tat etat parimita tvam sAMKyIya rAt Da anta Alocanena anEkAntikam iti
   dūṣayati  sattvarajastamasāmiti /	dUzayati  sattva rajaH tamasAm iti /
   yadi tāvatparimitatvamiyattā, sā nabhaso 'pi nāstītyavyāpako hetuḥ	yadi tAvat parimita tvam iyattA, sA naBasaH api na asti iti avyApakaH hetuH
   parimāṇāditi /	parimANAt iti /
   atha na yojanādimitatvaṃ parimāṇamiyattāṃ nabhaso brūmaḥ kintvavyāpitām,	aTa na yojana Adi mita tvam parimANam iyattAm naBasaH brUmaH kintva vyApitAm,
   avyāpi ca nabhastanmātrādeḥ /	avyApi ca naBaH tanmAtra AdeH /
   nahi kāryaṃ kāraṇavyāpi, kintu kāraṇaṃ kāryavyāpīti parimitaṃ	nahi kAryam kAraNa vyApi, kintu kAraNam kArya vyApI iti parimitam
   nabhastanmātrādyavyāpitvāt /	naBaH tanmAtra Adi avyApi tvAt /
   hanta sattvarajastamāṃsyapi na parasparaṃ vyāpnuvanti, naca	hanta sattva rajaH tamAMsi api na parasparam vyApnuvanti, na ca
   tattvāntarapūrvakatvameteṣāmiti vyabhicāraḥ /	tattva antara pUrvaka tvam etezAm iti vyaBicAraH /
   nahi yathā taiḥ kāryajātamāviṣṭamevaṃ tāni parasparaṃ viśanti, mithaḥ	na hi yaTA tEH kArya jAtam Avizwam evam tAni parasparam viSanti, miTas 
   kāryakāraṇabhāvābhāvāt /	kArya kAraNa BAva aBAvAt /
   parasparasaṃsargastvāveśaścitiśaktau nāsti /	paraspara saMsargaH tu AveSaH citi SaktO na asti /
   nahi citiśaṅktiḥ kūṭasthanityā taiḥ saṃsṛjyate, tataśca tadavyāpakā guṇā	nahi citi SaFktiH kUwasTa nityA tEH saMsRjyate, tatas ca tat avyApakA guNA
   iti parimitāḥ /	iti parimitAH /
   evaṃ citiśaktirapi guṇairasaṃsṛṣṭeti sāpi parimitetyanaikāntikatvaṃ	evam citi SaktiH api guNEH asaMsRzwA iti sA api parimitA iti anEkAntika tvam
   parimitatvasya hetoriti /	parimita tvasya hetoH iti /
   tathā kāryakāraṇavibhāgo 'pi samanvayavadviruddha	taTA kArya kAraNa viBAgaH api samanvayavat virudDa
   ityāha  kāryakāraṇabhāvastviti //1//	iti Aha   kArya kAraNa BAvaH tu iti //1//
   START BsVBh_2,2.1.2	START BsVBh_2,2.1.2
   pravṛtteś ca | BBs_2,2.2 |	pravRtteH ca | BBH _2,2.2 |
   na kevalaṃ racanābhedā na cetanādhiṣṭhānamantareṇa bhavantyapi tu	na kevalam racanA BedAH na cetanA aDizWAnam antareNa Bavanti api tu
   sāmyāvasthāyāḥ pracyutirvaiṣamyaṃ, tathā ca yadudbhūtaṃ	sAmya avasTAyAH pracyutiH vEzamyan, taTA ca yat udBUtam
   balīyastadaṅgyabhibhūtaṃ ca	balIyaH tad aFgI aBiBUtam ca
   tadanuguṇatayā sthitamaṅgam, evaṃ hi guṇapradhānabhāve satyasya mahadādau	tad anuguNa tayA sTitam aFgam, evam hi guNa praDAna BAve satyasya mahat AdO
   kārye kā pravṛttiḥ, sāpi cetanādhiṣṭhānameva gamayati /	kArye kA pravRttiH, sA api cetanA aDizWAnam eva gamayati /
   na hi cetanādhiṣṭhānamantareṇa mṛtpiṇḍe pradhāne 'ṅgabhāvena	na hi cetanA aDizWAnam antareNa mRd piNxe praDAne aFga BAvena
   cakradaṇḍasalilasūtrādayo 'vatiṣṭhante /	cakra daNxa salila sUtra AdayaH avatizWante /
   tasmātpravṛtterapi cetanādhiṣṭhānasiddhiriti 'śaktitaḥ	tasmAt pravRtteH api cetanA aDizWAna sidDiH iti aSaktitaH
   pravṛtteśca'ityayamapi hetuḥ sāṃkhyīyo viruddha evetyuktaṃ vakroktyā /	pravRtteH ca aiti ayam api hetuH sAMKyIyaH virudDaH eva iti uktam vakra uktyA /
   atra sāṃkhyaścodayati  nanu cetanasyāpi pravṛttiriti /	atra sAMKyaH ca udayati  nanu cetanasya api pravRttiH iti /
   ayamabhiprāyaḥ  tvayā kilaupaniṣadenāsmaddhetūn dūṣayitvā kevalasya	ayam aBiprAyaH   tvayA kila Opanizadena asmad hetUn dUzayitvA kevalasya
   cetanasyaivānyanirapekṣasya jagadupādānatvaṃ nimittatvaṃ ca samarthanīyam	cetanasya eva anya nirapekzasya jagat upAdAna tvam nimitta tvam ca samarTanIyam
   tadayuktam /	tat ayuktam /
   kevalasya cetanasya pravṛtterdṛṣṭāntadharmiṇyanupalabdheriti /	kevalasya cetanasya pravRtteH dRzwAnta DarmiNI anupalabDeH iti /
   aupaniṣadastu cetanahetukāṃ tāvadeṣa sāṃkhyaḥ pravṛttimabhyupagacchatu	OpanizadaH tu cetana hetukAm tAvat eza sAMKyaH pravRttim aByupagacCatu
   paścāt svapakṣamata eva samādhāsyāmītyabhisaṃdhimānāha  satyametat /	paScAt sva pakzam atas eva samADAsyAmi iti aBisaMDim AnAha   satyam etat /
   na kevalasya cetanasya pravṛttirdṛṣṭeti /	na kevalasya cetanasya pravRttiH dRzwA iti /
   sāṃkhya āha  na tvacetanasaṃyuktasyeti /	sAMKyaH Aha  na tu acetana saMyuktasya iti /
   tuśabda aupaniṣadapakṣaṃ vyāvartayati /	tuSabdaH Opanizada pakzam vyAvartayati /
   acetanāśrayaiva sarvā pravṛttirdṛśyate na tu cetanāśrayā kācidapi /	acetana ASraya eva sarvA pravRttiH dRSyate na tu cetanA ASrayA kAcid api /
   tasmānna cetanasya jagatsarjane pravṛttirityarthaḥ /	tasmAt na cetanasya jagat sarjane pravRttiH iti arTaH /
   atraupaniṣado gūḍhābhisaṃdhiḥ praśnapūrvakaṃ vimṛśati  kiṃ punaratreti /	atra OpanizadaH gUXa aBisaMDiH praSna pUrvakam vimRSati   kim punar atra iti /
   atrāntare sāṃkhyo brūte  nanu yasminniti /	atra antare sAMKyaH brUte  nanu yasmin= iti /
   na tāvaccetanaḥ pravṛtyāśrayatayā tatprayojakatayā vā pratyakṣamīkṣyate,	na tAvat cetanaH pravRti ASrayatayA tad prayojaka tayA vA pratyakzam Ikzyate,
   kevalaṃ pravṛttistadāśrayaścācetano deharathādiḥ pratyakṣeṇa pratīyate,	kevalam pravRttiH tad ASrayaH ca acetanaH deha raTa AdiH pratyakzeNa pratIyate,
   tatrācetanasya pravṛttistannimittaiva na tu cetananimittā /	tatra acetanasya pravRttiH tad nimittA eva na tu cetana nimittAH /
   sadbhāvamātraṃ tu tatra cetanasya gamyate rathādivailakṣaṇyājjīvaddehasya	sadBAva mAtram tu tatra cetanasya gamyate raTa Adi vElakzaNyAt jIvat dehasya
   naca sadbhāvamātreṇa kāraṇatvasiddhiḥ /	na ca sadBAva mAtreNa kAraNa tva sidDiH /
   mā bhūdākāśa utpattimatāṃ ghaṭādīnāṃ nimittakāraṇamasti hi sarvatreti /	mA BUt AkASaH utpattimatAm Gawa AdInAm nimitta kAraNam asti hi sarvatra iti /
   tadanena dehātirikte satyapi cetane tasya na pravṛttiṃ prati nimittabhāvo	tat anena deha atirikte sati api cetane tasya na pravRttim prati nimitta BAvaH 
   'stītyuktam /	asti iti uktam /
   yataścāsya na pravṛttihetubhāvo 'sti ata eva pratyakṣe dehe sati	yatas ca asya na pravRtti hetu BAvaH asti atas eva pratyakze dehe sati
   pravṛttidarśanādasati cādarśanāddehasyaiva caitanyamiti laukāyatikāḥ	pravRtti darSanAt asati ca adarSanAt dehasya eva cEtanyam iti lOkAyatikAH
   pratipannāḥ, tathā ca na cidātmanimittā pravṛttiriti siddham /	pratipannAH, taTA ca na cit Atma nimittA pravRttiH iti sidDam /
   tasmānna racanāyāḥ pravṛttervā cidātmakāraṇatvasiddhirjagata iti	tasmAt na racanAyAH pravRtteH vA cit Atma kAraNa tva sidDiH jagataH iti
   aupaniṣadaḥ pariharati  tadabhidhīyate  na brūma iti /	OpanizadaH pariharati   tad aBiDIyate  na brUmaH iti /
   na tāvat pratyakṣānumānāgamasiddhaḥ śārīro vā paramātmā vāsmābhiridānīṃ	na tAvat pratyakza anumAna Agama sidDaH SArIraH vA paramAtmA vA asmABiH idAnIm
   sādhanīyaḥ, kevalamasya pravṛtti prati kāraṇatvaṃ vaktavyam /	sADanIyaH, kevalam asya pravRtti prati kAraNa tvam vaktavyam /
   tatra mṛtaśarīre vā rathādau vānadhiṣṭhite cetanena pravṛtteradarśanāt	tatra mRta SarIre vA raTa AdO vA anaDizWite cetanena pravRtteH adarSanAt 
   tadviparyaye ca pravṛttidarśanādanvayavyatirekābhyāṃ cetanahetukatvaṃ	tad viparyaye ca pravRtti darSanAt anvaya vi atirekAByAm cetana hetuka tvam
   pravṛtterniścīyate, na tu cetanasadbhāvamātreṇa, yenātiprasaṅgo bhavet /	pravRtteH niScIyate, na tu cetana sat BAva mAtreNa, yena atiprasaFgaH Bavet /
   bhūtacaitanikānāmapi cedanādhiṣṭhānādacetanānāṃ pravṛttirityatrāvivāda	BUta cEtanikAnAm api ced ana aDizWAnAt acetanAnAm pravRttiH iti atra avivAda
   ityāha  laukāyatikānāmapīti /	iti Aha   lOkAyatikAnAm api iti /
   syādetat /	syAt etat /
   dehaḥ svayaṃ cetanaḥ karacaraṇādimān svavyāpāreṇa pravartayatīti yuktaṃ,	dehaH svayam cetanaH kara caraNa AdimAn sva vyApAreNa pravartayati iti yuktaM,
   na tu tadatiriktaḥ kūṭasthanityaścetano vyāpārarahito jñānaikasvabhāvaḥ	na tu tat atiriktaH kUwasTa nityaH cetanaH vyApAra rahitaH jQAna eka svaBAvaH
   pravṛttyabhāvāt pravartako yukta iti codayati  nanu taveti /	pravRtti aBAvAt pravartakaH yuktaH iti codayati   nanu tava iti /
   pariharati  na /	pariharati  naH /
   ayaskāntavadrūpādivacceti /	ayaskAnta vat rUpa Adi vat ca iti /
   yathā ca rūpādaya iti /	yaTA ca rUpa AdayaH iti /
   sāṃkhyānāṃ hi svadeśasthā rūpādaya indriyaṃ vikurvate, tena	sAMKyAnAm hi sva deSa sTAH rUpa AdayaH indriyam vikurvate, tena
   tadindrayamarthaṃ prāptamarthākāreṇa pariṇamata iti sthitiḥ /	tat indrayam arTam prAptam arTa AkAreNa pariNamate iti sTitiH /
   saṃprati codakaḥ svābhiprāyamāviṣkaroti  ekatvāditi /	saMprati ca udakaH sva aBiprAyam Avizkaroti  eka tvAt iti /
   yeṣāmacetanaṃ cetanaṃ cāsti teṣāmetadyujyate vaktuṃ	yezAm acetanam cetanam ca asti tezAm etat yujyate vaktum
   cetanādhiṣṭhitamacetanaṃ pravartata iti /	cetana aDizWitam acetanam pravartate iti /
   yathā yogināmīśvaravādinām /	yaTA yoginAm ISvara vAdinAm /
   yeṣāṃ tu cetanātiriktaṃ nāstyadvaitavādināṃ, teṣāṃ pravartyābhāve kaṃ	yezAm tu cetanA atiriktam na asti advEta vAdinAM, tezAm pravartya aBAve kam
   prati pravartakatvaṃ cetanasyetyarthaḥ /	prati pravartaka tvam cetanasya iti arTaH /
   pariharati  na avidyeti /	pariharati  naH avidyA iti /
   kāraṇabhūtayā layalakṣaṇayāvidyayā prāksargopacitena ca vikṣepasaṃskāreṇa	kAraNa BUtayA laya lakzaNayA avidyayA prAc sarga upacitena ca vikzepa saMskAreNa
