   atha tṛtīyo 'dhyāyaḥ /	aTa tRtIyaH aDyAyaH /
   taddhitasya tvasyeti sarvanāmārthe smaraṇāt saṃnihitasya ca viśeṣyasya	tat hitasya tu asya iti sarva nAma arTe smaraNAt saMnihitasya ca viSezyasya
   sarvanāmārthatvāttatraiva taddhitasyāpi vṛttirnatu viśveṣu deveṣaṣu /	sarva nAma arTa tvAt tatra eva tat hitasya api vRttiH na tu viSvezu devezazu /
   na tatsaṃbandhe, nāpi tatsaṃbandhimātre /	na tad saMbanDe, na api tad saMbanDi mAtre /
   nanvevaṃ sati kasmādvaiśvadevīśabdamātrādeva nāmikṣāṃ pratīmaḥ kimiti	nanu evam sati kasmAt vESvadevI Sabda mAtrAt eva nAmikzAm pratImaH kim iti
   cāmikṣāpadamapekṣāmahe /	cAmikzA padam apekzAmahe /
   taddhitāntasya padasyābhidhānāparyavasānānna pratīmastatparyavasānāya	tat hita antasya padasya aBiDAna aparyavasAnAt na pratImaH tad paryavasAnAya
   cāpekṣāmahe /	ca apekzAmahe /
   avasitābhidhānaṃ hi padaṃ samarthamarthadhiyamādhātum /	avasita aBiDAnam hi padam samarTam arTaDiyam ADAtum /
   idaṃ tu saṃnihitaviśeṣābhidhāyi tatsaṃnidhimapekṣamāṇaṃ	idam tu saMnihita viSeza aBiDAyi tad saMniDim apekzamANam
   saṃnidhāpakamāmikṣāpadamapekṣata iti kuta āmikṣāpadānapekṣa	saMniDApakam Amikza Apadam apekzate iti kutas AmikzApada anapekza
   āmikṣāpratyayaprasaṅgaḥ /	AmikzA pratyaya prasaFgaH /
   kuto vā tatrānapekṣā /	kutas vA tatra anapekzA /
   ataśca satyāmapi padāntarāpekṣāyāṃ yatpadaṃ padāntarāpekṣamabhidhatte	atas ca satyAm api pada antara apekzAyAm yat padam pada antara apekzam aBiDatte
   tatpramāṇabhūtaprathamabhāvipadāvagamyatvācchrautaṃ balīyaśca /	tad pramANa BUta praTama BAvi padO= agamya tvAt SrOtam balIyaH ca /
   yattu paryavasitābhidhānapadābhihitapadārthavagamagamyaṃ	yat tu paryavasita aBiDAna pada aBihita padArTa vagam agamyam
   tattaccaramapratītivākyagamyaṃ durbalaṃ ceti	tad tad carama pratIti vAkya gamyam durbalam ca iti
   taddhitaśrutyavagatāmikṣālakṣaṇaguṇāvarodhātpūrvakarmāsaṃyogi	tad hita Sruti avagata AmikzA lakzaNa guNa avaroDAt pUrva karma asaMyogi
   vājinadravyaṃ sasaṃbandhi pūrvasmādbhinatti /	vAjina dravyam sa saMbanDi pUrvasmAt Binatti /
   evañca sati nityavadavagadhānapekṣasādhanabhāvāmikṣā na vācinadravyeṇa	evaQca sati nitya vat avagaDa anapekza sADana BAvAmikzAH na vAcina dravyeNa
   saha vikalpasamuccayau prāpsyati /	saha vikalpa samuccayO prApsyati /
   nacāśvatve nirīḍhatvādanapekṣavṛtti vājipadaṃ kathañcidyaugikaṃ	naca aSva tve nirIXa tvAt anapekza vRtti vAji padam kaTaQcid yOgikam
   sāpekṣāvṛtti viśvadevaśabdāṃ devatāṃ vaiśvadevīpadādāmikṣādravyaṃ	sa apekzA vRtti viSvadeva SabdAm devatAm vESvadevI padAt AmikzA dravyam
   pratyupasarjanībhūtāmavagatāmupalakṣayiṣyati /	pratyupasarjanIBUtAm avagatAm upalakzayizyati /
   prakṛtaṃ hi sarvanāmapadagocaraḥ /	prakRtam hi sarvanAma pada gocaraH /
   pradhānaṃ ca prakṛtamucyate nopasarjanam /	praDAnam ca prakRtam ucyate na upasarjanam /
   prāmāṇike ca vidhikalpanāgaurave abhyupetavye eva pramāṇasya	prAmANike ca viDi kalpanA gOrave aByupetavye eva pramANasya
   tattvaviṣayatvāt /	tattva vizaya tvAt /
   tasmādyatheha pūrvakarmāsaṃbhavino guṇātkarmabheda evamihāpi	tasmAt yaTA iha pUrva karma asaMBavinaH guNAt karma BedaH evam iha api
   pañcāgnividyāyāḥ ṣaḍagnividyā bhinnā, evaṃ prāṇasaṃvādeṣūnādhikabhāvena	paQca agni vidyAyAH zaz agni vidyA BinnA, evam prANa saMvAda izu unADika BAvena
   vidyābheda iti /	vidyA BedaH iti /
   tathā dharmaviśeṣo 'pi karmabhedasya pratipādaka iti /	taTA Darma viSezaH api karma Bedasya pratipAdakaH iti /
   tathāhi kārīrivākyānyadhīyānāstaittirīyā bhūmau bhojanamācaranti	taTA hi kArIri vAkyAni aDIyAnAH tEttirIyAH BUmO Bojanam Acaranti
   nācarantyanye /	na Acaranti anye /
   tathāgnimadhīyānāḥ kecidupādhyāyasyodakumbhamāharanti nāharantyanye /	taTA agnim aDIyAnAH kecid upADyAyasya uda kumBam Aharanti na Aharanti anye /
   tathāśvamedhamadhīyānāḥ kecidaśvasya ghāsamānayanti nānayantyanye /	taTA aSvameDam aDIyAnAH kecid aSvasya GAsam Anayanti na Anayanti anye /
   kecittvācarantyanyameva dharmam /	kecid tva Acaranti anyam eva Darmam /
   naca tānyeva karmāṇi bhūmibhojanādijanitamupakāramākāṅkṣanti nākāṅkṣanti	na ca tAni eva karmANi BUmi Bojana Adi janitam upakAram AkAFkzanti na AkAFkzanti
   ceti yujyate /	ca iti yujyate /
   ato 'vagamyate bhinnāni tāsu śākhāsu karmāṇīti /	atas avagamyate BinnAni tAsu SAKAsu karmANi iti /
   astu prastute kimāyātamityata āha 	astu prastute kim AyAtam iti atas Aha 
   asti cātreti /	asti ca atra iti /
   anyeṣāṃ śākhināṃ nāstīti śeṣaḥ /	anyezAm SAKinAm na asti iti SezaH /
   evaṃ punaruktyādayo 'pīti /	evam punarukti AdayaH api iti /
   'samidho yajati'ityādiṣu pañcakṛtvo 'bhyasto yajatiśabdaḥ /	asamiDaH yajati aitya Adizu paQca kRtvas aByastaH yajati SabdaH /
   tatra kimekā karmabhāvanā kiṃvā pañcaiveti /	tatra kim ekA karma BAvanA kiMvA paQca eva iti /
   kiṃ tāvatprāptaṃ, dhātvarthānubandhabhedena śabdāntarādhikaraṇe	kim tAvat prAptaM, DAtu arTa anubanDa Bedena Sabda antara aDikaraNe
   bhāvanābhedābhidhānāddhātvarthasya ca dhātubhedamantareṇa bhedānupapatteḥ	BAvanA Beda aBiDAnAt DAtu arTasya ca DAtu Bedam antareNa Beda anupapatteH
   'samidho yajati'iti prathamabhāvinā vākyena vihitā karmabhāvanā	asamiDaH yajati aiti praTama BAvinA vAkyena vihitA karma BAvanA
   viparīvartamānoparitanairvākyairanūdyate /	viparIvartamAna uparitanEH vAkyEH anUdyate /
   naca prayojanābhāvādananuvādaḥ pramāṇasiddhasyāprayojanasyānanuyojyatvāt /	na ca prayojana aBAvAt ananuvAdaH pramANa sidDasya aprayojanasya ananuyojya tvAt /
   karmabhāvanābhede cānekāpūrvakalpanāprasaṅgādekāpūrvavāntaravyāpāramekaṃ	karma BAvanA Bede ca aneka apUrva kalpanA prasaFgAt eka apUrvavAntara vyApAram ekam
   karmeti prāptam /	karma iti prAptam /
   evaṃ prāpta ucyate parasparānapekṣāṇi hi samidādivākyānīti /	evam prAptaH ucyate  paraspara anapekzANi hi samiD Adi vAkyAni iti /
   sarvāṇyeva prāthamyārhaṇyapi yugapadadhyayanānupapatteḥ krameṇādhītānīti /	sarvANi eva prATamyA arhaNI api yugapad aDyayana anupapatteH krameNa aDItAni iti /
   na tvayameṣāṃ prayojakaḥ kramaḥ /	na tu ayam ezAm prayojakaH kramaH /
   parasparāpekṣāṇāmekavākyatve hi prayojakaḥ syāt /	paraspara apekzANAm eka vAkya tve hi prayojakaH syAt /
   tena prāthamyābhāvāt prāptamityeva nāstīti kasya ko 'nuvādaḥ /	tena prATamyA BAvAt prAptam iti eva na asti iti kasya kaH anuvAdaH /
   kathañcidviparivṛttimātrasyautsargikāpravṛttapravartanālakṣaṇavidhitvāpavādasāmarthyābhāvāt	kaTaQci d viparivRtti mAtrasya OtsargikA pravRtta pravartanA lakzaNa viDi tva apavAda sAmarTya aBAvAt
   guṇaśravaṇe hi guṇaviśiṣṭakarmavidhāne vidhigauravabhiyā	guNa SravaNe hi guNa viSizwa karma viDAne viDi gOrava BiyA
   guṇamātravidhānalāghavāya karmānuvādāpekṣāyāṃ viparivṛtterupakāraḥ /	guNa mAtra viDAna lAGavAya karma anuvAda apekzAyAm viparivRtteH upakAraH /
   yathā 'dadhnā juhoti'iti dadhividhipare vākye viparivṛttyapekṣāyām	yaTA adaDnA juhoti aiti daDi viDi pare vAkye viparivRtti apekzAyAm
   'agnihotraṃ juheti'iti vihitasya homasya	aagnihotram juheti aiti vihitasya homasya
   viparīvartamānasyānuvādaḥ /	viparIvartamAnasya anuvAdaH /
   na cātra guṇādbhedaḥ, samidādipadānāṃ karmanāmadheyānāṃ	na ca atra guNAt BedaH, samiD Adi padAnAm karma nAmaDeyAnAm
   guṇavacanatvābhāvāt /	guNa vacana tva aBAvAt /
   agṛhyamāṇaviśeṣatayā ca kiṃvacanavihitakiṅkarmānuvādena kasya	agRhyamANa viSeza tayA ca kiMvacana vihita kiFkarma anuvAdena kasya
   guṇavidhitvamiti na vinigamyate /	guNa viDi tvam iti na vinigamyate /
   na cāpūrvā nāma jyotirādivadvidhānasaṃbandhaṃ prathamamavagataṃ, yataḥ	na ca apUrvA nAma jyotiH Adi vat viDAna saMbanDam praTamam avagataM, yatas 
   pūrvabuddhivicchedena vidhīyamānaṃ karma pūrvasmātsaṃjñāto vyavacchindyāt	pUrva budDi vicCedena viDIyamAnam karma pUrvasmAt saMjQAtaH vyavacCindyAt 
   kintu prathamata eva karmasāmānādhikaraṇyenāvagatāḥ	kintu praTamatas eva karma sAmAnADi karaNyena avagatAH
   samidādayastadvaśātkarmanāmadheyatāṃ pratipadyamānā ākhyātasyānuvādatve	samiD AdayaH tad vaSAt karma nAmaDeya tAm pratipadyamAnAH AKyAtasya anuvAda tve
   'nuvādā vidhitve vidhayo na tu svātantryeṇa kasyacidīśate /	anuvAdAH viDi tve viDayaH na tu svAtantryeNa kasyacid ISate /
   tasmāt svarasasiddhāprāptakarmavidhiparatvātkarmaṇyayamabhyāso	tasmAt svarasa sidDa aprApta karma viDi para tvAt karmaNi ayam aByAsaH 
   bhāvanānubandhabhūtāni bhindāno bhāvanāṃ bhinatti yathā tathā	BAvanA anubanDa BUtAni BindAnaH BAvanAm Binatti yaTA taTA
   śākhāntaravihitā api vidyāḥ śākhāntaravihitābhyo vidyābhyo 'bhyāso	SAKA antara vihitAH api vidyAH SAKA antara vihitAByaH vidyAByaH aByAsaH 
   bhetsyatīti /	Betsyati iti /
   aśakteśca /	aSakteH ca /
   nahyekaḥ puruṣaḥ sarvavedāntapratyayātmikāmupāsanāmupasaṃhartuṃ śaknoti	na hi ekaH puruzaH sarva vedAnta pratyaya AtmikAm upAsanAm upasaMhartum Saknoti
   sarvavedāntādhyayanāsāmarthyādanadhītārthopasaṃhāre	sarva vedAnta aDyayanA sAmarTyAt anaDIta arTa upasaMhAre
   'dhyayanavidhānavaiyathryaprasaṅgāt /	aDyayana viDAna vEyaTrya prasaFgAt /
   pratiśākhaṃ bhede tūpāsanānāṃ nāyaṃ doṣaḥ /	pratiSAKam Bede tu upAsanAnAm na ayam dozaH /
   samāptibhedācca /	samApti BedAt ca /
   keṣāñcit śākhināmoṅkārasārvātmyakathane samāptiḥ /	kezAQcid SAKinA amoFkAra sArvAtmya kaTane samAptiH /
   keṣāñcidanyatra /	kezAQcid anyatra /
   tasmādapyupāsanābhedaḥ /	tasmAt api upAsana aBedaH /
   anyārthadarśanādapi bhedaḥ /	anya arTa darSanAt api BedaH /
   tathāhi 'naitadacīrṇavrato 'dhīte'iti	taTA hi  anEtat acIrNa vrataH aDIte aiti
   acīrṇavratasyādhyayanābhāvadarśanādupāsanābhāvaḥ /	acIrNa vratasya aDyayana aBAva darSanAt upAsana aBAvaH /
   kvacidacīrṇavratasyādhyayanadarśanādupāsanāvagamyate /	kvacid acIrNa vratasya aDyayana darSanAt upAsana avagamyate /
   tasmādupāsanābheda iti /	tasmAt upAsana aBedaH iti /
   atra siddhāntamāha 	atra sidDAntam Aha 
   sarvavedāntapratyayaṃ codanādyaviśeṣāt /	sarva vedAnta pratyayam codana Adi aviSezAt /
   tadvyācaṣṭe 	tat vyAcazwe 
   sarvavedāntapratyayāni sarvavedāntapramāṇānivijñānāni tasmiṃstasmin	sarva vedAnta pratyayAni sarva vedAnta pramANA nivijQAnAni tasmin= tasmin
   vedānte tāni tānyeva bhavitumarhanti /	vedAnte tAni tAni eva Bavitum arhanti /
   yānyekasmin vedānte tānyeva vedāntāntareṣvapītyarthaḥ /	yAni ekasmin vedAnte tAni eva vedAnta antarezu api iti arTaH /
   codanādyaviśeṣāt /	codanA Adi aviSezAt /
   ādiśabdena saṃyogarūpākhyāḥ saṃgṛhyante /	Adi Sabdena saMyoga rUpa AKyAH saMgRhyante /
   atra ca codyata iti codanā puruṣaprayatnaḥ /	atra ca codyate iti codanA puruza prayatnaH /
   sa hi puruṣasya vyāpāraḥ /	sa hi puruzasya vyApAraH /
   tatra khalvayaṃ homādidhātvarthāvacchinne pravartate /	tatra Kalu ayam homa Adi DAtu arTa avacCinne pravartate /
   tasya devatoddeśena tyāgasyāsecanādikasyāvacchedyaḥ puruṣaprayatnaḥ sa eva	tasya devatA uddeSena tyAgasya Asecana Adikasya avacCedyaH puruza prayatnaH saH eva
   śākhāntare yathaivamihāpi prāṇajyeṣṭhatvaśreṣṭhatvavedanaviṣayaḥ	SAKA antare yaTA evam iha api prANa jyezWa tva SrezWa tva vedana vizayaH
   puruṣaprayatnaḥ sa eva śākhāntareṣvapīti /	puruza prayatnaH saH eva SAKA antarezu api iti /
   evaṃ phalasaṃyogo 'pi jyeṣṭhaśreṣṭhabhavanalakṣaṇaḥ sa eva /	evam Pala saMyogaH api jyezWa SrezWa Bavana lakzaNaH saH eva /
   rūpamapi tadeva /	rUpam api tat eva /
   yathā yāgasya yadekasyāṃ śākhāyāṃ dravyadevatārūpaṃ tadeva	yaTA yAgasya yat ekasyAm SAKAyAm dravya devatA rUpam tat eva
   śākhāntareṣvapīti /	SAKA antarezu api iti /
   evaṃ vedanasyāpi yadekatra prāṇajyeṣṭhatvaśreṣṭhatvarūpaṃ	evam vedanasya api yat ekatra prANa jyezWa tva SrezWa tva rUpam
   viṣayastacchākhāntareṣvapīti //1//	vizayaH tad SAKA antarezu api iti //1//
   START BsVBh_3,3.1.2	START BsVBh_3,3.1.2
   kañcidviśeṣamiti /	kaQcid viSezam iti /
   yuktaṃ yadagnīṣomīyasyotpannasya paścādekādaśakapālatvādisaṃbandhe	yuktam yat agnIzomIyasya utpannasya paScAt ekAdaSa kapAla tva Adi saMbanDe
   'pyabheda iti /	api aBedaH iti /
   yathotpannasya tasya sarvatra pratyabhijñāyamānatvādiha	yaTA utpannasya tasya sarvatra pratyaBijQAyamAna tvAt iha
   tvagniṣūtvapattigata eva guṇabheda iti kathaṃ vaiśvadevīvanna bhedaka iti	tu agnizu utva patti gataH eva guNa BedaH iti kaTam vESvadevI vat na BedakaH iti
   viśeṣaḥ /	viSezaH /
   tamimaṃ viśeṣamabhipretyāśaṅkate sūtrakāraḥ 	tam imam viSezam aBipretya aSaFkate sUtrakAraH 
   bhedānneti cediti | BBs_3,3.2a |	BedAt na iti ced iti | BBH _3,3.2aH |
   parihāraḥ sūtrāvayavaḥ 	parihAraH sUtra avayavaH 
   na ekasyāmapīti | BBs_3,3.2b |	na ekasyAm api iti | BBH _3,3.2B |
   pañcaiva sāṃpādikā agnayo vājasaneyināmapi chāndogyānāmiva vidhīyante /	paQca eva sAMpAdikAH agnayaH vAjasaneyinAm api CAndogyAnAm iva viDIyante /
   ṣaṣṭhastvagniḥ saṃpadvyatirekāyānūdyate na tu vidhīyate /	zazWaH tu agniH saMpad vyatiH ekAyAnu udyate na tu viDIyate /
   vaiśvadevyāṃ tūtpattau guṇo vidhīyata iti bhavatu bhedaḥ /	vESvadevyAm tu utpattO guNaH viDIyate iti Bavatu BedaH /
   athavā chāndogyānāmapi ṣaṣṭho 'gniḥ paṭhyata eva /	aTavA CAndogyAnAm api zazWaH agniH paWyatas eva /
   athavā bhavatu	aTavA Bavatu
   vājasaneyināṃ ṣaṣṭhāgnividhānaṃ mā ca bhūcchāndogyānāṃ tathāpi	vAjasaneyinAm zazWa agni viDAnam mA ca BUcCAndogyAnAm taTA api
   pañcatvasaṃkhyāyā avidhānānnotpattiśiṣṭatvaṃ saṃkhyāyāḥ	paQcatva saMKyAyAH aviDAnAt na utpatti Sizwa tvam saMKyAyAH
   kintūtpanneṣvagniṣu pracayaśiṣṭā saṃkhyānūdyate sāṃpādikānagnīnavacchetuṃ,	kintu utpannezu agnizu pracaya SizwA saMKyA anUdyate sAMpAdika anagnIna vat SetuM,
   tena yeṣāmutpattisteṣāṃ pratyabhijñānāt /	tena yezAm utpattiH tezAm pratyaBijQAnAt /
   apratyabhijñāyamānāyāśca saṃkhyāyā anuvādyatvenānutpattervidhīyamānasya	apratyaBijQAyamAnAyAH ca saMKyAyAH anuvAdya tvena anutpatteH viDIyamAnasya
   cādhikasya ṣoḍaśigrahaṇavadvikalpasaṃbhavānna śākhāntare jñānabhedaḥ /	ca aDikasya zoxaSigrahaNa vat vikalpa saMBavAn na SAKA antare jQAna BedaH /
   utpattiśiṣṭatve 'siddhe prāṇasaṃvādādayo 'pi bhavanti	utpatti Sizwa tve asidDe prANa saMvAda AdayaH api Bavanti
   pratyabhijñānādabhinnāstāsu tāsu śākhāsviti //2//	pratyaBijQAnAt aBinnAH tAsu tAsu SAKAsu iti //2//
   START BsVBh_3,3.1.3	START BsVBh_3,3.1.3
   svādhyāyasya tathātvena hi samācāre 'dhikārāc ca savavac ca tanniyamaḥ |	svADyAyasya taTAtvena hi samAcAre aDikArAt ca savavat ca tat niyamaH |
   BBs_3,3.3 |	BBH _3,3.3 |
   yairātharvaṇikagranthopāyā vidyā veditavyāṃ teṣāmeva	yEH ATarvaNika granTa upAyAH vidyA veditavyAm tezAm eva
   śirovratapūrvādhyayanaprāptagranthabodhitā phalaṃ prayacchati nānyathā /	SiraH vrata pUrva aDyayana prApta granTa boDitA Palam prayacCati na anyaTA /
   anyeṣāṃ tu chāndogyādīnāṃ saiva vidyā cīrṇaśirovratānāṃ	anyezAm tu CAndogya AdInAm sA eva vidyA cIrNa SiraH vratAnAm
   phaladetyātharvaṇagranthādhyayanasaṃbandhādavagamyate /	Pala dA iti ATarvaNa granTa aDyayana saMbanDAt avagamyate /
   tatsaṃbandhaśca vedavrateneti 'naitadacīrṇavrato 'dhīte'iti	tad saMbanDaH ca veda vratena iti anEtat acIrNa vrataH aDIte aiti
   samāmnānādavagamyate /	samAmnAnAt avagamyate /
   'teṣāmevaitāṃ brahmavidyāṃ vadeta'iti vidyāsaṃyoge 'pyetāmiti	atezAm eva etAm brahma vidyAm vadeta aiti vidyA saMyoge api etAm iti
   prakṛtaparāmarśinā sarvanāmnādhyayanasaṃbandhāvirodhādātharvavihitaiva	prakRta parAmarSinA sarva nAmnA aDyayana saMbanDa aviroDAt a aTarva vihitA eva
   vidyocyata iti /	vidyA ucyate iti /
   savā homāḥ sapta sauryādayaḥ śataudanāntā atharvaṇikānāṃ ta	savA homAH sapta sOrya AdayaH Sata odana antAH aTarvaNikAnAm ta
   ekasminnevārtharvaṇike 'gnau kriyante na tretāyām //3//	ekasmin= eva arTarvaNike agnO kriyante na tretAyAm //3//
   START BsVBh_3,3.1.4	START BsVBh_3,3.1.4
   vidyaikatvaṃ	vidyA eka tvam
   darśayati ca | BBs_3,3.4 |	darSayati ca | BBH _3,3.4 |
   bhūyobhūyo vidyaikatvasya vedadarśanādyatrāpi saguṇabrahmavidyānāṃ na	BUyas BUyas vidyA eka tvasya veda darSanAt yatra api sa guNa brahma vidyAnAm na
   sākṣādveda	sAkzAt veda
   ekatvamāha tāsāmapi tatprāyapaṭhitānāṃ tadvidhānāṃ prāyadarśanādekatvameva	eka tvam Aha tAsAm api tad prAya paWitAnAm tadviDAnAm prAya darSanAt eka tvam eva
   tathāhyagryaprāye likhitaṃ dṛṣṭvā bhavedayamagrya iti buddhiriti /	taTA hi agrya prAye liKitam dRzwvA Bavet ayam agryaH iti budDiH iti /
   yacca kāṭhakādisamākhyayopāsanābheda iti tadayuktam /	yat ca kAWaka Adi samAKyayA upAsanA BedaH iti tat ayuktam /
   etā hi pauruṣeyyaḥ samākhyāḥ kāṭhakādipravacanayogāttāsāṃ śākhānāṃ na	etAH hi pOruzeyyaH samAKyAH kAWaka Adi pravacana yogAt tAsAm SAKAnAm na
   tūpāsanānām /	tu upAsanAnAm /
   nahyetāḥ kaṭhādibhiḥ proktā naca kaṭhādyanuṣṭhānamāsāmitarānuṣṭhānebhyo	na hi etAH kaWa AdiBiH proktA na ca kaWa Adi anuzWAnam AsAm itara anuzWAneByaH 
   viśeṣyate /	viSezyate /
   naca kaṭhaproktānimittamātreṇa granthe pravṛttau tadyogācca	na ca kaWa proktA nimitta mAtreNa granTe pravRttO tad yogAt ca
   kathañcillakṣaṇayopāsanāsu pravṛttau saṃbhavantyāmupāsanābhidhānāmapyāsāṃ	kaTaQcid lakzaNayA upAsanAsu pravRttO saMBavantyAm upAsana aBiDAnAm api AsAm
   śakyaṃ kalpayitum /	Sakyam kalpayitum /
   naca tadbhedābhedau jñānabhedābhedaprayojakau, mā	na ca tad Beda aBedO jQAna Beda aBeda prayojakO, mA
   bhūdyathāsvamāsāmabhedājjñānānāmekaśākhāgatānāmaikyam /	BUt yaTA svam AsAma BedAt jQAnAnAm eka SAKA gatAnAm Ekyam /
   kaṭhādipuruṣapravacananimittāścaitāḥ samākhyāḥ kaṭhādibhyaḥ prāk nāsanniti	kaWa Adi puruza pravacana nimittAH ca etAH samAKyAH kaWa AdiByaH prAk na Asan= iti
   tannibandhano jñānabhedo nāsīdidānīṃ cāstīti durghaṭamāpadyeta /	tat nibanDanaH jQAna BedaH na AsIt idAnIm ca asti iti durGawam Apadyeta /
   tasmānna samākhyāto bhedaḥ /	tasmAt na samAKyAtaH BedaH /
   abhyāso 'pi nātra bhedakaḥ /	aByAsaH api na atra BedakaH /
   yuktaṃ yadekaśākhāgato yajatyabhyāsaḥ samidādīnāṃ bhedaka iti /	yuktam yat eka SAKA gataH yajati aByAsaH samiD AdInAm BedakaH iti /
   tatra hi vidhitvamautsargikamajñātajñāpanamapravṛttapravartanaṃ ca	tatra hi viDi tvam Otsargikam ajQAta jQApanam apravRtta pravartanam ca
   kupyeyātām 'śākhāntare tvadhyetṛpuruṣabhedādekatve 'pi	kupyeyAtAm aSAKA antare tu aDyetR puruza BedAt eka tve api
   nautsargikavidhitvavyākopa iti /	na Otsargika viDi tva vyAkopaH iti /
   aśaktirapi na bhedahetuḥ svādhyāyo 'dhyetavya iti	aSaktiH api na Beda hetuH svADyAyaH aDyetavyaH iti
   svaśākhāyāmadhyayananiyamaḥ /	sva SAKAyAm aDyayana niyamaH /
   tataśca śākhāntaraparīyānarthānanyebhyastadvidyebhyo	tatas ca SAKA antara parIyAn arTAn anyeByaH tad vidyeByaH 
   'dhigamyopasaṃhariṣyati /	aDigamya upasaMharizyati /
   samāptiścaikasminnapi tatsaṃbandhini samāpte tasya vyapadiśyate /	samAptiH ca ekasmin= api tad saMbanDini samApte tasya vyapadiSyate /
   yathādhvaryave karmaṇi jyotiṣṭomasya samāpti vyapadiśanti 'jyotiṣṭomaḥ	yaTA aDvaryave karmaNi jyotizwomasya samApti vyapadiSanti  ajyotizwomaH
   samāptaḥ'iti tasmātsamāptibhedo 'pi na sādhanamupāsanābhedasya /	samAptaH aiti tasmAt samApti BedaH api na sADanam upAsana aBedasya /
   tadevamasati bādhake codanādyaviśeṣātsarvavedāntapratyayāni karmāṇi tāni	tat evam asati bADake codana Adi aviSezAt sarva vedAnta pratyayAni karmANi tAni
   tānyeveti siddham //4//	tAni eva iti sidDam //4//
   START BsVBh_3,3.2.5	START BsVBh_3,3.2.5
   kañcidviśeṣamāśaṅkya pūrvatantraprasādhitam /	kaQcid viSezam ASaFkya pUrva tantra prasADitam /
   vakṣyamāṇārthasiddhyarthamarthamāha sma sūtrakṛt //	vakzyamANa arTa sidDi arTam arTam Aha sma sUtra kRt //
   cintāprayojanapradarśanārthaṃ sūtram 	cintA prayojana pradarSana arTam sUtram 
   upasaṃhāro 'rthābhedād vidhiśeṣavatsamāne ca | BBs_3,3.5 |	upasaMhAraH arTa aBedAt viDi Seza vat samAne ca | BBH _3,3.5 |
   atraidamāśaṅkate bhavatu	atra Edam ASaFkate  Bavatu
   sarvaśākhāpratyayamekaṃ vijñānaṃ tathāpi śākhāntaroktānāṃ tadaṅgāntarāṇāṃ	sarva SAKA pratyayam ekam vijQAnam taTA api SAKA antara uktAnAm tad aFga antarANAm
