   1. brahmakāṇḍam	1. brahma-kANxam
   anvayavyatirekābhyāṃ % ke cit kalpitaśaktayaḥ // 2.209 //	anvaya-vyatirekAByAm % ke cit kalpita-SaktayaH // 2.209 //
   śāstrārtha eva varṇānām $ arthavattve pradarśitaḥ &	SAstra-arTaH eva varNAnAm $ arTavat-tve pradarSitaH &
   ātvādīnāṃ hi śuddhānāṃ % laukiko 'rtho na vidyate // 2.210 //	AtvAdInAm hi SudDAnAm % lOkikaH arTaH na vidyate // 2.210 //
   kṛttaddhitānām arthaś ca $ kevalānām alaukikaḥ &	kRt-tadDitAnAm arTaH ca $ kevalAnAm alOkikaH &
   prāg vibhaktes tadantasya % tathaivārtho na vidyate // 2.211 //	prAk viBakteH tad-antasya % taTA-eva-arTaH na vidyate // 2.211 //
   abhivyaktataro yo 'rthaḥ $ pratyayānteṣu lakṣyate &	aBivyaktataraH yaH arTaH $ pratyaya-antezu lakzyate &
   arthavattāprakaraṇād % āśritaḥ sa tathāvidhaḥ // 2.212 //	arTavattA-prakaraNAt % ASritaH sa taTAviDaH // 2.212 //
   ātmabhedo na cet kaś cid $ varṇebhyaḥ padavākyayoḥ &	Atma-BedaH na ced kaH cit $ varNeByaH pada-vAkyayoH &
   anyonyāpekṣayā śaktyā % varṇaḥ syād abhidhāyakaḥ // 2.213 //	anyonya-apekzayA SaktyA % varNaH syAt aBiDAyakaH // 2.213 //
   varṇena kena cin nyūnaḥ $ saṃghāto yo 'bhidhāyakaḥ &	varNena kena cit nyUnaH $ saMGAtaH yaH aBiDAyakaH &
   na cec chabdāntaram asāv % anyūnas tena gamyate // 2.214 //	na ced Sabda-antaram asO % anyUnaH tena gamyate // 2.214 //
   sa tasmin vācake śabde $ nimittāt smṛtim ādadhat &	sa tasmin vAcake Sabde $ nimittAt smRtim AdaDat &
   sākṣād iva vyavahitaṃ % śabdenārtham upohate // 2.215 //	sAkzAt iva vyavahitam % Sabdena-arTam upohate // 2.215 //
   padavācyo yathā nārthaḥ $ kaś cid gaurakharādiṣu &	pada-vAcyaH yaTA na-arTaH $ kaH cit gOraKara-Adizu &
   saty api pratyaye 'tyantaṃ % samudāye na gamyate // 2.216 //	sati api pratyaye atyantam % samudAye na gamyate // 2.216 //
   samanvita ivārthātmā $ padārthair yaḥ pratīyate &	samanvitaH iva-arTa-AtmA $ padArTEH yaH pratIyate &
   padārthadarśanaṃ tatra % tathaivānupakārakam // 2.217 //	padArTa-darSanam tatra % taTA-eva-anupakArakam // 2.217 //
   samudāyāvayavayor $ bhinnārthatve ca vṛttiṣu &	samudAya-avayavayoH $ Binna-arTa-tve ca vRttizu &
   yugapad bhedasaṃsargau % viruddhāv anuṣaṅgiṇau // 2.218 //	yugapad Beda-saMsargO % virudDO anuzaFgiNO // 2.218 //
   kaś ca sādhanamātrārthān $ adhyādīn parikalpayet &	kaH ca sADana-mAtra-arTAn $ aDi-AdIn parikalpayet &
   aprayuktapadaś cārtho % bahuvrīhau kathaṃ bhavet // 2.219 //	aprayukta-padaH ca-arTaH % bahuvrIhO kaTam Bavet // 2.219 //
   prajñusaṃjñvādyavayavair $ na cāsty arthāvadhāraṇam &	prajQu-saMjQva-Adi-avayavEH $ na ca-asti arTa-avaDAraNam &
   tasmāt saṃghāta evaiko % viśiṣṭārthanibandhanam // 2.220 //	tasmAt saMGAtaH eva-ekaH % viSizwa-arTa-nibanDanam // 2.220 //
   gargā ity eka evāyaṃ $ bahuṣv artheṣu vartate &	gargAH iti ekaH eva-ayam $ bahuzu arTezu vartate &
   dvandvasaṃjño 'pi saṃghāto % bahūnām abhidhāyakaḥ // 2.221 //	dvandva-saMjQaH api saMGAtaH % bahUnAm aBiDAyakaH // 2.221 //
   yathaikaśeṣe bhujyādiḥ $ pratyekam avatiṣṭhate &	yaTA-eka-Seze Bujya-AdiH $ pratyekam avatizWate &
   kriyaivaṃ dvandvavācye 'rthe % pratyekaṃ pravibhajyate // 2.222 //	kriyA-evam dvandva-vAcye arTe % pratyekam praviBajyate // 2.222 //
   yac ca dvandvapadārthasya $ tacchabdena vyapekṣaṇam &	yat ca dvandva-padArTasya $ tad-Sabdena vyapekzaNam &
   sāpi vyāvṛttarūpe 'rthe % sarvanāmasarūpatā // 2.223 //	sA-api vyAvRtta-rUpe arTe % sarvanAma-sarUpa-tA // 2.223 //
   yathā ca khadiracchede $ bhāgeṣu kramavāṃś chidiḥ &	yaTA ca Kadira=-Cede $ BAgezu kramavAn CidiH &
   tathā dvandvapadārthasya % bhāgeṣu kramadarśanam // 2.224 //	taTA dvandva-padArTasya % BAgezu krama-darSanam // 2.224 //
   saṅghaikadeśe prakrāntān $ yathā saṅghānupātinaḥ &	saFGa-eka-deSe prakrAntAn $ yaTA saFGa-anupAtinaH &
   kriyāviśeṣān manyante % sa dvandvāvayave kramaḥ // 2.225 //	kriyA-viSezAn manyante % sa dvandva-avayave kramaH // 2.225 //
   pratipādayatā vṛttim $ abudhān vākyapūrvikām &	pratipAdayatA vRttim $ abuDAn vAkya-pUrvikAm &
   vṛttau padārthabhedena % prādhānyam upadarśitam // 2.226 //	vRttO padArTa-Bedena % prADAnyam upadarSitam // 2.226 //
   abhedād abhidheyasya $ nañsamāse vikalpitam &	aBedAt aBiDeyasya $ naQsamAse vikalpitam &
   prādhānyaṃ bahudhā bhāṣye % doṣās tu prakriyāgatāḥ // 2.227 //	prADAnyam bahuDA BAzye % dozAH tu prakriyA-gatAH // 2.227 //
   jahatsvārthavikalpe ca $ sarvārthatyāgam icchatā &	jahatsva-arTa-vikalpe ca $ sarva-arTa-tyAgam icCatA &
   bahuvrīhipadārthasya % tyāgaḥ sarvasya darśitaḥ // 2.228 //	bahu-vrIhi-padArTasya % tyAgaH sarvasya darSitaH // 2.228 //
   śāstre kva cit prakṛtyarthaḥ $ pratyayenābhidhīyate &	SAstre kva cit prakRti-arTaH $ pratyayena-aBiDIyate &
   prakṛtau vinivṛttāyāṃ % pratyayārthaś ca dhātubhiḥ // 2.229 //	prakRtO vinivRttAyAm % pratyaya-arTaH ca DAtuBiH // 2.229 //
   yam artham āhatur bhinnau $ pratyayāv eka eva ta &	yam arTam AhatuH BinnO $ pratyayO ekaH eva te &
   kva cid āha pacantīti % dhātus tābhyāṃ vinā kva cit // 2.230 //	kva cit Aha pacanti-iti % DAtuH tAByAm vinA kva cit // 2.230 //
   anvākhyānasmṛter ye ca $ pratyayārthā nibandhana &	anvAKyAna-smRteH ye ca $ pratyaya-arTAH nibanDana &
   nirdiṣṭās te prakṛtyarthāḥ % smṛtyantara udāhṛtāḥ // 2.231 //	nirdizwAH te prakRti-arTAH % smRti-antaraH udAhRtAH // 2.231 //
   prasiddher udvamikarīty $ evaṃ śāstre 'bhidhīyate &	prasidDeH udvami-karI-iti $ evam SAstre aBiDIyate &
   vyavahārāya manyante % śāstrārthaprakriyā yataḥ // 2.232 //	vyavahArAya manyante % SAstra-arTa-prakriyA yatas // 2.232 //
   śāstreṣu prakriyābhedair $ avidyaivopavarṇyate &	SAstrezu prakriyA-BedEH $ avidyA-eva-upavarNyate &
   anāgamavikalpā tu % svayaṃ vidyopavartate // 2.233 //	anAgama-vikalpA tu % svayam vidyA-upavartate // 2.233 //
   anibaddhaṃ nimitteṣu $ nirupākhyaṃ phalaṃ yathā &	anibadDam nimittezu $ nirupAKyam Palam yaTA &
   tathā vidyāpy anākhyeyā % śāstropāyeva lakṣyate // 2.234 //	taTA vidyA-api anAKyeyAH % SAstra-upAyA-iva lakzyate // 2.234 //
   yathābhyāsaṃ hi vāg arthe $ pratipattiṃ samīhate &	yaTA-aByAsam hi vAc arTe $ pratipattim samIhate &
   svabhāva iva cānādir % mithyābhyāso vyavasthitaḥ // 2.235 //	svaBAvaH iva ca-anAdiH % miTyA-aByAsaH vyavasTitaH // 2.235 //
   utprekṣate sāvayavaṃ $ paramāṇum apaṇḍitaḥ &	utprekzate sa-avayavam $ paramANum apaNxitaH &
   tathāvayavinaṃ yuktam % anyair avayavaiḥ punaḥ // 2.236 //	taTA-avayavinam yuktam % anyEH avayavEH punar // 2.236 //
   ghaṭādidarśanāllokaḥ $ paricchinno 'vasīyate &	Gawa-Adi-darSanAt-lokaH $ paricCinnaH avasIyate &
   samārambhāc ca bhāvānām % ādimad brahma śāśvatam // 2.237 //	samAramBAt ca BAvAnAm % Adimat brahma SASvatam // 2.237 //
   upāyāḥ śikṣamāṇānāṃ $ bālānām upalāpanāḥ &	upAyAH SikzamANAnAm $ bAlAnAm upalApanAH &
   asatye vartmani sthitvā % tataḥ satyaṃ samīhate // 2.238 //	asatye vartmani sTitvA % tatas satyam samIhate // 2.238 //
   anyathā pratipadyārthaṃ $ padagrahaṇapūrvakam &	anyaTA pratipadya-arTam $ pada-grahaNa-pUrvakam &
   punar vākye tam evārtham % anyathā pratipadyate // 2.239 //	punar vAkye tam eva-arTam % anyaTA pratipadyate // 2.239 //
   upāttā bahavo 'py arthā $ yeṣv ante pratiṣedhanam &	upAttAH bahavaH api arTAH $ yezu ante pratizeDanam &
   kriyate te nivartante % tasmāt tāṃs tatra nāśrayet // 2.240 //	kriyate te nivartante % tasmAt tAn tatra na-ASrayet // 2.240 //
   vṛkṣo nāstīti vākyaṃ ca $ viśiṣṭābhāvalakṣaṇam &	vRkzaH na-asti-iti vAkyam ca $ viSizwa-aBAva-lakzaNam &
   nārthe na buddhau saṃbandho % nivṛtter avatiṣṭhate // 2.241 //	na-arTe na budDO saMbanDaH % nivRtteH avatizWate // 2.241 //
   vicchedapratipattau ca $ yady astīty avadhāryate &	vicCeda-pratipattO ca $ yadi asti-iti avaDAryate &
   aśabdavācyā sā buddhir % nivartyeta sthitā katham // 2.242 //	aSabda-vAcyA sA budDiH % nivartyeta sTitA kaTam // 2.242 //
   atha yaj jñānam utpannaṃ $ tan mithyeti nañā kṛtam &	aTa yat jQAnam utpannam $ tat miTyA-iti naQA kRtam &
   naño vyāpārabhede 'sminn % abhāvāvagatiḥ katham // 2.243 //	naQaH vyApAra-Bede asmin % aBAva-avagatiH kaTam // 2.243 //
   nirādhārapravṛttau ca $ prākpravṛttir naño bhavet &	nirADAra-pravRttO ca $ prAc-pravRttiH naQaH Bavet &
   athādhāraḥ sa evāsya % niyamārthā śrutir bhavet // 2.244 //	aTa-ADAraH saH eva-asya % niyama-arTA SrutiH Bavet // 2.244 //
   niyamadyotanārthā vāpy $ anuvādo yathā bhavet &	niyamadyotana-arTAH vA-api $ anuvAdaH yaTA Bavet &
   kaś cid evārthavāṃs tatra % śabdaḥ śeṣās tv anarthakāḥ // 2.245 //	kaH cit eva-arTavAn tatra % SabdaH SezAH tu anarTakAH // 2.245 //
   viruddhaṃ cābhisaṃbandham $ udāhāryādibhiḥ kṛtam &	virudDam ca-aBisaMbanDam $ udAhArya-AdiBiH kRtam &
   vākye samāpte vākyārtham % anyathā pratipadyate // 2.246 //	vAkye samApte vAkya-arTam % anyaTA pratipadyate // 2.246 //
   stutinindāpradhāneṭu $ vākyeṣv artho na tādṛśaḥ &	stuti-nindA-praDAnewu $ vAkyezu arTaH na tAdRSaH &
   padānāṃ pravibhāgena % yādṛśaḥ parikalpyate // 2.247 //	padAnAm praviBAgena % yAdRSaH parikalpyate // 2.247 //
   athāsaṃsṛṣṭa evārthaḥ $ padeṣu samavasthitaḥ &	aTa-asaMsRzwaH eva-arTaH $ padezu samavasTitaH &
   vākyārthasyābhyupāyo 'sāv % ekasya pratipādane // 2.248 //	vAkya-arTasya-aByupAyaH asO % ekasya pratipAdane // 2.248 //
   pūrvaṃ padeṣv asaṃsṛṣṭo $ yaḥ kramād upacīyate &	pUrvam padezu asaMsRzwaH $ yaH kramAt upacIyate &
   chinnagrathitakalpatvāt % tad viśiṣṭataraṃ viduḥ // 2.249 //	Cinna-graTita-kalpa-tvAt % tat viSizwataram viduH // 2.249 //
   ekam āhur anekārthaṃ $ śabdam anye parīkṣakāḥ &	ekam AhuH aneka-arTam $ Sabdam anye parIkzakAH &
   nimittabhedād ekasya % sārvārthyaṃ tasya bhidyate // 2.250 //	nimitta-BedAt ekasya % sArvArTyam tasya Bidyate // 2.250 //
   yaugapadyam atikramya $ paryāye vyavatiṣṭhate &	yOgapadyam atikramya $ paryAye vyavatizWate &
   arthaprakaraṇābhyāṃ vā % yogāc chabdāntareṇa vā // 2.251 //	arTa-prakaraNAByAm vA % yogAt Sabda-antareNa vA // 2.251 //
   yathā sāsnādimān piṇḍo $ gośabdenābhidhīyate &	yaTA sAsna-AdimAn piNxaH $ go-Sabdena-aBiDIyate &
   tathā sa eva gośabdo % vāhīke 'pi vyavasthitaḥ // 2.252 //	taTA saH eva go-SabdaH % vAhIke api vyavasTitaH // 2.252 //
   sarvaśaktes tu tasyaiva $ śabdasyānekadharmaṇaḥ &	sarva-SakteH tu tasya-eva $ Sabdasya-aneka-DarmaNaH &
   prasiddhibhedād gauṇatvaṃ % mukhyatvaṃ copajāyate // 2.253 //	prasidDi-BedAt gONa-tvam % muKya-tvam ca-upajAyate // 2.253 //
   eko mantras tathādhyātmam $ adhidaivam adhikratu &	ekaH mantraH taTA-aDyAtmam $ aDidEvam aDikratu &
   asaṃkareṇa sarvārtho % bhinnaśaktir avasthitaḥ // 2.254 //	asaMkareNa sarva-arTaH % Binna-SaktiH avasTitaH // 2.254 //
   gotvānuṣaṅgo vāhīke $ nimittāt kaiś cid iṣyate &	go-tva-anuzaFgaH vAhIke $ nimittAt kEH cit izyate &
   arthamātraṃ viparyastaṃ % śabdaḥ svārthe vyavasthitaḥ // 2.255 //	arTa-mAtram viparyastam % SabdaH sva-arTe vyavasTitaH // 2.255 //
   tathā svarūpaṃ śabdānāṃ $ sarvārtheṣv anuṣajyate &	taTA svarUpam SabdAnAm $ sarva-arTezu anuzajyate &
   arthamātraṃ viparyastaṃ % svarūpe tu śrutiḥ sthitā // 2.256 //	arTa-mAtram viparyastam % svarUpe tu SrutiH sTitAH // 2.256 //
   ekatvaṃ tu sarūpatvāc $ chabdayor gauṇamukhyayoḥ &	eka-tvam tu sarUpa-tvAt $ CabdayoH gONa-muKyayoH &
   prāhur atyantabhede 'pi % bhedamārgānudarśinaḥ // 2.257 //	prAhuH atyanta-Bede api % Beda-mArga-anudarSinaH // 2.257 //
   sāmidhenyantaraṃ caivam $ āvṛttāv anuṣajyate &	sAmiDenI-antaram ca-evam $ AvRttO anuzajyate &
   mantrāś ca viniyogena % labhante bhedam ūhavat // 2.258 //	mantrAH ca viniyogena % laBante Bedam Uha-vat // 2.258 //
   tāny āmnāyāntarāṇy eva $ paṭhyate kiṃ cid eva tu &	tAni AmnAya-antarANi eva $ paWyate kim cit eva tu &
   anarthakānāṃ pāṭho vā % śeṣas tv anyaḥ pratīyate // 2.259 //	anarTakAnAm pAWaH vA % SezaH tu anyaH pratIyate // 2.259 //
   śabdasvarūpam arthas tu $ pāṭhe 'nyair upavarṇyate &	Sabda-svarUpam arTaH tu $ pAWe anyEH upavarNyate &
   atyantabhedaḥ sarveṣāṃ % tatsaṃbandhāt tu tadvatām // 2.260 //	atyanta-BedaH sarvezAm % tad-saMbanDAt tu tadvatAm // 2.260 //
   anyā saṃskārasāvitrī $ karmaṇyanyā prayujyate &	anyA saMskAra-sAvitrI $ karmaNi-anyA prayujyate &
   anyā japaprabandheṣu % sā tv ekaiva pratīyate // 2.261 //	anyA japa-prabanDezu % sA tu ekA-eva pratIyate // 2.261 //
   arthasvarūpe śabdānāṃ $ svarūpād vṛttim icchataḥ &	arTa-svarUpe SabdAnAm $ svarUpAt vRttim icCataH &
   vākyarūpasya vākyārthe % vṛttir anyānapekṣayā // 2.262 //	vAkya-rUpasya vAkya-arTe % vRttiH anya-anapekzayA // 2.262 //
   anekārthatvam ekasya $ yaiḥ śabdasyānugamyate &	aneka-arTa-tvam ekasya $ yEH Sabdasya-anugamyate &
   siddhyasiddhikṛtā teṣāṃ % gauṇamukhyaprakalpanā // 2.263 //	sidDi-asidDi-kRtA tezAm % gONa-muKya-prakalpanA // 2.263 //
   arthaprakaraṇāpekṣo $ yo vā śabdāntaraiḥ saha &	arTa-prakaraNa-apekzaH $ yaH vA Sabda-antarEH saha &
   yuktaḥ pratyāyayaty arthaṃ % taṃ gauṇam apare viduḥ // 2.264 //	yuktaH pratyAyayati arTam % tam gONam apare viduH // 2.264 //
   śuddhasyoccāraṇe svārthaḥ $ prasiddho yasya gamyate &	SudDasya-uccAraNe sva-arTaH $ prasidDaH yasya gamyate &
   sa mukhya iti vijñeyo % rūpamātranibandhanaḥ // 2.265 //	sa muKyaH iti vijQeyaH % rUpa-mAtra-nibanDanaH // 2.265 //
   yas tv anyasya prayogeṇa $ yatnād iva niyujyate &	yaH tu anyasya prayogeNa $ yatnAt iva niyujyate &
   tam aprasiddhaṃ manyante % gauṇārthābhiniveśinam // 2.266 //	tam aprasidDam manyante % gONa-arTa-aBiniveSinam // 2.266 //
   svārthe pravartamāno 'pi $ yasyārthaṃ yo 'valambate &	sva-arTe pravartamAnaH api $ yasya-arTam yaH avalambate &
   nimittaṃ tatra mukhyaṃ syān % nimitti gauṇa iṣyate // 2.267 //	nimittam tatra muKyam syAt % nimitti gONaH izyate // 2.267 //
   purārād iti bhinne 'rthe $ yau vartete virodhini &	purArAt iti Binne arTe $ yO vartete viroDini &
   arthaprakaraṇāpekṣaṃ % tayor apy avadhāraṇam // 2.268 //	arTa-prakaraNa-apekzam % tayoH api avaDAraNam // 2.268 //
   vākyasyārthāt padārthānām $ apoddhāre prakalpite &	vAkyasya-arTAt padArTAnAm $ apodDAre prakalpite &
   śabdāntareṇa saṃbandhaḥ % kasyaikasyopapadyate // 2.269 //	Sabda-antareNa saMbanDaH % kasya-ekasya-upapadyate // 2.269 //
   yac cāpy ekaṃ padaṃ dṛṣṭaṃ $ caritāstikriyaṃ kva cit &	yat ca-api ekam padam dRzwam $ caritAH-ti-kriyam kva cit &
   tad vākyāntaram evāhur % na tad anyena yujyate // 2.270 //	tat vAkya-antaram eva-AhuH % na tat anyena yujyate // 2.270 //
   yac ca ko 'yam iti praśne $ gaur aśva iti cocyate &	yat ca kaH ayam iti praSne $ gOH aSvaH iti ca-ucyate &
   praśna eva kriyā tatra % prakrāntā darśanādikā // 2.271 //	praSnaH eva kriyA tatra % prakrAntA darSana-AdikAH // 2.271 //
   naivādhikatvaṃ dharmāṇāṃ $ nyūnatā vā prayojikā &	na-eva-aDika-tvam DarmANAm $ nyUna-tA vA prayojikA &
   ādhikyam api manyante % prasiddher nyūnatāṃ kva cit // 2.272 //	ADikyam api manyante % prasidDeH nyUna-tAm kva cit // 2.272 //
   jātiśabdo 'ntareṇāpi $ jātiṃ yatra prayujyate &	jAti-SabdaH antareNa-api $ jAtim yatra prayujyate &
   saṃbandhisadṛśād dharmāt % taṃ gauṇam apare viduḥ // 2.273 //	saMbanDi-sadRSAt DarmAt % tam gONam apare viduH // 2.273 //
   viparyāsād ivārthasya $ yatrārthāntaratām iva &	viparyAsAt iva-arTasya $ yatra-arTa-antara-tAm iva &
   manyante sa gavādis tu % gauṇa ity ucyate kva cit // 2.274 //	manyante sa gavAdiH tu % gONaH iti ucyate kva cit // 2.274 //
   niyatāḥ sādhanatvena $ rūpaśaktisamanvitāḥ &	niyatAH sADana-tvena $ rUpa-Sakti-samanvitAH &
   yathā karmasu gamyante % sīrāsimusalādayaḥ // 2.275 //	yaTA karmasu gamyante % sIrA-asi-musala-AdayaH // 2.275 //
   kriyāntare na caiteṣāṃ $ vibhavanti na śaktayaḥ &	kriyA-antare na ca-etezAm $ viBavanti na SaktayaH &
   rūpād eva tu tādarthyaṃ % niyamena pratīyate // 2.276 //	rUpAt eva tu tAdarTyam % niyamena pratIyate // 2.276 //
   tathaiva rūpaśaktibhyām $ utpattyā samavasthitaḥ &	taTA-eva rUpa-SaktiByAm $ utpattyA samavasTitaH &
   śabdo niyatatādarthyaḥ % śaktyānyatra prayujyate // 2.277 //	SabdaH niyata-tAdarTyaH % SaktyA-anyatra prayujyate // 2.277 //
   śrutimātreṇa yatrāsya $ sāmarthyam avasīyate &	Sruti-mAtreNa yatra-asya $ sAmarTyam avasIyate &
   taṃ mukhyam arthaṃ manyante % gauṇaṃ yatnopapāditam // 2.278 //	tam muKyam arTam manyante % gONam yatna-upapAditam // 2.278 //
   goyuṣmanmahatāṃ cvyarthe $ svārthād arthāntare sthitau &	go-yuzmat-mahatAm cvyarTe $ sva-arTAt arTa-antare sTitO &
   arthāntarasya tadbhāvas % tatra mukhyo 'pi dṛśyate // 2.279 //	arTa-antarasya tad-BAvaH % tatra muKyaH api dRSyate // 2.279 //
   mahattvaṃ śuklabhāvaṃ ca $ prakṛtiḥ pratipadyate &	mahat-tvam Sukla-BAvam ca $ prakRtiH pratipadyate &
   bhedenāpekṣitā sā tu % gauṇatvasya prasādhikā // 2.280 //	Bedena-apekzitA sA tu % gONa-tvasya prasADikAH // 2.280 //
   agnisomādayaḥ śabdā $ ye svarūpapadārthakāḥ &	agni-soma-AdayaH SabdAH $ ye sva-rUpa-padArTakAH &
   saṃjñibhiḥ saṃprayujyante % 'prasiddhes teṣu gauṇatā // 2.281 //	saMjQiBiH saMprayujyante % aprasidDeH tezu gONa-tA // 2.281 //
   agnidattas tu yo 'gniḥ syāt $ tatra svārthopasarjanaḥ &	agnidattaH tu yaH agniH syAt $ tatra sva-arTa-upasarjanaH &
   śabdo dattārthavṛttitvād % gauṇatvaṃ pratipadyate // 2.282 //	SabdaH datta-arTa-vRtti-tvAt % gONa-tvam pratipadyate // 2.282 //
   nimittabhedāt prakrānte $ śabdavyutpattikarmaṇi &	nimitta-BedAt prakrAnte $ Sabda-vyutpatti-karmaNi &
   hariścandrādiṣu suṭo % bhāvābhāvau vyavasthitau // 2.283 //	hariScandra-Adizu suwaH % BAva-aBAvO vyavasTitO // 2.283 //
   ṛṣyādau prāptasaṃskāro $ yaḥ śabdo 'nyena yujyate &	Rzi-AdO prApta-saMskAraH $ yaH SabdaH anyena yujyate &
   tatrāntaraṅgasaṃskāro % bāhye 'rthe na nivartate // 2.284 //	tatra-antaraFga-saMskAraH % bAhye arTe na nivartate // 2.284 //
   atyantaviparīto 'pi $ yathā yo 'rtho 'vadhāryate &	atyanta-viparItaH api $ yaTA yaH arTaH avaDAryate &
   yathāsaṃpratyayaṃ śabdas % tatra mukhyaḥ prayujyate // 2.285 //	yaTA-saMpratyayam SabdaH % tatra muKyaH prayujyate // 2.285 //
   yady api pratyayādhīnam $ arthatattvāvadhāraṇam &	yadi api pratyaya-aDInam $ arTa-tattva-avaDAraNam &
   na sarvaḥ pratyayas tasmin % prasiddha iva jāyate // 2.286 //	na sarvaH pratyayaH tasmin % prasidDaH iva jAyate // 2.286 //
   darśanaṃ salile tulyaṃ $ mṛgatṛṣṇādidarśanaiḥ &	darSanam salile tulyam $ mRgatRzNA-Adi-darSanEH &
   bhedāt tu sparśanādīnāṃ % na jalaṃ mṛgatṛṣṇikā // 2.287 //	BedAt tu sparSana-AdInAm % na jalam mRgatRzNikAH // 2.287 //
   yad asādhāraṇaṃ kāryaṃ $ prasiddhaṃ rajjusarpayoḥ &	yat asADAraNam kAryam $ prasidDam rajju-sarpayoH &
   tena bhedaparicchedas % tayos tulye 'pi darśane // 2.288 //	tena Beda-paricCedaH % tayoH tulye api darSane // 2.288 //
   prasiddhārthaviparyāsa- $ nimittaṃ yac ca dṛśyate &	prasidDa-arTa-viparyAsa $ nimittam yat ca dRSyate &
   yas tasmāl lakṣyate bhedas % tam asatyaṃ pracakṣate // 2.289 //	yaH tasmAt lakzyate BedaH % tam asatyam pracakzate // 2.289 //
   yac ca nimnonnataṃ citre $ sarūpaṃ parvatādibhiḥ &	yat ca nimna-unnatam citre $ sarUpam parvata-AdiBiH &
   na tatra pratighātādi % kāryaṃ tadvat pravartate // 2.290 //	na tatra pratiGAta-Adi % kAryam tadvat pravartate // 2.290 //
   sparśaprabandho hastena $ yathā cakrasya saṃtataḥ &	sparSa-prabanDaH hastena $ yaTA cakrasya saMtataH &
   na tathālātacakrasya % vicchinnaṃ spṛśyate hi tat // 2.291 //	na taTA-alAta-cakrasya % vicCinnam spRSyate hi tat // 2.291 //
   vapraprākārakalpaiś ca $ sparśanāvaraṇe yathā &	vapra-prAkAra-kalpEH ca $ sparSana-AvaraNe yaTA &
   nagareṣu na te tadvad % gandharvanagareṣv api // 2.292 //	nagarezu na te tadvat % ganDarvanagarezu api // 2.292 //
   mṛgapaśvādibhir yāvān $ mukhyair arthaḥ prasādhyat &	mRga-paSu-AdiBiH yAvAn $ muKyEH arTaH prasADyat &
   tāvān na mṛnmayeṣv asti % tasmāt te viṣayaḥ kanaḥ // 2.293 //	tAvAn na mRd-mayezu asti % tasmAt te vizayaH kanaH // 2.293 //
   mahān āvriyate deśaḥ $ prasiddhaiḥ parvatādibhiḥ &	mahAn Avriyate deSaH $ prasidDEH parvata-AdiBiH &
   alpadeśāntarāvasthaṃ % pratibimbaṃ tu dṛśyate // 2.294 //	alpa-deSa-antara-avasTam % pratibimbam tu dRSyate // 2.294 //
   maraṇādinimittaṃ ca $ yathā mukhyā viṣādayaḥ &	maraNa-Adi-nimittam ca $ yaTA muKyAH viza-AdayaH &
   na te svapnādiṣu svasya % tadvad arthasya sādhakāḥ // 2.295 //	na te svapna-Adizu svasya % tadvat arTasya sADakAH // 2.295 //
   deśakālendriyagatair $ bhedair yad dṛśyate 'nyathā &	deSa-kAla-indriya-gatEH $ BedEH yat dRSyate anyaTA &
   yathā prasiddhir lokasya % tathā tad avasīyate // 2.296 //	yaTA prasidDiH lokasya % taTA tat avasIyate // 2.296 //
   yac copaghātajaṃ jñānaṃ $ yac ca jñānam alaukikam &	yat ca-upaGAta-jam jQAnam $ yat ca jQAnam alOkikam &
   na tābhyāṃ vyavahāro 'sti % śabdā lokanibandhanāḥ // 2.297 //	na tAByAm vyavahAraH asti % SabdAH loka-nibanDanAH // 2.297 //
   ghaṭādiṣu yathā dīpo $ yenārthena prayujyate &	Gawa-Adizu yaTA dIpaH $ yena-arTena prayujyate &
   tato 'nyasyāpi sāṃnidhyāt % sa karoti prakāśanam // 2.298 //	tatas anyasya-api sAMniDyAt % sa karoti prakASanam // 2.298 //
