   Larger Prajñāpāramitā	LargeH PrajQApAramitA
   mahāsatvena prajñāpāramitāyāṃ śikṣitavyam* (LPG 11r)	mahAsatvena prajQApAramitAyAm Sikzitavyam* (LPu 11r)
   punar aparaṃ śāradvatīputra buddhotpādānupacchedāya sthātukāmena	punar aparam SAradvatI-putra budDa-utpAda-anupacCedAya sTAtu-kAmena
   bodhisatvakulam ārakṣitukāmena buddhavaṃśānucchedāya sthātukāmena	boDisatva-kulam Arakzitu-kAmena budDa-vaMSAn-ucCedAya sTAtu-kAmena
   bodhisatvena mahāsatvena prajñāpāramitāyāṃ śikṣitavyam* //	boDisatvena mahAsatvena prajQApAramitAyAm Sikzitavyam* //
   adhyātmaśunyatāyāṃ sthātukāmena bahirdhāśunyatāyām	aDyAtma-SunyatAyAm sTAtu-kAmena bahirDASunyatAyAm
   adhyātmabahirdhāśunyatāyāṃ | śunyatāśunyatāyāṃ | mahāśunyatāyāṃ |	aDyAtma-bahirDASunyatAyAm | Sunyata-ASunyatAyAm | mahA-SunyatAyAm |
   paramārthaśunyatāyāṃ saṃskṛtaśunyatāyāṃ | asaṃskṛtaśunyatāyāṃ |	parama-arTa-SunyatAyAm saMskRta-SunyatAyAm | asaMskRta-SunyatAyAm |
   atyantaśunyatāyāṃ | anavarāgraśunyatāyāṃ | anavakāraśunyatāyāṃ |	atyanta-SunyatAyAm | anavara-agra-SunyatAyAm | anavakAra-SunyatAyAm |
   prakṛtiśunyatāyāṃ | svalakṣaṇaśunyatāyāṃ | sarvadharmaśunyatāyāṃ |	prakRti-SunyatAyAm | sva-lakzaNa-SunyatAyAm | sarva-Darma-SunyatAyAm |
   anupalaṃbhaśunyatāyāṃ * abhāvaśunyatāyāṃ | svabhāvaśunyatāyāṃ |	anupalaMBa-SunyatAyAm * aBAva-SunyatAyAm | svaBAva-SunyatAyAm |
   abhāvasvabhāvaśunyatāyāṃ sthātukāmena bodhisatvena mahāsatvena	aBAva-svaBAva-SunyatAyAm sTAtu-kAmena boDisatvena mahAsatvena
   prajñāpāramitāyāṃ śikṣitavyam* //	prajQApAramitAyAm Sikzitavyam* //
   ālaṃbanādhipateyasamanantarahetupratyayatām anuboddhukāmena |	AlaMbana-ADipateya-samanantara-hetu-pratyaya-tAm anubodDu-kAmena |
   tathākāralakṣaṇāny avaboddhukāmena bodhisatvena mahāsatvena	taTA-AkAra-lakzaNAni avabodDu-kAmena boDisatvena mahAsatvena
   prajñāpāramitāyāṃ śikṣitavyam* // sarvadharmāṇāṃ tathatām avitathatām	prajQApAramitAyAm Sikzitavyam* // sarva-DarmANAm taTatAm avitaTa-tAm
   ananyatathatām avikāratathatāṃ yathāvattathātam avaboddhukāmena	ananyataTatAm avikAra-taTatAm yaTAvat-taTA-Atam avabodDu-kAmena
   bodhisatvena mahāsatvena prajñāpāramitāyāṃ śikṣitavyam* // sarvadharmāṇān	boDisatvena mahAsatvena prajQApAramitAyAm Sikzitavyam* // sarva-DarmANAn
   dharmadhātum avaboddhukāmena sarvadharmāṇāṃ bhūtakoṭim avaboddhukāmena	DarmaDAtum avabodDu-kAmena sarva-DarmANAm BUtakowim avabodDu-kAmena
   bodhisatvena mahāsatvena prajñāpāramitāyāṃ śikṣitavyam* //	boDisatvena mahAsatvena prajQApAramitAyAm Sikzitavyam* //
   punar aparaṃ śāradvatīputra yāvantyas tṛsāhasramahāsāhasre lokadhātau	punar aparam SAradvatI-putra yAvantyaH tR-sAhasra-mahA-sAhasre lokaDAtO
   gaṃgānadīvālukās tāḥ sarvā jñātukāmena bodhisatvena mahāsatvena	gaMgA-nadI-vAlukAH tAH sarvAH jQAtu-kAmena boDisatvena mahAsatvena
   prajñāpāramitāyāṃ śikṣitavyam* // yas trisāhasramahāsāhasre lokadhātau	prajQApAramitAyAm Sikzitavyam* // yaH tri-sAhasra-mahA-sAhasre lokaDAtO
   mahāsamudreṣv apskandho nadīṣu mahānadīṣu kunadīṣūtsasarastaḍākeṣu	mahA-samudrezu apskanDaH nadIzu mahA-nadIzu kunadIzu-utsasaraH-taxAkezu
   palvaleṣu tan sarvaṃ śatadhābhinnayā bālāgrakoṭyābhyutkṣeptukāmena na ca	palvalezu tat sarvam SataDA-aBinnayA bAla-agra-kowyA-aByutkzeptu-kAmena na ca
   tanniśṛtān prāṇino viheṭhayitukāmena bodhisatvena mahāsatvena	tad-niSRtAn prANinaH viheWayitu-kAmena boDisatvena mahAsatvena
   prajñāpāramitāyāṃ (LPG 11v) śikṣitavyam* //	prajQApAramitAyAm (LPu 11v) Sikzitavyam* //
   punar aparaṃ śāradvatīputra yāvāṃs trisāhasramahāsāhasre lokadhātāv	punar aparam SAradvatI-putra yAvAn tri-sAhasra-mahA-sAhasre lokaDAtO=-
   agniskandhaḥ sa sarva ekajvālībhūto bhavet tadyathāpi nāma kalpoddāhe	agni-skanDaH sa sarve eka-jvAlIBUtaH Bavet tat-yaTA-api nAma kalpa-uddAhe
   vartamāne tam enam ekena mukhavāyunā nirvāpayitukāmena bodhisatvena	vartamAne tam enam ekena muKa-vAyunA nirvApayitu-kAmena boDisatvena
   mahāsatvena prajñāpāramitāyāṃ śikṣitavyam* //	mahAsatvena prajQApAramitAyAm Sikzitavyam* //
   punar aparaṃ śāradvatīputra yās trisāhasramahāsāhasre lokadhātau	punar aparam SAradvatI-putra yAH tri-sAhasra-mahA-sAhasre lokaDAtO
   bātamaṇḍalyo yā imaṃ trisāhasramahāsāhasraṃ lokadhātuṃ vidhunuyur	bAta-maNxalyaH yAH imam tri-sAhasra-mahA-sAhasram lokaDAtum viDunuyuH-
   vikireyur vidhvaṃseyus tadyathāpi nāma busamuṣṭin tāḥ sarvā ekenāṅgulyāḥ	vikireyuH viDvaMseyuH tat-yaTA-api nAma busa-muzwin tAH sarvAH ekena-aFgulyAH
   prāntakena saṃcchādayitukāmena viṣkaṃbhayitukāmena bodhisatvena	prAntakena saMcCAdayitu-kAmena vizkaMBayitu-kAmena boDisatvena
   mahāsatvena prajñāpāramitāyāṃ śikṣitavyam* //	mahAsatvena prajQApAramitAyAm Sikzitavyam* //
   punar aparaṃ śāradvatīputra yas trisāhasramahāsāhasre lokadhātāv	punar aparam SAradvatI-putra yaH tri-sAhasra-mahA-sAhasre lokaDAtO=-
   ākāśadhātus taṃ sarvam ekaparyaṃkena spharitukāmena bodhisatvena	AkASaDAtuH tam sarvam eka-paryaMkena sParitu-kAmena boDisatvena
   mahāsatvena prajñāpāramitāyāṃ śikṣitavyam* //	mahAsatvena prajQApAramitAyAm Sikzitavyam* //
   punar aparaṃ śāradvatīputra yāvantas trisāhasramahāsāhasre lokadhātau	punar aparam SAradvatI-putra yAvantaH tri-sAhasra-mahA-sAhasre lokaDAtO
   sumerucakravāḍamahācakravāḍāḥ parvatarājās tān sarvān ekabālena	sumeru-cakravAxa-mahA-cakravAxAH parvata-rAjAH tAn sarvAn eka-bAlena
   badhvābhyutkṣipyāprameyān asaṃkhyeyāl lokadhātūn kṣipeyam iti tena	baDva-aByutkzipya-aprameyAn asaMKyeyAt lokaDAtUn kzipeyam iti tena
   bodhisatvena mahāsatvena prajñāpāramitāyāṃ śikṣitavyam* //	boDisatvena mahAsatvena prajQApAramitAyAm Sikzitavyam* //
   punar aparaṃ śāradvatīputra yāvāṃs trisāhasramahāsāhasre lokadhātau	punar aparam SAradvatI-putra yAvAn tri-sAhasra-mahA-sAhasre lokaDAtO
   tṛṇavṛkṣagulmauṣadhivanaspatayo	tRNa-vRkza-gulma-ozaDi-vanaspatayaH-
   loṣṭadaṇḍaśarkarāpāṣāṇaparvatāmahāpṛthivīsaṃcayas taṃ sarvaṃ	lozwa-daNxa-SarkarA-pAzANa-parvatAmahA-pRTivI-saMcayaH tam sarvam
   paramāṇurajoyogena jñātukāmena bodhisatvena mahāsatvena prajñāpāramitāyāṃ	paramANu-rajaH-yogena jQAtu-kAmena boDisatvena mahAsatvena prajQApAramitAyAm
   śikṣitavyam* //	Sikzitavyam* //
   punar aparaṃ śāradvatīputra yāvantaḥ pūrvasyān diśi gaṃgānadīvālukopameṣu	punar aparam SAradvatI-putra yAvantaH pUrvasyAn diSi gaMgA-nadI-vAlukA-upamezu
   lokadhātuṣu buddhā bhagavantaḥ sabodhisatvāḥ saśrāvakasaṃghās tān sarvān	lokaDAtuzu budDAH BagavantaH sa-boDisatvAH sa-SrAvaka-saMGAH tAn sarvAn
   ekapiṇḍapātena pratipādayitukāmena	eka-piNxa-pAtena pratipAdayitu-kAmena
   ekapuṣpeṇaikamālyenaikagandhenaikavilepanenaikacūrṇenaikacīvareṇaikacchatreṇaikadhvajenaikapatākayā	eka-puzpeNa-eka-mAlyena-ekaganDena-eka-vilepanena-eka-cUrNena-eka-cIvareNa-ekacCatreNa-eka-Dvajena-eka-patAkayA
   tān sarvān tathāgatān arhataḥ (LPG 12r) samyaksaṃbuddhān sabodhisatvān	tAn sarvAn taTAgatAn arhataH (LPu 12r) samyaksaMbudDAn sa-boDisatvAn
   saśrāvakasaṃghān satkartukāmena gurukartukāmena mānayitukāmena	sa-SrAvaka-saMGAn sat-kartu-kAmena guru-kartu-kAmena mAnayitu-kAmena
   pūjayitukāmena bodhisatvena mahāsatvena prajñāpāramitāyāṃ śikṣitavyam* //	pUjayitu-kAmena boDisatvena mahAsatvena prajQApAramitAyAm Sikzitavyam* //
   evaṃ dakṣiṇasyān diśi paścimāyām uttarasyām adhastād upariṣṭād yāvat	evam dakziNasyAn diSi paScimAyAm uttarasyAm aDastAt uparizwAt yAvat-
   samantād daśasu dikṣv aikaikasyān diśi ye gaṃgānadīvālukopameṣu	samantAt daSasu dikzu EkEkasyAn diSi ye gaMgA-nadI-vAlukA-upamezu
   lokadhātuṣu buddhā bhagavantaḥ sabodhisatvāḥ saśrāvakasaṃghās tān sarvān	lokaDAtuzu budDAH BagavantaH sa-boDisatvAH sa-SrAvaka-saMGAH tAn sarvAn
   ekapiṇḍapātena	eka-piNxa-pAtena
   pratipādayitukāmenaikapuṣpeṇaikamālyenaikagandhenaikavilepanenaikacūrṇenaikacīvareṇaikacchatreṇaikadhvajenaikapatākayā	pratipAdayitu-kAmena-eka-puzpeNa-eka-mAlyena-ekaganDena-eka-vilepanena-eka-cUrNena-eka-cIvareNa-ekacCatreNa-eka-Dvajena-eka-patAkayA
   | tan sarvāṃs tathāgatān arhataḥ samyaksaṃbuddhān sabodhisatvān	| tat sarvAn taTAgatAn arhataH samyaksaMbudDAn sa-boDisatvAn
   saśrāvakasaṃghān satkartukāmena gurukartukāmena mānayitukāmena	sa-SrAvaka-saMGAn sat-kartu-kAmena guru-kartu-kAmena mAnayitu-kAmena
   pūjayitukāmena bodhisatvena mahāsatvena prajñāpāramitāyāṃ śikṣitavyam* //	pUjayitu-kAmena boDisatvena mahAsatvena prajQApAramitAyAm Sikzitavyam* //
   punar aparaṃ śāradvatīputra ye pūrvasyān diśi gaṃgānadīvālukopameṣu	punar aparam SAradvatI-putra ye pUrvasyAn diSi gaMgA-nadI-vAlukA-upamezu
   lokadhātuṣu satvās tān sarvāṃc chīlaskandhe pratiṣṭhāpayitukāmenaivaṃ	lokaDAtuzu satvAH tAn sarvAn SIla-skanDe pratizWA-payitu-kAmena-evam
   samādhiskandhe prajñāskandhe vimuktiskandhe vimuktijñānadarśanaskandhe	samADi-skanDe prajQA-skanDe vimukti-skanDe vimukti-jQAna-darSana-skanDe
   pratiṣṭhāpayitukāmena evaṃ srotaāpattiphale pratiṣṭhāpayitukāmena	pratizWA-payitu-kAmena evam srotaApatti-Pale pratizWApayitu-kAmena
   sakṛdāgāmiphale anāgāmiphale arhatve pratyekabodhau yāvad anupadhiśeṣe	sakRdAgAmi-Pale anAgAmi-Pale arhatve pratyeka-boDO yAvat anupaDi-Seze
   nirvāṇadhātau pratiṣṭhāpayitukāmena bodhisatvena mahāsatvena	nirvANa-DAtO pratizWA-payitu-kAmena boDisatvena mahAsatvena
   prajñāpāramitāyāṃ śikṣitavyam* // evaṃ dakṣiṇasyān diśi paścimāyām	prajQApAramitAyAm Sikzitavyam* // evam dakziNasyAn diSi paScimAyAm
   uttarasyām adhastād upariṣṭād yāvat samantād daśasu dikṣu ye	uttarasyAm aDastAt uparizwAt yAvat samantAt daSasu dikzu ye
   gaṃgānadīvālukopameṣu lokadhātuṣu satvās tān sarvāṃc chīlaskandhe |	gaMgA-nadI-vAlukA-upamezu lokaDAtuzu satvAH tAn sarvAn SIla-skanDe |
   pratiṣṭhāpayitukāmenaivaṃ samādhiskandhe prajñāskandhe | vimuktiskandhe	pratizWA-payitu-kAmena-evam samADi-skanDe prajQA-skanDe | vimukti-skanDe
   vimuktijñānadarśanaskandhe pratiṣṭhāpayitukāmena evaṃ srotaāpattiphale	vimukti-jQAna-darSana-skanDe pratizWApayitu-kAmena evam srotaApatti-Pale
   pratiṣṭhāpayitukāmena sakṛdāgāmiphale arhatve pratyekabodhau yāvad	pratizWApayitu-kAmena sakRdAgAmi-Pale arhatve pratyeka-boDO yAvat-
   anupadhiśeṣe nirvāṇadhātau pratiṣṭhāpayitukāmena bodhisatvena mahāsatvena	anupaDi-Seze nirvANa-DAtO pratizWA-payitu-kAmena boDisatvena mahAsatvena
   prajñāpāramitāyāṃ śikṣitavyam* //	prajQApAramitAyAm Sikzitavyam* //
   (LPG 12v) punar aparaṃ śāradvatīputra yāvanto daśadigloke sarvalokadhātuṣu	(LPu 12v) punar aparam SAradvatI-putra yAvantaH daSa-diS-loke sarva-loka-DAtuzu
   satvās tān sarvāṃ śrāvakapratyekabuddhayānena ca parinirvāpayitukāmena	satvAH tAn sarvAm SrAvaka-pratyekabudDa-yAnena ca parinirvApayitu-kAmena
   bodhisatvena mahāsatvena prajñāpāramitāyāṃ śikṣitavyam* //	boDisatvena mahAsatvena prajQApAramitAyAm Sikzitavyam* //
   punar aparaṃ śāradvatīputra bodhisatvena mahāsatvena prajñāpāramitāyāṃ	punar aparam SAradvatI-putra boDisatvena mahAsatvena prajQApAramitAyAm
   caratā dānaṃ dadatā evaṃ śikṣitavyam* yad evaṃ dānaṃ datvā mahāphalaṃ	caratA dAnam dadatA evam Sikzitavyam* yat evam dAnam datvA mahA-Palam
   bhavaty evaṃ dānaṃ datvā kṣatriyamahāsālakuleṣūpapadyat'; aivaṃ	Bavati evam dAnam datvA kzatriya-mahA-sAla-kulezu-upapadyat-a; Evam
   brāhmaṇamahāsālakuleṣūpapadyate | gṛhapatimahāsālakuleṣūpapadyat'; evaṃ	brAhmaNa-mahA-sAla-kulezu-upapadyate | gRhapati-mahA-sAla-kulezu-upapadyat-a; evam
   dānaṃ datvā tad eva dānaṃ niśrāya cāturmahārājakāyikeṣu deveṣūpapadyate |	dAnam datvA tat eva dAnam niSrAya cAturmahArAja-kAyikezu devezu-upapadyate |
   evaṃ trāyastriṃśeṣu yāmeṣu tuṣiteṣu nirmāṇaratiṣu paranirmitavaśavartiṣu	evam trAyastriMSezu yAmezu tuzitezu nirmANaratizu paranirmitavaSavartizu
   deveṣūpapadyate | evaṃ dānaṃ datvā tad evaṃ dānaṃ niśrāya prathamaṃ	devezu-upapadyate | evam dAnam datvA tat evam dAnam niSrAya praTamam
   dhyānaṃ samāpadyate dvitīyaṃ tritīyaṃ caturthaṃ dhyānam utpādyate	DyAnam samApadyate dvitIyam tritIyam caturTam DyAnam utpAdyate
   ākāśānaṃtyāyatanasamāpattiṃ samāpadyate | vijñānānantyāyatanasamāpattim	AkASAnaMtyAyatana-samApattim samApadyate | vijQAna-Ananti-Ayatana-samApattim
   ākiṃcanyāyatanasamāpattiṃ naivasaṃjñānāsaṃjñāyatanasamāpattiṃ samāpadyate	AkiMcanya-Ayatana-samApattim na-eva-saMjQAna-asaMjQA-Ayatana-samApattim samApadyate
   evaṃ dānaṃ datvāryāṣṭāṃgo mārga utpādyate | evaṃ srotaāpattiphalam	evam dAnam datvA-AryA-azwa-aMgaH mArgaH utpAdyate | evam srotaApatti-Palam
   anuprāpyate | sakṛdāgāmiphalam anuprāpyate | anāgāmiphalam anuprāpyate	anuprApyate | sakRdAgAmi-Palam anuprApyate | anAgAmi-Palam anuprApyate
   'rhatvam anuprāpyate | pratyekabodhir anuprāpyate 'nuttarā samyaksaṃbodhir	arha-tvam anuprApyate | pratyeka-boDiH anuprApyate anuttarA samyaksaMboDiH-
   anuprāpyate | //	anuprApyate | //
   punar aparaṃ śāradvatīputra bodhisatvo mahāsatvaḥ prajñāpāramitāyāṃ caraṃ	punar aparam SAradvatI-putra boDisatvaH mahAsatvaH prajQApAramitAyAm caram
   jānāty evam upāyakauśalyena dānaṃ dattaṃ dānapāramitāṃ paripūrayati | evaṃ	jAnAti evam upAya-kOSalyena dAnam dattam dAna-pAramitAm paripUrayati | evam
   śīlapāramitāṃ kṣāntipāramitāṃ vīryapāramitāṃ dhyānapāramitāṃ	SIla-pAramitAm kzAnti-pAramitAm vIrya-pAramitAm DyAna-pAramitAm
   prajñāpāramitāṃ paripūrayati | // athāyuṣmāṃc chāradvatīputro bhagavantam	prajQApAramitAm paripUrayati | // aTa-AyuzmAn SAradvatI-putraH Bagavantam
   etad avocat* kathaṃ bhagavaṃ bodhisatvena mahāsatvena dānaṃ dadatā	etat avocat* kaTam Bagavam boDisatvena mahAsatvena dAnam dadatA
   dānapāramitā paripūritā bhavati | kathaṃ yāvat prajñāpāramitā paripūritā	dAna-pAramitA paripUritA Bavati | kaTam yAvat prajQApAramitA paripUritA
   bhavati | bhagavān āha | anupalaṃbhayogena śāradvatīputra (LPG 13r)	Bavati | BagavAn Aha | anupalaMBa-yogena SAradvatI-putra (LPu 13r)
   dānasya dāyakasya parigrāhakasya trimaṇḍalapariśuddhyā dānapāramitā	dAnasya dAyakasya parigrAhakasya tri-maNxala-pariSudDyA dAna-pAramitA
   paripūritā bhavati | evam āpattyanāpattyanadhyāpattitām upādāya	paripUritA Bavati | evam Apatti-anApatti-anaDyApatti-tAm upAdAya
   śīlapāramitā | akṣobhaṇatām upādāya kṣāntipāramitā |	SIla-pAramitA | akzoBaNa-tAm upAdAya kzAnti-pAramitA |
   kāyacittavīryāsraṃsanatā vīryapāramitā | avikṣepāsaṃkalpanatām upādāya	kAya-citta-vIrya-AsraMsana-tA vIrya-pAramitA | avikzepa-asaMkalpanatAm upAdAya
   dhyānapāramitā | sarvadharmaprajānanānupalaṃbhayogena prajñāpāramitā	DyAna-pAramitA | sarva-Darma-prajAnana-anupalaMBa-yogena prajQApAramitA
   paripūritā bhavati | //	paripUritA Bavati | //
   punar aparaṃ śāradvatīputrātītānāgatapratyutpannānāṃ buddhānāṃ bhagavatām	punar aparam SAradvatI-putra-atIta-anAgata-pratyutpannAnAm budDAnAm BagavatAm
   sarvabuddhaguṇān prajñātukāmenānuprāptukāmena bodhisatvena mahāsatvena	sarva-budDa-guNAn prajQAtu-kAmena-anuprAptu-kAmena boDisatvena mahAsatvena
   prajñāpāramitāyāṃ śikṣitavyam* //	prajQApAramitAyAm Sikzitavyam* //
   punar aparaṃ śāradvatīputra saṃskṛtāsaṃskṛtānāṃ dharmāṇāṃ pāraṃgaṃtukāmena	punar aparam SAradvatI-putra saMskRta-AsaMskRtAnAm DarmANAm pAraMgaMtu-kAmena
   bodhisatvena mahāsatvena prajñāpāramitāyāṃ śikṣitavyam* // evaṃ	boDisatvena mahAsatvena prajQApAramitAyAm Sikzitavyam* // evam
   sāsravānāsravāṇāṃ dharmāṇāṃ kuśalākuśalānāṃ laukikalokottarāṇāṃ	sa-Asrava-anAsravANAm DarmANAm kuSala-akuSalAnAm lOkika-loka-uttarANAm
   rūpyarūpiṇāṃ vyākṛtāvyākṛtānāṃ niyatāniyatānāṃ nairyāṇikānairyāṇikānām |	rUpya-rUpiNAm vyAkRta-avyAkRtAnAm niyata-aniyatAnAm nEryANikA-nEH-yANikAnAm |
   hānabhāgīyānāṃ viśeṣabhāgīyānāṃ pṛthagjānadharmāṇāṃ āryadharmāṇāṃ	hAna-BAgIyAnAm viSeza-BAgIyAnAm pRTak-jAna-DarmANAm Arya-DarmANAm
   śaikṣāśaikṣadharmāṇāṃ śrāvakapratyekabuddhadharmāṇāṃ bodhisatvadharmāṇāṃ	SEkzA-SEkza-DarmANAm SrAvaka-pratyekabudDa-DarmANAm boDisatva-DarmANAm
   buddhadharmāṇāṃ | sarvadharmāṇāṃ pāraṃgaṃtukāmena bodhisatvena mahāsatvena	budDa-DarmANAm | sarva-DarmANAm pAraMgaMtu-kAmena boDisatvena mahAsatvena
   prajñāpāramitāyāṃ śikṣitavyam* //	prajQApAramitAyAm Sikzitavyam* //
   punar aparaṃ śāradvatīputra bodhisatvena	punar aparam SAradvatI-putra boDisatvena
   mahāsatvenātītānāgatapratyutpannānāṃ sarvadharmāṇāṃ tathatām	mahAsatvena-atIta-anAgata-pratyutpannAnAm sarva-DarmANAm taTatAm
   anuboddhukāmena prajñāpāramitāyāṃ śikṣitavyaṃ // sarvadharmāṇām	anubodDu-kAmena prajQApAramitAyAm Sikzitavyam // sarva-DarmANAm
   anutpādakoṭim anuprāptukāmena bhūtakoṭiṃ prativeddhukāmena	anutpAda-kowim anuprAptu-kAmena BUtakowim prativedDu-kAmena
   prajñāpāramitāyāṃ śikṣitavyam* //	prajQApAramitAyAm Sikzitavyam* //
   punar aparaṃ śāradvatīputra bodhisatvena mahāsatvena	punar aparam SAradvatI-putra boDisatvena mahAsatvena
   sarvaśrāvakapratyekabuddhānāṃ pūrvaṃgamena bhavitukāmena prajñāpāramitāyāṃ	sarva-SrAvaka-pratyekabudDAnAm pUrvaMgamena Bavitu-kAmena prajQApAramitAyAm
   śikṣitavyam* //	Sikzitavyam* //
   punar aparaṃ śāradvatīputra bodhisatvena mahāsatvena buddhānāṃ bhagavatām	punar aparam SAradvatI-putra boDisatvena mahAsatvena budDAnAm BagavatAm
   upasthāyakena (LPG 13v) bhavitukāmena prajñāpāramitāyāṃ śikṣitavyam* //	upasTAyakena (LPG 13v) Bavitu-kAmena prajQApAramitAyAm Sikzitavyam* //
   punar aparaṃ śāradvatīputra bodhisatvena mahāsatvena buddhānāṃ bhagavatām	punar aparam SAradvatI-putra boDisatvena mahAsatvena budDAnAm BagavatAm
   abhyantaraparivāreṇa bhavitukāmena prajñāpāramitāyāṃ śikṣitavyam* //	aByantara-parivAreNa Bavitu-kAmena prajQApAramitAyAm Sikzitavyam* //
   punar aparaṃ śāradvatīputra bodhisatvena mahāsatvena mahāparivāreṇa	punar aparam SAradvatI-putra boDisatvena mahAsatvena mahA-parivAreNa
   bhavatukāmena bodhisatvaparivāraṃ pratilabdhukāmena prajñāpāramitāyāṃ	Bavatu-kAmena boDisatva-parivAram pratilabDu-kAmena prajQApAramitAyAm
   śikṣitavyam* //	Sikzitavyam* //
   punar aparaṃ śāradvatīputra bodhisatvena mahāsatvena sarvadātrīṇāṃ	punar aparam SAradvatI-putra boDisatvena mahAsatvena sarvadAtrINAm
   dakṣiṇāṃ śodhayitukāmena prajñāpāramitāyāṃ śikṣitavyam* //	dakziNAm SoDayitu-kAmena prajQApAramitAyAm Sikzitavyam* //
   punar aparaṃ śāradvatīputra bodhisatvena mahāsatvena dāne	punar aparam SAradvatI-putra boDisatvena mahAsatvena dAne
   'navagṛhītacittena bhavitukāmena dauḥśīlyacittaṃ pṛthakkartukāmena	anavagRhIta-cittena Bavitu-kAmena dOHSIlya-cittam pRTak-kartu-kAmena
   vyāpādacittam utsraṣṭukāmena kausīdyacittaṃ dauṣprajñacittam	vyApAda-cittam utsrazwu-kAmena kOsIdya-cittam dOzprajQa-cittam
   anutpādayitukāmena prajñāpāramitāyāṃ śikṣitavyam* //	anutpAdayitu-kAmena prajQApAramitAyAm Sikzitavyam* //
   punar aparaṃ śāradvatīputra bodhisatvena mahāsatvena sarvasattvān dānamaye	punar aparam SAradvatI-putra boDisatvena mahAsatvena sarva-sattvAn dAna-maye
   puṇyakṛyāvastuni pratiṣṭhāpayitukāmena śīlamaye bhāvanāmaye	puNya-kRyA-vastuni pratizWApayitu-kAmena SIla-maye BAvanA-maye
   vaiyāpṛtyasahagate sarvauṣadhikasahagate puṇyakṛyāvastuni	vEyApRtya-sahagate sarva-ozaDika-sahagate puNya-kRyA-vastuni
   pratiṣṭhāpayitukāmena prajñāpāramitāyāṃ śikṣitavyam* //	pratizWA-payitu-kAmena prajQApAramitAyAm Sikzitavyam* //
   punar aparaṃ śāradvatīputra bodhisatvena mahāsatvena sarvākārāṇi paṃca	punar aparam SAradvatI-putra boDisatvena mahAsatvena sarva-AkArANi paMca
   cakṣuṃṣi niṣpādayitukāmena | māṃsacakṣur divyaṃ cakṣuḥ prajñācakṣur	cakzuMzi nizpAdayitu-kAmena | mAMsacakzuH divyam cakzuH prajQAcakzuH-
   dharmacakṣur buddhacakṣur niṣpādayitukāmena prajñāpāramitāyāṃ śikṣitavyam*	Darma-cakzuH budDacakzuH nizpAdayitu-kAmena prajQApAramitAyAm Sikzitavyam*
   punar aparaṃ śāradvatīputra ye pūrvasyān diśi gaṃgānadīvālukopameṣu	punar aparam SAradvatI-putra ye pUrvasyAn diSi gaMgA-nadI-vAlukA-upamezu
   lokadhātuṣu buddhā bhagavanto dakṣiṇasyāṃ (LPG 14r) paścimāyām uttarasyām	lokaDAtuzu budDAH BagavantaH dakziNasyAm (LPu 14r) paScimAyAm uttarasyAm
   adhastād upariṣṭād yāvat samantād daśasu dikṣv ekaikasyān diśi	aDastAt uparizwAt yAvat samantAt daSasu dikzu ekEkasyAn diSi
   gaṃgānadīvālukopameṣu lokadhātuṣu buddhā bhagavantas tān sarvān divyena	gaMgA-nadI-vAlukA-upamezu lokaDAtuzu budDAH BagavantaH tAn sarvAn divyena
   cakṣuṣā draṣṭukāmena yaṃ ca te buddhā bhagavanto dharmaṃ bhāṣante taṃ	cakzuzA drazwu-kAmena yam ca te budDAH BagavantaH Darmam BAzante tam
