   // āyurvedamahodadhiḥ //	// Ayurveda-mahA-udaDiH //
   annapānavidhiḥ	anna-pAna-viDiH
   // atha navanītavargaḥ kathyate //	// aTa navanIta-vargaH kaTyate //
   śītaṃ varṇabalapradaṃ samadhuraṃ vṛṣyaṃ ca saṃgrāhakaṃ	SItam varNa-bala-pradam sa-maDuram vRzyam ca saMgrAhakam
   vātaghnaṃ kapha (kā)hārakaṃ rucikaraṃ hṛdyaṃ tridoṣāpaham	vAta-Gnam kaPa (kA)hArakam ruci-karam hRdyam tridoza-apaham
   (sarvāṅgaśūlāpaham) /	(sarva-aFga-SUla-apaham) /
   kāsādhvaśramaśāntidaṃ ratikaraṃ kāntipradaṃ puṣṭidaṃ	kAsa-aDva-Srama-SAnti-dam rati-karam kAnti-pradam puzwi-dam
   {cf. Rājanighaṇṭu 15.63: kāsaghnaṃ śramanāśanaṃ}	{cf. RAjani-GaNwu 15.63: kAsa-Gnam Srama-nASanaM}
   sadyaskaṃ navanītam uddhṛtam idaṃ syāt sarvarogāpaham /	sadyaskam navanItam udDRtam idam syAt sarva-roga-apaham /
   (cakṣuṣyaṃ navanītam uddhṛtanavaṃ goḥ sarvadoṣāpaham) cf. Rājanighaṇṭu	(cakzuzyam navanItam udDRta-navam goH sarva-doza-apaham) cf. RA-jani-GaNwu
   śītaṃ balāḍharyaṃ madhurāmlavṛṣyaṃ śleṣmā (va) pahaṃ pittamarutpraṇāśam /	SItam bala-AXaryam maDura-amla-vRzyam SlezmA (va) paham pitta-marut-praNASam /
   śokakṣayakṣīṇakṛśānti (ti) vṛddhabāleṣu pathyaṃ navanītam uṣṇa(kta)m // 2	Soka-kzaya-kzINa-kRSAnti (ti) vRdDa-bAlezu paTyam navanItam uzNa(kta)m // 2
   gavyaṃ vā māhiṣaṃ vāpi navanītaṃ navoddhṛtam /	gavyam vA mAhizam vA-api navanItam nava-udDRtam /
   śasyate bālavṛddhānāṃ balakṛddhātuvardhanam // 3 //	Sasyate bAla-vRdDAnAm bala-kRt-DAtu-varDanam // 3 //
   śītaṃ varṇabalapradaṃ samadhuraṃ vṛṣyaṃ hi saṃgrāhakaṃ	SItam varNa-bala-pradam sa-maDuram vRzyam hi saMgrAhakam
   hṛdyaṃ śvāsajarāpahaṃ kṣayaharaṃ pittāmlavātāpaham /	hRdyam SvAsa-jarA-apaham kzaya-haram pitta-amla-vAta-apaham /
   kāsārśodina (tāpa) śophaśamanaṃ srastāṅgapīḍāpahaṃ	kAsa-arSodinaH (tApa) SoPa-Samanam srasta-aFga-pIxA-apaham
   sadyaskaṃ navanītamāhiṣam idaṃ syāt sarvarogāpaham // 4 //	sadyaskam navanIta-mAhizam idam syAt sarva-roga-apaham // 4 //
   // iti navanītaguṇāḥ //	// iti navanIta-guNAH //
   // athāto ghṛtaguṇāḥ kathyante //	// aTa-atas GRta-guNAH kaTyante //
   tatrādau goghṛtasya guṇāḥ	tatra-AdO go-GRtasya guNAH
   dhīkāntismṛtikārakaṃ balakaraṃ medhāpradaṃ buddhikṛt	DI-kAnti-smRti-kArakam bala-karam meDA-pradam budDi-kRt-
   vātaghnaṃ śramanāśanaṃ svarakaraṃ pittāpahaṃ puṣṭidam /	vAta-Gnam Srama-nASanam svara-karam pitta-apaham puzwi-dam /
   (Ap 32)	(Ap 32)
   vahner vṛddhiharaṃ vipākamadhuraṃ vṛṣyaṃ ca śītaṃ sadā	vahneH vRdDi-haram vipAka-maDuram vRzyam ca SItam sadA
   sevyaṃ gavyam idaṃ ghṛtaṃ balakaraṃ sadyaḥsamāvartitam // 1 //	sevyam gavyam idam GRtam bala-karam sadyas-samAvartitam // 1 //
   sarpirgavāṃ cāmṛtakaṃ viṣaghnaṃ cākṣuṣyam ārogyakaraṃ ca vṛṣyam /	sarpiH-gavAm ca-amRtakam viza-Gnam cAkzuzyam Arogya-karam ca vRzyam /
   rasāyanaṃ mandam atīva medhyaṃ snehottama ca (goḥ) vibudhā vadanti	rasAyanam mandam atIva meDyam sneha-uttama ca (goH) vibuDAH vadanti
   atha māhiṣaghṛtasya guṇāḥ	aTa mAhiza-GRtasya guNAH
   sarpirmāhiṣam uttamaṃ dhṛtikaraṃ saukhyapradaṃ kāntidaṃ	sarpiH-mAhizam uttamam DRti-karam sOKya-pradam kAnti-dam
   vātaśleṣmanibarhaṇaṃ balakaraṃ varṇaprasādakṣamam /	vAta-Slezma-nibarhaNam bala-karam varNa-prasAda-kzamam /
   durnāmagrahaṇīvikāraśamanaṃ mandānaloddīpanaṃ (?) {cf. Rājanighaṇṭu 15.78}	durnAma-grahaNI-vikAra-Samanam manda-anala-uddIpanam (?) {cf. RAjani-GaNwu 15.78}
   cākṣuṣya navagavyataḥ phala (para)m idaṃ hṛdyaṃ manohāri ca // 3 //	cAkzuzya navagavyataH Pala (para)m idam hRdyam manohAri ca // 3 //
   māhiṣyaṃ tan mānuṣaṇāṃ ca śastaṃ balyaṃ vṛṣyaṃ bastisādaṃ karoti /	mAhizyam tat mAnuzaNAm ca Sastam balyam vRzyam basti-sAdam karoti /
   medodbhūtaṃ mehakṛcchaityakāri tasmān nityaṃ sarvakālaṃ niṣevyam //	medA-udBUtam meha-kRt-SEtya-kAri tasmAt nityam sarvakAlam nizevyam //
   ājaghṛtasya guṇāḥ	AjaGRtasya guNAH
   dīpanīyam ajāsarpiḥ cākṣuṣyaṃ balavardhanam /	dIpanIyam ajA-sarpiH cAkzuzyam bala-varDanam /
   kāsaśvāsakṣaye vāpi pathyaṃ pāneṣu tal laghu //	kAsa-SvAsa-kzaye vA-api paTyam pAnezu tat laGu //
   (Ap 33)	(Ap 33)
   meṣīghṛtabhya guṇāḥ /	mezI-GRtaBya guNAH /
   āvikaṃ ghṛtam atīvā gurutvād varjyam eva sukumāranaraiś ca /	Avikam GRtam atIvA guru-tvAt varjyam eva sukumAra-narEH ca /
   auṣṭraghṛtasya guṇāḥ	Ozwra-GRtasya guNAH
   sadya eṣa balapuṣṭikaraṃ syād uṣṭrajaṃ śvayathukāsakaraṃ ca //	sadyas eza bala-puzwi-karam syAt uzwrajam SvayaTu-kAsa-karam ca //
   anyac ca	anyat ca
   gavyaṃ ca pācitaṃ sarpiḥ vamipītakaphāpaham /	gavyam ca pAcitam sarpiH vami-pIta-kaPa-apaham /
   payaso 'nuguṇaṃ meṣāṃ (pī) chāgīgardabhikāghṛtam // 7 //	payasaH anuguNam mezAm (pI) CAgI-gardaBikA-GRtam // 7 //
   auṣṭrīghṛtaṃ vīryakaṭu śleṣmakrimiviṣāpaham /	OzwrI-GRtam vIrya-kawu Slezma-krimi-viza-apaham /
   dīpanaṃ kaphavātaghnaṃ kuṣṭhagulmodarāpaham // 8 //	dIpanam kaPa-vAta-Gnam kuzWa-gulmodara-apaham // 8 //
   pāke laghvādi (vi)kaṃ sarpiḥ na ca pittaprakopanam /	pAke laGu-Adi (vi)kam sarpiH na ca pitta-prakopanam /
   kaphe 'nile yonidoṣe ca śvayathau hatam (śophe kampe ca tad dhitam) // 9	kaPe anile yoni-doze ca SvayaTO hatam (SoPe kampe ca tat Ditam) // 9
   pāke laghuṣṭaṃ (ghūṣṇaṃ) vīrye ca kaṣāyaṃ kaphanāśanam /	pAke laGuzwam (GUzNaM) vIrye ca kazAyam kaPa-nASanam /
   dīpanī (naṃ) laghu vīrye ca vidyād aikaśaphaṃ ghṛtam // 10 //	dIpanI (naM) laGu vIrye ca vidyAt EkaSaPam GRtam // 10 //
   strīghṛtam	strI-GRtam
   cakṣuṣyam agnidaṃ strīṇāṃ sarpiḥ syād atamṛopamam [sic!] /	cakzuzyam agni-dam strINAm sarpiH syAt atamRa-upamam [sic!] /
   vṛddhiṃ karoti dehāgner laghu pāke viṣāpaham // 11 //	vRdDim karoti deha-agneH laGu pAke viza-apaham // 11 //
   hastinīghṛtam	hastinI-GRtam
   kaṣāyaṃ baddhaviṇmūtraṃ tatki (tikta)m agnikaraṃ laghu /	kazAyam badDa-viz-mUtram tat-ki (tikta)m agni-karam laGu /
   kareṇujaṃ hanti sarpiḥ kaṣṭakrimiviśaṃkaram (kaphakuṣṭhaviṣakrimīn) // 12	kareNu-jam hanti sarpiH kazwa-krimi-viSaMkaram (kaPa-kuzWa-viza-krimIn) // 12
   (Ap 34)	(Ap 34)
   sarpiḥpraśaṃsā	sarpiH-praSaMsA
   āyurvṛddhiṃ vapur api dṛḍhaṃ saukumāryaṃ karoti	AyuH-vRdDim vapuH api dRXam sOkumAryam karoti
   vyāyāmastrīnidhuvanakṛtaśrāntivicchedanīnam /	vyAyAma-strI-niDuvana-kRta-SrAnti-vicCedanInam /
   pathyaṃ bālye vayasi taruṇe vārdhake cāpi pathyaṃ	paTyam bAlye vayasi taruNe vA-arDake ca-api paTyam
   nānyat kiñcid bhavati puruṣe sarpiṣaḥ sthaulyakāri // 13 //	na-anyat kiQcid Bavati puruze sarpizaH sTOlya-kAri // 13 //
   yad vedāgamavedibhir nigaditaṃ sākṣād ihāyur nṛṇāṃ	yat veda-Agama-vediBiH nigaditam sAkzAt iha-AyuH nRNAm
   yad vaidyais tu rasāyanāya kathitaṃ sadyo jarānāśanam /	yat vEdyEH tu rasAyanAya kaTitam sadyas jarA-nASanam /
   yat sārasvatakalpakānti matimatproktaṃ dhiyaḥ siddhaye	yat sArasvata-kalpa-kAnti matimat-proktam DiyaH sidDaye
   tatraikāyanaketakadyuticayaprāyaṃ mudā syād ghṛtam // 14 //	tatra-ekAyana-ketaka-dyuti-caya-prAyam mudA syAt GRtam // 14 //
   vīryātiśītaṃ ca guṇe vipāke svādu tridoṣeṣu rasāyanaṃ ca /	vIrya-atiSItam ca guNe vipAke svAdu tridozezu rasAyanam ca /
   tejobalāyuṣyakaraṃ ca medhyaṃ cākṣuṣyam etad ghṛtam āhur āryāḥ // 15 //	tejaH-bala-Ayuzya-karam ca meDyam cAkzuzyam etat GRtam AhuH AryAH // 15 //
   ojastejobhivṛddhiṃ janayati sukhadaṃ kāntikṛt samyag uktaṃ	ojaH-tejoBivRdDim janayati suKa-dam kAnti-kRt samyak uktam
   pāpālakṣmīśramaghnaṃ śvasanakasanahājīrṇajātajvaraghnam /	pApa-alakzmI-Srama-Gnam Svasana-ka-sanahA-ajIrNa-jAta-jvara-Gnam /
   śūlodāvartarogagrahaṇini ca pajā (madarujaṃ) nāśayaty āśu pittaṃ [pīḍāṃ]	SUla-udAvarta-roga-grahaNini ca pajA (mada-rujaM) nASayati ASu pittam [pIxAM]
   vātaghnaṃ pittanāśaṃ svarahati bhave śūddhame (svarakaram agadaṃ	vAta-Gnam pitta-nASam svarahati Bave SUdDame (svara-karam agadam
   kṣudbhrame) caivasevye (vyam) // 16 //	kzuD-Brame) ca-eva-sevye (vyam) // 16 //
   cākṣuṣyaṃ vṛṣyam āyusmṛtidhṛtikaraṇaṃ rājayakṣmāprakopaṃ [vināśaṃ]	cAkzuzyam vRzyam Ayu-smRti-DRti-karaNam rAjayakzma-aprakopam [vinASaM]
   [rūkṣe kṣīṇe ca pathyaṃ valipalitaharaṃ sāmadoṣaprakope /]	[rUkze kzINe ca paTyam vali-palita-haram sAma-doza-prakope /]
   bhūtonmādapramatte bahutimiramade kṛtpapaśrīra [syād apasmāra] hāri	BUta-unmAda-pramatte bahu-timira-made kRtpapa-SrIraH [syAt apasmAra] hAri
   sarveṣāṃ sarvadaiva prathitaguṇagaṇaṃ sādhu pathyaṃ ghṛtaṃ syāt // 17 //	sarvezAm sarvadA-eva praTita-guNa-gaNam sADu paTyam GRtam syAt // 17 //
   (Ap 35)	(Ap 35)
   sadyaskaṃ kṛmipūtaṃ [?] ca mūtravasti viśodhanam /	sadyaskam kRmi-pUtam [?] ca mUtravasti viSoDanam /
   śleṣmalaṃ pittanāśaṃ ca balapuṣṭivivardhanam // 18 //	Slezmalam pitta-nASam ca bala-puzwi-vivarDanam // 18 //
   purāṇaṃ timiraśvāsapīnasajvarakāsanut /	purANam timira-SvAsa-pInasa-jvara-kAsa-nud /
   mūrchākuṣṭaviṣonmadagrahāpasmāranāśanam // 19 //	mUrCA-kuzwa-viza-unmada-graha-apasmAra-nASanam // 19 //
   ugragandhi purāṇaṃ syyād daśavarṣoṣitaṃ ghṛtam /	ugra-ganDi purANam syyAt daSa-varza-uzitam GRtam /
   lākṣārasanibhaṃ śītaṃ tad dhi sarpagrahāpaham // 20 //	lAkzA-rasa-niBam SItam tat Di sarpa-graha-apaham // 20 //
   madāpasmāramūrchāyaśiraḥkarṇākṣiyonijān /	mada-apasmAra-mUrCAya-SiraH-karNa-akzi-yoni-jAn /
   pūrāṇaṃ jayati vyādhīn vraṇaśodhanaropaṇam // 21 //	pUrANam jayati vyADIn vraNa-SoDana-ropaNam // 21 //
   apasmāragrahonmādavatāṃ śastaṃ viśeṣataḥ /	apasmAra-graha-unmAdavatAm Sastam viSezataH /
   pūrvoktāś cādhikāṃs tāś ca [?] guṇās tad amṛtopamam // 22 //	pUrva-uktAH ca-aDikAn tAH ca [?] guNAH tat amRta-upamam // 22 //
   nirāmayānāṃ navayauvanānāṃ kṛtvā gavāṃ yacchata dhautamaddhiḥ /	nirAmayAnAm nava-yOvanAnAm kRtvA gavAm yacCata DOtamadDiH /
   vahnau vipakvaṃ navanītanūnaṃ [yogyaṃ] yogyaṃ ghṛtaṃ tad gajarājasevitām	vahnO vipakvam navanIta-nUnam [yogyan] yogyam GRtam tat gaja-rAja-sevitAm
   // ity āyurvedamahodadhau suṣeṇakṛte ghṛtavargaḥ //	// iti Ayurveda-mahodaDO suzeNa-kRte GRta-vargaH //
   // idānīṃ tailaguṇāḥ // /	// idAnIm tEla-guNAH // /
   uṣṇaṃ vipāke kaṭukaṃ satiktaṃ kaphāpahaṃ vātanivāraṇaṃ ca /	uzNam vipAke kawukam sa-tiktam kaPa-apaham vAta-nivAraNam ca /
   krimīn nihanyād balabhuktakāri tailaṃ krimiśleṣmamarutpraṇāśi // 1 //	krimIn nihanyAt bala-Bukta-kAri tElam krimi-Slezma-marut-praNASi // 1 //
   tilatailam alaṃkaroti keśyaṃ madhuraṃ tiktakaṣāyam uṣṇatīkṣṇam /	tila-tElam alaMkaroti keSyam maDuram tikta-kazAyam uzNa-tIkzNam /
   (Ap 36)	(Ap 36)
   balakṛtkaphavātajaṃ ca [jantu] kharjū vraṇakaṇḍūtiharaṃ ca [kānti] dāyi //	bala-kRt-kaPa-vAta-jam ca [jantu] KarjU vraNa-kaNxUti-haram ca [kAnti] dAyi //
   kaṇḍūharaṃ kāntivivardhanaṃ ca arśo [varco] vivṛddhi vraṇaropaṇaṃ ca /	kaNxU-haram kAnti-vivarDanam ca arSaH [varco] vivRdDi vraNa-ropaNam ca /
   tilasya jātaṃ khalu yac ca tailaṃ bāleṣu vṛddheṣv api taila [pathya]m etat	tilasya jAtam Kalu yat ca tElam bAlezu vRdDezu api tElaH [paTya]m etat-
   na pittaroge na ca śoṇitotthe pathyaṃ mahāvātavikārasaṃdhau /	na pitta-roge na ca SoNita-utTe paTyam mahA-vAta-vikAra-saMDO /
   tilodbhavaṃ tailam udaāharanti vātāśritān hanti samastadoṣān // 4 //	tila-udBavam tElam udaA-Aharanti vAta-ASritAn hanti samasta-dozAn // 4 //
   kaṭṭhamlarvīryaṃ bahupittakāri viṇmūtrasaṅgaṃ kurute 'tidīptim /	kawWamlar-vIryam bahu-pitta-kAri viz-mUtra-saFgam kurute ati-dIptim /
   pāmādidoṣāpaharaṃ ca tailaṃ abhyañjanaṃ sarṣapasaṃbhavaṃ ca // 5 //	pAma-Adi-doza-apaharam ca tElam aByaQjanam sarzapa-saMBavam ca // 5 //
   kaṭūṣṇaṃ sārṣapaṃ tailaṃ kaphaśukrānilāpaham /	kawu-uzNam sArzapam tElam kaPa-Sukra-anila-apaham /
   tīkṣṇoṣṇaṃ picchalaṃ visraṃ raktair aṇḍodbhavaṃ tv ati {cf. Aṣṭāṅgahṛdaya	tIkzNa-uzNam picCalam visram raktEH aNxa-udBavam tu ati {cf. AzwAFga-hRdaya
   5.58cd} // 6 //	5.58cd} // 6 //
   āmavātagajendrāṇāṃ śarīravanacāriṇām /	Ama-vAta-gaja-indrANAm SarIra-vana-cAriNAm /
   eka evāgrāṇī [rje] hetā eraṇḍasnehakesarī // 8 //	ekaH eva-agrANI [rje] hetA eraNxa-sneha-kesarI // 8 //
   kausumbhatailaṃ krimināśanaṃ ca	kOsumBa-tElam krimi-nASanam ca
   tejobalaṃ netravināśanaṃ ca /	tejaH-balam netra-vinASanam ca /
   kharjūś ca keśaś ca karoti koṣṭhe [kaṇḍūṃ ca karoti dṛṣṭeḥ]	KarjUH ca keSaH ca karoti kozWe [kaNxUm ca karoti dRzweH]
   tridoṣalaṃ vāpi samīraṇaghnam // 9 //	tridozalam vA-api samIraNa-Gnam // 9 //
   lepāt karaṃjatailasya dṛṣṭirogavināśanam /	lepAt karaMja-tElasya dRzwi-roga-vinASanam /
   kuṣṭhe ca pāpabhinnanāṃ sarvavātavikāranut // 10 //	kuzWe ca pApa-BinnanAm sarva-vAta-vikAra-nud // 10 //
   (Ap 37)	(Ap 37)
   ākṣaṃ svādu himaṃ keśyaṃ guru pittānilāpaham /	Akzam svAdu himam keSyam guru pitta-anila-apaham /
   nāpyu (tyu)ṣṇaṃ nimbajaṃ tailaṃ krimikuṣṭharujāpaham // 11 //	na-apyu (ti-u)zNam nimba-jam tElam krimi-kuzWa-rujA-apaham // 11 //
   kṣaumaṃ sneham acākṣuṣyaṃ pittakṛd vātanāśanam /	kzOmam sneham acAkzuzyam pitta-kRt vAta-nASanam /
   ākṣajaṃ kaphapittaghnaṃ keśyaṃ dṛkśrotratarpaṇam // 12 //	Akzajam kaPa-pitta-Gnam keSyam dRS-Srotra-tarpaNam // 12 //
   adhobhāgikam airaṇḍam anyeṣāṃ tilavatsmṛtam //	aDas-BAgikam EraNxam anyezAm tila-vat-smRtam //
   // ity āyurvedamahodadhau suṣeṇakṛte tailavargaḥ //	// iti Ayurveda-mahodaDO suzeNa-kRte tElavargaH //
   atha madhuguṇāḥ kathyante /	aTa maDu-guNAH kaTyante /
   vraṇasā (śo)dhanasaṃdhānaropaṇaṃ vātalaṃ madhu /	vraNasA (So)Dana-saMDAna-ropaNam vAtalam maDu /
   rūkṣaṃ kaṣāyamadhuraṃ tattulyā madhuśarkarā // 1 //	rUkzam kazAya-maDuram tad-tulyAH maDu-SarkarA // 1 //
   tridoṣaghnaṃ madhu proktaṃ anyasyā śrīsaṃnipātalam (?) /	tridoza-Gnam maDu proktam anyasyA SrI-saMnipAtalam (?) /
   hikkāśvāsakaphacchardimadatṛṣṇāviṣāpaham // 2 //	hikkA-SvAsa-kaPa=-Cardi-mada-tRzNA-viza-apaham // 2 //
   kṣaudraṃ jalena saṃyuktaṃ (ati) sthaulye piben naraḥ	kzOdram jalena saMyuktam (ati) sTOlye pibet naraH
   kṛśo bhavati saty āha (prāhā) llekhanaṃ tatra jāyate // 3 //	kRSaH Bavati sati Aha (prAhA) lleKanam tatra jAyate // 3 //
   lepe hitaṃ tatra gudāṅkurāṇāṃ gajoddhavaṃ lehyamahobhivṛddhiḥ (?) /	lepe hitam tatra gudAFkurANAm gaja-udDavam lehyam-ahA-uBivRdDiH (?) /
   sarvo guruś cāpi rasāyanānāṃ kāsāpaho vāpi madhuprayogaḥ // 4 //	sarvaH guruH ca-api rasAyanAnAm kAsa-apahaH vA-api maDu-prayogaH // 4 //
   mehe hitaṃ syān malachardināśaḥ hikkātisāre vraṇakuṣṭhahantā /	mehe hitam syAt mala-Cardi-nASaH hikkA-atisAre vraNa-kuzWa-hantA /
   kaṇḍūvraṇaghno vraṇadīpanānāṃ (pīḍitānāṃ) divyāmṛtaṃ sādhu madhuprayogaḥ	kaNxU-vraNa-GnaH vraNa-dIpanAnAm (pIxitAnAn) divya-amRtam sADu maDu-prayogaH
   (Ap 38)	(Ap 38)
   sthāvaraṃ jaṅgamaṃ vāpi kṛtrimaṃ ca viṣāpaham (viṣaṃ haret) /	sTAvaram jaFgamam vA-api kRtrimam ca viza-apaham (vizam haret) /
   balīpalitanirmuktau dehe tasmin prajāyate // 6 //	balI-palita-nirmuktO dehe tasmin prajAyate // 6 //
   kṣatakṣīṇe hitaṃ caiva pāḍukāmalarogajit /	kzata-kzINe hitam ca-eva pAxukA-mala-roga-jit /
   sthūla kaṣṇo (?) hitaṃ caiva rakte vāpi hitaṃ ca tat // 7 //	sTUla kazNaH (?) hitam ca-eva rakte vA-api hitam ca tat // 7 //
   pāke svādu madhu śreṣṭhaṃ vipāke doṣasaṃyutam /	pAke svAdu maDu SrezWam vipAke doza-saMyutam /
   (tan madhu bhūvi ruddhānāṃ vārīṇāṃ madasaṃbhavam // 8 //	(tat maDu BUvi rudDAnAm vArINAm mada-saMBavam // 8 //
   saṃbhavaḥ krimikīṭānā pippalī madhunā saha /	saMBavaH krimikIwAnA pippalI maDunA saha /
   amlena madhuraṃ svādu tan madhuś cāpi doṣakṛt) (?) // 9 //	amlena maDuram svAdu tat maDuH ca-api doza-kRt) (?) // 9 //
   // idānīṃ ikṣuguṇāḥ kathyante //	// idAnIm ikzu-guNAH kaTyante //
   snigdhaś ca saṃtarpaṇabṛṃhaṇaś ca saṃjīvanaḥ svādurasaḥ śramaghnaṃ /	snigDaH ca saMtarpaNa-bRMhaNaH ca saMjIvanaH svAdu-rasaH Srama-Gnam /
   vṛṣyaś ca pittaśramavātahārī hy antarvidāhī kaphakṛtsitekṣuḥ //	vRzyaH ca pitta-Srama-vAta-hArI hi antar-vidAhI kaPa-kRt-sitekzuH //
   tadvat sakṛṣṇo hi bhaved guṇaiś ca vṛṣyo bhavet tarpaṇadāhahantā /	tadvat sa-kRzNaH hi Bavet guNEH ca vRzyaH Bavet tarpaNa-dAha-hantA /
   sakṣārakiṃcin madhuro rasena śoṣāpahantā vraṇaśophakartā // 2 //	sa-kzAra-kiMcid maDuraH rasena Soza-apahantA vraNa-SoPa-kartA // 2 //
   pāṇḍuko bhīrukaś caiva vārāhaśvetapotakaḥ /	pANxukaH BIrukaH ca-eva vArAha-Sveta-potakaH /
   kāntāras tāpasekṣuḥ syāt kāṣṭhekṣuś ca vicitrakaḥ // 3 //	kAntAraH tApasekzuH syAt kAzWekzuH ca vicitrakaH // 3 //
   nepālo dīpyayantraś ca nīlayo raupyakośakṛt /	nepAlaH dIpyayantraH ca nIlayoH rOpya-koSa-kRt /
   (Ap 39)	(Ap 39)
   ity etā jātayaḥ sthūlā guṇān vakṣyāmy ataḥ param // 4 //	iti etAH jAtayaH sTUlAH guNAn vakzyAmi atas param // 4 //
   suśīto madhuraḥ snigdho bṛṃhaṇaḥ śleṣmavardhanaḥ /	suSItaH maDuraH snigDaH bRMhaNaH Slezma-varDanaH /
   avidāhi gurur vṛṣyaḥ pauṇḍrako bhīrukas tathā // 5 ///	avidAhi guruH vRzyaH pONxrakaH BIrukaH taTA // 5 ///
   anye tulyaguṇāḥ kecit sakṣāro vaṃśako mataḥ /	anye tulya-guNAH kecid sakzAraH vaMSakaH mataH /
   vaṃśavacchvetapauṇḍras tu kiñcid uṣṇaḥ sa vātahā // 6 //	vaMSa-vat-Sveta-pONxraH tu kiQcid uzNaH sa vAta-hA // 6 //
   kāntāras tāpasekṣuḥ syād vaṃśakānugato mataḥ /	kAntAraH tApasekzuH syAt vaMSaka-anugataH mataH /
   evaṃguṇas tu kāṣṭhekṣuḥ sa tu vātaprakopanaḥ // 7 //	evaMguNaH tu kAzWekzuH sa tu vAta-prakopanaH // 7 //
   sūcīpatronilāporonīlāpo (nepālo) dīrghapatrakaḥ /	sUcI-patronila-apaH-ronIlApaH (nepAlo) dIrGapatrakaH /
   vātaghnāḥ kaphapittaghnāḥ sakaṣāyavidāhinaḥ // 8 //	vAta-GnAH kaPa-pitta-GnAH sa-kazAya-vidAhinaH // 8 //
   kośākaro guḍaḥ śīto raktapittakṣayāpahā /	koSAkaraH guxaH SItaH rakta-pitta-kzaya-apahA /
   atīva madhuro mūlo (le) madhye madhura eva ca // 9 //	atIva maDuraH mUlaH (le) maDye maDuraH eva ca // 9 //
   agreṣu (ṣvā) madhuro jñeyaḥ ikṣur ālavaṇaḥ smṛtaḥ /	agrezu (zvA) maDuraH jQeyaH ikzuH AlavaNaH smRtaH /
   kaphakṛccāvidāhī ca raktapittanibarhaṇaḥ // 10 //	kaPa-kRt-ca-avidAhI ca raktapitta-nibarhaNaH // 10 //
   śarkarāsamavīryas tu dantaniṣpīḍito rasaḥ /	SarkarA-sama-vIryaH tu danta-nizpIxitaH rasaH /
   gurur vidāhī viṣṭambhī yāntrikaḥ parikīrtitaḥ // 11 //	guruH vidAhI vizwamBI yAntrikaH parikIrtitaH // 11 //
   eko (pakvo) gurūrasaḥ snigdhaḥ satīkṣṇaḥ kaphavātanut /	ekaH (pakvo) guru-urasaH snigDaH sa-tIkzNaH kaPa-vAta-nud /
   phāṇitaṃ guru madhuraṃ abhiṣyandi ca bṛṃhaṇam // 12 //	PANitam guru maDuram aBizyandi ca bRMhaNam // 12 //
   śukraṃ kaphakaraṃ caiva pittaghnaṃ ca viśeṣataḥ /	Sukram kaPa-karam ca-eva pitta-Gnam ca viSezataH /
   sakṣāro madhuro 'timūtrabahulo raktasya saṃśodhano	sakzAraH maDuraH ati-mUtra-bahulaH raktasya saMSoDanaH-
   medonigrahaṇas tu pittaśamano vātaghnaviṣṭambhanaḥ /	medaH-nigrahaNaH tu pitta-SamanaH vAta-Gna-vizwamBanaH /
   śleṣmāṇaṃ jana(yet*) ca bṛṃhaṇakaro balyaḥ sadā svāsthyakṛt	SlezmANam jana(yet*) ca bRMhaNa-karaH balyaH sadA svAsTyakRt-
   vātaghno viṣamo 'mlapittaśamano 'sevyo 'tireke sadā // 13 / /	vAta-GnaH vizamaH amlapitta-SamanaH asevyaH atireke sadA // 13 / /
   (Ap 40)	(Ap 40)
   matsyaṇḍikādīnāṃ guṇāḥ	matsyaNxikA-AdInAm guNAH
   matsyaṇḍikāyāḥ khaṇḍaḥ śarkarapāvimalonnaro digdhaḥ (?)	matsyaNxikAyAH KaNxaH Sarkara-pAvimala-unnaraH digDaH (?)
   gurur atha madhurottarottarapāko vṛṣyo raktapittavināśakṛt /	guruH aTa maDura-uttara-uttara-pAkaH vRzyaH raktapitta-vinASa-kRt /
   yāvatī śarkarā proktā sarvadāhapraṇāśinī /	yAvatI SarkarA proktA sarva-dAha-praNASinI /
   raktapittapraśamanī chardimūrchā tṛṣāpahā // 15 //	rakta-pitta-praSamanI Cardi-mUrCA tRzA-apahAH // 15 //
   rūkṣo madhūkapuṣpotthaḥ phāṇito vātapittakṛt /	rUkzaH maDUka-puzpa-utTaH PANitaH vAta-pitta-kRt /
   kaphaghno madhuraḥ pāke vipāke vastiśodhanaḥ // 16 //	kaPa-GnaH maDuraH pAke vipAke vasti-SoDanaH // 16 //
   guḍaśarkarayā tulyā vastiśodhanapācanī /	guxa-SarkarayA tulyA vasti-SoDana-pAcanI /
   pittasaṃśamanī caiva raktapittanibarhiṇī // 17 //	pitta-saMSamanI ca-eva raktapitta-nibarhiNI // 17 //
   madhurā śarkarā caiva hidhmātīsāranāśinī /	maDurA SarkarA ca-eva hiDmA-atIsAra-nASinI /
   rūkṣā vivchedanī caiva kaṣāyā madhurāpi ca // 18 //	rUkzA vivCedanI ca-eva kazAyAH maDurA-api ca // 18 //
   ikṣupraśaṃsā tadbhedāś ca /	ikzu-praSaMsA tad-BedAH ca /
   vṛṣyaḥ śītoṣṇapittaṃ śamayati madhuro bṛṃhaṇaḥ śleṣmakāri /	vRzyaH SIta-uzNa-pittam Samayati maDuraH bRMhaNaH Slezma-kAri /
