   Prajñāpāramitopadeśaśāstre	PrajQApAramita upadeSa SAstre
   ātmasattvajīvapudgalocchedaśāśvatanimittahetuskandhadhātvāyatanatraidhātukādhiṣṭhāna saktyālīnacittabuddhadharmasaṃghaśīladṛṣṭyabhiniveśaśūnyatāvivādavirodhodbhāvanāgrahotsṛṣṭayaścetyevaṃ	Atma sattva jIva pudgala ucCeda SASvata nimitta hetu skanDa DAtu Ayatana trEDAtuka aDizWAna  sakti AlIna citta budDa Darma saMGa SIla dRzwi aBiniveSa H 
   viṃśatiprakārakalaṅkāpagamādākṣiptaviparyayadharmeṇa viṃśatiprakāreṇa	viMSati prakAra kalaFka apagamAt Akzipta viparyaya DarmeNa viMSati prakAreNa
   parikarmadharmeṇa pūrvavat saptamī dūraṅgamā bhūmiḥ samīyate /	parikarma DarmeNa pUrvavat saptamI dUraFgamA BUmiH samIyate /
   arthākṣiptadharmatānirdeśāyāha  	arTa Akzipta DarmatA nirdeSAya Aha  
   trivimokṣamukhajñānaṃ trimaṇḍalaviśuddhatā /	tri vimokza muKa jQAnam tri maNxala viSudDa tA /
   karuṇāmananā dharmasamataikanayajñatā // Abhis_1.63 //	karuNA mananAH Darma samata ekanaya jQa tA // ABiH _1.63 //
   anutpādakṣamājñānaṃ dharmāṇāmekadheraṇā /	anutpAda kzama ajQAnam DarmANAm eka DeraNAH /
   kalpanāyāḥ samuddhātaḥ saṃjñādṛkkleśavarjanam // Abhis_1.64 //	kalpanAyAH samudDAtaH saMjQA dRS kleSa varjanam // ABiH _1.64 //
   śamathasya ca nidhyaptiḥ kauśalañca vidarśane /	SamaTasya ca niDyaptiH kOSalaQca vidarSane /
   cittasya dāntatā jñānaṃ sarvatrāpratighāti ca // Abhis_1.65 //	cittasya dAnta tA jQAnam sarvatra apratiGAti ca // ABiH _1.65 //
   sakterabhūmiryatrecchaṃ kṣetrāntaragatiḥ samam /	sakteH aBUmiH yatra icCam kzetra antara gatiH samam /
   sarvatra svātmabhāvasya darśanañceti viṃśatiḥ // Abhis_1.66 //	sarvatra sva Atma BAvasya darSanaQca iti viMSatiH // ABiH _1.66 //
   śūnyatā 'nimittāpraṇihitavimokṣamukhasamyagjñānam, daśakuśalakarmapatheṣu	SUnyatA animitta apraNihita vimokza muKa samyak jQAnam, daSa kuSala karma paTezu
   vadhavadhyaghātakānupalambhādi, sarvasattvālambanakaruṇā,	vaDa vaDya GAtaka anupalamBa Adi, sarva sattva Alambana karuNA,
   vastvanupalambhaḥ, sarvadharmasamatāvabodhaḥ, mahāyānaikayānāvabodhaḥ,	vastu anupalamBaH, sarva Darma samatA avaboDaH, mahAyAna eka yAna avaboDaH,
   anutpādaparijñānam, gambhīradharmanidhyānakṣāntyavagamaḥ, sarvajñeyānāṃ	anutpAda parijQAnam, gamBIra Darma niDyAnakzAnti avagamaH, sarvajQeyAnAm
   mahāyānopāyamukhena prakāśanam, sarvakalpanocchedaḥ,	mahAyAna upAya muKena prakASanam, sarva kalpanA ucCedaH,
   nimittodgrahaṇavikalpābhāvasatkāyādipañcadṛṣṭisantyāgaḥ,	nimitta udgrahaNa vikalpa aBA= a sat kAya Adi paQca dRzwi santyAgaH,
   rāgādikleśavarjanāni, śamathabhāvanā, prajñākauśalyam, cittopaśamaḥ,	rAga Adi kleSa varjanAni, SamaTa BAvanA, prajQA kOSalyam, citta upaSamaH,
   rūpādyapratighātajñānam, abhiniveśāsthānam,	rUpa Adi apratiGAta jQAnam, aBiniveSa AsTAnam ,
   yatheṣṭasamakālabuddhakṣetragamanam, vineyānurūpaṃ sarvatra	yaTezwa sama kAla budDa kzetra gamanam, vineya anurUpam sarvatra
   svakāyaprakāśanamiti viṃśatiprakāreṇānena parikarmadharmeṇāpi pūrvavat	sva kAya prakASanam iti viMSati prakAreNa anena parikarma DarmeNa api pUrvavat 
   saptamī bhūmiḥ samīyate /	saptamI BUmiH samIyate /
   8. acalā bhūmiḥ	8. acalA BUmiH
   sarvasattvamanojñānamabhijñākrīḍanaṃ śubhā /	sarva sattva manaH jQAnam aBijQA krIxanam SuBA /
   buddhakṣetrasya niṣpattirbuddhasevāparīkṣaṇe // Abhis_1.67 //	budDa kzetrasya nizpattiH budDa sevA parIkzaNe // ABiH _1.67 //
   akṣajñānaṃ jinakṣetraśuddhirmāyopamā sthitiḥ /	akza jQAnam jina kzetra SudDiH mAyA upamA sTitiH /
   sañcintya ca bhavādānamidaṃ karmāṣṭaghoditam // Abhis_1.68 //	saQcintya ca Bava AdAnam idam karma azwa Ga uditam // ABiH _1.68 //
   iti / yathāvatsarvasattvacittacaritajñānam, lokadhātau ṛddhyabhijñābhiḥ	iti / yaTAvat sarva sattva citta carita jQAnam, lokaDAtO RdDi aBijQABiH
   krīḍanam, ādhārabuddhakṣetrasuvarṇādibhāvapariṇāmaḥ,	krIxanam, ADAra budDa kzetra suvarNa Adi BAva pariNAmaH,
   sarvākāradharmaparīkṣaṇena buddharāgaṇam, divyacakṣuṣo niṣpattiḥ,	sarva AkAra Darma parIkzaNena budDarAgaNam, divya cakzuzaH nizpattiH,
   ādheyabuddhakṣetrasattvapariśodhanam, sarvatra māyopamatāvasthānam,	ADeya budDa kzetra sattva pariSoDanam, sarvatra mAyA upama tA avasTAnam,
   sarvasattvārthadarśanāda	sarva sattva arTa darSanAt a
   buddhipūrvakajanmagrahaṇañcetyevamaṣṭaprakāradharmeṇa parikarmaṇā	budDi pUrvaka janma grahaNaQca iti evam azwa prakAra DarmeNa parikarmaNA
   pūrvavadaṣṭamī acalā bhūmiranubhūyate /	pUrvavat azwamI acalA BUmiH anuBUyate /
   9. sādhumatī bhūmiḥ	9. sADumatI BUmiH
   praṇidhānānyanantāni devādīnāṃ rūtajñatā /	praNiDAnAni anantAni deva AdInAm rUta jQa tA /
   nadīva pratibhānānāṃ garbhāvakrāntiruttamā // Abhis_1.69 //	nadI iva pratiBAnAnAm garBAvakrAntiH uttamAH // ABiH _1.69 //
   kulajātyośca gotrasya parivārasya janmanaḥ /	kula jAtyoH ca gotrasya parivArasya janmanaH /
   naiṣkramyabodhivṛkṣāṇāṃ guṇapūre svasampadaḥ // Abhis_1.70 //	nEzkramya boDi vRkzANAm guNa pUre sva sampadaH // ABiH _1.70 //
   iti / anantapraṇidhānam, devādisarvasattvarutajñānam,	iti / ananta praNiDAnam, deva Adi sarva sattva ruta jQAnam,
   nadyupamitākṣayapratibhānam, sarvajanapraśastagarbhāvakramaṇam,	nadI upamitA kzaya pratiBAnam, sarva jana praSasta garBO= akramaNam,
   rājādisthānam, ādityādyanvayaḥ, mātrādisusambandhajñātiḥ,	rAja Adi sTAnam, Aditya Adi anvayaH, mAtR Adi su sambanDa jQAtiH,
   svavidheyaparivāraḥ, śakrādyabhinanditotpādaḥ,	sva viDeya parivAraH, Sakra Adi aBinandita utpAdaH,
   buddhādisañcodananiṣkramaṇam, cintāmaṇisadṛśāśvatthavṛkṣādiḥ,	budDa Adi saQcodana nizkramaNam, cintAmaNi sadRSa aSvatTa vRkza AdiH,
   buddhabuddhadharmasvabhāvaguṇaparipūraṇañcetyevaṃ	budDa budDa Darma svaBAva guNa paripUraNaQca iti evam
   sampattilakṣaṇairdvādaśabhiḥ parikarmabhiḥ	sampatti lakzaNEH dvAdaSaBiH parikarmaBiH
   pūrvavatkṛtaparikarmaviśeṣairnavamī sādhumatī bhūmiḥ sākṣātkriyate /	pUrvavat kRta parikarma viSezEH navamI sADumatI BUmiH sAkzAtkriyate /
   10. dharmameghā bhūmiḥ	10. Darma meGAH BUmiH
   hetubhūmitvena tatparikarmāṇyevaṃ nirdiśya phalabhūmitvena pṛthak	hetu BUmi tvena tad parikarmANi evam nirdiSya Pala BUmi tvena pRTak 
   tānyanabhidhāya saṅgrahaṇena daśamabhūmilakṣaṇamāha  	tAni anaBiDAya saFgrahaNena daSama BUmi lakzaNam Aha  
   navabhūmīratikramya buddhabhūmau pratiṣṭhate /	nava BUmIH atikramya budDa BUmO pratizWate /
   yena jñānena sā jñeyā daśamī bodhisattvabhūḥ // Abhis_1.71 //	yena jQAnena sA jQeyA daSamI boDisattva BUH // ABiH _1.71 //
   iti /	iti /
   śrāvakādigotra prathamaphalapratipannaka srota āpanna sakṛdāgāmi anāgāmi arhatāmiti	SrAvaka Adi gotra  praTama Pala pratipannaka srota a Apanna  sakRdAgAmi anA gAmi arhatAm iti
   ṣaṇṇāṃ nayatrayavyavasthāpanābhiprāyeṇa śeṣasaṅgṛhītāpannakatrayasya	zaNNAm naya traya vyavasTApana aBiprAyeNa Seza saFgRhIta Apannaka trayasya
   pratyekabuddhasya ca yathākramaṃ	pratyekabudDasya ca yaTAkramam
   gotra aṣṭamaka darśana tanu vītarāga kṛtavikalpa śrāvaka pratyekabuddhabhūmayaḥ,	gotra  azwamaka darSana tanu vIta rAga  kRta vikalpa  SrAvaka  pratyekabudDa BUmayaH,
   bodhisattvānāṃ yathoktā navavidhetyevaṃ navabhūmīratikramya daśamyāṃ punaḥ	boDisattvAnAm yaTA uktA navaviDA iti evam nava BUmIH atikramya daSamyAm punar 
   bhūmau bodhisattvo buddha eva vaktavyo na tu samyaksambuddha iti vacanāt	BUmO boDisattvaH budDaH eva vaktavyaH na tu samyaksambudDaH iti vacanAt 
   buddhabhūmau yena praṇidhānajñānenāvatiṣṭhate sā eva daśamī	budDa BUmO yena praNiDAna jQAnena avatizWate sA eva daSamI
   bodhisattvabhūmiḥ jñeyā /	boDisattva BUmiH jQeyA /
   (pratipakṣasambhāraḥ)	(pratipakza samBAraH)
   pratipakṣasambhārārthaṃ antaraślokamāha  	pratipakza samBAra arTam antaraSlokam Aha  
   pratipakṣo 'ṣṭadhā jñeyo darśanābhyāsamārgayoḥ /	pratipakzaH azwaDA jQeyaH darSana aByAsa mArgayoH /
   grāhyagrāhakavikalpānāmaṣṭānāmupaśāntaye // Abhis_1.72 //	grAhya grAhaka vikalpAnAm azwAnAm upaSAntaye // ABiH _1.72 //
   iti / sāṃkleśikavastumātrapratipakṣādhiṣṭhānagrāhyavikalpadvayasya	iti / sAMkleSika vastu mAtra pratipakza aDizWAna grAhya vikalpa dvayasya
   dravyapudgalaprajñaptipuruṣādhiṣṭhānagrāhakavikalpadvayasya ca	dravya pudgala prajQapti puruza aDizWAna grAhaka vikalpa dvayasya ca
   darśanamārgabhāvanāmārgayoḥ prahāṇād grāhyagrāhakāṣṭavikalpopaśāntaye	darSana mArga BAvanA mArgayoH prahANAt grAhya grAhaka azwa vikalpa upaSAntaye
   satyadvayamāśritya sākṣātkaraṇīyā vipakṣabhedena mārgadvayāvasthāyāmeva	satya dvayam ASritya sAkzAt karaNIyA vipakza Bedena mArga dvaya avasTAyAm eva
   aṣṭavidhāḥ pratipakṣāḥ /	azwaviDAH pratipakzAH /
   10. niryāṇapratipatiḥ	10. niryANa pratipatiH
   sambhṛtasambhārasyaivaṃ niryāṇamiti niryāṇapratipattiṃ caturthīṃmāha  	samBRta samBArasya evam niryANam iti niryANa pratipattim caturTIMmAha  
   uddeśe samatāyāñca sattvārthe yatnavarjane /	uddeSe samatAyAQca sattva arTe yatna varjane /
   atyantāya ca niryāṇaṃ niryāṇaṃ prāptilakṣaṇam // Abhis_1.73 //	atyantAya ca niryANam niryANam prApti lakzaNam // ABiH _1.73 //
   sarvākārajñatāyāñca niryāṇaṃ mārgagocaram /	sarva AkAra jQa tA yAQca niryANam mArga gocaram /
   niryāṇapratipajjñeyā seyamaṣṭavidhātmikā // Abhis_1.74 //	niryANa pratipad jQeyA sA iyam azwa viDa AtmikAH // ABiH _1.74 //
   iti / yathokta uddeśaḥ , sarvadharmasamatā, sattvārthakaraṇam,	iti / yaTA uktaH uddeSaH , sarva Darma sama tA, sattva arTa karaNam,
   animittasarvakriyākāritvenānābhogaḥ, śāśvatocchedarahitāvasthāviśeṣaḥ,	animitta sarva kriyA kAritvena anABogaH, SASvata ucCeda rahita avasTA viSezaH,
   triyānasarvārthaprāptiḥ, yathoktasarvākārajñatā tadviśiṣṭamārga ityevaṃ	tri yAna sarva arTa prAptiH, yaTA ukta sarva AkAra jQa tA tad viSizwa mArgaH iti evam
   niryātavyavastuṣu prativiśiṣṭānyadharmābhāvena sarvānupalambhatayā	niryAtavya vastuzu prativiSizwAni aDarma aBAvena sarvAn upalamBa tayA
   ebhiraṣṭābhirniryāṇapratipattiḥ aṣṭadhā bhavati /	eBiH azwABiH niryANa pratipattiH azwaDA Bavati /
   iti abhisamayālaṅkāre nāma prajñāpāramitāśāstre prathamādhikāravṛttiḥ /	iti aBisamaya alaFkAre nAma prajQApAramitA SAstre praTama aDikAra vRttiH /
   Mārgajñatādhikāraḥ dvitīyaḥ	MArgajQa tA aDikAraH dvitIyaH
   1   dhyāmīkaraṇatādīni	1  DyAmIkaraNa tA AdIni
   sarvākārajñatādhigamo na vinā mārgajñatāparijñāneneti mārgajñatāmāha  	sarva AkAra jQa tA aDigamaH na vinA mArga jQa tA parijQAnena iti mArga jQa tAm Aha  
   dhyāmīkaraṇatā bhābhirdevānāṃ yogyatāṃ prati /	DyAmIkaraNa tA BABiH devAnAm yogya tAm prati /
   viṣayo niyato vyāptiḥ svabhāvastasya karma ca // Abhis_2.1 //	vizayaH niyataH vyAptiH svaBAvaH tasya karma ca // ABiH _2.1 //
   mārgajñatotpattiṃ prati yogyatāpādanāya devādīnāṃ	mArga jQa tA utpattim prati yogyatA ApAdanAya deva AdInAm
   svakarmajaprabhāyāstathāgataprakṛtiprabhābhirmalinīkaraṇatā	sva karma ja praBAyAH taTAgata prakRti praBABiH malinIkaraNa tA
   nihatamānasantāne 'dhigama utpadyata iti jñāpanāya kṛtā, ato	nihata mAna santAne aDigamaH utpadyate iti jQApanAya kRtA, atas 
   vakroktyādhāraḥ kathitaḥ / sa cotpāditabodhicitta eveti viṣayapratiniyato	vakra ukti ADAraH kaTitaH / sa ca utpAdita boDi cittaH eva iti vizaya pratiniyataH 
   bhavati / triyānavyavasthānamābhiprāyikam, na lākṣaṇikamiti	Bavati / tri yAna vyavasTAnam ABiprAyikam, na lAkzaNikam iti
   nyāyādanuttarasamyaksambodhiparyavasāna eva sarvo jana ityato	nyAyAt anuttara samyaksamboDi paryavasAnaH eva sarvaH janaH iti atas 
   vītarāgetarayogināpi buddhatvaprāptaye mārgajñatā bhāvanīyeti	vIta rAga itara yoginA api budDa tva prAptaye mArga jQa tA BAvanIyA iti
   vyāptirbhavati / sattvārthakaraṇapravṛttatvenotpāditabodhicittasya	vyAptiH Bavati / sattva arTa karaNa pravRtta tvena utpAdita boDi cittasya
   sarvathā kleśāprahāṇamiti svabhāvo bhavati / tādṛśasvabhāvasya	sarvaTA kleSa aprahANam iti svaBAvaH Bavati / tAdRSa svaBAvasya
   bhūtakoṭerasākṣātkaraṇena prayopāyakauśalena cāparigṛhītasattvasya	BUtakoweH asAkzAt karaNena prayopAya kOSalena ca aparigRhIta sattvasya
   parigrahaṇādineti kāritram /	parigrahaNa AdinA iti kAritram /
   2   śrāvakamārgaḥ	2  SrAvaka mArgaH
   ādhārādikamevamamidhāya mārgajñatādhikāre sarve mārgāḥ paripūrayitavyā iti	ADAra Adikam evam amiDAya mArga jQa tA aDikAre sarve mArgAH paripUrayitavyAH iti
   śrāvakamārgamāha  	SrAvaka mArgam Aha  
   caturṇāmāyasatyānāmākārānupalambhataḥ /	caturNA mAyasatyAnAm a AkAra anupalamBataH /
   śrāvakāṇāmayaṃ mārgo jñeyo mārgajñatānaye // Abhis_2.2 //	SrAvakANa Amayam mArgaH jQeyaH mArga jQa tA naye // ABiH _2.2 //
   iti / tatra duḥkhasatyasyānukrameṇa anityaṃ duḥkhaṃ śūnyamanātmetyetāni	iti / tatra duHKa satyasya anukrameNa anityam duHKam SUnyam anAtmA iti etAni
   catvāri śāntākāralakṣaṇāni /	catvAri SAnta AkAra lakzaNAni /
   samudayasatyasya hetu samudaya prabhava pratyayarūpatvena	samudaya satyasya hetu  samudaya  praBava  pratyaya rUpa tvena
   roga gaṇḍa śalya aghākārāḥ /	roga  gaNxa  Salya  aGa AkArAH /
   nirvide virāgāya nirodhāya ca pratipanno bhavatītyatastayoḥ	nirvide virAgAya niroDAya ca pratipannaH Bavati iti atas tayoH
   duḥkhasamudayayoḥ pratyekaḥ para pralopadharmasvarūpau nirvidākārau,	duHKa samudayayoH pratyekaH para  pralopa Darma svarUpO nirvidAkArO,
   cala prabhaṅgurasvarūpau virāgākārau; bhaya upasarga upadravasvarūpā	cala  praBaFgura svarUpO virAga AkArO; Baya  upasarga  upadrava svarUpA
   nirodhākārāḥ / nirodhasatyasya	niroDa AkArAH / niroDa satyasya
   nirodharūpa nirātma śānta praṇītarūpavivikta niryāṇarūpaśūnyānimittāpraṇihitānabhisaṃskārā	niroDa rUpa nirAtma  SAnta  praNIta rUpa vivikta  niryANa rUpa SUnyA nimitta apraNihita anaBisaMskArA
   nirodhasatyākārāḥ /	niroDa satya AkArAH /
   mārgasatyasya mārga nyāya pratipatti nairyāṇikā iti mārgasatyākārāḥ /	mArga satyasya mArga nyAya  pratipatti nEryANikAH iti mArga satya AkArAH /
   tataścaiṣāṃ svabhāvānupalambhabhāvanayā mārgajñatādhikāre śrāvakāṇāṃ mārgo	tatas ca ezAm svaBAva anupalamBa BAvanayA mArga jQa tA aDikAre SrAvakANAm mArgaH 
   bodhisatvenaivaṃ parijñeyaḥ /	boDisatvena evam parijQeyaH /
   nirvedhabhāgīyādhigamapūrvakaṃ catuḥsatvaparijñānamiti mārgamamidhāya	nirveDa BAgIya aDi gama pUrvakam catur satva parijQAnam iti mArgam amiDAya
   nirvedhabhāgīyamāha 	nirveDa BAgIyam Aha 
   rūpādiskandhaśūnyatvācchūnyatānāmabhedataḥ /	rUpa Adi skanDa SUnya tvAt SUnyatAnAm a BedataH /
   ūṣmāṇo 'nupalambhena teṣāṃ mūrdhagataṃ matam // Abhis_2.3 //	UzmANaH anupalamBena tezAm mUrDa gatam matam // ABiH _2.3 //
   kṣāntayasteṣu nityādigosthānaniṣedhataḥ /	kzAntayaH tezu nitya Adi gosTAna nizeDataH /
   daśa bhūmīḥ samārabhya vistarāsthānadeśanāt // Abhis_2.4 //	daSa BUmIH samAraBya vistara AsTAna deSanAt // ABiH _2.4 //
   agradharmagataṃ proktamāryaśrāvakavartmani /	agra Darma gatam proktam Arya SrAvaka vartmani /
   tatkasya hetorbuddhena buddhvā dharmāsamīkṣaṇāt // Abhis_2.5 //	tat kasya hetoH budDena budDvA Darma asam IkzaNAt // ABiH _2.5 //
   rūpādiskandhānāṃ svasvarūpaśūnyatvācchūnyatānāmabhedena, rūpādīnāṃ	rUpa Adi skanDAnAm sva svarUpa SUnya tvAt SUnyatAnAm aBedena, rUpa AdInAm
   pūrvavadanupambhena, evaṃ rūpādīnāṃ 'na nityaṃ nānityam'	pUrvavat anupamBena, evam rUpa AdInAm ana nityam na anityam a
   ityupalambhayogataḥ sthānaniṣedhena, yasmāt tathāgatena	iti upalamBa yogataH sTAna nizeDena, yasmAt taTAgatena
   bodhimabhisambudhya dharmā na samīkṣitā iti	boDim aBisambuDya DarmAH na samIkzitAH iti
   pramāṇapuruṣādarśanakāraṇopapattyā pramuditabhūmyādau	pramANa puruza adarSana kAraNa upapattyA pramudita BUmi AdO
   vistarāsthānadeśanayā ceti ebhirākārairyathākramaṃ satyānāmupalabdhau	vistara AsTAna deSanayA ca iti eBiH AkArEH yaTAkramam satyAnAm upalabDO
   nirvedhabhāgīyā utpadyante /	nirveDa BAgIyAH utpadyante /
   3   pratyekabuddhamārgaḥ	3  pratyekabudDa mArgaH
   śrāvakamārgānantaraṃ pratyekabuddhānāṃ mārgābhidhāne nyāyaprāpte 'pi	SrAvaka mArga anantaram pratyekabudDAnAm mArga aBiDAne nyAya prApte api
   śrāvakebhyaḥ kathaṃ prativiśiṣṭāste yena teṣāṃ mārgabheda ityāśaṅkya	SrAvakeByaH kaTam prativiSizwAH te yena tezAm mArga BedaH iti ASaFkya
   vaiśiṣṭyapratipādanārthaṃ tāvadāha  	vESizwya pratipAdana arTam tAvat Aha  
   paropadeśavaiyarthyaṃ svayambodhāt svayambhuvām /	para upadeSa vEyarTyam svayamboDAt svayamBuvAm /
   gambhīratā ca jñānasya khaḍgānāmabhidhīyate // Abhis_2.6 //	gamBIra tA ca jQAnasya KaxgAnAm aBiDIyate // ABiH _2.6 //
   iti / śrāvakāḥ paropadeśasāpekṣāḥ svabodhiṃ budhyante;	iti / SrAvakAH para upadeSa sApekzAH sva boDim buDyante;
   sālāpadharmadeśanayā ca parānapi kuśale pravartayantītyāgamaḥ /	sa AlApa Darma deSanayA ca parAn api kuSale pravartayanti iti AgamaH /
   pratyekabuddhāḥ punaḥ svayaṃ pūrvaśrutādyabhisaṃskāreṇa paropadeśaṃ	pratyekabudDAH punar svayam pUrva Sruta Adi aBisaMskAreNa para upadeSam
   pratyanapekṣāḥ svabodhisamadhigacchantyatasteṣāṃ	pratyanapekzAH sva boDisamaDigacCanti atas tezAm
   buddhādyupadeśanairarthakyamityekaṃ vaiśiṣṭyam /	budDa Adi upadeSa nEH arTakyam iti ekam vESizwyam /
   śabdoccāraṇadharmadeśanayā śrotṛbhiḥ kriyate vaktṛjñānasāmarthyāvabodhaḥ /	Sabda uccAraNa Darma deSanayA SrotRBiH kriyate vaktR jQAna sAmarTya avaboDaH /
   te (pratyekabuddhāḥ) punaḥ aśabdoccāraṇadharmadeśanayā	te (pratyekabudDAH) punar aSabda uccAraNa Darma deSanayA
   svādhigatajñānādisāmarthyena parān daśakuśalādau pravartayantyatasteṣāṃ	svADi gata jQAna Adi sAmarTyena parAn daSa kuSala AdO pravartayanti atas tezAm
   jñānasyānavabodhatayā dvitīyaṃ vaiśiṣṭyamiti /	jQAnasya anavaboDa tayA dvitIyam vESizwyam iti /
   kathamaśabdoccāraṇadharmadeśanetyāśaṃkyāha  	kaTam aSabda uccAraNa Darma deSanA iti ASaMkyAha  
   śuśrūṣā yasya yasyārthe yatra yatra yathā yathā /	SuSrUzA yasya yasya arTe yatra yatra yaTA yaTA /
   sa so 'rthaḥ khyātyaśabdo 'pi tasya tasya tathā tathā // Abhis_2.7 //	sa saH arTaH KyAti aSabdaH api tasya tasya taTA taTA // ABiH _2.7 //
   iti / nāvitarkya nāvicārya vācaṃ bhāṣata ityālāpo vikṣepaḥ / sa ca	iti / na avitarkya na avicArya vAcam BAzate iti AlApaH vikzepaH / sa ca
   santānakṣobhamādadhātīti yathā yathā bodhisattvena 'buddho bhūtvā	santAna kzoBam AdaDAti iti yaTA yaTA boDisattvena abudDaH BUtvA
   ālāpamantareṇa dharmadeśanāṃ kuryām' iti praṇidhānaṃ pravartitam, tathā	AlApam antareNa Darma deSanAm kuryAm a iti praNiDAnam pravartitam, taTA
   buddhatvasāmyāt pratyekabuddhāvasthāyāñca praṇidhānādisāmarthyena	budDatva sAmyAt pratyekabudDa avasTAyAQca praNiDAna Adi sAmarTyena
   yasminnarthe yena prakāreṇa yasya śravaṇecchā, tasya vijñāne tenaiva	yasmin= arTe yena prakAreNa yasya SravaNa icCA, tasya vijQAne tena eva
   prakāreṇa aśabdo 'pi so 'rthaḥ pratibhātītyaśabdadharmadeśanocyate /	prakAreNa aSabdaH api saH arTaH pratiBAti iti aSabda Darma deSanA ucyate /
   ityevaṃ vakṣyamāṇadharmasya śrotṛvijñāne sunirmāṇamutpādaścetyayaṃ bhavati	iti evam vakzyamANa Darmasya SrotR vijQAne su nirmANam utpAdaH ca iti ayam Bavati
   dharmadeśanā śabdārthaḥ /	Darma deSanA Sabda arTaH /
   vaiśiṣṭyamevamabhidhāya viśiṣṭānāṃ viśiṣṭa eva mārga iti	vESizwyam evam aBiDAya viSizwAnAm viSizwaH eva mArgaH iti
   prakṛtapratyekabuddhamārgamāha  	prakRta pratyekabudDa mArgam Aha  
   grāhyārthakalpanāhānād grāhakasyāprahāṇataḥ /	grAhya arTa kalpanA AhAnAt grAhakasya aprahANataH /
   ādhārataśca vijñeyaḥ khaḍgamārgasya saṅgrahaḥ // Abhis_2.8 //	ADArataH ca vijQeyaH Kaxga mArgasya saFgrahaH // ABiH _2.8 //
   ityuktam / pratyekabuddhasya mārgaḥ yathoktasatyabhāvanayā eva,	iti uktam / pratyekabudDasya mArgaH yaTA ukta satyaBAvanayA eva,
   yathāavastu pratītyasamutpādabhāvanayā ca /	yaTAavaH tu pratItyasamutpAda BAvanayA ca /
   grāhyagrāhakārthavikalpayoryathākramaṃ prahāṇāprahāṇe	grAhya grAhaka arTa vikalpayoH yaTAkramam prahANa aprahANe
   pratyekabuddhayānasaṅgṛhītādhāradharmavastuno	pratyekabudDa yAna saFgRhIta ADAra Darma vastunaH 
   viśeṣaviśiṣṭadharmādhigamaśca bodhisattvena parijñeyo na	viSeza viSizwa Darma aDigamaH ca boDisattvena parijQeyaH na
   sarvākārajñāneneti pratyekabuddhamārgaḥ /	sarva AkAra jQAnena iti pratyekabudDa mArgaH /
   nirvedhabhāgīyādhigame sati yathoktamārga utpadyata iti	nirveDa BAgIya aDigame sati yaTA ukta mArgaH utpadyate iti
