   // śrīḥ //	// SrIH //
   // Āryamañjuśrīmūlakalpam /	// Ārya maQju SrI mUla kalpam /
   sādhanīyamimaṃ kalparājavisaraṃ	sADanIyam imam kalpa rAja visaram
   mantrapratibhāṣayuktajyeṣṭhapaṭāgrasamīpasthasarvalaukikalokottaramantrakalpasarvatantreṣu	mantra pratiBAza yukta jyezWa pawa agra samIpa sTa sarva lOkika loka uttara mantra kalpa sarva tantrezu
   vidhimārgeṇa saṃkṣepato ihānyakalpabhāṣitairapi karmabhiḥ sādhanīyo 'yaṃ	viDi mArgeNa saMkzepataH iha anya kalpa BAzitEH api karmaBiH sADanIyaH ayam
   paṭarājā / āśusteṣāṃ mantrāṇāṃ siddhirbhavatīti yanmayā kathitaṃ	pawa rAjAH / ASuH tezAm mantrANAm sidDiH Bavati iti yat mayA kaTitam
   tadavaśyaṃ sidhyatīti //	tat avaSyam siDyati iti //
   bodhisattvapiṭakāvataṃsakād mahāyānavaipulyasūtrād	boDisattva piwaka avataMsakAt mahAyAna vEpulya sUtrAt 
   āryamañjuśriyamūlakalpād daśamaḥ uttamapaṭavidhānapaṭalavisaraḥ	Arya maQju Sriya mUla kalpAt daSamaH uttama pawa viDAna pawala visaraH
   parisamāptaḥ //	parisamAptaH //
   (Vaidya 66)	(VEdyaH 66)
   Athaikādaśaḥ paṭalavisaraḥ /	ATa ekAdaSaH pawala visaraH /
   atha khalu bhagavān śākyamuniḥ punarapi śuddhāvāsabhavanamavalokya	aTa Kalu BagavAn SAkya muniH punar api SudDAvAsa Bavanam avalokya
   mañjuśriyaṃ kumārabhūtamāmantrayate sma / asti mañjuśrīḥ tvadīyeṃ	maQju Sriyam kumAra BUtam Amantrayate sma / asti maQjuSrIH tvadIyem
   madhyamaṃ paṭavidhānaṃ madhyamakarmopayikasādhanavidhiḥ samāsato tāṃ	maDyamam pawa viDAnam maDyama karma upayika sADana viDiH samAsatas tAm
   bhāṣiṣye / taṃ śṛṇu / sādhu ca suṣṭhu ca manasi kuru / bhāṣiṣye / atha	BAzizye / tam SRNu / sADu ca suzWu ca manasi kuru / BAzizye / aTa
   khalu mañjuśrīḥ kumārabhūto bhagavantamevamāhaḥ   tad vadatu bhagavāṃ	Kalu maQjuSrIH kumAra BUtaH Bagavantam evam AhaH  tat vadatu BagavAn
   lokānukampako śāstā sarvasattvahite rataḥ / yasyedānīṃ kālaṃ manyase /	loka anukampakaH SAstA sarva sattva hite rataH / yasya idAnIm kAlam manyase /
   asmākamanukampārthamanāgatānāṃ ca janatāmavekṣya /	asmAkam anukampA arTam anAgatAnAm ca janatAm avekzya /
   evamukte bhagavāṃ mañjuśriyā kumārabhūtena bhagavānetadavocat   śṛṇu	evam ukte BagavAm maQju SriyA kumAra BUtena BagavAn etat avocat  SRNu
   mañjuśrīḥ ādau tāvad śīlavrataśaucācāraniyamajapahomadhyānavidhiṃ yatra	maQjuSrIH AdO tAvat SIla vrata SOca AcAra niyama japa homa DyAna viDim yatra
   pratiṣṭhitā sarvamantracaryāsādhanakarmāṇyavandhyāni bhavanti saphalāni /	pratizWitA sarva mantra caryA sADana karmANi avanDyAni Bavanti sa PalAni /
   āśu ca sarvamantracaryāsādhanakarmānyavandhyāni bhavanti saphalāni / āśu	ASu ca sarva mantra caryA sADana karma anya vanDyAni Bavanti sa PalAni / ASu
   ca sarvamantraprayogāni siddhiṃ gacchanti / katamaṃ ca tat / bhāṣiṣye 'haṃ	ca sarva mantra prayogAni sidDim gacCanti / katamam ca tat / BAzizye aham
   śṛṇu kumāra //	SRNu kumAraH //
   ādau tāvad vidyāvrataśīlacaryāsamādānaṃ prathamata eva samādadet /	AdO tAvat vidyA vrata SIla caryA samAdAnam praTamatas eva samAdadet /
   prathamaṃ tāvanmaṇḍalācāryopadeśanasamayamanupraviśet / tvadīyaṃ	praTamam tAvat maNxala AcArya upadeSana samayam anupraviSet / tvadIyam
   kalparājoktaṃ vyaktaṃ medhāvinaṃ labdhvācāryābhiṣekatvaṃ śāsanābhijñaṃ	kalpa rAja uktam vyaktam meDAvinam labDvA AcArya aBizeka tvam SAsana aBijQam
   kuśalaṃ vyaktaṃ dhārmikaṃ satyavādinaṃ mahotsāhaṃ kṛtajñaṃ dṛḍhasauhṛdaṃ	kuSalam vyaktam DArmikam satya vAdinam mahA utsAham kRtajQam dRXa sOhRdam
   nātivṛddhaṃ nātibālaṃ nispṛhaṃ sarvalābhasatkāreṣu brahmacāriṇaṃ kāruṇikaṃ	na ati vRdDam na ati bAlam nispRham sarva lABa satkArezu brahmacAriNam kAruNikam
   na lobhamātreṇa bhogahetorvā anunayahetorvā na mṛṣāṃ vadate kaḥ purnarvādo	na loBa mAtreNa Boga hetoH vA anunaya hetoH vA na mRzAm vadate kaH purnarvAdaH 
   svalpamātraiṇaiva lobhamohaprakāraiḥ dṛḍhapratijñā samatā sarvabhūteṣu	su alpa mAtra eNA eva loBa moha prakArEH dRXa pratijQA sama tA sarva BUtezu
   dayāvāṃ dānaśīlaḥ kṛtapuraścaraṇaḥ tvadīyaguhyamantrānujāpī	dayAvAm dAna SIlaH kRta puraScaraNaH tvadIya guhya mantra anujApI
   pūrvasevakṛtavidyaḥ tvadīyamaṇḍalasamanupūrvapraviṣṭaḥ lokajñaḥ vidhijñaḥ	pUrva seva kRta vidyaH tvadIya maNxala samanupUrva pravizwaH loka jQaH viDi jQaH
   samanugrāhakaḥ kāryāvāṃ vicakṣaṇaḥ śreyasapravṛttaḥ abhīru	samanugrAhakaH kAryAvAm vicakzaNaH Sreyasa pravRttaH aBIru
   acchambhinamamaṅkubhūtaḥ dṛḍhavīryaḥ avyādhitaḥ yena vyādhinā akarmaśīlī	acCamBi namam aFku BUtaH dRXa vIryaH avyADitaH yena vyADinA akarma SIlI
   mahoccakulaprasūtaśceti / ebhirguṇairyukto maṇḍalācāryo bhavati //	mahA ucca kula prasUtaH ca iti / eBiH guNEH yuktaH maNxala AcAryaH Bavati //
   sādhakaśca tatsamaḥ nyūno vā kiñcidaṅgaiḥ tādṛśaṃ maṇḍalācāryamabhyarthya	sADakaH ca tad samaH nyUnaH vA kiQcid aFgEH tAdRSam maNxala AcAryam aByarTya
   prārthayet / icchāmyācāryeṇa mahābodhisattvasya kumārabhūta	prArTayet / icCAmi AcAryeNa mahA boDisattvasya kumAra BUta 
   syāryamañjuśriyasya samayamanupraviṣṭum / tad vadatvācāryo	sya Arya maQju Sriyasya samayam anupravizwum / tat vadatu a AcAryaH 
   'smākamanukampārthaṃ hitacitto dayāvāṃ / tatastena maṇḍalācāryeṇa	asmAkam anukampA arTam hita cittaH dayAvAm / tatas tena maNxala AcAryeNa
   pūrvanirdiṣṭena vidhinā śiṣyāṃ yathāpūrvaṃ parīkṣya praveśayet /	pUrva nirdizwena viDinA SizyAm yaTApUrvam parIkzya praveSayet /
   pūrvavadabhiṣekaṃ dattvā, mantraṃ dadyāt / yathāvat kramaśo samayaṃ	pUrvavat aBizekam dattvA, mantram dadyAt / yaTAvat kramaSas samayam
   darśayet / rahasyatantramudrākarmāṇi ca prabhūtakālenaiva suparīkṣya	darSayet / rahasya tantra mudrA karmANi ca praBUta kAlena eva su parIkzya
   āśayaṃ jñātvā darśayet / sarvatantramantrādiṣu karmāṇi nānyeṣāmiti	ASayam jQAtvA darSayet / sarva tantra mantra Adizu karmANi na anyezAm iti
   vidhireṣā prakīrttitā / tataḥ śiṣyeṇa maṇḍalācāryasya yathāśaktitaḥ ācāryo	viDiH ezA prakIrttitA / tatas SizyeNa maNxala AcAryasya yaTASaktitaH AcAryaH 
   vā yena tuṣyeta, ātmānaṃ bhogāṃśca pratipādayet / tatastena maṇḍalācāryeṇa	vA yena tuzyeta, AtmAnam BogAn= ca pratipAdayet / tatas tena maNxala AcAryeNa
   putrasaṃjñā upasthāpayitavyā / putravat pratipattavyam / mātuśca bhogā	putra saMjQA upasTApayitavyA / putra vat pratipattavyam / mAtuH ca BogA
   upasaṃhartavyā iti /	upasaMhartavyAH iti /
   tatastena sādhakena anyatamaṃ mantraṃ gṛhītvā ekāntaṃ gatvā pūrvanirdiṣṭe	tatas tena sADakena anyatamam mantram gRhItvA ekAntam gatvA pUrva nirdizwe
   sthāne peyālaṃ taireva mantraiḥ	sTAne peyAlam tEH eva mantrEH
   āhvānanavisarjanapradīpagandhadhūpabalinivedyaṃ maṇḍaloktena vidhinā	Ahva Anana visarjana pradIpa ganDa DUpa bali nivedyam maNxala uktena viDinA
   vistareṇa karttavyam / āhūya arghamāsanaṃ dattvā trisandhyā trisnāyī	vistareNa karttavyam / AhUya arGam Asanam dattvA trisanDyA tri snAyI
   tricailaparivartī jāpaṃ (Vaidya 67) kuryāt pratyahaṃ tatra sandhyākālaṃ	tricEla parivartI jApam (VEdyaH 67) kuryAt pratyaham tatra sanDyA kAlam
   nāma rātryantāt prabhṛti yāvad yugamātrādityodayam / atrāntare prathamaṃ	nAma rAtrI antAt praBRti yAvat yuga mAtra Aditya udayam / atra antare praTamam
   sandhyamucyate / madhyandine ca āditye ubhayānte yugamātraṃ pramāṇaṃ	sanDyam ucyate / maDyandine ca Aditye uBaya ante yuga mAtram pramANam
   vyomni sanniśritaṃ ravimaṇḍalaṃ madhyaṃ sandhyamucyate / astamanakāle ca	vyomni sanniSritam ravi maNxalam maDyam sanDyam ucyate / astam ana kAle ca
   yugamātraśeṣaṃ tritīyaṃ sandhyamucyata iti //	yuga mAtra Sezam tritIyam sanDyam ucyate iti //
   śīlavratasamāyuktamācāryaṃ dakṣapaṇḍitam /	SIla vrata samAyuktam AcAryam dakza paNxitam /
   mahākuloccaprasūtaṃ ca dṛḍhavīryaṃ tu sarvataḥ // Mmk_11.1 //	mahA kula ucca prasUtam ca dRXa vIryam tu sarvatas // Mmc _11.1 //
   mantratantrābhiyuktaṃ ca sarvakāryeṣu dakṣadhīḥ /	mantra tantra aBiyuktam ca sarva kAryezu dakza DIH /
   sūkṣmo nipuṇamantrajñaḥ dharmadhātudharo sadā // Mmk_11.2 //	sUkzmaH nipuNa mantra jQaH DarmaDAtu DaraH sadA // Mmc _11.2 //
   mahotsāhī ca tejasvī lokadharmānupekṣiṇaḥ /	mahA utsAhI ca tejasvI loka DarmAnupekziNaH /
   śrāddho munivaradharmo 'smiṃ laukikānāṃ tu varjitāḥ // Mmk_11.3 //	SrAdDaH muni vara DarmaH asmim lOkikAnAm tu varjitAH // Mmc _11.3 //
   kṛtajāpī vivekajño pūrvasevānusevinaḥ /	kRta jApI viveka jQaH pUrva sevA anusevinaH /
   mantrajño mañjughoṣasya dṛṣṭapratyayatatparaḥ // Mmk_11.4 //	mantra jQaH maQjuGozasya dRzwa pratyaya tatparaH // Mmc _11.4 //
   laukikānāṃ prayogajño mantrāṇāṃ buddhabhāṣitām /	lOkikAnAm prayoga jQaH mantrANAm budDa BAzitAm /
   kṛtarakṣo dṛḍhasthāmo śaucācārarataḥ sadā // Mmk_11.5 //	kRta rakzaH dRXasTAmaH SOca AcAra rataH sadA // Mmc _11.5 //
   buddhopadeśitaṃ mārgamanuvarttī ca sarvataḥ /	budDa upadeSitam mArgam anuvarttI ca sarvatas /
   udyukto mantrajāpe 'smiṃ praśaste jinavarṇite // Mmk_11.6 //	udyuktaH mantra jApe asmim praSaste jina varNite // Mmc _11.6 //
   dṛṣṭakarmaphale nityaṃ paralokeṃ tathaiva ca /	dRzwa karma Pale nityam para lokem taTA eva ca /
   bhīruḥ syāt sarvapāpānāmaṇumātraṃ tathaiva ca /	BIruH syAt sarva pApAnAm aNu mAtram taTA eva ca /
   śucirdakṣonyanalasaḥ meghāvī priyadarśanaḥ // Mmk_11.7 //	SuciH dakzoni analasaH meGAvI priya darSanaH // Mmc _11.7 //
   daśabalaiḥ kathitā mantrāstathaiva jinasūnubhiḥ /	daSa balEH kaTitAH mantrAH taTA eva jina sUnuBiH /
   laukikā ye ca mantrā vai vajrāntakulayorapi /	lOkikAH ye ca mantrAH vE vajra anta kulayoH api /
   teṣāṃ kṛtaśramo nityaṃ granthaśāstrārthadhārakāḥ // Mmk_11.8 //	tezAm kRta SramaH nityam granTa SAstra arTa DArakAH // Mmc _11.8 //
   avyādhito naśaktiṣṭho jarābālyovivarjitaḥ /	avyADitaH na SaktizWaH jarA bAlyaH vivarjitaH /
   siddhamantro tathārakṣo āśukārī tu sarvataḥ // Mmk_11.9 //	sidDa mantraH taTA ArakzaH ASukArI tu sarvatas // Mmc _11.9 //
   adīrghasūtrī tathā mānī iṅgitajño viśeṣataḥ /	adIrGasUtrI taTA mAnI iFgita jQaH viSezataH /
   brahmacāri mahāprajño ekākīcarasaṅgakṛt // Mmk_11.10 //	brahmacAri mahA prajQaH ekAkIcarasaFga kRt // Mmc _11.10 //
   labdhābhiṣeko śūraśca tantre 'smin mañjubhāṣite /	labDa aBizekaH SUraH ca tantre asmin maQju BAzite /
   kṛtajāpāntakṛdyukto kṛtavidyo tathaiva ca // Mmk_11.11 //	kRta jApa anta kRt yuktaH kRtavidyaH taTA eva ca // Mmc _11.11 //
   mahānubhāvo lokajño gatitattvānucintakaḥ /	mahA anuBAvaH loka jQaH gati tattva anucintakaH /
   śreyasāyaiva prayuktaśca dātā bhūtahite rataḥ // Mmk_11.12 //	SreyasAya eva prayuktaH ca dAtA BUta hite rataH // Mmc _11.12 //
   tathā viśiṣṭo ācāryo prārthanīyo sadā tu vai /	taTA viSizwaH AcAryaH prArTanIyaH sadA tu vE /
   likhitaṃ tena mantrāṇāṃ maṇḍalaṃ siddhimarchati // Mmk_11.13 //	liKitam tena mantrANAm maNxalam sidDim arCati // Mmc _11.13 //
   abhiṣekaṃ tu tenaivaṃ dattaṃ bhavati mahat phalam /	aBizekam tu tena evam dattam Bavati mahat Palam /
   siddhikāmastu śiṣyairvā pūjyo 'sau munivat sadā // Mmk_11.14 //	sidDi kAmaH tu SizyEH vA pUjyaH asO muni vat sadA // Mmc _11.14 //
   (Vaidya 68)	(VEdyaH 68)
   alaṅghyaṃ tasya vacanaṃ śiṣyaiḥ kartavya yatnataḥ /	alaFGyam tasya vacanam SizyEH kartavya yatnatas /
   bhogāstasya dātavyāḥ yathāvibhavasambhavāḥ // Mmk_11.15 //	BogAH tasya dAtavyAH yaTA viBava samBavAH // Mmc _11.15 //
   svalpamātrā prabhūtā vā yena vā tuṣṭi gacchati /	su alpa mAtrA praBUtAH vA yena vA tuzwi gacCati /
   kāyajīvitahetvartthaṃ cittaṃ dehaṃ yathā pituḥ // Mmk_11.16 //	kAya jIvita hetvartTam cittam deham yaTA pituH // Mmk _11.16 //
   tathaiva śiṣyo dharmajño ācāryāya dade dhanam /	taTA eva SizyaH Darma jQaH AcAryAya dade Danam /
   prāpnuyād yaśaḥ siddhiṃ āyurārogyameva tu // Mmk_11.17 //	prApnuyAt yaSaH sidDim AyuH Arogyam eva tu // Mmc _11.17 //
   puṣkalaṃ gatimāpnoti śiṣyo pūjyastu ta gurum /	puzkalam gatim Apnoti SizyaH pUjyaH tu ta gurum /
   mantrāstasya ca sidhyanti vidhimārgopadarśanāt // Mmk_11.18 //	mantrAH tasya ca siDyanti viDi mArga upadarSanAt // Mmc _11.18 //
   sevanād bhajanād teṣāṃ mānanā pūjanādapi /	sevanAt BajanAt tezAm mAnanA pUjanAt api /
   tuṣyante sarvabuddhāstu tathaiva jinavarātmajāḥ // Mmk_11.19 //	tuzyante sarva budDAH tu taTA eva jina vara AtmajAH // Mmc _11.19 //
   sarve devāstu tuṣyante satkriyā tu gurau sadā /	sarve devAH tu tuzyante satkriyA tu gurO sadA /
   etat kathitaṃ sarvaṃ gurūṇāṃ mantradarśinām // Mmk_11.20 //	etat kaTitam sarvam gurUNAm mantra darSinAm // Mmc _11.20 //
   samayānupraveśināṃ pūrvaṃ prathamaṃ vā sādhakena tu /	samaya anupraveSinAm pUrvam praTamam vA sADakena tu /
   jano vā tatsamo vāpi utkṛṣṭo vā bhaved yadi // Mmk_11.21 //	janaH vA tad samaH vA api utkRzwaH vA Bavet yadi // Mmc _11.21 //
   nāvamanyo gururnityaṃ mekādvā adhiko 'pi vā /	na avamanyaH guruH nityam mekAt vA aDikaH api vA /
   tenāpi tasya tantre 'smiṃ upadeśaḥ sadā tu vai // Mmk_11.22 //	tena api tasya tantre asmim upadeSaH sadA tu vE // Mmc _11.22 //
   kartavyo mantresiddhasmai yathāsattvānudarśite /	kartavyaH mantresidDasmE yaTA sattva anudarSite /
   na matsaro bhavet tatra śiṣye 'smiṃ pūrvanirmite // Mmk_11.23 //	na matsaraH Bavet tatra Sizye asmim pUrva nirmite // Mmc _11.23 //
   snehānuvartinī cakṣuḥ supratiṣṭhitadehinām /	sneha anuvartinI cakzuH su pratizWita dehinAm /
   tameva kuryācchiṣyatvaṃ ācāryā śiṣyahetavaḥ // Mmk_11.24 //	tam eva kuryAt Sizya tvam AcAryA Sizya hetavaH // Mmc _11.24 //
   anyonyānuvartinī yatra snehasantatimāninī /	anyonya anuvartinI yatra sneha santati mAninI /
   snigdhasantānānudharā nu mantraṃ dadyāttu tatra vai // Mmk_11.25 //	snigDa santAna anuDarA nu mantram dadyAt tu tatra vE // Mmc _11.25 //
   ācāryo śiṣyamevaṃ tu śiṣyo vā gurudarśane /	AcAryaH Sizyam evam tu SizyaH vA guru darSane /
   utsukau bhavataḥ nityā sādhvasayogataḥ ubhau // Mmk_11.26 //	utsukO BavataH nityA sADvasa yogataH uBO // Mmc _11.26 //
   teṣāṃ nityaṃ tu mārgaṃ vai mantracaryānudarśane /	tezAm nityam tu mArgam vE mantra caryA anudarSane /
   saphalānuvartanau mantrajñau ubhayo pitṛputṛṇau // Mmk_11.27 //	sa Pala anuvartanO mantra jQO uBayo pitR putRNO // Mmc _11.27 //
   dhṛtiṃ tuṣṭiṃ ca lebhe tau tathā śiṣya guruḥ sadā /	DRtim tuzwim ca leBe tO taTA Sizya guruH sadA /
   rakṣaṇīyo prayatnena putro dharmavatsalaḥ sadā // Mmk_11.28 //	rakzaNIyaH prayatnena putraH Darma vatsalaH sadA // Mmc _11.28 //
   avayavacchedabuddhānāṃ dharmatā bhavati teṣu vai /	avayava= Ceda budDAnAm DarmatA Bavati tezu vE /
   tadabhāve hyanāthānāṃ dadyānmantraṃ yathoditam // Mmk_11.29 //	tad aBAve hi anATAnAm dadyAt mantram yaTA uditam // Mmc _11.29 //
   daridrebhyaśca sattvebhyo klibebhyo viśeṣataḥ /	daridreByaH ca sattveByaH klibeByaH viSezataH /
   sarvebhyo 'pi sattvebhyo mantracaryā viśiṣyate // Mmk_11.30 //	sarveByaH api sattveByaH mantra caryA viSizyate // Mmc _11.30 //
   (Vaidya 69)	(VEdyaH 69)
   sarvakāle va kurvīta adhamottamamadhyame /	sarva kAle va kurvIta aDama uttama maDyame /
   sadā sarvasmiṃ dharmeṣu kuryānugrahahetutaḥ // Mmk_11.31 //	sadA sarvasmim Darmezu kurya anugraha hetutaH // Mmc _11.31 //
   īpsitebhyo 'pi pradātavyaṃ gatiyonirviceṣṭite /	IpsiteByaH api pradAtavyam gati yoniH vicezwite /
   śiṣyeṇaiva tu tasmai tu mantraṃ gṛhya yathātamam // Mmk_11.32 //	SizyeNa eva tu tasmE tu mantram gRhya yaTAtamam // Mmc _11.32 //
   tenaivopadiṣṭena mārgeṇaiva nānyathā /	tena eva upadizwena mArgeNa eva na anyaTA /
   siddhikāmo yatet tasminnitareṣāṃ parāyike // Mmk_11.33 //	sidDi kAmaH yatet tasmin= itarezAm parAyike // Mmc _11.33 //
   pitṛvat praṇamya śirasā vainato gacchaṃ yatheṣṭataḥ /	pitR vat praNamya SirasA vEnataH gacCam yaTezwataH /
   ekāntaṃ tato gatvā japenmantraṃ samāsataḥ // Mmk_11.34 //	ekAntam tatas gatvA japet mantram samAsatas // Mmc _11.34 //
   bhikṣabhaikṣāśavṛttī tu maunī triḥkālajāpinaḥ /	Bikza Ba ekzASa vRttI tu mOnI tris kAla jApinaH /
   pūrvanirdiṣṭamevaṃ syād yathāmārgaṃ pravartakaḥ // Mmk_11.35 //	pUrva nirdizwam evam syAt yaTAmArgam pravartakaH // Mmc _11.35 //
   tadānuvṛttī sevī ca sthānamāyatanāni ca /	tadA anuvRttI sevI ca sTAnam AyatanAni ca /
   mahāraṇyaṃ parvatāgraṃ tu nadīkūle śucau tathā // Mmk_11.36 //	mahA araNyam parvata agram tu nadI kUle SucO taTA // Mmc _11.36 //
   goṣṭhe mahāpure cāpi vivikte janavarjite /	gozWe mahApure ca api vivikte jana varjite /
   śūnyadevakule vṛkṣe śiloccaye // Mmk_11.37 //	SUnya devakule vRkze Siloccaye // Mmc _11.37 //
   mahodakataṭe ramye puline vāpi dīpake /	mahodaka tawe ramye puline vA api dIpake /
   vividhaiḥ pūrvanirdiṣṭaiḥ deśaiścāpi manoramaiḥ // Mmk_11.38 //	viviDEH pUrva nirdizwEH deSEH ca api manoramEH // Mmc _11.38 //
   etaiścānyaiḥ pradeśaistu japenmantraṃ samāhitaḥ /	etEH ca anyEH pradeSEH tu japet mantram samAhitaH /
   sakhāyairlakṣaṇopetaiḥ mantrārthaṃ nītitārkikaiḥ // Mmk_11.39 //	saKAyEH lakzaNa upetEH mantra arTam nIti tArkikEH // Mmc _11.39 //
   iṅgitākāratattvajñai ātmasamasādṛśaiḥ /	iFgita AkAra tattva jQEH Atma sama sAdRSEH /
   śūrairvijitasaṅgrāmaiḥ sāttvikaiśca sahiṣṇubhiḥ // Mmk_11.40 //	SUrEH vijita saFgrAmEH sAttvikEH ca sahizNuBiH // Mmc _11.40 //
   śrāddhairmantracaryāyāṃ śāsane 'smi jinodite /	SrAdDEH mantra caryAyAm SAsane asmi jina udite /
   praśastairlakṣaṇopetaiḥ kṣamibhistu sahāyakaiḥ // Mmk_11.41 //	praSastEH lakzaNa upetEH kzamiBiH tu sahAyakEH // Mmc _11.41 //
   sidhyante sarvakarmāṇi ayatnenaiva tasya tu /	siDyante sarva karmANi ayatnena eva tasya tu /
   prātarutthāya śayanāt snātvā caiva śuce jale // Mmk_11.42 //	prAtar utTAya SayanAt snAtvA ca eva Suce jale // Mmc _11.42 //
   niḥprāṇake jale caiva sarinmahāsarodbhave /	niHprANake jale ca eva sarit mahA sara udBave /
   udghṛṣya gātraṃ mantrajño mṛdgomayacūrṇitaiḥ // Mmk_11.43 //	udGRzya gAtram mantra jQaH mRd gomaya cUrNitEH // Mmk _11.43 //
   mantrapūtaṃ tato kṛtvā jalaṃ caukṣaṃ sanirmalam /	mantra pUtam tatas kRtvA jalam cOkzam sa nirmalam /
   snāyīta japī yuktātmā nātikālaṃ bilaṅghaye // Mmk_11.44 //	snAyIta japI yukta AtmA na ati kAlam bilaFGaye // Mmc _11.44 //
   tatotthāya taṭe sthitvā hastau prakṣālya mṛttikaiḥ /	tata utTAya tawe sTitvA hastO prakzAlya mRttikEH /
   sapta sapta punaḥ sapta vārānyekaviṃśati // Mmk_11.45 //	sapta sapta punar sapta vArAni ekaviMSati // Mmc _11.45 //
   upaviśya tatastatra dantakāṣṭhaṃ samācaret /	upaviSya tatas tatra dantakAzWam samAcaret /
   visarjayitvā dantadhāvanaṃ tato vandeta tāyinam // Mmk_11.46 //	visarjayitvA dantaDAvanam tatas vandeta tAyinam // Mmc _11.46 //
   (Vaidya 70)	(VEdyaH 70)
   vanditvā lokanāthaṃ tu pūjāṃ kuryānmanoramām /	vanditvA lokanATam tu pUjAm kuryAt manoramAm /
   vividhaiḥ stotropahāraistu saṃstutya punaḥ punaḥ // Mmk_11.47 //	viviDEH stotra upahArEH tu saMstutya punar punar // Mmc _11.47 //
   sugandhapuṣpaistathā śāstu ardhaṃ dattvā tu jāpinaḥ /	suganDa puzpEH taTA SAstu arDam dattvA tu jApinaH /
   praṇamya śirasā buddhāṃ tadā tu śiṣyasambhavāṃ // Mmk_11.48 //	praNamya SirasA budDAm tadA tu Sizya samBavAm // Mmc _11.48 //
   teṣāṃ lokanāthānāṃ agrato yāpadeśanā /	tezAm lokanATAnAm agratas yA apadeSanA /
   nivedha cāśano tatra paṭasyāgrata madhyame // Mmk_11.49 //	niveDa ca aSanaH tatra pawasya agrata maDyame // Mmc _11.49 //
   kuśaviṇḍakṛtaḥ tatsthaḥ niṣaṇṇopasamāhitaḥ /	kuSaviNxa kRtaH tad sTaH nizaNNa upasamAhitaH /
   japaṃ kuryāt pratatnena akṣasūtreṇa tena tu // Mmk_11.50 //	japam kuryAt pratatnena akza sUtreNa tena tu // Mmc _11.50 //
   yathālabdhaṃ tu mantraṃ vai nānyamantraṃ tadā japet /	yaTAlabDam tu mantram vE na anya mantram tadA japet /
   atihīnaṃ ca varjītaṃ atiutkṛṣṭa eva vā // Mmk_11.51 //	ati hInam ca varjItam ati utkRzwaH eva vA // Mmc _11.51 //
   madhyamaṃ madhyakarmeṣu japenmantraṃ sadā vratī /	maDyamam maDya karmezu japet mantram sadA vratI /
   atyuccaṃ varjayed yatnād vacanaṃ cāpi cetaram // Mmk_11.52 //	ati uccam varjayet yatnAt vacanam ca api ca itaram // Mmc _11.52 //
   madhyamaṃ madhyakarmeṣu praśasto jinavarṇitaḥ /	maDyamam maDya karmezu praSastaH jina varNitaH /
   nātyuccaṃ nātihīnaṃ ca madhyamaṃ tu sadā japet // Mmk_11.53 //	na ati uccam na ati hInam ca maDyamam tu sadA japet // Mmc _11.53 //
