   Sarva Tathāgata Tattva Saṅgrah	Sarva TaTAgataH Tattva SaFgrah
   amogharāja vajrāgrya vajrākarṣa namostu te // 2 //	amoGa rAja vajra agrya vajrAkarza namoH tu te // 2 //
   vajrarāga mahāsaukhya vajravāṇa vaśaṅkara /	vajra rAga mahA sOKya vajravANa vaSaFkara /
   bhārakāma mahāvajra vajracāpo namo 'stu te // 3 //	BAra kAma mahA vajra vajra cApaH namaH astu te // 3 //
   vajrasādho susattvāgrya vajratuṣṭi mahārate /	vajra sADo su sattva agrya vajra tuzwi mahArate /
   prāmodyarāja vajrāgraya vajraharṣa namo 'stu te // 4 //	prAmodya rAja vajra agraya vajra harza namaH astu te // 4 //
   vajraratna suvajrārthaṃ vajrākāśa mahāmaṇe /	vajra ratna su vajra arTam vajra AkASa mahA maNe /
   ākāśagarbha vajrāḍhya vajragarbha namostu te // 5 //	AkASa garBa vajra AXya vajragarBa namoH tu te // 5 //
   vajrateja mahājvāla vajrasūrya jinaprabha /	vajra teja mahA jvAla vajra sUrya jina praBaH /
   vajraraśmi mahāteja vajraprabha namo 'stu te // 6 //	vajra raSmi mahA teja vajrapraBa namaH astu te // 6 //
   vajraketu susattvārtha vajradhvaja sutoṣaka /	vajraketu su sattva arTa vajraDvaja sutozaka /
   ratnaketu mahāvajra vajrayaṣṭe namo 'stu te // 7 //	ratnaketu mahA vajra vajra yazwe namaH astu te // 7 //
   vajrahāsa mahāhāsa vajrasmita mahādbhuta /	vajrahAsa mahA hAsa vajra smita mahA adButa /
   prītiprāmodya vajrāgrya vajraprīte namo 'stu te // 8 //	prIti prAmodya vajra agrya vajra prIte namaH astu te // 8 //
   vajradharma sutatvārtha vajrapadma suśodhaka /	vajra Darma sutatva arTa vajra padma su SoDakaH /
   lokeśvara suvajrākṣa vajranetra namo 'stu te // 9 //	lokeSvara su vajrAkza vajra netra namaH astu te // 9 //
   vajratīkṣṇa mahāyāna vajrakośa mahāyudha /	vajra tIkzNa mahAyAna vajrakoSa mahA AyuDa /
   mañjuśrī vajragāṃbhīrya vajrabuddhe namo 'stu te // 10 //	maQjuSrI vajra gAMBIrya vajra budDe namaH astu te // 10 //
   vajrahetu mahāmaṇḍa vajracakra mahānaya /	vajra hetu mahA maNxa vajracakra mahAnaya /
   supravartana vajrottha vajramaṇḍa namo 'stu te // 11 //	supravartana vajra utTa vajramaNxa namaH astu te // 11 //
   vajrabhāṣa suvidyāgrya vajrajāpa susiddhida /	vajra BAza su vidyA agrya vajra jApa su sidDi daH /
   avāca vajrasiddhyagra vajravāca namo 'stu te // 12 //	avAca vajra sidDi agra vajra vAca namaH astu te // 12 //
   vajrakarma suvajrājñā karmavajra susarvaga /	vajra karma su vajra AjQA karma vajra su sarva ga /
   vajrāmogha mahodārya vajraviśva namo 'stu te // 13 //	vajrAmoGa mahA udArya vajra viSva namaH astu te // 13 //
   vajrarakṣa mahādhairya vajravarma mahādṛḍha /	vajrarakza mahA DErya vajravarma mahA dRXaH /
   duyodhana suvīryagrya vajravīrya namo 'stu te // 14 //	duyoDana su vIryagrya vajra vIrya namaH astu te // 14 //
   vajrayakṣa mahopāya vajradaṃṣṭra mahābhaya /	vajrayakza mahA upAya vajradaMzwra mahA BayaH /
   bhārapramardin vajrogra vajracaṇḍa namo 'stu te // 15 //	BAra pramardin vajra ugra vajracaNxa namaH astu te // 15 //
   vajrasandhi susānnidhya vajrabandha pramocaka /	vajra sanDi susAnniDya vajrabanDa pramocakaH /
   vajramuṣṭyagrasamaya vajramuṣṭe namo 'stu te // 16 //	vajra muzwi agra samaya vajra muzwe namaH astu te // 16 //
   yaḥ kaścid dhārayennāmnāmidante 'ṣṭadaśataṃ śivam /	yaH kaScid DArayet nAmnAmidante azwadaSatam Sivam /
   vajranāmābhiṣekādyaiḥ sarvāgraiḥ so 'bhiṣicyate // 17 //	vajra nAma aBizeka AdyEH sarva agrEH saH aBizicyate // 17 //
   yastu gauṇamidannāmnāṃ mahāvajradharasya tu /	yaH tu gONam idat nAmnAm mahA vajraDarasya tu /
   śaśvadgeyaṃ stuyāt so 'pi bhavedvajradharopamaḥ // 18 //	SaSvat geyam stuyAt saH api Bavet vajraDara upamaH // 18 //
   anenābhiṣṭuto 'smābhirnāmnāmaṣṭaśatena tu /	anena aBizwutaH asmABiH nAmnAm azwa Satena tu /
   mahāyānābhisamayaṃ visphāraya mahānayam // 19 //	mahAyAna aBisamayam visPAraya mahAn ayam // 19 //
   adhyeṣayāmastvāṃ nātha bhāṣasva paramaṃ vidhim /	aDyezayAmaH tvAm nATa BAzasva paramam viDim /
   sarvabuddhamahācakraṃ mahāmaṇḍalamuttamam // 20 //iti //	sarva budDa mahA cakram mahA maNxalam uttamam // 20 // iti //
   Delineation of the mandala	Delineation of Te mandala
   atha bhagavān vajradharaḥ sarvatathāgatādhyeṣaṇavacanamupaśrutya	aTa BagavAn vajraDaraH sarva taTAgata aDyezaNa vacanam upaSrutya
   sarvatathāgatasamayasaṃbhavavajrādhiṣṭhānannāma samādhiṃ samāpadye	sarva taTAgata samaya saMBava vajra aDizWAnat nAma samADim samApadye
   vajradhātunnāma mahāmaṇḍalamudājahāra /	vajraDAtun nAma mahA maNxalam udAjahAraH /
   athātaḥ saṃpravakṣyāmi mahāmaṇḍalamuttamam /	aTa atas saMpravakzyAmi mahA maNxalam uttamam /
   vajradhātupratīkāśaṃ vajradhāturiti smṛtam // 1 //	vajra DAtu pratIkASam vajraDAtuH iti smRtam // 1 //
   upaviśya yathāsyāyaṃ maṇḍalasya tu madhyataḥ /	upaviSya yaTA asya ayam maNxalasya tu maDyatas /
   mahāsatvamahāmudrāṃ bhāvayaṃ samadhiṣṭhya ca // 2 //	mahA satva mahAmudrAm BAvayam samaDizWya ca // 2 //
   tathaivotthāya mudrāsthaḥ sarvato vyavalokayet /	taTA eva utTAya mudrA sTaH sarvatas vyavalokayet /
   parikrameta garveṇa vajrasattvamudāharan // 3 //	parikrameta garveNa vajra sattvam udAharan // 3 //
   navena suniyuktena supramāṇena cāruṇā /	navena su niyuktena su pramANena ca aruNA /
   sūtreṇa sūtrayet prājñairyathāśaktena maṇḍalam // 4 //	sUtreNa sUtrayet prAjQEH yaTASaktena maNxalam // 4 //
   caturastraṃ caturdvāraṃ catustoraṇaśobhitam /	catur astram catur dvAram catur toraNa SoBitam /
   catuḥsūtrasamāyuktaṃ paṭṭastragdāmabhūṣitam // 5 //	catur sUtra samAyuktam pawwa stragdAma BUzitam // 5 //
   koṇabhāgeṣu sarveṣu dvāraniryūhasandhiṣu /	koNa BAgezu sarvezu dvAra niryUha sanDizu /
   khacitaṃ vajraratnaistu sūtrayedbāhyamaṇḍalam // 6 //	Kacitam vajra ratnEH tu sUtrayet bAhya maNxalam // 6 //
   tasya cakrapratīkāśaṃ praviśyābhyantaraṃ puram /	tasya cakra pratIkASam praviSya aByantaram puram /
   vajrasūtraparikṣiptamaṣṭastambhopaśobhitam // 7 //	vajra sUtra parikziptam azwa stamBa upaSoBitam // 7 //
   vajra [staṃbhāgrasthaścandrapañca] maṇḍalamaṇḍitam /	vajraH [staMBa agra sTaH candrapaQca] maNxala maNxitam /
   madhyamaṇḍalamadhye tu buddhabimbanniveśayet // 8 //	maDya maNxala maDye tu budDa bimbat niveSayet // 8 //
   buddhasya sarvapārśveṣu maṇḍalānāntu madhyataḥ /	budDasya sarva pArSvezu maNxalAnAntu maDyatas /
   samayāgr yaścatasro hi saṃlikhedanupūrvaśaḥ // 9 //	samayAgr yaH catasraH hi saMliKet anupUrvaSas // 9 //
   vajravegena cākramya maṇḍalānāṃ catuṣṭaye /	vajra vegena ca Akramya maNxalAnAm catuzwaye /
   akṣobhyādyāṃstu caturaḥ sarvabuddhānniveśayet // 10 //	akzoBi AdyAn= tu caturaH sarva budDAn niveSayet // 10 //
   akṣobhyamaṇḍalaṃ kuryātsamaṃ vajradharādibhiḥ /	akzoBya maNxalam kuryAt samam vajraDara AdiBiH /
   vajragarbhādibhiḥ pūrṇaṃ ratnasaṃbhavamaṇḍalam // 11 //	vajra garBa AdiBiH pUrNam ratna saMBava maNxalam // 11 //
   vajranetrādibhiḥ śuddhaṃ maṇḍalamamitāyuṣaḥ /	vajra netra AdiBiH SudDam maNxalam amita AyuzaH /
   amoghasiddheḥ saṃlekhyaṃ vajraviśvādimaṇḍalam // iti // 12 //	amoGa sidDeH saMleKyam vajra viSvAdi maNxalam // iti // 12 //
   cakrasya koṇasaṃstheṣu vajradevyaḥ samālikhet /	cakrasya koNa saMsTezu vajra devyaH samAliKet /
   bāhyamaṇḍalakoṇeṣu buddhapūjāḥ samālikhet // 13 //	bAhya maNxala koNezu budDa pUjAH samAliKet // 13 //
   dvāramadhyeṣu sarveṣu dvārapālacatuṣṭayam /	dvAra maDyezu sarvezu dvArapAla catuzwayam /
   bāhyamaṇḍalasaṃstheṣu mahasatvānniveśayet // 14 //	bAhya maNxala saMsTezu mahasatvAt niveSayet // 14 //
   tato vai samyagāgrīntu mudrāṃ badhvā yathāvidhi /	tatas vE samyak AgrIntu mudrAm baDvAH yaTAviDi /
   vajrācāryaḥ praviṣṭvā tu sphoṭya mudrāṃ samāviśeta // 15 //	vajra AcAryaH pravizwvA tu sPowya mudrAm samAviSeta // 15 //
   Initiation	Initiatia Un
   tatre daṃ sarvāveśahṛdayaṃ bhavati aḥ //	tatre dam sarva AveSa hRdayam Bavati aH //
   ājñāṃ mārgya yathāvattu svādhiṣṭhānādikantathā /	AjQAm mArgya yaTAvat tu svADizWAna Adi kantaTA /
   kṛtvoccārya svakannāma tato vajreṇa sādhayeta // 1 //	kRtvA uccArya svakad nAma tatas vajreNa sADayeta // 1 //
   sattvavajrāṅkuśīṃ badhvā vajrācāryastataḥ punaḥ /	sattva vajrAFkuSIm baDvAH vajra AcAryaH tatas punar /
   kurvannacchaṭasaṃghātaṃ sarvabuddhāṃ samājayet // 2 //	kurvannacCawa saMGAtam sarva budDAm samAjayet // 2 //
   tatkṣaṇaṃ sarvabuddhāstu vajrasattvasamanvitāḥ /	tad kzaNam sarva budDAH tu vajra sattva samanvitAH /
   sarvamaṇḍalasaṃpūrṇāḥ samājaṃ yānti maṇḍale // 3 //	sarva maNxala saMpUrNAH samAjam yAnti maNxale // 3 //
   tataḥ śīghraṃ mahāmudrāṃ [badhvā] vajradharasya tu /	tatas SIGram mahAmudrAm [baDvA] vajraDarasya tu /
   uccārayetsakṛdvārannāmāṣṭaśatamuttamama // 4 //	uccArayet sakRt vArat nAma azwaSatam uttamamaH // 4 //
   tatastuṣṭāḥ samājena dṛḍhaṃ yānti tathāgatāḥ /	tatas tuzwAH samAjena dRXam yAnti taTAgatAH /
   vajrasattvaḥ svayaṃsiddho mitratvenopatiṣṭhati // 5 //	vajra sattvaH svayaMsidDaH mitra tvena upatizWati // 5 //
   tato dvāreṣu sarveṣu karma kṛtvāṅku śādibhiḥ /	tatas dvArezu sarvezu karma kRtvA aFku SAdiBiH /
   mahākarmāgr yamudrābhiḥ samayāṃstu niveśayet // 6 //	mahA karma agr yamudrABiH samayAn= tu niveSayet // 6 //
   mudrābhiḥ samayāgryābhiḥ sattvavajrādibhistathā /	mudrABiH samaya agryABiH sattva vajra AdiBiH taTA /
   sādhayeta mahāsattvo jaḥ hūm vaṃ hoḥ pravartayan // 7 //	sADayeta mahAsattvaH jaH hUm vam hoH pravartayan // 7 //
   tato buddhādayaḥ sarvamahāsattvāḥ samagrataḥ /	tatas budDa AdayaH sarva mahAsattvAH samagratas /
   ākṛṣṭā supraviṣṭāśca badhvā yāmyanti tadvaśam // 8 //	AkRzwA su pravizwAH ca baDvAH yAmyanti tad vaSam // 8 //
   tatastu guhyapūjābhiḥ santoṣya sa mahātmanā /	tatas tu guhya pUjABiH santozya sa mahAtmanA /
   vijñayetsarvasatvārthaṃ kurudhvaṃ sarvasiddhaye // 9 // iti //	vijQayet sarva satva arTam kuruDvam sarva sidDaye // 9 // iti //
   evaṃ sarvamaṇḍaleṣa vajrācāryakarmeti //	evam sarva maNxaleza vajra AcArya karma iti //
   Initiation of the disciple	Initiation of Te disciple
   athātra vajradhātumahāmaṇḍale vajraśiṣyapraveśādividhivistaro bhavati //	aTa atra vajra DAtu mahA maNxale vajra Sizya praveSa Adi viDi vistaraH Bavati //
   tatra prathamaṃ tāvat praveśo	tatra praTamam tAvat praveSaH 
   bhavatyaśeṣānavaśeṣasattvadhātuparitrāṇasarvahitasukhottamasiddhikāryakaraṇatayā	Bavati aSezAn avaSeza sattva DAtu paritrANa sarva hita suKa uttama sidDi kArya karaNa tayA
   atra mahāmaṇḍalapraveśe pātrāpātraparīkṣā na kāryā / tatkasmāddhetoḥ /	atra mahA maNxala praveSe pAtra apAtra parIkzA na kAryA / tat kasmAt hetoH /
   santi bhagavantastathāgatāḥ kecit sattvā mahāpāpakāriṇaste idaṃ	santi BagavantaH taTAgatAH kecid sattvAH mahA pApa kAriNaH te idam
   vajradhātumahāmaṇḍalaṃ dṛṣṭvā praviṣṭā ca sarvāpāyavigatā bhaviṣyanti /	vajra DAtu mahA maNxalam dRzwvA pravizwA ca sarva apAya vigatAH Bavizyanti /
   santi ca bhagavantaḥ sattvāḥ sarvārthabhojanapānakāmaguṇagṛddhāḥ	santi ca BagavantaH sattvAH sarva arTa Bojana pAna kAma guNa gRdDAH
   samayadviṣṭāḥ puraścaraṇādiṣvaśaktāḥ / teṣāmapyatrayathākāmakaraṇīyatayā	samaya dvizwAH puraScaraNa Adizu aSaktAH / tezAm api atra yaTA kAma karaNIya tayA
   praviṣṭānāṃ sarvāśāparipūrirbhaviṣyati /	pravizwAnAm sarva ASAparipUriH Bavizyati /
   santi bhagavantaḥ sattvā nṛtyagītahāsyalāsyāhāravihārapriyatayā	santi BagavantaH sattvAH nRtya gIta hAsya lAsya AhAra vihAra priya tayA
   sarvatathāgatamahāyānābhisamayadharmatānavabodhatvādanyadevakulamaṇḍalāni	sarva taTAgata mahA yAna aBisamaya Darma tAnavaboDa tvAt anya deva kula maNxalAni
   praviśanti, sarvāśāparipūrisaṃpadabhūteṣu	praviSanti, sarva ASA paripUri saMpada BUtezu
   niruttararatiprītiharṣasaṃbhavakareṣu sarvatathāgatakulamaṇḍaleṣu	niruttara rati prIti harza saMBava karezu sarva taTAgata kula maNxalezu
   śikṣāpadabhayabhītā na praviśanti / teṣāmapāyamaṇḍalapraveśa	SikzA pada Baya BItAH na praviSanti / tezAm apAya maNxala praveSa
   [pathābhimukhavihārāṇāmapyeva] vajradhātumahāmaṇḍalapraveśo yujyata	[paTa aBimuKa vihArANAm api eva] vajra DAtu mahA maNxala praveSaH yujyata
   sarvaratiprītyuttamasiddhisukhasaumanasyānubhavanārthaṃ	sarva rati prIti uttama sidDi suKa sOmanasya anuBavana arTam
   sarvāpāyagatipraveśābhimukhapathavinivartanāya ca /	sarva apAya gati praveSa aBimuKa paTa vinivartanAya ca /
   santi ca punarbhagavanto dhārmikāḥ sattvāḥ	santi ca punar BagavantaH DArmikAH sattvAH
   sarvatathāgataśīlasamādhiprajñottamasiddhyupāyairbuddhabodhiṃ prārthayanto	sarva taTAgata SIla samADi prajQA uttama sidDi upAyEH budDa boDim prArTayantaH 
   dhyānavimokṣādibhirbhūmibhiryantaḥ kliśyante / teṣāmatraiva	DyAna vimokza AdiBiH BUmiBiH yantaH kliSyante / tezAm atra eva
   vajradhātumahāmaṇḍalapraveśamātreṇaiva sarvatathāgatatvamapi na durlabham,	vajra DAtu mahA maNxala praveSa mAtreNa eva sarva taTAgata tvam api na durlaBam,
   kimaṅgā punaranyā siddhiriti //	kim aFgA punar anyA sidDiH iti //
   tatrādita eva tāvat sarvatathāgatapraṇāmacatuṣṭayaṃ kārayet / tadyathā /	tatra Aditas eva tAvat sarva taTAgata praNAma catuzwayam kArayet / tat yaTA /
   sarvaśarīreṇa vajrāñjaliprasāritena praṇamedanena mantreṇa / oṃ	sarva SarIreNa vajra aQjali prasAritena praNamet anena mantreNa / om
   sarvatathāgatapūjopasthānāyātmānanniryātayāmi	sarva taTAgata pUjA upasTAnAya AtmAnat niryAtayAmi
   sarvatathāgatavajrasattvādhitiṣṭhasva māṃ //	sarva taTAgata vajra sattva aDitizWasva mAm //
   tathaiva sthito vajrāñjaliṃ hṛdi kṛtvā lalāṭena praṇamedanena mantreṇa oṃ	taTA eva sTitaH vajrAQjalim hRdi kRtvA lalAwena praNamet anena mantreNa om
   sarvatathāgatapūjābhiṣekāyātmānanniryātayāmi	sarva taTAgata pUjA aBizekAya AtmAnat niryAtayAmi
   savatathāgatavajraratnābhiṣiñca mām //	sa vataTA gata vajra ratna aBiziQca mAm //
   tatastathaivotthāya vajrāṃjalibandhena śirasā mukhena praṇamedanena	tatas taTA eva utTAya vajra aMjali banDena SirasA muKena praNamet anena
   mantreṇa oṃ sarvatathāgatapūjāpravartanāyātmānaṃ niryātayāmi	mantreNa om sarva taTAgata pUjA pravartanAya AtmAnam niryAtayAmi
   sarvatathāgatavajradharma pravartaya mām //	sarva taTAgata vajra Darma pravartaya mAm //
   tatastathaiva sthito vajrāṃjaliṃ śiraso 'vatārya hṛdi kṛtvā murdhnā	tatas taTA eva sTitaH vajra aMjalim SirasaH avatArya hRdi kRtvA murDnA
   praṇamedanena mantreṇa oṃ sarvatathāgatapūjākarmaṇe ātmānanniryātayāmi	praNamet anena mantreNa om sarva taTAgata pUjA karmaNe AtmAnat niryAtayAmi
   sarvatathātavajrakarma kuru mām //	sarva taTA Ata vajra karma kuru mAm //
   tato raktavastrottarīyo raktapaṭṭakāvacchāditamukhaḥ sattvavajrimudrāṃ	tatas rakta vastra uttarIyaH rakta pawwaka avacCAdita muKaH sattva vajri mudrAm
   bandhayedanena hṛdayena samayastvam //	banDayet anena hRdayena samayaH tvam //
   tato madhyāṅgulidvayena mālāṃ granthyā praveśayedanena hṛdayena samaya hūṃ	tatas maDya aFguli dvayena mAlAm granTyA praveSayet anena hRdayena samaya hUm
   tataḥ praveśyaivaṃ vadet / "adya tvaṃ sarvatathāgatakule praviṣṭaḥ /	tatas praveSya evam vadet / "adya tvam sarva taTAgata kule pravizwaH /
   tadahaṃ te vajrajñānamutpādayiṣyāmi, yena jñānena tva	tat aham te vajra jQAnam utpAdayizyAmi, yena jQAnena tva
   sarvatathāgatasiddhirapi prāpsyasi, kimutānyāḥ siddhīḥ / na ca	sarva taTAgata sidDiH api prApsyasi, kim uta anyAH sidDIH / na ca
   tvayādṛṣṭamahāmaṇḍalasya vaktavyaṃ, mā te samayo vyathed" iti / tataḥ	tvayA adRzwa mahA maNxalasya vaktavyan, mA te samayaH vyaTed" iti / tatas 
   svayaṃ vajrācāryaḥ sattvavajramudrāmeva mūrdhvāmukhīṃ badhvā vajraśiṣyasya	svayam vajra AcAryaH sattva vajra mudrAm eva mUrDvA muKIm baDvA vajra Sizyasya
   mūrdhni sthāsyaivaṃ vadet / "ayaṃ te samayavajro mūrdhānaṃ sphalayed, yadi	mUrDni sTAsya evam vadet / "ayam te samaya vajraH mUrDAnam sPalayed, yadi
   tvaṃ kasyacid brūyāt /"	tvam kasyacid brUyAt /"
   tatastayaiva samayamudrayā udakaṃ śapathahṛdayena sakṛt parijñāpya, tasya	tatas tayA eva samaya mudrayA udakam SapaTa hRdayena sakRt parijQApya, tasya
   śiṣyāya pāyayediti //	SizyAya pAyayet iti //
   tatredaṃ śapathahṛdayaṃ bhavati /	tatra idam SapaTa hRdayam Bavati /
   vajrasattvaḥ svayante 'dya hṛdaye samavasthitaḥ /	vajra sattvaH svayante adya hRdaye samavasTitaH /
   nirbhidya tatkṣaṇaṃ yāyād yadi brūyādimaṃ nayam //	nirBidya tad kzaNam yAyAt yadi brUyAt imam nayam //
   vajrodaka ṭhaḥ //	vajra udaka WaH //
   tataḥ śiṣyāya brūyāt / "adya prabhṛtyahante vajrapāṇiryatte 'haṃ	tatas SizyAya brUyAt / "adya praBRti ahante vajrapANiH yat te aham
   brūyāmidaṃ kuru tatkartavyaṃ, na ca tvayāhamavamantavyo, mā te	brUyAm idam kuru tad kartavyan, na ca tvayA aham avamantavyo, mA te
   viṣamāparihāreṇa kālakriyāṃ kṛtvā narapatanaṃ syād" iti uktvā, vaktavyaṃ	vizama aparihAreNa kAla kriyAm kRtvA narapatanam syAd" iti uktvA, vaktavyam
   brūhi, "sarvatathāgatā adhitiṣṭhanto vajrasattvo me āviśatu" /	brUhi, "sarva taTAgatAH aDitizWantaH vajra sattvaH me AviSatu" /
   tatastvaramāṇena vajrācāryeṇa sattvavajrimudrāṃ badhvā idamuccārayitavyam	tatas tvaramANena vajra AcAryeNa sattva vajri mudrAm baDvAH idam uccArayitavyam
   ayaṃ tatsamayo vajraṃ vajrasattvamiti smṛtam /	ayam tad samayaH vajram vajra sattvam iti smRtam /
   āveśayatu te 'dyaiva vajrajñānamanuttaram /	AveSayatu te adya eva vajra jQAnam anuttaram /
   vajrāveśa aḥ /	vajra AveSa aH /
   tataḥ krodhamuṣṭiṃ badhvā sattvavajrimudrāṃ sphoṭayet, mahāyānābhisamayaṃ	tatas kroDa muzwim baDvA sattva vajri mudrAm sPowayet, mahAyAna aBisamayam
   ca vajravācā rucitoccārayediti /	ca vajra vAcA rucita uccArayet iti /
   tataḥ samāviśatyāviṣṭamātrasya divyaṃ jñānamutpadyate / tena jñānena	tatas samAviSati Avizwa mAtrasya divyam jQAnam utpadyate / tena jQAnena
   paracittābhyavabudhyati / sarvakāryāṇi cātītānāgatavartamānāni jānāti /	para citta aByavabuDyati / sarva kAryANi ca atIta anAgata vartamAnAni jAnAti /
   hṛdayaṃ cāsya dṛḍhībhavati sarvatathāgataśāsane / sarvaduḥkhāni ca	hRdayam ca asya dRXIBavati sarva taTAgata SAsane / sarva duHKAni ca
   [saṃpra]ṇaśyanti / sarvabhayavigataśca bhavati / avadhyaḥ sarvasattveṣu /	[saMpra]NaSyanti / sarva Baya vigataH ca Bavati / avaDyaH sarva sattvezu /
   sarvatathāgatāścādhitiṣṭhanti / sarvasiddhayaścāsyābhimukhībhavanti /	sarva taTAgatAH ca aDitizWanti / sarva sidDayaH ca asya aBimuKIBavanti /
   apūrvāṇi cāsyākāraṇaharṣaratiprītikarāṇi sukhānyutpadyante / taiḥ sukhaiḥ	apUrvANi ca asya akAraNa harza rati prIti karANi suKAni utpadyante / tEH suKEH
   keṣāñcitsamādhayo niṣpadyante, keṣāñcida dhāraṇyaḥ, keṣāñcita	kezAQcid samADayaH nizpadyante, kezAQcida DAraNyaH, kezAQcita
   sarvāśāparipūrayo, yāvat, keṣāñcitsarvatathāgatatvamapi niṣpadyata iti /	sarva ASA paripUrayo, yAvat, kezAQcid sarva taTAgata tvam api nizpadyate iti /
   tatastāṃ mudrāṃ badhvā svahṛdi mokṣayedanena hṛdayena	tatas tAm mudrAm baDvA sva hRdi mokzayet anena hRdayena
   tiṣṭha vajra dṛḍho me bhava, śāśvato me bhava, hṛdayaṃ me 'dhitiṣṭha,	tizWa vajra dRXaH me Bava, SASvataH me Bava, hRdayam me aDitizWa,
   sarvasiddhiñca me prayaccha, hūṃ ha ha ha ha hoḥ //	sarva sidDiQca me prayacCa, hUm ha ha ha ha hoH //
   tatastāṃ mālāṃ mahāmaṇḍale kṣepayedanena hṛdayena pratīccha vajra hoḥ //	tatas tAm mAlAm mahA maNxale kzepayet anena hRdayena pratIcCa vajra hoH //
   tato yatra patati so 'sya sidhyati / tatastāṃ mālāṃ gṛhya tasyaidha śirasi	tatas yatra patati saH asya siDyati / tatas tAm mAlAm gRhya tasya eDa Sirasi
   bandhayedanena hadayena oṃ pratigṛṇhatvamimaṃ satvaṃ mahābalaḥ // tayā	banDayet anena hadayena om pratigRNha tvam imam satvam mahA balaH // tayA
   bandhayā tena mahāsattvena pratīcchito bhavati, śīghraṃ cāsya sidhyati /	banDayA tena mahAsattvena pratIcCitaH Bavati, SIGram ca asya siDyati /
   tatastathāviṣṭasyaiva mukhabandhaṃ muṃcedanena hṛdayena oṃ vajrasattvaḥ	tatas taTA Avizwasya eva muKa banDam muMcet anena hRdayena om vajra sattvaH
