   akarod brahmavittamaḥ KDA_465d	akarot brahma-vittamaH KDA_465d
   viparītaṃ samācaret* KDA_407b	viparItam samAcaret* KDA_407b
   viparītānubodhena KDA_407c	viparIta-anuboDena KDA_407c
   viprāṇāṃ patanaṃ dṛṣṭvā KDA_215c	viprANAm patanam dRzwvA KDA_215c
   viratā dharmamānasāḥ KDA_169b	viratAH Darma-mAnasAH KDA_169b
   viramya tadadhiṣṭhānād KDA_42c	viramya tad-aDizWAnAt KDA_42c
   vivādī krodhabāhulaḥ KDA_79b	vivAdI kroDa-bAhulaH KDA_79b
   viviktāraṇyagocare KDA_338d	vivikta-araNya-gocare KDA_338d
   viviktāraṇyavāseṣu KDA_44c	vivikta-araNya-vAsezu KDA_44c
   vivikte 'raṇyadeśe 'pi KDA_350c	vivikte araNya-deSe api KDA_350c
   vivikte 'raṇyavāse sa KDA_342c	vivikte araNya-vAse sa KDA_342c
   vividhārthānukāriṇaḥ KDA_176b	viviDa-arTa-anukAriNaH KDA_176b
   vivṛddhā tasyaivaṃ parahitarucir maitryanugatā KDA_417c	vivRdDA tasya-evam para-hita-ruciH mEtrI-anugatA KDA_417c
   viśārado mahābhijño KDA_83c	viSAradaH mahA-aBijQaH KDA_83c
   viśuddhātmāparigrahaḥ KDA_260b	viSudDa-AtmA-aparigrahaH KDA_260b
   viśeṣa upalabhyate KDA_134b	viSezaH upalaByate KDA_134b
   viśeṣa upalabhyate KDA_134b	viSezaH upalaByate KDA_134b
   viśeṣaṃ nādhigacchati KDA_287d	viSezam na-aDigacCati KDA_287d
   viśeṣo naiṣa vidyate KDA_134d	viSezaH na-eza vidyate KDA_134d
   viśrambhapraṇayaṃ tasmin KDA_32c	viSramBa-praNayam tasmin KDA_32c
   viśvakarmā yato vidhiḥ KDA_59d	viSvakarmA yatas viDiH KDA_59d
   viśvasyate sadā sadbhir KDA_421c	viSvasyate sadA sadBiH KDA_421c
   viśvāmitro mahāmuniḥ KDA_126b	viSvAmitraH mahA-muniH KDA_126b
   viṣaśastrānalādibhiḥ KDA_390b	viza-Sastra-anala-AdiBiH KDA_390b
   viṣṇudharmasamācārād KDA_188c	vizNuDarma-samAcArAt KDA_188c
   viṣṇubhaktiparāyaṇāḥ KDA_188b	vizNu-Bakti-parAyaNAH KDA_188b
   vismayaharṣasaṃyutāḥ KDA_450b	vismaya-harza-saMyutAH KDA_450b
   viharadhvaṃ yathāsukhaṃ KDA_413d	viharaDvam yaTAsuKam KDA_413d
   vihāraṃ brahmasādhanam* KDA_278b	vihAram brahma-sADanam* KDA_278b
   vihāre vyaharad dharmaṃ KDA_12c	vihAre vyaharat Darmam KDA_12c
   vihīno mānavaḥ paśuḥ KDA_222b	vihInaH mAnavaH paSuH KDA_222b
   viṃśatiguṇitaṃ yadā KDA_460d	viMSati-guNitam yadA KDA_460d
   viṃśatiśikharodgatam* KDA_318b	viMSati-SiKara-udgatam* KDA_318b
   vṛttaiś ca yadi bhūṣitaḥ KDA_401b	vRttEH ca yadi BUzitaH KDA_401b
   vṛthā syāt saṃskṛter vidhiḥ KDA_119d	vRTA syAt saMskRteH viDiH KDA_119d
   vṛthā syād dharmasaṃskṛtaiḥ KDA_91d	vRTA syAt Darma-saMskRtEH KDA_91d
   vṛddhiṃ prāpya guṇāś cettham KDA_101a	vRdDim prApya guNAH ca-itTam KDA_101a
   vṛṣalīphenapītasya KDA_110a	vRzalI-Pena-pItasya KDA_110a
   vedakarmānucārakāḥ KDA_238d	veda-karma-anucArakAH KDA_238d
   vedadharmārthasādhakāḥ KDA_173d	veda-Darma-arTa-sADakAH KDA_173d
   vedadharmāsthito dvijaḥ KDA_61d	veda-Darma-AsTitaH dvijaH KDA_61d
   vedaśāstrāgamais tasya KDA_50c	veda-SAstra-AgamEH tasya KDA_50c
   vedasiddhāntamāninam* KDA_81b	veda-sidDAnta-mAni-nam* KDA_81b
   vedasiddhāntayogānāṃ KDA_85c	veda-sidDAnta-yogAnAm KDA_85c
   vedasiddhāntaśāstreṣu KDA_79a	veda-sidDAnta-SAstrezu KDA_79a
   vedenāpi tathā naiva KDA_237a	vedena-api taTA na-eva KDA_237a
   veśayanti prajā dharme KDA_176c	veSayanti prajAH Darme KDA_176c
   vairānuśayatāṃ tyaktvā KDA_449c	vEra-anuSaya-tAm tyaktvA KDA_449c
   vaiśampāyana ādarāt* KDA_252b	vESampAyanaH AdarAt* KDA_252b
   vaiśampāyanam āgamya KDA_250c	vESampAyanam Agamya KDA_250c
   vaiśyaśūdre tathānyeṣu KDA_202c	vESya-SUdre taTA-anyezu KDA_202c
   vaiśyasyāpi bhaved bhāryā KDA_246c	vESyasya-api Bavet BAryA KDA_246c
   vaiśyā tu bhaginī viśaḥ KDA_246d	vESyA tu BaginI viSaH KDA_246d
   vaiśyāpi hi tathā caivam KDA_246a	vESyA-api hi taTA ca-evam KDA_246a
   vaiśyās te hi narottamāḥ KDA_176d	vESyAH te hi nara-uttamAH KDA_176d
   vaiśyāḥ śūdrās tathānye 'pi KDA_169c	vESyAH SUdrAH taTA-anye api KDA_169c
   vaiṣṇavās te 'pi mānavāḥ KDA_188d	vEzNavAH te api mAnavAH KDA_188d
   vyañjanaiś ca virājantaṃ KDA_306a	vyaQjanEH ca virAjantam KDA_306a
   vyaharat sarvasatvānām KDA_463c	vyaharat sarva-satvAnAm KDA_463c
   vyaharaddhyānatatparaḥ KDA_282d	vyaharat-DyAna-tatparaH KDA_282d
   vyākṛta iti bodhaye KDA_467b	vyAkRtaH iti boDaye KDA_467b
   vyāmaprabhāmahojjvalam* KDA_306b	vyAma-praBA-mahA-ujjvalam* KDA_306b
   vyāyacchamānaḥ khalu bodhimārge KDA_325c	vyAyacCamAnaH Kalu boDi-mArge KDA_325c
   vyāso nāma mahāmuniḥ KDA_123b	vyAsaH nAma mahA-muniH KDA_123b
   vratacaryānuliṅginaḥ KDA_194b	vrata-caryA-anuliFginaH KDA_194b
   vratācāravihīnā ye KDA_177a	vrata-AcAra-vihInAH ye KDA_177a
   vratopavāsadharmiṣṭā KDA_235c	vrata-upavAsa-DarmizwA KDA_235c
   śatravo duḥkhadāyakāḥ KDA_398d	SatravaH duHKa-dAyakAH KDA_398d
   śabda eva na cāparaḥ KDA_102b	SabdaH eva na ca-aparaH KDA_102b
   śabdasparśarūparasāś KDA_103c	Sabda-sparSa-rUpa-rasAH KDA_103c
   śabdasparśau ca vāyor vai KDA_102c	Sabda-sparSO ca vAyoH vE KDA_102c
   śamayanti ca ye bhūtān KDA_184c	Samayanti ca ye BUtAn KDA_184c
   śayituṃ vābhilāpitum* KDA_33b	Sayitum vA-aBilApitum* KDA_33b
   śayyādīnāṃ tathaiva ca KDA_9d	SayyA-AdInAm taTA-eva ca KDA_9d
   śarīradahanād bhavet* KDA_212d	SarIra-dahanAt Bavet* KDA_212d
   śarīrākārabhedatā KDA_150d	SarIra-AkAra-BedatA KDA_150d
   śarīro brāhmaṇo bhavet* KDA_217d	SarIraH brAhmaNaH Bavet* KDA_217d
   śākyamunir mahābuddhaḥ KDA_468a	SAkya-muniH mahAbudDaH KDA_468a
   śāntātmāno jitendriyāḥ KDA_46b	SAnta-AtmAnaH jita-indriyAH KDA_46b
   śāntātmā sukham āsthāya KDA_43c	SAnta-AtmA suKam AsTAya KDA_43c
   śāntātmā hitakṛdyogī KDA_388a	SAnta-AtmA hita-kRt-yogI KDA_388a
   śāpāśaniprahāreṇa KDA_87c	SApa-aSani-prahAreNa KDA_87c
   śāstā devamanuṣyāṇāṃ KDA_6a	SAstA deva-manuzyANAm KDA_6a
   śāstā devamanuṣyāṇāṃ KDA_462a	SAstA deva-manuzyANAm KDA_462a
   śāstuḥ pādau praṇamya ca KDA_15b	SAstuH pAdO praNamya ca KDA_15b
   śilpinas te tathānye 'pi KDA_181c	SilpinaH te taTA-anye api KDA_181c
   śivadharmānucārataḥ KDA_187d	Siva-Darma-anucArataH KDA_187d
   śivabhaktiparāyaṇāḥ KDA_187b	Siva-Bakti-parAyaNAH KDA_187b
   śivo 'py abhūd digambaraḥ KDA_394f	SivaH api aBUt digambaraH KDA_394f
   śīlaś cendriyasaṃyamaḥ KDA_205b	SIlaH ca-indriya-saMyamaH KDA_205b
   śīlasaṃvaravarjitam* KDA_51b	SIla-saMvara-varjitam* KDA_51b
   śīlaṃ pradhānaṃ na kulaṃ pradhānaṃ KDA_203a	SIlam praDAnam na kulam praDAnam KDA_203a
   śīlaṃ saṃyamasaṃvṛttam* KDA_57b	SIlam saMyama-saMvRttam* KDA_57b
   śīlaḥ kalyāṇakārakaḥ KDA_204b	SIlaH kalyANa-kArakaH KDA_204b
   śukraśoṇitasaṃbhūtaṃ KDA_197c	Sukra-SoNita-saMBUtam KDA_197c
   śuklānāṃ śuklatā nityaṃ KDA_480c	SuklAnAm Sukla-tA nityam KDA_480c
   śucau tasmin vāṇī vrajati vikṛtaṃ naiva ca tanuḥ KDA_417b	SucO tasmin vANI vrajati vikRtam na-eva ca tanuH KDA_417b
   śuddhācārapramāṇataḥ KDA_231b	SudDa-AcAra-pramANataH KDA_231b
   śuddhācārasamanvitāḥ KDA_235b	SudDa-AcAra-samanvitAH KDA_235b
   śūdrasyāpi bhaved bhāryā KDA_247c	SUdrasya-api Bavet BAryA KDA_247c
   śūdrāt pratigrahagrāhī KDA_112c	SUdrAt pratigraha-grAhI KDA_112c
   śūdrāt pratyavaro bhavet* KDA_132d	SUdrAt pratyavaraH Bavet* KDA_132d
   śūdrāt pratyavaro bhavet* KDA_263d	SUdrAt pratyavaraH Bavet* KDA_263d
   śūdrās te śreṣṭhinas tathā KDA_177d	SUdrAH te SrezWinaH taTA KDA_177d
   śūdrī ca gṛhamedhinī KDA_208b	SUdrI ca gRhameDinI KDA_208b
   śūdrī cāpi tathodbhavā KDA_247b	SUdrI ca-api taTA-udBavA KDA_247b
   śūdrīparivṛto vipraḥ KDA_208a	SUdrI-parivRtaH vipraH KDA_208a
   śūdrīhastena yo bhuṅkte KDA_207a	SUdrI-hastena yaH BuFkte KDA_207a
   śūdrīhastena yo bhuñkte KDA_111a	SUdrI-hastena yaH BuQkte KDA_111a
   śūdrī hi bhaginī khalu KDA_247d	SUdrI hi BaginI Kalu KDA_247d
   śūdro 'pi na kathaṃ dvijaḥ KDA_123b	SUdraH api na kaTam dvijaH KDA_123b
   śūdro 'pi brāhmaṇo bhavet* KDA_228d	SUdraH api brAhmaNaH Bavet* KDA_228d
   śūdro 'pi śīlasaṃpanno KDA_132a	SUdraH api SIla-saMpannaH KDA_132a
   śūdro 'pi śīlasaṃpanno KDA_263a	SUdraH api SIla-saMpannaH KDA_263a
   śṛṇu tat kathyate mayā KDA_252d	SRNu tat kaTyate mayA KDA_252d
   śṛṇudhvaṃ bhikṣavaḥ sarve KDA_458c	SRNuDvam BikzavaH sarve KDA_458c
   śṛṇudhvaṃ madvacaḥ sarve KDA_366a	SRNuDvam mad-vacaH sarve KDA_366a
   śṛṇu putra mayā proktaṃ KDA_41a	SRNu putra mayA proktam KDA_41a
   śṛṇu rājan mahābāho KDA_4a	SRNu rAjan mahA-bAho KDA_4a
   śṛṇu vatsa mahābhāga KDA_291a	SRNu vatsa mahABAga KDA_291a
   śṛṇu vatsa hitaṃ vakṣye KDA_89c	SRNu vatsa hitam vakzye KDA_89c
   śṛṇu vipra mahābhāga KDA_311a	SRNu vipra mahABAga KDA_311a
   śṛṇvanti śrāvayanti tribhuvanasukhadaṃ saṃnipātya janaughān* KDA_486b	SRNvanti SrAvayanti triBuvana-suKa-dam saMnipAtya jana-oGAn* KDA_486b
   śeṣāḥ śudrā yudhiṣṭhira KDA_258d	SezAH SudrAH yuDizWira KDA_258d
   śaikṣāśaikṣagāṇānāṃ ca KDA_472c	SEkzA-SEkza-gANAnAm ca KDA_472c
   śaucam indriyanigrahaḥ KDA_257b	SOcam indriya-nigrahaH KDA_257b
   śmaśānavratacāriṇaḥ KDA_172d	SmaSAna-vrata-cAriNaH KDA_172d
   śrāvakā bhikṣavaś caiva KDA_15c	SrAvakAH BikzavaH ca-eva KDA_15c
   śrāvastyāṃ puri + + + KDA_23b	SrAvastyAm puri + + + KDA_23b
   śrāvastyāṃ rājadhānyāṃ vai KDA_12a	SrAvastyAm rAjaDAnyAm vE KDA_12a
   śrutaṃ me gurubhāṣitam* KDA_483b	Srutam me guru-BAzitam* KDA_483b
   śrutvā lokahitotsukaḥ KDA_63b	SrutvA loka-hita-utsukaH KDA_63b
   śreṣṭhatve vṛṣalatve ca KDA_137c	SrezWa-tve vRzala-tve ca KDA_137c
   śreṣṭhibhiḥ sārthavāhaiś ca KDA_7c	SrezWiBiH sArTavAhEH ca KDA_7c
   śrotuṃ tasthau mudāḥ puraḥ KDA_309d	Srotum tasTO mudAH puras KDA_309d
   śrotriyā gṛhavāsinaḥ KDA_165b	SrotriyAH gRha-vAsinaH KDA_165b
   śrotriyo vedanān yatiḥ KDA_57d	SrotriyaH vedanAn yatiH KDA_57d
   śvapacā api dharmasthāḥ KDA_93a	SvapacAH api Darma-sTAH KDA_93a
   śvapaco 'pi dvijo bhavet* KDA_121b	SvapacaH api dvijaH Bavet* KDA_121b
   śvaśurasyāpi dakṣasya KDA_394c	SvaSurasya-api dakzasya KDA_394c
   śvānaḥ saptati janmāni KDA_113c	SvAnaH saptati janmAni KDA_113c
   ṣaṭkarmaniratā ye tu KDA_165a	zawkarma-niratAH ye tu KDA_165a
   ṣaṭ ca pāramitāḥ khyātāḥ KDA_295c	zaw ca pAramitAH KyAtAH KDA_295c
   ṣaḍabhijño munīśvaraḥ KDA_462d	zaxaBijQaH muni-ISvaraH KDA_462d
   ṣaḍindriyaviśeṣatā KDA_148d	zaz-indriya-viSeza-tA KDA_148d
   ṣaḍindriyasamās tathā KDA_151b	zaz-indriya-samAH taTA KDA_151b
   ṣaḍgatiṣu bhramanti te KDA_95d	zaxgatizu Bramanti te KDA_95d
   ṣaḍgatau bhujyate dhruvam* KDA_480f	zaxgatO Bujyate Druvam* KDA_480f
   ṣaṣṭi janmāni sūkaraḥ KDA_113b	zazwi janmAni sUkaraH KDA_113b
   sa eva brāhmaṇaḥ śuddhaḥ KDA_57c	saH eva brAhmaNaH SudDaH KDA_57c
   sa eva brāhmaṇottamaḥ KDA_62d	saH eva brAhmaNa-uttamaH KDA_62d
   sa eva brāhmaṇo dhīro KDA_59c	saH eva brAhmaNaH DIraH KDA_59c
   sa kiṃ guhāniviṣṭo 'pi KDA_54c	sa kim guhA-nivizwaH api KDA_54c
   sakaivartādinīcajāḥ KDA_229b	sa-kEva-rta-Adi-nIca-jAH KDA_229b
   saṅgād dhi jāyate māyā KDA_333c	saFgAt Di jAyate mAyA KDA_333c
   saccittalabdhaḥ sa muneḥ prasādāt KDA_325a	sat-citta-labDaH sa muneH prasAdAt KDA_325a
   satkāyadṛṣṭiśailaṃ ca KDA_318a	satkAya-dRzwi-SElam ca KDA_318a
   satkāralābheṣu parāṅmukatvāt KDA_328a	satkAra-lABezu parAFmuka-tvAt KDA_328a
   satkṛto mānitaḥ satvair KDA_6c	satkRtaH mAnitaH satvEH KDA_6c
   satkṛtyasya vivarjanam* KDA_268b	satkRtyasya vivarjanam* KDA_268b
   satyadharmapramāṇena KDA_240a	satya-Darma-pramANena KDA_240a
   satyadharmavratānvitāḥ KDA_163b	satya-Darma-vrata-anvitAH KDA_163b
   satyadharmāv anādṛtya KDA_378c	satya-DarmO anAdRtya KDA_378c
   satyavāco vratasthā ye KDA_168c	satya-vAcaH vrata-sTAH ye KDA_168c
   satyaṃ nāsti tapo nāsti KDA_206a	satyam na-asti tapaH na-asti KDA_206a
   satyaṃ brahma tapo brahma KDA_205a	satyam brahma tapaH brahma KDA_205a
   satyaṃ śaucaṃ dayā śaucaṃ KDA_257a	satyam SOcam dayA SOcam KDA_257a
   satyaṃ śaucaṃ smṛtir ghṛṇā KDA_269b	satyam SOcam smRtiH GRNA KDA_269b
   satvajīvānupoṣakāḥ KDA_178d	satva-jIva-anupozakAH KDA_178d
   satvadharmadharā devā KDA_94a	satva-Darma-DarA devAH KDA_94a
   satvadharmaratā ye tu KDA_99a	satva-Darma-ratAH ye tu KDA_99a
   satvarakṣārthacāriṇaḥ KDA_177b	satva-rakzA-arTa-cAriNaH KDA_177b
   satvarakṣāvratācārāḥ KDA_174c	satva-rakzA-vrata-AcArAH KDA_174c
   satvahiṃsāratāḥ khalāḥ KDA_438b	satva-hiMsA-ratAH KalAH KDA_438b
   satvā nānāśrayāḥ pṛthak* KDA_201d	satvAH nAnA-ASrayAH pRTak* KDA_201d
   satvānāṃ vinayārthena KDA_355c	satvAnAm vinaya-arTena KDA_355c
   satvānugrahakāraṇāt* KDA_354b	satva-anugraha-kAraNAt* KDA_354b
   satvānugrahaṇaṃ vinā KDA_353d	satva-anugrahaNam vinA KDA_353d
   satvā naikavidhā jātā KDA_97a	satvA na-ekaviDA jAtA KDA_97a
   satvān pāti dadad dānaṃ KDA_433c	satvAn pAti dadat dAnam KDA_433c
   satvārthabodhivāñchibhiḥ KDA_11d	satva-arTa-boDivAn-SiBiH KDA_11d
   satveṣ api yathātmaje KDA_313b	satveH api yaTA-Atmaje KDA_313b
   satveṣu ca yathātmaje KDA_314b	satvezu ca yaTA-Atmaje KDA_314b
   satveṣ evaṃ yathātmaje KDA_312b	satveH evam yaTA-Atmaje KDA_312b
   satveṣv api yathātmaje KDA_315b	satvezu api yaTA-Atmaje KDA_315b
   sadā dānāni saṃdatvā KDA_476a	sadA dAnAni saMdatvA KDA_476a
   sadāśīviṣavādena KDA_474a	sat-ASIviza-vAdena KDA_474a
   sadguṇālaṃkṛto yadi KDA_400b	sat-guNa-alaMkRtaH yadi KDA_400b
   saddharmaguṇadāyakāḥ KDA_445b	sat-Darma-guNa-dAyakAH KDA_445b
   saddharmaguṇasādhane KDA_55b	sadDarma-guNa-sADane KDA_55b
   saddharmasukhacāriṇaḥ KDA_21b	sadDarma-suKa-cAriNaH KDA_21b
   saddharmaṃ samupādiśan* KDA_463d	sadDarmam samupAdiSan* KDA_463d
   saddharmādīn pratikṣipya KDA_408a	sadDarma-AdIn pratikzipya KDA_408a
   saddharmābhirato bhava KDA_63d	sadDarma-aBirataH Bava KDA_63d
   saddharmārthopadarśayan* KDA_431b	sadDarma-arTa-upadarSayan* KDA_431b
   saddharme vinayārthena KDA_365c	sadDarme vinaya-arTena KDA_365c
   saddharmeṣu niveśaya KDA_322b	sat-Darmezu niveSaya KDA_322b
   sadyaḥ patati māṃsena KDA_214a	sadyas patati mAMsena KDA_214a
   sadyaḥ praśāntendriya eva tasthau KDA_324c	sadyas praSAnta-indriyaH eva tasTO KDA_324c
   sa naṭarṣir ivonmadaḥ KDA_51d	sa nawa-RziH iva-unmadaH KDA_51d
   santi ca bahavaḥ śūdrāḥ KDA_235a	santi ca bahavaH SUdrAH KDA_235a
   santi hi bahavo loke KDA_232a	santi hi bahavaH loke KDA_232a
   sanmaitryā viharanta eva muditāṃ prodbhāvayadhvaṃ sadā KDA_419d	sat-mEtryAH viharantaH eva muditAm prodBAvayaDvam sadA KDA_419d
   sapakṣijantumānavān* KDA_286d	sa-pakzi-jantu-mAnavAn* KDA_286d
   sapta vyādhā daśāraṇye KDA_107c	sapta vyADAH daSAraNye KDA_107c
   sa prativigato 'py abhūt* KDA_308d	sa prativigataH api aBUt* KDA_308d
   samantata itas tataḥ KDA_360d	samantataH itas tatas KDA_360d
   samantato mahābhadraṃ KDA_307a	samantataH mahABadram KDA_307a
   samanvāharad ātmavān* KDA_329b	samanvAharat AtmavAn* KDA_329b
   samamāṃsādibhedāś ca KDA_151a	sama-mAMsa-Adi-BedAH ca KDA_151a
   samaṃ jñānaṃ pravartate KDA_202d	samam jQAnam pravartate KDA_202d
   samādhidhyānayukto 'pi KDA_287a	samADi-DyAna-yuktaH api KDA_287a
   samādhidhyānavaryāsu KDA_88c	samADi-DyAna-varyAsu KDA_88c
   samāneṣu ca deheṣu KDA_218c	samAnezu ca dehezu KDA_218c
   samāśvāsya subhūtinā KDA_358b	samASvAsya suBUtinA KDA_358b
   samāśvāsya surakṣitāḥ KDA_362d	samASvAsya su-rakzitAH KDA_362d
   samutpanno babhūva saḥ KDA_471d	samutpannaH baBUva saH KDA_471d
   samutsehur na kecana KDA_33d	samutsehuH na kecana KDA_33d
   samṛddhaḥ śilpavān api KDA_402b	samRdDaH SilpavAn api KDA_402b
   sameṣu kā viśeṣatā KDA_225d	samezu kA viSeza-tA KDA_225d
   samyaksaṃbodhideśakaḥ KDA_6b	samyaksaMboDi-deSakaH KDA_6b
   samyagājñāpitā iti KDA_13d	samyak-AjQApitA iti KDA_13d
   sarvakleśān vinirjitya KDA_63c	sarva-kleSAn vinirjitya KDA_63c
   sarvakleśān vinirjitya KDA_340c	sarva-kleSAn vinirjitya KDA_340c
   sarvajantuśarīreṣu KDA_225c	sarva-jantu-SarIrezu KDA_225c
   sarvajātivarottamaḥ KDA_90b	sarva-jAti-vara-uttamaH KDA_90b
   sarvajñātiviruddhatvāt KDA_31c	sarva-jQAti-virudDa-tvAt KDA_31c
   sarvajño bhagavān nāthaḥ KDA_462c	sarvajQaH BagavAn nATaH KDA_462c
   sarvajño lokanāyakaḥ KDA_294b	sarvajQaH lokanAyakaH KDA_294b
   sarvajño lokanāyakaḥ KDA_468b	sarvajQaH lokanAyakaH KDA_468b
   sarvatīrthābhiṣiñcanaiḥ KDA_272b	sarva-tIrTa-aBiziQcanEH KDA_272b
   sarvatra munibhiś cāpi KDA_80c	sarvatra muniBiH ca-api KDA_80c
   sarvathā karmaṇāṃ gatiḥ KDA_480b	sarvaTA karmaNAm gatiH KDA_480b
   sarvadarśī vināyakaḥ KDA_452b	sarvadarSI vinAyakaH KDA_452b
   sarvadevādhipaṃ samyak- KDA_307c	sarva-deva-aDipam samyak KDA_307c
   sarvadharmānupālakaḥ KDA_294d	sarva-Darma-anupAlakaH KDA_294d
   sarvadharmābhipālakāḥ KDA_175d	sarva-Darma-aBipAlakAH KDA_175d
   sarvapāramitāratāḥ KDA_445d	sarva-pAramitA-ratAH KDA_445d
   sarvapāramitāḥ pūrya KDA_117c	sarva-pAramitAH pUrya KDA_117c
   sarvabhūtadayā nāsti KDA_206c	sarva-BUta-dayA na-asti KDA_206c
   sarvabhūtadayā brahma KDA_205c	sarva-BUta-dayA brahma KDA_205c
   sarvabhūtadayā śaucaṃ KDA_257c	sarva-BUta-dayA SOcam KDA_257c
   sarvabhūteṣu dāruṇam* KDA_273b	sarva-BUtezu dAruNam* KDA_273b
   sarvamantravidhānajñaḥ KDA_285c	sarva-mantra-viDAna-jQaH KDA_285c
   sarvam ekaṃ jagad dhruvam* KDA_240b	sarvam ekam jagat Druvam* KDA_240b
   sarvalokahitārthataḥ KDA_4b	sarva-loka-hita-arTataH KDA_4b
   sarvalokānukampakāḥ KDA_426b	sarva-loka-anukampakAH KDA_426b
   sarvalokeṣv ivātmaje KDA_277b	sarva-lokezu iva-Atmaje KDA_277b
   sarvavarṇāgrajo vipraḥ KDA_90a	sarva-varNa-agrajaH vipraH KDA_90a
   sarvavidyākalājño 'pi KDA_402a	sarva-vidyA-kalA-jQaH api KDA_402a
   sarvavedārthapāragaḥ KDA_285b	sarva-veda-arTa-pAragaH KDA_285b
   sarvaśāstrakalābhijño KDA_85a	sarva-SAstra-kalA-aBijQaH KDA_85a
   sarvaśāstrāṅgapāragaḥ KDA_41d	sarva-SAstra-aFga-pAragaH KDA_41d
   sarvaśāstrāṇy anukramāt* KDA_35b	sarva-SAstrANi anukramAt* KDA_35b
   sarvaśāstrārthakovidaḥ KDA_83b	sarva-SAstra-arTa-kovidaH KDA_83b
   sarvaśokavinoditaḥ KDA_1b	sarva-Soka-vinoditaH KDA_1b
   sarvasatvahitārthataḥ KDA_311b	sarva-satva-hita-arTataH KDA_311b
   sarvasatvahitārthasthās KDA_427c	sarva-satva-hita-arTa-sTAH KDA_427c
   sarvasatvahitārthena KDA_296c	sarva-satva-hita-arTena KDA_296c
   sarvasatvahiteṣitam* KDA_58b	sarva-satva-hita-Izitam* KDA_58b
   sarvasatvānupālaka KDA_320d	sarva-satva-anupAlaka KDA_320d
   sarvasatvān upālakaḥ KDA_56b	sarva-satvAn upAlakaH KDA_56b
   sarvasatvānupālakāḥ KDA_443d	sarva-satva-anupAlakAH KDA_443d
   sarvaṃ ca saṃsāram anityatāhataṃ KDA_326a	sarvam ca saMsAram anitya-tA-hatam KDA_326a
   sarvaṃ hi manusaṃbhavam* KDA_161d	sarvam hi manu-saMBavam* KDA_161d
   sarvānando babhūva saḥ KDA_116b	sarva-AnandaH baBUva saH KDA_116b
   sarvān dṛṣṭvā prasannitān* KDA_365b	sarvAn dRzwvA prasannitAn* KDA_365b
   sarvāśī sarvavikrayī KDA_270d	sarva-ASI sarva-vikrayI KDA_270d
   sarve jīvā militvaiva KDA_105a	sarve jIvAH militvA-eva KDA_105a
   sarve te krodhino narāḥ KDA_367d	sarve te kroDinaH narAH KDA_367d
   sarve te garuḍā api KDA_362b	sarve te garuxAH api KDA_362b
   sarve te maitracāriṇaḥ KDA_367b	sarve te mEtra-cAriNaH KDA_367b
   sarve nāgāḥ suparṇebhyaḥ KDA_358c	sarve nAgAH suparNeByaH KDA_358c
   sarvendriyavinirgatyā KDA_282c	sarva-indriya-vinirgatyA KDA_282c
   sarve 'pi rākṣasāś caivaṃ KDA_238c	sarve api rAkzasAH ca-evam KDA_238c
   sarve mūtrapurīṣiṇaḥ KDA_131b	sarve mUtra-purIziNaH KDA_131b
   sarve mūtrapurīṣiṇaḥ KDA_262b	sarve mUtra-purIziNaH KDA_262b
   sarve vai yonijā martyāḥ KDA_131a	sarve vE yoni-jAH martyAH KDA_131a
   sarve vai yonijā martyāḥ KDA_262a	sarve vE yoni-jAH martyAH KDA_262a
   sarveṣāṃ pātakānāṃ tat KDA_412a	sarvezAm pAtakAnAm tat KDA_412a
   sarve syur brāhmaṇā narāḥ KDA_129d	sarve syuH brAhmaNAH narAH KDA_129d
   sarve syur brāhmaṇāḥ khalu KDA_231d	sarve syuH brAhmaNAH Kalu KDA_231d
   sarve syur brāhmaṇāḥ khalu KDA_234b	sarve syuH brAhmaNAH Kalu KDA_234b
   sarve syur mānavā dvijāḥ KDA_92d	sarve syuH mAnavAH dvijAH KDA_92d
   sarve harṣasamāpannā KDA_27c	sarve harza-samApannA KDA_27c
   sa vidvān api nāsevyo KDA_400c	sa vidvAn api na-AsevyaH KDA_400c
   saśakradevāsuramānuṣāṇām* KDA_328b	sa-Sakra-deva-asura-mAnuzANAm* KDA_328b
   sa sakāmo 'bhavad yadā KDA_344d	sa sa-kAmaH aBavat yadA KDA_344d
   sa sādhupuruṣaś cāpi KDA_399c	sa sADupuruzaH ca-api KDA_399c
   sa subhūtir guṇotsukaḥ KDA_281b	sa suBUtiH guNa-utsukaH KDA_281b
   sa subhūtiḥ pramoditaḥ KDA_317b	sa suBUtiH pramoditaH KDA_317b
   sa subhūtiḥ samṛddhimān* KDA_355b	sa suBUtiH samRdDimAn* KDA_355b
   sa subhūtiḥ subuddhimān* KDA_350b	sa suBUtiH su-budDimAn* KDA_350b
   sahantyarīn prahāriṇaḥ KDA_432b	sahanti-arIn prahAriNaH KDA_432b
   saharṣādbhutam āyayuḥ KDA_363d	sa-harza-adButam AyayuH KDA_363d
   sahasā pitarau natvā KDA_73c	sahasA pitarO natvA KDA_73c
   sahasrakiraṇādhikyaṃ KDA_306c	sahasra-kiraNa-ADikyam KDA_306c
   sa hi vipro mahābhijño KDA_60c	sa hi vipraH mahA-aBijQaH KDA_60c
   saṃkleśādhīracetanaḥ KDA_87b	saMkleSa-aDIra-cetanaH KDA_87b
