   bhāmatī	BAmatI
   'yaistu dravyaṃ cikīrṣyate guṇastatra pratīyeta'iti nyāyādata āha na cedaṃ	ayEH tu dravyam cikIrzyate guNaH tatra pratIyeta aiti nyAyAt atas Aha na ca idam
   brahmātmaikatvavijñānamiti /	brahma AtmA ekatva vijQAnam iti /
   kutaḥ, saṃpadādirūpe hi brahmātmaikatvavijñāna iti /	kutaH, saMpad Adi rUpe hi brahma AtmA eka tva vijQAnaH iti /
   FN: 1 ātmopāstyādeḥ saṃskārakarmatvaṃ prakaraṇādvā vākyādvā bhavet / nādya	FN: 1 AtmA upAsti AdeH saMskAra karma tvam prakaraNAt vA vAkyAt vA Bavet / na adya
   ityāha darśeti /	iti Aha darSa iti /
   darśapūrṇamāsaprakaraṇe hi samāmnātamājyāvekṣaṇaṃ tadaṅgabhūtājyasaṃskāra	darSa pUrNamAsa prakaraNe hi samAmnAtam Ajya avekzaNam tad aFga BUta Ajya saMskAra
   iti yujyate /	iti yujyate /
   FN: 2 dvitīyaṃ pratyāha naceti /	FN: 2 dvitIyam pratyAha naca iti /
   naca 'ātmā vā are draṣṭavyaḥ'ityādi kasyacitprakaraṇe samāmnātam /	na ca aAtmA vE are drazwavyaH aityAdi kasyacid prakaraNe samAmnAtam /
   na cānārabhyādhītamapi /	na ca anAraBya aDItam api /
   'yasya pūrṇamayī juhūrbhavati'ityavyabhicaritakratusaṃbandhajuhūdvāreṇa	ayasya pUrNa mayI juhUH Bavati aitya vyaBicarita kratu saMbanDa juhU dvAreNa
   juhūpadaṃ kratuṃ smārayadvākyena yathā parṇatāyāḥ	juhUpadam kratum smArayat vAkyena yaTA parNa tAyAH
   kratuśeṣabhāvamāpādayati, evamātmā nāvyabhicāritakratusaṃbandhaḥ, yena	kratu Seza BAvam ApAdayati, evam AtmA na avyaBicArita kratu saMbanDaH, yena
   taddarśanaṃ kratvaṅgaṃ sadātmānaṃ kratvarthaṃ saṃskuryāt /	tad darSanam kratu aFgam sadA AtmAnam kratu arTam saMskuryAt /
   tena yadyayaṃ vidhistathāpi	tena yadi ayam viDiH taTA api
   FN: 1 'tasmātsuvarṇaṃ hiraṇyaṃ bhāryaṃ durvaṇo 'sya bhātṛvyo	FN: 1  atasmAt suvarNam hiraNyam BAryam durvaNaH asya BAtRvyaH 
   bhavati'ityanārabhyādhīyate / tatra kiṃ śobhanahiraṇyadhāraṇaṃ	Bavati aiti anAraBya ADIyate / tatra kim SoBana hiraNya DAraNam
   kratvaṅgamuta puruṣadharma iti saṃdehe durvarṇakāma ityaśravaṇāt	kratu aFgam uta puruza DarmaH iti saMdehe durvarNa kAmaH iti aSravaNAt 
   svatantraphalakalpane gauravāt, kratvaṅgamiti prāpte aprakaraṇapaṭhitasya	svatantra Pala kalpane gOrava at, kratu aFgam iti prApte aprakaraNa paWitasya
   prākaraṇikadharmādviśeṣāt, taddhāraṇasya loke 'pi vidyamānatvena	prAkaraNika DarmAt viSeza at, tad DAraNasya loke api vidyamAna tvena
   parṇamayītāvatkratvavyabhicārābhāvāt, hiraṇyasādhanakaṃ dhāraṇaṃ	parNa mayI tA vatkra tva vyaBicAra aBAva at, hiraNya sADanakam DAraNam
   vākyaśeṣagataphalāya vidhīyata iti puruṣadharmaḥ, evamihāpi	vAkya Seza gata PalAya viDIyate iti puruza DarmaH, evam iha api
   ātmadarśanenāmṛtatvaṃ bhāvayediti vidhānātpradhānakarmataiveti /	Atma darSanena amRta tvam BAvayet iti viDAnAt praDAna karma tA eva iti /
   'suvarṇaṃ bhāryam'itivat viniyogabhaṅgena	asuvarNam BAryam aiti vat viniyoga BaFgena
   pradhānakarmaivāpūrvaviṣayatvānna guṇakarmeti	praDAna karma eva apUrva vizaya tvAt na guNa karma iti
   sthavīyastayaitaddūṣaṇamanabhidhāya sarvapakṣasādhāraṇaṃ dūṣaṇamuktam /	sTavIyaH tayA etat dUzaNam anaBiDAya sarva pakza sADAraNam dUzaNam uktam /
   tadatirohitārthatayā na vyākhyātam /	tad atirohita arTa tayA na vyAKyAtam /
   kiṃ ca jñānakriyāviṣayatvavidhānamasya bahuśrutiviruddhamityāha na ca	kim ca jQAna kriyA vizaya tva viDAnam asya bahu Sruti virudDam iti Aha na ca
   vidikriyeti /	vidikriyA iti /
   śaṅkate aviṣayatva iti /	SaFkate a vizayatvaH iti /
   tataśca śāntikarmaṇi vetālodaya iti bhāvaḥ /	tatas ca SAnti karmaNi vetAla udayaH iti BAvaH /
   nirākaroti na /	nirAkaroti na /
   kutaḥ	kutas 
   avidyākalpitabhedanivṛttiparatvāditi /	avidyA kalpita Beda nivRtti para tvAt iti /
   sarvameva hi vākyaṃ nedantayā vastubhedaṃ bodhayitumarhati /	sarvam eva hi vAkyam nedantayA vastu Bedam boDayitum arhati /
   na hīkṣukṣīraguḍādīnāṃ madhurarasabhedaḥ śakya ākhyātum /	na hi ikzu kzIra guxa AdInAm maDura rasa BedaH SakyaH AKyAtum /
   evamanyatrāpi sarvatra draṣṭavyam /	evam anyatra api sarvatra drazwavyam /
   tena pramāṇāntarasiddhe laukike evārthe yadā gatiridṛśī śabdasya, tadā	tena pramANa antara sidDe lOkike eva arTe yadA gatiH idRSI Sabdasya, tadA
   kaiva kathā pratyagātmanyalaukike /	kA eva kaTA pratyak Atmani alOkike /
   adūra	adUra
   FN: 1 lakṣaṇayetyarthaḥ /	FN: 1 lakzaNayA iti arTaH /
   viprakarṣeṇa tu kathañcitpratipādanamihāpi samānam /	viprakarzeNa tu kaTaQcid pratipAdanam iha api samAnam /
   tvaṃpadārtho hi pramātā pramāṇādhīnayā pramityā prameyaṃ ghaṭādi	tvaMpadArTaH hi pramAtA pramANa aDInayA pramityA prameyam Gawa Adi
   vyāpnotītyavidyāvilasitam /	vyApnoti iti avidyA vilasitam /
   tadasyā viṣayībhūtodāsīnatatpadārthapratyagātmasāmānādhikaraṇyena	tat asyAH vizayIBUta udAsIna tad padArTa pratyak Atma sAmAna aDikaraNyena
   pramātṛtvābhāvāt tannivṛttau pramāṇādayastisro vidhā nivartante /	pramAtR tva aBAvAt tad nivRttO pramANa AdayaH tisraH viDAH nivartante /
   na hi pakturavastutve pākyapākapacanāni vastusanti bhavitumarhantīti /	na hi paktuH avastu tve pAkyapAka pacanAni vastusanti Bavitum arhanti iti /
   tathā hi 'vigalitaparāgvṛttyarthatvaṃ tvaṃpadasya tadastadā tvamiti hi	taTA hi  avigalita parAk vRtti arTa tvam tvaMpadasya tat aH tadA tvam iti hi
   padenaikārthatve tvamityapi yatpadam /	padena eka arTa tve tvam iti api yat padam /
   tadapi ca tadā gatvaikārthyaṃ viśuddhacidātmatāṃ tyajati	tat api ca tadA gatvA ekArTyam viSudDa cit Atma tAm tyajati
   sakalānkartṛtvādīnpadārthamalānnijān //	sakalAn kartR tva AdIn padArTa malAn nijAn //
   'ityāntaraślokaḥ /	aitya antaraSlokaH /
   atraivārthe śrutīrudāharati tathā ca śāstram yasyāmatamiti /	atra eva arTe SrutIru dAha rati  taTA ca SAstram  yasyAmatam iti /
   prakṛtamupasaṃharati ato 'vidyākalpiteti /	prakRtam upasaMharati atas avidyA kalpitA iti /
   parapakṣe mokṣasyānityatāmāpādayati yasya tviti /	para pakze mokzasya anitya tAm ApAdayati yasya tu iti /
   kāryamapūrvaṃ yāgādivyāpārajanyamtadapekṣate mokṣaḥ svotpattāviti /	kAryam apUrvam yAga Adi vyApAra janyam tad apekzate mokzaH sva utpattO= iti /
   tayoḥ pakṣayoriti /	tayoH pakzayoH iti /
   nirvartyavikāryayoḥ kṣaṇikaṃ jñānamātmeti bauddhāḥ /	nirvartya vikAryayoH kzaNikam jQAnam AtmA iti bOdDAH /
   tathā ca viśuddhavijñānotpādo mokṣa iti nirvartyo mokṣaḥ /	taTA ca viSudDa vijQAna utpAdaH mokzaH iti nirvartyaH mokzaH /
   anyeṣāṃ tu saṃskārarūpāvasthāmapahāya yā kaivalyāvasthāvāptirātmanaḥ sa	anyezAm tu saMskAra rUpa avasTAm apahAya yA kEvalya avasTA avAptiH AtmanaH sa
   mokṣa iti vikāryo mokṣaḥ /	mokzaH iti vikAryaH mokzaH /
   yathā payasaḥ pūrvāvasthāpahānenāvasthāntaraprāptirvikāro dadhīti /	yaTA payasaH pUrva avasTA apahAnena avasTA antara prAptiH vikAraH daDi iti /
   tadetayoḥ pakṣayoranityatā mokṣasya, kāryatvāt, dadhighaṭādivat /	tat etayoH pakzayoH anitya tA mokzasya, kArya tva at, daDi Gawa Adi vat /
   'atha yadataḥ paro divo jyotirdīpyate'iti śruterbrahmaṇo	aaTa yat atas paraH divaH jyotiH dIpyate aiti SruteH brahmaNaH 
   vikṛtāvikṛtadeśabhedāvagamādavikṛtadeśabrahmaprāptirūpāsanādividhikāryā	vikRta avikRta deSa BedOvagamAt avikRta deSa brahma prApti rUpa Asana Adi viDi kAryA
   bhaviṣyati /	Bavizyati /
   tathā ca prāpyakarmatā brahmaṇa ityata āha na cāpyatvenāpīti /	taTA ca prApya karmatA brahmaNaH iti atas Aha na ca api atvena api iti /
   anyadanyena vikṛtadeśaparihāṇyāvikṛtadeśaṃ prāpyate /	anyat anyena vikRta deSa parihANya avikRta deSam prApyate /
   tadyathopavelaṃ	tat yaTA upavelam
   jaladhiratibahalacapalakallolamālāparasparāsphālanasamullasatphenapuñjastabakatayā	jala DiH ati bahala capala kallola mAlA paraspara AsPAlana samullasat Pena puQja stabaka tayA
   vikṛtaḥ, madhye tu praśāntasakalakallolopasargaḥ svacchaḥ	vikRtaH, maDye tu praSAnta sakala kallola upasargaH svacCaH
   sthiratayāvikṛtastasya madhyamavikṛtaṃ pautikaḥ potena prāpnoti /	sTira tayA avikRtaH tasya maDyama vikRtam pOtikaH potena prApnoti /
   jīvastu brahmaiveti kiṃ kena prāpyatām /	jIvaH tu brahma eva iti kim kena prApyatAm /
   bhedāśrayātvātprāpterityarthaḥ /	Beda ASrayAtvAt prApteH iti arTaH /
   atha jīvo brahmaṇo bhinnastathāpi na tena brahmāpyate, brahmaṇo vibhutvena	aTa jIvaH brahmaNaH BinnaH taTA api na tena brahma apyate, brahmaNaH viBu tvena
   nityaprāptatvādityāha svarūpavyatiriktatve 'pīti /	nitya prApta tvAt iti Aha  svarUpa vyatirikta tve api iti /
   saṃskārakarmatāmapākaroti nāpi saṃskārya iti /	saMskAra karma tAm apAkaroti na api saMskArya iti /
   dvayī hi saṃskāryatā, guṇādhānena vā, yathā bījapūrakusumasya	dvayI hi saMskAryatA, guNa ADAnena vA, yaTA bIjapUra kusumasya
   lākṣārasāvasekaḥ,tena hi tatkusumaṃ saṃskṛtaṃ lākṣārasasavarṇaṃ phalaṃ	lAkzA rasa avasekaH,tena hi tat kusumam saMskRtam lAkzA rasa savarNam Palam
   prasūte /	prasUte /
   doṣāpanayena vāyathā malinamādarśatalaṃ	doza apanayena vAyaTAH malinam AdarSa talam
   nighṛṣṭamiṣṭakācūrṇenodbhāsitabhāsvaratvaṃ saṃskṛtaṃ bhavati /	niGRzwam izwakA cUrNena udBAsita BAsvara tvam saMskRtam Bavati /
   tatra na tāvadbrahmaṇi guṇādhānaṃ saṃbhavati /	tatra na tAvat brahmaNi guNa ADAnam saMBavati /
   guṇo hi brahmaṇaḥ svabhāvo vā bhinno vā /	guNaH hi brahmaNaH svaBAvaH vA BinnaH vA /
   svabhāvaścet kathamādheyaḥ, tasya nityavāt /	svaBAvaH ced kaTam ADeyaH, tasya nityavAt /
   bhinnatve tu kāryatvena mokṣasyānityatvaprasaṅgaḥ /	Binna tve tu kAryatvena mokzasya anitya tva prasaFgaH /
   na ca bhede dharmadharmibhāvaḥ, gavāśvavat /	na ca Bede Darma Darmi BAvaH, gavASva vat /
   bhedābhedaśca vyudastaḥ, virodhāt /	Beda aBedaH ca vyudastaH, viroDAt /
   tadanenābhisaṃdhinoktam anādheyātiśayabrahmasvarūpatvānmokṣasya /	tad anena aBisaMDinA uktam  anADeya atiSaya brahma svarUpa tvAt mokzasya /
   dvitīyaṃ pakṣaṃ pratikṣipati nāpi doṣāpanayaneneti /	dvitIyam pakzam pratikzipati na api doza apanayanena iti /
   aśuddhiḥ satī darpaṇe nivartate,na tu brahmaṇi asatī nivartanīyā /	aSudDiH satI darpaNe nivartate,na tu brahmaNi asatI nivartanIyAH /
   nityanivṛttatvādityarthaḥ /	nitya nivRtta tvAt iti arTaH /
   śaṅkate svātmadharma eveti /	SaFkate  sva Atma DarmaH eva iti /
   brahmasvabhāva eva mokṣo 'nādyavidyāmalāvṛta upāsanādikriyayātmani	brahma svaBAvaH eva mokzaH anAdya vidyA mala AvRtaH upAsana Adi kriyayA Atmani
   saṃskriyamāṇe 'bhivyajyate, na tu kriyate /	saMskriyamANe aBivyajyate, na tu kriyate /
   etaduktaṃ bhavati nityaśuddhatvamātmano 'siddham,	etat uktam Bavati nitya SudDa tvam AtmanaH asidDam,
   saṃsārāvasthāyāmavidyāmalinatvāditi /	saMsAra avasTAyAm avidyA malina tvAt iti /
   śaṅkāṃ nirākaroti na /	SaFkAm nirAkaroti na /
   kutaḥ,	kutas ,
   kriyāśrayatvānupapatteḥ /	kriyA Srayatva anupapatteH /
   nāvidyā brahmāśrayā, kiṃ tu jīve,sā tvanirvacanīyetyuktam,tena	na avidyA brahma ASrayA, kim tu jIve, sA tu anirvacanIya iti uktam ,tena
   nityaśuddhameva brahma /	nitya SudDam eva brahma /
   abhyupetya tvaśuddhiṃ kriyāsaṃskāryatvaṃ dūṣyate /	aByupetya tu aSudDim kriyA saMskArya tvam dUzyate /
   kriyā hi brahmasamavetā vā brahma saṃskuryāt, yathā	kriyA hi brahma samavetAH vA brahma saMskuryAt, yaTA
   nigharṣaṇamiṣṭakācūrṇasaṃyogavibhāgapracayo nirantara ādarśatalasamavetaḥ	niGarzaNam izwakA cUrNa saMyoga viBAga pracayaH nirantaraH AdarSa tala samavetaH
   anyasamavetā vā /	anya samavetAH vA /
   na tāvadbrahmadharmaḥ kriyā, tasyāḥ svāśrayavikārahetutvena brahmaṇo	na tAvat brahma DarmaH kriyA, tasyAH sva ASraya vikAra hetu tvena brahmaNaH 
   nityatvavyāghātāt /	nitya tva vyAGAtAt /
   FN: 1 yadyapi caitrasamavetā bhāvanā darpaṇasyopakaroti tathāpi	FN: 1 yadi api cEtra samavetAH BAvanA darpaNasya upakaroti taTA api
   saṃyogavibhāgākhyadhātvarthadvārā / tau ca nātmanītyarthaḥ /	saMyoga viBAga AKya DAtu arTa dvArA / tO ca na Atmani iti arTaH /
   anyāśrayā tu kathamanyasyopakaroti, atiprasaṅgāt /	anya ASrayA tu kaTam anyasya upakaroti, atiprasaFgAt /
   na hi darpaṇe nighṛṣyamāṇe maṇirviśuddho dṛṣṭaḥ /	na hi darpaNe niGRzyamANe maNiH viSudDaH dRzwaH /
   taccāniṣṭamiti /	tat ca anizwam iti /
   tadā bādhanaṃ	tadA bADanam
   FN: 2 avyavahitatvāt / anityatvamātmanaḥ prasajyetetyuktamanityatvaṃ tu	FN: 2 a vyavahita tvAt / anitya tvam AtmanaH prasajyeta iti uktam anitya tvam tu
   vyavahitamiti bhāvaḥ /	vyavahitam iti BAvaH /
   parāmṛśati /	parAmRSati /
   atra vyabhicāraṃ codayati nanu dehāśrayayeti /	atra vyaBicAram codayati nanu deha ASrayayA iti /
   pariharati na /	pariharati na /
   dehasaṃhatasyeti /	deha saMhatasya iti /
   anādyanirvācyāvidyopadhānameva brahmaṇo jīva iti ca kṣetrajña iti	anAdya nirvAcya avidyA upaDAnam eva brahmaNaH jIvaH iti ca kzetrajQaH iti
   cācakṣate /	ca Acakzate /
   sa ca	sa ca
   sthūlasūkṣmaśarīrendriyādisaṃhatastatsaṃghātamadhyapatitastadabhedenāhamitipratyayaviṣayībhūtaḥ,ataḥ	sTUla sUkzma SarIra indriya Adi saMhataH tad saMGAta maDya patitaH tad aBedena ahamiti pratyaya vizayIBUtaH,atas 
   śarīrādisaṃskāraḥ śarīrādidharmo 'pyātmano bhavati, tadabhedādhyavasāyāt /	SarIra Adi saMskAraH SarIra Adi DarmaH api AtmanaH Bavati, tad aBeda aDyavasAyAt /
   yathā aṅgarāgadharmaḥ sugandhitā kāminīnāṃ vyapadiśyate /	yaTA aFga rAga DarmaH suganDi tA kAminInAm vyapadiSyate /
   tenātrāpi yadāśritā kriyā sāṃvyavahārikapramāṇaviṣayīkṛtā tasyaiva	tena atra api yat ASritA kriyA sAMvyavahArika pramANa vizayIkRtA tasya eva
   saṃskāro nānyasyeti na vyabhicāraḥ /	saMskAraH na anyasya iti na vyaBicAraH /
   tattvatastu na kriyā na saṃskāra iti /	tattvataH tu na kriyA na saMskAraH iti /
   sanidarśanaṃ tu śeṣamadhyāsabhāṣye eva kṛtavyākhyānamiti neha vyākhyātam /	sa nidarSanam tu Sezam aDyAsaBAzye eva kRta vyAKyAnam iti na iha vyAKyAtam /
   tayoranyaḥ pippalamiti /	tayoH anyaH pippalam iti /
   anyo jīvātmā /	anyaH jIvAtmA /
   pippalaṃ karmaphalam /	pippalam karma Palam /
   anaśnannanya iti /	anaSnan= anyaH iti /
   paramātmā /	paramAtmA /
   saṃhatasyaiva bhoktṛtvamāha mantravarṇaḥ ātmendriyeti /	saMhatasya eva BoktR tvam Aha mantra varNaH Atma indriyA iti /
   anupahitaśuddhasvabhāvabrahmapradarśanaparau mantrau paṭhati eko deva iti	anupahita SudDa svaBAva brahma pradarSana parO mantrO paWati  ekaH devaH iti
   śukraṃ dīptimat /	Sukram dIptimat /
   avraṇaṃ duḥkharahitam /	avraNam duHKa rahitam /
   asrāviraṃ avigalitam /	asrAviram avigalitam /
   avināśīti yāvat /	avinASI iti yAvat /
   upasaṃharati tasmāditi /	upasaMharati  tasmAt iti /
   nanu mā bhūnnirvartyādikarmatācatuṣṭayī /	nanu mA BUt nirvarti Adi karma tA catuzwayI /
   pañcamī tu kācit vidhā bhaviṣyati, yayā mokṣasya karmatā ghaṭiṣyata ityata	paQcamI tu kAcid viDA Bavizyati, yayA mokzasya karma tA Gawizyate iti ata
   āha ato 'nyaditi /	Aha ataH anyat iti /
   ebhyaḥ prakārebhyo na prakārāntaramanyadasti, yato mokṣasya kriyānupraveśo	eByaH prakAreByaH na prakAra antaram anya t asti, yatas mokzasya kriyA anupraveSaH 
   bhaviṣyati /	Bavizyati /
   etaduktaṃ bhavati catasṛṇāṃ vidhānāṃ madhye 'nyatamatayā kriyāphalatvaṃ	etat uktam Bavati  catasRNAm viDAnAm maDye anyatama tayA kriyA Pala tvam
   vyāptam,sā ca mokṣādvyāvartamānā vyāpakānupalabdhyā mokṣasya	vyAptam,sA ca mokzAt vyAvartamAnA vyApaka anupalabDyA mokzasya
   kriyāphalatvaṃ vyāvartayatīti /	kriyA Pala tvam vyAvartayati iti /
   tatkiṃ mokṣe kriyaiva nāsti,tathā ca tadarthāni śāstrāṇi tadarthāśca	tat kim mokze kriyA eva na asti, taTA ca tad arTAni SAstrANi tad arTAH ca
   pravṛttayo 'narthakānītyata upasaṃhāravyājenāha tasmājjñānamekamiti /	pravRttayaH anarTakAni iti atas upasaMhAra vyAjena Aha tasmAt jQAnam ekam iti /
   atha jñānaṃ kriyā mānasī kasmānna vidhigocaraḥ,kasmācca tasyāḥ phalaṃ	aTa jQAnam kriyA mAnasI kasmAt na viDi gocaraH, kasmAt ca tasyAH Palam
   nirvartyādiṣvanyatamaṃ na mokṣa iti codayati nanu jñānamiti /	nirvartya Adizu anyatamam na mokzaH iti codayati nanu jQAnam iti /
   pariharati na /	pariharati na /
   kutaḥ vailakṣaṇyāt /	kutas vElakzaNyAt /
   ayamarthaḥ satyam, jñānaṃ mānasī kriyā,tviyaṃ brahmaṇi phalaṃ	ayam arTaH satyam, jQAnam mAnasI kriyA,tu iyam brahmaNi Palam
   janayitumarhati, tasya svayaṃprakāśatayā	janayitum arhati, tasya svayaMprakASa tayA
   vidikriyākarmabhāvānupapatterityuktam /	vidikriyA karma BAva anupapatteH iti uktam /
   tadetasminvailakṣaṇye sthite eva vailakṣaṇyāntaramāha kriyā hi nāma seti /	tat etasmin vElakzaNye sTite eva vElakzaNya antara mAha  kriyA hi nAma sA iti /
   yatra viṣaye vastusvarūpanirapekṣaiva codyate /	yatra vizaye vastu svarUpa nirapekzA eva codyate /
   yathā devatāsaṃpradānakahavirgrahaṇe devatāvastusvarūpānapekṣā	yaTA devatA saMpradAnaka haviH grahaNe devatA vastu svarUpa anapekzA
   devatādhyānakriyā /	devatA DyAna kriyA /
   yathā vā yoṣiti agnivastvanapekṣāgnibuddhiḥ yā sā kriyā hi nāmeti yojanā /	yaTA vA yoziti agni vastu anapekzA agni budDiH yA sA kriyA hi nAma iti yojanAH /
   na hi 'yasyai devatāyai havirgṛhītaṃ syāttāṃ	na hi ayasyE devatAyE haviH gRhItam syAt tAm
   dhyāyedvaṣaṭkariṣyan'ityasmādvidheḥ prāgdevatādhyānaṃ prāptam, prāptaṃ	DyAyet vazawkarizyan aiti asmAt viDeH prAk devatA DyAnam prAptam, prAptam
   tvadhītavedāntasya	tu aDIta vedAntasya
   viditapadatadarthasaṃbandhasyādhigataśabdanyāyatattvasya 'sadeva	vidita pada tad arTa saMbanDasya aDigata Sabda nyAya tattvasya asat eva
   somyedam'ityādeḥ 'tattvamasi'ityantātsaṃdarbhāt brahmātmabhāvajñānam,	somya idam aityAdeH atat tvam asi aiti antAt saMdarBAt brahma Atma BAva jQAnam,
   śabdapramāṇasāmarthyāt, indriyārthasaṃnikarṣasāmarthyādiva	Sabda pramANa sAmarTya at, indriya arTa saMnikarza sAmarTyAt iva
   praṇihitamanasaḥ sphītālokamadhyavartikumbhānubhavaḥ /	praNihita manasaH sPIta Aloka maDya varti kumBa anuBavaH /
   na hyasau svasāmagrībalalabdhajanmā san manujecchayānyathākartumakartuṃ vā	na hi asO sva sAmagrI bala labDa janmA san manuja icCayAni aTAkartum akartum vA
   śakyaḥ, devatādhyānavat, yenārthavānatra vidhiḥ syāt /	SakyaH, devatA DyAnavat, yena arTavAn atra viDiH syAt /
   na copāsanā vānubhavaparyantatā vāsya vidhergocaraḥ,	na ca upAsanAH vA anuBava paryanta tA vA asya viDeH gocaraH,
   tayoranvayavyatirekāvadhṛtasāmarthyayoḥ sākṣātkāre vā anādyavidyāpanaye vā	tayoH anvaya vyatireka avaDRta sAmarTyayoH sAkzAtkAre vA anAdya vidyA apanaye vA
   vidhimantareṇa prāptatvena puruṣecchayānyathākartumakartuṃ vā aśakyatvāt /	viDim antareNa prApta tvena puruza icCayA anyaTA kartum akartum vA aSakya tvAt /
   tasmādbrahmajñānaṃ mānasī kriyāpi na vidhigocaraḥ /	tasmAt brahma jQAnam mAnasI kriyA api na viDi gocaraH /
   puruṣacittavyāpārādhīnāyāstu kriyāyā vastusvarūpanirapekṣatā	puruza citta vyApAra aDInAyAH tu kriyAyAH vastu svarUpa nirapekza tA
   kvacidavirodhinī, yathā devatādhyānakriyāyāḥ /	kvacid aviroDinI, yaTA devatA DyAna kriyAyAH /
   na hyatra vastusvarūpeṇa kaścidvirodhaḥ /	na hi atra vastu sva rUpeNa kaScid viroDaH /
   kvacidvastusvarūpavirodhinī, yathā yoṣitpuruṣayoragnibuddhirityetāvatā	kvacid vastu svarUpa viroDinI, yaTA yozit puruzayoH agni budDiH iti etAvatA
   bhedena nidarśanāmithunadvayopanyāsaḥ /	Bedena nidarSana amiTuna dvaya upanyAsaH /
   kriyaivityevakāreṇa vastutantratvamapākaroti /	kriyA eviti evakAreNa vastu tantra tvam apAkaroti /
   nanu 'ātmetyevopāsīta'ityādayo vidhayaḥ śrūyante /	nanu aAtmA iti eva upAsIta aitya AdayaH viDayaH SrUyante /
   na ca pramattagītāḥ,tulyaṃ hi	na ca pramatta gItAH,tulyam hi
   FN: 1 gurumukhādadhyayanādi samānamityarthaḥ /	FN: 1 guru muKAt aDyayana Adi samAnam iti arTaH /
   sāṃpradāyikam,tasmādvidheyenātra bhavitavyamityata āha tadviṣayā liṅgādaya	sAMpradAyikam ,tasmAt viDeyena atra Bavitavyam iti atas Aha tadvizayAH liFga Adaya
   iti /	iti /
   satyaṃ śrūyante liṅgādayaḥ,na tvamī vidhiviṣayāḥ, tadviṣayatve	satyam SrUyante liFga AdayaH,na tu amI viDi vizayAH, tad vizaya tve
   'prāmāṇyaprasaṅgāt /	aprAmANya prasaFgAt /
   heyopādeyaviṣayo hi vidhiḥ /	heya upAdeya vizayaH hi viDiH /
   sa eva ca heya upādeyo vā, yaṃ puruṣaḥ kartumakartumanyathā vā kartuṃ	saH eva ca heyaH upAdeyaH vA, yam puruzaH kartum akartum anyaTA vA kartum
   śaknoti /	Saknoti /
   tatraiva ca samarthaḥ kartādhikṛto niyojyo bhavati /	tatra eva ca samarTaH kartA aDikRtaH niyojyaH Bavati /
   na caivaṃbhūtānyātma	na ca evaMBUtAni Atma
