   // Daśabhūmikasūtram //	// DaSa BUmika sUtram //
   tathāgatamāhātmyaprakāśanatayāpi, saṃsāradoṣasaṃdarśanenāpi,	taTAgata mAhAtmya prakASana tayA api, saMsAra doza saMdarSanena api,
   buddhajñānānuśaṃsāparikīrtanenāpi,	budDa jQAna anuSaMsA parikIrtanena api,
   maharddhivikurvaṇābhinirhāraṇānopacārakriyāprayogairapi sattvān	mahA RdDi vikurvaNa aBinirhAraNAna upacAra kriyA prayogEH api sattvAn
   paripācayati / sa evaṃ sattvaparipācanābhiyukto	paripAcayati / saH evam sattva paripAcana aBi yuktaH 
   buddhajñānānugatacittasaṃtāno 'pratyudāvartanīyakuśalamūlaprayogo	budDa jQAna anugata citta saMtAnaH apratyudAvartanIya kuSala mUla prayogaH 
   vaiśeṣikadharmaparimārgaṇābhiyuktaḥ yānīmāni sattvahitāni loke pracaranti,	vESezika Darma parimArgaNa aBiyuktaH yAni imAni sattva hitAni loke pracaranti,
   tadyathā   lipiśāstramudrāsaṃkhyāgaṇanānikṣepādīni	tat yaTA  lipiSa astra mudrA saMKyA gaNanA nikzepa AdIni
   nānādhātutantracikitsātantrāṇi śoṣāpasmārabhūtagrahapratiṣedhakāni	nAnA DAtu tantra cikitsA tantrANi Soza apasmAra BUta graha pratizeDakAni
   viṣavetālaprayogapratighātakāni	viza vetAla prayoga pratiGAtakAni
   kāvyanāṭakākhyānagāndharvetihāsasaṃpraharṣaṇāni	kAvya nAwaka AKyAna gAnDarva itihAsa saMpraharzaNAni
   grāmanagarodyānanadīsarastaḍāgapuṣkariṇīpuṣpaphalauṣadhivanaṣaṇḍābhinirhārāṇi	grAma nagara udyAna nadI saraH taxAga puzkariNI puzpa Pala ozaDi vana zaNxa aBinirhArANi
   suvarṇarūpyamaṇimuktāvaiḍūryaśaṅkhaśilāpravālaratnākaranidarśanāni	suvarNa rUpya maNi muktA vExUrya SaFKa SilA pravAla ratna Akara nidarSanAni
   candrasūryagrahajyotirnakṣatrabhūmicālamṛgaśakunisvapnanimittāni	candra sUrya graha jyotiH nakzatra BUmi cAla mRga Sakuni svapna nimittAni
   pradeśapraveśāni sarvāṅgapratyaṅgalakṣaṇāni cārānucāraprayoganimittāni	pradeSa praveSAni sarva aFga pratyaFga lakzaNAni cAra anucAra prayoga nimittAni
   saṃvaracāritrasthānadhyānābhijñāpramāṇārūpyasthānāni, yāni cānyānyapi	saMvara cAritra sTAna DyAna aBijQA pramANa ArUpya sTAna ani, yAni ca anyAni api
   aviheṭhanāvihiṃsāsaṃprayuktāni sarvasattvahitasukhāvahāni,	aviheWana avihiMsA saMprayuktAni sarva sattva hita suKa AvahAni,
   tānyapyabhinirharati kāruṇikatayā anupūrvabuddhadharmapratiṣṭhāpanāya //	tAni api aBinirharati kAruNika tayA anupUrva budDa Darma pratizWApanAya //
   tasya asyāṃ sudurjayāyāṃ bodhisattvabhūmau sthitasya bodhisattvasya ...	tasya asyAm su durjayAyAm boDisattva BUmO sTitasya boDisattvasya ...
   .peyālaṃ ... pariṇāmayati / tāṃśca tathāgatānarhataḥ samyaksaṃbuddhān	.peyAlam ... pariNAmayati / tAn= ca taTAgatAn arhataH samyaksaMbudDAn
   paryupāsate, teṣāṃ ca sakāśād gauravacitrīkāreṇa satkṛtya dharmadeśanāṃ	paryupAsate, tezAm ca sakASAt gOrava citrIkAreNa satkRtya Darma deSanAm
   śṛṇoti udgṛhṇāti dhārayati / śrutvā ca yathābalaṃ yathābhajamānaṃ	SRNoti udgRhNAti DArayati / SrutvA ca yaTAbalam yaTABajamAnam
   pratipatyā saṃpādayati / bhūyastvena ca teṣāṃ tathāgatānāṃ śāsane	pratipatyA saMpAdayati / BUyastvena ca tezAm taTAgatAnAm SAsane
   pravrajati / pravrajitaśca śrutadhārī dharmabhāṇako bhavati / sa bhūyasyā	pravrajati / pravrajitaH ca Sruta DArI Darma BANakaH Bavati / sa BUyasyA
   mātrayā śrutācāradhāraṇīpratilabdho dharmabhāṇako bhavati anekeṣāṃ ca	mAtrayA Sruta AcAra DAraNI pratilabDaH Darma BANakaH Bavati anekezAm ca
   buddhakoṭiniyutaśatasahasrāṇāmantike	budDa kowi niyuta Sata sahasrANAm antike
   anekakalpakoṭiniyutaśatasahasrāṇyasaṃpramoṣatayā / tasya asyāṃ	aneka kalpa kowi niyuta Sata sahasrANi asaMpramoza tayA / tasya asyAm
   sudurjayāyāṃ bodhisattvabhūmau sthitasya anekān kalpāṃstāni	su durjayAyAm boDisattva BUmO sTitasya anekAn kalpAn= tAni
   kuśalamūlānyuttapyante pariśudhyanti prabhāsvaratarāṇi ca bhavanti,	kuSala mUlAni uttapyante pariSuDyanti praBAsvaratarANi ca Bavanti,
   anekāni kalpaśatāni ... / tasya tāni kuśalamūlānyuttapyante pariśuddhyanti	anekAni kalpa SatAni ... / tasya tAni kuSala mUlAni uttapyante pariSudDyanti
   prabhāsvaratarāṇi ca bhavanti / tadyathāpi nāma bhavanto jinaputrāstadeva	praBAsvaratarANi ca Bavanti / tat yaTA api nAma BavantaH jinaputrAH tat eva
   jātarūpaṃ musārgalvasṛṣṭaṃ bhūyasyā mātrayottapyate pariśudhyati	jAtarUpam musArgalva sRzwam BUyasyAH mAtrayA uttapyate pariSuDyati
   prabhāsvarataraṃ bhavati, evameva bhavanto jinaputrā bodhisattvasya asyāṃ	praBAsvarataram Bavati, evam eva BavantaH jinaputrAH boDisattvasya asyAm
   sudurjayāyāṃ bodhisattvabhūmau sthitasya tāni	su durjayAyAm boDisattva BUmO sTitasya tAni
   kuśalamūlānyupāyaprajñāvicāritāni bhūyasyā mātrayottapyante	kuSala mUlAni upAya prajQA vicAritAni BUyasyAH mAtrayA uttapyante
   pariśuddhyanti, prabhāsvaratarāṇi ca bhavanti,	pariSudDi anti, praBAsvaratarANi ca Bavanti,
   jñānaprayogaguṇābhinirhārādasaṃhāryavicāritatamāni ca bhavanti /	jQAna prayoga guNa aBinirhArAt asaMhArya vicAritatamAni ca Bavanti /
   tadyathāpi nāma bhavanto jinaputrāścandrasūryagrahajyotirnakṣatrāṇāṃ	tat yaTA api nAma BavantaH jinaputrAH candra sUrya graha jyotiH nakzatrANAm
   vimānālokaprabhavātamaṇḍalībhirasaṃhāryā bhavati mārutāsādhāraṇā ca,	vimAna Aloka praBavAta maNxalIBiH asaMhAryA Bavati mAruta asADAraNA ca,
   evameva bhavanto jinaputrā bodhisattvasya asyāṃ sudurjayāyāṃ (Dbh 30)	evam eva BavantaH jinaputrAH boDisattvasya asyAm su durjayAyAm (DB 30)
   bodhisattvabhūmau sthitasya tāni	boDisattva BUmO sTitasya tAni
   kuśalamūlānyupāyaprajñājñānacittavicāraṇānugatānyasaṃhāryāṇi bhavanti,	kuSala mUlAni upAya prajQA jQAna citta vicAraNa anugatAni asaMhAryANi Bavanti,
   sarvaśrāvakapratyekabuddhairlaukikāsādhāraṇāni ca bhavanti / tasya	sarva SrAvaka pratyekabudDEH lOkikA sADAraNAni ca Bavanti / tasya
   daśabhyaḥ pāramitābhyo dhyānapāramitā atiriktatamā bhavati, na ca	daSaByaH pAramitAByaH DyAna pAramitA atiriktatamA Bavati, na ca
   pariśeṣāsu na samudāgacchati yathābalaṃ yathābhajamānam / iyaṃ bhavanto	pariSezAsu na samudAgacCati yaTAbalam yaTABajamAnam / iyam BavantaH 
   jinaputrā bodhisattvasya sudurjayā nāma pañcamī bodhisattvabhūmiḥ	jinaputrAH boDisattvasya sudurjayA nAma paQcamI boDisattva BUmiH
   samāsanirdeśataḥ, yasyāṃ pratiṣṭhito bodhisattvo bhūyastvena saṃtuṣito	samAsa nirdeSataH, yasyAm pratizWitaH boDisattvaH BUyastvena saMtuzitaH 
   bhavati, devarājaḥ kṛtī prabhuḥ sattvānāṃ sarvatīrthyāyatanavinivartanāya	Bavati, devarAjaH kRtI praBuH sattvAnAm sarva tIrTya Ayatana vinivartanAya
   kuśalaḥ sattvān satyeṣu pratiṣṭhāpayitum / yatkiṃcit ... .. //	kuSalaH sattvAn satyezu pratizWApayitum / yat kiMcid ... .. //
   sudurjayā nām pañcamī bhūmiḥ //	su durjayA nAm paQcamI BUmiH //
   (Dbh 31)	(DB 31)
   6 abhimukhī nāma ṣaṣṭhī bhūmiḥ /	6 aBimuKI nAma zazWI BUmiH /
   vajragarmo bodhisattva āha   yo 'yaṃ bhavanto jinaputrā bodhisattvaḥ	vajra garmaH boDisattvaH Aha  yaH ayam BavantaH jinaputrAH boDisattvaH
   pañcamyāṃ bodhisattvabhūmau suparipūrṇamārgaḥ ṣaṣṭhīṃ	paQcamyAm boDisattva BUmO su paripUrNa mArgaH zazWIm
   bodhisattvabhūmimavatarati / sa daśabhirdharmasamatābhiravatarati /	boDisattva BUmim avatarati / sa daSaBiH Darma samatABiH avatarati /
   katamābhirdaśabhiḥ? yaduta sarvadharmānimittasamatayā ca	katamABiH daSaBiH? yat uta sarva Darma animitta sama tayA ca
   sarvadharmālakṣaṇasamatayā ca sarvadharmānutpādasamatayā ca	sarva Darma alakzaNa sama tayA ca sarva Darma anutpAda sama tayA ca
   sarvadharmājātatayā ca sarvadharmaviviktasamatayā ca	sarva Darma ajAta tayA ca sarva Darma vivikta sama tayA ca
   sarvadharmādiviśuddhisamatayā ca sarvadharmaniṣprapañcasamatayā ca	sarva Darma Adi viSudDi sama tayA ca sarva Darma nizprapaQca sama tayA ca
   sarvadharmānāvyūhānirvyūhasamatayā ca	sarva DarmAnAvyUhAnirvyUha sama tayA ca
   sarvadharmamāyāsvapnapratibhāsapratiśrutkodakacandrapratibimbanirmāṇasamatayā	sarva Darma mAyA svapna pratiBAsa pratiSrutka udaka candra pratibimba nirmANa samatayA
   ca sarvadharmabhāvābhāvādvayasamatayā ca /	ca sarva Darma BAva aBAva advaya samatayA ca /
   ābhirdaśabhirdharmasamatābhiravatarati //	ABiH daSaBiH Darma samatABiH avatarati //
   sa evaṃsvabhāvān sarvadharmān pratyavakṣemāṇo 'nusṛjan anulomayan	saH evaMsvaBAvAn sarva DarmAn pratyavakzemANaH anusRjan anulomayan
   avilomayan śraddadhan abhiyan pratiyan avikalpayan anusaran vyavalokayan	avilomayan SraddaDan aBiyan pratiyan avikalpayan anusaran vyavalokayan
   pratipadyamānaḥ ṣaṣṭhīmabhimukhīṃ bodhisattvabhūmimanuprāpnoti tīkṣṇayā	pratipadyamAnaH zazWIm aBimuKIm boDisattva BUmim anuprApnoti tIkzNayA
   ānulomikyā kṣāntyā / na ca tāvadanutpattikadharmakṣāntimukhamanuprāpnoti	AnulomikyA kzAntyA / na ca tAvat anutpattika Darma kzAnti muKam anuprApnoti
   sa evaṃsvabhāvān sarvadharmānanugacchan bhūyasyā mātrayā	saH evaMsvaBAvAn sarva DarmAn anugacCan BUyasyA mAtrayA
   mahākaruṇāpūrvaṃgamatvena mahākaruṇādhipateyatayā mahākaruṇāparipūrṇārthaṃ	mahA karuNA pUrvaMgama tvena mahA karuNa aDipateya tayA mahA karuNA paripUrNa arTam
   lokasya saṃbhavaṃ ca vibhavaṃ ca vyavalokayate / tasya lokasya saṃbhavaṃ	lokasya saMBavam ca viBavam ca vyavalokayate / tasya lokasya saMBavam
   ca vibhavaṃ ca vyavalokayata evaṃ bhavati   yāvatyo	ca viBavam ca vyavalokayate evam Bavati  yAvatyaH 
   lokasamudācāropapattayaḥ sarvāḥ, tā ātmābhiniveśato bhavanti /	loka samudAcAra upapattayaH sarvAH, tAH Atma aBiniveSataH Bavanti /
   ātmābhiniveśavigamato na bhavanti lokasamudācāropapattaya iti / tasyaivaṃ	Atma aBiniveSa vigamataH na Bavanti loka samudAcAra upapattayaH iti / tasya evam
   bhavati   tena khalu punarime bālabuddhya ātmābhiniviṣṭā ajñānatimirāvṛtā	Bavati  tena Kalu punar ime bAla budDyaH Atma aBinivizwA ajQAna timira AvRtA
   bhāvābhāvābhilāṣiṇo 'yoniśomanasikāraprasṛtā vipathaprayātā	BAva aBAva aBilAziNaH ayoni Somana sikAra prasRtA vipaTa prayAtA
   mithyānucāriṇaḥ puṇyāpuṇyāneñjyānabhisaṃskārānupacinvanti / teṣāṃ taiḥ	miTyA anucAriNaH puNya apuNyAn eQjya anaBisaMskArAn upacinvanti / tezAm tEH
   saṃskārairavaropitaṃ cittabījaṃ sāsravaṃ sopādānamāyatyāṃ	saMskArEH avaropitam citta bIjam sa Asravam sa upAdAnam AyatyAm
   jātijarāmaraṇapunarbhavābhinirvṛttisaṃbhavopagataṃ bhavati /	jAti jarA maraNa punarBava aBinirvRtti saMBava upagatam Bavati /
   karmakṣetrālayamavidyāndhakāraṃ tṛṣṇāsnehamasmimānapariṣyandanataḥ /	karma kzetra Alayam avidyA anDakAram tRzNA sneham asmi mAn aparizyandanataH /
   dṛṣṭikṛtajālapravṛddhyā ca nāmarūpāṅkuraḥ prādurbhavati / prādurbhūto	dRzwi kRta jAla pravRdDyA ca nAma rUpa aFkuraH prAdurBavati / prAdurBUtaH 
   vivardhate / vivṛddhe nāmarūpe pañcānāmindriyāṇāṃ pravṛttirbhavati /	vivarDate / vivRdDe nAma rUpe paQcAnAm indriyANAm pravRttiH Bavati /
   pravṛttānāmindriyāṇāmanyonya(saṃ)nipātataḥ sparśaḥ / sparśasya saṃnipātato	pravRttAnAm indriyANAm anyonya( saM)nipAtataH sparSaH / sparSasya saMnipAtataH 
   vedanā prādurbhavati / vedanāyāstata uttare 'bhinandanā bhavati /	vedanA prAdurBavati / vedanAyAH tatas uttare aBinandanA Bavati /
   tṛṣṇābhinandanata upādānaṃ vivardhate / upādāne vivṛddhe bhavaḥ saṃbhavati	tRzNA aBinandanataH upAdAnam vivarDate / upAdAne vivRdDe BavaH saMBavati
   / bhave saṃbhūte skandhapañcakamunmajjati / unmagnaṃ skandhapañcakaṃ	/ Bave saMBUte skanDa paQcakam unmajjati / unmagnam skanDa paQcakam
   gatipañcake 'nupūrvaṃ mlāyati / mlānaṃ vigacchati /	gati paQcake anupUrvam mlAyati / mlAnam vigacCati /
   mlānavigamājjvaraparidāhaḥ / jvaraparidāhanidānāḥ	mlAna vigamAt jvara paridAhaH / jvara paridAha nidAnAH
   sarvaśokaparidevaduḥkhadaurmanasyopāyāsāḥ samudāgacchanti / teṣāṃ na	sarva Soka parideva duHKa dOrmanasya upAyAsAH samudAgacCanti / tezAm na
   kaścitsamudānetā / svabhāvānābhogābhyāṃ ca vigacchanti / na caiṣāṃ	kaScid samudAn etAH / sva BAvAn ABogAByAm ca vigacCanti / na ca ezAm
   kaścidvigamayitā / evaṃ bodhisattvo 'nulomākāraṃ pratītyasamutpādaṃ	kaScid vigamayitA / evam boDisattvaH anuloma AkAram pratItyasamutpAdam
   pratyavekṣate //	pratyavekzate //
   tasyaivaṃ bhavati   satyeṣvanabhijñānaṃ paramārthato 'vidyā /	tasya evam Bavati  satyezu anaBijQAnam paramArTataH avidyA /
   avidyāprakṛtasya karmaṇo vipākaḥ saṃskārāḥ / saṃskārasaṃniśritaṃ prathamaṃ	avidyA prakRtasya karmaNaH vipAkaH saMskArAH / saMskAra saMniSritam praTamam
   cittaṃ vijñānam / vijñānasahajāścatvāra upādānaskandhā (Dbh 31) nāmarūpam	cittam vijQAnam / vijQAna sahajAH catvAraH upAdAna skanDAH (DB 31) nAma rUpam
   / nāmarūpavivṛddhiḥ ṣaḍāyatanam / indriyaviṣayavijñāgatrayasamavadhānaṃ	/ nAma rUpa vivRdDiH zaz Ayatanam / indriya vizaya vijQAga traya samavaDAnam
   sāsravaṃ sparśaḥ / sparśasahajā vedanā / vedanādhyavasānaṃ tṛṣṇā /	sa Asravam sparSaH / sparSa sahajAH vedanA / vedanA aDyavasAnam tRzNA /
   tṛṣṇāvivṛddhirupādānam / upādānaprasṛtaṃ sāsravaṃ karma bhavaḥ /	tRzNA vivRdDiH upAdAnam / upAdAnaprasRtam sa Asravam karma BavaH /
   karmaniṣyando jātiḥ skandhonmajjanam / skandhaparipāko jarā / jīrṇasya	karma nizyandaH jAtiH skanDa unmajjanam / skanDa paripAkaH jarA / jIrNasya
   skandhabhedo maraṇam / mriyamāṇasya vigacchataḥ saṃmūḍhasya sābhiṣvaṅgasya	skanDa BedaH maraNam / mriyamANasya vigacCataH saMmUXasya sa aBizvaFgasya
   hṛdayasaṃtāpaḥ śokaḥ / śokasamutthitā vākpralāpāḥ paridevaḥ /	hRdaya saMtApaH SokaH / Soka samutTitAH vAc pralApAH paridevaH /
   pañcendriyanipāto duḥkham / manodṛṣṭinipāto daurmanasyam /	paQca indriya nipAtaH duHKam / manaH dRzwi nipAtaH dOrmanasyam /
   duḥkhadaurmanasyabahulatvasaṃbhūtā upāyāsāḥ / evamayaṃ kevalo	duHKa dOrmanasya bahula tva saMBUtAH upAyAsAH / evam ayam kevalaH 
   duḥkhaskandho duḥkhavṛkṣo 'bhinirvartate kārakavedakavirahita iti //	duHKa skanDaH duHKa vRkzaH aBinirvartate kAraka vedaka vi rahitaH iti //
   tasyaivaṃ bhavati   kārakābhiniveśataḥ kriyāḥ prajñāyante / yatra kārako	tasya evam Bavati  kAraka aBiniveSataH kriyAH prajQAyante / yatra kArakaH 
   nāsti, kriyāpi tatra paramārthato nopalabhyate / tasyaivaṃ bhavati  	nAsti, kriyA api tatra paramArTataH na upalaByate / tasya evam Bavati  
   cittamātramidaṃ yadidaṃ traidhātukam / yānyapīmāni dvādaśa bhavāṅgāni	cittamAtram idam yat idam trEDAtukam / yAni api imAni dvAdaSa Bava aFgAni
   tathāgatena prabhedaśo vyākhyātāni, api sarvāṇyeva tāni cittasamāśritāni /	taTAgatena praBedaSaH vyAKyAtAni, api sarvANi eva tAni citta samASritAni /
   tatkasya hetoḥ? yasmin vastuni hi rāgasaṃyuktaṃ cittamutpadyate	tat kasya hetoH? yasmin vastuni hi rAga saMyuktam cittam utpadyate
   tadvijñānam / vastusaṃskāre 'smimoho 'vidyā / avidyācittasahajaṃ nāmarūpam	tad vijQAnam / vastu saMskAre asmimohaH avidyA / avidyA citta sahajam nAma rUpam
   / nāmarūpavivṛddhiḥ ṣaḍāyatanam / ṣaḍāyatanabhāgīyaḥ sparśaḥ /	/ nAma rUpa vivRdDiH zaz Ayatanam / zaz Ayatana BAgIyaH sparSaH /
   sparśasahajā vedanā / vedayato 'vitṛptistṛṣṇā / tṛṣṇārtasya saṃgraho	sparSa sahajAH vedanA / vedayataH avitRptiH tRzNA / tRzNA Artasya saMgrahaH 
   'parityāga upādānam / eṣāṃ bhavāṅgānāṃ saṃbhavo bhavaḥ / bhavonmajjanaṃ	aparityAgaH upAdAnam / ezAm Bava aFgAnAm saMBavaH BavaH / Bava unmajjanam
   jātiḥ / jātiparipāko jarā / jarāpagamo maraṇamiti //	jAtiH / jAti paripAkaH jarA / jarA apagamaH maraNam iti //
   tatra avidyā dvividhakāryapratyupasthānā bhavati / ālambanataḥ sattvān	tatra avidyA dviviDa kArya pratyupasTAnA Bavati / AlambanataH sattvAn
   saṃmohayati, hetuṃ ca dadāti saṃskārābhinirvṛttaye / saṃskārā api	saMmohayati, hetum ca dadAti saMskAra aBinirvRttaye / saMskArAH api
   dvividhakāryapratyupasthānā bhavanti / anāgatavipākābhinirvṛtti ca	dviviDa kArya pratyupasTAnAH Bavanti / anAgata vipAka aBinirvRtti ca
   kurvanti, hetuṃ ca dadati vijñānābhinirvṛttaye / vijñānamapi	kurvanti, hetum ca dadati vijQAna aBinirvRttaye / vijQAnam api
   dvividhakāryapratyupasthānaṃ bhavati / bhavapratisaṃdhiṃ ca karoti, hetuṃ	dviviDa kArya pratyupasTAnam Bavati / Bava pratisaMDim ca karoti, hetum
   ca dadāti nāmarūpābhinirvṛttaye / nāmarūpamapi	ca dadAti nAma rUpa aBinirvRttaye / nAma rUpam api
   dvividhakāryapratyupasthānaṃ bhavati / anyonyopastambhanaṃ ca karoti,	dviviDa kArya pratyupasTAnam Bavati / anyonya upastamBanam ca karoti,
   hetuṃ ca dadāti ṣaḍāyatanābhinirvṛttaye / ṣaḍāyatanamapi	hetum ca dadAti zaz Ayatana aBinirvRttaye / zaz Ayatanam api
   dvividhakāryapratyupasthānaṃ bhavati / svaviṣayavibhaktitāṃ cādarśayati,	dviviDa kArya pratyupasTAnam Bavati / sva vizaya viBakti tAm ca AdarSayati,
   hetuṃ ca dadāti sparśābhinirvṛttaye / sparśo 'pi	hetum ca dadAti sparSa aBinirvRttaye / sparSaH api
   dvividhakāryapratyupasthāno bhavati / ālambanasparśanaṃ ca karoti, hetuṃ	dviviDa kArya pratyupasTAnaH Bavati / Alambana sparSanam ca karoti, hetum
   ca dadāti vedanābhinirvṛttaye / vedanāpi dvividhakāryapratyupasthānā	ca dadAti vedanA aBinirvRttaye / vedanA api dviviDa kArya pratyupasTAnA
   bhavati / iṣṭāniṣṭobhayavimuktānubhavanaṃ ca karoti, hetuṃ ca dadāti	Bavati / izwa anizwa uBaya vimukta anuBavanam ca karoti, hetum ca dadAti
   tṛṣṇābhinirvṛttaye / tṛṣṇāpi dvividhakāryapratyupasthānā bhavati /	tRzNA aBinirvRttaye / tRzNA api dviviDa kArya pratyupasTAnA Bavati /
   saṃrajanīyavastusaṃrāgaṃ ca karoti, hetuṃ ca dadātyupādānābhinirvṛttaye /	saMrajanIya vastu saMrAgam ca karoti, hetum ca dadAti upAdAna aBinirvRttaye /
   upādānamapi dvividhakāryapratyupasthānaṃ bhavati / saṃkleśabandhanaṃ ca	upAdAnam api dviviDa kArya pratyupasTAnam Bavati / saMkleSa banDanam ca
   karoti, hetuṃ ca dadāti bhavābhinirvṛttaye / bhavo 'pi	karoti, hetum ca dadAti Bava aBinirvRttaye / BavaH api
   dvividhakāryapratyupasthāno bhavati / anyabhavagatipratyadhiṣṭhānaṃ ca	dviviDa kArya pratyupasTAnaH Bavati / anya Bava gati pratyaDizWAnam ca
   karoti, hetuṃ ca dadāti jātyabhinirvṛttaye / jātirapi	karoti, hetum ca dadAti jAti aBinirvRttaye / jAtiH api
   dvividhakāryapratyupasthānā bhavati / skandhonmajjanaṃ ca karoti, hetuṃ ca	dviviDa kArya pratyupasTAnA Bavati / skanDa unmajjanam ca karoti, hetum ca
   dadāti jarābhiniṃvṛttaye / jarāpi dvividhakāryapratyupasthānā bhavati /	dadAti jarA aBiniMvRttaye / jarA api dviviDa kArya pratyupasTAnA Bavati /
   indriyapariṇāmaṃ ca karoti, hetuṃ ca dadāti maraṇasamavadhānābhinirvṛttaye	indriya pariNAmam ca karoti, hetum ca dadAti maraNa samavaDAna aBinirvRttaye
   / maraṇamapi dvividhakāryapratyupasthānaṃ bhavati   saṃskāravidhvaṃsanaṃ	/ maraNam api dviviDa kArya pratyupasTAnam Bavati  saMskAra viDvaMsanam
   ca karoti, aparijñānānucchedaṃ ceti //	ca karoti, aparijQAna anucCedam ca iti //
   (Dbh 33)	(DB 33)
   tatra avidyāpratyayāḥ saṃskārā ityavidyāpratyayatā saṃskārāṇāmanucchedo	tatra avidyA pratyayAH saMskArAH iti avidyA pratyaya tA saMskArANAm anucCedaH 
   'nupastambhaśca / saṃskārapratyayaṃ vijñānamiti saṃskārapratyayatā	anupastamBaH ca / saMskAra pratyayam vijQAnam iti saMskAra pratyaya tA
   vijñānānāmanucchedo 'nupastambhaśca / peyālaṃ ... jātipratyayatā	vijQAnAnAm anucCedaH anupastamBaH ca / peyAlam ... jAti pratyaya tA
   jarāmaraṇasyānucchedo 'nupastambhaśca / avidyānirodhātsaṃskāranirodha	jarA maraNasya anucCedaH anupastamBaH ca / avidyA niroDAt saMskAra niroDa
   ityavidyāpratyayatābhāvātsaṃskārāṇāṃ vyupaśamo 'nupastambhaśca / peyālaṃ	iti avidyA pratyaya tA BAvAt saMskArANAm vyupaSamaH anupastamBaH ca / peyAlam
   ... jātipratyayatābhāvājjarāmaraṇasya vyupaśamo 'nupastambhaśca //	... jAti pratyaya tA aBAvAt jarA maraNasya vyupaSamaH anupastamBaH ca //
   tatra avidyā tṛṣṇopādānaṃ ca kleśavartmano 'vyavacchedaḥ / saṃskārā	tatra avidyA tRzNA upAdAnam ca kleSa vartmanaH avyavacCedaH / saMskArA
   bhavaśca karmavartmano 'vyavacchedaḥ / pariśeṣaṃ duḥkhavartmano	BavaH ca karma vartmanaH avyavacCedaH / pariSezam duHKa vartmanaH 
   'vyavacchedaḥ / pravibhāgataḥ pūrvāntāparāntanirodhavartmano vyavacchedaḥ	avyavacCedaH / praviBAgataH pUrva anta apara anta niroDa vartmanaH vyavacCedaH
