   akalaṅkavivekānāṃ KDarp_1.30c	akalaFka-vivekAnAm KDarp_1.30c
   tau taṃ dadṛśatuḥ snāna- KDarp_4.41a	tO tam dadRSatuH snAna KDarp_4.41a
   tau dṛṣṭvā pṛthivīpālaṃ KDarp_4.56a	tO dRzwvA pRTivIpAlam KDarp_4.56a
   tau papraccha purohitaḥ KDarp_4.57b	tO papracCa purohitaH KDarp_4.57b
   tau purūravasaḥ kṣaṇāt KDarp_4.40b	tO purUravasaH kzaNAt KDarp_4.40b
   tau śanaistamabhāṣatām KDarp_4.58d	tO SanEs-tam-aBAzatAm KDarp_4.58d
   tau hutāśanamandiram KDarp_4.54b	tO hutASana-mandiram KDarp_4.54b
   tyaktaḥ kṣaṇātputrakalatramitraiḥ KDarp_2.66b	tyaktaH kzaNAt-putra-kalatra-mitrEH KDarp_2.66b
   tyaktā (?) śrotriyatā yayā KDarp_3.37b	tyaktA (?) SrotriyatA yayA KDarp_3.37b
   tyaktāśanaḥ śokavivarṇavaktraḥ KDarp_4.9b	tyakta-aSanaH Soka-vivarNa-vaktraH KDarp_4.9b
   tyakto nikāyaḥ kṣapitaśca kāyaḥ KDarp_7.1d	tyaktaH nikAyaH kzapitaH-ca kAyaH KDarp_7.1d
   tyaktvā praśamasaṃtoṣau KDarp_3.27a	tyaktvA praSama-saMtozO KDarp_3.27a
   tyaktvārjunaḥ kṛṣṇakalatravargaṃ KDarp_5.13a	tyaktvA-arjunaH kRzNa-kalatra-vargam KDarp_5.13a
   tyaktvāśāgatasatpātraṃ KDarp_6.12a	tyaktvA-ASA-gata-sat-pAtram KDarp_6.12a
   tyāginā kiṃ daridreṇa KDarp_1.33a	tyAginA kim daridreNa KDarp_1.33a
   tyāgino 'nyasya saṃgharṣe KDarp_6.6a	tyAginaH anyasya saMGarze KDarp_6.6a
   trapayādhomukhī tava KDarp_3.94b	trapayA-aDomuKI tava KDarp_3.94b
   trapānilīnaḥ kurute 'tiyāñcām KDarp_4.14b	trapa-anilInaH kurute atiyAQcAm KDarp_4.14b
   tridaṇḍamudyamya javena kaścid KDarp_7.55c	tridaNxam-udyamya javena kaScid KDarp_7.55c
   trivargasyoparodhena KDarp_3.35c	trivargasya-uparoDena KDarp_3.35c
   truṭyatsūtravimuktamauktikabharaḥ saktaḥ stanotsaṅgayoḥ KDarp_4.24b	truwyat-sUtra-vimukta-mOktika-BaraH saktaH stana-utsaFgayoH KDarp_4.24b
   trailokyamapi nirdagdhuṃ KDarp_3.116c	trElokyam-api nirdagDum KDarp_3.116c
   trailokyābharaṇaṃ rūpaṃ KDarp_4.46c	trElokya-ABaraNam rUpam KDarp_4.46c
   trailokye satyamucyate KDarp_5.33b	trElokye satyam-ucyate KDarp_5.33b
   tvatpāṇikṣīṇasaṃpadaḥ KDarp_2.22b	tvad-pANi-kzINa-saMpadaH KDarp_2.22b
   tvamannaṃ kleśasaṃcitam KDarp_2.28b	tvam-annam kleSa-saMcitam KDarp_2.28b
   tvamasya kuru bhūbhartuḥ KDarp_3.135c	tvam-asya kuru BUBartuH KDarp_3.135c
   tvayi pravṛttaṃ cittaṃ me KDarp_3.85c	tvayi pravRttam cittam me KDarp_3.85c
   tvaṃ cābhinavapaṇḍitaḥ KDarp_3.67b	tvam ca-aBinava-paNxitaH KDarp_3.67b
   dagdhadānena tena kim KDarp_6.12d	dagDa-dAnena tena kim KDarp_6.12d
   dagdhaḥ parīkṣitphaṇiphūtkṛtairyat KDarp_7.7c	dagDaH parIkzit-PaNiPUtkRtEH-yat KDarp_7.7c
   daṇḍena mṛgaśaṅkayā KDarp_3.131b	daNxena mRga-SaFkayA KDarp_3.131b
   datta na vittaṃ karuṇānimittaṃ KDarp_2.111a	datta na vittam karuNA-nimittam KDarp_2.111a
   dattamatyalpaniḥsāraṃ KDarp_6.15c	dattam-atyalpa-niHsAram KDarp_6.15c
   dattamanyattato 'lpakam KDarp_6.13b	dattam-anyat-tatas alpakam KDarp_6.13b
   dattamaśraddhayā dhanam KDarp_6.5b	dattam-aSradDayA Danam KDarp_6.5b
   dattaṃ kāraṇabhūtasya KDarp_6.6c	dattam kAraNa-BUtasya KDarp_6.6c
   dattaṃ nirupakāraṃ yad KDarp_6.17c	dattam nirupakAram yat KDarp_6.17c
   dattaṃ priyaviyogogra- KDarp_6.24a	dattam priya-viyoga-ugra KDarp_6.24a
   dattālpamūlyenāptaṃ yat KDarp_6.21c	datta-alpa-mUlyena-Aptam yat KDarp_6.21c
   datto merurapi prayāti tṛṇatāmātmopakārecchayā KDarp_6.27b	dattaH meruH-api prayAti tRNa-tAm-Atma-upakAra-icCayA KDarp_6.27b
   dattvā duḥkhaśataṃ na yatsvavacasā paścānna yadgaṇyate KDarp_6.26c	dattvA duHKa-Satam na yat-sva-vacasA paScAt-na yat-gaNyate KDarp_6.26c
   dattvā yadduṣṭamudghuṣṭaṃ KDarp_6.16c	dattvA yat-duzwam-udGuzwam KDarp_6.16c
   dadarśātithimāgatam KDarp_6.41b	dadarSa-atiTim-Agatam KDarp_6.41b
   dantaprabhābhiḥ pratibhāvihīnam KDarp_7.24d	danta-praBABiH pratiBA-vihInam KDarp_7.24d
   dambhadānena tena kim KDarp_6.15d	damBa-dAnena tena kim KDarp_6.15d
   dambhābhimānodbhavakaṣṭabhūtaṃ KDarp_7.10c	damBa-aBimAna-udBava-kazwa-BUtam KDarp_7.10c
   dayādaridraṃ na vadanti śauryam KDarp_5.2d	dayA-daridram na vadanti SOryam KDarp_5.2d
   dayādaridraṃ hṛdayaṃ KDarp_1.55a	dayA-daridram hRdayam KDarp_1.55a
   dayārdraṃ dānamucyate KDarp_6.9d	dayA-Ardram dAnam-ucyate KDarp_6.9d
   dayārdrāḥ sarvasattveṣu KDarp_2.105a	dayA-ArdrAH sarva-sattvezu KDarp_2.105a
   dayaiva viditā vidyā KDarp_1.30a	dayA-eva viditA vidyA KDarp_1.30a
   darpakaṇḍūladordaṇḍaṃ KDarp_5.32a	darpa-kaNxUla-dos-daNxam KDarp_5.32a
   darpakāluṣyaviplavāḥ KDarp_1.65b	darpa-kAluzya-viplavAH KDarp_1.65b
   darpajvarabharo nṛpaḥ KDarp_5.41b	darpa-jvara-BaraH nRpaH KDarp_5.41b
   darpadarpitamānasaḥ KDarp_5.31b	darpa-darpita-mAnasaH KDarp_5.31b
   darpadoṣacikitsakaḥ KDarp_1.3b	darpa-doza-cikitsakaH KDarp_1.3b
   darpabhūtābhibhūtasya KDarp_1.34c	darpa-BUta-aBiBUtasya KDarp_1.34c
   darpaśāpahatā vidyā KDarp_3.15c	darpaSa-apa-hatA vidyA KDarp_3.15c
   darpaśvabhranipātinām KDarp_1.26b	darpa-Su-aBra-nipAtinAm KDarp_1.26b
   darpasarpāpasarpaṇāt KDarp_1.1b	darpa-sarpa-apasarpaNAt KDarp_1.1b
   darpaḥ kasya na pātāya KDarp_1.32c	darpaH kasya na pAtAya KDarp_1.32c
   darpaḥ prayatnena nivāraṇīyaḥ KDarp_5.44b	darpaH prayatnena nivAraNIyaH KDarp_5.44b
   darpāndhānāṃ niṣphalāloka eva KDarp_3.151d	darpa-anDAnAm nizPala-Aloke eva KDarp_3.151d
   darpāndhena budhena kim KDarp_1.33d	darpa-anDena buDena kim KDarp_1.33d
   darpāśaninipātena KDarp_3.25c	darpa-aSani-nipAtena KDarp_3.25c
   darpogravaktrasya suhṛjjano 'pi KDarp_5.44c	darpa-ugra-vaktrasya suhRd-janaH api KDarp_5.44c
   darpotkopātparaṇitajaṭāsūtrabandhacca mohād KDarp_7.69a	darpa-utkopAt-paraNita-jawA-sUtra-banDat-ca mohAt KDarp_7.69a
   darpodgrīvaḥ kilogreṇa KDarp_1.36c	darpa-udgrIvaH kila-ugreNa KDarp_1.36c
   darśitaṃ bata pauruṣam KDarp_2.90b	darSitam bata pOruzam KDarp_2.90b
   daśāpāke 'tidāruṇe KDarp_6.22b	daSA-pAke ati-dAruNe KDarp_6.22b
   daśāṃ dṛṣṭvāsya duḥsahām KDarp_2.91b	daSAm dRzwvA-asya duHsahAm KDarp_2.91b
   daṣṭādharāḥ kampavidhūrṇamānāḥ KDarp_7.54a	dazwa-aDarAH kampa-viDUrNamAnAH KDarp_7.54a
   dahyamāne 'rkavahninā KDarp_4.61b	dahyamAne arka-vahninA KDarp_4.61b
   dānadviṣo 'napatyasya KDarp_2.40c	dAnadvizaH anapatyasya KDarp_2.40c
   dānamānodayaḥ ko 'pi KDarp_3.129c	dAna-mAna-udayaH kaH api KDarp_3.129c
   dānamānonnatiṃ hanti KDarp_3.42c	dAna-mAna-unnatim hanti KDarp_3.42c
   dānaṃ sadā kasyacideva puṇyaiḥ KDarp_6.54d	dAnam sadA kasyacid-eva puNyEH KDarp_6.54d
   dānāyātilaghīyase KDarp_6.52b	dAnAya-ati-laGIyase KDarp_6.52b
   dāne kalakalasvanaḥ KDarp_2.84d	dAne kalakala-svanaH KDarp_2.84d
   dānairna darpaḥ puruṣeṇa kāryaḥ KDarp_6.54b	dAnEH-na darpaH puruzeNa kAryaH KDarp_6.54b
   dārā gacchanti cānyataḥ KDarp_2.29d	dArAH gacCanti ca-anyatas KDarp_2.29d
   dāridryajananī yasya KDarp_2.22c	dAridrya-jananI yasya KDarp_2.22c
   dāridryaṃ maraṇaṃ loke KDarp_2.26c	dAridryam maraNam loke KDarp_2.26c
   dāridryādhikakaṣṭasya KDarp_2.56c	dAridrya-aDika-kazwasya KDarp_2.56c
   dāruṇe karuṇākaṇaḥ KDarp_1.53d	dAruNe karuNA-kaNaH KDarp_1.53d
   dāsaspṛṣṭaḥ sa niḥśaucaḥ KDarp_3.121a	dAsa-spRzwaH sa niHSOcaH KDarp_3.121a
   digaṅganānāmanurāgadīkṣām KDarp_7.34d	diS-aFganAnAm-anurAga-dIkzAm KDarp_7.34d
   digambaratvādiva jātahāsāḥ KDarp_7.32d	digambara-tvAt-iva jAta-hAsAH KDarp_7.32d
   dinatriyāmāñjalinā pibantam KDarp_4.16b	dina-triyAma-aQjalinA pibantam KDarp_4.16b
   dine dine dineśo 'pi KDarp_4.69c	dine dine dineSaH api KDarp_4.69c
   dinendhanavane nityaṃ KDarp_4.61a	dina-inDanavane nityam KDarp_4.61a
   dilīparaghurāmādyāḥ KDarp_1.17c	dilI-pa-raGu-rAma-AdyAH KDarp_1.17c
   divaṃ jagmaturaśvinau KDarp_4.71b	divam jagmatuH-aSvinO KDarp_4.71b
   divirasya dhanena kim KDarp_2.54d	divirasya Danena kim KDarp_2.54d
   dīpasyevārciṣāṃ gatiḥ KDarp_4.68d	dIpasya-iva-arcizAm gatiH KDarp_4.68d
   dīptakāñcanavarṇena KDarp_6.31a	dIpta-kAQcana-varNena KDarp_6.31a
   dīptaśūle niśācare KDarp_3.119b	dIpta-SUle niSAcare KDarp_3.119b
   dīptā ratnaśikheva kṛṣṇaphaṇināṃ vidyā janodvegabhūḥ KDarp_3.14d	dIptA ratna-SiKA-iva kRzNa-PaNinAm vidyA jana-udvega-BUH KDarp_3.14d
   dīyatāṃ bhujyatāṃ sarvam KDarp_2.75c	dIyatAm BujyatAm sarvam KDarp_2.75c
   dīyatāṃ yanmamepsitam KDarp_3.146d	dIyatAm yat-mama-Ipsitam KDarp_3.146d
   dīyate doṣaśāntyai yad KDarp_6.22c	dIyate doza-SAntyE yat KDarp_6.22c
   dīyate prītidhanayoḥ KDarp_6.3c	dIyate prIti-DanayoH KDarp_6.3c
   dīyate yaccirakliṣṭaṃ KDarp_6.11c	dIyate yat-cira-klizwam KDarp_6.11c
   dīyate yatkila prāptyai KDarp_2.28c	dIyate yat-kila prAptyE KDarp_2.28c
   dīyate yatprayatnena KDarp_6.10c	dIyate yat-prayatnena KDarp_6.10c
   dīyate yatprasaṅgena KDarp_6.25c	dIyate yat-prasaFgena KDarp_6.25c
   dīrghasattre pṛthuśriyaḥ KDarp_3.129b	dIrGasattre pRTu-SriyaH KDarp_3.129b
   dīrghīkṛtānekaśaśiprabhāṇām KDarp_7.19b	dIrGIkRta-aneka-SaSi-praBANAm KDarp_7.19b
   durgraheṣu viruddheṣu KDarp_6.22a	durgrahezu virudDezu KDarp_6.22a
   durnayoktirna yukteyaṃ KDarp_3.95c	durnaya-uktiH-na yuktA-iyam KDarp_3.95c
   durnivāro hi durgrahaḥ KDarp_3.54d	durnivAraH hi durgrahaH KDarp_3.54d
   durmado (durdamo) yauvanabharas KDarp_3.97a	durmadaH (duH-damo) yOvana-BaraH KDarp_3.97a
   duṣprāpamapi manyante KDarp_3.105c	duzprApam-api manyante KDarp_3.105c
   dūrātparāvasurjñātvā KDarp_3.137c	dUrAt-parAvasuH-jQAtvA KDarp_3.137c
   dūre bhavatyatha śanaiḥ śiśirāṃśumaulau KDarp_7.66a	dUre Bavati-aTa SanEs SiSirAMSu-mOlO KDarp_7.66a
   dūre viśrāmyatu śrutam KDarp_3.98b	dUre viSrAmyatu Srutam KDarp_3.98b
   dūre vyākaraṇaṃ kuruṣva viṣamaṃ dhātukṣayakṣobhitaṃ KDarp_3.53a	dUre vyAkaraNam kuruzva vizamam DAtu-kzaya-kzoBitam KDarp_3.53a
   dṛśā gambhīradhīrayā KDarp_5.37b	dRSA gamBIra-DIrayA KDarp_5.37b
   dṛśyate naiva tādṛśaḥ KDarp_4.60d	dRSyate na-eva tAdRSaH KDarp_4.60d
   dṛṣṭastiraścāmapi śūrabhāvaḥ KDarp_5.2b	dRzwaH-tiraScAm-api SUra-BAvaH KDarp_5.2b
   dṛṣṭā kasyedṛśī daśā KDarp_2.93d	dRzwA kasya-IdRSI daSA KDarp_2.93d
   dṛṣṭiḥ kṛtā na cāpeṣu KDarp_5.17c	dRzwiH kRtA na cApezu KDarp_5.17c
   dṛṣṭo duryodhanānujaḥ KDarp_5.18b	dRzwaH duryoDana-anujaH KDarp_5.18b
   dṛṣṭo 'bhyaṅge 'pi yādṛśaḥ KDarp_4.60b	dRzwaH aByaFge api yAdRSaH KDarp_4.60b
   dṛṣṭyā pṛṣṭa iveṣṭayā KDarp_6.34b	dRzwyA pRzwaH iva-izwayA KDarp_6.34b
   dṛṣṭvā kasya bhavenmadaḥ KDarp_4.63d	dRzwvA kasya Bavet-madaH KDarp_4.63d
   dṛṣṭvā tamāpadgatamugraroga- KDarp_2.99a	dRzwvA tam-Apad-gatam-ugra-roga KDarp_2.99a
   dṛṣṭvā tejonidhī tatra KDarp_5.36a	dRzwvA tejaH-niDI tatra KDarp_5.36a
   dṛṣṭvā trilokīkalitābhilāṣaṃ KDarp_7.35a	dRzwvA trilokI-kalita-aBilAzam KDarp_7.35a
   dṛṣṭvā durātsamādravat KDarp_3.118d	dRzwvA durAtsamAdravat KDarp_3.118d
   dṛṣṭvā nūnaṃ kamaṇḍaluḥ KDarp_3.92b	dRzwvA nUnam kamaNxaluH KDarp_3.92b
   dṛṣṭvā pitaramagrataḥ KDarp_3.130d	dRzwvA pitaram-agratas KDarp_3.130d
   dṛṣṭvā labdhānnamarthinam KDarp_2.20b	dRzwvA labDa-annam-arTinam KDarp_2.20b
   dṛṣṭvā sarve kutūhalāt KDarp_6.33b	dRzwvA sarve kutUhalAt KDarp_6.33b
   dṛṣṭvā sṛṣṭiḥ prajāpateḥ KDarp_4.47d	dRzwvA sRzwiH prajApateH KDarp_4.47d
   deva tvadārādhananiścalānāṃ KDarp_7.21a	deva tvad-ArADana-niScalAnAm KDarp_7.21a
   devatvaṃ na tu vipratām KDarp_1.79d	deva-tvam na tu vipra-tAm KDarp_1.79d
   devayoraśvinostatra KDarp_4.27a	devayoH-aSvinoH-tatra KDarp_4.27a
   devi tvayoktam dayayā munīnāṃ KDarp_7.25a	devi tvayA-uktam dayayA munInAm KDarp_7.25a
   devī vilokyātha tapaḥprayatna- KDarp_7.20a	devI vilokya-aTa tapaH-prayatna KDarp_7.20a
   devyārthito 'tha bhagavānkṛpayā smarāris KDarp_7.71a	devyA-arTitaH aTa BagavAn-kRpayA smarAriH KDarp_7.71a
   deśakālakriyāpātrāṇy KDarp_6.9a	deSa-kAla-kriyA-pAtrANi KDarp_6.9a
   dehapradāḥ prāṇaharā narāṇāṃ KDarp_1.66a	deha-pradAH prANa-harAH narANAm KDarp_1.66a
   daivādhīnatayā nṛṇām KDarp_2.38b	dEva-aDIna-tayA nRNAm KDarp_2.38b
   daivādhīne dhanena kim KDarp_2.57d	dEva-aDIne Danena kim KDarp_2.57d
   dogdhrīkulodbhavā dhenur KDarp_1.13c	dogDrI-kula-udBavAH DenuH KDarp_1.13c
   dolāvikṣobhite 'mbhasi KDarp_3.58b	dolA-vikzoBite amBasi KDarp_3.58b
   doṣapaṅkaprastāntas KDarp_1.7c	doza-paFka-prastA-antaH KDarp_1.7c
   doṣeṇaivāsmi niṣphalā KDarp_1.70d	dozeNa-eva-asmi nizPalA KDarp_1.70d
   doṣairnityavināśinā KDarp_2.52b	dozEH-nitya-vinASinA KDarp_2.52b
   drakṣyāva iti kautukāt KDarp_4.54d	drakzyAvaH iti kOtukAt KDarp_4.54d
   draviṇaṃ malasaṃcayaḥ KDarp_2.32d	draviNam mala-saMcayaH KDarp_2.32d
   draviṇaṃ yena rakṣanti KDarp_2.25c	draviNam yena rakzanti KDarp_2.25c
   draviṇārthī daridratām KDarp_3.134d	draviNa-arTI daridra-tAm KDarp_3.134d
   draṣṭavyaḥ sa nṛpastāvad KDarp_4.38a	drazwavyaH sa nRpaH-tAvat KDarp_4.38a
   draṣṭavyā draṣṭumāyānti KDarp_4.50c	drazwavyAH drazwum-AyAnti KDarp_4.50c
   droṇakarṇakṛpādibhiḥ KDarp_5.18d	droNa-karNa-kRpa-AdiBiH KDarp_5.18d
   dvārapālena sāvartaḥ KDarp_2.87c	dvArapAlena sAvartaH KDarp_2.87c
   dvārāgrabhuvamāyayau KDarp_2.85d	dvAra-agra-Buvam-AyayO KDarp_2.85d
   dvitīyāyāṃ hutāyāṃ ca KDarp_3.115a	dvitIyAyAm hutAyAm ca KDarp_3.115a
   dvidhā kṛtaḥ saṃdhividāraṇena KDarp_5.11d	dviDA kRtaH saMDi-vidAraNena KDarp_5.11d
   dveṣadarpahatā vidyā KDarp_3.52a	dveza-darpa-hatA vidyA KDarp_3.52a
   dveṣadānena tena kim KDarp_6.19d	dveza-dAnena tena kim KDarp_6.19d
   dveṣaroṣoṣmaśoṣitā KDarp_3.25b	dveza-roza-Uzma-SozitA KDarp_3.25b
   dveṣaḥ kasya na doṣāya KDarp_1.32a	dvezaH kasya na dozAya KDarp_1.32a
   dveṣāvṛtākṣṇāmavivekajanmā KDarp_7.65c	dveza-AvRta-akzNAma-viveka-janmA KDarp_7.65c
   dveṣeṇa rāgeṇa mohadayena KDarp_7.72c	dvezeNa rAgeNa moha-dayena KDarp_7.72c
   dveṣeṇāyāti nindyatām KDarp_3.6b	dvezeNa-AyAti nindya-tAm KDarp_3.6b
   dhanamāyuḥ śarīriṇām KDarp_2.26d	Danam-AyuH SarIriNAm KDarp_2.26d
   dhanayauvanasaṃjāta- KDarp_1.65a	Dana-yOvana-saMjAta KDarp_1.65a
   dhanarddhiriva rūpiṇī KDarp_2.17b	Dana-RdDiH-iva rUpiNI KDarp_2.17b
   dhanalobhaḥ praśasyate KDarp_2.38d	Dana-loBaH praSasyate KDarp_2.38d
   dhanasaṃghaṭitārthasya KDarp_2.47c	Dana-saMGawita-arTasya KDarp_2.47c
   dhanaṃ dhanaṃ pralapatāṃ KDarp_2.3c	Danam Danam pralapatAm KDarp_2.3c
   dhanaṃ sucirarakṣitam KDarp_2.71b	Danam su-cira-rakzitam KDarp_2.71b
   dhanābhimānaṃ tyaja dṛṣṭanaṣṭam KDarp_1.39b	Dana-aBimAnam tyaja dRzwa-nazwam KDarp_1.39b
   dhanena jīviteneva KDarp_2.7a	Danena jIvitena-iva KDarp_2.7a
   dhanena darpaḥ kimayaṃ narāṇāṃ KDarp_2.1a	Danena darpaH kim-ayam narANAm KDarp_2.1a
   dhanena darpaḥ ko nāma KDarp_2.37a	Danena darpaH kaH nAma KDarp_2.37a
   dharmapatnīṃ purāvasoḥ KDarp_3.80b	DarmapatnIm purAvasoH KDarp_3.80b
   dharmamūle nipātitā KDarp_3.11d	Darma-mUle nipAtitA KDarp_3.11d
   dharmasyārthe dhanārjanam KDarp_2.32b	Darmasya-arTe Dana-arjanam KDarp_2.32b
   dharmācāravinīnānāṃ KDarp_2.32c	Darma-AcAra-vinInAnAm KDarp_2.32c
   dharmānusāriṇī yā ca KDarp_3.3c	Darma-anusAriNI yA ca KDarp_3.3c
   dharmārthapaṇyakrayavikrayo 'sau KDarp_6.2c	Darma-arTa-paNya-kraya-vikrayaH asO KDarp_6.2c
   dharmārthī pāpamāpnoti KDarp_3.134a	Darma-arTI pApam-Apnoti KDarp_3.134a
   dharmopadeśaṃ yatnena KDarp_3.112c	Darma-upadeSam yatnena KDarp_3.112c
   dhātuvādī daridraśca KDarp_3.46c	DAtuvAdI daridraH-ca KDarp_3.46c
   dhānyairdhanena ca tadā vada kiṃ karoti KDarp_2.63d	DAnyEH-Danena ca tadA vada kim karoti KDarp_2.63d
   dhāryate yairna saṃsāra- KDarp_3.98c	DAryate yEH-na saMsAra KDarp_3.98c
   dhigdhigdhanaṃ kunidhanaṃ KDarp_2.75a	Dik-DigDanam kuniDanam KDarp_2.75a
   dhigdhiyaṃ kiṃ vivekena KDarp_3.98a	Dik-Diyam kim vivekena KDarp_3.98a
   dhūmena citraṃ tuhinena padmaṃ KDarp_4.4a	DUmena citram tuhinena padmam KDarp_4.4a
   dhūmenevāśruvarṣiṇī KDarp_3.106d	DUmena-iva-aSru-varziNI KDarp_3.106d
   dhūrtāptasya dhanena kim KDarp_2.42d	DUrta-Aptasya Danena kim KDarp_2.42d
   na karoti rateragre KDarp_4.35c	na karoti rateH-agre KDarp_4.35c
   na kaścitpriyavādinām KDarp_1.35d	na kaScid-priya-vAdinAm KDarp_1.35d
   na kaścidiha dṛśyate KDarp_6.51d	na kaScid-iha dRSyate KDarp_6.51d
   na kaścidbuddhihīnasya KDarp_5.24a	na kaScid-budDi-hInasya KDarp_5.24a
   na kasyāṃcidavasthāyāṃ KDarp_2.38c	na kasyAMcid-avasTAyAm KDarp_2.38c
   na kṛtaṃ pūrvajanmani KDarp_2.93b	na kRtam pUrva-janmani KDarp_2.93b
   na kvaciccapalasyāsya KDarp_5.14c	na kvacid-capalasya-asya KDarp_5.14c
   na kṣībaḥ patati smarabhramakaraiḥ kiṃ navyakāvyāsavais KDarp_3.53c	na kzIbaH patati smara-Brama-karEH kim navyaka-avya-AsavEH KDarp_3.53c
   nakhagrahaṇalīlayā KDarp_1.72d	naKa-grahaNa-lIlayA KDarp_1.72d
   nagnavrataḥ kāntisudhāvadātaḥ KDarp_7.29d	nagna-vrataH kAnti-suDA-avadAtaH KDarp_7.29d
   nagnīkartuṃ parāṅganaḥ KDarp_3.112d	nagnIkartum para-aFganaH KDarp_3.112d
   nagno vṛṣāṅkaḥ praviśatyalajjaḥ KDarp_7.62b	nagnaH vRzAFkaH praviSati-alajjaH KDarp_7.62b
   na cacāla raṇādarāt KDarp_5.39b	na cacAla raNa-AdarAt KDarp_5.39b
   na jāne bata hevākaḥ KDarp_4.36a	na jAne bata hevAkaH KDarp_4.36a
   na jīvāmi sadoṣeṇa KDarp_3.126c	na jIvAmi sa-dozeNa KDarp_3.126c
   na jñāyate daivapathānuyātā KDarp_5.13c	na jQAyate dEva-paTa-anuyAtA KDarp_5.13c
   na taddhanaṃ kadaryāṇāṃ KDarp_2.33c	na tat-Danam kadaryANAm KDarp_2.33c
   na tīryate yayā ghoraḥ KDarp_3.34a	na tIryate yayA GoraH KDarp_3.34a
   na dadau durlabhaṃ bhuvi KDarp_1.78d	na dadO durlaBam Buvi KDarp_1.78d
   na dambhadīkṣākuhakākulaṃ yat KDarp_7.9c	na damBa-dIkzA-kuhaka-Akulam yat KDarp_7.9c
   na darpavikṛtaṃ śauryaṃ KDarp_5.27a	na darpa-vikRtam SOryam KDarp_5.27a
   na darpādvirarāma saḥ KDarp_3.75b	na darpAt-virarAma saH KDarp_3.75b
   na dīyate ca śiṣyebhyaḥ KDarp_3.32c	na dIyate ca SizyeByaH KDarp_3.32c
   na dveṣoṣṇaṃ śrutaṃ yeṣāṃ KDarp_5.27c	na dveza-uzNam Srutam yezAm KDarp_5.27c
   na dhanena nivāryante KDarp_1.64c	na Danena nivAryante KDarp_1.64c
   na nirvikāraṃ padamāpnuvanti KDarp_7.26c	na nirvikAram padam-Apnuvanti KDarp_7.26c
   nandasyevātmabādhanam KDarp_2.75b	nandasya-iva-Atma-bADanam KDarp_2.75b
   nando nāma nirānandaḥ KDarp_2.11c	nandaH nAma nirAnandaH KDarp_2.11c
   na parasya na cātmanaḥ KDarp_3.28b	na parasya na ca-AtmanaH KDarp_3.28b
   na parasyārtiśanamaṃ KDarp_6.21a	na parasya-Arti-Sanamam KDarp_6.21a
   na paśyāmyucitaṃ phalam KDarp_6.35b	na paSyAmi-ucitam Palam KDarp_6.35b
   na prasannaṃ na ca kruddhaṃ KDarp_3.75c	na prasannam na ca krudDam KDarp_3.75c
   na prājñāḥ karma kurvate KDarp_3.57d	na prAjQAH karma kurvate KDarp_3.57d
   na bādhyante guṇaiḥ patyur KDarp_1.64a	na bADyante guNEH patyuH KDarp_1.64a
   nabhaḥkusumaśekharaḥ KDarp_3.22d	naBaH-kusuma-SeKaraH KDarp_3.22d
   nabhaḥsthitānāṃ tridaśāṅganānāṃ KDarp_7.41a	naBaH-sTitAnAm tridaSa-aFganAnAm KDarp_7.41a
   na bhūmividyādivivādataptam KDarp_7.9b	na BUmi-vidyA-Adi-vivAda-taptam KDarp_7.9b
   na bhogāṅgaprasaṅgine KDarp_6.52d	na Boga-aFga-prasaFgine KDarp_6.52d
   na māyāmalinaṃ manaḥ KDarp_5.27b	na mAyA-malinam manaH KDarp_5.27b
   na muñcasi tvaṃ yadi darpamoham KDarp_1.40b	na muQcasi tvam yadi darpa-moham KDarp_1.40b
   namo mahāphalāyaiva KDarp_6.52c	namaH mahA-PalAya-eva KDarp_6.52c
   nayanāmāśramonmukhīm KDarp_3.88b	nayanAmASrama-unmuKIm KDarp_3.88b
   na yayā śāntimāyāti KDarp_3.41c	na yayA SAntim-AyAti KDarp_3.41c
   na yuktaṃ pratibhāti me KDarp_3.65d	na yuktam pratiBAti me KDarp_3.65d
   na yuṣmākamatikramaḥ KDarp_4.59b	na yuzmAkam-atikramaH KDarp_4.59b
   naranārāyaṇāvṛṣī KDarp_5.33d	nara-nArAyaNO=-RzI KDarp_5.33d
   naranārāyaṇau nṛpaḥ KDarp_5.36b	nara-nArAyaNO nRpaH KDarp_5.36b
   na rājasevārajasā viluptaṃ KDarp_7.9a	na rAja-sevA-rajasA viluptam KDarp_7.9a
   na rūpalabdhasya tadāsti rupam KDarp_4.11d	na rUpa-labDasya tadA-asti rupam KDarp_4.11d
   na lakṣyate kālagatiḥ savega- KDarp_4.7a	na lakzyate kAla-gatiH sa-vega KDarp_4.7a
   na lakṣyate vibhāgena KDarp_4.68c	na lakzyate viBAgena KDarp_4.68c
   na lakṣyante parīkṣakaiḥ KDarp_1.64b	na lakzyante parIkzakEH KDarp_1.64b
   navadāridryalajjayā KDarp_1.12b	nava-dAridrya-lajjayA KDarp_1.12b
   navanītopamā vāṇī KDarp_1.56a	navanIta-upamA vANI KDarp_1.56a
   navaprarohādbhutagarvamurvyām KDarp_7.30d	nava-praroha-adButa-garvam-urvyAm KDarp_7.30d
   na vayaṃ yuddhakovidāḥ KDarp_5.38b	na vayam yudDa-kovidAH KDarp_5.38b
   na vākpaṭuścitramanuṣyatulyaḥ KDarp_4.13b	na vAc-pawuH-citra-manuzya-tulyaH KDarp_4.13b
