   vāyavīyasaṃhitā	vAyavIya saMhitA
   prahṛṣṭavadano rudraḥ prāṇapratyāgamādvibhoḥ // ŚivP_7.1,12.32ab/	prahRzwa vadanaH rudraH prANa pratyAgamAt viBoH // ŚivS _7.1,12.32ab/
   abhyabhāṣata viśveśo brahmāṇaṃ paramaṃ vacaḥ // ŚivP_7.1,12.32cd/	aByaBAzata viSveSaH brahmANam paramam vacaH // ŚivS _7.1,12.32cd/
   mābhairmābhairmahābhāga viriṃca jagatāṃ guro // ŚivP_7.1,12.33ab/	mA ABErmABEH mahABAga viriMca jagatAm guro // ŚivS _7.1,12.33ab/
   mayā te prāṇitāḥ prāṇāḥ sukhamuttiṣṭha suvrata // ŚivP_7.1,12.33cd/	mayA te prANitAH prANAH suKam uttizWa suvrataH // ŚivS _7.1,12.33cd/
   svapnānubhūtamiva tacchrutvā vākyaṃ manoharam // ŚivP_7.1,12.34ab/	svapna anuBUtam iva tat SrutvA vAkyam manoharam // ŚivS _7.1,12.34ab/
   haraṃ nirīkṣya śanakairnetraiḥ phullāmbujaprabhaiḥ // ŚivP_7.1,12.34cd/	haram nirIkzya SanakEs netrEH Pulla ambuja praBEH // ŚivS _7.1,12.34cd/
   tathā pratyāgataprāṇaḥ snigdhagambhīrayā girā // ŚivP_7.1,12.35ab/	taTA pratyAgata prANaH snigDa gamBIrayA girA // ŚivS _7.1,12.35ab/
   uvāca vacanaṃ brahmā tamuddiśya kṛtāñjaliḥ // ŚivP_7.1,12.35cd/	uvAca vacanam brahmA tam uddiSya kRtAQjaliH // ŚivS _7.1,12.35cd/
   tvaṃ hi darśanamātreṇa cānandayasi me manaḥ // ŚivP_7.1,12.36ab/	tvam hi darSana mAtreNa ca Anandayasi me manaH // ŚivS _7.1,12.36ab/
   ko bhavān viśvamūrtyā vā sthita ekādaśātmakaḥ // ŚivP_7.1,12.36cd/	kaH BavAn viSvamUrtyA vA sTitaH ekAdaSa AtmakaH // ŚivS _7.1,12.36cd/
   tasya tadvacanaṃ śrutvā vyājahāra maheśvaraḥ // ŚivP_7.1,12.37ab/	tasya tat vacanam SrutvA vyAjahAra maheSvaraH // ŚivS _7.1,12.37ab/
   spṛśan kārābhyāṃ brahmāṇaṃ susukhābhyāṃ sureśvaraḥ // ŚivP_7.1,12.37cd/	spRSan kArAByAm brahmANam su suKAByAm sureSvaraH // ŚivS _7.1,12.37cd/
   māṃ viddhi paramātmānaṃ tava putratvamāgatam // ŚivP_7.1,12.38ab/	mAm vidDi paramAtmAnam tava putra tvam Agatam // ŚivS _7.1,12.38ab/
   ete caikādaśa rudrāstvāṃ surakṣitumāgatāḥ // ŚivP_7.1,12.38cd/	ete ca ekAdaSa rudrAH tvAm su ra kzitum AgatAH // ŚivS _7.1,12.38cd/
   tasmāttīvrāmimāmmūrchāṃ vidhūya madanugrahāt // ŚivP_7.1,12.39ab/	tasmAt tIvrAm imAm mUrCAm viDUya mad anugrahAt // ŚivS _7.1,12.39ab/
   prabuddhasva yathāpūrvaṃ prajā vai sraṣṭumarhasi // ŚivP_7.1,12.39cd/	prabudDasva yaTApUrvam prajAH vE srazwum arhasi // ŚivS _7.1,12.39cd/
   514b	514b
   evaṃ bhagavatā prokto brahmā prītamanā hyabhūt // ŚivP_7.1,12.40ab/	evam BagavatA proktaH brahmA prIta manAH hi aBUt // ŚivS _7.1,12.40ab/
   nānāṣṭakena viśvātmā tuṣṭāva parameśvaram // ŚivP_7.1,12.40cd/	nAnA azwakena viSvAtmA tuzwAva parameSvaram // ŚivS _7.1,12.40cd/
   brahmovāca	brahmA uvAca
   namaste bhagavan rudra bhāskarāmitatejase // ŚivP_7.1,12.41ab/	namaH te Bagavan rudra BAskara amita tejase // ŚivS _7.1,12.41ab/
   namo bhavāya devāya rasāyāmbumayātmane // ŚivP_7.1,12.41cd/	namaH BavAya devAya rasAya ambu maya Atmane // ŚivS _7.1,12.41cd/
   śarvāya kṣitirūpāya nandīsurabhaye namaḥ // ŚivP_7.1,12.41ef/	SarvAya kziti rUpAya nandIsuraBaye namaH // ŚivS _7.1,12.41ef/
   īśāya vasave tubhyaṃ namassparśamayātmane // ŚivP_7.1,12.42ab/	ISAya vasave tuByam namassparSa maya Atmane // ŚivS _7.1,12.42ab/
   paśūnāṃ pataye caiva pāvakāyātitejase // ŚivP_7.1,12.42cd/	paSUnAm pataye ca eva pAvakAya ati tejase // ŚivS _7.1,12.42cd/
   bhīmāya vyomarūpāya śabdamātrāya te namaḥ // ŚivP_7.1,12.42ef/	BImAya vyoma rUpAya Sabda mAtrAya te namaH // ŚivS _7.1,12.42ef/
   ugrāyograsvarūpāya yajamānātmane namaḥ // ŚivP_7.1,12.43ab/	ugrAya ugra svarUpAya yajamAna Atmane namaH // ŚivS _7.1,12.43ab/
   mahādevāya somāya namostvamṛtamūrtaye // ŚivP_7.1,12.43cd/	mahAdevAya somAya namoH tu amRta mUrtaye // ŚivS _7.1,12.43cd/
   evaṃ stutvā mahādevaṃ brahmā lokapitāmahaḥ // ŚivP_7.1,12.44ab/	evam stutvA mahAdevam brahmA lokapitAmahaH // ŚivS _7.1,12.44ab/
   prārthayāmāsa viśveśaṃ girā praṇatipūrvayā // ŚivP_7.1,12.44cd/	prArTayAmAsa viSveSam girA praNati pUrvayA // ŚivS _7.1,12.44cd/
   bhagavan bhūtabhavyeśa mama putra maheśvara // ŚivP_7.1,12.45ab/	Bagavan BUta Bavya ISa mama putra maheSvaraH // ŚivS _7.1,12.45ab/
   sṛṣṭihetostvamutpanno mamāṃge 'naṃganāśanaḥ // ŚivP_7.1,12.45cd/	sRzwi hetoH tvam utpannaH mama aMge anaMga nASanaH // ŚivS _7.1,12.45cd/
   tasmānmahati kāryesmin vyāpṛtasya jagatprabho // ŚivP_7.1,12.46ab/	tasmAt mahati kAryesmin vyApRtasya jagatpraBo // ŚivS _7.1,12.46ab/
   sahāyaṃ kuru sarvatra sraṣṭumarhasi sa prajāḥ // ŚivP_7.1,12.46cd/	sahAyam kuru sarvatra srazwum arhasi sa prajAH // ŚivS _7.1,12.46cd/
   tenaiṣāṃ pāvito devo rudrastripuramardanaḥ // ŚivP_7.1,12.47ab/	tena ezAm pAvitaH devaH rudraH tripura mardanaH // ŚivS _7.1,12.47ab/
   bāḍhamityeva tāṃ vāṇīṃ pratijagrāha śaṃkaraḥ // ŚivP_7.1,12.47cd/	bAXam iti eva tAm vANIm pratijagrAha SaMkaraH // ŚivS _7.1,12.47cd/
   tatassa bhagavān brahmā hṛṣṭaṃ tamabhinaṃdya ca // ŚivP_7.1,12.48ab/	tatas sa BagavAn brahmA hRzwam tam aBinaMdya ca // ŚivS _7.1,12.48ab/
   sraṣṭuṃ tenābhyanujñātastathānyāścāsṛjatprajāḥ // ŚivP_7.1,12.48cd/	srazwum tena aByanujQAtaH taTA anyAH ca asRjat prajAH // ŚivS _7.1,12.48cd/
   marīcibhṛgvaṃgirasaḥ pulastyaṃ pulahaṃ kratum // ŚivP_7.1,12.49ab/	marIci BRgu aMgirasaH pulastyam pulaham kratum // ŚivS _7.1,12.49ab/
   dakṣamatriṃ vasiṣṭhaṃ ca so 'sṛjanmanasaiva ca // ŚivP_7.1,12.49cd/	dakzam atrim vasizWam ca saH asRjat manasA eva ca // ŚivS _7.1,12.49cd/
   purastādasṛjadbrahmā dharmaṃ saṃkalpameva ca // ŚivP_7.1,12.49ef/	purastAt asRjat brahmA Darmam saMkalpam eva ca // ŚivS _7.1,12.49ef/
   ityete brahmaṇaḥ putrā dvādaśādau prakīrtitāḥ // ŚivP_7.1,12.50ab/	iti ete brahmaNaH putrAH dvAdaSa AdO prakIrtitAH // ŚivS _7.1,12.50ab/
   saha rudreṇa saṃbhūtāḥ purāṇā gṛhamedhinaḥ // ŚivP_7.1,12.50cd/	saha rudreNa saMBUtAH purANAH gRhameDinaH // ŚivS _7.1,12.50cd/
   teṣāṃ dvādaśa vaṃśāḥ syurdivyā devagaṇānvitāḥ // ŚivP_7.1,12.51ab/	tezAm dvAdaSa vaMSAH syuH divyAH deva gaNa anvitAH // ŚivS _7.1,12.51ab/
   prajāvantaḥ kriyāvanto maharṣibhiralaṃkṛtāḥ // ŚivP_7.1,12.51cd/	prajAvantaH kriyAvantaH mahA RziBiH alaMkRtAH // ŚivS _7.1,12.51cd/
   atha devāsurapitḥn manuṣyāṃśca catuṣṭayam // ŚivP_7.1,12.52ab/	aTa deva asura pitHn manuzyAn= ca catuzwayam // ŚivS _7.1,12.52ab/
   saha rudreṇa sisṛkṣuraṃbhasyetāni vai vidhiḥ // ŚivP_7.1,12.52cd/	saha rudreNa sisRkzuH aMBasi a itAni vE viDiH // ŚivS _7.1,12.52cd/
   sa sṛṣṭyarthaṃ samādhāya brahmātmānamayūyujat // ŚivP_7.1,12.53ab/	sa sRzwi arTam samADAya brahma AtmAnam ayUyujat // ŚivS _7.1,12.53ab/
   mukhādajanayaddevān pitḥṃścaivopapakṣataḥ // ŚivP_7.1,12.53cd/	muKAt ajanayat devAn pitHn= ca eva upapakzataH // ŚivS _7.1,12.53cd/
   jaghanādasurān sarvān prajanādapi mānuṣān // ŚivP_7.1,12.54ab/	jaGanAt asurAn sarvAn prajanAt api mAnuzAn // ŚivS _7.1,12.54ab/
   avaskare kṣudhāviṣṭā rākṣasāstasya jajñire // ŚivP_7.1,12.54cd/	avaskare kzuDA AvizwAH rAkzasAH tasya jajQire // ŚivS _7.1,12.54cd/
   putrāstamorajaḥprāyā balinaste niśācarāḥ // ŚivP_7.1,12.55ab/	putrAH tamaH rajaH prAyAH balinaH te niSAcarAH // ŚivS _7.1,12.55ab/
   sarpā yakṣāstathā bhūtā gaṃdharvāḥ saṃprajajñire // ŚivP_7.1,12.55cd/	sarpAH yakzAH taTA BUtAH gaMDarvAH saMprajajQire // ŚivS _7.1,12.55cd/
   vayāṃsi pakṣataḥ sṛṣṭāḥ pakṣiṇo vakṣaso 'sṛjat // ŚivP_7.1,12.56ab/	vayAMsi pakzataH sRzwAH pakziNaH vakzasaH asRjat // ŚivS _7.1,12.56ab/
   mukhatojāṃstathā pārśvāduragāṃśca vinirmame // ŚivP_7.1,12.56cd/	muKa tojAn= taTA pArSvAt uragAn= ca vinirmame // ŚivS _7.1,12.56cd/
   padbhyāṃ cāśvānsamātaṃgān śarabhān gavayān mṛgān // ŚivP_7.1,12.57ab/	padByAm ca aSvAn sa mAtaMgAn SaraBAn gavayAt mRgAn // ŚivS _7.1,12.57ab/
   uṣṭrānaśvatarāṃścaiva nyaṃkūnanyāśca jātayaḥ 1 // ŚivP_7.1,12.57cd/	uzwrAn aSvatarAn= ca eva nyaMkUnanyAH ca jAtayaH 1 // ŚivS _7.1,12.57cd/
   auṣadhyaḥ phalamūlāni romabhyastasya jajñire // ŚivP_7.1,12.58ab/	OzaDyaH Pala mUlAni romaByaH tasya jajQire // ŚivS _7.1,12.58ab/
   gāyatrīṃ ca ṛcaṃ caiva trivṛtsāma rathaṃtaram // ŚivP_7.1,12.58cd/	gAyatrIm ca Rcam ca eva trivRt sAma raTaMtaram // ŚivS _7.1,12.58cd/
   agniṣṭomaṃ ca yajñānāṃ nirmame prathamānmukhāt // ŚivP_7.1,12.59ab/	agnizwomam ca yajQAnAm nirmame praTamAn muKAt // ŚivS _7.1,12.59ab/
   yajūṃṣi traiṣṭubhaṃ chaṃdaḥstomaṃ pañcadaśaṃ tathā // ŚivP_7.1,12.59cd/	yajUMzi trEzwuBam CaMdaH stomam paQcadaSam taTA // ŚivS _7.1,12.59cd/
   1 prathamārṣo	1 praTama ArzaH 
   515a	515a
   bṛhatsāma tathokthaṃ ca dakṣiṇādasṛjanmukhāt // ŚivP_7.1,12.60ab/	bRhatsAma taTA ukTam ca dakziNAt asRjat muKAt // ŚivS _7.1,12.60ab/
   sāmāni jagatīchaṃdaḥ stomaṃ saptadaśaṃ tathā // ŚivP_7.1,12.60cd/	sAmAni jagatI CaMdaH stomam saptadaSam taTA // ŚivS _7.1,12.60cd/
   vairūpyamatirātraṃ ca paścimādasṛjan mukhāt // ŚivP_7.1,12.61ab/	vErUpyam atirAtram ca paScimAt asRjat muKAt // ŚivS _7.1,12.61ab/
   ekaviṃśamatharvāṇamāptoryāmāṇameva ca // ŚivP_7.1,12.61cd/	ekaviMSam aTarvANam AptoryAmANam eva ca // ŚivS _7.1,12.61cd/
   anuṣṭubhaṃ sa vairājamuttarādasṛjanmukhāt // ŚivP_7.1,12.62ab/	anuzwuBam sa vErAjam uttarAt asRjat muKAt // ŚivS _7.1,12.62ab/
   uccāvacāni bhūtāni gātrebhyastasya jajñire // ŚivP_7.1,12.62cd/	uccAvacAni BUtAni gAtreByaH tasya jajQire // ŚivS _7.1,12.62cd/
   yakṣāḥ piśācā gaṃdharvāstathaivāpsarasāṃ gaṇāḥ // ŚivP_7.1,12.63ab/	yakzAH piSAcAH gaMDarvAH taTA eva apsarasAm gaNAH // ŚivS _7.1,12.63ab/
   narakinnararakṣāṃsi vayaḥpaśumṛgoragāḥ // ŚivP_7.1,12.63cd/	nara kinnara rakzAMsi vayaH paSu mRga uragAH // ŚivS _7.1,12.63cd/
   avyayaṃ caiva yadidaṃ sthāṇusthāvarajaṃgamam // ŚivP_7.1,12.64ab/	avyayam ca eva yat idam sTANu sTAvara jaMgamam // ŚivS _7.1,12.64ab/
   teṣāṃ vai yāni karmāṇi prāksṛṣṭāni prapedire // ŚivP_7.1,12.64cd/	tezAm vE yAni karmANi prAk sRzwAni prapedire // ŚivS _7.1,12.64cd/
   tānyeva te prapadyaṃte sṛjyamānāḥ punaḥ punaḥ // ŚivP_7.1,12.65ab/	tAni eva te prapadyaMte sRjyamAnAH punar punar // ŚivS _7.1,12.65ab/
   hiṃsrāhiṃsre mṛdukrūre dharmādharmāvṛtānṛte // ŚivP_7.1,12.65cd/	hiMsra ahiMsre mRdu krUre Darma aDarma AvRta anRte // ŚivS _7.1,12.65cd/
   tadbhāvitāḥ prapadyaṃte tasmāttattasya rocate // ŚivP_7.1,12.66ab/	tad BAvitAH prapadyaMte tasmAt tat tasya rocate // ŚivS _7.1,12.66ab/
   mahābhūteṣu nānātvamiṃdriyārtheṣu muktiṣu // ŚivP_7.1,12.66cd/	mahABUtezu nAnA tvam iMdriya arTezu muktizu // ŚivS _7.1,12.66cd/
   viniyogaṃ ca bhūtānāṃ dhātaiva vyadadhatsvayam // ŚivP_7.1,12.67ab/	viniyogam ca BUtAnAm DAtA eva vyadaDat svayam // ŚivS _7.1,12.67ab/
   nāma rūpaṃ ca bhūtānāṃ prākṛtānāṃ prapañcanam // ŚivP_7.1,12.67cd/	nAma rUpam ca BUtAnAm prAkRtAnAm prapaQcanam // ŚivS _7.1,12.67cd/
   vedaśabdebhya evādau nirmame 'sau pitāmahaḥ // ŚivP_7.1,12.68ab/	veda SabdeByaH eva AdO nirmame asO pitAmahaH // ŚivS _7.1,12.68ab/
   ārṣāṇi caiva nāmāni yāśca vedeṣu vṛttayaḥ // ŚivP_7.1,12.68cd/	ArzANi ca eva nAmAni yAH ca vedezu vRttayaH // ŚivS _7.1,12.68cd/
   śarvaryaṃte prasūtānāṃ tānyevaibhyo dadāvajaḥ // ŚivP_7.1,12.69ab/	SarvarI aMte prasUtAnAm tAni eva eByaH dadO= ajaH // ŚivS _7.1,12.69ab/
   yathartāvṛtuliṃgāni nānārūpāṇi paryaye // ŚivP_7.1,12.69cd/	yaTA RtO= Rtu liMgAni nAnA rUpANi paryaye // ŚivS _7.1,12.69cd/
   dṛśyaṃte tāni tānyeva tathā bhāvā yugādiṣu // ŚivP_7.1,12.70ab/	dRSyaMte tAni tAni eva taTA BAvAH yuga Adizu // ŚivS _7.1,12.70ab/
   ityeṣa karaṇodbhūto lokasargassvayaṃbhuvaḥ // ŚivP_7.1,12.70cd/	iti eza karaNa udBUtaH loka sarga ssvayaMBuvaH // ŚivS _7.1,12.70cd/
   mahadādyoviśeṣāṃto vikāraḥ prakṛteḥ svayam // ŚivP_7.1,12.71ab/	mahat AdyaH viSeza aMtaH vikAraH prakRteH svayam // ŚivS _7.1,12.71ab/
   caṃdrasūryaprabhājuṣṭo grahanakṣatramaṃḍitaḥ // ŚivP_7.1,12.71cd/	caMdra sUrya praBA juzwaH graha nakzatra m aMxitaH // ŚivS _7.1,12.71cd/
   nadībhiśca samudraiśca parvataiśca sa maṃḍitaḥ // ŚivP_7.1,12.72ab/	nadIBiH ca samudrEH ca parvatEH ca sa maMxitaH // ŚivS _7.1,12.72ab/
   paraiśca vividhairamyaissphītairjanapadaistathā // ŚivP_7.1,12.72cd/	parEH ca viviDEH amya essPItEH janapadEH taTA // ŚivS _7.1,12.72cd/
   tasmin brahmavane 'vyakto brahmā carati sarvavit // ŚivP_7.1,12.73ab/	tasmin brahma vane avyaktaH brahmA carati sarva vid // ŚivS _7.1,12.73ab/
   avyaktabījaprabhava īśvarānugrahe sthitaḥ // ŚivP_7.1,12.73cd/	avyakta bIja praBavaH ISvara anugrahe sTitaH // ŚivS _7.1,12.73cd/
   buddhiskaṃdhamahāśākha indriyāṃtarakoṭaraḥ // ŚivP_7.1,12.74ab/	budDi skaMDa mahA SAKaH indriya aMtara kowaraH // ŚivS _7.1,12.74ab/
   mahābhūtapramāṇaśca viśeṣāmalapallavaḥ // ŚivP_7.1,12.74cd/	mahABUta pramANaH ca viSeza amala pallavaH // ŚivS _7.1,12.74cd/
   dharmādharmasupuṣpāḍhyaḥ sukhaduḥkhaphalodayaḥ // ŚivP_7.1,12.75ab/	Darma aDarma su puzpa AXyaH suKa duHKa Pala udayaH // ŚivS _7.1,12.75ab/
   ājīvyaḥ sarvabhūtānāṃ brahmavṛkṣaḥ sanātanaḥ // ŚivP_7.1,12.75cd/	AjIvyaH sarva BUtAnAm brahmavRkzaH sanAtanaH // ŚivS _7.1,12.75cd/
   dyāṃ mūrdhānaṃ tasya viprā vadaṃti khaṃ vai nābhiṃ caṃdrasūryau ca netre	dyAm mUrDAnam tasya viprAH vadaMti Kam vE nABim caMdra sUryO ca netre
   // ŚivP_7.1,12.76ab/	// ŚivS _7.1,12.76ab/
   diśaḥ śrotre caraṇau ca kṣitiṃ ca so 'cintyātmā sarvabhūtapraṇetā //	diSaH Srotre caraNO ca kzitim ca saH acintya AtmA sarva BUta praNetA //
   ŚivP_7.1,12.76cd/	Śivj _7.1,12.76cd/
   vaktrāttasya brahmaṇāssaṃprasūtāstadvakṣasaḥ kṣatriyāḥ pūrvabhāgāt //	vaktrAt tasya brahmaNA AssaMprasUtAH tad vakzasaH kzatriyAH pUrva BAgAt //
   ŚivP_7.1,12.77ab/	ŚivS _7.1,12.77ab/
   vaiśyā urubhyāṃ tasya padbhyāṃ ca śūdrāḥ sarve varṇā gātrataḥ saṃprasūtāḥ	vESyAH uruByAm tasya padByAm ca SUdrAH sarve varNAH gAtrataH saMprasUtAH
   // ŚivP_7.1,12.77cd/	// ŚivS _7.1,12.77cd/
   iti śrīśivamahāpurāṇe saptamyāṃ vāyavīyasaṃhitāyāṃ pūrvakhaṇḍe	iti SrI Siva mahApurANe saptamyAm vAyavIya saMhitAyAm pUrva KaNxe
   sṛṣṭivarṇanaṃ nāma dvādaśo 'dhyāyaḥ	sRzwivarNanam nAma dvAdaSaH aDyAyaH
   Chapter 13	ChapteH 13
   ṛṣaya ūcuḥ	RzayaH UcuH
   bhavatā kathitā sṛṣṭirbhavasya paramātmanaḥ // ŚivP_7.1,13.1ab/	BavatA kaTitA sRzwiH Bavasya paramAtmanaH // ŚivS _7.1,13.1ab/
   caturmukhamukhāttasya saṃśayo naḥ prajāyate // ŚivP_7.1,13.1cd/	caturmuKa muKAt tasya saMSayaH naH prajAyate // ŚivS _7.1,13.1cd/
   devaśreṣṭho virūpākṣo dīptaśśūladharo haraḥ // ŚivP_7.1,13.2ab/	deva SrezWaH virUpAkzaH dIptaH SUla DaraH haraH // ŚivS _7.1,13.2ab/
   kālātmā bhagavān rudraḥ kapardī nīlalohitaḥ // ŚivP_7.1,13.2cd/	kAla AtmA BagavAn rudraH kapardI nIlalohitaH // ŚivS _7.1,13.2cd/
   sabrahmakamimaṃ lokaṃ saviṣṇumapi pāvakam // ŚivP_7.1,13.3ab/	sa brahmakam imam lokam sa vizNum api pAvakam // ŚivS _7.1,13.3ab/
   515b	515b
   yaḥ saṃharati saṃkruddho yugāṃte samupasthite // ŚivP_7.1,13.3cd/	yaH saMharati saMkrudDaH yuga aMte samupasTite // ŚivS _7.1,13.3cd/
   yasya brahmā ca viṣṇuśca praṇāmaṃ kuruto bhayāt // ŚivP_7.1,13.4ab/	yasya brahmA ca vizNuH ca praNAmam kurutaH BayAt // ŚivS _7.1,13.4ab/
   lokasaṃkocakasyāsya yasya tau vaśavartinau // ŚivP_7.1,13.4cd/	loka saMkocakasya asya yasya tO vaSa vartinO // ŚivS _7.1,13.4cd/
   yo 'yaṃ devaḥ svakādaṃgādbrahmaviṣṇū purāsṛjat // ŚivP_7.1,13.5ab/	yaH ayam devaH svakAdaMgAt brahma vizNU purA sRjat // ŚivS _7.1,13.5ab/
   sa eva hi tayornityaṃ yogakṣemakaraḥ prabhuḥ // ŚivP_7.1,13.5cd/	saH eva hi tayoH nityam yogakzema karaH praBuH // ŚivS _7.1,13.5cd/
   sa kathaṃ bhagavān rudra ādidevaḥ purātanaḥ // ŚivP_7.1,13.6ab/	sa kaTam BagavAn rudraH AdidevaH purAtanaH // ŚivS _7.1,13.6ab/
   putratvamagamacchaṃbhurbrahmaṇo 'vyaktajanmanaḥ // ŚivP_7.1,13.6cd/	putra tvam agamat SaMBuH brahmaNaH avyakta janmanaH // ŚivS _7.1,13.6cd/
   prajāpatiśca viṣṇuśca rudrasyaitau parasparam // ŚivP_7.1,13.7ab/	prajApatiH ca vizNuH ca rudrasya etO parasparam // ŚivS _7.1,13.7ab/
   sṛṣṭau parasparasyāṃgāditi prāgapi śuśruma // ŚivP_7.1,13.7cd/	sRzwO parasparasya aMgAt iti prAk api SuSruma // ŚivS _7.1,13.7cd/
   kathaṃ punaraśeṣāṇāṃ bhūtānāṃ hetubhūtayoḥ // ŚivP_7.1,13.8ab/	kaTam punar aSezANAm BUtAnAm hetu BUtayoH // ŚivS _7.1,13.8ab/
   guṇapradhānabhāvena prādurbhāvaḥ parasparāt // ŚivP_7.1,13.8cd/	guNa praDAna BAvena prAdurBAvaH parasparAt // ŚivS _7.1,13.8cd/
   nāpṛṣṭaṃ bhavatā kiṃcinnāśrutaṃ ca kathaṃcana // ŚivP_7.1,13.9ab/	na apRzwam BavatA kiMcid na aSrutam ca kaTaMcana // ŚivS _7.1,13.9ab/
   bhagavacchiṣyabhūtena bhavatā sakalaṃ smṛtam // ŚivP_7.1,13.9cd/	Bagavat Sizya BUtena BavatA sakalam smRtam // ŚivS _7.1,13.9cd/
   tattvaṃ vada yathā brahmā munīnāmavadadvibhuḥ // ŚivP_7.1,13.10ab/	tattvam vada yaTA brahmA munInAm avadat viBuH // ŚivS _7.1,13.10ab/
   vayaṃ śraddhālavastāta śrotumīśvarasadyaśaḥ // ŚivP_7.1,13.10cd/	vayam SradDA lavaH tAta Srotum ISvara sat yaSaH // ŚivS _7.1,13.10cd/
   vāyuruvāca	vAyuH uvAca
   sthāne pṛṣṭamidaṃ viprā bhavadbhiḥ praśnakovidaiḥ // ŚivP_7.1,13.11ab/	sTAne pRzwam idam viprAH BavadBiH praSna kovidEH // ŚivS _7.1,13.11ab/
   idameva purā pṛṣṭo mama prāha pitāmahaḥ // ŚivP_7.1,13.11cd/	idam eva purA pRzwaH mama prAha pitAmahaH // ŚivS _7.1,13.11cd/
   tadahaṃ sampravakṣyāmi yathā rudrasamudbhavaḥ // ŚivP_7.1,13.12ab/	tat aham sampravakzyAmi yaTA rudra samudBavaH // ŚivS _7.1,13.12ab/
   yathā ca punarutpattirbrahmaviṣṇvoḥ parasparam // ŚivP_7.1,13.12cd/	yaTA ca punar utpattiH brahma vizNvoH parasparam // ŚivS _7.1,13.12cd/
   trayaste kāraṇātmāno jatāssākṣānmaheśvarāt // ŚivP_7.1,13.13ab/	trayaH te kAraNa AtmAnaH jatAssAkzAt maheSvarAt // ŚivS _7.1,13.13ab/
   carācarasya viśvasya sargasthityaṃtahetavaḥ // ŚivP_7.1,13.13cd/	carAcarasya viSvasya sarga sTiti aMta hetavaH // ŚivS _7.1,13.13cd/
   paramaiśvaryasaṃyuktāḥ parameśvarabhāvitāḥ // ŚivP_7.1,13.14ab/	parama ESvarya saMyuktAH parameSvara BAvitAH // ŚivS _7.1,13.14ab/
   tacchaktyādhiṣṭhitā nityaṃ tatkāryakaraṇakṣamāḥ // ŚivP_7.1,13.14cd/	tad SaktyA aDizWitAH nityam tad kArya karaNa kzamAH // ŚivS _7.1,13.14cd/
   pitrā niyamitāḥ pūrvaṃ trayopi triṣu karmasu // ŚivP_7.1,13.15ab/	pitrA niyamitAH pUrvam trayopi trizu karmasu // ŚivS _7.1,13.15ab/
   brahmā sarge haristrāṇe rudraḥ saṃharaṇe tathā // ŚivP_7.1,13.15cd/	brahmA sarge hariH trANe rudraH saMharaNe taTA // ŚivS _7.1,13.15cd/
   tathāpyanyonyamātsaryādanyonyātiśayāśinaḥ // ŚivP_7.1,13.16ab/	taTA api anyonya mAtsaryAt anyonya atiSaya ASinaH // ŚivS _7.1,13.16ab/
   tapasā toṣayitvā svaṃ pitaraṃ parameśvaram // ŚivP_7.1,13.16cd/	tapasA tozayitvA svam pitaram parameSvaram // ŚivS _7.1,13.16cd/
   labdhvā sarvātmanā tasya prasādātparameṣṭhinaḥ // ŚivP_7.1,13.17ab/	labDvA sarva AtmanA tasya prasAdAt paramezWinaH // ŚivS _7.1,13.17ab/
   brahmanārāyaṇau pūrvaṃ rudraḥ kalpāntare 'sṛjat // ŚivP_7.1,13.17cd/	brahma nArAyaNO pUrvam rudraH kalpa antare asRjat // ŚivS _7.1,13.17cd/
   kalpāntare punarbrahmā rudraviṣṇū jaganmayaḥ // ŚivP_7.1,13.18ab/	kalpa antare punar brahmA rudra vizNU jagat mayaH // ŚivS _7.1,13.18ab/
   viṣṇuśca bhagavānrudraṃ brahmāṇamasṛjatpunaḥ // ŚivP_7.1,13.18cd/	vizNuH ca BagavAn rudram brahmANam asRjat punar // ŚivS _7.1,13.18cd/
   nārāyaṇaṃ punarbrahmā brahmāṇamasṛjatpunaḥ // ŚivP_7.1,13.19ab/	nArAyaNam punar brahmA brahmANam asRjat punar // ŚivS _7.1,13.19ab/
   evaṃ kalpeṣu kalpeṣu brahmaviṣṇumaheśvarāḥ // ŚivP_7.1,13.19cd/	evam kalpezu kalpezu brahma vizNu maheSvarAH // ŚivS _7.1,13.19cd/
   paraspareṇa jāyaṃte parasparahitaiṣiṇaḥ // ŚivP_7.1,13.20ab/	paraspareNa jAyaMte paraspara hita eziNaH // ŚivS _7.1,13.20ab/
   tattatkalpāntavṛttāntamadhikṛtya maharṣibhiḥ // ŚivP_7.1,13.20cd/	tad tad kalpa anta vRttAntam aDikRtya mahA RziBiH // ŚivS _7.1,13.20cd/
   prabhāvaḥ kathyate teṣāṃ parasparasamudbhavāt // ŚivP_7.1,13.21ab/	praBAvaH kaTyate tezAm paraspara samudBavAt // ŚivS _7.1,13.21ab/
   śṛṇu teṣāṃ kathāṃ citrāṃ puṇyāṃ pāpapramocinīm // ŚivP_7.1,13.21cd/	SRNu tezAm kaTAm citrAm puNyAm pApa pramocinIm // ŚivS _7.1,13.21cd/
   kalpe tatpuruṣe vṛttāṃ brahmaṇaḥ parameṣṭhinaḥ // ŚivP_7.1,13.22ab/	kalpe tatpuruze vRttAm brahmaNaH paramezWinaH // ŚivS _7.1,13.22ab/
