   viṣayādhyāyaḥ	vizaya-aDyAyaH
   [i.e., Tattvasamāsa, an abstract of Sāṃkhya philosophy]	[i.e., Tattva-samAsa, an abstra-ct of SAMKya PilosoPy]
   1. Tattvapādaḥ	1. Tattva-pAdaH
   aṣṭau prakṛtayaḥ | Tats_1.1 |	azwO prakRtayaH | Tats_1.1 |
   ṣoḍaśa vikārāḥ | Tats_1.2 |	zoxaSa vikArAH | Tats_1.2 |
   puruṣaḥ | Tats_1.3 |	puruzaH | Tats_1.3 |
   traiguṇyaṃ | Tats_1.4 |	trEguNyam | Tats_1.4 |
   saṃcaraḥ | Tats_1.5 |	saMcaraH | Tats_1.5 |
   pratisaṃcaraḥ | Tats_1.6 |	pratisaMcaraH | Tats_1.6 |
   adhyātmam | Tats_1.7 |	aDyAtmam | Tats_1.7 |
   adhibhūtam | Tats_1.8 |	aDiBUtam | Tats_1.8 |
   adhidaivatam | Tats_1.9 |	aDidEvatam | Tats_1.9 |
   2. Prakīrṇapādaḥ	2. PrakIrNa-pAdaH
   pañcābhibuddhayaḥ | Tats_2.1 |	paQca-aBibudDayaH | Tats_2.1 |
   pañca karmayonayaḥ | Tats_2.2 |	paQca karma-yonayaH | Tats_2.2 |
   pañca vāyavaḥ | Tats_2.3 |	paQca vAyavaH | Tats_2.3 |
   pañca karmātmānaḥ | Tats_2.4 |	paQca karma-AtmAnaH | Tats_2.4 |
   pañcaparvāvidyā | Tats_2.5 |	paQca-parva-avidyA | Tats_2.5 |
   aṣṭāviṃśatidhāśaktiḥ | Tats_2.6 |	azwAviMSatiDA-SaktiH | Tats_2.6 |
   navadhā tuṣṭiḥ | Tats_2.7 |	navaDA tuzwiH | Tats_2.7 |
   aṣṭadhā siddhiḥ | Tats_2.8 |	azwaDA sidDiH | Tats_2.8 |
   daśa mūlikārthāḥ | Tats_2.9 |	daSa mUlikA-arTAH | Tats_2.9 |
   anugrahaḥ sargaḥ | Tats_2.10 |	anugrahaH sargaH | Tats_2.10 |
   caturdaśavidho bhūtasargaḥ | Tats_2.11 |	caturdaSaviDaH BUta-sargaH | Tats_2.11 |
   trividho bandhaḥ | Tats_2.12 |	triviDaH banDaH | Tats_2.12 |
   trividho mokṣaḥ | Tats_2.13 |	triviDaH mokzaH | Tats_2.13 |
   trividhaṃ pramāṇaṃ | Tats_2.14 |	triviDam pramANam | Tats_2.14 |
   trividhaṃ duḥkhaṃ | Tats_2.15 |	triviDam duHKam | Tats_2.15 |
   etatparaṃ yāthātathyaṃ | Tats_2.16 |	etat-param yATAtaTyam | Tats_2.16 |
   etatjñātvā kṛtakṛtyaḥ syāt | Tats_2.17 |	etat-jQAtvA kRtakRtyaH syAt | Tats_2.17 |
   nāsau punaḥ trividhena duḥkhenābhibhūyate nābhibhīyate | Tats_2.18 |	na-asO punar triviDena duHKena-aBiBUyate na-aBiBIyate | Tats_2.18 |
