   LiP, 1, 1	Li P, 1, 1
   indriyeṣu tathānyeṣu deveṣu ca gaṇeṣu ca // LiP_1,35.20 //	indriyezu taTA anyezu devezu ca gaNezu ca // LiS _1,35.20 //
   puṣpeṣu gandhavatsūkṣmaḥ sugandhiḥ parameśvaraḥ /	puzpezu ganDavat sUkzmaH suganDiH parameSvaraH /
   puṣṭiś ca prakṛtiryasmāt puruṣasya dvijottama // LiP_1,35.21 //	puzwiH ca prakRtiH yasmAt puruzasya dvijottamaH // LiS _1,35.21 //
   mahadādiviśeṣānta  vikalpasyāpi suvrata /	mahat Adi viSeza anta vikalpasya api suvrata /
   viṣṇoḥ pitāmahasyāpi munīnāṃ ca mahāmune // LiP_1,35.22 //	vizNoH pitAmahasya api munInAm ca mahA mune // LiS _1,35.22 //
   indrasyāpi ca devānāṃ tasmādvai puṣṭivardhanaḥ /	indrasya api ca devAnAm tasmAt vE puzwi varDanaH /
   taṃ devamamṛtaṃ rudraṃ karmaṇā tapasā tathā // LiP_1,35.23 //	tam devam amRtam rudram karmaNA tapasA taTA // LiS _1,35.23 //
   svādhyāyena ca yogena dhyānena ca yajāmahe /	svADyAyena ca yogena DyAnena ca yajAmahe /
   satyenānena mukṣīyān mṛtyupāśād bhavaḥ svayam // LiP_1,35.24 //	satyena anena mukzIyAt mRtyu pASAt BavaH svayam // LiS _1,35.24 //
   bandhamokṣakaro yasmād urvārukamiva prabhuḥ /	banDa mokza karaH yasmAt urvArukam iva praBuH /
   mṛtasaṃjīvano mantro mayā labdhastu śaṅkarāt // LiP_1,35.25 //	mRtasaMjIvanaH mantraH mayA labDaH tu SaFkarAt // LiS _1,35.25 //
   japtvā hutvābhimantryaivaṃ jalaṃ pītvā divāniśam /	japtvA hutvA aBimantrya evam jalam pItvA divAniSam /
   liṅgasya saṃnidhau dhyātvā nāsti mṛtyubhayaṃ dvija // LiP_1,35.26 //	liFgasya saMniDO DyAtvA na asti mRtyu Bayam dvijaH // LiS _1,35.26 //
   tasya tadvacanaṃ śrutvā tapasārādhya śaṅkaram /	tasya tat vacanam SrutvA tapasA ArADya SaFkaram /
   vajrāsthitvam avadhyatvam adīnatvaṃ ca labdhavān // LiP_1,35.27 //	vajra asTi tvam avaDya tvam adIna tvam ca labDavAn // LiS _1,35.27 //
   evamārādhya deveśaṃ dadhīco munisattamaḥ /	evam ArADya deveSam daDIcaH muni sattamaH /
   prāpyāvadhyatvamanyaiś ca vajrāsthitvaṃ prayatnataḥ // LiP_1,35.28 //	prApya avaDya tvam anyEH ca vajra asTi tvam prayatnataH // LiS _1,35.28 //
   atāḍayacca rājendraṃ pādamūlena mūrdhani /	atAxayat ca rAja indram pAda mUlena mUrDani /
   kṣupo dadhīcaṃ vajreṇa jaghānorasi ca prabhuḥ // LiP_1,35.29 //	kzupaH daDIcam vajreNa jaGAna urasi ca praBuH // LiS _1,35.29 //
   nābhūnnāśāya tadvajraṃ dadhīcasya mahātmanaḥ /	na aBUt nASAya tat vajram daDIcasya mahAtmanaH /
   prabhāvātparameśasya vajrabaddhaśarīriṇaḥ // LiP_1,35.30 //	praBAvAt parameSasya vajra badDa SarIriNaH // LiS _1,35.30 //
   dṛṣṭvāpyavadhyatvamadīnatāṃ ca kṣupo dadhīcasya tadā prabhāvam /	dRzwvA api avaDya tvam adIna tAm ca kzupaH daDIcasya tadA praBAvam /
   ārādhayāmāsa hariṃ mukundam indrānujaṃ prekṣya tadāṃbujākṣam //	ArADayAmAsa harim mukundam indrAnujam prekzya tadA aMbuja akzam //
   LiP_1,35.31 //	LiS _1,35.31 //
   iti śrīliṅgamahāpurāṇe pūrvabhāge kṣupābidhanṛpaparābhavavarṇanaṃ nāma	iti SrI liFga mahApurANe pUrva BAge kzupAbiDanRpaparABavavarNanam nAma
   pañcatriṃśo 'dhyāyaḥ	paQcatriMSaH aDyAyaH
   LiP, 1, 36	Li P, 1, 36
   nandyuvāca	nandI uvAca
   pūjayā tasya saṃtuṣṭo bhagavānpuruṣottamaḥ /	pUjayA tasya saMtuzwaH BagavAn puruzottamaH /
   śrībhūmisahitaḥ śrīmāñ śaṅkhacakragadādharaḥ // LiP_1,36.1 //	SrI BUmi sahitaH SrImAn SaFKa cakra gadA DaraH // LiS _1,36.1 //
   kirīṭī padmahastaś ca sarvābharaṇabhūṣitaḥ /	kirIwI padma hastaH ca sarva ABaraNa BUzitaH /
   pītāṃbaraś ca bhagavān devairdaityaiś ca saṃvṛtaḥ // LiP_1,36.2 //	pIta aMbaraH ca BagavAn devEH dEtyEH ca saMvRtaH // LiS _1,36.2 //
   pradadau darśanaṃ tasmai divyaṃ vai garuḍadhvajaḥ /	pradadO darSanam tasmE divyam vE garuxaDvajaH /
   divyena darśanenaiva dṛṣṭvā devaṃ janārdanam // LiP_1,36.3 //	divyena darSanena eva dRzwvA devam janArdanam // LiS _1,36.3 //
   tuṣṭāva vāgbhir iṣṭābhiḥ praṇamya garuḍadhvajam /	tuzwAva vAgBiH izwABiH praNamya garuxaDvajam /
   tvamādistvamanādiś ca prakṛtistvaṃ janārdanaḥ // LiP_1,36.4 //	tvam AdiH tvam anAdiH ca prakRtiH tvam janArdanaH // LiS _1,36.4 //
   puruṣastvaṃ jagannātho viṣṇurviśveśvaro bhavān /	puruzaH tvam jagannATaH vizNuH viSveSvaraH BavAn /
   yo 'yaṃ brahmāsi puruṣo viśvamūrtiḥ pitāmahaḥ // LiP_1,36.5 //	yaH ayam brahmA asi puruzaH viSvamUrtiH pitAmahaH // LiS _1,36.5 //
   tattvamādyaṃ bhavāneva paraṃ jyotirjanārdana /	tattvam Adyam BavAn eva param jyotiH janArdana /
   paramātmā paraṃ dhāma śrīpate bhūpate prabho // LiP_1,36.6 //	paramAtmA param DAma SrIpate BUpate praBo // LiS _1,36.6 //
   tvatkrodhasaṃbhavo rudras tamasā ca samāvṛtaḥ /	tvad kroDa saMBavaH rudraH tamasA ca samAvRtaH /
   tvatprasādājjagaddhātā rajasā ca pitāmahaḥ // LiP_1,36.7 //	tvad prasAdAt jagadDAtA rajasA ca pitAmahaH // LiS _1,36.7 //
   tvatprasādātsvayaṃ viṣṇuḥ sattvena puruṣottamaḥ /	tvad prasAdAt svayam vizNuH sattvena puruzottamaH /
   kālamūrte hare viṣṇo nārāyaṇa jaganmaya // LiP_1,36.8 //	kAla mUrte hare vizNo nArAyaNa jagat mayaH // LiS _1,36.8 //
   mahāṃs tathā ca bhūtādis tanmātrāṇīndriyāṇi ca /	mahAn taTA ca BUtAdiH tanmAtrANi indriyANi ca /
   tvayaivādhiṣṭhitānyeva viśvamūrte maheśvara // LiP_1,36.9 //	tvayA eva aDizWitAni eva viSvamUrte maheSvaraH // LiS _1,36.9 //
   mahādeva jagannātha pitāmaha jagadguro /	mahAdeva jagannATa pitAmaha jagadguro /
   prasīda devadeveśa prasīda parameśvara // LiP_1,36.10 //	prasIda devadeveSa prasIda parameSvaraH // LiS _1,36.10 //
   prasīda tvaṃ jagannātha śaraṇyaṃ śaraṇaṃ gataḥ /	prasIda tvam jagannATa SaraNyam SaraNam gataH /
   vaikuṇṭha śaure sarvajña vāsudeva mahābhuja // LiP_1,36.11 //	vEkuNWa SOre sarvajQa vAsudeva mahA Buja // LiS _1,36.11 //
   saṃkarṣaṇa mahābhāga pradyumna puruṣottama /	saMkarzaNa mahABAga pradyumna puruzottamaH /
   aniruddha mahāviṣṇo sadā viṣṇo namo 'stu te // LiP_1,36.12 //	anirudDa mahA vizNo sadA vizNo namaH astu te // LiS _1,36.12 //
   viṣṇo tavāsanaṃ divyam avyaktaṃ madhyato vibhuḥ /	vizNo tava Asanam divyam avyaktam maDyatas viBuH /
   sahasraphaṇasaṃyuktas tamomūrtirdharādharaḥ // LiP_1,36.13 //	sahasra PaNa saMyuktaH tamaH mUrtiH DarADaraH // LiS _1,36.13 //
   adhaś ca dharmo deveśa jñānaṃ vairāgyameva ca /	aDas ca DarmaH deveSa jQAnam vErAgyam eva ca /
   aiśvaryamāsanasyāsya pādarūpeṇa suvrata // LiP_1,36.14 //	ESvaryam Asanasya asya pAda rUpeNa suvrate // LiS _1,36.14 //
   saptapātālapādastvaṃ dharājaghanameva ca /	sapta pAtAla pAdaH tvam DarA jaGanam eva ca /
   vāsāṃsi sāgarāḥ sapta diśaścaiva mahābhujāḥ // LiP_1,36.15 //	vAsAMsi sAgarAH sapta diSaH ca eva mahA BujAH // LiS _1,36.15 //
   dyaurmūrdhā te vibho nābhiḥ khaṃ vāyurnāsikāṃ gataḥ /	dyOH mUrDA te viBo nABiH Kam vAyuH nAsikAm gataH /
   netre somaś ca sūryaś ca keśā vai puṣkarādayaḥ // LiP_1,36.16 //	netre somaH ca sUryaH ca keSAH vE puzkara AdayaH // LiS _1,36.16 //
   nakṣatratārakā dyauś ca graiveyakavibhūṣaṇam /	nakzatra tArakA dyOH ca grEveyaka viBUzaNam /
   kathaṃ stoṣyāmi deveśaṃ pūjyaś ca puruṣottamaḥ // LiP_1,36.17 //	kaTam stozyAmi deveSam pUjyaH ca puruzottamaH // LiS _1,36.17 //
   śraddhayā ca kṛtaṃ divyaṃ yac chrutaṃ yacca kīrtitam /	SradDayA ca kRtam divyam yat Srutam yat ca kIrtitam /
   yadiṣṭaṃ tatkṣamasveśa nārāyaṇa namo 'stu te // LiP_1,36.18 //	yat izwam tat kzamasva ISa nArAyaNa namaH astu te // LiS _1,36.18 //
   śailādiruvāca	SElAdiH uvAca
   idaṃ tu vaiṣṇavaṃ stotraṃ sarvapāpapraṇāśanam /	idam tu vEzNavam stotram sarva pApa praNASanam /
   yaḥ paṭhecchṛṇuyādvāpi kṣupeṇa parikīrtitam // LiP_1,36.19 //	yaH paWet SRNuyAt vA api kzupeNa parikIrtitam // LiS _1,36.19 //
   śrāvayedvā dvijān bhaktyā viṣṇulokaṃ sa gacchati // LiP_1,36.20 //	SrAvayet vA dvijAn BaktyA vizNu lokam sa gacCati // LiS _1,36.20 //
   sampūjya caivaṃ tridaśeśvarādyaiḥ stutvā stutaṃ devamajeyamīśam /	sampUjya ca evam tridaSa ISvara AdyEH stutvA stutam devam ajeyam ISam /
   vijñāpayāmāsa nirīkṣya bhaktyā janārdanāya praṇipatya mūrdhnā //	vijQApayAmAsa nirIkzya BaktyA janArdanAya praNipatya mUrDnA //
   LiP_1,36.21 //	LiS _1,36.21 //
   rājovāca	rAjA uvAca
   bhagavanbrāhmaṇaḥ kaścid dadhīca iti viśrutaḥ /	Bagavan brAhmaNaH kaScid daDIcaH iti viSrutaH /
   dharmavettā vinītātmā sakhā mama purābhavat // LiP_1,36.22 //	Darma vettA vinIta AtmA saKA mama purA Bavat // LiS _1,36.22 //
   avadhyaḥ sarvadā sarvaiḥ śaṅkarārcanatatparaḥ /	avaDyaH sarvadA sarvEH SaFkara arcana tatparaH /
   sāvajñaṃ vāmapādena sa māṃ mūrdhni sadasyatha // LiP_1,36.23 //	sa avajQam vAma pAdena sa mAm mUrDni sadasi aTa // LiS _1,36.23 //
   tāḍayāmāsa deveśa viṣṇo viśvajagatpate /	tAxayAmAsa deveSa vizNo viSva jagat pate /
   uvāca ca madāviṣṭo na bibhemīti sarvataḥ // LiP_1,36.24 //	uvAca ca mad a AvizwaH na biBemi iti sarvatas // LiS _1,36.24 //
   jetumicchāmi taṃ vipraṃ dadhīcaṃ jagadīśvara /	jetum icCAmi tam vipram daDIcam jagat ISvara /
   yathā hitaṃ tathā kartuṃ tvamarhasi janārdana // LiP_1,36.25 //	yaTA hitam taTA kartum tvam arhasi janArdanaH // LiS _1,36.25 //
   śailādiruvāca	SElAdiH uvAca
   jñātvā so 'pi dadhīcasya hy avadhyatvaṃ mahātmanaḥ /	jQAtvA saH api daDIcasya hi avaDya tvam mahAtmanaH /
   sasmāra ca maheśasya prabhāvamatulaṃ hariḥ // LiP_1,36.26 //	sasmAra ca maheSasya praBAvam atulam hariH // LiS _1,36.26 //
   evaṃ smṛtvā hariḥ prāha brahmaṇaḥ kṣutasaṃbhavam /	evam smRtvA hariH prAha brahmaNaH kzuta saMBavam /
   viprāṇāṃ nāsti rājendra bhayametya maheśvaram // LiP_1,36.27 //	viprANAm na asti rAja indra Bayam etya maheSvaram // LiS _1,36.27 //
   viśeṣādrudrabhaktānām abhayaṃ sarvadā nṛpa /	viSezAt rudra BaktAnAm aBayam sarvadA nRpa /
   nīcānāmapi sarvatra dadhīcasyāsya kiṃ punaḥ // LiP_1,36.28 //	nIcAnAm api sarvatra daDIcasya asya kim punar // LiS _1,36.28 //
   tasmāttava mahābhāga vijayo nāsti bhūpate /	tasmAt tava mahABAga vijayaH na asti BUpate /
   duḥkhaṃ karomi viprasya śāpārthaṃ sasurasya me // LiP_1,36.29 //	duHKam karomi viprasya SApa arTam sa surasya me // LiS _1,36.29 //
   bhavitā tasya śāpena dakṣayajñe suraiḥ samam /	BavitA tasya SApena dakza yajQe surEH samam /
   vināśo mama rājendra punarutthānameva ca // LiP_1,36.30 //	vinASaH mama rAja indra punar utTAnam eva ca // LiS _1,36.30 //
   tasmātsametya viprendraṃ sarvayatnena bhūpate /	tasmAt sametya vipra indram sarva yatnena BUpate /
   karomi yatnaṃ rājendra dadhīcavijayāya te // LiP_1,36.31 //	karomi yatnam rAja indra daDIca vijayAya te // LiS _1,36.31 //
   śailādiruvāca	SElAdiH uvAca
   śrutvā vākyaṃ kṣupaḥ prāha tathāstviti janārdanam /	SrutvA vAkyam kzupaH prAha taTA astu iti janArdanam /
   bhagavānapi viprasya dadhīcasyāśramaṃ yayau // LiP_1,36.32 //	BagavAn api viprasya daDIcasya ASramam yayO // LiS _1,36.32 //
   āsthāya rūpaṃ viprasya bhagavān bhaktavatsalaḥ /	AsTAya rUpam viprasya BagavAn Bakta vatsalaH /
   dadhīcamāha brahmarṣim abhivandya jagadguruḥ // LiP_1,36.33 //	daDIcam Aha brahmarzim aBivandya jagadguruH // LiS _1,36.33 //
   śrībhagavānuvāca	SrI BagavAn uvAca
   bhobho dadhīca brahmarṣe bhavārcanaratāvyaya /	Bo Bo daDIca brahmarze Bava arcana rata avyayaH /
   varamekaṃ vṛṇe tvattas taṃ bhavāndātumarhati // LiP_1,36.34 //	varam ekam vRNe tvattaH tam BavAn dAtum arhati // LiS _1,36.34 //
   yācito devadevena dadhīcaḥ prāha viṣṇunā /	yAcitaH devadevena daDIcaH prAha vizNunA /
   jñātaṃ tavepsitaṃ sarvaṃ na bibhemi tavāpyaham // LiP_1,36.35 //	jQAtam tava Ipsitam sarvam na biBemi tava api aham // LiS _1,36.35 //
   bhavān viprasya rūpeṇa āgato 'si janārdana /	BavAn viprasya rUpeNa AgataH asi janArdanaH /
   bhūtaṃ bhaviṣyaṃ deveśa vartamānaṃ janārdana // LiP_1,36.36 //	BUtam Bavizyam deveSa vartamAnam janArdanaH // LiS _1,36.36 //
   jñātaṃ prasādādrudrasya dvijatvaṃ tyaja suvrata /	jQAtam prasAdAt rudrasya dvija tvam tyaja suvrata /
   ārādhito 'si deveśa kṣupeṇa madhusūdana // LiP_1,36.37 //	ArADitaH asi deveSa kzupeNa maDusUdana // LiS _1,36.37 //
   jāne tavaināṃ bhagavan bhaktavatsalatāṃ hare /	jAne tava enAm Bagavan Bakta vatsalatAm hare /
   sthāne tavaiṣā bhagavan bhaktavātsalyatā hare // LiP_1,36.38 //	sTAne tava ezA Bagavan Bakta vAtsalya tA hare // LiS _1,36.38 //
   asti cedbhagavan bhītir bhavārcanaratasya me /	asti ced Bagavan BItiH Bava arcana ratasya me /
   vaktumarhasi yatnena varadāṃbujalocana // LiP_1,36.39 //	vaktum arhasi yatnena vara da aMbuja locanaH // LiS _1,36.39 //
   vadāmi na mṛṣā tasmān na bibhemi janārdana /	vadAmi na mRzA tasmAt na biBemi janArdanaH /
   na bibhemi jagatyasmin devadaityadvijādapi // LiP_1,36.40 //	na biBemi jagati asmin deva dEtya dvijAt api // LiS _1,36.40 //
   nandyuvāca	nandI uvAca
   śrutvā vākyaṃ dadhīcasya tadāsthāya janārdanaḥ /	SrutvA vAkyam daDIcasya tat AsTAya janArdanaH /
   svarūpaṃ sasmitaṃ prāha saṃtyajya dvijatāṃ kṣaṇāt // LiP_1,36.41 //	svarUpam sa smitam prAha saMtyajya dvija tAm kzaNAt // LiS _1,36.41 //
   śrībhagavānuvāca	SrI BagavAn uvAca
   bhayaṃ dadhīca sarvatra nāstyeva tava suvrata /	Bayam daDIca sarvatra na asti eva tava suvrata /
   bhavārcanarato yasmād bhavān sarvajña eva ca // LiP_1,36.42 //	Bava arcana rataH yasmAt BavAn sarvajQaH eva ca // LiS _1,36.42 //
   bibhemīti sakṛdvaktuṃ tvamarhasi namastava /	biBemi iti sakRt vaktum tvam arhasi namaH tava /
   niyogānmama viprendra kṣupaṃ prati sadasyatha // LiP_1,36.43 //	niyogAt mama vipra indra kzupam prati sadasi aTa // LiS _1,36.43 //
   evaṃ śrutvāpi tadvākyaṃ sāntvaṃ viṣṇormahāmuniḥ /	evam SrutvA api tat vAkyam sAntvam vizNoH mahA muniH /
   na bibhemīti taṃ prāha dadhīco devasattamam // LiP_1,36.44 //	na biBemi iti tam prAha daDIcaH deva sattamam // LiS _1,36.44 //
   prabhāvāddevadevasya śaṃbhoḥ sākṣātpinākinaḥ /	praBAvAt devadevasya SaMBoH sAkzAt pinAkinaH /
   śarvasya śaṅkarasyāsya sarvajñasya mahāmuniḥ // LiP_1,36.45 //	Sarvasya SaFkarasya asya sarvajQasya mahA muniH // LiS _1,36.45 //
   tatastasya muneḥ śrutvā vacanaṃ kupito hariḥ /	tatas tasya muneH SrutvA vacanam kupitaH hariH /
   cakramudyamya bhagavān didhakṣurmunisattamam // LiP_1,36.46 //	cakram udyamya BagavAn diDakzuH muni sattamam // LiS _1,36.46 //
   abhavatkuṇṭhitāgraṃ hi viṣṇoścakraṃ sudarśanam /	aBavat kuNWita agram hi vizNoH cakram sudarSanam /
   prabhāvāddhi dadhīcasya kṣupasyaiva hi saṃnidhau // LiP_1,36.47 //	praBAvAt hi daDIcasya kzupasya eva hi saMniDO // LiS _1,36.47 //
   dṛṣṭvā tatkuṇṭhitāgraṃ hi cakraṃ cakriṇamāha saḥ /	dRzwvA tad kuNWita agram hi cakram cakriNam Aha saH /
   dadhīcaḥ sasmitaṃ sākṣāt sadasadvyaktikāraṇam // LiP_1,36.48 //	daDIcaH sa smitam sAkzAt sat asat vyakti kAraNam // LiS _1,36.48 //
   bhagavan bhavatā labdhaṃ purātīva sudāruṇam /	Bagavan BavatA labDam purA atIva su dAruNam /
   sudarśanamiti khyātaṃ cakraṃ viṣṇo prayatnataḥ // LiP_1,36.49 //	sudarSanam iti KyAtam cakram vizNo prayatnataH // LiS _1,36.49 //
   bhavasyaitacchubhaṃ cakraṃ na jighāṃsati māmiha /	Bavasya etat SuBam cakram na jiGAMsati mAm iha /
   brahmāstrādyaistathānyairhi prayatnaṃ kartumarhasi // LiP_1,36.50 //	brahmAstra AdyEH taTA anyEH hi prayatnam kartum arhasi // LiS _1,36.50 //
   śailādiruvāca	SElAdiH uvAca
   tasya tadvacanaṃ śrutvā dṛṣṭvā nirvīryamāyudham /	tasya tat vacanam SrutvA dRzwvA nirvIryam AyuDam /
   sasarja ca punastasmai sarvāstrāṇi samantataḥ // LiP_1,36.51 //	sasarja ca punar tasmE sarva astrANi samantataH // LiS _1,36.51 //
   cakrurdevāstatastasya viṣṇoḥ sāhāyyamavyayāḥ /	cakruH devAH tatas tasya vizNoH sAhAyyam avyayAH /
   dvijenaikena yoddhuṃ hi pravṛttasya mahābalāḥ // LiP_1,36.52 //	dvijena ekena yodDum hi pravRttasya mahA balAH // LiS _1,36.52 //
   kuśamuṣṭiṃ tadādāya dadhīcaḥ saṃsmaranbhavam /	kuSa muzwim tat AdAya daDIcaH saMsmaran Bavam /
   sasarja sarvadevebhyo vajrāsthiḥ sarvato vaśī // LiP_1,36.53 //	sasarja sarva deveByaH vajra asTiH sarvatas vaSI // LiS _1,36.53 //
   divyaṃ triśūlam abhavat kālāgnisadṛśaprabham /	divyam triSUlam aBavat kAlAgni sadRSa praBam /
   dagdhuṃ devānmatiṃ cakre yugāntāgnirivāparaḥ // LiP_1,36.54 //	dagDum devAn matim cakre yugAnta agniH iva aparaH // LiS _1,36.54 //
   indranārāyaṇādyaiś ca devaistyaktāni yāni tu /	indra nArAyaNa AdyEH ca devEH tyaktAni yAni tu /
   āyudhāni samastāni praṇemus triśikhaṃ mune // LiP_1,36.55 //	AyuDAni samastAni praNemuH tri SiKam mune // LiS _1,36.55 //
   devāś ca dudruvuḥ sarve dhvastavīryā dvijottama /	devAH ca dudruvuH sarve Dvasta vIryAH dvijottamaH /
   sasarja bhagavān viṣṇuḥ svadehātpuruṣottamaḥ // LiP_1,36.56 //	sasarja BagavAn vizNuH sva dehAt puruzottamaH // LiS _1,36.56 //
   ātmanaḥ sadṛśān divyāṃl lakṣalakṣāyutān gaṇān /	AtmanaH sadRSAn divyAn lakza lakzA yutAn gaNAn /
   tāni sarvāṇi sahasā dadāha munisattamaḥ // LiP_1,36.57 //	tAni sarvANi sahasA dadAha muni sattamaH // LiS _1,36.57 //
   tato vismayanārthāya viśvamūrtirabhūddhariḥ /	tatas vismayana arTAya viSvamUrtiH aBUt hariH /
   tasya dehe hareḥ sākṣād apaśyaddvijasattamaḥ // LiP_1,36.58 //	tasya dehe hareH sAkzAt apaSyat dvijasattamaH // LiS _1,36.58 //
   dadhīco bhagavānvipraḥ devatānāṃ gaṇān pṛthak /	daDIcaH BagavAn vipraH devatAnAm gaNAn pRTak /
   rudrāṇāṃ koṭayaścaiva gaṇānāṃ koṭayastadā // LiP_1,36.59 //	rudrANAm kowayaH ca eva gaNAnAm kowayaH tadA // LiS _1,36.59 //
   aṇḍānāṃ koṭayaścaiva viśvamūrtestanau tadā /	aNxAnAm kowayaH ca eva viSvamUrteH tanO tadA /
   dṛṣṭvaitadakhilaṃ tatra cyāvanir vismitaṃ tadā // LiP_1,36.60 //	dRzwvA etat aKilam tatra cyAvaniH vismitam tadA // LiS _1,36.60 //
   viṣṇumāha jagannāthaṃ jaganmayamajaṃ vibhum /	vizNum Aha jagannATam jagat mayam ajam viBum /
   aṃbhasābhyukṣya taṃ viṣṇuṃ viśvarūpaṃ mahāmuniḥ // LiP_1,36.61 //	aMBasA aByukzya tam vizNum viSva rUpam mahA muniH // LiS _1,36.61 //
   māyāṃ tyaja mahābāho pratibhāsā vicārataḥ /	mAyAm tyaja mahA bAho pratiBAsA vicArataH /
   vijñānānāṃ sahasrāṇi durvijñeyāni mādhava // LiP_1,36.62 //	vijQAnAnAm sahasrANi durvijQeyAni mADava // LiS _1,36.62 //
   mayi paśya jagat sarvaṃ tvayā sārdham anindita /	mayi paSya jagat sarvam tvayA sArDam anindita /
   brahmāṇaṃ ca tathā rudraṃ divyāṃ dṛṣṭiṃ dadāmi te // LiP_1,36.63 //	brahmANam ca taTA rudram divyAm dRzwim dadAmi te // LiS _1,36.63 //
   ityuktvā darśayāmāsa svatanau nikhilaṃ muniḥ /	iti uktvA darSayAmAsa sva tanO niKilam muniH /
   taṃ prāha ca hariṃ devaṃ sarvadevabhavodbhavam // LiP_1,36.64 //	tam prAha ca harim devam sarva deva Bava udBavam // LiS _1,36.64 //
   māyayā hyanayā kiṃ vā mantraśaktyātha vā prabho /	mAyayA hi anayA kim vA mantra SaktyA aTa vA praBo /
   vastuśaktyātha vā viṣṇo dhyānaśaktyātha vā punaḥ // LiP_1,36.65 //	vastu SaktyA aTa vA vizNo DyAna SaktyA aTa vA punar // LiS _1,36.65 //
   tyaktvā māyāmimāṃ tasmād yoddhumarhasi yatnataḥ /	tyaktvA mAyAm imAm tasmAt yodDum arhasi yatnatas /
   evaṃ tasya vacaḥ śrutvā dṛṣṭvā māhātmyamadbhutam // LiP_1,36.66 //	evam tasya vacaH SrutvA dRzwvA mAhAtmyam adButam // LiS _1,36.66 //
   devāś ca dudruvurbhūyo devaṃ nārāyaṇaṃ ca tam /	devAH ca dudruvuH BUyas devam nArAyaNam ca tam /
   vārayāmāsa niśceṣṭaṃ padmayonirjagadguruḥ // LiP_1,36.67 //	vArayAmAsa niScezwam padmayoniH jagadguruH // LiS _1,36.67 //
   niśamya vacanaṃ tasya brahmaṇastena nirjitaḥ /	niSamya vacanam tasya brahmaNaH tena nirjitaH /
   jagāma bhagavān viṣṇuḥ praṇipatya mahāmunim // LiP_1,36.68 //	jagAma BagavAn vizNuH praNipatya mahA munim // LiS _1,36.68 //
   kṣupo duḥkhāturo bhūtvā sampūjya ca munīśvaram /	kzupaH duHKa AturaH BUtvA sampUjya ca muni ISvaram /
   dadhīcamabhivandyāśu prārthayāmāsa viklavaḥ // LiP_1,36.69 //	daDIcam aBivandya ASu prArTayAmAsa viklavaH // LiS _1,36.69 //
   dadhīca kṣamyatāṃ deva mayājñānātkṛtaṃ sakhe /	daDIca kzamyatAm deva mayA ajQAnAt kRtam saKe /
   viṣṇunā hi surairvāpi rudrabhaktasya kiṃ tava // LiP_1,36.70 //	vizNunA hi surEH vA api rudra Baktasya kim tava // LiS _1,36.70 //
   prasīda parameśāna durlabhā durjanairdvija /	prasIda parameSAna durlaBAH durjanEH dvija /
   bhaktirbhaktimatāṃ śreṣṭha madvidhaiḥ kṣatriyādhamaiḥ // LiP_1,36.71 //	BaktiH BaktimatAm SrezWa madviDEH kzatriya aDamEH // LiS _1,36.71 //
   śrutvānugṛhya taṃ vipro dadhīcastapatāṃ varaḥ /	SrutvA anugRhya tam vipraH daDIcaH tapatAm varaH /
   rājānaṃ muniśārdūlaḥ śaśāpa ca surottamān // LiP_1,36.72 //	rAjAnam muni SArdUlaH SaSApa ca sura uttamAn // LiS _1,36.72 //
   rudrakopāgninā devāḥ sadevendrā munīśvaraiḥ /	rudra kopa agninA devAH sa deva indrAH muni ISvarEH /
   dhvastā bhavantu devena viṣṇunā ca samanvitāḥ // LiP_1,36.73 //	DvastAH Bavantu devena vizNunA ca samanvitAH // LiS _1,36.73 //
   prajāpater makhe puṇye dakṣasya sumahātmanaḥ /	prajApateH maKe puNye dakzasya su mahAtmanaH /
   evaṃ śaptvā kṣupaṃ prekṣya punarāha dvijottamaḥ // LiP_1,36.74 //	evam SaptvA kzupam prekzya punar Aha dvijottamaH // LiS _1,36.74 //
